<br><font color=teal>*Hassan, Trilliam(ZaVante) says: How have you been? - Tue Dec  8 02:13:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: MItsunara.. - Tue Dec  8 11:26:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: u want some of that good? - Tue Dec  8 11:26:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yo..? - Tue Dec  8 11:26:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I got that skyrock.. - Tue Dec  8 11:26:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: next level shit.. - Tue Dec  8 11:26:56 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: .... - Tue Dec  8 11:27:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  8 11:28:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: WEll this is going bad. - Tue Dec  8 11:28:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: These guys refuse to stop fighting. . I gave them the option to leave. - Tue Dec  8 11:28:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sanoke. - Tue Dec  8 11:29:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: With all due respect. - Tue Dec  8 11:29:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You just can't expect them to leave... - Tue Dec  8 11:29:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You have to find some form of common ground... - Tue Dec  8 11:29:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: .....Mrm.. logically, at least? She does have a point, but,.. ah, well. - Tue Dec  8 11:30:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Perhaps...we could talk with them more... - Tue Dec  8 11:30:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Instead of simply threatening them. I know they rioted. - Tue Dec  8 11:30:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Still, violence solved with violence just..doesn't happen. - Tue Dec  8 11:31:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It only makes things worse. - Tue Dec  8 11:31:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: If Violence hasn't solved a problem, you aren't using enough of it. - Tue Dec  8 11:31:12 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Violence is a nesscity that all life has. Its just if you're smart, you can try to limit as much as possible. - Tue Dec  8 11:35:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. Or seek it out. - Tue Dec  8 11:36:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Whaaaat? - Tue Dec  8 11:38:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It's a religous obligation. - Tue Dec  8 11:38:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Like attending mass on sundays. - Tue Dec  8 11:38:52 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Mitsu- - Tue Dec  8 11:39:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? Yes? - Tue Dec  8 11:39:44 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Calm down. - Tue Dec  8 11:40:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I am calm! - Tue Dec  8 11:40:35 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Your warboner is showing again mitsu! -omit- - Tue Dec  8 11:40:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I get turned on by breaking ankles. - Tue Dec  8 11:40:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  8 11:41:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? They started to push us, Iza! What is that going to say? - Tue Dec  8 11:41:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If whenever someone tries to throw a fit. - Tue Dec  8 11:41:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sunagakure backs down. - Tue Dec  8 11:41:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What does that say>? - Tue Dec  8 11:41:26 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That we aren't tyrants. - Tue Dec  8 11:41:26 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *:T* - Tue Dec  8 11:41:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It would be tyrannical if we were stealing land. - Tue Dec  8 11:41:26 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: If you get any more bloodthirsty, I think I'll have a vampire on my hands. - Tue Dec  8 11:42:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: HOW DID YOU KNOW OF MY EVIL PLANS? - Tue Dec  8 11:42:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We could atleast allow them to govern themselves, like normal people... - Tue Dec  8 11:42:17 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: BECAUSE, IT IS SO OBVIOUS! - Tue Dec  8 11:42:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We didnt have to go and attack. - Tue Dec  8 11:43:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Izanami. - Tue Dec  8 11:43:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There is already a 'Kage'. He was supposed to be the leader. - Tue Dec  8 11:43:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What gives him the right to just up and say 'screw regulations'? - Tue Dec  8 11:44:00 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hehe. - Tue Dec  8 11:44:51 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Oh even falling asleep before the sun rises. I think I really am on to something. Gets some good rest, dark queen. - Tue Dec  8 11:45:42 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: ... Gah it worries me, that I don't really disbelieve her. - Tue Dec  8 11:46:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Going to go inside to do some paper work. - Tue Dec  8 11:55:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You two take care. - Tue Dec  8 11:55:56 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mamami play. - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: No. - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mamami play.... - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Play with mommy. - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Say Byakugan. - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ! - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What the hell is that? - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Eh I gotta go home.. - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: There's terrorists... - Wed Dec  9 02:36:35 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Guess I gotta go to war... - Wed Dec  9 02:36:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hey uhm.. - Wed Dec  9 02:36:35 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: BY THE WAY - Wed Dec  9 02:36:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaa? - Wed Dec  9 02:36:35 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Where is the Kazekage? - Wed Dec  9 02:36:35 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I should tell him about this.. - Wed Dec  9 02:36:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Don't you go dying over there Geo. - Wed Dec  9 02:36:35 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Lady Kazekage's wife. - Wed Dec  9 02:36:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll be visiting Kirigakure - Wed Dec  9 02:36:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll be back soon. - Wed Dec  9 02:36:35 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Uhm... - Wed Dec  9 02:37:26 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: The Merchants. - Wed Dec  9 02:37:26 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Tetsu, Midori, and Ren... - Wed Dec  9 02:37:26 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: They are killers. - Wed Dec  9 02:37:26 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: They killed shinobi in the Hidden Mist. - Wed Dec  9 02:37:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I have to remember those names. . .  - Wed Dec  9 02:37:26 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: The Mizukage has warned us to be careful of them... - Wed Dec  9 02:37:26 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Please do so as well.... - Wed Dec  9 02:37:26 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I'd hate to see your beautiful children harmed... - Wed Dec  9 02:37:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Wed Dec  9 02:38:17 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Very well. Thank you ma'am..Uhm...By the way..I'm sorry to a- No..I don't think. - Wed Dec  9 02:38:17 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: These people are merchants. - Wed Dec  9 02:38:17 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Mhm... - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: But yeah.... - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Becareful please... - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Oh! - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Can I borrow funds for a caravan home? - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Don't you die over there Geo. - Wed Dec  9 02:40:00 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I spent my last to get here and train with Hiroshi and Kina- Of course not Hiro. - Wed Dec  9 02:40:00 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Thank you a great deal First Lady Kazekage. - Wed Dec  9 02:40:00 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Yeah I am. - Wed Dec  9 02:40:51 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Oh that's grea- You do? With what? - Wed Dec  9 02:40:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I swear. . . It is always something. - Wed Dec  9 02:41:42 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Alwayz sumztin! - Wed Dec  9 02:41:42 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yes. - Wed Dec  9 02:41:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  You understand already Manami. - Wed Dec  9 02:41:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Gotta' kick em out.~ - Wed Dec  9 02:41:42 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Byagugan! - Wed Dec  9 02:42:33 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Byakugan! - Wed Dec  9 02:42:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is that? - Wed Dec  9 02:43:24 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Yo, Blue! - Wed Dec  9 02:43:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Welp! - Wed Dec  9 02:43:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Let's get going. - Wed Dec  9 02:43:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sup Bones. - Wed Dec  9 02:43:24 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Not a whole lot. You heading somewhere? - Wed Dec  9 02:46:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nah not right now Bones. - Wed Dec  9 02:46:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why what's up? - Wed Dec  9 02:46:49 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Bones? - Wed Dec  9 02:46:49 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: More training stuff huh? - Wed Dec  9 02:51:05 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Uh......teach me how to kick ass like you? - Wed Dec  9 02:51:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  I guess I could try and help you with that. - Wed Dec  9 02:51:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh yea, this right here is my bro Hiroshi. - Wed Dec  9 02:51:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oi, how goes it? - Wed Dec  9 02:51:56 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Hi - Wed Dec  9 02:51:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sup, Fuji. - Wed Dec  9 02:51:56 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Hi there. - Wed Dec  9 02:52:48 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: I had no idea that you had a brother. - Wed Dec  9 02:52:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  We aren't blood related, but this is my Bro right here. - Wed Dec  9 02:52:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Right Green? - Wed Dec  9 02:52:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So whats going on here? Little small talk? - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Basically. - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Yeah~ but close enough to blood brothers right? - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh, Iza ran off to Kirigakure to help them fight some terrorist Fuji. - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Dada! - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Dada! - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Im not yo dada thats Sanoke - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Wed Dec  9 02:53:39 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Dada! - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Where Dada? - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Wonder where Sanoke is. . .  - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Kid wants to see the father hm? - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: He's a busy man now a days. - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sure are Green. - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: He's busy. - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: I want tell dada I gah eyes. - Wed Dec  9 02:54:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Come on Bones, if you want to train lets go. - Wed Dec  9 02:55:21 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Right. I'm following you now. - Wed Dec  9 02:57:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Come on Green, you can train too. - Wed Dec  9 02:57:55 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Awh~ okay~ - Wed Dec  9 02:57:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm, speaking of family...Any of you seen Izanami? - Wed Dec  9 02:57:55 2015
<br><br><font color=teal>*Claudette(Kumaki) says: You was just told. - Wed Dec  9 02:57:55 2015
<br><br><font color=teal>*Claudette(Kumaki) says: She is to Kiri to fight bandits or such..  - Wed Dec  9 02:58:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: .... - Wed Dec  9 02:58:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: In Kiri?... - Wed Dec  9 02:58:46 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Or terrorists... - Wed Dec  9 02:58:46 2015
<br><br><font color=teal>*Claudette(Kumaki) says: She's... A chuunin.. - Wed Dec  9 02:58:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I know but she's also 10... - Wed Dec  9 02:58:46 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Mhm. I know. - Wed Dec  9 02:58:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: With ONE arm... - Wed Dec  9 02:59:37 2015
<br><br><font color=teal>*Claudette(Kumaki) says: ... One arm?  - Wed Dec  9 03:00:28 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Nananami with Rock boy! - Wed Dec  9 03:00:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You know Geo? - Wed Dec  9 03:01:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Guess I gotta either go find her or wait. - Wed Dec  9 03:01:20 2015
<br><br><font color=teal>*Claudette(Kumaki) says: She'll.. She'll be fine..  - Wed Dec  9 03:01:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm.. - Wed Dec  9 03:01:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Will need you to help recover her arm by the way in that case. - Wed Dec  9 03:02:11 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Zanaanami one wing~ - Wed Dec  9 03:02:11 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Ahm... Alright..  - Wed Dec  9 03:02:11 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: I feel like spreading my wings and fly into the sky... Mmmhh....  - Wed Dec  9 03:02:11 2015
<br><br><font color=teal>*Claudette(Kumaki) says: A-Ahm... uhm... Master.. Can.. Can you perhaps heal my shoulders.... They got ripped open when I fell down in the hospital.  - Wed Dec  9 03:03:02 2015
<br><br><font color=teal>*Claudette(Kumaki) says: And I can't reach them.  - Wed Dec  9 03:03:02 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mama... - Wed Dec  9 03:04:44 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mamimi run. - Wed Dec  9 03:04:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sure. - Wed Dec  9 03:05:36 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Babi. - Wed Dec  9 03:06:27 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yes. - Wed Dec  9 03:07:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Baby. - Wed Dec  9 03:07:18 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mamimi waz babi? - Wed Dec  9 03:08:09 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: What you are. - Wed Dec  9 03:09:00 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Babi has Byaggugan? - Wed Dec  9 03:09:00 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: .. - Wed Dec  9 03:09:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: No. - Wed Dec  9 03:09:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So, I guess after earlier, the experiments are forestalled, mrm? - Wed Dec  9 03:09:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, well.. - Wed Dec  9 03:10:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: (i can give you compassion bby) - Wed Dec  9 03:14:08 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Babi bad. Babi run. - Wed Dec  9 03:14:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Claudete! Use Child Abuse No Jutsu! - Wed Dec  9 03:14:59 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hi mitsunara. - Wed Dec  9 03:14:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... Momura, yo. - Wed Dec  9 03:15:50 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Maami. Let Mamimi walk. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: 9Zenaki - Wed Dec  9 03:26:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: They warned me not to marry a Demon.. - Wed Dec  9 03:26:04 2015
<br><br><font color=yellow>*Marco(Gtgoku55) turns to look on strangely to the child abuse..

"Um. . Ma'am? I don't think that's wise.."* - Wed Dec  9 03:26:04 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mama....She kill babi... - Wed Dec  9 03:26:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: sh... - Wed Dec  9 03:26:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: .... - Wed Dec  9 03:28:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I have...So many question.. - Wed Dec  9 03:28:38 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Even my own children, taste delicious... Mmmhh....  - Wed Dec  9 03:30:20 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Byagugan! - Wed Dec  9 03:30:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: .... - Wed Dec  9 03:30:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: ...Child Abuse makes me mad. - Wed Dec  9 03:31:12 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Ah.. Don't worry Mitsu. I will not kill him. Neither hurt him tomuch... Sometimes things are just needed.  - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Claudette(Kumaki) says: They need to learn. Hm..  - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: I really feel like.. Testing those things....  - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm, so this is their normal behavior? - Wed Dec  9 03:34:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Didn't say farmers.. - Wed Dec  9 03:34:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: .......... - Wed Dec  9 03:34:36 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Kinda. Yes.  - Wed Dec  9 03:34:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Outside. - Wed Dec  9 03:34:36 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Dada! - Wed Dec  9 03:34:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Is good. - Wed Dec  9 03:34:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ... - Wed Dec  9 03:34:36 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: ... - Wed Dec  9 03:34:36 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Dada! - Wed Dec  9 03:34:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Front and center. - Wed Dec  9 03:34:36 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: w-wahh - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Claudette(Kumaki) says: But.. I think he just got scard. Because of the lightning...  - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Can you guys get from behind me? - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ... - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The hell are you going, Paine? - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Must be a shinobi meeting.. - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Come Zen , we must not intrude. - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Mhm..  - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Back up, please. - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: i c-cant find y-you - Wed Dec  9 03:36:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Senseii!!!!! - Wed Dec  9 03:36:19 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: i u-umm...f-found it.. - Wed Dec  9 03:37:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Better worth alot...Cutting family time. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: Figured... - Wed Dec  9 03:42:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaaa? - Wed Dec  9 03:42:17 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Uhhh....... - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'd vote for Lera or Koji... - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yo, Sanoke. You're not retirin, just droppin the Kage Office, yeah? - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Both of them are very busy this time around... - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm... - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: uhhmm.... - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ..... - Wed Dec  9 03:43:08 2015
