<br><font color=teal>***Hokage**(LionHunter) says: Becasue of the rebuilding - Sun Dec  6 04:21:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And I punched him..b-but he dodged..b-but I hit him.. - Sun Dec  6 19:08:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And he went f-flying down.. - Sun Dec  6 19:08:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I think I w-won that.. - Sun Dec  6 19:08:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You have the power. - Sun Dec  6 19:08:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: All you need is the mind set. - Sun Dec  6 19:08:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: If someone comes to over power you, you need to think and use everything you have to live. - Sun Dec  6 19:09:26 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Not all the times someone will arrive on time to save you ya know. - Sun Dec  6 19:11:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I know.. - Sun Dec  6 19:11:08 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Come on, lets get something to drink. - Sun Dec  6 19:12:00 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: 95% gonna take a while to restore back to 100% -Omit- - Sun Dec  6 19:12:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh...sure.. - Sun Dec  6 19:14:33 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: It's fine. - Sun Dec  6 19:58:56 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: You're being tactical. - Sun Dec  6 19:58:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Koji. - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I keep hearing about Tetsuki around here, but I cant find her. - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Do you know where she goes? - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, Tetsuki? I haven't seen her around but I can keep an eye out if that's what you need. - Sun Dec  6 20:04:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Please. - Sun Dec  6 20:04:54 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Hm..? - Sun Dec  6 20:05:45 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Is she in trouble? - Sun Dec  6 20:07:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: No. - Sun Dec  6 20:07:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I hope not. - Sun Dec  6 20:07:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I just wanna' talk to her. - Sun Dec  6 20:07:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: She was my first friend here my age.. - Sun Dec  6 20:07:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Plus...she's been alone most of her life, I don't want her to be alone anymore. - Sun Dec  6 20:08:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Sun Dec  6 20:08:19 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Alright I'll do my best not to scare her. I'l put up missing posters and a 24hr unit. - Sun Dec  6 20:08:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm Izanami @ Oto - Sun Dec  6 20:10:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And uh, thank you Koji-san. - Sun Dec  6 20:10:01 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Isn't she the girl that Tetsujin brought to the village after he lost to Yukio? - Sun Dec  6 20:12:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah. - Sun Dec  6 20:14:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Her dad really mistreated her... - Sun Dec  6 20:14:17 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hey, Koji. - Sun Dec  6 20:19:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: What's good, My Lady? - Sun Dec  6 20:19:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm swell just got back from a mission. - Sun Dec  6 20:21:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hn? - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Ohh, was it a fun one? - Sun Dec  6 20:26:14 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah, I'll come along. - Sun Dec  6 20:27:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It was interesting. - Sun Dec  6 20:27:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *:D* - Sun Dec  6 20:27:05 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well have other interesting news. - Sun Dec  6 20:28:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You do? - Sun Dec  6 20:28:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Someone might be joining soon. His greeting skills are on fleek. - Sun Dec  6 20:28:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Who might that be? - Sun Dec  6 20:29:39 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Joining what? - Sun Dec  6 20:31:21 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: His name is Otorius. Hiroshi might be able to tell you more he sparred with him. I only caught the ending. - Sun Dec  6 20:33:55 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Is he strong? - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Oh that guy? He's a noobie like me. He does that thing like you guys I think. - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Which thing? - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Uh remember when you and Bro were sparring Koji and the white haired lady? You sade you can't take a hit from them cause it goes right through. That thingy. - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ohhh. That bullshit. - Sun Dec  6 20:37:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: .... - Sun Dec  6 20:37:20 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Yeah... it hurts - Sun Dec  6 20:37:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Your plants? - Sun Dec  6 20:40:44 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Hmm...I should get a book on kenjutsu... - Sun Dec  6 20:44:09 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Hmm... I should test my summon against someone who wasn't about to become Chuunin... - Sun Dec  6 20:45:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hey! - Sun Dec  6 20:45:00 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Er.... okay? - Sun Dec  6 20:48:25 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Have to play it like bro. *mental nod* - Sun Dec  6 20:48:25 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Finally someone with hair like mine. - Sun Dec  6 20:57:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hello. - Sun Dec  6 20:57:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: I WANTED TO POINT THAT OUT!! - Sun Dec  6 20:57:48 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Ah, um, hello? - Sun Dec  6 21:00:22 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Who're you? - Sun Dec  6 21:00:22 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Names Mirai. - Sun Dec  6 21:00:22 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Nice to meet you, Mirai. But, um, why're you pointing at me? - Sun Dec  6 21:02:04 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You have eyes and hair like mine! - Sun Dec  6 21:08:54 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Seems I do, huh? - Sun Dec  6 21:09:45 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Wait..eyes? - Sun Dec  6 21:09:45 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yes. - Sun Dec  6 21:09:45 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Well this is awkward. - Sun Dec  6 21:10:36 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: The Byakugan? - Sun Dec  6 21:10:36 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: You have it?! - Sun Dec  6 21:10:36 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Ahh! Yeah. - Sun Dec  6 21:10:36 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: This is kinda awkward- oh never mind I guess it's fine. - Sun Dec  6 21:11:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I do. - Sun Dec  6 21:11:28 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: What does that have to do with me though? I'm sure there are alot of people who possess the Byakugan. - Sun Dec  6 21:12:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Not many. - Sun Dec  6 21:12:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure. - Sun Dec  6 21:17:26 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Oh that was easy. - Sun Dec  6 21:17:26 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: It was a lot harder to get teachers for myself... - Sun Dec  6 21:18:17 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Ah..Yeah I knew you would say No..- What?! - Sun Dec  6 21:18:17 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You're shocked that I said yes? - Sun Dec  6 21:18:17 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I'm shocked there was no " Only if you are worthy" moment like on t.v - Sun Dec  6 21:20:00 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Well we will of course have to have a meeting. - Sun Dec  6 21:20:51 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: For the most part you've impressed me. - Sun Dec  6 21:20:51 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Really? - Sun Dec  6 21:20:51 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mhm. - Sun Dec  6 21:20:51 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: I was contending to simple Gentle Fist. - Sun Dec  6 21:20:51 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: I wasn't doing anything special.. - Sun Dec  6 21:21:42 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: PLus I whooped his BUTT! - Sun Dec  6 21:21:42 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I mean with - - Sun Dec  6 21:21:42 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I mean with the way you carry yourself. - Sun Dec  6 21:21:42 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Ah! - Sun Dec  6 21:21:42 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: The way I carry myself? I'm pretty serious, if you ask me. I won't complain! You accepted me and so shall I. - Sun Dec  6 21:23:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So are you willing to join the family? - Sun Dec  6 21:23:24 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: The family? You mean there's a family of Byakugan users? - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Oh crap if he's going to have a teacher I'm going to need to pick it up a bit.... Where is Trill when you need him? - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: those two and myself . - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Hm..! Well, why not? - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: and a few others. - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You must be good... - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: I won't let you down. Count me in. - Sun Dec  6 21:25:07 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Well then. - Sun Dec  6 21:25:07 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I suppose we can have dinner or something. - Sun Dec  6 21:25:07 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Do you like Unagi don? - Sun Dec  6 21:25:07 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: I only eat veggies! - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Ew - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: That works. - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Today was a good day hoo-y-ee-uooo-.  - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Sometimes I eat a steak but that's only to keep my build nice and strong. - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Well Koji - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Kuro - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Shall we? - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Paine you can come too. - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Unagi Don it is. - Sun Dec  6 21:28:32 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, I had a strict diet of veggies back in Kiri. - Sun Dec  6 21:29:23 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So he's joining the family uh Koji. - Sun Dec  6 21:29:23 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Um, sure. - Sun Dec  6 21:29:23 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Cool, you're in Otorius. We seem to have a full agreement. - Sun Dec  6 21:31:05 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Sweet! - Sun Dec  6 21:35:21 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Today has been such a good day. - Sun Dec  6 21:35:21 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Hey, Koji. - Sun Dec  6 21:45:36 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: You know anyone good with swords? - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I do but I had to take an oath not to say. - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Darn. - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Anyone else? - Sun Dec  6 21:47:18 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Try asking Mitsunara? - Sun Dec  6 21:47:18 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Who's that again? - Sun Dec  6 21:47:18 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The young woman who was here earlier. Reading the book? She sparred with Mirai and I? - Sun Dec  6 21:48:09 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Oh!...she~ kinda scares me. - Sun Dec  6 21:49:00 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm? Nah she's nice I just talked to her. - Sun Dec  6 21:49:52 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: She has a weird vibe to her... Maybe I'm just over thinking stuff. - Sun Dec  6 21:50:43 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: The fuck is she wearing...? WHAT HAPPENED TO HER HAIR?! - Mon Dec  7 01:48:48 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Evening. - Mon Dec  7 01:51:21 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: h-hi...umm m-marco...do you m-mind if i a-ask...you... - Mon Dec  7 01:52:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ask me. .? - Mon Dec  7 01:52:12 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: to m-make something....f-for me? - Mon Dec  7 01:52:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Zanbatou, correct? - Mon Dec  7 01:53:04 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: s-something like that.... umm.....a w-wooden...s-staff..with a b-bend...ones that are a b-bit bendy...rather r-reduce its c-chances to b-break..  - Mon Dec  7 01:55:37 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: So you'd want a wooden staff as well as a zanbatou? Lera had one being ordered for you. - Mon Dec  7 01:56:28 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: y-yes - Mon Dec  7 01:57:20 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ah. Do you happen to have funds? - Mon Dec  7 01:59:02 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: umm only for the s-staff... - Mon Dec  7 02:00:44 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: It will be done. - Mon Dec  7 02:04:09 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: t-thank...y-you - Mon Dec  7 02:05:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi chikyu. - Mon Dec  7 03:07:18 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? - Mon Dec  7 03:08:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Ohh..uhm...g-good I g-guess.. - Mon Dec  7 03:10:43 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? - Mon Dec  7 03:10:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nice outfit. - Mon Dec  7 03:13:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: So. How are you guys? - Mon Dec  7 03:13:16 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Thanks! I already have one being made for you! - Mon Dec  7 03:13:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: R-Really!? - Mon Dec  7 03:14:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Thanks. - Mon Dec  7 03:14:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: Or not. - Mon Dec  7 03:14:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Chikyu. - Mon Dec  7 03:15:50 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hey Kinami! I'm doing fine, just a little tired!  - Mon Dec  7 03:16:41 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: When are we having another sleepover? - Mon Dec  7 03:17:32 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I have a house now! Yall, can come over and stay there tonight! - Mon Dec  7 03:19:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I have no problem with it, haha. - Mon Dec  7 03:19:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You'll have a chuunin in there now.~ - Mon Dec  7 03:20:06 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Wha..what? - Mon Dec  7 03:20:57 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Haha. - Mon Dec  7 03:21:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Are you guys going to go check that out? - Mon Dec  7 03:21:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Not a chuunin.. - Mon Dec  7 03:22:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You and her are. - Mon Dec  7 03:22:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And ai - Mon Dec  7 03:22:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: I don't plan on it.. -@Izanami- - Mon Dec  7 03:22:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I don't even know what's going on. - Mon Dec  7 03:22:40 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Why not be there with her? - Mon Dec  7 03:23:31 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, she must be still mad at me for holding back. - Mon Dec  7 03:26:04 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: She doesn't realize that if I hit her with all of my strength, she'd die. Haha. - Mon Dec  7 03:26:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Ya shouldn't be doing that..You barely survive against me using less than 50.. - Mon Dec  7 03:26:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Kinami, stop. - Mon Dec  7 03:27:47 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Stop? I'm trying to get it through her thick skull that I had to hold back. - Mon Dec  7 03:27:47 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'm not going to baby her because I was holding back to not hurt her. - Mon Dec  7 03:28:38 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Stop. - Mon Dec  7 03:28:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You shouldn't rub it in her face. - Mon Dec  7 03:28:38 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Rub it in her face? I'm trying to get her to understand. - Mon Dec  7 03:28:38 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: She's going to be mad at me for holding back? But if I hit her with all of my strength she'd be in a grave right now? - Mon Dec  7 03:29:29 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Stop. - Mon Dec  7 03:29:29 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'd rather her be mad at me. - Mon Dec  7 03:29:29 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yeah, whatever. When you're going to help me out with the situation instead of just saying stop, let me know please. - Mon Dec  7 03:30:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I made everything easy for you the entire time. - Mon Dec  7 03:30:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Let me explain to you how it feels for her. - Mon Dec  7 03:31:12 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yeah, and I appreciate that. - Mon Dec  7 03:31:12 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I knew that I couldn't hit you when you turned into paper. - Mon Dec  7 03:31:12 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Paper or not, you couldn't hit me overall. - Mon Dec  7 03:31:12 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Is that so? Seems like I have someone else to push me. Heh. - Mon Dec  7 03:32:03 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I was holding back until it literally hurt'd. - Mon Dec  7 03:32:03 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: And, once again, I appreciate it. - Mon Dec  7 03:32:54 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: But I'm not rubbing anything in her face, I'm trying to make her realize that if I went full strength that she would be dead. - Mon Dec  7 03:32:54 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: You wouldn't need help if you weren't being an -ass- sitting here talking bad about people who are having a hard time because of you. - Mon Dec  7 03:32:54 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Shut up. - Mon Dec  7 03:32:54 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: That's what you're not understanding. - Mon Dec  7 03:33:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, enlighten me, Ai. - Mon Dec  7 03:34:36 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: It's better to not say it than tell them. - Mon Dec  7 03:34:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Ahh. So when she avoids me and makes me feel like a bad friend, nothing's wrong. But when I try to explain to her that I was holding back for a reason, I'm the bad guy? - Mon Dec  7 03:35:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Is that it, Ai? - Mon Dec  7 03:35:28 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You DIDN'T have to tell her that you held back. - Mon Dec  7 03:36:19 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You could have keep that under wrap. - Mon Dec  7 03:36:19 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I didn't tell her, she just knew. It's not my fault. - Mon Dec  7 03:36:19 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: But after the chuunin exams, I told her that I -had- to to not kill her. - Mon Dec  7 03:37:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I can see why she has this self esteem problem. - Mon Dec  7 03:37:10 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Okay, whatever. I did what I had to do to keep my former friend alive, so. - Mon Dec  7 03:37:10 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: She can be mad at me all she wants, and you can think whatever you'd like about me. - Mon Dec  7 03:37:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Uh huh. - Mon Dec  7 03:38:01 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mhm. - Mon Dec  7 03:38:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: She still doesn't understand uh. - Mon Dec  7 03:38:01 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) whispers: Do you still want that sleepover? - Mon Dec  7 03:42:17 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) whispers: I guess... not now. I like us all to do it together. Also, I think you did the right thing to hold back so you didn't hurt her. - Mon Dec  7 03:43:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) whispers: Yeah, I don't think they understand. - Mon Dec  7 03:44:00 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) whispers: That I'd literally kill her. - Mon Dec  7 03:44:00 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) whispers: Like, Ai held back a lot against me and I'm not like that. - Mon Dec  7 03:44:00 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) whispers: But, you should also apologize. Because, holding back for anyone is an insult. You should explain that you didn't want ot hurt her as a friend, and not because she didn't deserve a good fight. - Mon Dec  7 03:46:33 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) whispers: ......I can go and give her a fair fight if you'd like. - Mon Dec  7 03:47:24 2015
