<br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Appreciated. - Sun Dec  6 23:10:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: I ate him. - Tue Dec  8 03:21:23 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: .... - Tue Dec  8 03:21:23 2015
<br><br><font color=yellow>***Raikage**(Dragonfile) hands the bird over.* - Tue Dec  8 03:22:14 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Raikage. - Tue Dec  8 03:22:14 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hm? - Tue Dec  8 03:22:14 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Alright thanks. - Tue Dec  8 03:23:05 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: You may not know me but i am a native of this village...I have to ask what has happened in the last couple of years. - Tue Dec  8 03:23:05 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hm. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Well, Edge sundered Kumogakure. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Destroyed it. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Planted explosive booby traps in the interior. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: But I discovered them personally. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Then disarmed them. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Most of the previous generation had been wiped out. - Tue Dec  8 03:24:48 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Hm. - Tue Dec  8 03:24:48 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: What of a Shinobi by the name of Heiwa? - Tue Dec  8 03:24:48 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: ..Oh, he lives in Kirigakure. - Tue Dec  8 03:25:39 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Heiwa lives in Kirigakure now? - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: ... - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Yes. - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Why on earth... - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Would h-... - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: He's the Captain of their Genjutsu and Fuuinjutsu division. - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Or so he says. - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: That's a first..Last I saw, he was in Konoha. - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: He was in Kumo a while back. - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: What is the relations with Kirigakure? - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I guess I'll pay him a visit. It's been a while since I last saw Heiwa. - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Tried to take on Ortho by himself, heard he did well... Or -  - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Kirigakure? - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Uh, it's strained. - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Ortho and Heiwa fighting? - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Well that's an improvement.... - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: That's odd.  - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: For the village... - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I'd assume they would be on friendly terms because of Hideki. - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: It's funny. - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Hi-Hideki? - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: None of the surrounding villages care. - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: What's been done in the past. - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: For them. - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Kirigakure wanted my head on a platter. - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: That bastard is also in Kirigakure? - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hideki is deceased. - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Hideki? No. He passed a while ago. - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: He unlocked Obito's sharingan too smh - Tue Dec  8 03:29:55 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: He died around the time Edge attacked the village. - Tue Dec  8 03:29:55 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Obito's sharingan? - Tue Dec  8 03:29:55 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: ... - Tue Dec  8 03:29:55 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I see. - Tue Dec  8 03:29:55 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Raikage..with your permision i need to visit my nephew. - Tue Dec  8 03:30:46 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Or do you not recomend it. - Tue Dec  8 03:30:46 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Do not. - Tue Dec  8 03:31:37 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Go. - Tue Dec  8 03:31:37 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: There is a good chance you will be killed. - Tue Dec  8 03:31:37 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Old habbits die hard... - Tue Dec  8 03:31:37 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Peace my ass. - Tue Dec  8 03:31:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Wow she's a bitch. - Tue Dec  8 03:41:00 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Perhaps, but I doubt they'd be shattered so easily. - Tue Dec  8 03:41:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Why are you interested in Heiwa? Speaking of which, you seem awfully familar. - Tue Dec  8 03:42:43 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I see..Then I suppose you're his last living blood relative.  From which side are you related to him from if I may ask? - Tue Dec  8 03:47:50 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I feel as though we've met before, or at least I've seen your face around the village. - Tue Dec  8 03:47:50 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Hm. - Tue Dec  8 03:49:32 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: From his father side. - Tue Dec  8 03:49:32 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: And yes i'm quite aware now...Tis the reason why i belittle your principles...Why they won't last in such a world were everything is ripped from you... - Tue Dec  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: So you're related to him through Ushinawa, Misa, and Hideki huh? - Tue Dec  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) thinks: I wonder if she too was warned by Niza. - Tue Dec  8 03:51:15 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Hideki... - Tue Dec  8 03:52:06 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: And Gintoki... - Tue Dec  8 03:52:06 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Gintoki? I don't think I've met them before. - Tue Dec  8 03:52:57 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: But I've a question, did Niza ever give you a warning? - Tue Dec  8 03:52:57 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Of course not...Niza Killed Gintoki.. - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I was given many warnings in the past..But by Niza none. - Tue Dec  8 03:54:40 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I see. - Tue Dec  8 03:55:31 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Which is why it strikes me as odd that Heiwa decided to live in Kirigakure despite the past. - Tue Dec  8 03:56:22 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: I know nothing of Heiwa. - Tue Dec  8 03:57:13 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Other than he had intense hatred for Ortho. - Tue Dec  8 03:57:13 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Many things happened.  - Tue Dec  8 03:57:13 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Hatred?....Sounds A lot like his father... - Tue Dec  8 03:59:47 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I see. - Tue Dec  8 03:59:47 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Yeah. After Niza's death, things started to go downhill for the village. - Tue Dec  8 04:06:36 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Is the Gezo world goverment still in power? - Tue Dec  8 04:09:10 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Yes, sadly. - Tue Dec  8 04:12:35 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) dies - Oh Omit* - Tue Dec  8 05:28:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Why are you here? - Tue Dec  8 05:29:23 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) glares at Mitsunara - his demeanor harbored nothing but indifference which hinted at his frustration.

"Please leave. Now."* - Tue Dec  8 05:32:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh? - Tue Dec  8 05:32:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'm just passing through, relax.... what's with the issue? We may not be quite so closely linked after this...  - Tue Dec  8 05:32:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: BUt I was under the illusion that we where still allies, right? - Tue Dec  8 05:33:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That's my intention. - Tue Dec  8 05:33:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes. - Tue Dec  8 05:33:39 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: So, eiyu. - Tue Dec  8 05:33:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But I don't want any outside company. - Tue Dec  8 05:33:39 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: You parting from suna? - Tue Dec  8 05:33:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: No need for hostility, then.... - Tue Dec  8 05:33:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We're attempting to reclam our independence, yes. - Tue Dec  8 05:33:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'll just be passing through, like I said. - Tue Dec  8 05:33:39 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Yeah well good luck with that. - Tue Dec  8 05:33:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Or you can go the way you came. - Tue Dec  8 05:33:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: Seems I'll have to use my ultimate weapon.... - Tue Dec  8 05:35:21 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) simply watches Mitsunara depart. "You speak of friendship, but your men continue to live in my village, and refuse to leave after having been requested. Tell me if that is the friendship you are speaking of or forceful annexation." 

Eiyu turns away. "Good day."* - Tue Dec  8 05:37:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yare Yare Daze.. I'm not even here on work.. - Tue Dec  8 05:37:04 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Oi. - Tue Dec  8 05:37:04 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Eiyu. - Tue Dec  8 05:37:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: What? - Tue Dec  8 05:37:04 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Don't die, Ima come back and beat you up later - Tue Dec  8 05:37:55 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Mhm. - Tue Dec  8 05:37:55 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Yo. - Tue Dec  8 05:49:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Eiji-San. - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Yeah? - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I'm glad to see you. - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We're in a very. - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: What's up? - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sticky situation. - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Well. - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: ....Sticky? - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I broke apart with Sunagakure. - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We're on the way to being indepen- - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We're on the way to being independent but I don't know how it will hold with Sunagakure. - Tue Dec  8 05:51:34 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We could very well have a problem on our hands. - Tue Dec  8 05:51:34 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I see. - Tue Dec  8 05:52:25 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I will stand by you till the end. - Tue Dec  8 05:52:25 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kumogakure is on high- .. Thank you, Eiji.. Some may doubt my choice. - Tue Dec  8 05:52:25 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But Kumogakure -must- be free. - Tue Dec  8 05:52:25 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It can no longer be restrained. - Tue Dec  8 05:53:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Because of this I'm willing to put my life on the line to ensure it's existence.. You are my Chuunin, and I trust you with my life. - Tue Dec  8 05:53:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I have a gift for you. - Tue Dec  8 05:53:16 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) extends a rather average looking scroll towards the Kirisaki. "Master this."* - Tue Dec  8 05:54:08 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: ..... - Tue Dec  8 05:54:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Consider it a gift. - Tue Dec  8 05:54:08 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Alright. - Tue Dec  8 05:54:08 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Thank you. - Tue Dec  8 05:54:08 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Where's Takuma? - Tue Dec  8 05:54:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: -- - Tue Dec  8 05:54:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Probably speaking to his toad... - Tue Dec  8 05:54:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will call him. - Tue Dec  8 05:54:59 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Alright. - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: So, what's our plan? - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Oh---right. - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Menia went missing. - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ... - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I -just. - Tue Dec  8 05:56:41 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Saw her.... Wh-.. When was this? - Tue Dec  8 05:56:41 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: No clue. - Tue Dec  8 05:56:41 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Recently. - Tue Dec  8 05:56:41 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: She's a bitch though. - Tue Dec  8 05:56:41 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: And disrespects the Kirisaki Clan's good. - Tue Dec  8 05:56:41 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: She's like the autistic child of my family. - Tue Dec  8 05:56:41 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: She was a fool to return... - Hm - What happened..? I thought you were kin? - Tue Dec  8 05:56:41 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Too stupid. - Tue Dec  8 05:56:41 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will find her.... But right now. - Tue Dec  8 05:57:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We need all of our man power. - Tue Dec  8 05:57:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: She will not escape, as the Yondaime was allowed to. - Tue Dec  8 05:57:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But I will not kill her. - Tue Dec  8 05:57:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I have other....Means... - Tue Dec  8 05:57:32 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Mmmk. - Tue Dec  8 06:00:06 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) continues to meditate despite the awkward stand-off. Sunagakure shinobi could pop off at any moment - it had been several months since he had gotten a response. Perhaps Sunagakure truly didn't care about Kumogakure? Or rather, their intentions were good and not shadowed by ulterior motives. But if that was the case why did they remain? It was starting to feel like an annexation more, and more.

<I don't wish to do this... But I will give them a little longer before I scare them out of Kumogakure...> 

"It's essential that you remain alert... I don't know what they will do."* - Tue Dec  8 06:02:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Takuma-San. - Tue Dec  8 06:03:31 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm? - Tue Dec  8 06:03:31 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Be on alert... - Tue Dec  8 06:03:31 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Alright. - Tue Dec  8 06:03:31 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: How is your relationship going with Gama? - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Which Gama? - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: ...... - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Gamatatsu? Gamakichi? - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I have a question. - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Why do you talk to frogs? - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Gamatasu- - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I mean like. - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I talk to carrots, but..... - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: You guys seem strange. - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Takuma(Brosis55) says: It's not weird. . .If they talk back. - Tue Dec  8 06:05:13 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You'd be surprised... How much help they can be.. - Tue Dec  8 06:05:13 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: For instance. - Tue Dec  8 06:05:13 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) bites his forefinger and performs a series of handseals. When he was done with this action his right hand slams into the ground - there is a momentary delay between the initial planting and the conjuring the creature, but that is only because Eiyu intended for it to be such.

Through a rift of time and space.

"Feast your eyes on my best friend among the toads.. Mr. Gamaken!" In reality it was Gamakichi. 

'- -.....Nani!?" Eiyu looked to be frustrated with the results of his attempt.

'Say, you're really bad at this Eiyu-San, but hey at least you didn't summon my brother, hahah!" 

"GET OUT OF HERE, Baka!"* - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: . . . I can't believe this.. - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Well, anyway. - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: They can do all sorts of cool things. - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Gamakichi is a dick. - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: . . . I mean at least he won;t leave me to die over snacks. - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Takuma(Brosis55) says: He made things awkard for me and Akarui, say, what happened to her? - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: -- - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I have no idea. - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Oh. - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Let me show you mine. - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Like a penis. - Tue Dec  8 06:12:54 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Bet he uses that to fuck girls. - Tue Dec  8 06:12:54 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Bet. - Tue Dec  8 06:12:54 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) <What..... The .....?"> Eiyu was shocked by seeing the penis shaped carrot live and breathe.

"I really have to question if I had opium.....Before coming out here..." <Did this carrot just speak!?>

* - Tue Dec  8 06:14:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . - Tue Dec  8 06:14:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: A carrot. . . - Tue Dec  8 06:14:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: That can talk. - Tue Dec  8 06:14:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: That - Tue Dec  8 06:14:36 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: This carrot can speak. - Tue Dec  8 06:14:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: That's pretty rad.* - Tue Dec  8 06:14:36 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: His name. - Tue Dec  8 06:14:36 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Is Kakarot. - Tue Dec  8 06:15:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: King Carrot! - Tue Dec  8 06:15:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: That's a neat name. - Tue Dec  8 06:15:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Yeah. - Tue Dec  8 06:15:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: This is the only new thing I learned how to do. - Tue Dec  8 06:15:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Breath life into carrots. - Tue Dec  8 06:15:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: 'Cuz I'd get bored. - Tue Dec  8 06:15:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ...I don't understand.. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: How such a feat is possible. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Well. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: It's a unique carrot. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: It has a soul attached to it. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I just awaken it. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ...Like a human soul? - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: It's a carrot that has a person sealed in it. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I don't know. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: --... - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Oh. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I got this from the elders. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That is really interesting. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: It can extend and shorten freely. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Doesn't even have to be on my body to extend or shorten. - Tue Dec  8 06:17:10 2015
