<br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Sun Oct  4 04:46:17 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: How come...? - Sun Oct  4 17:32:35 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I miss Koeki and i worry about her being all alone - Sun Oct  4 17:33:26 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Well... let's both go and make sure she's safe. When you're read. - Sun Oct  4 17:35:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ok - Sun Oct  4 17:36:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well I need to inform him of me leaving' - Sun Oct  4 17:41:07 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: You're leaving the moment you get the opportunity? - Sun Oct  4 17:42:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Yes, I dont want to put on the impression that I dont like kirigakure; I just wanted to let the heat die down - Sun Oct  4 17:44:32 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Ah... alright. - Sun Oct  4 17:46:14 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Let's go now to see if he's awake. - Sun Oct  4 17:46:14 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) attempted to engulf her feet in chakra, attempting to soften the ground below her. Unfortunately, she wasn't using the technique properly at all. Her feet remained above ground, causing the blonde individual to peer down with her golden gaze with a look of confusion. She'd sigh lightly, taking note of this failure.

"Hmmm.... how about this.." She'd murmur to herself. The girl would attempt to immerse her lower body in chakra. Upon doing such she would utilize the chakra to soften the ground below. The girl had sunk halfway below the ground, leaving her torso, arms and head exposed. Setsuko would exhale slightly, as though she didn't take her failures seriously.

Having understood what she did wrong, the blonde would cloak the entirety of her body in a thin veil of chakra. The amount of chakra that she invested into the technique was perfect, in addition to the balance and proportion to the chakra that she used to cloak her figure. She sunk beneath the ground completely, re-emerging a second later then peering at the orange haired girl.

"Alright.. now that that's done with.. c'mon." She'd state, clasping Violet's hand and running off eagerly toward the mansion.* - Sun Oct  4 17:49:39 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* - Sun Oct  4 17:53:55 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lord Hassan, im returning to Kirigakure - Sun Oct  4 17:53:55 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Safe travels. - Sun Oct  4 17:53:55 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Same. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Make sure you use protection. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Good luck with Sunagakure, Hassan-sama. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alright Violet? - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You too. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Both of you. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Use protection. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ...  - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Your parents that raised you. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: . - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Don't want you getting pregnant. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Ok??? - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Wow, I must have really shook him up. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Where the fuck did that come from? - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm gonna put some signs up.. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: All the women are leaving? - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Bummer. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Taiga. - Sun Oct  4 17:55:37 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) went along with it, folding her arms beneath her chest and sneering toward the male.

"Naturally."* - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: None of that talk. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hassan, you got some time to answer a question? - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You would be the last one to use protection. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'm sixteen, what do you expect sir? - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So wrap it up. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Or I cut it off. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sure Yan. - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ducktape works the best. - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Why are you all here? Why did you leave Kirigakure? - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I was asking the same question. - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I came here because I had a responsibility to uphold. - Sun Oct  4 17:57:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: I followed this guy/ - Sun Oct  4 17:57:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I repaired this village and so on so forth. - Sun Oct  4 17:57:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you wanna know my story read my book. - Sun Oct  4 17:57:20 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Koeki sent me here to bring you guys back. . . - Sun Oct  4 17:57:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: But there are quite a few Kiri shinobi here. - Sun Oct  4 17:57:20 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Who in particular? - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Koeki also sent me a letter. - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Me and Violet are returning. - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: All caps and bold. - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: So Kirigakure has some of it's problems as well. - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: All of you, Setsuko. - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She says and I quote: "Hal their asses back to Kiri for me please!" - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Those who don't come, shall be hunted down personally by her. . . - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Also. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Dang.. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I think Kirie went rougue. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Kirie? I don't think I've met her. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She's been gone for weeks. - Sun Oct  4 17:59:02 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) peered at Yan, specifically the scroll on his back. Her eyes squinted and her thirst of knowledge started surging.* - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She's native to Kirigakure. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Alright. - Sun Oct  4 17:59:02 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) went along with Violet. She was extremely curious about that scroll though.* - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: I can hear all their whispers. - Sun Oct  4 17:59:53 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) showed her headband to the guards.* - Sun Oct  4 18:05:00 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Ahhhh... I certainly love the environment here more than I do in Suna... - Sun Oct  4 18:07:34 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: No. - Sun Oct  4 18:10:08 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: No one yet. - Sun Oct  4 18:10:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thats great... I shall train in the mean time... Are you ok my Lady? - Sun Oct  4 18:10:59 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: I'm fine. - Sun Oct  4 18:10:59 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I just want you to know that I always here you you and Kirigakure... I would never leave your side  unless I was forced to make that decision - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Do you have any missions I can complete? - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Lera, Seisuke and Hassan have all decided to stay. . . - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Hassan suspects Kirie has gone rogue and is in hiding. - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Uhm, of course Hassan is staying. - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Kirie is a retired shinobi. - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Oh - - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Lera and Seisuke have no excuse however. - Sun Oct  4 18:14:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Maybe Lord Hassan is keeping them for some reason or another - Sun Oct  4 18:14:24 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: My reward for the mission, hrm? - Sun Oct  4 18:14:24 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Hm... - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: May I become more acquianted with Medical Ninjutsu with your help, Koeki? - Sun Oct  4 18:16:57 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Right. - Sun Oct  4 18:17:48 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Sure. - Sun Oct  4 18:17:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I shall complete it with speed my Lady - Sun Oct  4 18:17:48 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I simply need to know basics, for now.. - Sun Oct  4 18:19:31 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: I love you... - Sun Oct  4 18:23:47 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) shifted her golden gaze toward Violet, having heard the whisper. She'd keep her frustration to a minimum, though the scowl made it evident that she wasn't pleased with what she just heard. The blonde let out a tense answer. "No.. not now." She'd state, forcing herself to walk away.* - Sun Oct  4 18:26:20 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) walked up to a tree, throwing a quick barrage of kicks at it's perimeter, knocking it out of it's roots and sending it into the wall nearby. She'd shoot forth, smashing her four knuckles into the wall. She left a thick, circular indent in the wall, pulling her bleeding fist away from it.

"Damn it..." The emotionally hurt girl murmured, clenching her teeth and remaining silent as tears dripped from her face. For the first time since she'd gotten defeated by Mizumi, her face looked rabid and wild.* - Sun Oct  4 18:34:52 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) wiped her face clean of tears when they'd stop falling, returning to the courtyard in a saunter.* - Sun Oct  4 18:38:17 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yo. - Sun Oct  4 20:17:16 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) approached the bench that Violet was sitting at. She'd simply stare at the orange haired female before whispering to her.* - Sun Oct  4 22:21:00 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) whispers: Mind if I talk to you in private/ - Sun Oct  4 22:21:00 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) whispers: ? - Sun Oct  4 22:21:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Sure - Sun Oct  4 22:21:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Wait... not now... but in a little while ok? - Sun Oct  4 22:21:52 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) was frowning, rather than smiling as she usually did.* - Sun Oct  4 22:22:43 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) whispers: Okay little miss liar. - Sun Oct  4 22:22:43 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Lier??? - Sun Oct  4 22:23:34 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: The audacity..... - Sun Oct  4 22:23:34 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: What did I do? - Sun Oct  4 22:24:25 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) stormed away, her balled up fists tucked into her pockets.* - Sun Oct  4 22:25:16 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Guarantee she has the audacity to not even follow me and ask why she's frustrating me. - Sun Oct  4 22:26:08 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Was my desire, perhaps my love, directed to the wrong individual? - Sun Oct  4 22:26:59 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) scraped her fingernails of her right hand across the mountainous platform. Her left hand was balled into a fist at her side. She shifted her gaze toward the orange haired female, a rather rabid, if not savage, furious expression printed upon the blonde's features. At the same time it did a good job of concealing her regret and sadness.

"Grrr.." The blonde would grumble, her piercing golden stare setting itself upon her.* - Sun Oct  4 22:34:40 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Come.... here... - Sun Oct  4 22:35:31 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I don't come near damn liars. What're you going to do, beat me up because I'm telling the damn truth? - Sun Oct  4 22:36:22 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) lifted her right hand upright, coiling her fingers around the female's wrist and glaring down at her.

"You have the audacity to tell me you're not ready for relationships then you're sitting here telling people that you couldn't be together with them forever, then saying 'I love you' to Koeki." Her fury grew less reinforced as she spoke. She was toning down a notch because saying what she was saying was bringing sadness to her.

Her voice was slowly weakening.

"I actually was starting to love you... and you practically ignored that feeling..... now I'm left feeling like I chose the wrong person to start loving..." She'd state, her lip curling in displeasure. Her eyes would come to a narrow as though it'd help stop her from crying like she did earlier.

"I...thought that I could bear...not being able to grace everyone in the world.... so... why does it hurt when I can't grace you..?" Her voice was a whisper by the time she said this, regret and pain immersing her tone.* - Sun Oct  4 22:44:03 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: You show so much affection to everyone... but it's practically inept with me. What is it..? Do you hate me that much.....? - Sun Oct  4 22:44:54 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Why... does feeling hated... hurt..? - Sun Oct  4 22:44:54 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Why am I hurting at all..? - Sun Oct  4 22:45:45 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) struggled within the forced grasp, some of her anger directed to Violet being calmed. None the less, it made her even sadder.

"I.. don't want to bear seeing you get with someone other than me... why should I even try anymore when you haven't showed -any- interest in me..." She'd murmur, her golden stare focused on the earth at her feet. Setsuko really couldn't bear one-sided love. She wasn't used to not having her affection returned.* - Sun Oct  4 23:06:14 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) wasn't really sure if there was any affection behind the kiss. She was too frustrated emotionally.* - Sun Oct  4 23:07:56 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) whispers: I..I want you so badly... it's killing me.. - Sun Oct  4 23:13:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: You need to stop this obession with me... - Sun Oct  4 23:19:02 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Its not healthy - Sun Oct  4 23:19:53 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I..I'm not obsessed.. I just... don't know.. I love you.. a lot.. and I don't know hwy. - Sun Oct  4 23:20:44 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) guided her arms toward Violet, attempting to stay close to the female. She'd attempt to hide her face in any manner possible when her tears started flowing, even if it meant placing it against Violet's shoulder.

"I... I don't like being in control of my emotions..!" She'd outcry, trying to stifle her own sobs but failing greatly.* - Sun Oct  4 23:23:18 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Just tone it down ok? If it was meant to happen it will happen ok? - Sun Oct  4 23:24:09 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: B..But I can't bear the thought of it not happening... I.. I want us to be together... I really do.. - Sun Oct  4 23:25:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Setsuko... you cant force a relationship - Sun Oct  4 23:26:43 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Do you love me? - Sun Oct  4 23:32:41 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I... - Sun Oct  4 23:32:41 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) flushed, her wide, golden gaze setting itself upon Violet. Her hands would tense on their grasp of her shoulders.

"I..really..do... love you. I love you.. Violet..." She had a feeling that she was in love, but it hadn't fully dawned upon her until this point.* - Sun Oct  4 23:36:06 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Do you want tobe with me? - Sun Oct  4 23:36:57 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: T..That's what I've been saying. I want to be with you... but.. you've been ignoring my desire of that.. - Sun Oct  4 23:37:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well you need to calm down with everything you have been doing. No jealousy or anything; then maybe MAYBE I might consider another relationship...  - Sun Oct  4 23:43:47 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: B..But.. - Sun Oct  4 23:45:29 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: No buts... accept the terms of drop it - Sun Oct  4 23:46:20 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: or* - Sun Oct  4 23:49:45 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) drifted her stare downward.

"Okay..... can I.. stay like this with you..?" The blonde would state, her hands drifting from the orange haired girl's shoulders to her mid-back. She'd attempt to embrace the female closely.* - Sun Oct  4 23:52:19 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Sigh*... Sure - Sun Oct  4 23:53:10 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) whimpered lightly, hugging close to the female. She'd press her head to Violet's shoulder, leaning forth to do so.* - Sun Oct  4 23:54:01 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) fell asleep while embracing Violet, immersed in her comfortable warmth.* - Mon Oct  5 00:04:16 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) dragged Violet to her house, allowing the female to chill there or something. Setsuko wouldn't try anything. She'd leave a spare key for the orange haired girl when she desired to leave. The blonde would exit her house, heading off to the courtyard.* - Mon Oct  5 00:40:06 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) came back with several snacks. The female would consume a bag of barbecue chips, washing them down with soda. Afterward, the blonde would rearrange some things in her home, before tucking herself into a futon, falling asleep.* - Mon Oct  5 00:57:10 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thank you my Lady - Mon Oct  5 03:06:52 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: No problem. - Mon Oct  5 03:10:17 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Koeki... teach me some stuff... - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: .... - Mon Oct  5 03:12:51 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Excuse me? - Mon Oct  5 03:12:51 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Can you teach me Medical Ninjutsu..? - Mon Oct  5 03:12:51 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) caught it.* - Mon Oct  5 03:16:16 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) peered at the description of the technique within.

<This is simple...I'm not very good at reading though... I doubt she has the time to give me a demonstration. Oh well.>* - Mon Oct  5 03:26:30 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Hmm> - Mon Oct  5 03:33:20 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: So quite around here, - Mon Oct  5 03:33:20 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: I cant really feel Lord Ares here ... - Mon Oct  5 03:39:18 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: He's a foreign soul. - Mon Oct  5 03:40:09 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: He seems nice though. - Mon Oct  5 03:40:09 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Nnhhaaa... - Mon Oct  5 03:43:34 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Yo. - Mon Oct  5 03:45:16 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Finished the job - Mon Oct  5 03:45:16 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Jobs... oh yeah... ninja do those..zzz.... - Mon Oct  5 03:45:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: I see. ok then - Mon Oct  5 03:46:59 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Did you? - Mon Oct  5 03:47:50 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Good work. - Mon Oct  5 03:47:50 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Anything else I could do for you? - Mon Oct  5 03:48:41 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hm. - Mon Oct  5 03:48:41 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hmmm.... - Mon Oct  5 03:48:41 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Nope. - Mon Oct  5 03:49:32 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Not for now. - Mon Oct  5 03:49:32 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Aight. - Mon Oct  5 03:49:32 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Actually here - Mon Oct  5 03:51:15 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Show Tramerus around the village - Mon Oct  5 03:51:15 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I wonder if Setsuko is ok... She should be after what I did... - Mon Oct  5 03:53:48 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) exhaled lightly, sipping on a can of soda. Setsuko'd poke Violet's side, slipping a key into the female's pocket or hand.

"A spare to my apartment. Use it, give it to someone else or throw it out. Doesn't matter to me..~" She'd sneer lightly. It seemed she redeemed her confidence.* - Mon Oct  5 03:59:47 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Mon Oct  5 04:00:38 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Yo I don't think this dude wants to see our village. - Mon Oct  5 04:01:29 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Who's Izumi? - Mon Oct  5 04:03:12 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Mon Oct  5 04:03:12 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Zzzz... - Mon Oct  5 04:04:03 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hm. - Mon Oct  5 04:04:03 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: GO choose somone else then. - Mon Oct  5 04:04:54 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Aight. - Mon Oct  5 04:04:54 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: So so boring.. - Mon Oct  5 20:27:05 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Hey. - Tue Oct  6 21:40:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How are things? - Tue Oct  6 21:40:54 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Good. - Tue Oct  6 21:40:54 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Are you just visiting? - Tue Oct  6 21:41:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Tue Oct  6 21:41:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: There was nothing to do elsewhere. - Tue Oct  6 21:41:45 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Could you perhaps help me with learning elemental Ninjutsu? - Tue Oct  6 21:42:36 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I was going to learn from Lera... but she's kind of still in Suna... - Tue Oct  6 21:43:28 2015
