<br><font color=yellow>*Sabara, Izutora(Get Jazzy) eagerly regained his footing after performing the twin kicks. He'd take one cartwheel, well aware of his surroundings while doing such. The male would fish throughout his backpouch, demoralized when he found that he couldn't find a kunai knife. He clutched onto something that seemed to be much more useful for his tactics.

Suddenly, his hand would emerge from his backpouch...holding.... a fish. He'd whip the fish directly at Amon, and without a second thought he'd bound off of his feet, performing a quick spin backward throughout the air, before shooting toward Amon, his left leg tucked in and his right leg extended out. He aimed to smack his sole into Amon's jaw.

"Dynamic Entry!"* - Tue Oct  6 02:16:06 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I shall! - Wed Oct  7 20:16:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: If you cannot react, your speed and strength is for nothing. - Wed Oct  7 20:16:51 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Thanks Nizzy.~ - Wed Oct  7 20:17:42 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I will train my reaction time to the best of my ability, Lord Raikage! You are a kind, youthful man indeed! - Wed Oct  7 20:17:42 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: What. - Wed Oct  7 20:18:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: .. She's not your girlfriend? - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Lord Raikage, would it be wise of me to wear my headband here? As kind and youthful as the shinobi here are, I may spite them with my affiliation! - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ... - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Wear your headband if you wish. - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: And no, Misa. - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: She is not. - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What made you think we were dating. . ? - Wed Oct  7 20:20:16 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Don't you have one? I could've sworn you had a girlfriend. - Wed Oct  7 20:20:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I have none. - Wed Oct  7 20:21:07 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: D'awwwww, lonely Niza.~ - Wed Oct  7 20:21:58 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Wed Oct  7 20:21:58 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . .  . - Wed Oct  7 20:27:05 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) maintained a steady pace with his pushups. He was training his upper body strength as successfully as possible. For someone of his training in Taijutsu, he was barely sweating from this activity. The jumpsuit wearing male continued to pump downward, stating the number he was on for pushups. Upon reaching the hundredth pushup he'd bounce off the earth by applying a firm rush of strength to his palms, backflipping over Genesis' frame the very moment his frame was positioned upright.

He'd pivot on his left heel, leaning forth and throwing his arms out behind him, rushing away from the vicinity eagerly.* - Wed Oct  7 20:27:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 00:02:08 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 00:02:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: First people didn't talk enough...now they talk to much... - Thu Oct  8 00:02:08 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Well, that was a fun conversation... I guess? - Thu Oct  8 00:02:59 2015
<br><br><font color=teal>*Pebble Lee(Get Jazzy) says: Bitch. - Thu Oct  8 00:03:50 2015
<br><br><font color=teal>*Pebble Lee(Get Jazzy) says: -omit saying bitch- - Thu Oct  8 00:04:41 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Hello! - Thu Oct  8 00:12:22 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I'm Khalil. - Thu Oct  8 00:12:22 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: nah nigga, i dont want anything to do with you - Thu Oct  8 00:13:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I overheard someone speaking of titles before. - Thu Oct  8 00:13:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Would you like to help me conjure a title for myself? - Thu Oct  8 00:14:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: titties* - Thu Oct  8 00:14:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: -omit- - Thu Oct  8 00:14:04 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I dunno'. - Thu Oct  8 00:14:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Question, Misa.. - Thu Oct  8 00:14:56 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Yeah?~ - Thu Oct  8 00:14:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Do you resemble your mother of father? - Thu Oct  8 00:14:56 2015
<br><br><font color=teal>*Caillou(Reddestror2) thinks: Must be her pimp.. - Thu Oct  8 00:14:56 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) started stretching.* - Thu Oct  8 00:15:47 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Uhm.. - Thu Oct  8 00:16:38 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ..... I don't actually know.. - Thu Oct  8 00:16:38 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Probably mama, teehee.~ - Thu Oct  8 00:16:38 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 00:17:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Ugh... - Thu Oct  8 00:17:29 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: Her airhead stat is higher than her youth stat? What is this madness? - Thu Oct  8 00:17:29 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: What is wrong with people? And I thought I was messed up. - Thu Oct  8 00:18:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: He's stretching... - Thu Oct  8 00:18:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: If he makes any potential moves...His throat is mine... - Thu Oct  8 00:18:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: Same with the rest of these hooligans... - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: Always making a ruckus amongst the soil. - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Why'd you ask, Orthy?~ - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: I did make her a promise, and I must keep it. - Thu Oct  8 00:19:12 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) starts doin'some Goku stretches. All that leg stretchin'and what not. He squinted at Misa.

"How unyouthful..." He'd murmur.* - Thu Oct  8 00:20:03 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Done what long? - Thu Oct  8 00:20:54 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ...You know been in this...commensalistic relationship... - Thu Oct  8 00:21:45 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Thu Oct  8 00:22:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It's a simple friendship, nothing more. - Thu Oct  8 00:22:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 00:23:28 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: You seem very protecttive of your.. friend. - Thu Oct  8 00:23:28 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I made a promise. - Thu Oct  8 00:23:28 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sabo don't break promises.~ - Thu Oct  8 00:23:28 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sabo's always too serious.~ - Thu Oct  8 00:26:01 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: E-ehh, clothes I'm not trying to offend or mess with your business! I'm just trying to help... - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: She's capable of purchasing her own clothes. I don't own her. - Thu Oct  8 00:26:52 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) beamed with delight, his beaty eyes flickering toward Sabo.

"You are a youthful individual! You're destined for potential indeed, if you haven't achieved it already, kind sir!"* - Thu Oct  8 00:27:44 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Thu Oct  8 00:27:44 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: Is this some kind of youth priest...? - Thu Oct  8 00:27:44 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: If so, I'll be killing it. - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... You can give it to her as a gift.. - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Now! I must perform my daily mountain climbing! - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I've other things in mind for a gift. - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 00:30:17 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sabo, I wouldn't mind if you killed him. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Just putting that out now. - Thu Oct  8 00:31:08 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) ran across the ground, moving to Sabo's left and going further out, approaching the mountainous terrain. He'd bend his knees, taking a giant leap into the air. He'd somersault throughout the air, clasping his hands firmly to the large body of land, hanging from it with his hands pressed to the conjoined rocks. His figure dangled from his seventeen foot high placing on the mountain.

Izutora bent his arms, pulling himself upward then extending his arms out again as he descent to his normal elevation. He'd count out every lift.* - Thu Oct  8 00:32:00 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Soooooooooooooooo.... - Thu Oct  8 00:36:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I could have. - Thu Oct  8 00:36:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: But then you'd only have a split second to move before I removed your head from your shoulders. - Thu Oct  8 00:36:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: And that's unfair. - Thu Oct  8 00:36:16 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Why is everyone so quiet. - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't know.. - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Let's party! - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Yeah! - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Lets get something to drink! - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'll do my sword trick. - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Oh.. I don't wanna drink, sake. - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Too bad, I'm forcing you. - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Wow you are a pretty rude guy. - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Last time people went to eat and drink... - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: The ramen shop...turned into a death arena... - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: People nearly died. - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't wanna drink. - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: Scary as shit. - Thu Oct  8 00:40:32 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: --- - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) thinks: Stripper? Huh. - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ---- - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) whispers: What is a stripper? - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: When was this...? - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: What is a stripper? - Thu Oct  8 00:45:39 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Thu Oct  8 00:46:30 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I quit you know.. I don't do those things anymore. - Thu Oct  8 00:46:30 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: How much did you strip for? - Thu Oct  8 00:46:30 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Why do you want to know? - Thu Oct  8 00:46:30 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Just cruiose My head is always bald, but i wonder how much you got for bareing all. - Thu Oct  8 00:47:21 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Respectfully. - Thu Oct  8 00:48:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sabo, relax. It was a joke. - Thu Oct  8 00:49:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 00:50:46 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Tch... - Thu Oct  8 00:52:28 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) 

(*Kohaku looked up as she'd see the piece of wood, her body suddenly struggling more then before..She didn't want that again! No! The uchiha struggled as much as she could, but it was futile..Rymei would also notice a carved in tatoo right above the female's ass...Kohaku would've heard the word punishment as she'd have flashbacks from kirie..and then to edge..Why..did people always have to do this..?

She'd bite onto her tonuge tightly, causing a bit of blood to come out of it as rymei forcefully inserted the piece of wood inside of kohaku, she wasn't an ass-virgin, but she was still pretty tight..So it would hurt like all hell. Kohaku's bum suddenly began to swirl with pain as it got warm and painful. The girl let out a scream, but kept her tongue bitten down as it was more of an inside scream..Her finger continued to bleed out, her body shaking profusely..She didn't like this one bit..

The girl's breathing increased as her heart rate went up, she was going through a panic attack as memories flooded into her mind from the hours of torture done to her ass..Painful memories scarring her brain as the girl was shaking even more then before, going through a large panic attack.*)* - Thu Oct  8 00:56:44 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: What was his name. - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Ushinawa? - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: That's my twin I can't find. - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Ironic. - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: .... - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: We don't look nothing alike.~ - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I can end your search right now. - Thu Oct  8 01:02:43 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Huh, you know where he is? - Thu Oct  8 01:02:43 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Thanks. Uh, Sabo I would bring you along but...  - Thu Oct  8 01:11:15 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I understand. - Thu Oct  8 01:11:15 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sorry.. - Thu Oct  8 01:12:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It's fine. - Thu Oct  8 01:12:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Just be safe. - Thu Oct  8 01:12:06 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: From the stories I've heard, I'm nowhere safe. - Thu Oct  8 01:12:57 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Thu Oct  8 01:16:22 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: .. - Thu Oct  8 01:19:47 2015
<br><br><font color=teal>*Caillou(Reddestror2) thinks: Not when your dressed like that. - Thu Oct  8 01:19:47 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: That hawk is more youthful than her... - Thu Oct  8 01:32:35 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: So... - Thu Oct  8 01:41:07 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: How's everyone? - Thu Oct  8 01:41:07 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 01:41:58 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 01:48:48 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Don't all talk at oce. - Thu Oct  8 01:49:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm fine thanks... - Thu Oct  8 01:49:39 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: So are we going to talk about the.. - Thu Oct  8 01:49:39 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Stripper? - Thu Oct  8 01:49:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: As a twelve year old. - Thu Oct  8 01:49:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I don't think I should. - Thu Oct  8 01:50:30 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: I think   we should. - Thu Oct  8 01:50:30 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: You saw way to much. - Thu Oct  8 01:50:30 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm good thanks. - Thu Oct  8 01:50:30 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: A few days ago that lady punted me in the face, That conversation was nothing. - Thu Oct  8 01:51:21 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 01:51:21 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Why? - Thu Oct  8 01:51:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I did something stupid to lighten the mood. - Thu Oct  8 01:51:21 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Go on. - Thu Oct  8 01:53:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: She much not have liked it, And she kicked me in the face. - Thu Oct  8 01:53:55 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 01:54:46 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Did you hit her back? - Thu Oct  8 01:54:46 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: No. - Thu Oct  8 01:55:37 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: You should have. - Thu Oct  8 01:55:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why? - Thu Oct  8 01:55:37 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Hit for a hit. - Thu Oct  8 01:55:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I probably couldn't have. - Thu Oct  8 01:55:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: She older, stronger, fast and has more experience than me. - Thu Oct  8 01:55:37 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: You can still try. - Thu Oct  8 01:55:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Not really, It's not my thing. - Thu Oct  8 01:56:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm not going to lash out at someone over that. - Thu Oct  8 01:56:28 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: They hit you though.. - Thu Oct  8 01:59:53 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: but okay. - Thu Oct  8 01:59:53 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I don't care really, It's nothing to get excited over. - Thu Oct  8 02:03:18 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Welp, I'm going to go for a walk. - Thu Oct  8 02:05:00 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: .... - Thu Oct  8 02:05:00 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Wait, what? - Thu Oct  8 02:10:59 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I do not know what you said.. - Thu Oct  8 02:10:59 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: First time, actually. - Thu Oct  8 02:10:59 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ...  - Thu Oct  8 02:10:59 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: NNice. - Thu Oct  8 02:10:59 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is sleep head on rock. . . Make head hur'  . - Thu Oct  8 02:10:59 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Ouch, that sounds.. - Thu Oct  8 02:13:32 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Like it hurts. - Thu Oct  8 02:13:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo. - Thu Oct  8 02:14:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Would anyone like to spar? - Thu Oct  8 02:14:24 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 02:14:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Very well then. - Thu Oct  8 02:16:06 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Nah im good. - Thu Oct  8 02:16:57 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Why did you sleep on a rock? - Thu Oct  8 02:17:48 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 02:23:47 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Ugh. - Thu Oct  8 02:23:47 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: I'm so bored. - Thu Oct  8 02:24:38 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... Hows having hair? - Thu Oct  8 02:34:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hideki. - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Aye. - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Pretty sure Suitengu is dead. - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Pretty sure Suitengu is dead. - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: You're gonna wake up and work hard at... - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who killed him. - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yan and Muhammed. Most likely. They went after him and the girl with Wings. - Thu Oct  8 02:38:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ............. - Thu Oct  8 02:39:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I escaped, they didn't seem like they were going to make it. - Thu Oct  8 02:39:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Is the girl with wings dead as well? - Thu Oct  8 02:39:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Tight.  - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You can't kill them, Hideki. - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I guess that will change. - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I was not able to enter the village. - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Dont try. - Thu Oct  8 02:40:00 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) peered at Lyala with his fierce, beaty stare. He grinned, one of his teeth glistening.* - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You'd be better off killing yourself. - Thu Oct  8 02:40:51 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: But, I won't stop you. - Thu Oct  8 02:40:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I just don't understand it. - Thu Oct  8 02:40:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why would they kill Suitengu. - Thu Oct  8 02:40:51 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh, he killed Taiga. - Thu Oct  8 02:41:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: In the middle of Suna it would seem like - Thu Oct  8 02:42:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who was with him, besides you, Baen? - Thu Oct  8 02:42:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The paper girl - Thu Oct  8 02:43:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He just told ou. - Thu Oct  8 02:43:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You* - Thu Oct  8 02:43:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sorry, I'm clouded with rage right now. - Thu Oct  8 02:43:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, any idea where this paper girl went? - Thu Oct  8 02:44:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Not in the slightest - Thu Oct  8 02:45:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see... - Thu Oct  8 02:45:07 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Then I will plan ahead of time. - Thu Oct  8 02:45:07 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) bent his knees, looking onward in front of him. He'd run forward as fast as possible, then proceed to take a leap at the very last second when he was only inches from faceplanting against the wall. He'd proceed to somersault through the air, then slam his feet against the tall structure. He'd extend his arms out, performing a flexibility stretch while clasping onto the rocks at the same time, securing his position nineteen feet high on the mountain that Kumogakure's mansion stood atop.* - Thu Oct  8 11:46:08 2015
