<br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You not up for it? - Fri Oct  2 23:36:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I don't have money, like Hideki does unfortunately. - Sat Oct  3 07:25:26 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) enters his room. He walks towards the floor and then lays down on it. He executes a couple of sit-ups thoughtfully. "Can I keep getting stronger? I wonder how far I can push my limits." Mamoru questioned quietly.* - Sat Oct  3 16:00:51 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I'll be back momentarily... - Sat Oct  3 17:18:30 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: It's just a way of life I guess. - Sat Oct  3 17:41:32 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: A corrupt way of life.. - Sat Oct  3 17:42:24 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I fight to protect the people I care about and to protect myself. - Sat Oct  3 17:44:06 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: But why do we feel the need to fight in the first place? - Sat Oct  3 17:44:06 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It's this corrupt system that convinces us that it's ok to view ourselves as weapons rather than humans. - Sat Oct  3 17:44:06 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I personally don't like it. - Sat Oct  3 17:44:57 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: There's one murderer after another in this world... - Sat Oct  3 17:44:57 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Then why continue this cycle of death and sorrow? - Sat Oct  3 17:44:57 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Violence breeds more violence. - Sat Oct  3 17:45:48 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: People fight and kill for peace, but it's not peace that they bring - Sat Oct  3 17:46:40 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Killer's corrode their own way of reasoning because they kill. There's no changing from a killer. - Sat Oct  3 17:50:04 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: If there is, I've never seen it happen.. - Sat Oct  3 17:50:04 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: That guy... he wasn't going to change his mind regardless... - Sat Oct  3 17:50:56 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You don't know that. - Sat Oct  3 17:50:56 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: He came to kill everyone. - Sat Oct  3 17:50:56 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: He could have been talked to. - Sat Oct  3 17:50:56 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: His blood -wreaked- of thirst to kill.. - Sat Oct  3 17:51:47 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: He had the potential to be reasoned with. - Sat Oct  3 17:51:47 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Everyone has the potential to be reasoned with. - Sat Oct  3 17:51:47 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Bye.. - Sat Oct  3 17:59:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: No need to be so quiet. - Sat Oct  3 19:40:09 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You know we all helped - Sat Oct  3 19:40:09 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I mean - Sat Oct  3 19:40:09 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: While you were in the front lines. - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We were in the beack ready to back you up. - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Giving you moral support and good vibes - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yeah, yeah. - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: They helped greatly as you can see since you defeated him. - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: With out help. - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Didn't you hear us giving you the best vibes we could offer? - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: It was a great team effort. - Sat Oct  3 19:41:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: While the other guy was preaching of peace - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: But really, you didn't do it without help. We all helped. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: All of us. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We gave you support - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yeah. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: All of us. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Specially us. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Team effort. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I mean you did kill the guy but - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: But it was mostly the two of us and you. - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: In reallity we were the real MVPs - Sat Oct  3 19:41:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Even that one girl, I bet she jumped in because she felt the vibes. - Sat Oct  3 19:42:43 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'm telling you man. - Sat Oct  3 19:42:43 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: We really helped out. - Sat Oct  3 19:42:43 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yeah. - Sat Oct  3 19:46:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: If it werent - Sat Oct  3 19:46:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: because of the good vibes. - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: She would not have arrived. - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: It was us really - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We were the backbone of the whole situation. - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Of course, of course. - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: We understand your rebuttle  - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: But you have to understand. - Sat Oct  3 19:46:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: We were the ones supporting your arm as you cut that mans head off. - Sat Oct  3 19:47:50 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: With out good vibes. - Sat Oct  3 19:47:50 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: our* - Sat Oct  3 19:47:50 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Indeed - Sat Oct  3 19:47:50 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Good job us. - Sat Oct  3 19:47:50 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We did every thing now that I think about it. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yep. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We will take credit for that victory. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: It actually wasn't that much of a team effort. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: After all. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: One guy only blowdried the mans hair. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: And the other guy just preached. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Don't worry, we won't let the burden of credit bear down on your shoulders. - Sat Oct  3 19:48:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I know its hard to carry. - Sat Oct  3 19:49:32 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: So we'll carry it for you. - Sat Oct  3 19:49:32 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yes indeed. - Sat Oct  3 19:50:24 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We are the real MVPs as I said. - Sat Oct  3 19:50:24 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Also it was a shame that our good vibes did not strengthen the blade that shattered into a million peaces - Sat Oct  3 19:51:15 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Shame indeed - Sat Oct  3 19:51:15 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Shame. - Sat Oct  3 19:51:15 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: But we got a giant ass blade out of it. - Sat Oct  3 19:51:15 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Which is excellent! - Sat Oct  3 19:51:15 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Our good vibes is what brought you this blade. *He hefts it up onto his shoulder for emphasis.* - Sat Oct  3 19:51:15 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) remains fairly silent. Eventually, after he wakes up, Mamoru glances at the two of them. "Right, well. Thanks, for all that moral support." He stated. He doesn't seem to care about the Kubikiribocho.

Amon could take it. He didn't care. It wasn't Mamoru's problem. After all, after Mamoru tested its durability, it didn't compare to Chiharu's own body. 

"Go ahead and carry it. I don't care." He tries to shrug off Bernadotte's arm--he was being too familiar with Mamoru.* - Sat Oct  3 20:01:29 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Really? You mean it? - Sat Oct  3 20:02:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 20:02:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's not really my blade. - Sat Oct  3 20:02:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And it isn't my problem. - Sat Oct  3 20:02:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I mean, it's something Chiharu wants though. - Sat Oct  3 20:03:12 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I mean, I know we deserve such a prize for having such an impact in that fight. But I felt it necessary to ask you first. - Sat Oct  3 20:03:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Who are you two anyways, exactly? - Sat Oct  3 20:05:45 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: We're the two pals that helped you out. - Sat Oct  3 20:05:45 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yeah. - Sat Oct  3 20:05:45 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Now if you excuse us. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Uh...huh. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We need to carry this giant thing out - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Where exactly are you carrying the sword though? - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Dunno. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: To infinity and beyond - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'd just leave it there if you don't have a destination. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: No point in moving it. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: But. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Theres plent of stumps. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: To swing this at. - Sat Oct  3 20:06:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'd probably not use it for that. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: What else could you practice it on then? - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Why practice with it? - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I don't think people is a good idea. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Why not? - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I want to find out what kind of blade that is. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Do you not see this? - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It doesn't look like a normal sword. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Do you not see how -cool- it is? - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I don't see it as a weapon, that's for sure. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I see it more like a.... - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: An object of interest. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Its an object of interest that I see as a weapon! - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Right? - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Its so cool! - Sat Oct  3 20:08:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you want to train with it or something? - Sat Oct  3 20:08:19 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yep. - Sat Oct  3 20:08:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Ask Chiharu first. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You said we could take it - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If she doesn't mind, I don't mind. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Where are they? - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I said you could carry it. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I didn't say you could take it. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'll show them how much credit we deserve for that. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: well we are carrying it out of here. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: It still falls under carrying it - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Carrying it is two words. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Carry it out of here is five. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Where is this Chiharu person then? - Sat Oct  3 20:10:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We shall carry it to her. - Sat Oct  3 20:10:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: To ask her. - Sat Oct  3 20:10:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Probably outside. - Sat Oct  3 20:10:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Outside.. where? - Sat Oct  3 20:10:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Arena. - Sat Oct  3 20:10:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll come with you. - Sat Oct  3 20:11:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Onwards! - Sat Oct  3 20:11:44 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) drinks some milk. After finishing the glass, he places it on the table and stands up.* - Sat Oct  3 20:11:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That blade seems way too large... - Sat Oct  3 20:12:35 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: She isn't here apparently... - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You two okay with carrying it a bit further? - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Hnnn... - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yep! - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: DOnt really see anyone here. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We got this. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: And by we i mean he. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Bernadotte is providing moral support. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Uh huh. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He did that the other day. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let's keep going. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Maybe at the mall? - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 20:14:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: She isn't here either. - Sat Oct  3 20:14:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Maybe at my house. - Sat Oct  3 20:14:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Not here either. - Sat Oct  3 20:14:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Maybe at Hanabi's grave. - Sat Oct  3 20:14:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: There's a new gra-- - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: ... - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Oh. - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's the owner of the blade's body. - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Oh. - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: The guy we helped take down. That is. - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Right. - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: The guy we -took- down - Sat Oct  3 20:16:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let's wait for her here for now. - Sat Oct  3 20:16:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You okay? - Sat Oct  3 20:16:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Carrying that all this way. - Sat Oct  3 20:16:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Impressive. - Sat Oct  3 20:18:33 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: This thing is fuckin' heavy though. - Sat Oct  3 20:19:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Jesus. - Sat Oct  3 20:19:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey, Chiharu. - Sat Oct  3 20:33:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you want to go practice? - Sat Oct  3 20:33:04 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Uhhhhh.. sure. - Sat Oct  3 20:33:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Come. - Sat Oct  3 20:33:55 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What do you want to practice? - Sat Oct  3 20:34:46 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Um.... hmm.. - Sat Oct  3 20:34:46 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hand to hand combat, I guess. - Sat Oct  3 20:35:37 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ....Alright. - Sat Oct  3 20:36:28 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Actually...er.. - Sat Oct  3 20:36:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sure. - Sat Oct  3 20:36:28 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Oh, alright. - Sat Oct  3 20:36:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If you want to that is. - Sat Oct  3 20:39:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I don't mind anything. - Sat Oct  3 20:39:02 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: You choose, this time around. - Sat Oct  3 20:39:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I figured we could do hand to hand combat. - Sat Oct  3 20:41:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That sounds fine by me. - Sat Oct  3 20:41:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Just go easy on me; I'm still injured. - Sat Oct  3 20:41:36 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Okay... - Sat Oct  3 20:43:18 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) bent his knees and rose his right hand. He twists his body so that he faced the left. His face turned and craned to face Chiharu. "Alright." He steps forward, sliding his feet forward. His right hand is prepared for contact.* - Sat Oct  3 20:45:00 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) // Immediately, his right hand jets out in an attempt to block the right hook and slap it to the side with his strength. His left hand, which was free, is thrusted towards Chiharu's chest in a palm thrust to push her backwards.* - Sat Oct  3 20:48:25 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) aims to block the left palm with the innard of his elbow, by bringing it closer to his body. His free hand was used again, trying to smack into Chiharu's chest once more and push against her right breast, to try and push her backwards once more. He didn't want to hurt her after all, so he was using palm strikes.* - Sat Oct  3 20:53:32 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) smiles at Chiharu.

"What's unfair?" He asked. "I'm just trying to use palm thrusts so that you don't get hurt."* - Sat Oct  3 20:58:40 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) realizes what he did.

"Oh.... sorry. I didn't mean it like that. I meant the palm thrusts, so that I didn't hurt you. And your chest was just the most available region to hit."* - Sat Oct  3 21:03:47 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I..It's fine.. - Sat Oct  3 21:04:38 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) smiles at her.

"Sorry. I'll keep that in mind." He stated. "Let's take a break."* - Sat Oct  3 21:07:12 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Alright... by the way... j-just make sure you don't do that unexpectedly, okay..? - Sat Oct  3 21:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Y-Yeah. - Sat Oct  3 21:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll keep that in mind. - Sat Oct  3 21:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sometimes I forget that you're a girl. - Sat Oct  3 21:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Since you're always my weapon and you act like my best friend. - Sat Oct  3 21:08:03 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Oh.. - Sat Oct  3 21:08:54 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: My bad. - Sat Oct  3 21:08:54 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You want to go get something to eat? - Sat Oct  3 21:08:54 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Sure. This time you can choose for me, instead of it being the other way around. - Sat Oct  3 21:09:45 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) grasps Chiharu and walks over to the restaurant.* - Sat Oct  3 21:14:01 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: How about some takoyaki? - Sat Oct  3 21:14:52 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) orders the takoyaki and smiles at Chiharu.

"It's fairly good, in my opinion at least."* - Sat Oct  3 21:17:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So what's your favorite food? Just wondering. - Sat Oct  3 21:19:08 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmmm... - Sat Oct  3 21:21:42 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I don't know, I like cinnamon buns a lot, though. - Sat Oct  3 21:22:33 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I think that's a bit sweet. - Sat Oct  3 21:23:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm not much of a sweet tooth. - Sat Oct  3 21:23:24 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I like anything that's sweet. - Sat Oct  3 21:25:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So we differ on that a little. - Sat Oct  3 21:25:58 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Yeah. But that won't stop us from being partners..~ - Sat Oct  3 21:27:40 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) // "Right." Mamoru aims to pat Chiharu on the shoulder.* - Sat Oct  3 21:28:32 2015
