<br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Are you a sex slave? - Thu Oct  1 02:47:15 2015
Again once the fireball had burned out he was at it again, building up his chakra and quickly zipping through each handseal the jutsu had, he had gotten quite good with the handseals now. Once more he pushed his chakra out, releasing it as he breathed out. Focusing on the chakra he was expelling he moulded it into a fireball, trying to retain it's shape and not expend the chakra within it. This time the fireball came out looking a little better, it seemed to not be so irratic and lasted a little longer than before.

Eventually said fireball died out and he wasted no time in getting ready to build up his chakra, taking only seconds to do so. Once he had gone through the handseals with ease he again pushed his chakra up and out of his body, concentrating on it as he formed a fireball with it. He made sure to keep his chakra in check, not wanting to waste or expend any more chakra than he had to. Again the fireball came out a little better, it was much more rounded and controled like it should look.

He pressed on, knowing he could improve his control over this jutsu even further. Quickly he kneaded chakra within his body, finishing doing so within a few seconds. Once he had done that he deftly went through each handseal the jutsu required, inhaling shortly after and releasing all his chakra at once. He focused on making the fireball as he released his chakra, concentrating on refining it's shape and keeping it's chakra volume at bay. Slowly but surely he was increasing how well the fireball was maintained, a few more practises and he knew he would have it down.

The continued use of of the jutsu had started to take it's toll on his body but he wasn't going to give in now. Once more he began kneading chakra into his stomach, slowly but surely building it up to the point he could use it. Once he was done he motioned through the handseals of the jutsu as quickly as he could and inhaled, gathered his chakra to his chest and exhaled. As he did a fireball would start to amass and grow infront of himself. Carefully he controled his chakra, refining his use of it little by little. The fireball he made this time was of a considerable difference to the first he made, being much more round and looking much more stable.

Now he had finally started to tire out, feeling fatigued and hungry he knew he'd needed to rest soon but he wanted to squeeze one more little practise out before he went to rest a while. He started up building chakra again, finishing quickly after he started. He then rushed through each handseal at a moderate speed, pushing his chakra up to his chest as he inhaled. He would then exhale and push his chakra out with it, forming the usual fireball just infront of his face. He made sure to concentrate on keeping it as stable, refined and controled as he possibly could, the end result being a fireball twice his size that was almost perfectly round and controled. It still needed some tiny tweaks, but that could wait, for now he needed to rest a while.* - Fri Oct  2 20:32:38 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: ...... - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: She uses that fan to amplify her Fuuton...interesting. - Fri Oct  2 20:48:00 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: How did this spar escalate so fast..? - Fri Oct  2 20:48:51 2015
<br><br><font color=teal>*Kenkai(Gokuflash) thinks: A fan for a weapon, wow......Good job... - Fri Oct  2 20:48:51 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I was only gone for a few minutes.. - Fri Oct  2 20:48:51 2015
<br><br><font color=teal>*Kenkai(Gokuflash) thinks: ...at being utterly pathetic. - Fri Oct  2 20:48:51 2015
<br><br><font color=teal>*Kenkai(Gokuflash) says: Good Job.. - Fri Oct  2 20:50:33 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Suitengu, who you think going to win? - Fri Oct  2 20:51:24 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I have my money on the one with the letter 'i' in their name. - Fri Oct  2 20:51:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I have to agree with you on that. - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ^ - Fri Oct  2 21:04:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: -omit9 - Fri Oct  2 21:04:12 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: Don't they both have the letter 'i' in their name? - Fri Oct  2 21:05:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Theres no 'I' in team. - Fri Oct  2 21:05:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: -omit- - Fri Oct  2 21:06:46 2015
<br><br><font color=teal>*Kenkai(Gokuflash) says: I'll be right back.. - Fri Oct  2 21:11:02 2015
<br><br><font color=teal>*Kenkai(Gokuflash) says: Damn...I want a fight now. - Fri Oct  2 21:22:59 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mmm... - Fri Oct  2 21:23:50 2015
<br><br><font color=teal>*Kenkai(Gokuflash) says: I assume your down for it? - Fri Oct  2 21:23:50 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Maybe. - Fri Oct  2 21:27:15 2015
<br><br><font color=teal>*Kenkai(Gokuflash) says: Huh. - Fri Oct  2 21:28:06 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Lead the way. - Fri Oct  2 21:29:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Hm...Interesting. - Fri Oct  2 21:43:28 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) took a long rest, making sure to eat a fair bit when he did. Once he was done with said rest he got right back to the training field to begin again. This time he would be training his accuracy with the fireball, setting up a few targets...or rocks to aim and shoot at. He positioned himself in a good place to shoot at all the rocks and built up his chakra. He then did each handseal and formed the fireball, easing back on it's power by about half so he didn't cause too much damage, he then shot it off as best he could, over shooting the rock entirely.

A little less than impressed with himself he began building up chakra to try again, partially thinking he knew what he did wrong. Again he formed each handseal and repeated the cycle of inhaling, pushing his chakra up and exhaling to form the fireball. Once it was fully formed he shot it off again, undershooting the rock and causing some damage to the floor. He confirmed in his head that he simply needed to adjust his chakra control in order to fire it correctly.

Now that he confirmed his theory he began building up chakra to try again, a little more determined and driven than before. Once he was ready he formed the handseals to the jutsu one after the other. He then inhaled, gathered his chakra to his chest and exhaled, blowing out and slowly forming a fireball just infront of himself. He remembered to ease back on the power so it was formed within a second, once it was he then fired it off, using chakra to propell the fireball. He used too much chakra and overshot the rock again, but only by a little.

Once the jutsu hit the ground and dissiptated he began building up his chakra again, doing so rather quickly. As soon as he was again ready he formed the handseals for the jutsu with ease and inhaled. He pushed his chakra up and out with his breath and focused on creating the fireball with it. Once the fireball had been formed he again used his chakra to propell it, easing back a little this time. Again he missed, falling just short of the rock he head placed down as a target.

He was getting a little annoyed with himself but closed his eyes to focus his mind, trying to clam himself and not get too ratty with the training. He knew what he had to do, he just needed to keep working on it. Once he had built his chakra up he powered through each of the handseals, inhaling shortly after. He then did the usual as he exhaled, pushing his chakra up and out. He formed the fireball and kept it in place, focusing on his chakra. With his chakra he then pushed the fireball forward, shooting it directly at the rock. The rock was hit and destroyed and with that, his training of this jutsu was complete.* - Fri Oct  2 21:45:10 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: In the last few days I gained access to a group ran by some guy named Edge. - Fri Oct  2 22:05:39 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Where? - Fri Oct  2 22:05:39 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Oh...Misa. Hi. - Fri Oct  2 22:05:39 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: He's holed up in Kenshin's old village. - Fri Oct  2 22:05:39 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Fri Oct  2 22:05:39 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Hello Sabo, oh. - Fri Oct  2 22:05:39 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Anyways. - Fri Oct  2 22:06:30 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: To get to the point. - Fri Oct  2 22:06:30 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: Edge.. exactly whom I need to find. - Fri Oct  2 22:06:30 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Guess that's my next location. - Fri Oct  2 22:06:30 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I didn't hear much of his plan, but it sounded to me like he plans to attack the major villages. - Fri Oct  2 22:06:30 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Edge...Hm...Sounds like a dodgy person. - Fri Oct  2 22:07:21 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: So far, he explained that he's been watching over Konohagakure through the use of rats. - Fri Oct  2 22:07:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Rats? Must be a summon. - Fri Oct  2 22:07:21 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: So...If you don't like being spied on, I suggest getting an exterminator... - Fri Oct  2 22:07:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Interesting, But what's his aim? Why our village? - Fri Oct  2 22:08:12 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Edge plans on taking grasp of each village or Kenshin..? - Fri Oct  2 22:08:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Each village. - Fri Oct  2 22:08:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: His goal is to destroy every village. - Fri Oct  2 22:08:12 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Fri Oct  2 22:09:04 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: Each village? - Fri Oct  2 22:09:04 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Edge.. or Kenshin..? - Fri Oct  2 22:09:04 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Edge. - Fri Oct  2 22:09:04 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I see, I see. - Fri Oct  2 22:09:55 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: And the name of these rats weren't disclosed? - Fri Oct  2 22:09:55 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: No, because he uses...literal rats. - Fri Oct  2 22:10:46 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ..... - Fri Oct  2 22:10:46 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Ha. - Fri Oct  2 22:10:46 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I assumed he's using the summoning technique for this. - Fri Oct  2 22:11:37 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: ..Oh.. - Fri Oct  2 22:11:37 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Literal... rats.. - Fri Oct  2 22:12:28 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Very well.. - Fri Oct  2 22:12:28 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: We'll just bomb the village ourselves. - Fri Oct  2 22:12:28 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'd also like to mention... - Fri Oct  2 22:13:20 2015
<br><br><font color=teal>*Arnitanu(Brosis55) thinks: Bomb the village? - Fri Oct  2 22:13:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: He had these rods. - Fri Oct  2 22:13:20 2015
<br><br><font color=teal>*Arnitanu(Brosis55) thinks: I just got done being injured.. - Fri Oct  2 22:13:20 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Rod.. - Fri Oct  2 22:13:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Not sure what they do, but he made them sound...important. - Fri Oct  2 22:13:20 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Elaborate. - Fri Oct  2 22:13:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: He said they were necessary for his plan. - Fri Oct  2 22:13:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Anyways...That's all the information I have as of now. - Fri Oct  2 22:17:36 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9DUD - Fri Oct  2 22:20:09 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9WHAT - Fri Oct  2 22:20:09 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Couldn't find him Sabo. - Fri Oct  2 22:23:34 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Don't play with my feelings like that! - Fri Oct  2 22:24:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: He was there. - Fri Oct  2 22:24:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: He's probably asleep somewhere. - Fri Oct  2 22:24:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Not by choice? What do you mean? - Fri Oct  2 22:33:48 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Can't say. - Fri Oct  2 22:33:48 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Erebus. - Fri Oct  2 22:34:40 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Yo'? - Fri Oct  2 22:34:40 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Lets get something to eat. - Fri Oct  2 22:34:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Surely you could. - Fri Oct  2 22:34:40 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You too Sabo, you coming right? - Fri Oct  2 22:35:31 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  2 22:35:31 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I suppose I could. - Fri Oct  2 22:36:22 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Sabo. - Fri Oct  2 22:36:22 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Come here. - Fri Oct  2 22:36:22 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: For a moment. - Fri Oct  2 22:36:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'd like to catch up with you of course. - Fri Oct  2 22:36:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Hm? - Fri Oct  2 22:36:22 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: D'aww, I remember when Sabo was such a wittle boy, so quiet and shy.~ - Fri Oct  2 22:37:13 2015
<br><br><font color=teal>*Arnitanu(Brosis55) thinks: I can hear... - Fri Oct  2 22:38:04 2015
<br><br><font color=teal>*Arnitanu(Brosis55) thinks: Her whispers. - Fri Oct  2 22:38:04 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: God damnit sabo, just do it. - Fri Oct  2 22:39:47 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: -- - Fri Oct  2 22:39:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Tsk... - Fri Oct  2 22:39:47 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Food..? - Fri Oct  2 22:40:38 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Eh, not in the mood. - Fri Oct  2 22:40:38 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Later though. - Fri Oct  2 22:40:38 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I have to resolve some things here. - Fri Oct  2 22:40:38 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Oi... - Fri Oct  2 22:40:38 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Erebus.. - Fri Oct  2 22:40:38 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: I suggest.... - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: You keep this girl on lock down. - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: No. - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It's fine. - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Really? - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Yes. - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Last I heard.. - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: She said something about.. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Kenshin. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: She did. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Do not worry. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I've got it handled. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Why you tryna' start some beef for? - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Cause I can. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: The beef began... - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Long ago. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Why you tryna' cook the beef for? - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: If you wanna' start beef, I'm right here. - Fri Oct  2 22:44:03 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 22:44:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Everyone is always so...hostile... - Fri Oct  2 22:44:54 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Heya, Ninny. - Fri Oct  2 22:48:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: The fuck? - Fri Oct  2 22:49:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey..so is this leader guy..around? - Fri Oct  2 22:49:10 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Fri Oct  2 22:49:10 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Wasteman. - Fri Oct  2 22:49:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Fri Oct  2 22:50:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What's with the silence? - Fri Oct  2 22:50:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ............... - Fri Oct  2 22:50:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: All a guy wants to do is spread a lot of love, and happiness! - Fri Oct  2 22:51:44 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Welcome back. - Fri Oct  2 22:51:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah..it's nice to be back. - Fri Oct  2 22:52:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .......... - Fri Oct  2 22:54:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So... - Fri Oct  2 22:54:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Who likes ducks? - Fri Oct  2 22:54:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Everyone? That's great. - Fri Oct  2 22:54:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Think about it, if I gave everyone a duck. You guys would be happy, right? - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course! - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: What kind of duck? - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: --- - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: I'm allergic to ducks. - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Allergic to ducks? - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you sure? - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Yes. - Fri Oct  2 22:56:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Have you ever tried holding a duck up close to you? - Fri Oct  2 22:56:00 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Yes. - Fri Oct  2 22:56:00 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: I sneezed - Fri Oct  2 22:56:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9what did you do - Fri Oct  2 22:56:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Listen..listen..you're missing the point. - Fri Oct  2 22:56:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: With a duck..you're not duckless. - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: But - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: With a duck - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Therefore, you're happy. - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: I could die. - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Listen, I didn't say what you had to do with the duck! - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Nah nah! - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: I can't be around ducks in general. - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're what we call a, "Sad Suzaku". - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9I know - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: I know. - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: It's okay. - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 23:01:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Fri Oct  2 23:03:40 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9and such - Fri Oct  2 23:04:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'd like to know where they are, so I can speak with them in a more private setting.. - Fri Oct  2 23:12:12 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: God damn..sabo.. - Fri Oct  2 23:14:46 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9for - Fri Oct  2 23:25:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: He...paid for her..? - Fri Oct  2 23:27:34 2015
<br><br><font color=teal>*Marrisa(Roxinea) thinks: I wonder if I can rent Kohaku. . Well. . If I can I'll have her teach me about my family.  - Fri Oct  2 23:28:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I feel as if that's a steal.~ - Fri Oct  2 23:28:25 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Fri Oct  2 23:29:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm..stopping a beautiful dance with just a stretch of your hand.. - Fri Oct  2 23:36:06 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Do whatever you want with her, I don't care. - Fri Oct  2 23:37:48 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: She's mine. - Fri Oct  2 23:37:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 23:37:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Assuming you're the person I seek. Do you have any plans for this place..? - Fri Oct  2 23:38:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: These people...have some strange mindsets... - Fri Oct  2 23:38:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on now, you don't have to hide anything from me.~ - Fri Oct  2 23:40:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: That 'Ninny' or 'Nigen' guy is a shady character... - Fri Oct  2 23:41:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Silence..what could they be thinking? - Fri Oct  2 23:42:04 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Plans? Apart from watching it flourish..? - Fri Oct  2 23:42:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm.. - Fri Oct  2 23:42:56 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: War is not in my line of sight, but it hasn't been over shadow'd. - Fri Oct  2 23:43:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It may, or may not reach it's true potential without a push in the proper direction.. - Fri Oct  2 23:43:47 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Not saying I'm planning war, but I do consider the possibility. - Fri Oct  2 23:43:47 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Your proper direction can be different from my proper direction. - Fri Oct  2 23:43:47 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: What exactly do you have in mind? - Fri Oct  2 23:43:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It could very well be. - Fri Oct  2 23:44:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You may not know this, but Konohagakure has gone through many ups and downs.. - Fri Oct  2 23:44:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It was probably the first to stop being seen as an actual village. - Fri Oct  2 23:45:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That has to change.. - Fri Oct  2 23:45:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can see you're some what interested in what I have to propose. I'll leave it with that. How about you tell me what your direction is? - Fri Oct  2 23:48:03 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Dozing off? - Fri Oct  2 23:51:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..I can't blame you. I am just a random guy. A simple man of the cloth. - Fri Oct  2 23:53:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So! - Fri Oct  2 23:54:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Would any of you trust me with your lives? - Fri Oct  2 23:54:52 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Fri Oct  2 23:56:35 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  2 23:57:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ....... - Fri Oct  2 23:57:26 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Misa... - Fri Oct  2 23:57:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Misa would?! - Fri Oct  2 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Where is this Misa? - Fri Oct  2 23:58:17 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ...What? - Fri Oct  2 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You said.. - Fri Oct  2 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says:  "Misa"...right? That means they would trust me.. - Fri Oct  2 23:59:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I wasn't speaking to you. - Fri Oct  2 23:59:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 23:59:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ......... - Fri Oct  2 23:59:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well then.. - Sat Oct  3 00:00:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That hurts. I guess crying myself to sleep will be the plan for tonight... - Sat Oct  3 00:00:51 2015
