<br><font color=teal>*Lera(Bailey42) whispers: heh, you could call it that yes. - Sun Nov  8 10:58:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Whichever of you wants to fight more. - Mon Nov  9 03:43:08 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I think, I've lost to almost everyone in the village except that attacker this morning. Hahaha! - Mon Nov  9 03:43:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: My, I see.. - Mon Nov  9 03:43:08 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Well. - Mon Nov  9 03:44:00 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hmmm... he seemed happy to spar, even though it was at me. So, I think hes far more excited. But, I can save a match for you next time we meet. - Mon Nov  9 03:44:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: The swordsman might need the exerience. - Mon Nov  9 03:44:51 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Nah, you got it. - Mon Nov  9 03:44:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm.. How about this. - Mon Nov  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'll spar you, Miss.. - Mon Nov  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And if it goes as you said it would, I'll spar him after... for now, though. - Mon Nov  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Let's see whose steel is stronger. - Mon Nov  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I am Mitsunara. Let us fight. - Mon Nov  9 03:47:24 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Chikyu over here, again. Pleasure to meet. - Mon Nov  9 03:47:24 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Mhmm..." looked up from the scroll in his lap, his eyes were drawn on to both Mitsunara and Chikyu. It seemed as if the two were about to duel, sword for sword. A weak smile was visible on the teen's face for a moment before he refocused on the scroll in his lap. His eyes moved along the pages of the scroll, his mind soaking up as much information as he could.

Looking away from the scroll, his eyes went towards the kunai held in his left hand. He'd channeled wind natured chakra into the knife, trying to make the chakra flowing through it sharp and thin. Though he'd improved in this from the last, it still was mediocure at best.* - Mon Nov  9 03:55:05 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: ....What're you weirdos doin'? - Mon Nov  9 04:01:04 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Mhmm... To lumpy." he mumbled to himself, his words were meant for the chakra channeled into the kunai knife. It just wasn't there, not as the scroll instructed. It was too lumpy, he needed his chakra to be sharp and thin. His eyes refocused on the scroll in his lap, he simply went over the information in the scroll in his head as he read.

He'd focus on the kunai once again, everyone and everything around him became nonexistant, it was just him at the kunai. Channeling wind natured into the blade it was channeled around the edges of the blade. The teen tried concentrating on it, making the wind natured chakra more sharp and thin.* - Mon Nov  9 04:08:44 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) looked away from the kunai, his concentration broken. The flow of wind natured chakra through ou the knife had ceased as well. His went went to the source of what distracted him, "Mmm.. They seem to be having fun." though judging from Mitsunara's ablities, Chikyu seemed to be on the fence. Meaning she may have been having a rough spar, to boost the female's morale he'd holler "GO CHIKYU!" the two got off on the wrong foot their first encounter, but he did want to see her improve.

From the spar, his eyes refocused on the scroll in his lap.. He went over the information in his mind, "I can't get my chakra thin or sharp enough." he'd turn his attention towards the kunai, wind natured chakra flowed through the kunai knife. In his mind he thought about keeping the chakra thin and sharp, while going over everything he'd learn so far. The chakra sent through the blade was thin and sharp, but it wasn't there yet.* - Mon Nov  9 04:18:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Mon Nov  9 04:19:50 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Mhmm.. Sharp.. and thin..." he repeated to himself. Placing the kunai to the side of himself, he'd roll up the scroll that was once on his lap. Standing as he did this, he'd store the scroll away in one of the many pouches around his waist."Mhmm.. I'll try once more." Retrieving the kunai on the ground he'd hold a tight grip of it. 

Channeling wind natured chakra into the kunai knife, he focused on shaping the wind natured chakra into a more sharp and thin form. He continued this process until it was ideal thin and sharpness. "Heh, I think I got it." he'd throw the kunai into the wall behind of him, it pierced into the rock shattering the earthern wall. A line was visible, running up and down the wall. The kunai was lodged into the wall.* - Mon Nov  9 04:59:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh.. - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Well, if you intend to be in my way... - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'll have to prove to you why that's foolish. - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: In the mean time, though, I'll just seem to help you along. - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: It's better if you're at least a challenge.~ - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh... - Mon Nov  9 05:05:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: So, how about we get something to eat..? - Mon Nov  9 05:05:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Sounds good to me. - Mon Nov  9 05:05:55 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: ... - Mon Nov  9 05:07:37 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) waved at Yoko.* - Mon Nov  9 05:08:28 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) placed a hand on the kunai that was lodged in the wall behind of him, trying to pull it out of the wall but failed."Mhmm.. Used a little too much power.", his hand moved to his side. By Yoko's face, he wondered if he'd pissed or off or killed her family by mistake in the past. "Mmm.. Just saying hey." * - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Hey.. - Mon Nov  9 05:16:09 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: .... - Mon Nov  9 05:16:09 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: . . . - Mon Nov  9 05:17:00 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) focused on Ai the moment she appeared at his side, it felt weird hearing his friend greet him, especially with how much she'd changed recently. "Hey.." he'd whispered this while waiting on Yoko's response to his greeting.. Though, he probably wouldn't get that greet back, nope not anytime soon.* - Mon Nov  9 05:18:43 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Eh.. Its life, I'm used to it. - Mon Nov  9 05:18:43 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: I'm..Assuming a spar..Is going on here..? - Mon Nov  9 05:20:25 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Wait here a sec, Ai." saying this, he'd attempt to walk infront of Yoko."Hey.. I'm Tetsu." while he said this, the teen tried to extend his hand outward, just for a simple handshake, nothing threatning about said action. Though despite how friendly he may have been, even down to the gesture Yoko might've reacted differently. 

"I wonder If I.. did somethin' in the past.." he'd thought while facing her.* - Mon Nov  9 05:23:50 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Mon Nov  9 05:34:04 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) released a sigh, he'd attempt to near Yoko. Each step he took was, caustious especially with her hand that motioned towards her holster. "Woah Woah, I'm not an enemy." he'd wave his hands while he said this, taking the final step forward he'd hold out his right hand. It was bear, no type of visible weapons. His nature and all wasn't threatning at all, he just tried to make friends.

"Wonder why she's like this." this thoght rand through his mind, he wondered if Yoko would even dear to shake his hand.* - Mon Nov  9 05:34:56 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . .  - Mon Nov  9 05:43:28 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: . . . - Mon Nov  9 05:45:10 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: I should buy Kunai and Shuriken.... - Mon Nov  9 05:47:44 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) eyes widened as Yoko formed handseals, he immediately knew what the handseals were for. Well, what technique hell he'd even known how to perform the technique. Before his very eyes, Yoko sank into the ground utilziing the hiding like a mole technique. He could've stopped her, but refused to do so. For one, he was too lazy at the moment to, secondly he knew the situation would escalate if he chose to stop her.

He'd released a sigh while saying, "There goes the opportunity to make friends." he'd look up at the sky wondering if he killed anyone she cared about in one of his past rampages. He only thought on that since he didn't understand Yoko's behavior.. Well the reason for this type of behavior.* - Mon Nov  9 05:50:17 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Heh..  - Mon Nov  9 05:58:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh well. - Mon Nov  9 05:58:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's going on? - Mon Nov  9 06:01:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? Nothing. - Mon Nov  9 06:02:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Cool, cool. - Mon Nov  9 06:03:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm. - Mon Nov  9 06:03:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Have you seen Marrisa around? - Mon Nov  9 06:03:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nah... - Mon Nov  9 06:04:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll let her know you are looking for her when I do, though. - Mon Nov  9 06:04:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Tch.. All right. - Mon Nov  9 06:04:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: She'd better not have bailed on me. - Mon Nov  9 06:04:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Guess i'll go find Fuji. - Mon Nov  9 06:04:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Trying to get a better understanding of my wind based chakra. - Mon Nov  9 06:05:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh, cool. Wish I could help you. - Mon Nov  9 06:06:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Mon Nov  9 06:09:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *waves at tetsumi* - Mon Nov  9 06:09:55 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) notices Izanami waving at him, "Hey, how are you sis?" he made his natural voice extra chipper just for her.* - Mon Nov  9 06:10:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Just hanging around, bored. - Mon Nov  9 06:11:37 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... I see. - Mon Nov  9 06:11:37 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... Have you seen Fuji or.. Marrisa?  - Mon Nov  9 06:13:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I seen Marrisa running around here a little - Mon Nov  9 06:14:11 2015
<br><br><font color=teal>*Hanae(Ej900) says: Fuji sure is big talk around here isn't he. - Mon Nov  9 06:15:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... I guess i'll look for her later.. Guess i'll joke around a- - Mon Nov  9 06:15:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: He is? - Mon Nov  9 06:15:02 2015
<br><br><font color=teal>*Hanae(Ej900) says: Every one seems to be needing him for something. - Mon Nov  9 06:15:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm. - Mon Nov  9 06:15:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah.. - Mon Nov  9 06:16:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That sounds normal. - Mon Nov  9 06:16:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yup... - Mon Nov  9 06:16:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hello. - Mon Nov  9 06:17:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hey Ivel. - Mon Nov  9 06:18:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Bend over and cough) - Mon Nov  9 06:19:18 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Mon Nov  9 06:19:18 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *fgt* - Mon Nov  9 06:19:18 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Mon Nov  9 06:19:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: What that mouth do though -omit- - Mon Nov  9 06:24:25 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hmmm... - Mon Nov  9 06:24:25 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Izanami! - Mon Nov  9 06:26:59 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Mon Nov  9 06:26:59 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: How's training going? - Mon Nov  9 06:29:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Fine I suppose. - Mon Nov  9 06:29:32 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: That's good. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: So awkward. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: She hates me man. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... This is too dull... - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Agreed. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. What to do.. What to do. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You could uh. - Mon Nov  9 06:31:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Train with somone. - Mon Nov  9 06:31:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Speaking of training, I got a variation for the fire shroud technique. *nod* - Mon Nov  9 06:31:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A variation? - Mon Nov  9 06:31:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I altered it...sorta. - Mon Nov  9 06:32:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How? - Mon Nov  9 06:32:06 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I can show you. - Mon Nov  9 06:32:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Well uh..show me? - Mon Nov  9 06:32:06 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Come along. - Mon Nov  9 06:32:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (No one can protect you now o_o) - Mon Nov  9 06:32:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I CAME TO BREAK YOU OUT FAM - Mon Nov  9 06:54:17 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: LEGGO - Mon Nov  9 06:54:17 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: TRILLIAM, LET'S GOOOO - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: YOU'RE WASTING TIME - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *looks over his shoulder* - Mon Nov  9 06:56:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: -omit- GOTEM!!! - Mon Nov  9 06:56:51 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: lol - Mon Nov  9 06:57:42 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Who is that? - Mon Nov  9 07:07:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Oh I forgot. Another scroll didn't have a jutsu.) - Mon Nov  9 07:07:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: (Which one?) - Mon Nov  9 07:08:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Rotating Shurikens) - Mon Nov  9 07:08:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: turn learning mode on) - Mon Nov  9 07:08:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Done.) - Mon Nov  9 07:09:39 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Kay Kay, thanks.) - Mon Nov  9 07:09:39 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Now to do 15 rps of learning it.) - Mon Nov  9 07:10:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (O: I like to challenge myself q_q) - Mon Nov  9 07:10:30 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -rid* not right- - Mon Nov  9 07:25:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sounds like a plan. - Mon Nov  9 07:42:04 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Weird. - Mon Nov  9 08:00:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Well, Father Bryson- thanks for letting me know about and repairing that Cancer! - Mon Nov  9 08:03:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: See you around, eh? - Mon Nov  9 08:03:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Cancer. . ? - Mon Nov  9 08:03:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ..... - Mon Nov  9 08:04:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sure - Mon Nov  9 08:04:16 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: No wonder he can smoke without worry. - Mon Nov  9 08:05:07 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Th-that's not possible. - Mon Nov  9 08:05:58 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Whats not? - Mon Nov  9 08:05:58 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Curing cancer? - Mon Nov  9 08:05:58 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ....you.... - Mon Nov  9 08:07:40 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: H-how? - Mon Nov  9 08:07:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Anything is possible in the arts of healing - Mon Nov  9 08:08:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Even if it is a lie - Mon Nov  9 08:08:32 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ....is it too late for me to become a priest? - Mon Nov  9 08:08:32 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: BWAHAHAHAHA - Mon Nov  9 08:09:23 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: ....she's laughing at me. - Mon Nov  9 08:09:23 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Opps/ /  - Mon Nov  9 08:09:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes it is too late - Mon Nov  9 08:09:23 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Sorry - Mon Nov  9 08:09:23 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Bryson. .  - Mon Nov  9 08:09:23 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Quit lieing to people - Mon Nov  9 08:09:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: How would you know its a lie? - Mon Nov  9 08:09:23 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: You can no more Cure Cancer then I can level a whole village with a single swing of my fan. - Mon Nov  9 08:10:14 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: The leader of your order. . Maybe. . He might be able to cure cancer. . but Come on man. .  - Mon Nov  9 08:10:14 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: You gonna sit there and tell me you can? - Mon Nov  9 08:10:14 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Priest have far advanced healing techniques than anything a shinobi can make - Mon Nov  9 08:11:05 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: . . .  - Mon Nov  9 08:11:56 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Right. .  - Mon Nov  9 08:11:56 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Who is to say I would not know some techniques - Mon Nov  9 08:11:56 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: So never believe what the priest says...ever again. - Mon Nov  9 08:11:56 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I didn't say you can't heal. . I said you can't cure Cancer. .  - Mon Nov  9 08:11:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He's speaking the truth. - Mon Nov  9 08:12:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Priests do have more powerful healing. - Mon Nov  9 08:12:48 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Your order would be rich without end for a cure with cancer. - Mon Nov  9 08:12:48 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Cure to cancer** - Mon Nov  9 08:12:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: My basic healing is akin to one of your advanced techniques so can imagine what an advance technique of mine can do for the body - Mon Nov  9 08:13:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I thought I told you already? - Mon Nov  9 08:16:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: As a priest we dont really use chakra... its more like a "mana" that our energy - Mon Nov  9 08:17:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Like for example I cant use chakra nature transformation but I can use basic shinobi techniques like bushin and shushin - Mon Nov  9 08:20:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I see. Besides those two techniques you shown me before, what else can a priest do? - Mon Nov  9 08:38:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well priest 3 levels of classes and im just one as a cleric - Mon Nov  9 08:40:57 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: There are crusaders and exorcists - Mon Nov  9 08:41:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But what about your class of Clerics? - Mon Nov  9 08:42:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: As a cleric, I focus mainly focus on healing. advanced healing... something  that would seem  impossible to shinobi could be childs play to us - Mon Nov  9 08:44:22 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: by the way miss - Mon Nov  9 08:51:12 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: IT's a fan - Mon Nov  9 08:51:12 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ...o-oh yeah, he answered me. - Mon Nov  9 08:51:12 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I can teach you later if you wish.  - Mon Nov  9 08:53:45 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ...Oh... I uh... I'm sort of just a nurse. - Mon Nov  9 08:53:45 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Ah. .  - Mon Nov  9 08:54:36 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Well... recently a shinobi medic but...yeah. - Mon Nov  9 08:54:36 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Aright. .  - Mon Nov  9 08:54:36 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I haven't decided if I want to learn...how to fight. - Mon Nov  9 08:54:36 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: IT's not for everyone - Mon Nov  9 08:54:36 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: and no shame if you choose to stick only to the medical profession.  - Mon Nov  9 08:54:36 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: How do you use a fan as a weapon? - Mon Nov  9 08:55:28 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: We need more people willing to stay out of combat and actually heal  instead of charging in like hulked out morons.  - Mon Nov  9 08:55:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: /..... - Mon Nov  9 08:57:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *._.* - Mon Nov  9 08:57:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh wow! You thank -thats- something? - Mon Nov  9 08:57:10 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: She was just asking Sanoke. . No need to turn this into a compition - Mon Nov  9 08:59:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I think competition brings out the best in people. - Mon Nov  9 08:59:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, good. <@Kiyoko*> - Mon Nov  9 09:00:35 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I don't need to be shamed by Sanoke. .  - Mon Nov  9 09:00:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Was about to say. - Mon Nov  9 09:00:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Mon Nov  9 09:04:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *squints* - Mon Nov  9 09:04:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Those ankles will be mine.. - Mon Nov  9 09:04:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit all- - Mon Nov  9 09:04:51 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: . .  come at me bitch!  - Mon Nov  9 09:05:42 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: -omit al- - Mon Nov  9 09:05:42 2015
