<br><font color=teal>*Alastor(LordxPatrick) says: Would you like to hear it? - Thu Oct  8 03:12:25 2015
He'd brought an idle two fingers up to his left eye channeling chakra. An eye of iron sand formed outside of the shield that protected him, megan remained where she was in defeat. With the remaining sand about he'd attempt to bombard the woman in a furry of sand, it was a cyclone of the material swirling around her preventing escape. He'd be reduced to attacking like this until the poison dispersed from the air around him.* - Fri Oct  9 20:23:40 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) eyes widened in shock, he couldn't believe what he saw, besides this her abilities seemed to have increased greatly. "W-Wahh." the female rushed forward avoiding his intial attack, she neared his shield attempting to attack. He could've approached this differently, every plan in his mind had a different outcome. The moment she punched the shield it shuddered, his eye of sand dispersed.

"S-She's changed." if he continued to hide in fear, she'd eventually break through and kill him..The sand was a last resort after all, or was it truely? With the punch made he'd let it sink in some into his shielf of sand, the shield broke down at this time. The sand itself from the shield bombarded the female shinobi? puppet? Either way it raced forward attempting to subdue her, the blackened sand would conssume her body. If successful it'd restrict all of her movements trapping her within a coffin of iron. Maybe it'd hold?

He needed the buy time for the finishing attack.* - Fri Oct  9 20:36:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: If this doesn't work...No it'll work, can't afford for my comrades to die. - Fri Oct  9 20:38:11 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) aparent fear vanished, all trace of it. In all he was suprised yet intrigued with Megan's abilities. Despite if she ripped off a  large portion of sand, some would remain or attempt to reapply itself. Even if he hadn't caught all of her being with the technique, he'd crush something. The teen's open palm shut tight, it increased the pressure through out the sand that remained, the pressure intensified until her body or what was consumed by the material crushed, hopefully reduced to a liquified state, blood, oil, what ever remained of her now that she was mechanized.

Though, another threat was on the horizzon, his shield moved into action. Sand materialized wrapping him inside of its warmth and protection..The way a caring mother, or significant other would to brace the attack.* - Fri Oct  9 20:45:52 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) his entire world shook, the shield of iron sand vibrated harshly, it felt as if it was giving away. If this did happen, the last precaution would be activated. Though thank to the shield's durability it didn't gave way sparing him. The shield quickly crumbled, losing its shape and density. What remained of the mechanized puppeter? Nothing but a crater, was that all she lived up to become? He'd sigh, in his mind he prayed for her despite all she'd done.

"Time to help Sanoke!" the teen roared, the sand below his feet formed into a platform of sand that quickly took for the skies in Sanoke's direction. Most of the sand that laid about where also stored back into his gourd in preparation for the next battle.* - Fri Oct  9 20:53:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Koji, stay stong while I rescue Sanoke and the damiyo. - Fri Oct  9 20:53:32 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) platform of iron landed next to Sanoke, burns were evident along his skin."Damnit, I came too late." the teen thought, though the shinobi was alive, that was the bright side."W-What happened to the enemy, the damiyo?" the teen bombarded him with questions. He needed to know before he went after Koji to help.* - Fri Oct  9 21:00:22 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Damnit, stay put. I'm going to at least save Koji. I can't allow anymore of my comrades to get hurt." with that, the platform of iron soared high.* - Fri Oct  9 21:05:29 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Mhmm?" watched as the man jumped from below, he'd surely reach his platform of iron if he hadn't done anything. As he spoke, his words held truth "The table will be turned, the prey will become the predator!" while he spoke a massive volume of sand fomed molding it compressed tightly into a hand, its knuckles decorated with rather large spikes. It looked similar to a fist worn with brass knuckles. That fist attempted to reach out to meet the threat's body causing potential blunt dammage as well as piercing  dammage from the strike.

(Strategem Perk.) though the fist was only apart of his plan incase all hell failed and he tanked the attack. The sand from the initial attack would bombard him, wraping around his fist first, then the rest of his body containing him in iron.

From there he'd prepare the next step, the final blow his hand held open from above. Hopefully it'd work?* - Fri Oct  9 21:25:58 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) (*Tetsumi Jiki "Mhmm?" watched as the man jumped from below, he'd surely reach his platform of iron if he hadn't done anything. As he spoke, his words held truth "The table will be turned, the prey will become the predator!" while he spoke a massive volume of sand fomed molding it compressed tightly into a hand, its knuckles decorated with rather large spikes. It looked similar to a fist worn with brass knuckles. That fist attempted to reach out to meet the threat's body causing potential blunt dammage as well as piercing  dammage from the strike.

(Strategem Perk.) though the fist was only apart of his plan incase all hell failed and he tanked the attack. The sand from the initial attack would bombard him, wraping around his fist first, then the rest of his body containing him in iron.

From there he'd prepare the next step, the final blow his hand held open from above. Hopefully it'd work?*) [Repost]* - Fri Oct  9 21:25:58 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) shut his once open palm, this sent a surge of chakra through out the iron sand. Nothing but pressure ran through out the sand crushing the man, a shower of blood and iron rained in all direction from his death. Nothing else remained, though the Damiyo's location was still a mystery."Damnit.."* - Fri Oct  9 21:32:48 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) platform of iron lowered towards the sand below, blood and iron scattered from his technique. The iron sand utlized through out the battle and in the technique flowed back into his gourd, yet again it was stored away.* - Fri Oct  9 21:35:21 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I can't even rely on Koji's ability, he's done. - Fri Oct  9 21:37:04 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) turned to yan, he heard his question. The manipulator's gaze seemed to be cold before it softened up. "I don't know where the Damiyo is, though Koji's out of it." as he said this the terrain changed, the sky clouds vanished, it became dark.."Danger? What the?.." the weather didn't change like this in sunagakure. Sand kicked up, his hands motioned out infront of himself to shield himself from sand entering his eyes. He wasn't aware this was a genjutsu, though it did seem fishy and strange, didn't they kill all of them? Either way, there was a path, he'd gladly take it if his comrades agreed. If so, they'd be headed west.

"There isn't another way, plus I'm not sure I can fly in this storm. Are you guys okay with headin..well where the path leads to?" the teen questioned to clearily with the others.* - Fri Oct  9 21:48:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Koji's down, Sanoke's spooked..Err..I hate this. - Fri Oct  9 21:49:00 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) didn't take refugee in Yan's hut of earth, instead he continued down the path. An elderly man came into focus, his voice seemed pissed but it was a bit annoying to the teen. His hands were folded across his chest, he wasn't sure what the elderly man meant but he'd question him."Are you the damiyo?" it didn't hurt to ask.* - Fri Oct  9 22:01:48 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) facepalmed himself as the old man's appearance became aparent, maybe some sand got into his eyes."Daimyo sir, we're here to rescue you. We're from sunagakure." maybe he hadn't seen the symbol of the sand etched into his gourd. "We're allies, none of us want to harm you." tried to assure the man.* - Fri Oct  9 22:06:04 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) the elderly man came into focus, both of his hands were folded. He was the same geezer from before, the one that lied to them about the where about of the damiyo."Old man, where is the damiyo?" was fed up at this point, especially since he lied to his team once, now two of them were injured.* - Fri Oct  9 22:09:29 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) simply extended a hand outward, his sand raced forward encasing the geezer's body."If you don't speak, i'm going to crush your body. Though i'll make it a slow and painful death." the sand alone reeked of blood from the slain shinobi earlier, his gaze cold. Why wouldn't he be like this? Two members of his squad were injured, the man lied, all of this could've been avoided.

As the young man approached he'd divert his attention from the trapped geezer to the man."Its my mission. He's insential to sunagakure, if my village is crippled because of this. I'll kill everyone here." at this point he didn't care, he cared for his village and it to prosper. If the damiyo perished, he'd unlease his rage a pon everyone that opossed him.* - Fri Oct  9 22:21:26 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) (*Tetsumi Jiki simply extended a hand outward, his sand raced forward encasing the geezer's body."If you don't speak, i'm going to crush your body. Though i'll make it a slow and painful death." the sand alone reeked of blood from the slain shinobi earlier, his gaze cold. Why wouldn't he be like this? Two members of his squad were injured, the man lied, all of this could've been avoided.

As the young man approached he'd divert his attention from the trapped geezer to the man."Its my mission. He's insential to sunagakure, if my village is crippled because of this. I'll kill everyone here." at this point he didn't care, he cared for his village and it to prosper. If the damiyo perished, he'd unlease his rage a pon everyone that opossed him.*)[Repost]* - Fri Oct  9 22:23:08 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) hadn't no choice, they were threats to the damiyo there for the village of sand itself. He didn't care for money, fame, power, none of it. He just wanted this all to end.. But was this really the damiyo? he wasn't sure. In his mind he wanted to scream, 'Shut up.' he couldn't think straight. Iron sand erupted from his gourd, it subdued everyone, excluding the shinobi with him. The damiyo itself was freed, though he'd too be trapped, robbed of his movement from his sand. Everyone binded was encased in the sand up to their necks.* - Fri Oct  9 22:35:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I really don't know what to do..If I kill em'...ughh... I hate this.. - Fri Oct  9 22:36:48 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) (*Tetsumi Jiki hadn't no choice, they were threats to the damiyo there for the village of sand itself. He didn't care for money, fame, power, none of it. He just wanted this all to end.. But was this really the damiyo? he wasn't sure. In his mind he wanted to scream, 'Shut up.' he couldn't think straight. Iron sand erupted from his gourd, it subdued everyone, excluding the shinobi with him. The damiyo itself was freed, though he'd too be trapped, robbed of his movement from his sand. Everyone binded was encased in the sand up to their necks.*)
* - Fri Oct  9 22:38:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I really don't know Yan.. - Fri Oct  9 22:38:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: This is the first time..i've been stumped. - Fri Oct  9 22:39:21 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: If its a trick, I could actually be killing the damiyo. - Fri Oct  9 22:39:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We can call forces to detain these men. - Fri Oct  9 22:40:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We don't have to kill any of them...they can serve their time or be put to death by the government. - Fri Oct  9 22:40:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *sigh* - Fri Oct  9 22:41:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fact is, the scenario doesn't sit well with me. - Fri Oct  9 22:41:55 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "...Peace...Is this how its attained?" the teen was torn into two. It was between his own beliefs and the damiyo's will. He couldn't go through with it, the sand from the crying man, along with the others besides the damiyo fell to the ground. He'd free the man, though he'd still be contained in his sand."..The village..then there is..." he didn't know what to do, a leader had to make decisions. 

"You're free, we only came for the damiyo anyway." if one of the other shinobi wanted to kill the family, they could though he wouldn't and couldn't bring himself to it, to this level.* - Fri Oct  9 22:51:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: This..is annoying. - Fri Oct  9 22:57:16 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) did just that, that sand that wrapped around the daimyo levitated through the air. If there were any attacks in the direction of the lord, the sand would block any incoming attacks thanks to the manipulate on the densive. He'd attempt to flee along yan and the damiyo if that even worked at all.* - Fri Oct  9 22:59:50 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) sighed seeing the mass suicide, there wasn't much for him to do. It was finished. Their distination now sunagakure.* - Fri Oct  9 23:16:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sounds great. - Fri Oct  9 23:18:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: How beat us is he? - Fri Oct  9 23:18:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He was in pretty bad condition. We need a medic to tend to him. - Fri Oct  9 23:18:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. - Fri Oct  9 23:19:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He'll live though, right? - Fri Oct  9 23:19:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I believe so though. - Fri Oct  9 23:19:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So, what's got you all riled up? - Fri Oct  9 23:19:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Nothin. - Fri Oct  9 23:20:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Just a good day. - Fri Oct  9 23:20:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. - Fri Oct  9 23:20:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan I need you to handle the masses here. - Fri Oct  9 23:20:19 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah we got a new guy Yan his name is Questionaire. - Fri Oct  9 23:20:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Handle everyone and make sure they'r okay. - Fri Oct  9 23:21:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Did something occur? - Fri Oct  9 23:21:10 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I got paperwork to do. - Fri Oct  9 23:21:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh? Well, why would you want to kill me? - Fri Oct  9 23:22:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Pretty Nifty Armor. - Fri Oct  9 23:22:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I guess we could spar sometime, but I don't intend to kill you. - Fri Oct  9 23:22:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: If I manage to hit you Three times. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I want your shoes. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...No. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ----. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Why not? - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Shoes are inexpensive..go buy some. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I want to sell yours for profit. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Does anyone need help? - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Guess i'll be off for now. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Just give me my try out. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhhhh I got him afill name now guys - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: . - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi, help me! You are a jounin, after all. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He shall be Questionarie De La Runit. - Fri Oct  9 23:24:35 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) vanishes in a vortex of iron sand, dip no jutsu activated.* - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Even if I was to spar you, Ijust got back from a mission and my chakra levels are low. - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Seriously. - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It wouldn't be right now. - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Don't be a buzz kill. - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's not fun. - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Quit harrassing me... - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's really, Not fun. - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Really, Really, Not fun. - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -Really-, Really, -Really-, Not entertaining. - Fri Oct  9 23:27:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Time to complete that technique. - Fri Oct  9 23:27:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: If I let him rest, I hope he's entertaining, when he's rested.. - Fri Oct  9 23:27:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Maaan. - Fri Oct  9 23:28:51 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: He's boring. - Fri Oct  9 23:28:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huh? - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Testin' up after my mission. - Sat Oct 10 00:40:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Resting, rather. - Sat Oct 10 00:41:23 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi Sanoke. - Sat Oct 10 00:49:04 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) headed over to his training location, though to his surprise someone else occupied the place. By the looks of it, it was Ai. He'd release a sigh, it was obvious he couldn't train here. He knew how it felt, someone invading your space, disrupting your training. He'd leave the woman alone, instead it was best he'd train in private himself and as far away from the village. He'd leave her be, it looked as if the teen was headed towards the village's gate. * - Sat Oct 10 00:57:36 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) hearing Ai's voice he'd turn around focusing on her figure."Yes, though you may continue. I'll train somewhere else." with that he'd wave before leaving in the direction of the village's gate. It was okay with him, he'd gotten used being alone, though he didn't think of it of as being entirely alone... He still was binded to the loud mouted tanuki, even though he it didn't like him or could stand the sight of him. It still was company in Tetsumi's mind, especially with everything being stripped away from him from this life.* - Sat Oct 10 01:16:22 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) gave her a thumbs up before leaving, though he was content on leaving, it'd be best the village wasn't caught in the cross fire plus he'd still be alone.* - Sat Oct 10 01:20:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Is it just me? I guess its me, oh well. - Sat Oct 10 01:20:38 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) walked over to the guards at the gate, "I'll be back, need to scout the area." in truth he was leaving for training. He'd travel as far away from the village as he could, he couldn't allow the village to witness his training or be caught in the cross fire of such a technique.

He was far away from the village as possibly. The place was nothing but sand for days, no type of civilization near by, it was perfect. The teen clasped his hands gathering chakra, this chakra was converted into magnetic forces, ennabling his magnetic field. The cork of iron from his gourd slackened as it was removed allowing sand to flow in and out of it. Iron sand spewed out of the gourd, a decent amount of the material, enough of it to form four iron sand clones. These clones of iron stayed on stand by, standing off in the distance. 

Tetsu left all four clones alone, they waited alone in wait of whatever was to come. Off in the distance Tetsu concentrated, his hands were clasped while he gathered chakra. This gathered chakra was converted into iron sand, it took him a while. Over time more of the blackened sand was conjured, it double, tripled, it was a gathering of a massive amount of iron sand. After enough time elasped a massive wave of sand was produced from the fruits of his labor. He manipulated this rather large gather of sand, "Kronos." the teen thought, he'd made this technique in honor of this shinobi since he created a version to this technique out of sand. The iron sand raced along the sand, the clones were easily swepted up, being tossed and turned within the waves of the technique, there wasn't an escape unless they dispurst in sand. Though it was too much for the four clones, each were destroyed their essence adding into the supply of sand. * - Sat Oct 10 01:41:58 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) huffed and buffed a little, "This technique..it takes so much of my chakra. " he felt the toll the technique had. Maybe he had enough chakra for another assault of sand. Sweat trickled down from the side of his face, due to the heat and strain the technique had on him. Out of the iron sand that laid about four clones comprised of the material sprang to life.  They were back for more, he used those clones as motivation to press on. 

The teen clasped his hands gathering chakra, the large amount of chakra gathered was converted into iron sand. With each amount of iron sand conjured from his chakra sweat ran down the side of his face, more of the liquid were produced from his glands. It took him a while to a mass enough of the iron sand, it was a large amount of it..no massive amount of iron sand.

This massive amount of iron sand was willed and manipulated by the manipulator. It gathered, its form taking the shape of a massive wave of the material, a tsunami. It raced across the sand, cover a wide amount of space in its wrath. The clones waited, with this clones he'd also test out ways of escaping from the sand. The sand arrived at the clone's destination, it crashed into them, each one destroyed at different points. Its essence reverted back into iron sand itself, it joined with the massive amount of sand cover the area. There were destroyed cactus trees, and that was all, nothing else seemed to be destroyed or dying, wounded, you name it. Unless he killed something small enough that he hadn't noticed, oh that might've been a pitty.* - Sat Oct 10 02:16:57 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) body was forced to the ground, he'd be forced to take a knee for the moment. His hands shook for momenteriely, a smile etched on his face."Can't give up now, If I give up i'll be turning my back on sunagakure. N-Need to protect my land." his breathing was controlled once again. He forced himself to his feet, he swayed to the side almost losing his footing as well as his balance for a moment.

As he regained his balance a single clone formed out of the massive amount of iron sand. He smiled at the clone, he still had the will to go on. He wiped his face, a trail of sweat was wiped and flicked to the side of him, it was absorbed into the sand. A shaky hand was extended outward, the sand at the clone's feet slowly encased the clone in iron sand, from the buttom of its feet to the crown of its head.

There was a longer pause than usual, his gaze stayed focused on the encased clone."Almost..just focus." he'd end his training soon enough, he just needed to pull through. Every word that the beast said, along with others in the past doubting his ability, this helped the teen's drive. His palm closed, this sent a surge of chakra through out the sand, causing pressure to erupt through out it. The pressure soon caused to sand to implode sending sand about, it flew through the air scattering about. "I'm done.. I still need enough chakra incase there is an attack." you never knew what could happen, he still needed enough chakra to protect the village if anything happened. Out of the large supply of iron sand that remained, a platform of the material formed below his feet. A strip of iron secured his footing, the platform rose into the air after this it headed towards the village by air.* - Sat Oct 10 02:45:58 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Eh. - Sat Oct 10 02:52:48 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Yo, gourd guy. - Sat Oct 10 03:02:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? - Sat Oct 10 03:02:11 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Hi. - Sat Oct 10 03:03:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh..hey... - Sat Oct 10 03:03:02 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: We've never formally met. - Sat Oct 10 03:03:53 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Im Susumu. - Sat Oct 10 03:03:53 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) found it really weird that someone actually noticed him, at least this new commer was nice or formal."Hey, i'm Tetsu. Nice to meet you." though he didn't shake his hand, the last person hand he shook..he ended up embeded with chakra devouring bugs.* - Sat Oct 10 03:05:36 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) eyes widned, a bit skeptical about Susumu actions. He didn't trust it, "Why're you so nice? What's the catch?" the teen questioned while he eyes him up and down.* - Sat Oct 10 03:10:43 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Mhmm..Maybe another time?" couldn't really accept Susumu's reason for this, to him he was overly nice.. In a sense it reminded him of his youth. From the individual infront of him, his gaze shifted to Mizora whom seemed to be staring at a house mumbling to herself.."Crazy.." the child thought.* - Sat Oct 10 03:13:16 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Ah..well..Alright.. - Sat Oct 10 03:14:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'm sorry..no hard feelings. - Sat Oct 10 03:14:59 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Ah well..I guess its fine. - Sat Oct 10 03:16:41 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Just really bored. - Sat Oct 10 03:16:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Sat Oct 10 03:16:41 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Well see you around, I guess. - Sat Oct 10 03:17:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *sigh* All right.. - Sat Oct 10 03:17:32 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey. - Sat Oct 10 04:36:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Tor-Tata can we being traning now? - Sat Oct 10 04:36:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I really would like to learn. - Sat Oct 10 04:36:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? - Sat Oct 10 04:38:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sure. Let's do this. - Sat Oct 10 04:38:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Alirght whats the first step?? - Sat Oct 10 04:38:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright. Where you wanna do this? - Sat Oct 10 04:48:00 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm? - Sat Oct 10 04:49:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The Fuuinjutsu. - Sat Oct 10 04:49:42 2015
<br><br><font color=teal>*Ai(Sennalove) says: Hm.. - Sat Oct 10 04:49:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well, maybe a backpack? - Sat Oct 10 05:28:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Origami case? - Sat Oct 10 05:28:06 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) points at Fuji, "You. C'mere for a second." instead of the 'you' he wanted to exchange that with 'whore' though he had some respect in public places.* - Sat Oct 10 05:28:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm, alright then.. - Sat Oct 10 05:28:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: I may need your help... - Sat Oct 10 05:28:57 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: With what? - Sat Oct 10 05:28:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: Two things, one...I may die soon..What holds the beast together, it may gave way soon and he'll be freed. Two.. I need your help learning that shadow clone technique, it'll be the ideal technique to stall for another technique i've developed. - Sat Oct 10 05:30:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: I see... - Sat Oct 10 05:31:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: I can always try to..Enhance the seal.. - Sat Oct 10 05:31:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: With what I've learned.. - Sat Oct 10 05:31:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: Mhmm..Who knows if it'll work. I'm just letting you know as a precausion if it occurs.  - Sat Oct 10 05:32:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: I dislike you, but I don't wish death on you or the villagers in this village. - Sat Oct 10 05:32:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: If it happens, flee. *sigh* - Sat Oct 10 05:33:13 2015
