<br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: ........... - Wed Oct  7 03:46:59 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Uh..Huh..Fuji, lead the way. Oh..and Yan.." as he said this, the stripped gourd that alastor once utilized glided over to him, it was transported by the hand that snagged it in the first place. The gourd was placed infront of Yan, "Take care of that, lock it up or somethin'." now he'd wait for Fujitora's lead, with the command given the coffin of sand followed behind the teen to the prison.* - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Can I come along, Master? - Wed Oct  7 19:35:02 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (if you check it, you'd note it has a -very- extreme durability. J/s) - Wed Oct  7 19:35:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (I won't destroy it lol) - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Can you do 28+ damage? XD) - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Well. *56) - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Control and Nin in le 20's so i'd assime so?) - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (It has a durability of 28. So you'd have to be doing 28*2. xD) - Wed Oct  7 19:35:53 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) had enough of this farmer nonesense from Fujitora, he'd arrived at the police station with the coffin of iron following him behind defying gravity itself. "Mhmm.." his head went from side to side as he examined the interior of the prison.. It looked evil, besides all of the improvement the village had over the years, this seemed trapped in time on moved by it."..Nice..." the teen thought, arriving at Alastor's cell he'd guide the coffin of iron inside. As the door cell's door's shut, every grain of sand retreated from the manipulator's body and back into Tetsumi's gourd where it'd be stored for later use.

"I still don't understand.. his words." for now, he'd shrug it off and leave the area. The threat was detained, he could return to his training.. He'd probably start a heated argument with One'O, even though the beast may have won again..The tanuki yelled for abosolutely no reason, though it probably was his nature.* - Wed Oct  7 19:48:41 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) as he left the prison, a guard came meeting him at the entrance, "Mhmm?" the teen questioned. The guard reported, "Send Zenaki to the gate." though he hadn't known zenaki, probably the woman Fujitora traveled along with. If possibly the guard would continue down the stair case, meeting up with the woman named Zenaki and conveying the message.* - Wed Oct  7 19:52:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? For what reason? - Wed Oct  7 19:56:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *shrug* Dunno. - Wed Oct  7 19:57:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: If you're concerned, maybe you could join her? - Wed Oct  7 19:57:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Not my concern anymore, my job's finished. - Wed Oct  7 19:57:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Who's ordes and who is at the gate? - Wed Oct  7 19:58:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Come, Zen.. - Wed Oct  7 19:58:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: The only one who would come here is Suitengu..  For me.. Hm.. - Wed Oct  7 19:58:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: We'll go, probably someone trying to get in. - Wed Oct  7 19:58:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yes, Master.. - Wed Oct  7 19:58:04 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "While I relax, I guess i'll spy on those two, ehehe." the teen extended his right hand outward while his left covered both of his eyes. His body leaned up against the house contructed of sand. He channeled chakra to both of his hands for specific reason. His right converted the gathered chakra into sand..iron sand that the teen manipulated. The sand was molded into a bird of sand, it resembled one of the native birds seen in the dessert and around sunagakure. Though it lacked sight, its eye sockets were blank for just a moment before being filled with sand. The right hand attached the nerves in his eyes to the artificial eyes being formed. 

With his sight transfered over to the bird it took flight, it flew high into the sky in the direction of the village's gate. Both of Tetsumi's hand dropped to his side, though both eyes remained closed, his version was warped to the birds for the time being.* - Wed Oct  7 20:06:36 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: I'd like to speak to you in private, however Fujitora. - Wed Oct  7 20:07:28 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) //bird flew about above, it serveyed the area from a safe distance."Mhmm..Doesn't seem serious."* - Wed Oct  7 20:09:10 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: Noted, Suitengu. - Wed Oct  7 20:10:52 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: Ur fkin dun kid - Wed Oct  7 20:10:52 2015
<br><br><font color=teal>***Unknown**(Assassin241) says: omit - Wed Oct  7 20:10:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Wed Oct  7 20:11:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Can I trust him? Suitengu?  - Wed Oct  7 20:11:44 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hmm? Amoru? - Wed Oct  7 20:11:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mh. - Wed Oct  7 20:11:44 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: He's trustworthy by my standards. - Wed Oct  7 20:11:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I hope he is... I do not want Master to be brought back to me, dead.. You know. - Wed Oct  7 20:12:35 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Fujitora will be fine with him. - Wed Oct  7 20:13:26 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmmhh.. - Wed Oct  7 20:13:26 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And what gift though? - Wed Oct  7 20:13:26 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Two things, actually. - Wed Oct  7 20:14:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hmm? - Wed Oct  7 20:14:17 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: One is currently here. The other, isn't. - Wed Oct  7 20:14:17 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Which would you like to know about? - Wed Oct  7 20:15:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Both. - Wed Oct  7 20:15:08 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: One at a time. - Wed Oct  7 20:15:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: The one who isn't here first.  - Wed Oct  7 20:15:08 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Well, I'm afraid that one of your friends had passed away, and she wished for me to gift you the body. But as I said, I don't have it with me at the current moment. - Wed Oct  7 20:16:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ..One of my friends?  - Wed Oct  7 20:16:51 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Nanny Yumiko. - Wed Oct  7 20:18:33 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ..... - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hahahaha. - Wed Oct  7 20:21:58 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Don't worry, the other one is probably even less satisfying. - Wed Oct  7 20:21:58 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ..... - Wed Oct  7 20:22:49 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: What's it. - Wed Oct  7 20:22:49 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I'm here for you to study me at your own leisure, I think I may have something that may interest you. - Wed Oct  7 20:22:49 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "An eye? Most likely him, impressive." the teen thought frin his actual location, the bird that flew about above soared in the direction of the bird. Its beak pointed out attempting to destroy the eye and continue his scouting of the gate. Its movements were swift, probably one of the quickest birds in the area.* - Wed Oct  7 20:23:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ....  - Wed Oct  7 20:24:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I would show you. But now isn't the place or time. - Wed Oct  7 20:24:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I see.. - Wed Oct  7 20:24:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: So you need to come inside. And get yourself checked out?  - Wed Oct  7 20:24:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I do. - Wed Oct  7 20:25:23 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I have no permission for you yet.  - Wed Oct  7 20:25:23 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: And thats why now isn't the place or time. - Wed Oct  7 20:25:23 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I'm guessing that I won't be allowed in again till Hassan says something this time. - Wed Oct  7 20:26:14 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmmh.. - Wed Oct  7 20:26:14 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I can go in, ask him? - Wed Oct  7 20:26:14 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: That would be great if you could. - Wed Oct  7 20:26:14 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I'll let you know when I can get checked. - Wed Oct  7 20:27:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Wed Oct  7 20:27:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Sure.. - Wed Oct  7 20:27:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oi, Sui.. - Wed Oct  7 20:31:21 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hey again. Fujitora. - Wed Oct  7 20:31:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Amo fella is heading back to Kumo. - Wed Oct  7 20:31:21 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Right.  - Wed Oct  7 20:32:12 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I don't believe they enjoy his company as I do. - Wed Oct  7 20:32:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sadly.. - Wed Oct  7 20:33:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ---- - Wed Oct  7 20:33:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hello again stranger.. - Wed Oct  7 20:33:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: I'm going to just...turn around-- - Wed Oct  7 20:33:04 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Omit - - Wed Oct  7 20:33:04 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hi. - Wed Oct  7 20:33:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmm... He is stand sleeping.. - Wed Oct  7 20:33:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What do y' need Zen? - Wed Oct  7 20:33:55 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .. Stand sleeping, something that seems to happen alot. - Wed Oct  7 20:33:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Guards must be scary to most...Well, the way they are on high alert... - Wed Oct  7 20:34:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Another message... - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Mm? - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: This time from Sabo?..Hm.. - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mm.. - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Sabo, huh?? - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I need permission from Hassan to let Suitengu inside.  - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I need to check on him, Master.  - Wed Oct  7 20:37:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I've been getting letters from people a lot recently...And its fine Zen. - Wed Oct  7 20:37:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..Let Suitengu inside. - Wed Oct  7 20:37:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Next thing you know, the entire village is going to turn on me for not letting people inside. I don't trust Zenaki that much either. - Wed Oct  7 20:38:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I wonder, if Hassan would allow me to take the fall for this one...Its not like he has an army with him..And only here to visit his aunt. - Wed Oct  7 20:38:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Fujitora. - Wed Oct  7 20:39:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Suintengu. - Wed Oct  7 20:39:02 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Yan. - Wed Oct  7 20:39:02 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: As I said before, you shouldn't make friends with scum like Baen. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He's not a good man. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Have you forgotten about our training? - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: There aren't many these days is there.. I'll be sure to remember that, Yan. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Thank you. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: The trainings been complete...From what I rememner.. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It has not been completed. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Leaving so soon? @Kat. - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm? - Wed Oct  7 20:39:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It has Kirie...I can only show so much.. - Wed Oct  7 20:40:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: We havent trained ever since you caused my leg to be broken. - Wed Oct  7 20:40:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And even then it was incomplete. - Wed Oct  7 20:40:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mm. I get bored sitting around. I'm a restless person. Always have been. - Wed Oct  7 20:41:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's in my blood. - Wed Oct  7 20:41:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ..... - Wed Oct  7 20:44:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Farmer? - Wed Oct  7 20:44:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What? - Wed Oct  7 20:44:09 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm.. - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You live in a desert.... - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Want to buy some rice cakes? - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Unless you have Suiton users feeding you water you can't harvest anything. - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No I would like to train. - Wed Oct  7 20:45:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can use water myself...So how about a nice moist Rice Patty eh? - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora. - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: .... - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What? - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who was the man that accompanied Suitengu? - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That wanted to speak with you. - Wed Oct  7 20:46:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I asked you if you could use Suiton when I first met you and you said no. - Wed Oct  7 20:46:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh, just an old relative from the voice of such..No need to worry. - Wed Oct  7 20:46:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I want his name. - Wed Oct  7 20:46:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can't use it fluenty.. - Wed Oct  7 20:46:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Anyone can toss a waterbottle at something. - Wed Oct  7 20:47:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: He did not give it to me directly..Not yet atlease. - Wed Oct  7 20:47:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You know his name, Fujitora. - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ..... - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Waterbottle.. - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You keep a rice paddy with waterbottles? - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: In all honesty..I do not..Just the face. - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That is just about the stupidest thing you could have- - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Forget it. - Wed Oct  7 20:49:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Did I train this woman... - Wed Oct  7 20:49:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Who is this swordsmen fellow messaging me?.... - Wed Oct  7 20:50:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: No....nothing. - Wed Oct  7 20:52:41 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Well... this Koji guy's trained you regardless. I haven't received training from anyone. I'd drag you down in a spar. - Wed Oct  7 21:19:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Nonsense. I'm still pretty raw. . Unless you don't know any of our techniques at all? - Wed Oct  7 21:20:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tetsumi. - Wed Oct  7 22:27:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yes? - Wed Oct  7 22:27:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Come with me. - Wed Oct  7 22:27:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *nod* - Wed Oct  7 22:27:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alastor is here, right? - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yeah. - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good. - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm going to have him executed. - Wed Oct  7 22:28:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...I see... - Wed Oct  7 22:29:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He was a traitor. - Wed Oct  7 22:29:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Well..This was expected. - Wed Oct  7 22:29:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *nod* I understand, Yan told me what took place. And he admited to his actions with the aid of Fuji's technique. - Wed Oct  7 22:29:58 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Right. - Wed Oct  7 22:29:58 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Traitors wont be tolerated. - Wed Oct  7 22:29:58 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you execute any traitors, you'll find you won't have many left. - Wed Oct  7 22:30:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Mhmm... - Wed Oct  7 22:30:49 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I had the first part of your suit made. - Wed Oct  7 22:31:40 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) accepted the suit handed to him by Hassan, "Huh?"* - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tetsumi, you hail from the sand, no? - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yes. - Wed Oct  7 22:31:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Do you love this village? - Wed Oct  7 22:32:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yes but.. - Wed Oct  7 22:32:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: But? - Wed Oct  7 22:32:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'm concerned for its safety, that's why I traveled. - Wed Oct  7 22:32:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You always should be. - Wed Oct  7 22:32:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. True. Heh. I have to look after two things now, eh. - Wed Oct  7 22:33:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Back when I visited all those years ago. - Wed Oct  7 22:34:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And later when I was hired to train you and Kastya. - Wed Oct  7 22:34:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I had made a solomnly swear, - Wed Oct  7 22:34:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: What exactly did you swear? - Wed Oct  7 22:35:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That if this village fell into trouble, I would save it.. - Wed Oct  7 22:35:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...*nod*...I feel the same way.  - Wed Oct  7 22:36:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mmmm.... - Wed Oct  7 22:36:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So when it was overun by bandits. - Wed Oct  7 22:36:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I saved it. - Wed Oct  7 22:36:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And rebuilt it from scratch. - Wed Oct  7 22:36:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I gave the villagers a purpose. - Wed Oct  7 22:37:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I gave the citizens money. - Wed Oct  7 22:37:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I provided everyone safety.. - Wed Oct  7 22:37:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And I gave the word Suna Shinobi Meaning... - Wed Oct  7 22:39:21 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) tried on the vest that was handed to him, it looked similar to Jak's in a way though it was custom made. He listened to the geezer's words, his eyes closed for a moment invisioning the beast."You know..the reason why I set off, didn't return. I needed peace, time to learn. I had to develop a way to keep him in check and somehow manage his power." he'd reflect on his journey, it seemed long but it actually ended rather briefly.* - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I probably didn't manage this, but I developed confidence in myself and my ability. - Wed Oct  7 22:42:46 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: So..it works out in the end. - Wed Oct  7 22:42:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That's good. - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You may need to step up someday Jiki. - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Step up? - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: When the time comes, don't be afriad to do so. - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Wed Oct  7 22:45:20 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) was left to think about Hassan's words.* - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Wed Oct  7 22:47:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Step up..I can't rule a village if I can't even control what's inside of me. I can't even reason with him. - Wed Oct  7 22:47:53 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: It's more of a fling. - Wed Oct  7 22:48:44 2015
<br><br><font color=teal>*Ai(Sennalove) thinks: Feels like I'm missing something here. - Wed Oct  7 22:48:44 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: . . . . . - Wed Oct  7 23:10:04 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Threatening! - Wed Oct  7 23:10:04 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'll take my leave then. - Wed Oct  7 23:10:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: The hell is going on?.. - Wed Oct  7 23:12:38 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yo. - Wed Oct  7 23:17:45 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi. - Wed Oct  7 23:18:36 2015
<br><br><font color=teal>*Ai(Sennalove) says: Hello. - Wed Oct  7 23:18:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Where is Violet. - Wed Oct  7 23:22:01 2015
<br><br><font color=teal>*Ai(Sennalove) says: No idea who that is? - Wed Oct  7 23:22:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'unno either. - Wed Oct  7 23:22:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: The orange haired girl with the swords. - Wed Oct  7 23:23:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Who...... - Wed Oct  7 23:24:35 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Don't worry about it. - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: If you're ignorant, you're ignorant. - Wed Oct  7 23:28:00 2015
