<br><font color=teal>*Hanae(Ej900) says: This shell is nothing to me now. - Mon Nov  9 13:04:38 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: This looks interesting. . .makes me want to fight. . . - Mon Nov  9 23:42:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ugh... I need a Medic, but a brief patch job.. I'd be happy to... Ugh, fuck.. - Mon Nov  9 23:59:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Shit, why do those taps hurt more than the punches? - Mon Nov  9 23:59:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Man, fuck that Byakugan shit.. - Mon Nov  9 23:59:08 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: We're going to the hospital before you die of blood loss or something. - Mon Nov  9 23:59:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Nah, man.. - Mon Nov  9 23:59:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Tch. I need to blow this stress off before it's too late. . . - Mon Nov  9 23:59:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'm not gonna die.. - Tue Nov 10 00:00:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm not going near you until you put your weapon away, though. - Tue Nov 10 00:00:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: But I do need.. to fuckin rest.. Eh? - Tue Nov 10 00:00:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Wait... my mind's playing tricks on me, my bad. - Tue Nov 10 00:00:00 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: . . .Perhaps this guy here beside me. . . - Tue Nov 10 00:00:51 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hmph. . . - Tue Nov 10 00:02:33 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Anyone else wanna spar? - Tue Nov 10 00:02:33 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Not my thing. - Tue Nov 10 00:10:14 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hmph. - Tue Nov 10 00:10:14 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 00:11:56 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Excuse me. - Tue Nov 10 00:15:21 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Odd. I had anticipated one of you taking up the offer. - Tue Nov 10 00:17:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Nov 10 00:23:02 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yo. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Not really, did you beat that one girl? - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: No. They've all fell silent. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: We both agreed to stop. We where about to put each other into the hospital mutually, heh. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Things where a bit too even, I guess. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh, cool. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Still wan to spar? - Tue Nov 10 00:24:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm... I wouldn't be averse to it- but I'll need to eat after. I've caught a good bit of a breather as is, and the hospital was nice... wait, which girl are you asking if I beat? - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I fought two. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: The darkskined one. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I flattened the Waitress totally with no damage, then someone else stepped up and gave me a really good fight. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Anyway.. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: S-She said she'd spar me. . .and she is fighting him. . . - Tue Nov 10 00:32:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Damn. - Tue Nov 10 00:32:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: Mother fucker what, I thought someone else agreed to fight you. - Tue Nov 10 00:32:25 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: *drops perks from pocket* - Tue Nov 10 01:03:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yeah... - Tue Nov 10 01:09:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sure... - Tue Nov 10 01:09:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Was.. - Tue Nov 10 01:09:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ... Medicccc. - Tue Nov 10 01:12:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Me? - Tue Nov 10 01:15:56 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Yeah. - Tue Nov 10 01:15:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Why? - Tue Nov 10 01:15:56 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: If I could say why, I wouldn't have said elsewhere. - Tue Nov 10 01:15:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: We can t-talk at my r-restaurant. - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Lead the way? - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Wait. - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Guys. - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: She's injured. - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Call a Medic! - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Uyahh... - Tue Nov 10 01:17:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Do you know where Sensei is/ - Tue Nov 10 01:21:55 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Last I saw her she was in the square, but hey, are you a medic? - Tue Nov 10 01:21:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ....Ugah... - Tue Nov 10 01:21:55 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm not. Sorry. But uh, what's the injury? - Tue Nov 10 01:22:46 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: ...Burns. - Tue Nov 10 01:22:46 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Tue Nov 10 01:23:37 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I recommend getting a water release user to cool her until a medic arrives. - Tue Nov 10 01:23:37 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Or at least an Earth User who can make mud. - Tue Nov 10 01:23:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: ..Not.. the fucking.. priest. - Tue Nov 10 01:24:28 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Your gonna see jesus when he's done with that ass -Omit- - Tue Nov 10 01:25:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: If you ever decide at some point to drop, - Tue Nov 10 01:25:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Drop. - Tue Nov 10 01:25:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: But make sure to stand up at some point. - Tue Nov 10 01:25:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: And allow future people to stand up. - Tue Nov 10 01:25:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ..Are ... you... - Tue Nov 10 01:26:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Fucking... - Tue Nov 10 01:26:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Singing? - Tue Nov 10 01:26:11 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Tue Nov 10 01:26:11 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Nope? - Tue Nov 10 01:26:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: N-no.. - Tue Nov 10 01:28:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ..What.. does any of this.. have to do.. - Tue Nov 10 01:28:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: With anything. - Tue Nov 10 01:28:44 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 01:29:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I can kick him throw a wall if you'd like. - Tue Nov 10 01:29:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Can you take her to the hospital, Shira? - Tue Nov 10 01:33:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Uhh. - Tue Nov 10 01:39:50 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I don't know, if random Medic over here wants to give out more healing things, then maybe. - Tue Nov 10 01:40:41 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 01:40:41 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What's your name, lady? - Tue Nov 10 01:42:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...? I'm a guy and it's Ai.. - Tue Nov 10 01:42:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Look like a girl, sorry. - Tue Nov 10 01:42:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Umm. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Sure. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Let's head somewhere else then. . . - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Why not here? - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Too many people here. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What that mean? - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Meaning. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I don't plan to reveal what I can do to everyone. - Tue Nov 10 01:44:06 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: That's boring. - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: We're all friends here. - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Not like anyone's going to turn evil and kill us all! - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: Why the fuck you lyin'... why you always lyin'..? - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -omit- - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I'm already evil. - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: -omit- - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You couldn't evil your way out of a robbery, girl~ - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hahaha, that was funny. - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: Mental Note: I'm Hilarious - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -omit- - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *still taps that ass* - Tue Nov 10 01:47:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: *taps them d - Tue Nov 10 01:47:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: -omit- - Tue Nov 10 01:47:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hey - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hey Mizora* - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Then nevermind. - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Don't be like that~ - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Some things are better left unseen. - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Quite the spar. .  - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Besides, i'll probably get mad if we go fight out in the distance and it's not a good fight. - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi.. - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'm pretty, 'hot headed". Bwahahaha. - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Boy. .  - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Something wrong? - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: #Yep. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hurry, women! Run before he attacks you in a blind fury! His lust for death holds no bounds! - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: ...He even plans on attacking children!  - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .. Yo. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: No bounds! No bounds! - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Marco. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Jiki! Hurry, alert the elite guards! - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Still doubt my durability? - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Shishishi. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Alert alert! - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And.. yo.. guys. Stop making fun of the guy. - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'll just take 'm on... - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: What... did I walk into?.. - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh... - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Good, Marco. - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Now.... - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Aza... - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: What's wrong with fightin in front of everyone? - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Eh? - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: C'mon, can't be that bad! - Tue Nov 10 02:08:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Drop it like those dead bodies! - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .....Hah. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: That one was actually funny. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ehhehehe... Corpses.. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: God you two people are annoying. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ugh.... Fuck, but the kid does pack a punch.. - Tue Nov 10 02:09:42 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Thank you Mitsu! - Tue Nov 10 02:10:33 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I try my best. *nod* - Tue Nov 10 02:10:33 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yes he does, yes he does. - Tue Nov 10 02:10:33 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Nothings up...and Mizora... do you want to go eat at a resturaunt. You been chewing on that honey bun for a long time. - Tue Nov 10 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm not sure I'll eat... - Tue Nov 10 02:12:16 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: You sick? - Tue Nov 10 02:14:49 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Sick..? - Tue Nov 10 02:14:49 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, you're being quite....and saying you're not sure you can eat. - Tue Nov 10 02:14:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .... Mrm... - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Vomitting alot..? - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: No.. this is normal for me.. - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .. 's someone pregnan- ah, nevermind. - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: That doesn't sound normal. - Tue Nov 10 02:15:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Tue Nov 10 02:16:32 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) approached Mizora. "Hmm.. What's up?"* - Tue Nov 10 02:16:32 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Pregnant, in love or depression...Pick your posion.. - Tue Nov 10 02:16:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: She's depressed. - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Its obvious. - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Dang.  - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: That girl must be pissed from being fire fisted by Little-Sensei's .... Cousin? - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Let her live man. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I dislike love.... I-I don't think I'll ever be pregnant... and... depression... well.. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Little-Sensei's brother. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Or cousin - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Or Friend. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Finally awake Hassan..? - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I was right.. Depression. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Like my Giant Futa Shuriken? - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Im not busy. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I don't sleep often. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Too easy. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi.. Tetsumi... - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ... Ah. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: KazeKage. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Anything for me today..? - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Any missions available, 'tall..? - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Not at the moment. - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hey.. What's up? Want to talk? - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Missions? - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Literally anything to be done. - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: What do you mean...? - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yeah smalls shit. - Tue Nov 10 02:19:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: That's fine with me. I gotta do /somethin/ other than spar. - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: D or C ranked? - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: We're already talking... - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: C. I like to live dangerous. - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Guard the gate. - Tue Nov 10 02:19:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: A'ight, works for me. - Tue Nov 10 02:20:48 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) attempted to reach out for Mizora's hand, if allowed to he'd drag the girl away from everyone else or off to the side. Why? People were to nosey and didn't need to hear her troubles if she was up to talking.. Not like to teen talked much to anyone except the Tanuki, and he couldn't blabber anything to anyone.* - Tue Nov 10 02:21:39 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: Chikyuuuuu... heeeeelp.. - Tue Nov 10 02:24:12 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I dodn't wanna "talk"... - Tue Nov 10 02:25:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: -sets up the psychic link with Mizora- I'm trrryyyiinnnngggg! - Tue Nov 10 02:25:04 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) kept guiding Mizora away from the area, he'd look back at Chikyu. He didn't mind her following, not like he was planning to do anything.. underhanded or degrading towards any of them.* - Tue Nov 10 02:25:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Fucking people following. - Tue Nov 10 02:25:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <Omit*> - Tue Nov 10 02:28:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hm. - Tue Nov 10 02:28:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Seems the boy is still here. - Tue Nov 10 02:29:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Perhaps I can try again. - Tue Nov 10 02:29:20 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) didn't want to be followed nore bothered by a group of people. So, he'd do something that probably made the situation look worse than it actually was. He'd made a sudden handgesture, the iron cork at the top of the teen's gourd flew off. Blackened sand flowed out of the gourd, section of the went towards his and Mizora's own feet, while another section of sand flowed underneath Chikyu's feet. 

The sand became dense, dense enough to support each of their specific weight. With a flick of his wrist, the two platforms lifted off of the sand, soaring off to where ever Jiki wished."Ha, can't follow me now." he'd thought in his mind.* - Tue Nov 10 02:31:53 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: So. - Tue Nov 10 02:34:27 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: How about now boy? - Tue Nov 10 02:34:27 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Call me Ivel. - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Show me what ya got! - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . .It can't be here as I said. - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm Shira, Ivel. - Tue Nov 10 02:35:18 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Nice to meet you again. - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Come on, aint nobody watching. - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Do you like my Fuma Shuriken? - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: That joint hot. - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 02:36:09 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Found ya! - Tue Nov 10 02:38:43 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) looked down from above, "This seems like a nice spot." he'd occasionally look back, mainly checking up on Chikyu since she seemed.. shaken up by the experience of flying. The both platforms of iron slowly decended from the sky above until landing about north east of the village. 

