<br><font color=yellow>*Katsune(Shimizu3598) picks up the glass and eyes it absent-mindedly for a while as she speaks.

"Never wearing a headband again. I get restless sometimes though. Been to war. . .been forced to kill a lot of people. That made me restless." she says, careful to not say "bloodthirsty."

She reaches up to pour tea into her mouth. Eyes wander while she sips, visibly gulping once or twice. Her glass is emptied by an inch or two, showing that she really did drink it.

She sets the glass down afterwords.* - Sun Oct  4 05:23:50 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Maybe. - Sun Oct  4 22:12:28 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Does anyone need healing? - Sun Oct  4 22:13:20 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Just a suggestion. - Sun Oct  4 22:13:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: My techniques tend to be messy. - Sun Oct  4 22:13:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Developed one for killing Erebus in specific. That one...not something to play around with in a spar. - Sun Oct  4 22:14:11 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Then why not train? - Sun Oct  4 22:14:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm always training. If you see me in town it means I'm on 'break'. - Sun Oct  4 22:15:02 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? - Sun Oct  4 22:15:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yes. . . - Sun Oct  4 22:15:02 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: When before you were complaining about not being able to relax? - Sun Oct  4 22:15:02 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Where is he? - Sun Oct  4 22:15:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Go get enslaved by a psychopathic tentacle monster immortal for five years, go to war, be forced to kill your boyfriend over a misunderstanding, only to get enslaved by another immortal and then. . . - Sun Oct  4 22:15:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Then...... - Sun Oct  4 22:15:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It'll make sense to you why fighting is the only thing that keeps me calm. - Sun Oct  4 22:15:53 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . .Chill, I was just teasing. . . - Sun Oct  4 22:16:44 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) says nothing. A silent and sigh is released, and briefly she rubs at the bridge of her nose.* - Sun Oct  4 22:18:27 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I am relaxed. - Sun Oct  4 22:18:27 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's like you always hear this hostile tone in my voice that isn't there...because of how tense I always was back when I was being hunted. - Sun Oct  4 22:19:18 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I guess I got a dark sense of humor from being around Zetsumo. - Sun Oct  4 22:20:09 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Maybe I shouldn't talk about those things so often. People take it a lot more seriously than I ever expect. - Sun Oct  4 22:20:09 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: We take it seriously, because it is serious. - Sun Oct  4 22:21:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: They're things no one wants to go through. - Sun Oct  4 22:21:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's not like I'm asking for sympathy. I find my past funny. - Sun Oct  4 22:21:52 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) responds to Tetsu's whispering.* - Sun Oct  4 22:21:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's not like that aren't from Zetsumo Konoha are a completely different species. . . - Sun Oct  4 22:27:50 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: omit - Sun Oct  4 22:27:50 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's like people that aren't from Zetsumo Konoha are a completely different species. . . - Sun Oct  4 22:28:41 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Obviously it's because we didn't have to go through what you did. - Sun Oct  4 22:28:41 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: *Clears throat while telepathically speakint to Tetsu* Yes I realize dickhead. - Sun Oct  4 22:29:32 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: Youth... - Sun Oct  4 22:29:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well, I'm not sure what to tell you. - Sun Oct  4 22:30:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: We can't help it.  .? - Sun Oct  4 22:30:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Sun Oct  4 22:31:15 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I wonder if you. . .realize who I am. . . - Sun Oct  4 22:31:15 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Are you batman? -omit- - Sun Oct  4 22:32:06 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's eyes are averted as she speaks.

"What makes you think I need emotional support?"

She turns to face Tetsu with a blank expression on her face. Not cold, or tense, or anything. Just neutral.* - Sun Oct  4 22:32:06 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: What makes you think I want it? - Sun Oct  4 22:32:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm very comfortable right now. - Sun Oct  4 22:32:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I see what this is. . . - Sun Oct  4 22:32:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I poked fun at you before about being emo. I was flirting. - Sun Oct  4 22:33:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: And now you're insecure around me. . . - Sun Oct  4 22:33:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So you're lashing out at me in defense. - Sun Oct  4 22:33:48 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Was that - - Sun Oct  4 22:33:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: This.... - Sun Oct  4 22:33:48 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . .Lashing out? - Sun Oct  4 22:33:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Is almost funny. - Sun Oct  4 22:34:40 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I thought I was simply playing you game. - Sun Oct  4 22:34:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Clever girl... she is manulation his to her will with her words... - Sun Oct  4 22:35:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: How is it I have this effect on people? It's like people want to guard themselves from me. Like they're afraid I'll manipulate them if they let me. - Sun Oct  4 22:35:31 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Sun Oct  4 22:35:31 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'd like to point out. - Sun Oct  4 22:35:31 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: You technically did manipulate me once~ - Sun Oct  4 22:36:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I wanted information on Taiga to see if he was spying for Erebus. - Sun Oct  4 22:36:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's understandable isn't it? - Sun Oct  4 22:36:22 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I assume. - Sun Oct  4 22:36:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was defending myself. - Sun Oct  4 22:36:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I don't normally manipulate people. - Sun Oct  4 22:36:22 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: You're getting a bit defensive don't you think? - Sun Oct  4 22:37:13 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: It was a joke. - Sun Oct  4 22:37:13 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) doesn't respond, since he was clearly firing shots.* - Sun Oct  4 22:38:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: And for the record, I didn't start guarding myself until you said you were leaving, better be prepared than hurt? Right? Only natural, why get attached when you know what is coming. - Sun Oct  4 22:38:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's fair. - Sun Oct  4 22:39:47 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well damn woman. - Sun Oct  4 22:42:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: That hurts. - Sun Oct  4 22:42:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: How in the world would you get hurt? We've known each other for a few days. Can't a guy and a girl ever just be friends....? - Sun Oct  4 22:42:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Thinking I'm a spy. - Sun Oct  4 22:42:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Finding other kunoichi is hard. - Sun Oct  4 22:42:20 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: You're telling me you don't get hurt when friends leave? - Sun Oct  4 22:43:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Then forget about it. I think my traveling companion was playing me anyway and never intended to travel with me. - Sun Oct  4 22:43:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I'll probably be staying here. - Sun Oct  4 22:43:12 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: R-eally? - Sun Oct  4 22:44:03 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Well then. . .uh . . - Sun Oct  4 22:44:54 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Watch this. - Sun Oct  4 22:44:54 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Why? - Sun Oct  4 22:44:54 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Cause it was awesome obviously. - Sun Oct  4 22:45:45 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I don't really remember what I did though. - Sun Oct  4 22:45:45 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: C'mon man, you just want to keep those mad skills for yourself don't you! - Sun Oct  4 22:46:36 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I have no idea what you're talking about. - Sun Oct  4 22:46:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Well, you would have seen something hilarious. - Sun Oct  4 22:49:10 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: But it seems he won't comply. - Sun Oct  4 22:49:10 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So when are you going to slip it in Tetsu? - Sun Oct  4 22:53:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . .What? - Sun Oct  4 22:53:26 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) is facing the south and her expression is blank. It remains blank, too.* - Sun Oct  4 22:54:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Are you going to put your enchanted sword in her cave of wonders? - Sun Oct  4 22:54:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Battle with the fearsome dragon within? - Sun Oct  4 22:55:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Is he going to put his  - Sun Oct  4 22:55:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Sun Oct  4 22:55:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: The dragon in that metaphore is chlamidia. - Sun Oct  4 22:55:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Is this one of your Dand D things? - Sun Oct  4 22:55:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Sorry I don't get that one. - Sun Oct  4 22:55:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I think you've got your mind stuck on being a level 5 wizard. - Sun Oct  4 22:55:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Don't get that one either. - Sun Oct  4 22:56:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Don't you ever smile? Now you're the one being emo~ - Sun Oct  4 22:56:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Sun Oct  4 22:56:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Taiga, I'm going to kill you one day. - Sun Oct  4 22:56:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Believe it! - Sun Oct  4 22:56:00 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: I see so many people lost who really try to pretend. But am I just another white boy who's caught onto the trend? When I get on the mic is hip pop closer to the end? 'Cause when I go to shows the majority has white skin. - Sun Oct  4 22:56:51 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: -omit- - Sun Oct  4 22:56:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Lack of emotions isn't emo. - Sun Oct  4 22:56:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I'm bored. - Sun Oct  4 22:57:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Not depressed. - Sun Oct  4 22:57:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Boys run off and find other people when they realize they can't get in your pants. Yet...they wonder why girls are always playing them. - Sun Oct  4 22:57:42 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Are you going to pump her full with your chakra? - Sun Oct  4 22:58:33 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Taiga. . . - Sun Oct  4 22:58:33 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: You're getting a bit sick. - Sun Oct  4 22:58:33 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Don't forget to have protection on you. - Sun Oct  4 22:58:33 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Protection being your kunais and shurikens. - Sun Oct  4 22:58:33 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Or not. - Sun Oct  4 22:59:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Then, I guess I can entertain you breifly, if you'd like to kick me around once more, I'll give it my best. - Sun Oct  4 22:59:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Do you have any idea how durable the kazekage is? - Sun Oct  4 23:01:07 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: No clue.  - Sun Oct  4 23:01:07 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: This is the penis song.... I wish that I had a bigger schlong... one that was quite a bit more thick and waaaaaaay more long. One of those porno king kong dongs... - Sun Oct  4 23:01:58 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: -omit- - Sun Oct  4 23:01:58 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Well, Katsune is impossible for him anyway. - Sun Oct  4 23:05:23 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Now I'm bored. - Sun Oct  4 23:06:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Anyway kicking you aren't isn't any fun. No challenge. - Sun Oct  4 23:07:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Anyway, look, Taiga's retard dance. - Sun Oct  4 23:07:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well. . . - Sun Oct  4 23:15:37 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Heya Iza. - Sun Oct  4 23:22:27 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Kinda. - Sun Oct  4 23:22:27 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I kicked Alastor's ass, and then Hassan and Seisuke fought in the air. - Sun Oct  4 23:23:18 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Was an incredible sight. - Sun Oct  4 23:23:18 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Yup. - Sun Oct  4 23:23:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It was a fairly dull fight. - Sun Oct  4 23:23:18 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Yes, yes he was. - Sun Oct  4 23:24:09 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: It was Amazing . - Sun Oct  4 23:24:09 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Like flying ninja so cool. - Sun Oct  4 23:25:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: And Seisuke was riding a dragon. - Sun Oct  4 23:25:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah the dragon was awesome too. - Sun Oct  4 23:25:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He wanted to spar me. - Sun Oct  4 23:25:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So I humored him. - Sun Oct  4 23:25:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He got hurt though... - Sun Oct  4 23:25:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I should've held back a bit more. - Sun Oct  4 23:25:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'm interested in Seisuke's dragon though. - Sun Oct  4 23:25:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Welp. . . - Sun Oct  4 23:26:43 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I'm so bored. - Sun Oct  4 23:26:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He can summon dragons. - Sun Oct  4 23:26:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I summon Stoats. - Sun Oct  4 23:26:43 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Well I mean, any suggestion I have is never good enough, haha. - Sun Oct  4 23:26:43 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Dragons sound cooler. - Sun Oct  4 23:27:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Dragons are unimpressive. - Sun Oct  4 23:27:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I was barely whelmed. - Sun Oct  4 23:27:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Whelmed. . .? - Sun Oct  4 23:29:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: That's a word? - Sun Oct  4 23:29:16 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: I mean, I can start making crazy suggestions, but I don't want to get hit. - Sun Oct  4 23:29:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well. . . You're strong. - Sun Oct  4 23:29:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hardly. - Sun Oct  4 23:29:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey gramps I have a question whats the trick to living as long as you have? - Sun Oct  4 23:29:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Theres a million people out there stronger than me. - Sun Oct  4 23:29:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not dying. - Sun Oct  4 23:29:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Tch. - Sun Oct  4 23:29:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I should get a summon... - Sun Oct  4 23:30:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Who you gonna summon? That Holy Ghost? - Sun Oct  4 23:30:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I still think Dragons are amazing. - Sun Oct  4 23:30:59 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sir Hassan can you buy summons from the Gezo? - Sun Oct  4 23:30:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Not a good one? - Sun Oct  4 23:30:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: But I shall summon Gundams. - Sun Oct  4 23:30:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: -omit- - Sun Oct  4 23:30:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No. - Sun Oct  4 23:31:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You learn summons. - Sun Oct  4 23:31:50 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see from where? - Sun Oct  4 23:31:50 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Well. Not sure it'd be a fair fight but.... - Sun Oct  4 23:32:41 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . - Sun Oct  4 23:32:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Either from others or from being contracted to summon your perfect match. - Sun Oct  4 23:32:41 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Well, not sure it'd be a fair fight but... - Sun Oct  4 23:32:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: My perfect match was a stoat. - Sun Oct  4 23:32:41 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: We can spar. I'll use my weakest technique only and nothing else. Maybe some taijutsu too, which isn't my specialty. - Sun Oct  4 23:32:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I want to be contracted to my perfect match... what is that process? - Sun Oct  4 23:33:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Is sparring really the only thing to entertain you? - Sun Oct  4 23:33:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What's a stoat? - Sun Oct  4 23:33:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Because believe me, I will find something to do. - Sun Oct  4 23:33:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Is that like a cross between Stallions and Goats? - Sun Oct  4 23:34:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: .......I don't date everyone and everything that moves. - Sun Oct  4 23:34:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: So yes, sometimes, sparring -is- the only thing. - Sun Oct  4 23:34:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Eh? What does dating have to do with it? - Sun Oct  4 23:35:15 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Its a weasel like animal - Sun Oct  4 23:35:15 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: I was gonna suggest we get a bunch of people together and do something. . . - Sun Oct  4 23:35:15 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'd pick a Dragon over a easel. - Sun Oct  4 23:36:06 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: If I could summon one thing...! It would be... - Sun Oct  4 23:36:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Turtles are better than both. Tch. . ! - Sun Oct  4 23:36:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll show you what Stoats are some day. - Sun Oct  4 23:37:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Like what, Tetsu? - Sun Oct  4 23:39:31 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: I dunno, a game? Not sure exacty. - Sun Oct  4 23:40:22 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Actually, we can go spar if you'd like, I don't care. - Sun Oct  4 23:42:56 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sir... do you know how I can find my perfect match? - Sun Oct  4 23:44:38 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Or, I can just go hang out with Taiga, whatever works, ya know. - Sun Oct  4 23:45:29 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So Seisuke, that was an interesting spar. - Sun Oct  4 23:47:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yeah. - Sun Oct  4 23:47:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm recovered now for the most part. - Sun Oct  4 23:47:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: How do I learn to summon dragons? - Sun Oct  4 23:48:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Bryson it just happens - Sun Oct  4 23:48:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: .... - Sun Oct  4 23:48:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You don't. - Sun Oct  4 23:48:54 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see... so its like a random occurance in life - Sun Oct  4 23:48:54 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Why? - Sun Oct  4 23:48:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: If Taiga gets a dragon then I want an even cooler dragon. - Sun Oct  4 23:49:45 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) doesn't seem to react to this.* - Sun Oct  4 23:49:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That's why. - Sun Oct  4 23:49:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Did I miss anything squad related? - Sun Oct  4 23:50:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Nope~ - Sun Oct  4 23:50:36 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: You gave me no reason Seisuke. - Sun Oct  4 23:50:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mmmkay.~ - Sun Oct  4 23:50:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well you see. - Sun Oct  4 23:52:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The way my summoning is set up. - Sun Oct  4 23:52:19 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Doesn't even share. - Sun Oct  4 23:52:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: When you're free meet me at the place. - Sun Oct  4 23:53:10 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) turns to wander off.* - Sun Oct  4 23:53:10 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) wanders into the building, storing her gauntlets away and gently closing the door behind her.

She'd keep walking at a lazy pace with arms crossed until she gets to wherever Seisuke is -- or the couch. Whichever she finds first.* - Sun Oct  4 23:54:52 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. With that she turns and sets herself down. One leg crosses over the other as always -- since, ya know, she's wearing a body suit that leaves little to the imagination and all.

"I should mention..." she says.

"Fujitora removed the seal you put on me. I had to let him. Didn't want him starting something and the entirety of Sunagakure then deciding I needed to be arrested."* - Sun Oct  4 23:58:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Put back there if you want; I don't mind. - Sun Oct  4 23:58:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Sun Oct  4 23:59:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: My first question is. - Sun Oct  4 23:59:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What was he doing in your mouth? - Sun Oct  4 23:59:08 2015
