<br><font color=yellow>*Katsune(Shimizu3598) looks over at him.

"I did?" she asks.

"Who?"* - Mon Oct  5 02:05:26 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) lifts an eyebrow and makes eye contact with Hassan. She stares.* - Mon Oct  5 17:41:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah? - Mon Oct  5 17:41:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mm. Nothing. - Mon Oct  5 17:41:32 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) looks away.

Never good to assume.* - Mon Oct  5 17:42:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You sure it's nothing? - Mon Oct  5 17:42:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Just wondering if you're implying I'm a dangerous person. - Mon Oct  5 17:42:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I wouldn't know. - Mon Oct  5 17:42:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you are you have plenty of self control. - Mon Oct  5 17:42:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I enjoy your presence, even though you don't speak much. - Mon Oct  5 17:43:15 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I see. - Mon Oct  5 17:43:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So. - Mon Oct  5 17:54:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You have storm release? - Mon Oct  5 17:54:20 2015
<br><br><font color=teal>*Learius(Josh1220) says: Yeah - Mon Oct  5 17:55:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We'll get along just fine then. - Mon Oct  5 17:57:45 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Because we both have the same elements then. - Mon Oct  5 17:57:45 2015
<br><br><font color=teal>*Learius(Josh1220) says: Hmph - Mon Oct  5 18:00:19 2015
<br><br><font color=teal>*Kilm(Vysasi) says: If I get storm jutsu . . . Will probably teach you then. - Mon Oct  5 18:00:19 2015
<br><br><font color=teal>*Learius(Josh1220) says: Fine. - Mon Oct  5 18:02:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I also shouldn't have brung you into that . . . Sorry. - Mon Oct  5 18:15:40 2015
<br><br><font color=teal>*Learius(Josh1220) says: You don't say? - Mon Oct  5 18:16:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Wasn't expecting.... - Mon Oct  5 18:19:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That person to be up to anything shady. Thought...said person was more stable than that. - Mon Oct  5 18:19:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So, Learius . . . Do you train? - Mon Oct  5 18:25:04 2015
<br><br><font color=teal>*Learius(Josh1220) says: Not really. Was planning to start. - Mon Oct  5 18:28:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm, Would you mind training with me? - Mon Oct  5 18:31:02 2015
<br><br><font color=teal>*Learius(Josh1220) says: Fine.. - Mon Oct  5 18:34:27 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Want to join us, Katsune? - Mon Oct  5 18:35:18 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hm. - Mon Oct  5 18:35:18 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Alright. Sure. - Mon Oct  5 18:35:18 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods and turns to follow.* - Mon Oct  5 18:36:09 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ...'Ey. - Mon Oct  5 18:36:09 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm? - Mon Oct  5 18:36:09 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Let's go to the west. Anywhere near the east entrance is not where we wanna be if this..."Syndicate" shows up. - Mon Oct  5 18:36:09 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Right? - Mon Oct  5 18:36:09 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Mhm. - Mon Oct  5 18:36:09 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. She turns and leads the way to the west. intending to just Suimen over the walls or whatever -- like, legally.* - Mon Oct  5 18:37:00 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) plants her butt in the ground. She sits with legs stretched out in front of her, facing the west. Palms rest at either side of her.

Seems she's more interested in watching than actually training.* - Mon Oct  5 18:37:52 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Can you show me how you train? Let's see what you can do. - Mon Oct  5 18:43:50 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Not bad. - Mon Oct  5 18:56:38 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Perhaps I'll be able to teach you. - Mon Oct  5 18:56:38 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: I've trained so hard today . . . I think i'll overwatch his training for now . . . - Mon Oct  5 19:00:54 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Keep going. - Mon Oct  5 19:00:54 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) rises to her feet and wanders off eventually. She wipes dirt off of her butt as she says "Going back to town."* - Mon Oct  5 19:24:48 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) comes to an abrupt stop at the sight of Tetsu, having been on her way over to the hospital to "not-visit."

An eyebrow rises.* - Mon Oct  5 20:27:56 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's arms cross. Her weight shifts a bit.

The girl watches him, but says nothing and makes no attempt to go after him.* - Mon Oct  5 20:33:04 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) turns around and walks away, saying nothing.* - Mon Oct  5 20:36:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey taiga hows it going? - Mon Oct  5 20:47:34 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'm doing fine, and you? - Mon Oct  5 20:49:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ahh Tesu how are you doing? - Mon Oct  5 20:50:59 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Mon Oct  5 20:51:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Holy crap. - Mon Oct  5 20:53:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: The fuck happened to you Tetsu? - Mon Oct  5 20:53:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Damn. - Mon Oct  5 21:02:56 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) glances down at him.

"How's your head?" she asks.* - Mon Oct  5 21:08:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ....Yeah. It is. - Mon Oct  5 21:12:19 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Exactly, so no problem. - Mon Oct  5 21:16:35 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Bored. But aside from that yes. - Mon Oct  5 21:20:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'd actually enjoy sparring you. - Mon Oct  5 21:20:51 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: But, as you might have guessed. - Mon Oct  5 21:20:51 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I was recommended not to. - Mon Oct  5 21:20:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was thinking the same thing actually, as far as both of those things go. - Mon Oct  5 21:20:51 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: To be completely honest with you, I'm craving a spar after what happened to me. . . - Mon Oct  5 21:22:33 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: But. . . - Mon Oct  5 21:22:33 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: My head is so distracted, I'm unsure of if I could sucessfully pull off a jutsu. . . - Mon Oct  5 21:22:33 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Though, Doesn't really matter. I'll move past it. - Mon Oct  5 21:23:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: You shouldn't be running and dodging things right now. - Mon Oct  5 21:25:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: -- In fact, I wonder if in your condition you should even be in this village right now. - Mon Oct  5 21:25:07 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: . . .What do you mean? - Mon Oct  5 21:25:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: ...Ever seen war before? - Mon Oct  5 21:25:58 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: A small scale one. - Mon Oct  5 21:25:58 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Though, I wasn't a part of it. - Mon Oct  5 21:26:49 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Anyway, what would you recommend I do? - Mon Oct  5 21:26:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: -- Forgot. You're a Sungakure shinobi now aren't you? - Mon Oct  5 21:28:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: For the time being, until I find some place I'd rather be. - Mon Oct  5 21:29:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I 'do' have a grudge against Edge, I think. Never been sure. - Mon Oct  5 21:29:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: See. . . - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (omit, lol. omit both of those) - Mon Oct  5 21:31:05 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: xD.) - Mon Oct  5 21:31:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Not sure if I'm staying or not. - Mon Oct  5 21:31:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Probably will. - Mon Oct  5 21:31:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: To fight I mean. - Mon Oct  5 21:31:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I'll admit. I've never once had luck with people leading 'me' into battle. - Mon Oct  5 21:31:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: I figured you would. - Mon Oct  5 21:31:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: You obviouly like a good fight. - Mon Oct  5 21:31:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: *obviously) - Mon Oct  5 21:31:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I miss war. - Mon Oct  5 21:31:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: And I miss peace of mind, and eventually we will both have what we want. - Mon Oct  5 21:32:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Only because I'm good at it though. - Mon Oct  5 21:32:48 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Oh? Well it's good to be good at something I supose. - Mon Oct  5 21:32:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Then again, I'm still trying to relax after dealing with Erebus. Don't know if I'm rested enough for it. - Mon Oct  5 21:33:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Mentally. - Mon Oct  5 21:33:39 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Honestly, I think I might leave Sunagakure. - Mon Oct  5 21:33:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Shouldn't. - Mon Oct  5 21:34:30 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Oh? - Mon Oct  5 21:34:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: There are consequences for that. At least think it through first. - Mon Oct  5 21:34:30 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: I always have. I did when I left Kirigakure, and I will if I leave here. - Mon Oct  5 21:34:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Giving you. . .a fair warning. - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I'm an ambitious person. - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: I know. - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I've seen an awful lot. . .of things. . . - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Don't intend to die before doing certain things. - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: So...if you do something suicidal. - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: While ignoring my advice. . . - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Don't expect me to protect you. - Mon Oct  5 21:35:21 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) produces a weak, crooked smile. With that, she too begins scooting off to the side.* - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Though, anyway. - Mon Oct  5 21:38:46 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Why would you care if I did something suicidal? I mean, it isn't like there is a certain redhead out there I have a tad of a grudge against at the moment. - Mon Oct  5 21:39:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I'm loyal but. . .I show it by advice first. Bravery second. - Mon Oct  5 21:39:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: All of my friends that have died so far. . . - Mon Oct  5 21:39:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Allies too. . .especially my non-friend allies. - Mon Oct  5 21:40:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Every single...one of them..... - Mon Oct  5 21:40:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I gave them advice. Told them not to do what they were gonna do. - Mon Oct  5 21:40:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: All of them ignored it. So when they were dying.... - Mon Oct  5 21:40:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I watched out for myself. - Mon Oct  5 21:40:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: I see. - Mon Oct  5 21:40:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: And think for a moment will you? - Mon Oct  5 21:40:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: In complete honesty, when it comes down to bare bones, am I the kind of person to get myself killed? - Mon Oct  5 21:41:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Well. I was just making sure you knew where I stood. - Mon Oct  5 21:42:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: What you do is your own business. - Mon Oct  5 21:42:11 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Was to say, 'you are standing on the ground.'_ - Mon Oct  5 21:43:02 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: I know. - Mon Oct  5 21:43:53 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Thanks for the advice though. - Mon Oct  5 21:43:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mhm. - Mon Oct  5 21:44:44 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) thinks there's been quite enough whispering.* - Mon Oct  5 21:44:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah? - Mon Oct  5 21:49:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yessir. - Mon Oct  5 21:51:34 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Trying to give you a reason to learn it so shhhh.) - Mon Oct  5 21:53:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Interesting, but no. Too lazy right now. - Mon Oct  5 21:54:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Really tired. - Mon Oct  5 21:54:59 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Really tired. - Mon Oct  5 21:54:59 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? - Mon Oct  5 21:54:59 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Really? - Mon Oct  5 21:54:59 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. - Mon Oct  5 21:54:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Consider it done. Any idea where I should start? - Mon Oct  5 21:54:59 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I will bear the duty of tracking Jiki-san, Lord Hassan! - Mon Oct  5 21:54:59 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Why not go lay down then? Get some rest? - Mon Oct  5 21:54:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fair enough. - Mon Oct  5 21:55:50 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods, and rises to her feet. She brushes dirt off of her butt.

"I will do that." she says.

The girl then turns and walks away.* - Mon Oct  5 21:56:41 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: That sound like fun. - Mon Oct  5 21:56:41 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Can i go to gramps? - Mon Oct  5 21:56:41 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Well damn, he actually went and said that. - Mon Oct  5 22:00:06 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) grows that much closer to developing village-nuking ambitions as she walks away.* - Mon Oct  5 22:00:06 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Tesu you feeling any better? - Tue Oct  6 00:48:12 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . .Oh, yea, feeling like a million bucks. Head of steal and all that jazz. - Tue Oct  6 00:48:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys are pretty quiet today. - Tue Oct  6 00:50:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: One of those days, I guess. - Tue Oct  6 00:52:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Nope. I dont know why everyone i silent. - Tue Oct  6 00:53:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, too slow... - Tue Oct  6 00:58:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Dude. Ya ever. . . - Tue Oct  6 01:01:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Try to dye your hair? - Tue Oct  6 01:01:00 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) is sitting with legs stretched out in front of her form. Palms rest at either side of her and eyes are on the ground.

"Mhmmm." she says in response, with a nod. If he's putting on any kind of show she doesn't realize it.* - Tue Oct  6 01:01:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: That's good. - Tue Oct  6 01:02:43 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: No why would I. - Tue Oct  6 01:08:41 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I think I've gotten a bit too used to you Kat. - Tue Oct  6 01:09:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Being in the matter of. - Tue Oct  6 01:09:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I dislike talking to other people when compaired to you now. - Tue Oct  6 01:09:32 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) crosses one leg over the other. She says nothing.* - Tue Oct  6 01:14:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hello! - Tue Oct  6 01:14:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Comunnnniiiiiiityyyyyy! - Tue Oct  6 01:22:20 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: shit - Tue Oct  6 01:23:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <@Trilliam*> Hey, do you need/ - Tue Oct  6 01:23:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Some hair dye? - Tue Oct  6 01:23:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Nope I like my hair color - Tue Oct  6 01:24:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: It brings out my face. - Tue Oct  6 01:24:54 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm not fun either. - Tue Oct  6 01:24:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? I dunno, you're pretty entertaining to be around. - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Thank you love. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: She's cool with me in my book any one who doesnt like koji is fine with me. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well Kat. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I keep telling tou all he's a homicedal mad man. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Up for doing anything yet? Or still relaxing? - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You're too soft for me to punch honestly. - Tue Oct  6 01:27:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Tue Oct  6 01:27:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Even Kilm's done instantly when I punch him, and his body's harder than a kunai. - Tue Oct  6 01:27:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I see. - Tue Oct  6 01:27:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'm sorry for not being enough entertainment. - Tue Oct  6 01:28:19 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not your fault, and I am sorry. - Tue Oct  6 01:28:19 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh, don't worry about it. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I guess it is true. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: FIght Him Sanoke fight him. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Just no point sparring unless I have a challenge. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I think I could take him. - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: You will see why i call him the White Eyed Devil. - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I should be able to defeat him, to be fair. - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: To be rank, really. - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What you think? - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Might have to take off this shell, though. - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And I guess unless it's sparring, it's not worth doing? - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I mean you could try to romance me but I get the feeling you'd fail horribly all over the place. - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Only the feeling? - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mhmmmm. - Tue Oct  6 01:30:52 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) says this all with a perfectly blank facial expression.* - Tue Oct  6 01:31:44 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Because I'm about 80% sure I'd fall horribly as well. - Tue Oct  6 01:31:44 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm you could try gramps doesn't just make anyone his left hand man. - Tue Oct  6 01:31:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're back in the game, Tetsu? - Tue Oct  6 01:31:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I thought Kohaku made you retire. - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Who? - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The girl from Kiri. - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: wiat if koji is gramps left hand and sesuki is his right which one has to scratch his balls. - Tue Oct  6 01:33:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anyway. . . - Tue Oct  6 01:34:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Might hurt. - Tue Oct  6 01:41:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You can sit though. - Tue Oct  6 01:41:58 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Guess his head injury means I can't punch him in the nuts with my gauntler-clad hand, can I? - Tue Oct  6 01:42:49 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wait you know earth justu which ones which one! - Tue Oct  6 01:43:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. None, I do have scrolls, though. - Tue Oct  6 01:43:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: AH.....Which one which one! - Tue Oct  6 01:43:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I haven't learned any cause elemental techniques are hard. - Tue Oct  6 01:44:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Basic shit. Mud Silhouette, Hiding Like a Mole. - Tue Oct  6 01:44:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. Haha, I ain't really an earth guru. - Tue Oct  6 01:45:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm pretty shit when it comes to elemental stuff. - Tue Oct  6 01:45:23 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmmm....Thats not a good thing. - Tue Oct  6 01:45:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It was, until people started telling cheesey jokes. - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How so? - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I see. - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I mean, Iget elemental techniques are important. But they aren't the end-all. Y'know? - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I guess so. - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji! You're finally back. - Tue Oct  6 01:47:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Later, we oughta battle. - Tue Oct  6 01:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Want to see if I can take ya. - Tue Oct  6 01:47:56 2015
