<br><font color=teal>*Rokujou, Kida(Shiziru101) says: Why do you believe that? - Sun Dec  6 21:38:46 2015
If this were all successful, the scout would shunshin once more opposite from the side where he originally was. He wasn't sure if his combination attack would work, since he had not seen the full extent of Anguo's skills and abilities. However, he did assume that he was much more skilled, and as such--competent to fend him fairly well.* - Tue Dec  8 00:48:38 2015
<br><br><font color=yellow>*Tengoku(Punka) took notice of the various weapons and projectiles coming his way. He could easily dodge most of them, thanks to his perception and reflexes working in tandem. However, some of the projectiles would lodge through his clothing and into his skin, causing him some minor damage. He grunted in pain, some weapons hitting hspis the midsection of his right thigh, his upper left arm, and his right pectoral. With ease, and some pain, he plucked the weapons out. This was where he made the mistake. He suddenly found himself being thrusted backwards, sliding across the ground as a dashing kick was sent ramming right into him. It was rather unexpected, Anguo's speed and strength causing a lot of momentum and force to be packed in one attack.

Tengoku, barely handling the kick, found himself panting on the ground. He had took quite the hit, along with quite the tumble as well. With some attempts, he would struggle to stand up, before finally utilizing his signature technique once more. He dispersed in a cloud of smoke, but instead of appearing behind Anguo, and appeared right below him. The little boy attempted a sudden speeding sweep to send Anguo crashing down to the ground. After that attack, he disappeared again. He appeared right above his sensei, attempting a strong axe-kick from above down on his left shoulder to further slam him into the pavement. He could tell Anguo was holding back, but he didn't know how much.

Tengoku was giving it his all, since that was all he could do. After the attempted axe-kick from mid-air, he would rebound off whichever contact he made with (Anguo or the ground) and shunshin away once more. "Are you holding back for my sake?"* - Tue Dec  8 01:18:30 2015
<br><br><font color=yellow>*Tengoku(Punka) arched his eyebrow as Anguo progressed toward him. Unexpectedly, the punch came, knocking him square in his face. It sent him reeling back in pain. He stumbled back, before falling to the pavement with a harsh thud. "Agh!" he exclaimed in pain, rolling backwards to minimize the impact. In less than a few seconds, he was able to stand back up. However, it seemed the continued use of the Body Flicker took a drain on his chakra. He still had enough for a couple uses, but he'd figure that he'd calm down with the use. He knew at that point, Anguo would probably make a come back. He was panting, one hand holding where he was punched, and the other where he was kicked.

The damage ringed through their respective spots, radiating pain every now and then. He took a good look at Anguo, the unseen seriousness on his face, "Testing yourself for what? I'm not understanding, Anguo-Sensei." Tengoku had the serious tone, but it was clear that he still showed respect to younger, higher-ranking boy. With some space away from Anguo, Tengoku would fire up a string of hand seals, a set of chakra being whisked up from his reservoir. The chakra traveled up to his throt, and into his mouth, taking on the nature of the katon style. By the end of the execution of the seals, the chakra smoothly flowed out and towards Anguo as a breath of fire--akin to a flamethrower. Not before long, the flames ceased to be, and Tengoku had backed up.* - Tue Dec  8 02:05:26 2015
<br><br><font color=yellow>*Tengoku(Punka) || The flames exhausted themselves, signifying that Tengoku had decided not to comtinue forward with it. Anguo came in with his speed once more, delivering a harsh kick that would send Tengoku slipping harshly into the pavement below him. He had no real hand-to-hand combat experience when it came to others attacking and defending against him--only him getting in, overwhelming the opponent with a fluffy of attacks, and then getting out. He fell towards his side, his palms landing flat on the ground to absorb shock and minimize damage once more. His palms on the ground turned into a rollover towards Anguo's side. He attempted to ignore the pain that went through his body for another wuick string of attacks.

The execution of another hand seal saw the disappearance of Tengoku from directly in front of him to right under him once more. The little boy thrusted his leg up into the air, hoping for the soles if sandsls to connect with Anguo's chin and send him into the air. If this was successful, he followed up with another axe-kick from above, attempting to send it along the boy's shoulder to send him speeding towards the ground. If he was all fine after, Tengoku would disappear and reappear farther, panting heavily. This was where the ignored pain set in. He was running low on chakra at this point, and needed to conserve.* - Tue Dec  8 02:25:55 2015
<br><br><font color=yellow>*Tengoku(Punka) huffed and panted. Then Tengoku felt a fading sensation. His ocular doujutsu began to recede, fading away to reveal Tengoku's actual baby blue hues. Tengoku didn't feel like draining more chakra, especially since he still had a long ways to go before obtaining more experience in the doujutsu. He looked over at Anguo, wincing in pain before speaking, "Is...that it? I can keep...going."* - Tue Dec  8 02:39:34 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yeah...That's it. - Tue Dec  8 02:40:25 2015
<br><br><font color=teal>*Tengoku(Punka) says: I guess...you've seen my skills in action now. - Tue Dec  8 02:41:16 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yeah...You're good. - Tue Dec  8 02:41:16 2015
<br><br><font color=teal>*Tengoku(Punka) says: Am I? I don't think so. I'm too weak. - Tue Dec  8 02:42:08 2015
<br><br><font color=teal>*Tengoku(Punka) says: I can't properly gauge myself when you're holding back. - Tue Dec  8 02:42:08 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh... - Tue Dec  8 02:42:08 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Sorry... - Tue Dec  8 02:42:59 2015
<br><br><font color=teal>*Tengoku(Punka) says: No, it's fine. - Tue Dec  8 02:42:59 2015
<br><br><font color=teal>*Tengoku(Punka) says: It was still productive...now I just know what I need to work on. - Tue Dec  8 02:43:50 2015
<br><br><font color=teal>*Tengoku(Punka) says: I'll take that as a loss for me, at least in my book. - Tue Dec  8 02:43:50 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: That was the longest I've went with my Sharingan active. I'm making huge progress. - Tue Dec  8 02:43:50 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...Okay. - Tue Dec  8 02:44:41 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: But uh.... - Tue Dec  8 02:44:41 2015
<br><br><font color=teal>*Tengoku(Punka) says: Hm? - Tue Dec  8 02:44:41 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Did you used to know anyone named Ushinawa? - Tue Dec  8 02:44:41 2015
<br><br><font color=teal>*Tengoku(Punka) says: Ushinawa? Who's that? - Tue Dec  8 02:45:32 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh... - Tue Dec  8 02:45:32 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: He's someone with the Sharingan too... - Tue Dec  8 02:45:32 2015
<br><br><font color=teal>*Tengoku(Punka) says: !!! - Tue Dec  8 02:45:32 2015
<br><br><font color=teal>*Tengoku(Punka) says: What? I thought I was the only one. - Tue Dec  8 02:46:24 2015
<br><br><font color=teal>*Tengoku(Punka) says: Do you know where he would be? - Tue Dec  8 02:46:24 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: No....The last time I saw him was way back when Kirigakure had that war with Amegakure... - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Tengoku(Punka) says: Ah, that's a while back. - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yeah... - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Tengoku(Punka) says: I was still in the academy then. - Tue Dec  8 02:48:06 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Huh... - Tue Dec  8 02:48:06 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: He showed me some visions with the Sharingan...Even said I had the potential to use it. - Tue Dec  8 02:49:48 2015
<br><br><font color=teal>*Tengoku(Punka) says: Really? That's cool, I guess. - Tue Dec  8 02:50:40 2015
<br><br><font color=teal>*Tengoku(Punka) says: He must have been very powerful with it, if he could show you visions. - Tue Dec  8 02:50:40 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yeah. - Tue Dec  8 02:51:31 2015
<br><br><font color=teal>*Tengoku(Punka) says: I'm trying to train mine. - Tue Dec  8 02:52:22 2015
<br><br><font color=teal>*Tengoku(Punka) says: Though, I don't reveal it much to others. - Tue Dec  8 02:53:13 2015
<br><br><font color=teal>*Tengoku(Punka) says: So please, keep it on the down low. - Tue Dec  8 02:53:13 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I wouldn't tell anyone. - Tue Dec  8 02:53:13 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I've seen what people do for those eyes... - Tue Dec  8 02:53:13 2015
<br><br><font color=teal>*Tengoku(Punka) says: Yeah, I've heard about Kirigakure's old days. - Tue Dec  8 02:54:04 2015
<br><br><font color=teal>*Tengoku(Punka) says: Where the Sharingan, and some other ocular doujutsu were hunted for. - Tue Dec  8 02:54:56 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yeah...He showed me that...with the visions. - Tue Dec  8 02:55:47 2015
<br><br><font color=teal>*Tengoku(Punka) says: Thar's crazy. - Tue Dec  8 02:56:38 2015
<br><br><font color=teal>*Tengoku(Punka) says: Kina motivates me, rather. - Tue Dec  8 02:56:38 2015
<br><br><font color=teal>*Tengoku(Punka) says: That's some Avatar shit - Tue Dec  8 02:57:29 2015
<br><br><font color=teal>*Tengoku(Punka) says: If I really want to progress it like that, then I'm going have to train it harder. - Tue Dec  8 03:01:45 2015
<br><br><font color=teal>*Tengoku(Punka) says: But, other things come first. - Tue Dec  8 03:01:45 2015
<br><br><font color=teal>*Tengoku(Punka) says: I can't solely rely on my Sharingan to help me. - Tue Dec  8 03:02:36 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Makes sense. It does seem like it's pretty dangerous to the user after all. - Tue Dec  8 03:03:28 2015
<br><br><font color=teal>*Tengoku(Punka) says: It's not. It doesn't seem as chakra-taxing when I train with it more. - Tue Dec  8 03:06:01 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Ah... - Tue Dec  8 03:09:26 2015
<br><br><font color=teal>*Tengoku(Punka) says: When Sanoke has his 6 paths in Kumo - Tue Dec  8 03:10:17 2015
<br><br><font color=teal>*Tengoku(Punka) says: I think I might focus building my taijutsu and scouting skills before I move onto something else. - Tue Dec  8 03:12:00 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yeah...I wanted to work on my taijutsu as well... - Tue Dec  8 03:12:51 2015
<br><br><font color=teal>*Tengoku(Punka) says: It properly fits my fighting style, I think. - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>*Tengoku(Punka) says: You're pretty adept, I must say. - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I 'dunno...I think I'm average. - Tue Dec  8 03:44:25 2015
<br><br><font color=teal>*Tengoku(Punka) says: Compared to a taijutsu specialist you are. - Tue Dec  8 03:47:50 2015
<br><br><font color=teal>*Tengoku(Punka) says: To me, you're above-average. - Tue Dec  8 03:47:50 2015
<br><br><font color=teal>*Tengoku(Punka) says: Adele tho - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Anguo-san. - Tue Dec  8 04:15:08 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...Huh? - Tue Dec  8 04:16:00 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Ever give a thought about that training? - Tue Dec  8 04:16:00 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Teaching, training... tomato, tomoto. - Tue Dec  8 04:16:51 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I did. - Tue Dec  8 04:16:51 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: What did you decide? - Tue Dec  8 04:16:51 2015
<br><br><font color=teal>*Tengoku(Punka) says: ..? - Tue Dec  8 04:16:51 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Nothing yet, I don't know what I could teach you. - Tue Dec  8 04:16:51 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Eh, alright. *Shrug*. - Tue Dec  8 04:16:51 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I told you that you could teach me whatever you'd like though. - Tue Dec  8 04:17:42 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ....I mean more like, what are you capable of. All I've got really is ninjutsu and fuuinjutsu. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Oh. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I mean I'm focused on Taijutsu, but I haven't really decided my second profession. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I was thinking about scout. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Tengoku(Punka) says: ..! - Tue Dec  8 04:19:24 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I think he could be a better help. - Tue Dec  8 04:19:24 2015
<br><br><font color=teal>*Tengoku(Punka) says: I'm a scout. - Tue Dec  8 04:20:16 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Oh. - Tue Dec  8 04:21:07 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Could we talk about it then? I don't really know anything. - Tue Dec  8 04:21:07 2015
<br><br><font color=teal>*Tengoku(Punka) says: Kinda varies. - Tue Dec  8 04:21:58 2015
<br><br><font color=teal>*Tengoku(Punka) says: Do you plan on using it combatively, or for it's -intended- reason? - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I haven't decided. - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I don't know anything about it, that's why I wanna talk? - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Tengoku(Punka) says: I kinda use it for both, thougb I'm more leaned on combative efforts. - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Tengoku(Punka) says: And alright. - Tue Dec  8 04:23:40 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Where you wanna talk? - Tue Dec  8 04:23:40 2015
<br><br><font color=teal>*Tengoku(Punka) says: Anywhere is fine. - Tue Dec  8 04:24:32 2015
<br><br><font color=teal>*Tengoku(Punka) says: Sure. - Tue Dec  8 04:26:14 2015
<br><br><font color=yellow>*Tengoku(Punka) took a seat.* - Tue Dec  8 04:32:12 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Heya Tenny. - Tue Dec  8 23:27:08 2015
<br><br><font color=teal>*Tengoku(Punka) says: Hey Yumi.~ - Tue Dec  8 23:47:37 2015
<br><br><font color=teal>*Yumiko(Sekara) says: What's up? - Tue Dec  8 23:51:02 2015
<br><br><font color=teal>*Tengoku(Punka) says: Nothing much, you? - Tue Dec  8 23:54:27 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Not much relaxing maybe swimming. - Wed Dec  9 00:02:08 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Ten-san? - Wed Dec  9 00:11:31 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: When will we have that conversation? - Wed Dec  9 00:11:31 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *Yaawns* - Wed Dec  9 00:19:12 2015
<br><br><font color=teal>*Yumiko(Sekara) says: That's because you're falling asleep. - Wed Dec  9 01:27:28 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Not my fault. - Wed Dec  9 01:28:19 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Huh? We are-- I mean, sure. - Wed Dec  9 01:35:08 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Of course. - Wed Dec  9 01:35:08 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Just go along with it. - Wed Dec  9 01:35:08 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: --Huh? - Wed Dec  9 01:36:51 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Oh, right, missions just came in, Anguo. They're at the manor for a drop off. - Wed Dec  9 01:36:51 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh. - Wed Dec  9 01:36:51 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I'll have to get my squad together for one then. - Wed Dec  9 01:37:42 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Good. Kyubishu, Tengoku, and Geo Dude. - Wed Dec  9 01:37:42 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Mnnnnhm. - Wed Dec  9 01:47:05 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Oh. - Wed Dec  9 02:13:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Sorry, something came up. Do you have your merchandise on you? - Wed Dec  9 02:14:24 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Very little on my person. - Wed Dec  9 02:14:24 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Where can we go to get it? - Wed Dec  9 02:16:06 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Also, Anguo. What rank is the mission? - Wed Dec  9 02:16:57 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Doesn't matter. We'll do it all the same. - Wed Dec  9 02:17:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hello.~ - Wed Dec  9 02:45:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Whoa now.. - Wed Dec  9 02:45:58 2015
<br><br><font color=teal>*Tengoku(Punka) says: ..? - Wed Dec  9 02:45:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I didn't say anything about all that.. - Wed Dec  9 02:45:58 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . Errr. . - Wed Dec  9 02:46:49 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: That's the only way to get rid of those kinds of guys..They'll just keep coming back. Duh. - Wed Dec  9 02:46:49 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Wed Dec  9 02:49:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm, Kirigakure was once my village aswell so of course im inclined to care about its well being just as mnuch as Sunagakures. - Wed Dec  9 02:49:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I hear some fishy stuff has been going on. - Wed Dec  9 02:49:23 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) thinks: Izanami...It's been long. - Wed Dec  9 02:49:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Also, how was that boy Kiyoko tended to? - Wed Dec  9 02:50:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Has he made a full recovery? - Wed Dec  9 02:50:14 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: ... - Wed Dec  9 02:51:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ..... - Wed Dec  9 02:55:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That boy is dead? - Wed Dec  9 02:55:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I am sorry... - Wed Dec  9 02:55:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: These terrorists are the ones who caused it you say? - Wed Dec  9 02:55:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *glances at Anguo*  - Wed Dec  9 02:57:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: He seems familiar.. - Wed Dec  9 02:57:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Just point me in the right direction... - Wed Dec  9 02:57:55 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: ... - Wed Dec  9 02:57:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We'll handle whoever it is that did it. - Wed Dec  9 02:57:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: This just confirms what I was talking about before... - Wed Dec  9 02:57:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Maybe Rias wasn't totally wrong... - Wed Dec  9 02:59:37 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Ryo is dead? - Wed Dec  9 03:03:02 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Huh? - Wed Dec  9 03:12:25 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: We aren't murderers, just merchants. - Wed Dec  9 03:15:50 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Eye witness testiomies. Lead by Nori, Sekitsui, Yumiko, Ryo himself on death bed, and, yes, me. - Wed Dec  9 03:15:50 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What exactly did you two do to Ryo..? - Wed Dec  9 03:16:41 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: If you're referring to the incident from prior, no one was killed. Seriously injured, yes, but killed no. - Wed Dec  9 03:16:41 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: He died of his wounds shortly after in the hospital. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: It was an act of self defense might I add. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Hm. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Shortly after?  - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Tragic. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: But not my fault. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: You tried to punch him and he reacted against you. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ....Hm.. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: This is legal as a shinobi. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Tried to? No, I simply played a joke like he did to us. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Throwing a punch is a joke. Very clearly it is not a threat that we, as shinobi, face every day. - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Whatever the case may be, you still killed somone, a child at that... - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Jail would be appropriate... - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: It was a scare tactic for his actions against us. - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: The problem is they are excellent taijutsu users. - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Our jails are not strong enough. - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I'd like to let it be known that I've killed no one. - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: If not death - permanent exile. - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: My strength.... - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Chakra signatures sensed and remembered to prevent reeentering. - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Hasn't been seen. - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Woah, isn't that a bit extreme seeing how this is a case of self defense? - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: It was not a case of self defense. - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: It was. - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Do you not recall me asking for your help to lead him away before the situation got worse? - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Ren himself charged towards either Nori or I. - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Both of which were not harming anyone in the struggle. - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: If they accept to jail time, then it is to be put in their trust to remain there, if they escape or try to escape it's clear they do not care and are open to being exiled or hunted down as fujitives. - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *glances at Ren* - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: You see. - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: My problem... - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Wait, can't you at least listen to our side first? - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Is I've hurt no one. - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: My charging... - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Well... - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: You made handseals. - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I reacted. - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: For all I know. - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Clearly Ryo is more than hurt.. - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: You could have been a threat to the rest. - Wed Dec  9 03:20:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Whether it was self defense or not.. - Wed Dec  9 03:20:57 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Hand seals after your friend attacked a shinobi of the village. - Wed Dec  9 03:20:57 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Clearly. - Wed Dec  9 03:20:57 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: But it was not intentional. - Wed Dec  9 03:20:57 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: He is. - Wed Dec  9 03:20:57 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: And then the next member attacked a shinobi of the village. - Wed Dec  9 03:20:57 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: And then another member, you, tried to do the same. - Wed Dec  9 03:20:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Intentional or not, punishment is needed. - Wed Dec  9 03:20:57 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Let me tell you the story. - Wed Dec  9 03:20:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: My cousin unintentionally murdered and he was put in prison. - Wed Dec  9 03:20:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: He's only twleve. - Wed Dec  9 03:20:57 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I'll say it again. - Wed Dec  9 03:21:48 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Tell me who -I- killed. - Wed Dec  9 03:21:48 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: We arrived in the village, aiming to sell our goods. Upon our arrival, we recieved harsh treatment from Ryo. He spoke of destroying our goods, and harming us, as well as other threats. - Wed Dec  9 03:21:48 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: The story, doesn't matter. - Wed Dec  9 03:23:31 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: They don't care. - Wed Dec  9 03:23:31 2015
