<br><font color=teal>*Zenaki(Kumaki) says: Hm.. - Thu Oct  8 16:59:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Fri Oct  9 02:41:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izutora...where have you been? - Fri Oct  9 02:42:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't seen you in a few days. - Fri Oct  9 02:42:08 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I've trained within a foreign village! - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who gave you permission to leave? - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh...Need anymore info? - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you leave the village, you need to notify me, yan, or Jiki before hand. - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And have a signed and dated document saying so. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I apologize Lord Hassan, I did not know that! - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You're on probation - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I have important information. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And under surveilance. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tell it to Yan. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Do any of you have a spare kunai you could lend me? - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I seem to have run out of matierals. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Another slip up and you will be hunted and or executed Jumpman. - Fri Oct  9 02:44:41 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I see... - Fri Oct  9 02:45:32 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Thank you, Kind sir. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Jumpman! I was worried sick about you where have you been? - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Father... - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yes? - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: M'hm @Susumu - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Someone mentioned the Chunnin exams earlier. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Is it fine if I visit the land of the Water fall? - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: When will those be hosted? - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Jumpman come here for a second. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Get me a document. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Son. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mirai. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Those are post poned. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Document?..Right.. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Possibly until a week or so. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mmm'kay. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We'll most likely be doing them within out own village. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah, a blank one. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's not for debate. - Fri Oct  9 02:48:06 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: Koji is always so busy. - Fri Oct  9 02:48:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Take a step outside the village, and I will hunt you down myself. - Fri Oct  9 02:48:06 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hey Yan. - Fri Oct  9 02:48:06 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm..Chuunin exams? - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Sounds like a bother. - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yes. - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What do you need, Katsune? - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I must receive taijutsu training... what good am I alive if I may not receive the training necessary to make me bloom into a brilliant, youthful shinobi? - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It depends whether or not you want to be recognized as a powerful, or proggressing hinobi. - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey gramps can I borrow 400k yen? - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: again* Jumpman come here. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You get a paycheck. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hunt me down. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Use what you have - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I 'dare' you. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Well i mean Id have the money if Sesiku was around. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hmm? You're talking again Katsune? - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .....Katsune, do you have a bone to pick? - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's nice to hear you for once. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I have a ton of stuff to sell him but its like he has dissapere where is your right hand. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I will if you try playing fun police. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Truth be told, I don't care what you do. I am talking to Izutora. You aren't a sand ninja as far as I know, so I'm not concerned with what you are doing so long as it doesn't hurt the village. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: But. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She is a shinobi. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If you want to fight, then so be it. - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I was a Konoha shinobi before I became a Suna shinobi, kind sir! - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I do what I do for Sand, not personal gain. - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You're comin' off as pretentious but hey. - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You wanna fight? That works. I got some steam to blow off. - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm only reiterating what my leader has said. - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey misss Katsune....When were we going to start that trraning huh.. - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Just hope you're durable. - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh... - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: If you're going to fight, don't hit m. - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll entertain your challenge to a fight. But let me clarify, are we sparring or are we fighting? - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- Sparring. Not gonna kill anybody. - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Ai(Sennalove) says: Sir..? - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's why I wanna know if you're durable. - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I know of your techniques, and I also know of the limitations of it. - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So, approved? - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If durability was all a ninja had, he would still die. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: There are no limitations. If I'd wanted Tetsumi Jiki to die he would've. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: Oh my. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Now who sound pretentious. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No really. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I think you are in a bad mood. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Perhaps you should just relax and sit back. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit- - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit dynamic entry- - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I wouldn't underestimate a ninja like Tetsumi, if you two were in a real fight, I doubt he would have underestimated you. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The coin has two sides...remember that. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You're annoying. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Your social skills are worse than Erebus's. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Apprved. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Take your pasport back. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Stop talking or I'm going for the nuts in public. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Then why are you talking to me? - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hassan can you make me a chuunin? If I have this spineless weaboo lording over me I'm gonna be really angsty. - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Spineless? - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ... - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hassan can you make me a chuunin? If I have this spineless weaboo lording over me I'm gonna be really angsty. -- repost - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) thinks: They sure do talk a lot.. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Uhhh, i'll have to fit it into my shedule the rank you would receive. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mirai I have somethin for you. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hrmm? - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll give you a short test. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Cool. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you can put up with him for a bit longer. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I think sunagakure should have an annual no-talk hour every day. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: It would be much more peaceful. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. - Fri Oct  9 02:58:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: What is it Koji? - Fri Oct  9 02:58:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Pick it up and see. - Fri Oct  9 03:00:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It seems the requests have died down. - Fri Oct  9 03:00:54 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Probation means I may not leave the village until furthere notice, right? - Fri Oct  9 03:00:54 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: The exams are soon. - Fri Oct  9 03:00:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm do you have another mission for Raven Scrotum? - Fri Oct  9 03:00:54 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: I want to train extremely hard for those exams. - Fri Oct  9 03:00:54 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: If my skil keeps growing at this rate I'll be able to teach her Palms... - Fri Oct  9 03:01:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Katsune. - Fri Oct  9 03:01:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmm...? - Fri Oct  9 03:01:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Ready to test? - Fri Oct  9 03:02:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Sure. - Fri Oct  9 03:02:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: Do you think you could help? - Fri Oct  9 03:02:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: I want to do extremely well and bring honor to our clan. - Fri Oct  9 03:02:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mm.. - Fri Oct  9 03:04:19 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Of course, I don't mind it may be easier than trying do it alone, I remember you found another is she still around? - Fri Oct  9 03:04:19 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: So much more peaceful.. - Fri Oct  9 03:04:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: Mhmm. - Fri Oct  9 03:04:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: She's over there. - Fri Oct  9 03:04:19 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... - Fri Oct  9 03:06:01 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: So... so much activity now... - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I guess you mean that sarcastically... - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I guess you can say that sister - Fri Oct  9 03:09:26 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Mizoa. - Fri Oct  9 03:11:08 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm... - Fri Oct  9 03:12:51 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I only know how to perform the clan's fighting style. - Fri Oct  9 03:12:51 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Fri Oct  9 03:14:33 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: We'll fix that. Mirai do you feel she's ready to be taught? - Fri Oct  9 03:14:33 2015
<br><br><font color=teal>*Ai(Sennalove) says: By the way, Mizora, nice fight back there, I wanted to cheer ya on but you know, didn't want to break ya focus. - Fri Oct  9 03:14:33 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Ah.. thanks. - Fri Oct  9 03:14:33 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure. - Fri Oct  9 03:15:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....If you think you can handle my stomach.... - Fri Oct  9 03:17:07 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Probably. - Fri Oct  9 03:17:07 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Anyone else? - Fri Oct  9 03:17:07 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Sure. - Fri Oct  9 03:17:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I want us to be one, so I'll involve you all with decision when it comes to our clan. Gives jutsu to  Mizora* - Fri Oct  9 03:17:58 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Two.. - Fri Oct  9 03:18:49 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Any more? - Fri Oct  9 03:18:49 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Ah.. alright. - Fri Oct  9 03:18:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: *steals* - Fri Oct  9 03:18:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: -omit- - Fri Oct  9 03:19:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: She's pretty strong Koji. - Fri Oct  9 03:32:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We had a spar. - Fri Oct  9 03:32:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I see who won? - Fri Oct  9 03:38:27 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: She did. Her reaction time is way better than mine. Also she attacks quicker than I. - Fri Oct  9 03:38:27 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: By a small margin. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: She i skilled haha. Probably better than me. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Anyone down to train? - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Ah, oh well. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yo. - Fri Oct  9 03:52:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't seen ya around. The name's Yan. - Fri Oct  9 03:52:06 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Susumu. - Fri Oct  9 03:52:57 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I tend to keep to myself. - Fri Oct  9 03:52:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. Well, it's nice to meet you. - Fri Oct  9 03:52:57 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: It's a pleasure to meet you to, Yan. - Fri Oct  9 03:53:48 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: What're you studying there? - Fri Oct  9 03:53:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh, just reading up on some information. - Fri Oct  9 03:54:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: By the way, Tetsumi, if you want Alastor's sand..I can get it for you. I have it hidden. - Fri Oct  9 03:54:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Wouldn't be of any use to me. - Fri Oct  9 03:54:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fair enough. - Fri Oct  9 03:55:31 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We live on sand. - Fri Oct  9 03:55:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I thought maybe you'd want the gourd as back up.. - Fri Oct  9 03:55:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: In case something happens to yours. - Fri Oct  9 03:55:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami, you are now in my squadron. - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alongside Kilm and Bryson. - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhm. - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay. - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: New squad... great... our squad washit with unforseen circumstance - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: New Squads?... - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'd like a mission actually. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: . . . . . . . - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Sorry. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Or...can we go on a mission? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hello Lord Hassan, what task do you require of Ravenscrotum? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I'd be useless on any mission. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We have a mission to perform. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) thinks: Ravenscrotum? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: ThunderChicken, you know your mission. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Would you like us to do it without Kilm? - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Grandpa.. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan catch them up on the task once you are outside of the village. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He's not completely necessary. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: These squad names are lame.. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *:T* - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Iza. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll give you three shoes. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Glad I'm not in one. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Two on your feet, and one in your ass. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. I'd like a mission. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm..Gourd guy. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Wanna do a mission together? - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: With jumpman on probation, and denying his tai-jutsu training i would like to request a new member my Lord... - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: What squad will I be in, sir? - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Take Isshin with you. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Koji. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yes sir. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I want Revnscrotum to venture out north and kill the giant animal peope have been complaining about, Apparently it's a 20 foot scorpion. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I thought it would be fitting. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What are we going to do? - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Since you killed it's babies. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan will brief you. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Now move out. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Alright. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *._.* - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The mother shall know the taste of Ravenscrotum. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Killed its babies? - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Lets get go White Eyed Devil. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Exellent~. - Fri Oct  9 04:03:12 2015
