<br><font color=teal>*Alastor(LordxPatrick) says: Yes. - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh hello young shinobi...Finished that favor of mine? - Thu Oct  8 10:47:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Nineteen. - Thu Oct  8 10:48:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. Shouldn't be a problem anymore. - Thu Oct  8 10:48:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Thanks! Crops will grow well this year! Take a free -Cabbage-// - Thu Oct  8 10:49:48 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) he rewards them both.* - Thu Oct  8 10:49:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm getting pretty good at the Shadow Shuriken technique too. - Thu Oct  8 10:51:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ah I see, that is always useful than blindly running in. - Thu Oct  8 10:51:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. I need to masteri t, though./ - Thu Oct  8 10:56:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Gonna mix it in with my Fuuma Shurikens. - Thu Oct  8 10:56:38 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) soon continued to push away his cart of rice, their mission was completed, this was noted that the shinobi still had it in them to do the duties of the people that were needed to be done and handled as all..Leaving a letter behind to fall from his being into the air going towards Sanoke <Eventually...A group of Fuuin Experts will need to be formed, when times of disaster strikes, I can not maintain a barrier around the entire village myself without draining larges amounths of chakra..Only those loyal to the ways of which I teach shall be apart..To devise the art of Fuuinjutsu to a greater work of art..> perhaps once Fujitora was skilled enough himself, there would be yet another creation of Fuuinjutsu to be used.. Once read fully, the words on that paper would scramble and vanish..This being the finger carving seal at work.

* - Thu Oct  8 11:00:03 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) nods and continues to walk off.* - Thu Oct  8 11:08:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Where genins battle it out to test their skill intelligence and  combat against  one another to be ranked up from genin to chuunin - Thu Oct  8 21:15:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Boring... - Thu Oct  8 21:16:09 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well Brither Tetsumi arent you past the rank of chuunin? - Thu Oct  8 21:16:09 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Brother* - Thu Oct  8 21:17:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Thu Oct  8 21:17:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hey Iza...Any reports? - Thu Oct  8 21:18:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: The leader got away,but the tunnels they were digging are more or less destroyed. - Thu Oct  8 21:20:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You are to find the leader eventually before its too late. - Thu Oct  8 21:21:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Chunnin exams? - Thu Oct  8 21:23:50 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Can't let the drug smuggler get too far can we? Anywho...Back to my business. - Thu Oct  8 21:23:50 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Brother Fuji - Thu Oct  8 21:24:41 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Thu Oct  8 21:24:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Have you seen Sister Devil? - Thu Oct  8 21:25:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: She's asleep right now. - Thu Oct  8 21:25:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oi. Mirai, I'm going to check how good you are at your Kai in a bit already? - Thu Oct  8 21:25:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see alright then - Thu Oct  8 21:26:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: alright* - Thu Oct  8 21:26:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *nods and leaves* - Thu Oct  8 21:26:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yep. - Thu Oct  8 21:29:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's gonna be one of those days. - Thu Oct  8 21:29:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Of what? - Thu Oct  8 21:30:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: hmmm. - Thu Oct  8 21:31:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: A quiet day. - Thu Oct  8 21:31:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... It'll pick up a little bit later. - Thu Oct  8 21:32:22 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Peaceful. - Thu Oct  8 21:32:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats a good thing - Thu Oct  8 21:34:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sir Hassan is it true you are not kage anymore - Thu Oct  8 21:36:38 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Can I get a mission Lord Kazekage? - Thu Oct  8 21:36:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll tag along as per usual. - Thu Oct  8 21:37:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Apparently I still am. - Thu Oct  8 21:39:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: The Gezo won't even let me quit, - Thu Oct  8 21:40:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: But i'm already training my replacements. - Thu Oct  8 21:40:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Up and coming individuals. - Thu Oct  8 21:40:03 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhhh..who you got in mind please dont tell me its that White Eyed Devil Koji. - Thu Oct  8 21:40:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'. How fairs your training? - Thu Oct  8 23:39:31 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Hmm... well... I need to still work on a few jutsus... but my earth nature has improved greatly. - Thu Oct  8 23:39:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Earth release? I see. Perhaps we could do some training. - Thu Oct  8 23:41:13 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) looking at the time he had, the man was sure to take out a certain scroll within the safety of his own home. Looking to keep the seal for a certain blade in tact so that his keepings of such would not go undone.. He thought to himself <Another wielder down...> the sad tragic news that was taken by this..Fujitora had his own ways of keeping sacred items safe and out of enemy hands..This method of course did not take much effort..He wondered just how Violet was doing and how she was keeping up with the work of her own training, though she was not much right now, she'd be a problem later, and this was something the world did not see..Fujitora however saw the potential within all listed people..* - Thu Oct  8 23:43:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Of course, if you have something else planned, then do what you will. - Thu Oct  8 23:54:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I am training regardless. - Thu Oct  8 23:54:01 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I don't have anything else to do. - Thu Oct  8 23:54:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Allrighty. - Thu Oct  8 23:54:01 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) standing alone for now as he continued on day by day to try and cut imself off from attaching emotions, reading over his scrolls and thinking about the future itself at hand. So Fujitora then walked on towards his sushi bar where he'd be running his business so that his time would be well invested, while his workers did their job, he'd be arranging much of their pay , Fujitora always tried to be a villager but the shinobi world always dragged him out and back into conflict for no to little reason..He sighed to this.* - Fri Oct  9 00:34:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Soo about teachong me the basics of sealing? - Fri Oct  9 00:41:48 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) being within his shop the man would study over his Fuuinjutsu, though he was a villager, he needed to work on all his sealing abilities so that once the day for battle had came and he REALLY was needed to join in, the man would be well prepared to come out as the Sealed Lotus group he was forming..Though now he'd walk on out of his shop as a shadow clone , since the original didn't really enjoy taking the daily risk, a clone was more suiting to go about and run errands for him..Going to town square as the original would be studying the Fuuinjutsu while creating newer ones and developing it further into something else.

Walking into central, this Fujitora heard Trilliam and told him once again "Like I said...Complete The Labyrinth.." he spoke bluntly..He did not like the way people asked and tried to TELL him that he should teach them certain skill..Fujitora saw his methods of teaching being earned, not given by his own free time to sacrifice, after all he made a vow never to teach openly again, never to act as a shinobi openly and more..These vows were important to his new way of life and would not allow anyone to take such away..He maintaine dhis sights on what was currently important, moving himself away from such emotional ties.* - Fri Oct  9 00:45:13 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah..Umm gramps said i couldn't do tat sooo how about another arragenment. - Fri Oct  9 00:46:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hmm.. - Fri Oct  9 00:46:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well, guess it means you're not ready... - Fri Oct  9 00:47:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: If you want me to come out of my retirement to even teach you the basics, then complete my Labyrinth challenge kid.. - Fri Oct  9 00:48:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No thanks... - Fri Oct  9 00:51:12 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) simply sighed , Fujitora was having struggles trying to seperate himself from the shinobi world and emotional ties, giving the lad a straight stare he thought to himself <I wont allow myself to get close to a shinobi again that is not directly linked to me from previous days...Not since that day...> he thought of all the shinobi who might of died by his mistakes..Fujitora folded his arms, placing his arms into the sleeves of his kimono.. He looks off towards the other area <Gifts wont bring upon my choice of teaching...Only false assumpsions...> he stares to the priest and then stares to his own scroll to read over..Words in shambles.* - Fri Oct  9 01:01:26 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: I was right the first time i chosse my ninja way Be Viscious.. No more heart break no more concept of firends no more........One deep .....Black Sheep........Ahhh yes that sound nice The  One Deep Blacksheep. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Trilliam Muhammed! - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ah, there you are Ai.. - Fri Oct  9 01:12:32 2015
<br><br><font color=teal>*Ai(Sennalove) says: Hola. - Fri Oct  9 01:12:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Slept well I take it?... - Fri Oct  9 01:14:14 2015
<br><br><font color=teal>*Ai(Sennalove) says: Mmmmhm. - Fri Oct  9 01:18:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'.. - Fri Oct  9 01:30:27 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Fri Oct  9 01:31:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: WHen's Taiga's memorial? - Fri Oct  9 01:33:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm...May need pops word on that one. - Fri Oct  9 01:34:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah, I haven't been able to talk to him today. - Fri Oct  9 01:34:43 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey Yan.. - Fri Oct  9 01:38:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Do you have anymore cool moves?? - Fri Oct  9 01:39:50 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm learning a new one right now. - Fri Oct  9 01:40:41 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So far I know thrown stones,Mole, subterean Earth Shadow clone Head hunter and earth chakra flow. - Fri Oct  9 01:42:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Maybe it's time you teach me a technique. - Fri Oct  9 01:43:15 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Earth Chakra Flow? - Fri Oct  9 01:43:15 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah... - Fri Oct  9 01:44:06 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: It makes stuff much harder. - Fri Oct  9 01:44:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Come 'ere and let's talk about it. - Fri Oct  9 01:44:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Show me it's power. - Fri Oct  9 01:45:48 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) is taken down a bit by the weight though it was light. Looking back "We're in public kiddo....Is this how a shinobi acts?"  he tried to sound like a simple villager.* - Fri Oct  9 01:48:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Woah. - Fri Oct  9 01:50:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Damn. - Fri Oct  9 01:51:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: A nap does a man goood. - Fri Oct  9 01:51:47 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Yan... come here a moment... - Fri Oct  9 01:52:38 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) sighs to the playful student of his "Alright, alright...But can y' not do this, humans aren't kittens y' know?" he was trying to be a villager and heartless...Students made such difficult.* - Fri Oct  9 01:53:29 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Are you ready to reward us my Lord? - Fri Oct  9 01:56:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Are you asking me permission? - Fri Oct  9 01:56:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Ahhh...Yeah.. - Fri Oct  9 01:56:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hassan is available. If you have ties here now, then you will have to clear it with him. - Fri Oct  9 01:56:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Koji! Tell gramps about how we got rid of those scoripains. - Fri Oct  9 01:57:45 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) tried not to blush from the public embarrassment he was getting from holding a young shinobi girl on his back trying to cuddle him in public. "Fine but only one minute longer.." he says ,putting on his farmer hat to try and hide such an identity..His students were ones he cherished but then he was the one being toyed with like this by them...All was fun though as though an innocent game.* - Fri Oct  9 01:58:36 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) sensing the movement he looked back to Tetsumi at his usual spot "It's not what it seems! " he didn't want anyone or his father at that to get the wrong idea.. He would let Ai off his back so she could speak with Hassan.  Fujitora rubbed his head and looked back at Tetsumi "It's not what it looks like. I swear it." he had that anime sweat drop at the side of his head.* - Fri Oct  9 02:03:44 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not bad. - Fri Oct  9 02:04:35 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yo. - Fri Oct  9 02:08:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm. - Fri Oct  9 02:08:51 2015
<br><br><font color=teal>*Ai(Sennalove) says: I have a few things I need to talk with ya about. - Fri Oct  9 02:09:42 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Talk to me. - Fri Oct  9 02:09:42 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lord Hassan... can I have a momment with you? - Fri Oct  9 02:09:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: One at a time...He's a busy man.. - Fri Oct  9 02:10:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Go away farmer. - Fri Oct  9 02:10:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I need to discuss a few things with him, yet it seems that will not happen. Oh well. - Fri Oct  9 02:11:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: ... I dont have time for this I have to leave... - Fri Oct  9 02:11:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I have me own business here... - Fri Oct  9 02:11:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ahhh oh really... - Fri Oct  9 02:12:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Uhhh...Yeah you need to live here for a week and learn about the village to gain citizenship. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: She's a student of mine father..She's very well trusted.. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: I wonder if Fuji Hana is eatable?? I do prefer Ramen... - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Then you can consider joining the military. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Theres strict rules with being a shinobi in this village. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Like having the sunagakure insignia on your person at all times. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And knowing what it stands for. - Fri Oct  9 02:13:58 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That's the rules. - Fri Oct  9 02:14:49 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What do you want, violet? - Fri Oct  9 02:14:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Can we talk... privately? - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I almost garuntee it isn't that important. - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And I won't talk to you privately. - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll have one of my chuunin or jounin with me. - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sorry, new rules young one. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I have already informed Yan... I must speak to you... but if you insist - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I am aware of the situation. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And I am free to come alongside you two. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan just give me a run down. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I don't have time for these games. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Eh, she wants to return to Mist. She's being called back by Kirie. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: There are so more private details that I can't really say here. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Respect the Lord's wishes here in his villlage. - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She isn't even a shinobi of this village. - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I told her to clear it with you. - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She can go when she pleases. - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd like to control the flow of ninja in and out of this village more. Perhaps I could come up with a report to accomplish that. - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Fri Oct  9 02:19:05 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll write you a budget. - Fri Oct  9 02:19:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll be working on that. - Fri Oct  9 02:19:05 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And you can handle that. - Fri Oct  9 02:19:05 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh...Can you explain the rules to me? - Fri Oct  9 02:19:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Also, about Taiga's memorial. - Fri Oct  9 02:19:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Would you like me to set a date for that? - Fri Oct  9 02:19:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You'll learn them naturally as you reside here. - Fri Oct  9 02:19:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Plase Yan. - Fri Oct  9 02:19:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I've been busy I nearly forgot about the funeral service for him and Kang. - Fri Oct  9 02:19:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Fri Oct  9 02:20:48 2015
<br><br><font color=teal>*Ai(Sennalove) says: Alright and do I have to redo the exams...Again? - Fri Oct  9 02:21:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Note to self. Kill Yan for being fun police. - Fri Oct  9 02:21:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No. - Fri Oct  9 02:21:39 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) thinks: Everyone sure is talking a lot. - Fri Oct  9 02:21:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Kang commited suicide. - Fri Oct  9 02:21:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .....What the... - Fri Oct  9 02:22:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He died as well, a week before HArada. - Fri Oct  9 02:22:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Since he was a soldier, he'll get a soldier's funeral as well. - Fri Oct  9 02:22:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I guess if a shinobi does not want to live, he could at the very least die in support of his village. THe kid was odd. - Fri Oct  9 02:22:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alright. - Fri Oct  9 02:22:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I will be waiting to hear from you either way, Violet. Keep in touch. - Fri Oct  9 02:23:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Let me know when you get there. - Fri Oct  9 02:24:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I will - Fri Oct  9 02:24:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Kang was a soldier. - Fri Oct  9 02:25:04 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Ah. - Fri Oct  9 02:25:04 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I see. - Fri Oct  9 02:25:04 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh..I see, alright, I'll rejoin again but when will I receive the headband? - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey gramps where in the world is  Jumpman? - Fri Oct  9 02:26:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No idea. - Fri Oct  9 02:26:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: When you are accepted into the military. - Fri Oct  9 02:26:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What's your name youn one? - Fri Oct  9 02:27:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It was changed to Bryson, Iza, and Kilm. - Fri Oct  9 02:28:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kilm...? He's chuunin level, sir. - Fri Oct  9 02:28:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's fine. - Fri Oct  9 02:28:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Very well. - Fri Oct  9 02:28:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Even chuunin level shinobi can be in squad.s - Fri Oct  9 02:28:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I look forward to working with all three of them. - Fri Oct  9 02:29:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's good for organization and they can help develop their teammate's skills and develop team work. - Fri Oct  9 02:29:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Ai, that's a pretty name. - Fri Oct  9 02:31:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's kind of fittting, so how do you know Fujitora? - Fri Oct  9 02:31:02 2015
<br><br><font color=teal>*Ai(Sennalove) says: Well... - Fri Oct  9 02:31:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Fri Oct  9 02:32:44 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: -omit- - Fri Oct  9 02:32:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Ai is a moral ninja. I'd trust her more than others. - Fri Oct  9 02:35:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't dealt with her in a while, but from what I remember, she was a good kunoichi. - Fri Oct  9 02:35:18 2015
<br><br><font color=teal>*Ai(Sennalove) says: Yan...you forget didn't ya? I'm still a guy. - Fri Oct  9 02:37:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Huh...Yeaaaaah - Fri Oct  9 02:37:52 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) thinks: That's a guy..? - Fri Oct  9 02:37:52 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: That is a man? Can a woman look like a man too? - Fri Oct  9 02:37:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: That's a guy? - Fri Oct  9 02:37:52 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) thinks: It must be purged. - Fri Oct  9 02:37:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not the cutest trap i've met, but you're still pretty adorable Ai. - Fri Oct  9 02:38:43 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: What is a trap... - Fri Oct  9 02:38:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I'll ensure it doesn't come into someone's possession that will use it for evil. - Fri Oct  9 02:40:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan. - Fri Oct  9 02:40:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll have you and Thunderchicken retrive the 'Hen's Egg' whenever you're all geared up and ready. - Fri Oct  9 02:41:16 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) nods..Surprised many did not know Ai was a boy.* - Fri Oct  9 02:41:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Fri Oct  9 02:41:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izutora...where have you been? - Fri Oct  9 02:42:08 2015
