<br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: -like- - Fri Oct  2 08:23:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Koeki did nothing. - Fri Oct  2 23:44:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: She just stood there. - Fri Oct  2 23:44:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: This is stupid. - Fri Oct  2 23:46:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Why would Mizumi, Tethy's family attack someone in sunagakure. - Fri Oct  2 23:47:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I have no clue or idea.. - Fri Oct  2 23:47:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'm still searching for Berith... - Fri Oct  2 23:50:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I think you'll have to make amends with Hassan. - Fri Oct  2 23:50:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I haven't done anything to him - Fri Oct  2 23:51:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That is the thing that bothers me - Fri Oct  2 23:51:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not know what to do. - Fri Oct  2 23:51:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: This word is stupid. - Fri Oct  2 23:51:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sadly so...Sadly... - Fri Oct  2 23:52:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: This is stupid. - Fri Oct  2 23:53:10 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So stupid. - Fri Oct  2 23:53:10 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: .... - Fri Oct  2 23:54:52 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) noted that both had their problems.* - Fri Oct  2 23:54:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Still havent found your wife? - Fri Oct  2 23:57:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No...No clue where she is.. - Fri Oct  2 23:58:17 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No...No clue where she is.. - Fri Oct  2 23:58:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Fri Oct  2 23:59:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Where could she have gone? - Fri Oct  2 23:59:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I saw her leave. - Fri Oct  2 23:59:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then Seisuke went in the same direction. - Sat Oct  3 00:00:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Probably a mission... - Sat Oct  3 00:00:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then do not worry. - Sat Oct  3 00:00:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: She will be back. - Sat Oct  3 00:00:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Help me train. - Sat Oct  3 00:00:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Please. - Sat Oct  3 00:00:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I want to get stronger. - Sat Oct  3 00:00:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You are the only one I can turn to - Sat Oct  3 00:00:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Right now I can not..Though we will later..Deal? - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oh.. - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Can you... - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Nevermind. - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What? - Sat Oct  3 00:02:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I'll be around. - Sat Oct  3 00:02:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ... - Sat Oct  3 00:02:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Alright then. - Sat Oct  3 00:02:33 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) walks to central.* - Sat Oct  3 00:02:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm?... - Sat Oct  3 00:03:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hn? - Sat Oct  3 00:03:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Has anyone seen Berith?... - Sat Oct  3 00:05:07 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Nope. - Sat Oct  3 00:05:58 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ya sure?...I've checked everywhere...Guess she's on a mission. - Sat Oct  3 00:08:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. Probably. - Sat Oct  3 00:08:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: She was with us. Me and him. And then left. Probably went on a mission then. - Sat Oct  3 00:09:23 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Ah Master~ What about some pizza later on? - Sat Oct  3 00:11:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I...I don't think my wife would want us eating together.. - Sat Oct  3 00:11:05 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Sat Oct  3 00:11:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: She isn't around right now right~? I am sure she'll be around soon again. - Sat Oct  3 00:11:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: So.. Why not enjoy the little time. - Sat Oct  3 00:11:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ...Well...Sure why not..Only a few slices.. - Sat Oct  3 00:12:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: How are you mirai?  - Sat Oct  3 00:17:55 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) looking at the pizza, he gave Zenaki a small stare, last time it was not normal toppings but right now, it appeared as normal so he would not question it..Taking a bite into the pizza he said "Taste so fresh...Meat lovers pizza?.." he asked while looking out towards the distance..* - Sat Oct  3 00:20:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Lets go I have a good prgram for you. - Sat Oct  3 00:21:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhmm~  - Sat Oct  3 00:21:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: 't's delicious. Isn't it. - Sat Oct  3 00:21:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Aren't you going to eat?... - Sat Oct  3 00:21:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yeah, it's home made pizza of course.. - Sat Oct  3 00:22:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Sat Oct  3 00:22:11 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yea. - Sat Oct  3 00:22:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have nothing but time Suke. - Sat Oct  3 00:22:11 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Anyone else wants a piece? - Sat Oct  3 00:22:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Suke? - Sat Oct  3 00:22:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Sat Oct  3 00:22:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Suke. - Sat Oct  3 00:22:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That is you. - Sat Oct  3 00:22:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Eh, I'll tell you if you buy me a place to sleep. - Sat Oct  3 00:23:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What is the rent going here in Sunagakure? - Sat Oct  3 00:23:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Sat Oct  3 00:23:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: I guess nobody wants a taste of my pizzaa... - Sat Oct  3 00:23:53 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Not much to my knowledge. - Sat Oct  3 00:23:53 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Cheap. - Sat Oct  3 00:23:53 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Sat Oct  3 00:24:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I dislike Kirigakure - Sat Oct  3 00:24:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Now. - Sat Oct  3 00:24:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That so? - Sat Oct  3 00:24:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Zen, thanks for the lunch...But you don't have to be so kind. - Sat Oct  3 00:25:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: M.. Alright. - Sat Oct  3 00:25:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Is this a long term mission?....I'll have to take care of things at home then.. - Sat Oct  3 00:25:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Shall we go? - Sat Oct  3 00:25:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Oh, hey there seisuke. - Sat Oct  3 00:27:18 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I could actually use a bite to eat. - Sat Oct  3 00:27:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Sat Oct  3 00:28:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Lead the way. - Sat Oct  3 00:28:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I still do not know my way around the village. - Sat Oct  3 00:28:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hassan I grow tired of Kirigakure. - Sat Oct  3 00:29:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not bad. - Sat Oct  3 00:29:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Koeki did nothing as I was attacked by Mizumi - Sat Oct  3 00:29:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Thats a shame Kirie. - Sat Oct  3 00:29:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You need to return home. - Sat Oct  3 00:29:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Tch. - Sat Oct  3 00:29:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Why can't I stay here? - Sat Oct  3 00:29:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Because this isnt your home. - Sat Oct  3 00:29:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Muhhamed-san, Have you heard of the report? - Sat Oct  3 00:30:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No I havent. - Sat Oct  3 00:31:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Report to me. - Sat Oct  3 00:31:34 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The Gezo is hosting a Tournament. - Sat Oct  3 00:31:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Go on... - Sat Oct  3 00:31:34 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: One of the Knights of the round Table have been accused of treason., - Sat Oct  3 00:32:25 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And so the tournament will be to face off against him and whoever kills him gets the title. - Sat Oct  3 00:32:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What title? - Sat Oct  3 00:33:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Sat Oct  3 00:34:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Medic guy. - Sat Oct  3 00:34:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sanoke is not from any specific village, girl. - Sat Oct  3 00:34:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You want some pizza? - Sat Oct  3 00:34:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Please learn the fact before saying things like this. - Sat Oct  3 00:34:59 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The title of. - Sat Oct  3 00:34:59 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Galahad. - Sat Oct  3 00:34:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What the hell is a Galahad? - Sat Oct  3 00:34:59 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A knight of the round table. - Sat Oct  3 00:34:59 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: He was from Kirigakure. - Sat Oct  3 00:34:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mmm.. - Sat Oct  3 00:34:59 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Something wrong Muhhamed-san? - Sat Oct  3 00:35:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I might consider doing it... - Sat Oct  3 00:36:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's. - Sat Oct  3 00:36:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Tomorrow. - Sat Oct  3 00:36:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I may participate. - Sat Oct  3 00:36:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I would've but. - Sat Oct  3 00:36:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I've been greatly inconvienced...As you see. - Sat Oct  3 00:36:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Did you lose the light of the world? - Sat Oct  3 00:37:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What do I need to do to be part of this village Hassan? - Sat Oct  3 00:37:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You are a part of Kirigakure. - Sat Oct  3 00:37:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Plain and simple - Sat Oct  3 00:37:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Sat Oct  3 00:37:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: If I were to resign being a shinobi from that village? - Sat Oct  3 00:38:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It means the same thing Seisuke. - Sat Oct  3 00:38:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I consider, my light to be something different. - Sat Oct  3 00:38:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You would be a defect without permission Kirie. - Sat Oct  3 00:38:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And I would forcefully escort you back to Kirigakure. - Sat Oct  3 00:39:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Obviously I would tell Koeki I am resigning. - Sat Oct  3 00:39:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That doesn't mean she would give you permission. - Sat Oct  3 00:39:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And She would know the full details. - Sat Oct  3 00:39:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Tch. - Sat Oct  3 00:39:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: She is never around. - Sat Oct  3 00:39:15 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) looks out towards the distance, feeling that Berith pulled a Kastya and took a random vacation from Suna, he thought to himself <Damn, the hell is she..> chewing the last bit of pizza..* - Sat Oct  3 00:39:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Seisuke, I know what it means to lose your vision. - Sat Oct  3 00:40:06 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I lost vision in my left. - Sat Oct  3 00:40:06 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Which is why I wear this eye patch. - Sat Oct  3 00:40:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: How do you bear with it? - Sat Oct  3 00:40:06 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I adapt. - Sat Oct  3 00:40:06 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: My vision in my right is beggining to go bad with age. - Sat Oct  3 00:40:57 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: How is the pizza..? - Sat Oct  3 00:40:57 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see. - Sat Oct  3 00:40:57 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But even so. - Sat Oct  3 00:40:57 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I will complete my goal. - Sat Oct  3 00:41:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And receive your permission, blind or not. - Sat Oct  3 00:41:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It's delicious. - Sat Oct  3 00:41:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Good.. - Sat Oct  3 00:41:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If I can do what I do now without complete vision, i'ms ure you could too. - Sat Oct  3 00:41:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But you don't have to bring me food ya know... - Sat Oct  3 00:41:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I think she left some cooking home. - Sat Oct  3 00:42:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You know, I've never realised how lonely it is when all you see is darkness. - Sat Oct  3 00:42:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Ah.. Don't worry.. You know how much I love to make pizza. - Sat Oct  3 00:42:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I feel like I should be scared, but a part of me feels like I deserved this. - Sat Oct  3 00:42:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Seisuke. - Sat Oct  3 00:42:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Want to hear my portfolio? - Sat Oct  3 00:43:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm..If you say so..  - Sat Oct  3 00:43:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sounds like it'd pass the time. - Sat Oct  3 00:43:31 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) smiles to Zenaki alittle, fooled by her innocent smirk.* - Sat Oct  3 00:43:31 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: the Lord can help you through that darkness of you confess your sins and repent - Sat Oct  3 00:43:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You seem to enjoy this one much more than the last, what kinda pigs did you hunt for this? - Sat Oct  3 00:46:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Surely wasn't a hog..Hm...Piglets? - Sat Oct  3 00:46:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Youthful pigs? No wonder it taste so good..  - Sat Oct  3 00:47:47 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) takes another bite.* - Sat Oct  3 00:47:47 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmmhm.. - Sat Oct  3 00:48:38 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Sat Oct  3 00:48:38 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Ah I hate hate hate lying... Once he'll finds out... He.. He is going to kill me for sure.. But it had o be done. And i happend... Plus this tastes amazing..  - Sat Oct  3 00:49:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: I think, I'll go sit by the mountain edge.. - Sat Oct  3 00:54:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Wanna relax in the wind. - Sat Oct  3 00:54:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Do.. I need to come along? - Sat Oct  3 00:54:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Only if you wish. - Sat Oct  3 00:55:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Ah well. Got nothing better to do anyways. - Sat Oct  3 00:55:28 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) began to walk, his stomach felt a bit funny..<For some reason, this scent is familier..> * - Sat Oct  3 00:56:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Sat Oct  3 00:58:01 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) soon went out towards the very mountain top where he could view Kumogaukure at a very far distance, the village of the clouds looking so tiny..Fujitora rested on his back within the hard sand.."I'm not sure...How life will be from this point..My marrige, my life...I'm sorry that you and Berith can't get along, that is my fault...So how about once she gets back, we all go out to eat together hm?.." he still had feelings for Zenaki but he didn't want to say...Though she knew anyhow from their final night.. * - Sat Oct  3 00:58:52 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) soon began to rub his fingers against one another , his index to his thumb with one single hand, looking to Zenaki he blushed lightly but looked away " You think she'll be back soon?...A mission shoudn't last this long without a briefer first." he was concerned about when his wife would be back... Talking about her, Fujitora purposely did this so that he'd not be taken by temptation to cheat..* - Sat Oct  3 01:04:51 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Sat Oct  3 01:06:33 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I.. Guess so.. - Sat Oct  3 01:06:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: You know.....I didn't want to say this...But I dreamth of you at times..Please don't tell Berith.. - Sat Oct  3 01:07:24 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) smiles softly "Thanks...My dear Zenaki.." he comments to bring up a swing of the past..* - Sat Oct  3 01:09:07 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .... - Sat Oct  3 01:09:58 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) now being kissed by Zenaki, he opens his eyes for s short moment, hands rubbing up her back, fingers gliding up her spine ever so softly before he'd try to push her off a bit "Z-Zen...I can't..." he eyes her with a serious stare..He did not know of the events of this day but he could taste her lips and feel her affaction for him.* - Sat Oct  3 01:13:23 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) being on his back, the mans eyes were directed at Zenaki and then towards the sky, seeing the image of Beriths smile, not knowing where the hell she was, but having little options, feeling as if he lost strength each time Zenaki kissed him, luckily it was not her drugging him via pills through the mouth..fujitora tried to resist . "Zen, I love you too but...I can't, The vows were till death---" being stopped by her kiss again.. His face and body said yes but his emotions were telling him no.* - Sat Oct  3 01:20:12 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: The vows were til death? - Sat Oct  3 01:21:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Till death what? - Sat Oct  3 01:21:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Till death do is part.. - Sat Oct  3 01:21:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Normal marrige vows.. - Sat Oct  3 01:21:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Sat Oct  3 01:21:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I see. - Sat Oct  3 01:21:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: When I believed she was dead...I was able to move on but. - Sat Oct  3 01:22:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: I can't tell him yet.. Nope.. - Sat Oct  3 01:22:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: She's not dead..Remember?.. - Sat Oct  3 01:22:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm... - Sat Oct  3 01:22:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: No Zenaki... Don't tell him.. Don't tell him.. Resist yourself. - Sat Oct  3 01:23:37 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Zenaki's lips..--------Fuji! You have a wife! - Sat Oct  3 01:23:37 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: So soft and sweet-------DAMMIT Fuji!   - Sat Oct  3 01:23:37 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: She's on a mission right now. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: She is.. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .... - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: On a mission to hell. WHere she will be tortured by my brother. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'm sorry I...I'm the way I am...I miss the old days..Of our lustful nights hehe.. - Sat Oct  3 01:25:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: We.. We can do those still~ - Sat Oct  3 01:25:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: But aren't you worried she'd try to kill you?... - Sat Oct  3 01:27:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: No.. - Sat Oct  3 01:27:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: She can't anymore! Ahahahahaha! - Sat Oct  3 01:27:02 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: I---I'll think on it...I can not let my vows be broken.. - Sat Oct  3 01:27:53 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Somehow. I enjoy this way to much. - Sat Oct  3 01:27:53 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) nods his head "I'm glad you do..." he smiled and strokes her hair back.. * - Sat Oct  3 01:29:36 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) having completed his time with the woma, FUjitora went back to waiting for Berith, he did not want to cheat on his wife or try anything when she was not around, the man held his temptations all down..Studying the arts of genjutsu while he waits for her, but little did he know..The pizza he ate was no normal pork it was human meat..BERITHS human meat that Zenaki fead to him and tricked him into believing it was simply pork...Fujitora was oblivious to this fact and couldn't say anything about it..But once he found out he was fed his wife as a pizza, he was going to be PISSED...But for now, he worked on his genjutsu.* - Sat Oct  3 01:38:08 2015
