<br><font color=teal>*Sanoke(Gamuhz2) says: Come.. - Sat Nov  7 10:47:15 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Can you teach me ? - Sat Nov  7 19:18:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .. - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's so quiet today. - Sat Nov  7 23:07:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Anyone want to train? - Sat Nov  7 23:07:56 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: dun you know it bae - Sat Nov  7 23:08:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....Well. - Sat Nov  7 23:13:55 2015
<br><br><font color=teal>*Rikune(Osmanesanogo) says: Erheolo. - Sat Nov  7 23:13:55 2015
<br><br><font color=teal>*Rikune(Osmanesanogo) says: Neice tewo metee eyu. - Sat Nov  7 23:14:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ..... Yea..... Sure.... - Sat Nov  7 23:14:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: .... - Sat Nov  7 23:15:37 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) watched the female and idiot interact. She was getting hints that she was some type of doctor but at the same time she looked fucking insane. The girl wasn't sure how she should react while watching.* - Sat Nov  7 23:20:44 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) glanced over towards Chikyu.* - Sat Nov  7 23:23:18 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) shook her head and smiled sweetly. "Not at all."* - Sat Nov  7 23:25:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Or well.. Whisper.. - Sat Nov  7 23:27:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Darn... - Sat Nov  7 23:30:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I bet I don't see her for another few week.s - Sat Nov  7 23:30:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh well. - Sat Nov  7 23:30:08 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) smiled once more and nodded while peered to the side towards the other female. "Recently friends, but yeah. I didn't catch your name when you two were training a few days ago. I'm Kiyoko." Her hand extended out for a handshake, it was instinct for Kiyoko to do so. She was still getting used to the fact that shinobi hardly ever shook hands.* - Sat Nov  7 23:30:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Maybe I'm intruding. - Sat Nov  7 23:34:24 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) was good at handshakes but this girl had her beat for certain. It almost made her like her just a bit more for it, "Chikyu, that's an interesting name. Is it a local name?" She peered over towards the golden haired boy just as he was walking away again and she wondered why he had only greeted them in passing. Cocking her head faintly at him and glancing him over.* - Sat Nov  7 23:39:31 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) listened in on the girl's voice and how she changed it. Kiyoko couldn't help but bring her left hand up over her mouth to keep from laughing. Faint muffled giggles sounded as she looked Chikyu over. "Well if your handshake is a testament, you certainly got the strong part down."* - Sat Nov  7 23:47:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . . - Sat Nov  7 23:49:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Sat Nov  7 23:50:36 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: That man in front of me.... - Sat Nov  7 23:50:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ha, well my dad is my role model, and he is trying to train me to become strong as him. So, I'm glad I'm almost there. - Sat Nov  7 23:50:36 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: He looks ..... - Sat Nov  7 23:51:28 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: C-Cool........ - Sat Nov  7 23:51:28 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Heh, well ... from what I saw in your training you clearly will make your father happy. - Sat Nov  7 23:52:19 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Geez, I hope so. Though, I still can't even touch him in a spar. - Sat Nov  7 23:54:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .. - Sat Nov  7 23:54:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Mm... - Sat Nov  7 23:54:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . - Sat Nov  7 23:54:52 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) smiled a tiny grin and nudged Chikyu with her elbow gently. "Eh, you'd break me in half, yeah? So that's a start."* - Sat Nov  7 23:54:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mm.... - Sat Nov  7 23:55:44 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) widened her eyes, "W-woah.... is he famous?"* - Sat Nov  7 23:58:17 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhmm.. - Sat Nov  7 23:59:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: A-Ah. - Sun Nov  8 00:00:00 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: N-Nothing.... - Sun Nov  8 00:00:00 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Sorry. - Sun Nov  8 00:00:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Sun Nov  8 00:01:42 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It's alright. - Sun Nov  8 00:01:42 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-Um sir. - Sun Nov  8 00:05:58 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: If it's too much for me to ask. - Sun Nov  8 00:05:58 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-Well. - Sun Nov  8 00:05:58 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: N-Not too much for me to ask that is.... - Sun Nov  8 00:05:58 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-May I ask for your name? - Sun Nov  8 00:05:58 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Me? I'm Kuro. - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Yourself? - Sun Nov  8 00:07:40 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-My name is Hanai. - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Pleasure to meet you Hanai. - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm Momura.. - Sun Nov  8 00:08:32 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Pleasure to meet you as well. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ...... - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Momura-chan. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I think I'll go get a job as a chef over at the restaurant. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Since we don't really have an income as ninja. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh yeah..M-Me..to.. - Sun Nov  8 00:10:14 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) bllinked a few times before whispering, "Is your father dangerous?"* - Sun Nov  8 00:10:14 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I'll go cook. - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-Um. - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Kuro....? - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: D-Do you want to come hang out with us? - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: He doesn't seem violent or mean. - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Sure. I don't see any harm in doing so. - Sun Nov  8 00:11:56 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...he's...not mean is he? - Sun Nov  8 00:12:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: O-Okay. - Sun Nov  8 00:12:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: L-Let's go. - Sun Nov  8 00:12:48 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Mean! Haha no! Hes the sweetest dad you could have... a bit harsh yeah. But, the moment he hurts me whether serious or not, he starts crying. Hahaha! - Sun Nov  8 00:13:39 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Oh... alright then. - Sun Nov  8 00:14:30 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) smiled weakly, "just checking."* - Sun Nov  8 00:14:30 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Its just when he starts sparring. Hes get all serious, and his attacks well. Even with a stick, he knocks me away.  - Sun Nov  8 00:16:12 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Huh....that's..... really amazing. - Sun Nov  8 00:17:04 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hey I have a question, that pregnant lady that was covered in dried blood. Was she a nurse? - Sun Nov  8 00:17:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Huh... she was pregnant!?!?! - Sun Nov  8 00:17:04 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ....you didn't see the giant baby belly? - Sun Nov  8 00:17:55 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I thought she was fat! - Sun Nov  8 00:17:55 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) slapped both hands over her mouth trying her hardest not to laugh.* - Sun Nov  8 00:17:55 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yeah i'll catch you later. - Sun Nov  8 00:18:46 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Uh well... she talked about learning some medical stuff. - Sun Nov  8 00:19:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Do you know where she usually is? - Sun Nov  8 00:19:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sorry to interrupt, I want to speak with her. - Sun Nov  8 00:19:37 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I don't know her at all. I just see her walking around often. - Sun Nov  8 00:20:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. - Sun Nov  8 00:21:20 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) glanced over towards Yan.* - Sun Nov  8 00:25:36 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hm... well worth a shot... She really should keep her clothing clean of blood though, being pregnant and all. - Sun Nov  8 00:25:36 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) smiled up towards Yan and then stood to take a few steps towards him while extending her hand for a shake. "No I don't believe so, I am Kiyoko. A nurse recently made a shinobi medic... for technicalities." Her smile grew broader then she looked back to Chikyu, "honestly either that baby is giant or it's a set of twins."* - Sun Nov  8 00:31:34 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Two of those suckers in her. Well no wonder she looks...*pausing herself* Uh...uh big in that area. - Sun Nov  8 00:32:25 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) shook his hand with a feminine hold, course there were parts of her hand that were calloused due to work in the hospital but for the most part, very gentle small hands. "Really? perhaps we will study together soon?" She smiled up at him, honestly looking forward to that possibility.* - Sun Nov  8 00:47:47 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Yes..Others.. - Sun Nov  8 00:50:20 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Haha, I couldn't understand any of that complex body stuff. - Sun Nov  8 00:50:20 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: .... - Sun Nov  8 00:55:28 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Bored - Sun Nov  8 00:55:28 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) chuckled at the both of them speaking about medical techniques being over their heads. "It's really not all that difficult, well... I say that but I have been a nurse since I was old enough to take my exam." When the mention of a party came up she tilted her head to the side, "I don't think I know a Koji, what type of party?"* - Sun Nov  8 00:58:52 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Aren't they a little young for sake? - Sun Nov  8 01:03:08 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) smiled genuinely and nodded, not letting her thought phase her appearance or words. "That sounds great, where at?"* - Sun Nov  8 01:03:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Uh, north-east district. Bottom-right house. I mean, you have to be fifteen to come with the alcohol and all. Koji will kill me if someone's underage and drinks..He's the commander of the desert owls. - Sun Nov  8 01:04:51 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ... fifteen is the drinking age? ... that change recently or something? - Sun Nov  8 01:05:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, I don't know. It's been that way since Hassan's been in charge. - Sun Nov  8 01:05:42 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Huh, that's cool I guess. - Sun Nov  8 01:08:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Seems to be if someone is old enough to die as a shinobi. - Sun Nov  8 01:08:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: They are old enough to enjoy themselves in their off time. But I mean, to each their own. - Sun Nov  8 01:09:07 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ....that makes sense, but terrible for the growth in the brai--...I'm going to just stop myself there. - Sun Nov  8 01:09:07 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) nodded and flashed a smile before sitting back down on the bench. "Count me in."* - Sun Nov  8 01:11:40 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ehh... I don't know. - Sun Nov  8 01:14:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: .. Wow.. someone killed her inadvertently..? - Sun Nov  8 01:15:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd like to see you there, Chikyu...At any rate, you owe me a spar sometime. - Sun Nov  8 01:15:05 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Yeah, I guess I do. How bout tomorrow, I'll keep my schedule free just for you. - Sun Nov  8 01:16:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Eh, sure. - Sun Nov  8 01:16:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm busy everyday, but I always find time to spar my fellow suna-nin. - Sun Nov  8 01:16:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tomorrow sounds good. - Sun Nov  8 01:17:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I also need to find Sanoke..we have some training to do as well. - Sun Nov  8 01:18:30 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hmm... a party never been to one before... - Sun Nov  8 01:21:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'. - Sun Nov  8 01:30:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji! - Sun Nov  8 01:30:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Sun Nov  8 01:30:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's up, man? - Sun Nov  8 01:30:27 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Oh, that's Koji. - Sun Nov  8 01:31:18 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) looked him up and down.* - Sun Nov  8 01:31:18 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I thought he was talking about a female. - Sun Nov  8 01:31:18 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: Oh thats Koji. *cricket noises* - Sun Nov  8 01:32:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah...I remember you had alot on your plate.  - Sun Nov  8 01:33:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Are you satisfied with the Trilliam situation? - Sun Nov  8 01:33:00 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Meh, It's better than putting him in a medical insitution... Better than death as well. The people of Sunagakure seems to appreciate it. - Sun Nov  8 01:33:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Koji..... could you show me a thing or two sometime around..? - Sun Nov  8 01:34:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fair...Uh, this is Kiyoko and Chikyu...I invited them to our party this friday. - Sun Nov  8 01:35:34 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hi there! - Sun Nov  8 01:35:34 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) smiled brightly up towards Koji, "Nice to meet you." She held out her hand for a shake but he was a bit aways so perhaps he wouldn't take it.* - Sun Nov  8 01:35:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Like I said, Koji is an accomplished ninja..Head of the Desert Owl police force. - Sun Nov  8 01:36:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And he's my roommate. He's a good guy. - Sun Nov  8 01:36:25 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: It was worth a try. - Sun Nov  8 01:36:25 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) tilted her head to the side as she took his hand with her small feminine grip. Releasing his, likely very large hand due to his height, she looked him from mid leg to face in one swoop, he was freaking huge. "Have harmful ones been ... that common lately?" She practically lived in the hospital, so to her it was really just a matter of being busier or not rather than actually knowing what happened outside the hospital walls.* - Sun Nov  8 01:44:06 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Sun Nov  8 01:44:57 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Hassan.. - Sun Nov  8 01:44:57 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) nodded shortly, "understandable then. Had me worried I might be pulling extra shifts for a while in the hospital."* - Sun Nov  8 01:57:45 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well we try to make sure you guys work as little as possible. I dont know how well that's going. - Sun Nov  8 01:59:28 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) smiled faintly, "I don't really mind, but the less work for me, means the less pain for otheres."* - Sun Nov  8 02:03:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: Later Ai, lets catch up soon. - Sun Nov  8 02:05:26 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hm? - Sun Nov  8 02:06:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: She seems like a pretty sweet girl. - Sun Nov  8 02:07:08 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Brother Yan, any new developments today? - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Pretty peaceful. - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I wish I could find someone to spar though. - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats a relief - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Is anyone on you level? - Sun Nov  8 02:11:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh? - Sun Nov  8 02:11:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Your pretty strong... I dont think many can keep up with you - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Um... I could spar you.... but that's if you want.. - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Then again... - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You are not a trustworthy ninja to me. - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I know... - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Bryson, I'm nothing special. - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Not in my opinion - Sun Nov  8 02:13:07 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Funny Yan... I told you the same thing when I first met you - Sun Nov  8 02:15:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh? Well, seems to make sense. - Sun Nov  8 02:17:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im good, being a doctor... being a priest... sensing evil... the usual - Sun Nov  8 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Cool, cool. - Sun Nov  8 02:17:23 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) smiled slowly wider and wider as he spoke of a teacher who was a doctor. "School? Aren't you a bit old to be in school still?" She assumed he was much older than he was due to his sudden burst of puberty early in life. She was about to ask who his wise doctor of a teacher was but then she heard Bryson's statement about being a doctor and priest and she realized which one of the medics had been mentioned to her by Lera. 

Peering back up to Koji her smile persisted, "your teacher sounds like a wise mentor, I would love to meet them sometime soon."* - Sun Nov  8 02:18:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I need a medical ninja to teach me this damned medical technique. - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I can't get the time of day with Zenaki. - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Ask.... Reguel - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Maybe you and I can make some sort of trad-- - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't seen him since yesterday. - Sun Nov  8 02:20:48 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) twitched her nose, <or that.>* - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd be happy to work something out with you, Kiyoko. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I like you more than Reguel anyways..he's a bit annoying. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh, your a medic Kiyoko? - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Mhm. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: He is rather.... hard to deal with... - Sun Nov  8 02:22:30 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats great another medic in Sunagakure... welcome... you will make another addition to the corps. As long as you actually learn medicine - Sun Nov  8 02:23:21 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I was a nurse before becoming a shinobi, they got tired of me not being qualified for certain tasks and had me get certified as a shinobi. - Sun Nov  8 02:25:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I think Im the only medic with more than one healing technique, its poison this and  chakra punch that, quite annoying - Sun Nov  8 02:25:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: That doesn't really sound like my ... area. - Sun Nov  8 02:25:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I'm more for healing. - Sun Nov  8 02:25:55 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Great I would love to have your help, but Icant teach you anything because im a  Cleric. Not your basic medic - Sun Nov  8 02:26:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I'm not a basic medic either really, but that's good to know. I figured you couldn't teach me. - Sun Nov  8 02:27:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sanoke....about that training you said you'd give me. - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Could you pass me something to study on it? - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Fuuinjutsu? - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah. - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do you know the basic seal yet? - Sun Nov  8 02:30:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nope, I'm clueless. - Sun Nov  8 02:30:11 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) widened her eyes and stood before him, "you are only thirteen?" now that she stood though she saw something even more interesting than his height for his age, let alone facial features of a late teenager. "Y-your eyes...." she stared straight down the center of them and flicked her auburn gaze back and forth, perhaps she was rude to stare when she herself looked rather funky what with her type of clothing, strangely styled hair, and facial paint. "You have no pupil, are you blind?"* - Sun Nov  8 02:44:41 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: His eyes are particular to people that have the same doujutsu as him. - Sun Nov  8 02:44:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Those are the eyes of the Hokuma clan, but the do have puplies  - Sun Nov  8 02:45:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: family* - Sun Nov  8 02:45:32 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: How....strange. - Sun Nov  8 02:47:15 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Doujutsu. - Sun Nov  8 02:47:15 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) hadn't ever ran into any doujutsu in the hospital, all thanks to her not being cleared to aid in patients with such eyes because she wasn't a shinobi at the time.* - Sun Nov  8 02:48:06 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: If you would like to know no more about them they dont know much other than its a family thing... Believe me I have tried - Sun Nov  8 02:49:48 2015
<br><br><font color=teal>*Test(Booty Eater) says: With the Eternal Tsukiyomi in my hands. - Sun Nov  8 02:50:40 2015
<br><br><font color=teal>*Test(Booty Eater) says: That ass is mine. - Sun Nov  8 02:50:40 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) ducked her head down in a bow quickly, "I'm so sorry...that was very rude of me... I've just never seen someone with their pupil....white? missing? Yeah...sorry about that."* - Sun Nov  8 02:56:38 2015
