<br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's looking one-sided as fuck. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Sure! - Sat Oct 10 19:20:57 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Well, I go walk around. - Sat Oct 10 19:49:07 2015
<br><br><font color=teal>*Ko-Ko(Hezo Sezumi) says: Mmm...Yes. - Sat Oct 10 22:42:20 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: I see. - Sat Oct 10 22:42:20 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: That's good. - Sat Oct 10 22:43:12 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) exits his caravan, setting his eyes apon the village Amegakure. His eyes glemmed as he finaly arrived, glad that he came and payed for this trip. This was another chance for him to get rich quick and make a good living for himself.

"Alright now to find that Mansion."* - Sat Oct 10 22:47:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Yo. - Sat Oct 10 22:47:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Is there like and Uhh.... - Sat Oct 10 22:47:28 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Hello. - Sat Oct 10 22:47:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Kage Mansion here? - Sat Oct 10 22:48:19 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: No. - Sat Oct 10 22:48:19 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Not that I know of. - Sat Oct 10 22:48:19 2015
<br><br><font color=teal>*Ko-Ko(Hezo Sezumi) says: Mmm..Nope. - Sat Oct 10 22:49:10 2015
<br><br><font color=teal>*Ko-Ko(Hezo Sezumi) says: There is none. - Sat Oct 10 22:49:10 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Ah. - Sat Oct 10 22:49:10 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: So where could I find the leader? - Sat Oct 10 22:49:10 2015
<br><br><font color=teal>*Ko-Ko(Hezo Sezumi) says: Who knows. - Sat Oct 10 22:50:01 2015
<br><br><font color=teal>*Ko-Ko(Hezo Sezumi) says: I was told it's a she. - Sat Oct 10 22:50:01 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: I've never seen the leader myself. - Sat Oct 10 22:50:01 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: . . . . - Sat Oct 10 22:50:01 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: But I suppose it'd be the one who made the donation. - Sat Oct 10 22:50:01 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Just look for the overflow of money I suppose. - Sat Oct 10 22:50:01 2015
<br><br><font color=teal>*Ko-Ko(Hezo Sezumi) says: Most likely. - Sat Oct 10 22:50:01 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Yea but, that doesn't narrow it down at all. - Sat Oct 10 22:50:52 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Eh. - Sat Oct 10 22:52:35 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: I apologize then. - Sat Oct 10 22:52:35 2015
<br><br><font color=teal>*Ko-Ko(Hezo Sezumi) says: Well. - Sat Oct 10 22:52:35 2015
<br><br><font color=teal>*Ko-Ko(Hezo Sezumi) says: Things are boring here. - Sat Oct 10 22:52:35 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: All good. - Sat Oct 10 22:52:35 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I can tell. - Sat Oct 10 22:52:35 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Hm... - Sat Oct 10 22:53:26 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: You both travel, yes? - Sat Oct 10 22:53:26 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Pretty much. Can't say the same for her. - Sat Oct 10 22:53:26 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: But she did say this place is boring as if he lives here. - Sat Oct 10 22:54:17 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: So its safe to say that she doesn't. - Sat Oct 10 22:54:17 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Eh... - Sat Oct 10 22:54:17 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Well. - Sat Oct 10 22:54:17 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: I have a request of you. - Sat Oct 10 22:54:17 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: On your travels, if you ever see any...deceased...could you send word to me? - Sat Oct 10 22:55:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: There is a dead body inbetween Kumo and Konoha. - Sat Oct 10 22:55:08 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Ah... - Sat Oct 10 22:55:08 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Thank you. - Sat Oct 10 22:55:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: No problem. - Sat Oct 10 22:56:00 2015
<br><br><font color=teal>*Ko-Ko(Hezo Sezumi) says: Oh, hey. - Sat Oct 10 22:59:24 2015
<br><br><font color=teal>*Ko-Ko(Hezo Sezumi) says: Sure. - Sat Oct 10 23:06:14 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: .... - Sat Oct 10 23:08:48 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Seems it's just us now. - Sat Oct 10 23:08:48 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Yup. - Sat Oct 10 23:17:20 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Hm... - Sat Oct 10 23:28:25 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: I suppose I should begin to migrate to Konohagakure then. - Sat Oct 10 23:29:16 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm? - Sun Oct 11 05:00:22 2015
<br><br><font color=teal>*Reguel(Airide) says: Greetings. - Sun Oct 11 05:01:13 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: ? - Sun Oct 11 05:01:13 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Sup. - Sun Oct 11 05:01:13 2015
<br><br><font color=teal>*Reguel(Airide) says: Oh good, I thought you were stupid enough to know what a greeting was. - Sun Oct 11 05:01:13 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Uhuh. - Sun Oct 11 05:02:04 2015
<br><br><font color=teal>*Reguel(Airide) says: Now where am I? - Sun Oct 11 05:02:04 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Ame. - Sun Oct 11 05:02:04 2015
<br><br><font color=teal>*Reguel(Airide) says: Amegakure? I thought this place was wrecked along with Kirigakure. - Sun Oct 11 05:02:56 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Beats me. - Sun Oct 11 05:02:56 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: But this is Ame. - Sun Oct 11 05:03:47 2015
<br><br><font color=teal>*Reguel(Airide) says: Yeah me too, who else is here? - Sun Oct 11 05:03:47 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Don't know. - Sun Oct 11 05:03:47 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmph. - Sun Oct 11 05:03:47 2015
<br><br><font color=teal>*Reguel(Airide) says: Then I'll go search. - Sun Oct 11 05:03:47 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Aye. - Sun Oct 11 22:12:54 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Hi. - Sun Oct 11 22:45:20 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: You know who the leader of this village is? - Sun Oct 11 22:46:11 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Nope I actually have no clue was plaaning on heading to the mansion to find out and meet him. - Sun Oct 11 22:47:53 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Good luck with that. - Sun Oct 11 22:48:44 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: DO you know who it is?/ - Sun Oct 11 22:49:36 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: No. - Sun Oct 11 22:50:27 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: But I know I can't find the mansion. - Sun Oct 11 22:50:27 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Hmm... We could look for it togther.. - Sun Oct 11 22:52:09 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Alreadt looked. - Sun Oct 11 22:53:00 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Hmmm...Maybe one hasnt been bult ye? - Sun Oct 11 22:54:43 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: To be honest with you all ive really seen around are civialns not may shinobi> - Sun Oct 11 22:55:34 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I'm not a shinobi. - Sun Oct 11 22:59:50 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Oh what are you? - Sun Oct 11 23:01:32 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I'm a blacksmith. - Sun Oct 11 23:02:24 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Oh thats cool. - Sun Oct 11 23:03:15 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Hey do you think you could make me some devices to channel and make smoke? - Sun Oct 11 23:03:15 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Uh...... - Sun Oct 11 23:09:13 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Don't think there is any purpose for that. - Sun Oct 11 23:10:04 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Plus that would be very time consuming. - Sun Oct 11 23:10:56 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Also alot of money. - Sun Oct 11 23:10:56 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: It actually  would help me alot..Due to my abiltes please help me out I'll owe you one. - Sun Oct 11 23:10:56 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: I'll even work it off if i have to. - Sun Oct 11 23:11:47 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I don't do loans. - Sun Oct 11 23:17:45 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Especially ones that make me go bankrupted. - Sun Oct 11 23:18:36 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Its not a loan. - Sun Oct 11 23:22:52 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: How much will it cost? - Sun Oct 11 23:22:52 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Don't know. - Sun Oct 11 23:24:35 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: But you would need a motor for that. - Sun Oct 11 23:24:35 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: And that will cost you. - Sun Oct 11 23:25:26 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: But i can move the smoke. - Sun Oct 11 23:26:17 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Well find out how mcuh it cost I'll come up the money. - Sun Oct 11 23:28:00 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: If you can make smoke. - Sun Oct 11 23:32:16 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Why do you need something that can channel it? - Sun Oct 11 23:32:16 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Id like to keep from having to use as much chakra as possible Its eaiser if i already have  the smoke in the area than manifesting it myself. - Sun Oct 11 23:33:58 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Making smoke doesn't seem like it would take alot of chakra. - Sun Oct 11 23:43:21 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Fine fine you win...What do you suggest then? - Sun Oct 11 23:45:04 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Don't know what you want me to suggest. - Sun Oct 11 23:45:55 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: What do you think would be useful for me ? - Sun Oct 11 23:45:55 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I mean. - Sun Oct 11 23:48:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: How am I suppose to know? - Sun Oct 11 23:48:28 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Well heck you shot down my ideal you youmust have something better.. - Sun Oct 11 23:51:53 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I don - Sun Oct 11 23:53:36 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: 't* - Sun Oct 11 23:53:36 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I don't know you so how am I suppose to know what do? - Sun Oct 11 23:53:36 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Because you are a blacksmith and i told you what i can do so im sure you thought of something. - Mon Oct 12 00:08:06 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Becuase thats what good blacksmiths do. - Mon Oct 12 00:08:06 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Oh? - Mon Oct 12 00:14:56 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: So you know what a good blacksmith does? - Mon Oct 12 00:14:56 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Because it seems you don't if you want me to baby you. - Mon Oct 12 00:14:56 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Telling you what you need instead of deciding on what you want. - Mon Oct 12 00:15:47 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Oh kay how about this then. - Mon Oct 12 00:15:47 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Forge me a sword. That emits smoke. - Mon Oct 12 00:16:38 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: I'll call it the Gas blade. - Mon Oct 12 00:16:38 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Oh could you lace it with posion.. - Mon Oct 12 00:17:29 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: So. - Mon Oct 12 00:20:03 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: You want me to make a sword. - Mon Oct 12 00:20:03 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: That emits smoke? - Mon Oct 12 00:20:03 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Which is very impossible. - Mon Oct 12 00:20:54 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: And also laced with posion. - Mon Oct 12 00:20:54 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Because I look like I can make poison? - Mon Oct 12 00:20:54 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Yup. - Mon Oct 12 00:30:17 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Like coulning tape like smoke bombs to the helt or btter yet gave the heky made of smoke bobs. - Mon Oct 12 00:31:08 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Bombs. - Mon Oct 12 00:31:08 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: I mean the hilt filled with smoke bombs on teh inside. - Mon Oct 12 00:31:08 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Hey Im a go to this gambling thing try and win and ill bring you money to make me something great. - Mon Oct 12 00:38:49 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420)  * - Mon Oct 12 01:28:19 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) Test
* - Mon Oct 12 01:28:19 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) test* - Mon Oct 12 01:28:19 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Fri Oct 23 01:37:16 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) tilted his head at Asteroth. Checking to see if he knew her at all.

"Nope. Whats up?"* - Fri Oct 23 01:50:04 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Not really. - Fri Oct 23 01:55:12 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Actually. - Fri Oct 23 01:55:12 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Not at all. - Fri Oct 23 01:55:12 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I'm from Konoha. - Fri Oct 23 01:55:12 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: And what brings you here? - Fri Oct 23 01:56:54 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Money. - Fri Oct 23 01:58:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . Money? - Fri Oct 23 02:00:19 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Mhm. - Fri Oct 23 02:02:01 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: From whom? - Fri Oct 23 02:02:52 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Anyone at this point. - Fri Oct 23 02:02:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I see. - Fri Oct 23 02:10:33 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: So you are a mercenary. .? - Fri Oct 23 02:10:33 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Nope. - Fri Oct 23 02:11:24 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Blacksmith. - Fri Oct 23 02:11:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: -- Ah. That's something I'm willing to invest in actually. - Fri Oct 23 02:12:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You realize who you're speaking to, yes? - Fri Oct 23 02:13:58 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Not at all. - Fri Oct 23 02:13:58 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) tilted his head and scratched it a bit.

"Th-" he said, stopping himself from what he was originaly about to say and instead says this. "Oh, I'd be happy to show off my work. If I had Yen though."* - Fri Oct 23 02:19:56 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: But this would have to be another day. - Fri Oct 23 02:19:56 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) goes poof becuase its a shadow clone.* - Fri Oct 23 02:20:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ah. - Fri Oct 23 22:48:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: The Blacksmith. How are you? - Fri Oct 23 22:48:44 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Oh yeahhh..Asteroth question when do you plan on hosting that fesviale we talked about? - Fri Oct 23 22:52:09 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Once things actually settle down. - Fri Oct 23 22:53:00 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I'm good. You? - Fri Oct 23 22:53:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: We never got to discuss business. - Fri Oct 23 22:54:43 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Well I'm free now. - Fri Oct 23 22:54:43 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ah. Do you have any examples of your work? - Fri Oct 23 22:56:25 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: None. - Fri Oct 23 22:58:59 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Would you like to be given some resources so that you may work? - Fri Oct 23 23:00:41 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Based on how good it is, I'm willing to offer you a contract. - Fri Oct 23 23:00:41 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Sure. - Fri Oct 23 23:01:32 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: What would you want me to make? - Fri Oct 23 23:02:24 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Hey its you I remeber you. - Fri Oct 23 23:06:40 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: Is he talking to me? - Fri Oct 23 23:07:31 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Make something Smokey buddy. - Fri Oct 23 23:19:28 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: That would be like so cool. - Fri Oct 23 23:19:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Oh.... - Fri Oct 23 23:19:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: You..... - Fri Oct 23 23:20:19 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: Yuo. - Fri Oct 23 23:21:10 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: I dont remebr if i ever told oyu my name I am Xon. - Fri Oct 23 23:21:10 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Takumi. - Fri Oct 23 23:21:10 2015
<br><br><font color=teal>*Zuvian, Xon(Simbasax) says: NIce to see you again. - Fri Oct 23 23:29:42 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Well. . ? - Fri Oct 23 23:31:24 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Queenie, darling, we finished. - Fri Oct 23 23:32:16 2015
<br><br><font color=teal>*Index(Jjking217) whispers: My Lady are you still in the mood to relax? - Fri Oct 23 23:33:58 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: I guess she really is a queen. - Fri Oct 23 23:33:58 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I don't know where your local "smithery" is. - Fri Oct 23 23:40:48 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) followed after Ichiro.* - Fri Oct 23 23:47:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I assume this will be fit enough for you? - Fri Oct 23 23:49:20 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Yup. - Fri Oct 23 23:49:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Very well. - Fri Oct 23 23:50:11 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: If I may ask, what is your name? - Fri Oct 23 23:50:11 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Takumi. - Fri Oct 23 23:54:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Ah. It is nice to meet you Takumi. - Fri Oct 23 23:55:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: As you may have heard, my name is Ichiro. - Fri Oct 23 23:55:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Welcome to Amegakure. - Fri Oct 23 23:55:18 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Mhm. Thanks. - Fri Oct 23 23:57:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Is there anything else you require? If not, I'll be taking my leave now. - Sat Oct 24 00:00:25 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Naw. - Sat Oct 24 00:01:16 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Your Queen already bought me the stuff. - Sat Oct 24 00:01:16 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Just gotta wait. - Sat Oct 24 00:01:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Alright. - Sat Oct 24 00:02:59 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Have a good day, Takumi. - Sat Oct 24 00:02:59 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: 'ello - Fri Nov 27 23:59:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Sup. - Fri Nov 27 23:59:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Can you like, tell the guards to let me in? - Fri Nov 27 23:59:08 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Why? - Fri Nov 27 23:59:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I mean, I don't see a reason why I shouldn't be allowed inside. - Sat Nov 28 00:00:00 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Because you're not from my village and don't belong here. - Sat Nov 28 00:00:00 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: That is not true. A village should be open to all non-shinobi. - Sat Nov 28 00:00:51 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: The last 'non-shinobi' we let in the village began a massacre. - Sat Nov 28 00:00:51 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Ouch. - Sat Nov 28 00:00:51 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: But I'm just a weak little backsmith. - Sat Nov 28 00:01:42 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Want me to prove to you that I'm just a blacksmith? - Sat Nov 28 00:02:33 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Yup. - Sat Nov 28 00:02:33 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Get me an anvil and some materials for a katana and I'll show you. - Sat Nov 28 00:02:33 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: .... - Sat Nov 28 00:09:23 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Get away from my village gate. - Sat Nov 28 00:10:14 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: What for? - Sat Nov 28 00:10:14 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Because I said so. - Sat Nov 28 00:10:14 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Now move along..Don't cause harm to befall you. - Sat Nov 28 00:10:14 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: . . . . - Sat Nov 28 00:11:05 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: You're being a prick at the momment. Someone is just trying to find somewhere to live and your not even trying to let the person prove he isn't even able to pose a threat. - Sat Nov 28 00:11:56 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: I really don't care what you want to prove. Go to the Sand village if you want to live. - Sat Nov 28 00:19:37 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Then why'd you say yes? - Sat Nov 28 00:20:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Know what, nevermind. - Sat Nov 28 00:20:28 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) turned around with his hands in his pocket and entered a caravan.* - Sat Nov 28 00:20:28 2015
