<br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Ugh...Better go find Kana. - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Jiki you'll pay for your tax evasions... Nows not the time... - Sat Dec 12 17:38:30 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Kyubishu, Koji, and Tetsumi Jiki. - Sat Dec 12 17:38:30 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: I see. - Sat Dec 12 17:38:30 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Three competitors in the Private Exams. - Sat Dec 12 17:39:21 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: I just need to know what villages you're from. - Sat Dec 12 17:39:21 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Konoha. - Sat Dec 12 17:40:12 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Kirigakure. - Sat Dec 12 17:40:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I hail from Sunagakure. I was named Kazekage 3 years ago. - Sat Dec 12 17:41:04 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Konoha, Kirigakure, and Sunagakure. - Sat Dec 12 17:41:04 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: I have all three villages here. - Sat Dec 12 17:41:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I believe I know you. I used to visit Sunagakure. - Sat Dec 12 17:41:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: .... - Sat Dec 12 17:41:55 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: I hope I don't die.. - Sat Dec 12 17:42:46 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: I see. - Sat Dec 12 17:45:20 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Well. - Sat Dec 12 17:45:20 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: You three will be going through the toughest exam in your life. - Sat Dec 12 17:45:20 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Unless you guys plan on taking the Sergeants in the future. - Sat Dec 12 17:45:20 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: .... - Sat Dec 12 17:46:11 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Understood. - Sat Dec 12 17:46:11 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: No problem.. - Sat Dec 12 17:46:11 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Your goal is to take as many heads as possible. - Sat Dec 12 17:47:02 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Simple as that. - Sat Dec 12 17:47:02 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Once you attain ten heads of fighters. - Sat Dec 12 17:47:02 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: You've become a Private. - Sat Dec 12 17:47:02 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Even those standing next to you. - Sat Dec 12 17:47:02 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: ..... - Sat Dec 12 17:47:02 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Are viable to become one of those heads. - Sat Dec 12 17:47:02 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: ...Understod... - Sat Dec 12 17:48:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ............So. - Sat Dec 12 17:49:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Is their any choice to back out? - Sat Dec 12 17:49:36 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Not during the exam. - Sat Dec 12 17:53:52 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: You must back out -now- if you want to back out. - Sat Dec 12 17:53:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: Should I? - Sat Dec 12 17:53:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nah. I'm not backin' down. - Sat Dec 12 17:53:52 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: The heads must be of your own bodies. - Sat Dec 12 17:58:08 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: As in. - Sat Dec 12 17:58:08 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: You must have delivered the final blow. - Sat Dec 12 17:58:08 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: We will be monitoring you all throughout the fight. - Sat Dec 12 17:58:08 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: ..... - Sat Dec 12 17:58:59 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Sad... - Sat Dec 12 17:58:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: We'll have to fight each other? - Sat Dec 12 17:58:59 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Perhaps. - Sat Dec 12 17:58:59 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: You have that moral choice. - Sat Dec 12 17:58:59 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Whether you want to kill the weakest of you three for a free head. - Sat Dec 12 17:58:59 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Or not. - Sat Dec 12 17:58:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'd rather not. - Sat Dec 12 17:58:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I only fight people if needed. - Sat Dec 12 17:59:50 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ... - Sat Dec 12 17:59:50 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Well, kill. - Sat Dec 12 17:59:50 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Let's go out and get some people's heads. - Sat Dec 12 18:00:41 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: He wasn't even into it one second ago... - Sat Dec 12 18:00:41 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Very well. - Sat Dec 12 18:02:24 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Prepare to enter the most hellish fight. - Sat Dec 12 18:03:15 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) took his sweater off and left it on the ground. He'd come back for it, -if- he survived.* - Sat Dec 12 18:04:06 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Any last words? - Sat Dec 12 18:04:06 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: ..... - Sat Dec 12 18:04:06 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Last words? I'll live. - Sat Dec 12 18:04:06 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nope.... - Sat Dec 12 18:04:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Sat Dec 12 18:04:06 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: I should be able to survive. - Sat Dec 12 18:04:06 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Have to make it back to Hayate. - Sat Dec 12 18:04:06 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I finally found someone.. - Sat Dec 12 18:29:42 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: How'd you get here? - Sat Dec 12 18:29:42 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) quickly swam through the water, Kyubishu had approached out of the water and retrieved a handful of shuriken. A total count of ten as he glanced toward Kami and spoke out toward him, "I assume you're here for the same reason that we are. Right?"* - Sat Dec 12 18:31:24 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) had indeed been shocked by the motion sensors that were deep in the water, Kyubishu had effectively backed up in order to try and manuever his way around it to make sure that he didn't actually come within range of the electricity that had previously shocked him. But he wasn't a little bitch that couldn't take pain, it was something that came apart of being a Shinobi and he endured it as best as possible.

He prepared himself with a jutsu as he seen Kami in the distance after manuevering himself so that he wouldn't be in the water, no more shock for him.* - Sat Dec 12 19:22:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: That's bad. I can't get around the water or even touch it. - Sat Dec 12 19:28:35 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: Who the fuck?! - Sat Dec 12 19:31:08 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) had effectively fought against Kami due to the fact that he had calculated his opponent's movements extremely easy. To the point of where Kyubishu had activated his Kawarimi Technique and hopefully tried to get himself out of the range from the attack and be on the end of the lake, he had retreived shuriken like previously before and threw them directly toward Kami as they headed for him and then, headed upward like it was magic.* - Sat Dec 12 19:39:40 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) had underestimated his opponent, Kyubishu hadn't been careful at all. Why did he choose to take this fucking exam? Something inside of him had instinctively told him to absolutely not take this, but he was being an idiot and decided to go through with this and now his chance at revenge had been foiled and absolutely wasted. Kyubishu stuck his head out from the water and glanced toward the gunpower cloud that had loomed above him, he swiftly attempted to bring himself up from out of the water as quickly as possible.

A intense amount of flames had literally engulfed him and he quickly tried to activate his 'Dance Of The Willow' technique in order to hopefully create some sort of defensive mechanism for himself but that obviously had been futile. The flames had instantly scorched him and the rest of his skin, along with his clothing, headband, hair and anything else that belonged toward his person, he was outclassed.

Something inside of him was actually happy that his life could've ended. He might've been a shinobi but this world obviously hadn't been for him, he wasn't fit for a world that was so cold like this one and after Kida and Ichiro had actually made him realize this he couldn't come to terms with it until somebody had blantly showed him it.

And that 'person' was death. Something nobody had exprienced and actually lived to tell anyone about, but he closed his eye and allowed himself to drift away, it's not like anybody had actually cared about him.* - Sat Dec 12 19:51:37 2015
<br><br><font color=yellow>*Kaiser Ibbaki(Dillion13) Tier 2 - Durability = 2k
Boxer = 1k
Kick-Boxer = 1k
Strength = 1k
Reflex - Tier 1
Attack Speed - Tier 1
Leaf Whirlwind
A jumpsuit
Dynamic Entry* - Sat Dec 12 22:00:28 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Talk? - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Jesus, fucking. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Whatever. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Christ. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: A little... I saw her I think?  - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Wot? - Sat Dec 12 23:10:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I didn't tell you Green? - Sat Dec 12 23:10:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: And what do you mean by that Geo? - Sat Dec 12 23:11:18 2015
<br><br><font color=teal>*Rias(LionHunter) says: Thats great Hiro-kun... is Paine here too? - Sat Dec 12 23:11:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I honestly don't know Senpai. - Sat Dec 12 23:11:18 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hmm I want to go find her... Im sure she is here... I need to let her know - Sat Dec 12 23:12:09 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Oh gosh... I wonder if Bro is taking her name, heheh. - Sat Dec 12 23:12:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What do you need from Sensei? - Sat Dec 12 23:12:09 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I haven't seen Tai Senpai for a while. Might be on a mission. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: I dont want her to worry - Sat Dec 12 23:13:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why would she be worried?  You are right here. - Sat Dec 12 23:13:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: But she will ask why and I have to tell her - Sat Dec 12 23:14:43 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Did something happen? - Sat Dec 12 23:14:43 2015
<br><br><font color=teal>*Rias(LionHunter) says: I told you... or well you heard - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: About Ai womannapping you? - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yes - Sat Dec 12 23:19:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why did Ai do that anyway? - Sat Dec 12 23:19:50 2015
<br><br><font color=teal>*Rias(LionHunter) says: She was protecting me - Sat Dec 12 23:20:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: From what? - Sat Dec 12 23:20:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Is somebody trying to hurt my senpai? - Sat Dec 12 23:21:32 2015
<br><br><font color=teal>*Rias(LionHunter) says: Apperently I am being targeted by Kana - Sat Dec 12 23:21:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That name sounds familiar. - Sat Dec 12 23:21:32 2015
<br><br><font color=teal>*Rias(LionHunter) says: But it doesnt matter - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: So... Ms. Rias are you a taijutsu user too like bro? - Sat Dec 12 23:23:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why doesn't it? - Sat Dec 12 23:23:15 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: lets just change the topic this is going nowhere - Sat Dec 12 23:24:06 2015
<br><br><font color=teal>*Rias(LionHunter) says: And no im quite the opposite actually - Sat Dec 12 23:24:06 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Elementalist!? - Sat Dec 12 23:24:06 2015
<br><br><font color=teal>*Rias(LionHunter) says: Opposite - Sat Dec 12 23:24:57 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Uh~~~~... marksman? - Sat Dec 12 23:25:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Damnit bro. . . . Don't distract her right now. . .  - Sat Dec 12 23:25:48 2015
<br><br><font color=teal>*Rias(LionHunter) says: No - Sat Dec 12 23:26:40 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: No way Genjutsu is opposite o Taijutsu~ - Sat Dec 12 23:26:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: It is - Sat Dec 12 23:28:22 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: How so? - Sat Dec 12 23:29:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec 12 23:30:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It just is okay you little shit? - Sat Dec 12 23:30:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sat Dec 12 23:30:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I'll let him have his little conversation. . . .  - Sat Dec 12 23:30:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: Becasue you  dont physically hurt anyone... its all a trick  - Sat Dec 12 23:30:56 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: *shrugs* I guess? - Sat Dec 12 23:31:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You done now Green? - Sat Dec 12 23:32:38 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Wait, Blue how is she your Senpai? You know Genjutsu? - Sat Dec 12 23:32:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Save your questions for now ok. - Sat Dec 12 23:33:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Senpai, are you in danger? - Sat Dec 12 23:33:29 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: You questions clearly weren't going anywhere... might as well change topics - Sat Dec 12 23:33:29 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yes - Sat Dec 12 23:35:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec 12 23:36:03 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: We're shinobi. Aren't we always in danger? - Sat Dec 12 23:36:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ok, so you aren't going anywhere alone. - Sat Dec 12 23:36:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I am not letting anything happen to you if I can help it. - Sat Dec 12 23:36:03 2015
<br><br><font color=teal>*Rias(LionHunter) says: ....Z told he the same thing until he left me... - Sat Dec 12 23:36:54 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Smooth move Bro... - Sat Dec 12 23:37:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Oh shit. . . . .  - Sat Dec 12 23:38:36 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Smooth move Hiroshi.. - Sat Dec 12 23:41:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec 12 23:42:01 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Dang it Geo that was my line..... but yeah thais was kinda why I tried to change topics.... read the situation bro - Sat Dec 12 23:42:01 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Not a bad recover though. - Sat Dec 12 23:44:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I'll just ignore both of those damn bastards right now. . . .  . .  - Sat Dec 12 23:44:35 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: ............Hold on. - Sat Dec 12 23:45:26 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What's this about a Hiro-kun? - Sat Dec 12 23:46:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nothing baby, it is my Senpai. - Sat Dec 12 23:46:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: This is pretty old stuff. - Sat Dec 12 23:46:17 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Whoops now you're in trouble - Sat Dec 12 23:46:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Uh huh. - Sat Dec 12 23:46:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Uh oh. . I might have went a little too far that time. . . .  - Sat Dec 12 23:46:17 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: He's going to catch a dangous punch later - Sat Dec 12 23:47:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Oh god. .. . . I put myself in a bit of a situation didn't I?. .  - Sat Dec 12 23:48:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Ok Hiro. . . . Think. . . think. . .thi-. . Damnit. . .Drawing a blank. . .  - Sat Dec 12 23:50:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec 12 23:53:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Aw fuck . . . She kissed me. . . .Oh shit. . . Oh shit. . .  - Sat Dec 12 23:53:58 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: So. If anyone isn't busy, can somebody train with me? - Sat Dec 12 23:53:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: R-Right. . . .  - Sat Dec 12 23:53:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Do I even want to turn around? - Sat Dec 12 23:54:49 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Don't touch ,e. - Sat Dec 12 23:58:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Look, let me explain. . Please. - Sat Dec 12 23:59:05 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Oh she's pissed~~~~~~ - Sat Dec 12 23:59:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Damnit Senpai. . . .  - Sat Dec 12 23:59:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Do. - Sat Dec 12 23:59:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Not touch me. - Sat Dec 12 23:59:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'll let go if you let me explain. - Sat Dec 12 23:59:56 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Anyone open? - Sat Dec 12 23:59:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: If you don't let me go I'll uppercut you to heaven. - Sun Dec 13 00:04:12 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: *Munch* *munch* - Sun Dec 13 00:04:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Sun Dec 13 00:04:12 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: She can do it too - Sun Dec 13 00:05:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Look, I have to explain myself.  If you want to uppercut me afterwards fine. - Sun Dec 13 00:05:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Do we have a deal? - Sun Dec 13 00:08:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: No. Let me go. Now. - Sun Dec 13 00:09:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Baby you have to listen to me. - Sun Dec 13 00:11:53 2015
<br><br><font color=yellow>*Kaiser Ibbaki(Dillion13) approached Kasanari, as he attempted to tug upon her sleeve at a very short height. He might've been a Genin but something was extremely strange about him considering that his jumpsuit hadn't been seen often on a little boy like this one, "Hey M'am. You wanna spar with me?"* - Sun Dec 13 00:12:44 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Well can't say he's not trying... - Sun Dec 13 00:17:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . .  - Sun Dec 13 00:17:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damnit let me explaini. - Sun Dec 13 00:17:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: explain* - Sun Dec 13 00:17:52 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Sure. Let's go! - Sun Dec 13 00:17:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: What the hell?. . . .  - Sun Dec 13 00:18:43 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: That's probably not a smart idea guy..... Nami shouldn't spar while mad. - Sun Dec 13 00:18:43 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sun Dec 13 00:18:43 2015
<br><br><font color=yellow>*Kaiser Ibbaki(Dillion13) headed over toward The Training Field himself, he quickly followed behind Hassan.* - Sun Dec 13 00:18:43 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Come at me if you'd like. - Sun Dec 13 00:22:08 2015
<br><br><font color=yellow>*Kaiser Ibbaki(Dillion13) withdrew a handful of shuriken after he finally anaylzed his opponent and assesed their physical apperance. That was taken into deep consideration before he actually assasulted his advesary, Kaiser would've simply unleashed the handful of shuriken directly toward Hassan as they rippled through the air and quickly headed in her general direction, a small smirk had came upon his face, thus adjusting himself and quickly removing the headband from his waist and applying it across his forehead.

The Sunagakure's symbol was blandly plastered across the metal as he advanced with progressive speed.* - Sun Dec 13 00:23:50 2015
<br><br><font color=yellow>*Kaiser Ibbaki(Dillion13) quickly awaited for the shuriken to come toward Hassan's general direction and generally wished that she would dodge the incoming projectiles that were heading her way, if she didn't or did it wouldn't matter at all. Either way it still played into his advantage before he decided to suddenly stop his running pace and literally fall down into a slide in order to thrust his foot directly up into the sky and attempting to strike her within the chin, and launch Hassan up into the air, without remorse.* - Sun Dec 13 00:30:40 2015
<br><br><font color=yellow>*Kaiser Ibbaki(Dillion13) proceeded to rail himself back after Hassan had ascended into the air. He didn't want to combat against somebody he didn't know in the sky, people of Sunagakure had made him feel off edge and fighting against a woman of such degree certainly didn't make sense but everybody seemed to be a shinobi and she wanted to take him up on his offer of sparring against her, so who was he to complain? Kaiser's eyes would've simply followed the woman after his attack had swiftly connected and pushed her up into the sky.<3>

A kunai would've been retreived from his backpouch and thrown toward her out of a simple reaction. A small tip-toe jumping style would've been made from the boy after he had stopped in a position for a moment.<4>* - Sun Dec 13 00:43:28 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: .... - Sun Dec 13 00:43:28 2015
<br><br><font color=yellow>*Kaiser Ibbaki(Dillion13) had noticed how Hassan was obviously more durable than he had actually thought, something was wrong about this. It bugged Kaiser to the point of anger and he literally sprinted into the battle after the woman had begun to descend downward and head back onto the ground, a small little kick would've been headed toward her mid-section before another high kick had been focused upon the more general region of her face, Kaiser would've been hopefully able to land a few successful kicks that hopefully should've ended the spar.<5>

The fact that this woman was able to even withstand a kick toward her chin from this boy was absolutely amazing, due to the fact that he's worked so hard to become an expert in Taijutsu and was feared for his punch and kick combinations, attempting to strike her and end all of this.<6>* - Sun Dec 13 00:50:17 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Hiroshi you want to spar? - Sun Dec 13 00:59:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Can't right now. . .  - Sun Dec 13 01:01:23 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Why? - Sun Dec 13 01:02:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't want to talk about it right now Geo. - Sun Dec 13 01:02:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You know why. - Sun Dec 13 01:02:14 2015
<br><br><font color=yellow>*Kaiser Ibbaki(Dillion13) had been thrown after Hassan had gripped onto his leg, a surprised facial expression had been made ever since his technique had been caught onto. It was extremely weird for him to be made a fool like this, back in the academy Kaiser had been the star-pupil to everyone who was considered a teacher and now after graduating and becoming a Genin things had obviously changed to an extreme degree, he was chucked and caught himself after making contact with the floor.

A small bounce would've been made before he flipped in the air and slided his feet across the floor. As she could've anticipated, absolutely no damage had been taken from the toss that was inflicted toward him, picking himself up off the ground and sprinting foward. His speed had been reduced to a degree but that was all apart of the plan.

She was taking all of his attacks and dishing out more.* - Sun Dec 13 01:02:14 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Why can't you spar again Hiro? - Sun Dec 13 01:08:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I told you already. - Sun Dec 13 01:09:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm not repeating myself. - Sun Dec 13 01:09:04 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) whispers: (speed 13.9, attack speed 22.4, strength 20 still holding back) - Sun Dec 13 01:10:46 2015
<br><br><font color=yellow>*Kaiser Ibbaki(Dillion13) had been absolutely destroyed even after a strike or two had landed upon Kaiser's person. She was much faster than he had actually expected and it was a good thing that he grew up in Sunagakure because everyone here seemed to be immensely stronger than he actually thought, things were going to be tough for him but he needed to prevail and become even stronger than he already was due to the fact that Hassan was a beast compared to somebody like him. How long has she been pursuing Taijutsu? A year or two?<10>

It was good that Kaiser had been as good as the woman when he was her age, because if he continued to progress at a rapid rate then he would've possibly been as strong as her. The kick had connected with his chest and even with his iron-like skin the attack that collided against him had sent him flying backward in the opposite direction.<11>

His arms and legs were thrown into the air, before his vision had been shifted behind him and he once again had felt another strike connecting from behind in order to knock him down onto the ground, he was bruised up and most likely unable to fit.<12>

Due to the simple fac that Hassan had broken through his defense.<13>* - Sun Dec 13 01:15:02 2015
