<br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Mon Nov  2 23:36:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Youuu winnn... - Tue Nov  3 19:05:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hmm...You do need to get stronger. - Tue Nov  3 19:05:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Quite a bit stronger. - Tue Nov  3 19:05:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Here....I'm going to give you some Taijutsu techniques to practice. - Tue Nov  3 19:06:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay? - Tue Nov  3 19:06:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Okay.. - Tue Nov  3 19:08:09 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) would've suddenly busted out the Earth Dome with his bones once again, present and displayed to everyone in the area. He finally recovered his stamina within a minute or two and whilst he was doing that it gave him enough time to examine and figure out that this supposed 'dome' had a weak spot that was placed within it, was it on purpose? Did she try to get him out of there knowing that he wasn't capable of actually breaking it with his current strength? It didn't matter to him.

Kyubishu's clothes were tattered up and ripped from all of his bones popping out from his body. He didn't waste any time at all, he sprinted directly toward Lera while he guard was down, attempting to strike at her with his palm, which meant the bone would've cut her quite deep if she didn't move.* - Tue Nov  3 19:09:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (I can make vines come out of the ground with watermelons - Tue Nov  3 19:17:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (and bind people's feet i I want - Tue Nov  3 19:17:32 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) wasn't even scared. Not by one bit, he just simply raised another one of his bones up to the task in order to either block against Violet's attack or be cut off. And Kyubishu highly doubted that anyone abilities were good enough or having their sword strong enough to cut off his bones, because they were certainly strong as fuck. After he tried to block against the attack that came toward him, a counter-attack would've been due.

He attempted to throw a knee toward her and throw his left palm toward her, which both consisted of bones.* - Tue Nov  3 19:17:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (I can get carrots to - Tue Nov  3 19:19:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (and pineapple - Tue Nov  3 19:19:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (and more - Tue Nov  3 19:19:15 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) would've been sent backward, into the water. He drifted up and stopped there. "Enough. I'm done."* - Tue Nov  3 19:27:47 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Oh? Tired already... - Tue Nov  3 19:28:38 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You could say that. - Tue Nov  3 19:29:29 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Next time last alittle but longr for me~ - Tue Nov  3 19:29:29 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I wonder what Lera is doing later~ - Tue Nov  3 19:30:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well... - Tue Nov  3 19:30:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Throws a bunch of scrolls at Kyubishu. You learn them as well. - Tue Nov  3 19:31:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Leraaaaaaa~ - Tue Nov  3 19:34:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hmm? - Tue Nov  3 19:36:19 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) would've suddenly grabbed every scroll that was thrown toward him. Kyubishu had simply placed a few onto the ground and headed over toward a tree. He simply opened it and simply put his hed against a tree and begun to read a scroll, the title's name was 'Wire Bind' and it might've seemed quite easy from the name. But once he opened it, his mind became slightly fogged up and his mouth had dropped down.

It was an easy just but just required alot of effort, nothing he couldn't deal with.* - Tue Nov  3 19:44:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Nov  3 19:50:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Tue Nov  3 19:50:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: My my. - Tue Nov  3 19:50:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: You two continue learning. I'll take care of some....business. - Tue Nov  3 19:51:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Wow... - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-She..f-flew off.. - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Okay, then. - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Hi. - Tue Nov  3 23:17:20 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Hey - Tue Nov  3 23:25:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: How're you? - Tue Nov  3 23:30:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: It's borin'. - Tue Nov  3 23:38:40 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-Hey Momura... - Tue Nov  3 23:39:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: D-Did you hear? - Tue Nov  3 23:39:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Tue Nov  3 23:39:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm.... - Tue Nov  3 23:39:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: What are we going to do? - Tue Nov  3 23:39:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Tue Nov  3 23:40:22 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hear, about what? - Tue Nov  3 23:40:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I don't k-know. - Tue Nov  3 23:40:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mizukage-Senpai.. - Tue Nov  3 23:40:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-She's M-Mia.. - Tue Nov  3 23:40:22 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mizukage-senpai... - Tue Nov  3 23:41:13 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: T-There was an attack... - Tue Nov  3 23:41:13 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah. - Tue Nov  3 23:41:13 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I heard. - Tue Nov  3 23:42:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-What are we supposed to do now that she's dead? - Tue Nov  3 23:43:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I dunno.. - Tue Nov  3 23:43:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Lera taught me some jutsus..w-with scrolls.. - Tue Nov  3 23:43:47 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah. - Tue Nov  3 23:46:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmmm... - Tue Nov  3 23:51:28 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: There's....nothing we can do huh? - Tue Nov  3 23:51:28 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Shouldn't we try to find Mizukage-sama? - Tue Nov  3 23:51:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I a-asked.. - Tue Nov  3 23:53:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But they said no.. - Tue Nov  3 23:53:10 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-um... - Wed Nov  4 00:00:00 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: What should we do then? - Wed Nov  4 00:00:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I don't know. - Wed Nov  4 00:03:24 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: .... - Wed Nov  4 00:05:07 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: L-Let's go home for now. - Wed Nov  4 00:05:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright - Wed Nov  4 00:05:07 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: How'd we get bombed? - Fri Nov  6 04:08:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Who the fuck is that? - Fri Nov  6 04:09:10 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: ...what is she doing here? - Fri Nov  6 04:09:10 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Oh man... - Fri Nov  6 04:09:10 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) wasn't unaware of the situation.* - Fri Nov  6 04:10:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Kyubishu, Kirigakure. Why? - Fri Nov  6 04:10:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I just got back around here. - Fri Nov  6 04:12:35 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: What's going on? - Fri Nov  6 04:12:35 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Nothing. When are the rest of Kirigakure shinobi returning? - Fri Nov  6 04:12:35 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: No idea. I'm off on my own. I had no idea we evacuated, though. - Fri Nov  6 04:14:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I see. - Fri Nov  6 04:14:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Do me a favor and cross the bridge. I want to see if there is any fixing I have to do on this end of it. - Fri Nov  6 04:14:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I've been funding for some repairs. - Fri Nov  6 04:15:08 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) stared directly toward Ortho. "I see, you think I'm an imbecile, don't you? I have a feeling you're gonna have the bridge collaspe so I won't get back onto this side."* - Fri Nov  6 04:16:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Or you can be smart and swim across? Or.. walk across? - Fri Nov  6 04:16:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're a shinobi.. - Fri Nov  6 04:16:00 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Leaving a peasant girl to do your job. - Fri Nov  6 04:16:00 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) thrusted out his hand. "No. Wait, I'll do it."* - Fri Nov  6 04:16:51 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I've been waiting for hours. - Fri Nov  6 04:16:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Please tell me. . .I won't have to lead people like him. - Fri Nov  6 04:16:51 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) suddenly shook his head. Kyubishu didn't trust this at all, he didn't know of Ortho but he heard about him after The Mizukage had died. A sudden cross was made for the bridge, being very cautious of his surroundings.* - Fri Nov  6 04:17:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oi, stop. - Fri Nov  6 04:18:33 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) came to a sudden halt. "Yeah?"* - Fri Nov  6 04:18:33 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: So you never went to Sunagakure with the rest of Kirigakure? - Fri Nov  6 04:19:24 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nah. After looking around in the village, I just became aware of everything and looked at the signs that we were supposed to head to Sunagakure. - Fri Nov  6 04:20:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: Do they think I'm a traitor or a spy? - Fri Nov  6 04:20:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh. So the person that killed the Mizukage was never caught? - Fri Nov  6 04:21:07 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I've got no clue. - Fri Nov  6 04:21:07 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: They have no lead? - Fri Nov  6 04:21:07 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: No idea. I wouldn't know, I'm just a Genin. Not really informed of all that stuff. - Fri Nov  6 04:21:58 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Thaenan, you know anything about The Mizukage's killer? - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nope. - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh, man. I was willing to pay a few million to anyone that could give me some information. - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But eh, you're not that guy. - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah, sorry. But seriously, are you like. Tryin' to bribe me? - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Bribe you? No. Hustle you for free information, yeah. - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But hey, can you swim? - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Last I heard, Katsune killed the Mizukage. - Fri Nov  6 04:24:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: She was messing around with Index, then bam. - Fri Nov  6 04:24:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Killed the Mizukage dead. - Fri Nov  6 04:24:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Does it really matter if I can swim? I feel like it does though. Also, Katsune? Never heard the name. - Fri Nov  6 04:25:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh.. Oh well. - Fri Nov  6 04:26:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Well tell you what. - Fri Nov  6 04:26:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: If you don't know how to swim, I'll teach you an alternative. - Fri Nov  6 04:26:14 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ............I feel like, I'm not gonna like this. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It's a technique called Sui- - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Eh? - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Why not? - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Because, I'm very warry of others. I don't really trust anyone. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh, alright. Nevermind then. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nah, continue. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No point in teaching you. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No, no. Nevermind. - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: First come, first serve. - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: ... - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'll have to learn to deal with it, if I am correct. You used to live in our village, right? - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I lived here for a few days. - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Ehh, maybe next time I'll teach you. - Fri Nov  6 04:28:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Sure. I should probably head toward Sunagakure, anyway. It's gonna be a little trip from here. - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright, cool. Do me a favor when you get there. - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Mhm? - Fri Nov  6 04:29:39 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) suddenly shook his head after he was given directions. "Alright, got'cha. Which direction is Sunagakure from here?"* - Fri Nov  6 04:31:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Straight west. - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It's the big sandbox. - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Alright. I'm off. - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Also.. if they asked who told you this.. - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah..? - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: ... - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Tell them Seisuke did. - Fri Nov  6 04:33:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Seisuke, got it. - Fri Nov  6 04:33:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Let them know I came back from the Gezo Empire. - Fri Nov  6 04:33:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I was healed and what not. - Fri Nov  6 04:33:04 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) would've took off in a blinding sprint, which was actually about average speed.
"Alright!"* - Fri Nov  6 04:33:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Woah. - Fri Nov  6 04:38:11 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Lera? - Fri Nov  6 04:38:11 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I've got some important news. - Fri Nov  6 04:38:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: News? - Fri Nov  6 04:39:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yup, Seisuke. - Fri Nov  6 04:39:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: Excuse me? - Fri Nov  6 04:39:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: He wanted me to give it to you, or you guys. - Fri Nov  6 04:39:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: Seisuke is dead. - Fri Nov  6 04:39:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: H- what? - Fri Nov  6 04:39:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: He said, Katsune found out Kirie was getting involved with Index, then Katsune decided to kill The Mizukage. - Fri Nov  6 04:40:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Also, no he isn't. - Fri Nov  6 04:40:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: He just came back from Gezo Empire. - Fri Nov  6 04:40:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: He was healed and what not. - Fri Nov  6 04:40:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* You've likely been duped. - Fri Nov  6 04:41:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Duped..? - Fri Nov  6 04:41:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Seisuke died a long time ago....I was his...fiance. - Fri Nov  6 04:41:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: The blade I wield was his. - Fri Nov  6 04:41:36 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) stepped backward in shock. "F-Fiance?!"* - Fri Nov  6 04:41:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes.. - Fri Nov  6 04:41:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: So you see...he can't be alive.. - Fri Nov  6 04:43:18 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Someone seriously has something against Katsune... - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I wonder where everyone else is. - Sat Nov  7 04:01:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? One moment.. - Sat Nov  7 04:01:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's up, Bryson? - Sat Nov  7 04:06:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi and Izutora doing well? - Sat Nov  7 04:06:11 2015
<br><br><font color=teal>*Reguel(Airide) says: ...Someone explain to me what's going on. What happened with those two? - Sat Nov  7 04:06:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Brother Yan, everyone is on edge lately - Sat Nov  7 04:06:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's been odd times. Care to fill me in? - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>*Reguel(Airide) says: Yeah same here. - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: o-on edge? - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>*Reguel(Airide) says: Yes, Paine. - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: t-they were...o-on e-edge? - Sat Nov  7 04:07:53 2015
<br><br><font color=teal>*Reguel(Airide) says: Are you taking 'on edge' literally? - Sat Nov  7 04:07:53 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: a-am i n-not s-sopost t-too - Sat Nov  7 04:07:53 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: ? - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Reguel(Airide) says: No! - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *was waiting on Kuros response really* - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Where is everyone from Kirigakure? - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: o-oh.. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Reguel(Airide) says: Not here. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: They were called back and have returned. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: They went back? - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Reguel(Airide) says: Clearly. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Oh, alright. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: A new Mizukage has claimed the thrown. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I should head back then. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hey, Inobu. - Sun Nov  8 15:25:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Who took over the new position as Mizukage? - Sun Nov  8 15:25:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hello, Mizukage. - Sun Nov  8 17:09:58 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Am I interrupting anything? - Sun Nov  8 17:09:58 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: .  . - Sun Nov  8 17:09:58 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Actually. - Sun Nov  8 17:09:58 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm in the middle of a conversation. - Sun Nov  8 17:09:58 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) would've simply removed himself from the equation. "I'll wait for awhile then. I'll be over there." Kyubishu had picked himself up and gotten out of their way, heading over toward a distant table. He didn't trust this 'new' Mizukage and had a few questions to ask.* - Sun Nov  8 17:12:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Ah, Mizukage. I have some questions for you. - Sun Nov  8 17:38:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'm Kyubishu. - Sun Nov  8 17:38:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: But, uh. - Sun Nov  8 17:38:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Did you know the previous Mizukage? - Sun Nov  8 17:38:59 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Of course. - Sun Nov  8 17:39:50 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Good, good. Now, what do you specialize in? - Sun Nov  8 17:40:41 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I don't believe that's any of your business. - Sun Nov  8 17:40:41 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: But if you must know. - Sun Nov  8 17:40:41 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I don't specialize in anything. - Sun Nov  8 17:40:41 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Sorry for prying in your buisness. - Sun Nov  8 17:53:29 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: The previous Mizukage was about to devote her time to train me. - Sun Nov  8 17:53:29 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: But then, she passed. - Sun Nov  8 17:53:29 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I know. - Sun Nov  8 17:53:29 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: She was going to devote her time to train everyone. - Sun Nov  8 17:53:29 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm sorry to say, I cannot pick up where she left off. - Sun Nov  8 17:54:20 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I never expected you too, that's alot to ask. - Sun Nov  8 17:54:20 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Mhm. - Sun Nov  8 17:54:20 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'll see you around, Lord Mizukage. - Sun Nov  8 17:55:12 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) le dipped.* - Sun Nov  8 17:55:12 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Where is everyone? - Sun Nov  8 19:29:55 2015
<br><br><font color=teal>*Takuma(Sisbro55) says: Saw some people at the mansion. - Sun Nov  8 19:30:46 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: People? Like? - Sun Nov  8 19:35:02 2015
<br><br><font color=teal>*Takuma(Sisbro55) says: Two. One looked white, one looked light skin. Don't know their names. - Sun Nov  8 19:35:02 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Mm. - Sun Nov  8 19:42:43 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'll go check it out, if I remember where it is. - Sun Nov  8 19:42:43 2015
<br><br><font color=teal>*Takuma(Sisbro55) says: Alright, - Sun Nov  8 19:42:43 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hey, Jirun.. - Sun Nov  8 19:43:34 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: YOU!.. why aren't you in Suna? - Sun Nov  8 20:02:20 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Uh, why would I be? - Sun Nov  8 20:10:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I just traveled back. - Sun Nov  8 20:10:52 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Get out of here! - Sun Nov  8 20:19:24 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You're going to die, get back. - Sun Nov  8 20:20:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: W-Why?! - Sun Nov  8 20:21:07 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I feel like you're lying to me. - Sun Nov  8 20:21:07 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I just spoke with The Mizukage, she never said anything. - Sun Nov  8 20:21:07 2015
