<br><font color=teal>*Hiroshi(Marchie15) thinks: I got chakra for days~ *nods* - Fri Dec  4 19:39:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Take him to jail or whatever, and like interrogate him. He can't really move ith this receiver in his body. - Sat Dec  5 07:56:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Very good. I'm proud at how brave you were -- same with you, Mitsunara. - Sat Dec  5 07:57:26 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ohh can I help with the intergation. - Sat Dec  5 07:58:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We're not torturin', people. - Sat Dec  5 07:59:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And it's up to Koji to decide. He's captain. - Sat Dec  5 07:59:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Aunt Lera! - Sat Dec  5 08:00:51 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhmmm? - Sat Dec  5 08:00:51 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Come let me show you my cool stuff. - Sat Dec  5 08:01:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I guess.. - Sat Dec  5 08:01:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Lead away - Sat Dec  5 08:01:42 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'll be there in a few. - Sat Dec  5 08:05:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Thanks for the back up, though. - Sat Dec  5 08:11:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ....... - Sat Dec  5 08:13:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm> - Sat Dec  5 08:14:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: > - Sat Dec  5 08:14:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ?* - Sat Dec  5 08:14:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It's nothing. - Sat Dec  5 08:14:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: 'Course it is. - Sat Dec  5 08:14:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: No. - Sat Dec  5 08:15:21 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I like your hair! - Sat Dec  5 08:17:55 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Scuse me! - Sat Dec  5 08:18:46 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... - Sat Dec  5 08:18:46 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Or not! - Sat Dec  5 08:23:53 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Oh well! - Sat Dec  5 08:23:53 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Hello again! - Sat Dec  5 08:34:59 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Can I get a job! - Sat Dec  5 08:35:50 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: A. .job? - Sat Dec  5 08:35:50 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Mhmm! - Sat Dec  5 08:37:32 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I am a Fuuinjutsu user! - Sat Dec  5 08:37:32 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I can help move heavy loads and other things like that! - Sat Dec  5 08:38:24 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Honestly - Sat Dec  5 08:42:40 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: The Kazekage seems to busy kicking enemy shinobi butt and dealing with his personal life. . He dosen't seem to have a whole lot of time for low level shinobi you know? - Sat Dec  5 08:43:31 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'd suppose. - Sat Dec  5 08:46:04 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Although. . .What other services can you supply? - Sat Dec  5 08:46:04 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Right now all I can do is Fuuinjutsu, and I don't want to become a blacksmith. . and honeatly, I don't want money. .  - Sat Dec  5 08:46:56 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I just want something to do. .  - Sat Dec  5 08:46:56 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I suppose. I'll consider you? - Sat Dec  5 08:50:20 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Just give me a job to prove my worth! - Sat Dec  5 08:52:03 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: The job in question would just be you checking inventory, and being a cashier for the shop. - Sat Dec  5 08:52:03 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I could likely do that! - Sat Dec  5 08:52:54 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Of course. - Sat Dec  5 08:52:54 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: What even is your name? - Sat Dec  5 09:04:00 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Hello Lady Mirai. .  - Sat Dec  5 09:18:30 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Hello Lord KAzekage. .  - Sat Dec  5 09:18:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hello. - Sat Dec  5 09:18:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hi. - Sat Dec  5 09:18:30 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Lord Kazekage. . I have not been able to locate mis Ai. .  - Sat Dec  5 09:20:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: She probably went to bed. - Sat Dec  5 09:22:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And yes, Kaiko. . ? I'll refer Ai to you. She's a chunnin now. - Sat Dec  5 09:37:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So she'll take on more responsibility. - Sat Dec  5 09:37:16 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Very well Lord. .  - Sat Dec  5 09:38:08 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I am sorry for being a bother. .  - Sat Dec  5 09:38:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Never said you were. - Sat Dec  5 09:38:08 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Oh! - Sat Dec  5 09:38:59 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Do. . Do you have any Uzumaki scrolls?  - Sat Dec  5 09:39:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uzumaki scrolls? - Sat Dec  5 09:41:32 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: MHmm. .  - Sat Dec  5 09:43:15 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I overheard someone saying lord Fuji had the Former lord kazekage gather some. .  - Sat Dec  5 09:43:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No idea what that is. - Sat Dec  5 09:43:15 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Alright. .  - Sat Dec  5 09:44:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Can you explain their function? - Sat Dec  5 09:44:06 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Dunno!  - Sat Dec  5 09:44:06 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I just know that is has something to do with Fuuinjutsu! - Sat Dec  5 09:44:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll look into it. - Sat Dec  5 09:47:31 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Thank you! - Sat Dec  5 09:53:29 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hey, thanks for coming out today. Not alot of peopl come to the front line - Sat Dec  5 09:55:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Koji. - Sat Dec  5 09:55:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I was literally hoping for a chance to fight. - Sat Dec  5 09:55:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: A day where I get to take a life? That's a /great/ day. - Sat Dec  5 09:55:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mmm, it's a pain for me to take a life.. even a wasted one.But I'm young.. - Sat Dec  5 09:57:45 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Yan.. You may be gone but your rent aint. RIP my brother..  - Sat Dec  5 10:01:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Look at all these poor plebs...ahhh its good to be rich. - Sat Dec  5 10:01:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah, well.. - Sat Dec  5 10:02:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Anyway.. now what, I guess? - Sat Dec  5 10:04:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hrmmm... - Sat Dec  5 10:04:35 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Sat Dec  5 10:15:40 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Hey Lera! Will you teach me the shadow clone? - Sat Dec  5 10:21:39 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hrm? Maybe later. - Sat Dec  5 10:22:30 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: MMkay - Sat Dec  5 10:22:30 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Can anoyone here teach me anything? - Sat Dec  5 10:22:30 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Also, i am willing to seal stuff away for people! - Sat Dec  5 10:23:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ..ah.. - Sat Dec  5 10:23:21 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hmm...I think I'll go take a nap. - Sat Dec  5 10:36:09 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: See you guys later. - Sat Dec  5 10:36:09 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yeah.... Night.. - Sat Dec  5 10:36:09 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Kaiko by the way - Sat Dec  5 10:41:16 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: My name is Kaiko - Sat Dec  5 10:41:16 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Pleasure. - Sat Dec  5 10:42:59 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: What made you want to be a shinobi? - Sat Dec  5 10:43:50 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Honestly? I wanted to become useful. - Sat Dec  5 10:48:06 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I've always been book smart. . but what with all the attacks and so many dieing. . It was just time to actually make an effort . .  - Sat Dec  5 10:48:57 2015
<br><br><font color=teal>*Regalado, Kai(Rigaho) says: Gang. - Sun Dec 13 20:32:09 2015
