<br><font color=teal>*Higashi, Nori(Shawn45) says: Why? - Sun Nov  8 01:01:26 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Ehh. . A few seconds ago. - Wed Nov 11 01:01:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It went through tough times.. - Wed Nov 11 01:01:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Much of which I'm sure you're already aware of. - Wed Nov 11 01:01:52 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Yeah. . . - Wed Nov 11 01:03:34 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I still haven't learned much of Kirigakure since myfirst meeting though. - Wed Nov 11 01:10:24 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Wha'? - Wed Nov 11 01:45:23 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Can't find her. Can you? - Wed Nov 11 01:55:37 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Nope. - Wed Nov 11 01:59:02 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Looks like we're being forced to squat again. - Wed Nov 11 02:01:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Or stay at your parents. - Wed Nov 11 02:01:36 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I remember reading a saying in a book once. - Wed Nov 11 02:05:00 2015
<br><br><font color=teal>*Yumiko(Ekario) says: It goes "you really want to commit suicide don't you?" - Wed Nov 11 02:06:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Squatting it is. - Wed Nov 11 02:08:25 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Is her parents that bad? - Wed Nov 11 02:16:06 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Wanna know how I met him? - Wed Nov 11 02:21:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Met who? - Wed Nov 11 02:28:03 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I was asking Nori if she wanted to know how I met you since she asked about my parents. - Wed Nov 11 02:28:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Ah. - Wed Nov 11 02:28:03 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Sure. - Wed Nov 11 02:30:36 2015
<br><br><font color=teal>*Yumiko(Ekario) says: They were arguing to the point I snuck out and spent the night out on the streets and came back during the day for sleep.  - Wed Nov 11 02:32:19 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hmm. - Wed Nov 11 02:33:10 2015
<br><br><font color=teal>*Yumiko(Ekario) says: And one of those nights I met him. - Wed Nov 11 02:34:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. I was getting ready to do my missions for the day. - Wed Nov 11 02:35:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Cleaning up trash. Digging a hole. - Wed Nov 11 02:35:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Filling a hole. - Wed Nov 11 02:35:44 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Not falling in a hole. - Wed Nov 11 02:44:16 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Most difficult part. - Wed Nov 11 02:44:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Things were coming together before Kirie's death. - Wed Nov 11 02:46:49 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I'm not sure if it will without a leader. - Wed Nov 11 02:46:49 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mmm. - Wed Nov 11 02:53:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Lets find a place. - Wed Nov 11 02:54:30 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Yeah.. - Wed Nov 11 02:56:12 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Right. . - Wed Nov 11 03:13:16 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) finds a house in the more rundown side of town. It'd be unlocked and show obvious signs of not being actively used as a house. Such as not having any sort of family pictures or portraits. Or not having any food in the fridge. Or anything in the garbage at all. And nothing of entertainment value.

Strangely enough it'd retain water and electrical functions, however. 

"Alright. How about this?"* - Wed Nov 11 03:32:54 2015
<br><br><font color=teal>*Yumiko(Ekario) says: This is...this is nice.~ - Wed Nov 11 03:37:10 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Far more spacious than in Konoha. - Wed Nov 11 03:45:42 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Yes it is.~ - Wed Nov 11 03:49:07 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Only one bed. - Wed Nov 11 03:55:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You two fine with sharing? I'll take the couch. - Wed Nov 11 03:55:56 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Big. . place. . - Wed Nov 11 03:59:21 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: When we meet with the Mizukage I'll see about purchasing this land. - Wed Nov 11 04:01:04 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Yeah... - Wed Nov 11 04:01:55 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. Nori, need any help with research at the moment? - Wed Nov 11 04:02:46 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Eh. . No. To be honest I haven't touched it yet since you gave me the stuff..  So not at the moment. . Thanks, by the way. - Wed Nov 11 04:05:20 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I'll keep you posted though. - Wed Nov 11 04:13:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Alright.  - Wed Nov 11 04:19:50 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I. .  - Wed Nov 11 04:26:40 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I feel so weird. . - Wed Nov 11 04:26:40 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: This place is so big. . - Wed Nov 11 04:26:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Eh? - Wed Nov 11 04:28:22 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I've never seen a house this good looking before. . Is what I'm trying to say.  Kumogakure only had small huts and the houses in Konohagakure were. . . better, but still only a tad bit small. - Wed Nov 11 04:29:13 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: This place is just. . - Wed Nov 11 04:30:04 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) 's normally moody look cracked out into a smile. "It's not that big," the child says, a small laugh moving to escape him. "I've seen bigger.."* - Wed Nov 11 04:34:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: My Uncle Hideki's place.. - Wed Nov 11 04:50:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: He had a lot in Kumo. - Wed Nov 11 04:50:33 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: A lot of houses? - Wed Nov 11 04:50:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: No. No. A lot of space. - Wed Nov 11 04:54:49 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: In his house. It was..large. - Wed Nov 11 04:54:49 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I stayed with him after... - Wed Nov 11 04:55:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I stayed with him for a time. - Wed Nov 11 04:55:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: A lot of rooms. A lot of bedrooms. - Wed Nov 11 04:55:40 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Wow. . . - Wed Nov 11 04:59:56 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I see. - Wed Nov 11 05:00:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Was your families house small, Nori? - Wed Nov 11 05:04:12 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: In Kumogakure, like I said it was like a hut. One bedroom, one bathroom, and a small portable stove that was used in the middle of the living room table. - Wed Nov 11 05:08:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Right.I remember a lot of families had that type of set up. - Wed Nov 11 05:11:02 2015
<br><br><font color=teal>*Yumiko(Ekario) says: That's pretty bad. - Wed Nov 11 05:13:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Wed Nov 11 19:21:48 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Yo...Mizukage, with your permission, I'd like to travel around to other villages. - Wed Nov 11 19:25:13 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Wed Nov 11 19:26:04 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: And why is that? - Wed Nov 11 19:26:04 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: So I can sell some scrolls I have in my inventory. - Wed Nov 11 19:27:47 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Make a profit. - Wed Nov 11 19:27:47 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Wed Nov 11 19:27:47 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: Baller. - Wed Nov 11 19:28:38 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: The village is basically deserted anyway. - Wed Nov 11 19:28:38 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Yo. - Wed Nov 11 19:29:29 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Real quick. - Wed Nov 11 19:29:29 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: I need some cash for this caravan. - Wed Nov 11 19:29:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Wed Nov 11 19:29:29 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Wed Nov 11 19:29:29 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) reached into his backpouch and handed the nigga some money. Twenty thousand in total.* - Wed Nov 11 19:29:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Heiwa. - Wed Nov 11 19:31:12 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Names Hachirou. - Wed Nov 11 19:31:12 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Well, See ya. - Wed Nov 11 19:31:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Mizukage, have missions come back into circulation? - Wed Nov 11 19:32:03 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Of course. - Wed Nov 11 19:32:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Could I have a few for the day? - Wed Nov 11 19:32:54 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Sure. - Wed Nov 11 19:32:54 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) grabbed them. "Thank you," With them in hand he'd begin to leave the area heading out to complete them as soon as he came in.* - Wed Nov 11 19:35:28 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: GANK THIS NIGGA - Thu Nov 12 01:08:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: KILL HIM! - Thu Nov 12 01:08:16 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: omit - Thu Nov 12 01:08:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: -- - Thu Nov 12 01:08:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: This place is almost as empty as Sunagakure. - Thu Nov 12 01:08:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: -- - Thu Nov 12 01:08:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: Kumogakure. - Thu Nov 12 01:09:07 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Uh? - Thu Nov 12 01:43:15 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You guys gonna go? - Thu Nov 12 04:08:19 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Yes. - Thu Nov 12 04:08:19 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) nodded, his gaze turning to Yumiko. "Shall we then?" As he said so he'd offer his hand out for her to take.* - Thu Nov 12 04:14:17 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) steps up to the academy, Yumiko following beside him with her right hand interlocked with his left. As they made a position infront of him he'd disentangle himself from the joining before taking several steps to the side making some more room. 

Onyx eyes would glance around at the area, looking to see if anyone else was here. <Are we early..?>* - Thu Nov 12 04:17:42 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm back. - Thu Nov 12 04:24:32 2015
<br><br><font color=teal>***Mizukage**(Wynokx) says: Welcome back. - Thu Nov 12 04:25:23 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Can I ask what you're doing. . ? - Thu Nov 12 04:25:23 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) crooked his head back, hearing the voice he remembered to be the actual mizukage. And then the reply from someone who, presumably, hadn't held his same voice. Either way - it was enough to get him at least a bit concerned over that whole thing.

Heiwa takes a quick couple steps back so as to keep both of them within his site before anything actually ends up going down. He'd sort of play a witness at the moment curious of what was happening.* - Thu Nov 12 04:27:05 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Wow. We come back right as the power vacuum starts and the trouble begins. - Thu Nov 12 04:30:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: I thought the month away from the village would be enough.. - Thu Nov 12 04:30:30 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) echoed Yumiko. Nigga was seven like her - he was gonna just sit this shit out far farther away.* - Thu Nov 12 05:20:51 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: BY ME.0 - Thu Nov 12 06:25:42 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: -omit- - Thu Nov 12 06:25:42 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Aww.. - Thu Nov 12 06:28:16 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: omit - Thu Nov 12 06:28:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Suitengu's jutsu.. - Thu Nov 12 06:30:49 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: It's far weaker than his, though. - Thu Nov 12 06:30:49 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: . . . . . . - Thu Nov 12 06:35:05 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Why are you leaving. - Thu Nov 12 06:35:05 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: As the boy said. - Thu Nov 12 06:35:56 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I was never legitimate. - Thu Nov 12 06:35:56 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I simply did what I could. - Thu Nov 12 06:35:56 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: It's weighed on me enough for now, and I have other things to do. - Thu Nov 12 06:35:56 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Ortho requires me elsewhere anyway. - Thu Nov 12 06:35:56 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Tch.. - Thu Nov 12 06:36:48 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: How useless.. - Thu Nov 12 06:36:48 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Regardless. - Thu Nov 12 06:36:48 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I don't belong here. - Thu Nov 12 06:36:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: So he was a pawn of Ortho. I guess it's good it ended with him not being in control. - Thu Nov 12 06:36:48 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: If I did, I wouldn't have been attacked. - Thu Nov 12 06:36:48 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I obviously wasn't doing a good enough job. - Thu Nov 12 06:37:39 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: ..That's more like it. - Thu Nov 12 06:43:37 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) watched the proceeding bits of the fight, taking as much information from all of this as he could. Various tid-bits of the information was further focused on by the child, namely including the bits about Ortho's involvement in all of this. If Jehan died it'd mean likely another invasion by Ortho. But if Ortho was allowed free understanding and knowledge about Heiwa being in Kirigakure there was no chance for it to grow into a sovereign state.

As the attack from Jehan went out Heiwa remained initially unsure of whether to jump in or not, but the added potential help from Hachirou was enough for him. A quick hand is sent darting over to his backpouch slinging out a dark, blackened edge as the child quickly stands up on his toes making a dash towards the area the Mizukage was just previously held in. It'd be a considerable blur to any person casually watching him, his foot steps being a tell tale sound of his movement. 

It'd be sent moving towards the mass of tentacles and tendrils, but instead of running directly into the mass Heiwa would make a surprising and considerable leap across it. Using the kunai that he previously had pulled out he used that as a stepping platform to quickly gain further air and leap higher and over the mass of blackness. As he landed it'd be on his feet, his toes twisting off to the side with the child facing far closer to the group with a peripheral vision on how the Mizukage and the tentacles were being handled. * - Thu Nov 12 07:02:24 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) quickly brought both of his hands up to his chest, the child following the movements of Jehan most carefully. He was being ignored - but perhaps his feint had worked for the swordsman. A simple rotation of hand seals, the first two being started as his eyes scanned across to find the swordsman that he was looking for. It'd be somewhat brutal of an action to perform, but if he had to manipulate him he was ready to do so.

But before the final hand seal were made and his chakra was expanded out from him Hachirou's own attack had suddenly occurred. Whether the outcome it was clear and plain that, frankly, his assistance wasn't even necessary. The child holds the second seal, not yet finishing in the crafting of his jutsu until everything was fully seen. Mostly, however, he was a bit caught off guard from it all.* - Thu Nov 12 07:16:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: ..Damn. - Thu Nov 12 07:23:44 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: . . . . . . . - Thu Nov 12 07:27:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Thu Nov 12 07:28:00 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: ....*Sweatdrop* - Thu Nov 12 07:28:00 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Rewards...All of you... - Thu Nov 12 07:28:00 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) took a few steps back and away from that initially. He'd still not want Liu to die, of course, but he also wanted at least some reactionary time against a monster. These niggas are savage as fuck here, and Heiwa knows this.* - Thu Nov 12 07:28:51 2015
<br><br><font color=teal>*Yumiko(Ekario) thinks: That was scary to even watch.... - Thu Nov 12 07:28:51 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..... - Thu Nov 12 07:29:42 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) took another few steps back. Nope.* - Thu Nov 12 07:29:42 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: W-wait...We need to stu-*cough* Study that. - Thu Nov 12 07:29:42 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: Die. - Thu Nov 12 07:29:42 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: Die. - Thu Nov 12 07:29:42 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: Die. - Thu Nov 12 07:29:42 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: Die. - Thu Nov 12 07:29:42 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: I'm not aware of one...But you will be paid for your service to your village. Thank you. - Thu Nov 12 07:32:16 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: What for. - Thu Nov 12 07:32:16 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: I'm going to make a log of this...I'm going to make sure that you're rewarded for your actions here today... - Thu Nov 12 07:34:49 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Names Menoetius. - Thu Nov 12 07:34:49 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: That's a lie..is he.. - Thu Nov 12 07:37:23 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ....Ryuzaki. - Thu Nov 12 07:37:23 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: ...I can't seem to find your names in the ledger...Ugh..I guess I have to start a new account for both of you. Hope you didn't have any missions complete before now. They'll be gone from the records... - Thu Nov 12 07:38:14 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: This faggot didn't even give us a single mission to begin with. - Thu Nov 12 07:39:05 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .. - Thu Nov 12 07:39:05 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Try for 'Heiwa' - Thu Nov 12 07:39:56 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Really? He gave out missions regularly...Alright then...Ryuzaki and....Men- Heiwa? Alright. - Thu Nov 12 07:39:56 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: His last name is Uchiha - Thu Nov 12 07:39:56 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: omit - Thu Nov 12 07:39:56 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: ...Yo... - Thu Nov 12 07:40:48 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: B rank? - Thu Nov 12 07:40:48 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: I want to be speical. - Thu Nov 12 07:40:48 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) blinks, accepting the money. Part of him though, off of habit, would take a bit of a close look at the ryo making sure some nigga didn't put explosive tags on the bank notes. THESE NIGGAS ARE SAVAGE, AIGHT? Assuming so, he'd continue holding onto the money without any further problem.

"Uh - Thank you." Assuming, of course, no shenanigans with the bank notes he'd nod and bow his head lightly, a polite gesture made from Heiwa's upbringing. You didn't slouch around Ushinawa.* - Thu Nov 12 07:43:21 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Very well... - Thu Nov 12 07:44:12 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: And..Menos Grande was it? - Thu Nov 12 07:44:12 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Menoetius  - Thu Nov 12 07:44:12 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Ah...Because your name isn't in the ledger...I cannot pay you..I'm sorry. I'll have to send for an update to the ledger..It could take something like six months. - Thu Nov 12 07:44:12 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: ---- - Thu Nov 12 07:45:04 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: ....I don't think you understand.. - Thu Nov 12 07:45:04 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: You said there would be payment.. - Thu Nov 12 07:45:04 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: And I expect there..To be payment. - Thu Nov 12 07:45:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: I hope this doesn't escalate to another B rank mission.. - Thu Nov 12 07:45:04 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: You want me to try under another name? - Thu Nov 12 07:45:04 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Why not just toss the ryo over here. - Thu Nov 12 07:45:55 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: I will as soon as the Ledger is updated...Honestly. I want to pay you right now..But I cannot until you tell me your real name, assuming you gave me a false one like Heiwa here. - Thu Nov 12 07:46:46 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: I gave you a false one, for my own protection. I don't even know who you are, and from what I've seen, you seem to wield a rather, strange ability. - Thu Nov 12 07:46:46 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: I want the payment...Here and now.. - Thu Nov 12 07:46:46 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Try under Hachirou. - Thu Nov 12 07:47:37 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: --- - Thu Nov 12 07:47:37 2015
<br><br><font color=teal>*Hachirou(Assassin241) thinks: ......This kid is next. - Thu Nov 12 07:47:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Bring it mate. - Thu Nov 12 07:47:37 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: And please...Forgive Heiwa for his transgressions...I don't intend to cause you any harm...And my ability is simply a special sort of elemental chakra. - Thu Nov 12 07:51:02 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: What can it do. - Thu Nov 12 07:51:02 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Burn and Stun.  - Thu Nov 12 07:51:53 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: .....I see.. - Thu Nov 12 07:51:53 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) thinks: For now...Damn dirty ape... - Thu Nov 12 07:51:53 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Yes...Anything else you'd like to know? - Thu Nov 12 07:52:44 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Yeah.... - Thu Nov 12 07:52:44 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: What dat mouf do. - Thu Nov 12 07:52:44 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: omit - Thu Nov 12 07:52:44 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: So, you can burn...And stun.... - Thu Nov 12 07:53:36 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: ...Only with certain jutsu and not at the same time.. - Thu Nov 12 07:53:36 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: Good to know.. - Thu Nov 12 07:54:27 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Aye...Now...If you'd all excuse me...We can take care of this meeting later...Please...Bury the body..I need to rest. - Thu Nov 12 07:57:00 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Actually... - Thu Nov 12 07:57:00 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: I'd like Heiwa and Hachirou to accompany me to Sunagakure in a few days. - Thu Nov 12 07:57:00 2015
<br><br><font color=teal>*Hachirou(Assassin241) says: . . . . .Sure. - Thu Nov 12 07:57:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..To Sunagakure? - Thu Nov 12 07:57:52 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Yes. It will be a C rank Escort mission. - Thu Nov 12 07:57:52 2015
<br><br><font color=teal>*Yumiko(Ekario) says: ... - Thu Nov 12 07:57:52 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mind if I tag along? - Thu Nov 12 07:57:52 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: While I am gon- - Thu Nov 12 07:57:52 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: .... - Thu Nov 12 07:57:52 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: Who are you exactly? - Thu Nov 12 07:58:43 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Yumiko. - Thu Nov 12 07:58:43 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: And why exactly did you simply sit back and watch while I was attacked and nearly killed? - Thu Nov 12 07:59:34 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Two people claiming to be kage didn't know who to support until Ortho's name was thrown into it. - Thu Nov 12 08:02:08 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: I see...Very well. - Thu Nov 12 08:02:08 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: You may come.. - Thu Nov 12 08:02:59 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: But for now.. - Thu Nov 12 08:02:59 2015
<br><br><font color=teal>*Liu Mengde(Wynokx) says: I need rest... - Thu Nov 12 08:02:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ,,,' - Thu Nov 12 08:04:41 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: That was gorey. - Thu Nov 12 08:04:41 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Yeah. - Thu Nov 12 08:07:15 2015
