<br><font color=teal>*Tengoku(Punka) thinks: Oi.~ A mock mission encounter? - Tue Dec  1 03:18:24 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Uhhh. . . .. A crazy guy holding a pick axe and chasing kids? - Thu Dec  3 06:59:24 2015
<br><br><font color=teal>*Yumiko(Ekario) says: No, but if you don't be serious I'll put you in chains. - Thu Dec  3 07:01:58 2015
<br><br><font color=teal>*Yumiko(Ekario) thinks: Is that a reward or punishment for her? With how she was last time. - Thu Dec  3 07:01:58 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . I was being serious? - Thu Dec  3 07:09:39 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Nice drawing by the way. - Thu Dec  3 07:10:30 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Thanks. - Thu Dec  3 07:12:12 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Anyways Heiwa-kun explain please. - Thu Dec  3 07:12:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The Gezo. - Thu Dec  3 07:15:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Are we..positive she'd even be able to handle this? - Thu Dec  3 07:16:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I presume you know about them. The ones above most others. - Thu Dec  3 07:16:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: They're the ones profitting from all of this conflict. - Thu Dec  3 07:17:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: They choose to do nothing to stop it - and further more often instigate it if it will make them money. - Thu Dec  3 07:17:20 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Ryo slaves. - Thu Dec  3 07:21:36 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: So. . - Thu Dec  3 07:26:43 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: All the stuff that has happened. From Ortho antagonizing us to this Edge person messing up Kumogakure has been because of them supplying them? - Thu Dec  3 07:27:34 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: If not directly supplied - Thu Dec  3 07:30:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: At the least they have been allowed to do such. - Thu Dec  3 07:30:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: They hold a lot of power, and they intentionally keep it in such a way to keep us in this state of conflict. - Thu Dec  3 07:31:50 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . I see. . .  - Thu Dec  3 07:33:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...We trust you, Nori. - Thu Dec  3 07:34:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And we can't do this alone. - Thu Dec  3 07:34:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Are you willing to help us? - Thu Dec  3 07:34:24 2015
<br><br><font color=teal>*Yumiko(Ekario) thinks: Hmmm. - Thu Dec  3 07:35:15 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: The faces of the boogieman told Ortho and Edge what to do. They messed up Kumogakure. - Thu Dec  3 07:36:57 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Meh, I got five minutes.*omit* - Thu Dec  3 07:37:48 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Sure. - Thu Dec  3 07:37:48 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: It gives me something to do other than just being a medic, you know? - Thu Dec  3 07:37:48 2015
<br><br><font color=teal>*Yumiko(Ekario) says: The picture will be put on our body. Using head bands will give us away to fast. - Thu Dec  3 07:45:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..I see. - Thu Dec  3 07:47:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: That makes four us then. - Thu Dec  3 07:48:03 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Thu Dec  3 07:54:52 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Who is the other one? - Thu Dec  3 08:03:24 2015
<br><br><font color=teal>*Yumiko(Ekario) says: The girl who came to talk with Heiwa. - Thu Dec  3 08:04:16 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Uhhh? Which? - Thu Dec  3 08:05:58 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: My cousin, Izanami. - Thu Dec  3 08:06:49 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You remember seeing her? The girl with the white hair? - Thu Dec  3 08:07:40 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Ahhh. - Thu Dec  3 08:08:32 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Wait, she's your cousin? - Thu Dec  3 08:11:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: She is. Distantly related. - Thu Dec  3 08:11:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: My father's cousin is her father. - Thu Dec  3 08:11:56 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Wow. . Well, atleast that's excludes the question as to why you both don't look alike. - Thu Dec  3 08:15:21 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. We're not going to do anything yet, but we're going to prepare for it. - Thu Dec  3 08:18:46 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: To start with - we're going to get as capable as we can, Nori. - Thu Dec  3 08:18:46 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We're going to infiltrate. - Thu Dec  3 08:19:37 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I see. . . - Thu Dec  3 08:23:02 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Well. . I have some money that I have been saving up. .  Along with the bit you gave me. . If that will help. - Thu Dec  3 08:23:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It could. We'll need money to purchase some volumes on their history. - Thu Dec  3 08:26:27 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And we'll need to be strong enough to each pass a private exam. - Thu Dec  3 08:26:27 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . . Uhm . . . If you remove one of the dresse drawer cases out and look inside the dresser, you will see seven bags filled with ry. - Thu Dec  3 08:28:09 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *ryo - Thu Dec  3 08:28:09 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: What is a private exam anyway? - Thu Dec  3 08:29:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's a very tough examination to join the Gezo. - Thu Dec  3 08:30:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: From what I hear..a single private is about as strong as a kage. - Thu Dec  3 08:30:43 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hrm. . I see. - Thu Dec  3 08:32:25 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *Yawns - Thu Dec  3 08:46:56 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Inny minny minie mo. Who do I cuddle with to day? - Thu Dec  3 08:52:54 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Guess you're it Heiwa. - Thu Dec  3 08:58:52 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) remained silent, eyes looking away from Yumiko. * - Thu Dec  3 09:19:21 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) hadn't stopped her, but definitely remained uncomfortable and rigid as she leaned against him. 

"I was..just thinking about some things.." he says, keeping his eyes off of her, the nervous he felt being clear no matter how he tried to hide it.* - Thu Dec  3 09:31:18 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Come on tell me what are you thinking about. - Thu Dec  3 09:33:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...About..The Kokuren..we're going to need to work hard to be..strong for it.  - Thu Dec  3 09:34:43 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Then why look away from me hmm? Why are you so nervous? - Thu Dec  3 09:35:34 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: Why are you so afraid? You afraid of losing me? - Thu Dec  3 09:35:34 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...... - Thu Dec  3 09:36:25 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) swallowed, and slowly nodded his head.* - Thu Dec  3 09:38:08 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: I won't die I promise. Because if I did I would make you sad. - Thu Dec  3 09:39:50 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) 's body began to ease up, the tension gradually fading away.

"Everyone..I've gotten close to has died.." he admits, briefly his eyes flashing back at how many there were. Player characters die quick as fuck.* - Thu Dec  3 09:43:15 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: I'm still breathing. - Thu Dec  3 09:44:57 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: I'll work really hard to make you not sad. Also you there's something you don't know about looking away from me. - Thu Dec  3 09:45:48 2015
<br><br><font color=teal>*Yumiko(Ekario) thinks: Moving onto phase two of this plan. - Thu Dec  3 09:46:40 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: Want to know what it is?~ - Thu Dec  3 09:49:13 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) peered over at Yumiko from the corner of his eye. "What is it..?"* - Thu Dec  3 09:50:56 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) was caught completely off guard, Yumiko's strength likely enough to overpower Heiwa, and alongside the fact that he was pressed up against one side of the couch there was no escape. 

"Hey! Cut it out!" he yells out, squirming against her grasp. Involuntarily, however, his voice would be raised higher in pitch and a bit of a laugh could be heard at the end. Surely - he was cracking under the pressure of her tickle attack.* - Thu Dec  3 09:59:28 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) simply couldn't resist any longer. A sound not made by him very often - the child begins uncontrollably laughing as he's continued being tickled, tears welling up in his eyes. Even as he struggled for escape, and made the occasional breathless plea, there wouldn't be much way out if she hadn't let him.

Around two minutes of this later, and he'd be stuck doing his best to catch his breath - the tears still streaming down his reddened face. When she went in for another hug, he'd turn to face her feeling considerably less nervous than before. No - instead he was that mixture of happy and angry - part of him planning his revenge of tickling before the fatigue hit him. 

With that gone, he'd lean himself against her - not quite with a smile, but still seeming otherwise content.* - Thu Dec  3 10:18:14 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: Sorry but I like hearing you laugh.~ - Thu Dec  3 10:22:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Promise you won't leave..and I'll do it more. - Thu Dec  3 10:26:46 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Without..all of the pain of forcing it. - Thu Dec  3 10:27:37 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: Only if you hold me. - Thu Dec  3 10:28:28 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) brought his arm up and around hesitantly, eventually bringing it across her shoulder.

"It's a deal.~" he'd say, chuckling softly at the end. * - Thu Dec  3 10:37:00 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Comfortable.~ - Thu Dec  3 10:53:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Yeah. Same. - Thu Dec  3 10:57:29 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mmm. - Thu Dec  3 11:12:51 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Heiwa-kun. I don't want to see you sad. - Thu Dec  3 11:17:58 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I won't..make you see that then. - Thu Dec  3 11:25:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We're going to..get strong and stop the Gezo.. - Thu Dec  3 11:25:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The four of us and any who agree with the cause.. - Thu Dec  3 11:26:30 2015
<br><br><font color=teal>*Yumiko(Ekario) says: And beat anyone who disagrees. - Thu Dec  3 11:30:46 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We'll be the fire to purify the world..and the water to soothe its wounds. - Thu Dec  3 11:31:37 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Thu Dec  3 11:38:27 2015
<br><br><font color=teal>*Geo Dude(Wynokx) whispers: Your squad's waiting for you at the mountain waterfall. - Fri Dec  4 00:34:08 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Zzzzzz. . . - Fri Dec  4 00:55:28 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) glanced up, finding the members of his squad atop the mountain waterfall using his enhanced eye sight. He'd call out "Hey. What're you three doing?" in a loud enough tone for them to hear him.* - Fri Dec  4 00:55:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh. Did you talk to the Mizukage about any available missions? - Fri Dec  4 01:05:42 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: No we were waiting for you. - Fri Dec  4 01:06:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I see. Well, I'm not sure if the Mizukage is up right now. Do you want to look? - Fri Dec  4 01:11:40 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Yeah, let's go!~ - Fri Dec  4 01:12:32 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Come one Nori! - Fri Dec  4 01:16:48 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Wake up! - Fri Dec  4 01:16:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We're going to ask about a mission! Come on - and bring Yumiko with you too! - Fri Dec  4 01:17:39 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Waaaaaaaaaaaaaaake uuuuuuuuuuuuuuuuuuup! - Fri Dec  4 01:17:39 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) sighs and shakes his head, turning away from Nori. "Come on, she's going to be a while."* - Fri Dec  4 01:22:46 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Alright, alright I'm coming! - Fri Dec  4 01:23:37 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) nodded, continuing to move towards the academy. And if that failed - the kage manor itself.* - Fri Dec  4 01:26:11 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Hmph. - Fri Dec  4 01:27:02 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Seems she's busy. - Fri Dec  4 01:30:27 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I still have some low ranking missions you three could go on and take the credit for - but I doubt you'd all want that. - Fri Dec  4 01:32:09 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Hm... it's okay. - Fri Dec  4 01:34:43 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I'll wait. - Fri Dec  4 01:34:43 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Maybe training or no? - Fri Dec  4 01:34:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Right. Training can work - I have an idea in mind anyways. - Fri Dec  4 01:34:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Lets head out to the fields. - Fri Dec  4 01:36:25 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Alrighty.~ - Fri Dec  4 01:38:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Alright. This spot should do. We'll be working on some physical training later on in the day, but with all things there is a balance needed. - Fri Dec  4 01:41:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: A strong body is nothing without a strong mind. - Fri Dec  4 01:42:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Sekitsui, Yumiko, Nori - Can either of you explain what a genjutsu is?  - Fri Dec  4 01:43:15 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: I hope that's not taken as condescending. - Fri Dec  4 01:43:15 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Jutsu that affect the mind only? - Fri Dec  4 01:44:06 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: It's a chakra attack on the brain. - Fri Dec  4 01:44:06 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mhm. It's a type of jutsu that affects the mind - not the physical realm - through application of chakra on the nervous system of the brain causing the recipient's senses to reflect what the user intends for them to see. - Fri Dec  4 01:45:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: In other words - what you've both said. It's not used by many as they favor the use of frontal attacks. - Fri Dec  4 01:46:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: As it cannot kill it is often seen better to use a more physical sense of combat. - Fri Dec  4 01:47:31 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: However, you may very well find someone who does use genjutsu. In that case are any of you aware of how to counteract that? - Fri Dec  4 01:47:31 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) brought up his hand, outstretching two digits. "Two ways," he explains, "The first method is the easiest: If in a genjutsu, and aware of this fact, you can injure yourself and use the resulting pain to break free of the assault. The pain snaps your senses back to normal." After explaining the first one, he'd lower his middle finger leaving only a single digit remaining.

"The other method is the more preferred one - but can be difficult at times. As it's an attack on the chakra of the brain if one were to apply a greater level of force at the area they could free themselves of its influence." As he finished he'd lower the finger and nod his head. "It's called Dissipation - Genjutsu Kai. It's what we will be working on for the beginning part of the day."* - Fri Dec  4 01:55:12 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: . . . What if we are in a genjutsu right now? And this village isn't real? - Fri Dec  4 02:07:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Good question..There are some ways to discern whether you're in a genjutsu or not. - Fri Dec  4 02:08:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: A genjutsu only affects the senses - it does not affect the world around you. Low leveled genjutsus often will have tells because of this. - Fri Dec  4 02:08:51 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: If, say, a giant ball of fire is made and is hurling towards you? - Fri Dec  4 02:08:51 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: But you can visibly see a large body of water appearing still cool to the touch and not reacting in any way against it? - Fri Dec  4 02:09:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Of course, a strong enough genjutsu user would make you perceive that body of water also being boiling. - Fri Dec  4 02:09:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Staying aware of your senses can keep you from falling into the traps of a genjutsu. - Fri Dec  4 02:10:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I'm going to use a low level genjutsu on you. Your objective is to dissipate it using only your chakra. - Fri Dec  4 02:15:40 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: What are the handseals though? - Fri Dec  4 02:16:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The tiger hand seal. - Fri Dec  4 02:19:05 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) brought both hands together quickly in a demonstration of the seal as he said it aloud, showing it very clearly for her to see. Of course, as a genin, she probably already was aware of the twelve basic ones. 

"Your objectives are to break out of the genjutsu using this form of dissipation. It requires careful moulding of your chakra levels, reducing them to a far greater level before surging them back up and dislodging the opponents chakra."* - Fri Dec  4 02:20:48 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) rotated his hands shortly thereafter through another set of hand seals - the total numbering only two: The Snake and the Rat. It'd be kept purposefully slow making sure that Sekitsui and Nori could both see the technique in its full without one of them happening to have been inadvertently focusing away from his hand seals.

Assuming they had both looked at it - they'd suddenly each find leaves circling around over their body and the sun beginning to set. Following thereafter - there greatest fears would begin to play out infront of them from within the guise of darkness. But it would be unusually..very fake. Seeing through it would be easy as most of the creatures were very foreign looking and consciously appearing to blend outside of reality. 

Like a creature looking cartoonish in real life - it would be consciously clear that none of what was happening inside of the genjutsu was real. Even any of the pain they would feel would also be considerably lessened in impact - to call it the same as what they would actually face in the field was far from the truth. But it would make for easy targets to dissipate, and even the chakra itself wouldn't be very difficult to dislodge.

tl;dr this is Heiwa's tekagen.* - Fri Dec  4 02:31:53 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) took a step back following the use of the genjutsu, waiting and watching the both of them for when they'd each do their best to utilize Kai and get out. It was kept obvious, and since he had already explained he'd be using a genjutsu to begin with that alone should keep it clear and plain to know. 

Once they were finished with the demonstration, he'd nod his head. "That's all there is to it," he says, ending with another nod. "In your free time practice the use the jutsu if you can. Learning to properly flow chakra into that area to unclog anything in your brain can lead to more efficient usages. Faster and..less likely to fail usages."* - Fri Dec  4 03:01:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Take a breather - we'll be working on some sparring in just a bit. - Fri Dec  4 03:10:17 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Your opponent will be Nori. - Fri Dec  4 03:11:08 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Oh. - Fri Dec  4 03:12:00 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Okay.~ - Fri Dec  4 03:12:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: When you both are ready step up and take opposing positions. - Fri Dec  4 03:12:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: After the seal of confrontation you can begin. - Fri Dec  4 03:12:00 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Can I go? - Fri Dec  4 03:13:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh - sure. - Fri Dec  4 03:15:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Nori and Yumiko then. - Fri Dec  4 03:16:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Taijutsu, kenjutsu, shurikenjutsu - the limiting factors of this spar. - Fri Dec  4 03:22:14 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Stick to use of those. - Fri Dec  4 03:23:05 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hmm right. - Fri Dec  4 03:25:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm - actually, Yumiko, while Nori rests up from her..experience.. - Fri Dec  4 03:29:04 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) walks over close to her, keeping his voice relatively low as he spoke. * - Fri Dec  4 03:29:55 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: You know how to counter a genjutsu, yes? - Fri Dec  4 03:29:55 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: Two methods. Pain can overwhelm the senses. As a Genjutsu focuses on changing what the senses perceive  this resets them. - Fri Dec  4 03:31:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: In doing so it breaks the illusion. - Fri Dec  4 03:31:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: Alternatively, the method we were working on earlier, involves using chakra to dislodge the chakra put on the brain by the opponent. - Fri Dec  4 03:31:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: As Genjutsu works by attacking the chakra nervous system it disrupts the senses. Dislodging this breaks the genjutsu as well. - Fri Dec  4 03:32:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: To do this - you need an overwhelming amount of force. This is achieved by lowering your chakra and then surging it back up to normal. - Fri Dec  4 03:32:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: I'm going to put you in a very weak genjutsu, okay? Make the tiger seal and focus your chakra to break out of the genjutsu using dissipation. - Fri Dec  4 03:33:20 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: Lets move away for a bit so things don't look weird. - Fri Dec  4 03:34:11 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Nori, rest up. We'll be back in a moment. - Fri Dec  4 03:35:02 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) offered his hand out for Yumiko to take.* - Fri Dec  4 03:35:02 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) lets go of her hand and takes a few steps back getting some distance from her. "Alright. Remember what I told you to do," he explains, bringing his hands up to his chest to rotate through a set of two seals - The snake and the rat.

In doing so he'd keep his hand seal speed slow, giving her plenty of time to view the technique. If it worked, she'd see a cascade of leaves torrent around her and the sun beginning to set back to night. Shortly thereafter her greatest fears would begin to play out infront of her. Of course, they'd be very clearly fake.

They wouldn't hold much power at all and one could quite easily discern that they weren't representative of reality. Similar to how Naruto's clones were pasty, pale, and fake looking at the start of the series - these illusions would be disjointed from the real world making much of what they portrayed seem sketchy and clear in what they were. It'd also lower a good bit of the shock value portrayed.

tl;dr This was Heiwa holding back very considerably.* - Fri Dec  4 03:44:25 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) moved in closer to Yumiko as she seemed to be going through the effects of the technique, likely her mind's view taking it as some distorted attempt at crawling by a half dead Heiwa. 

Unintentional mind-fucks!

But when the technique was dispelled, Heiwa would make the rest of the way, bringing his arms around the girl. 

From this close..Heiwa could see the glassy eyes and the tears welling up before she had dispelled it. Even with it being held back so much - Heiwa was warned majorly to never use it on a friend. Genjutsus were the preferred way to stop enemies when binding was impossible.* - Fri Dec  4 04:23:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's okay..It wasn't real, right? - Fri Dec  4 04:23:40 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: Not at all... - Fri Dec  4 04:24:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: ..Good. You still..okay for the spar? - Fri Dec  4 04:29:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: What did she see..? - Fri Dec  4 04:29:39 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Fri Dec  4 04:35:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Alright.. - Fri Dec  4 04:38:11 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Nori, you ready as well? - Fri Dec  4 04:38:11 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Yeah. - Fri Dec  4 04:39:02 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Lets head back. - Fri Dec  4 04:43:18 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) once more offered his hands out for them to take and return back to the training spot.* - Fri Dec  4 04:46:43 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Sooo. . Spar, right? - Fri Dec  4 04:48:25 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Physical spar only. - Fri Dec  4 04:49:16 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hmm? Alright. - Fri Dec  4 04:50:59 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I'M SO HIGH RIGHT NOOOOOW *omit* - Fri Dec  4 06:12:54 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) moved in, quickly appearing next to the struggling duo. 

"That's enough! Break it up!" he yells out, using the proximity and the loudness to drive the message home to Yumiko and Nori. Their fight was getting a bit too far at that point.

Of course, Heiwa wasn't going to put himself in the way to break it up. Child nerf - nigga ain't that strong anymore.* - Fri Dec  4 06:12:54 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) briefly stared at the situation, having to make sure that she was writhing in pain and not pleasure. With someone like Nori you had to make the judgement call. If it was the latter..well bondage would be enough for her to probably stop. 

But Yumiko was right. This looked like pain. "Hold her there - I'll go get some ice," he says, rushing off from the scene to do just that.* - Fri Dec  4 06:38:30 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) utilized Shunshin throughout the entire procedure to move just that little bit faster - his immense speed added with that making it quite easy for him to make it to the restaurant in remarkably quick time. And when he entered there would be no one in line making for the flash of his headband and a short explanation of the situation get him an ice pack. 

Why the restuarant instead of the hospital? Heiwa ain't got that health care, bruh. Also the restuarant was closer. 

After getting the ice he'd begin rushing off heading towards the group once more.* - Fri Dec  4 06:42:46 2015
