<br><font color=teal>*Index(Jjking217) says: Well...A series of odd questions. - Sat Nov  7 14:35:05 2015
<br><br><font color=teal>*Index(Jjking217) says: I have no reason to. - Sat Nov  7 17:59:53 2015
<br><br><font color=teal>*Index(Jjking217) says: But Ortho, is an obstacle. - Sat Nov  7 17:59:53 2015
<br><br><font color=teal>*Index(Jjking217) says: If you help him, and it crosses my path. - Sat Nov  7 17:59:53 2015
<br><br><font color=teal>*Index(Jjking217) says: You'd be an obstacle, So It was a warning. - Sat Nov  7 17:59:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....what would you do then? - Sat Nov  7 18:00:44 2015
<br><br><font color=teal>*Index(Jjking217) says: I'd go through you. - Sat Nov  7 18:00:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You'd kill me again... - Sat Nov  7 18:00:44 2015
<br><br><font color=teal>*Index(Jjking217) says: As many times, as it took. - Sat Nov  7 18:00:44 2015
<br><br><font color=teal>*Index(Jjking217) says: To get it through your head. - Sat Nov  7 18:00:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: That's......annoying. - Sat Nov  7 18:01:36 2015
<br><br><font color=teal>*Index(Jjking217) says: Is it? - Sat Nov  7 18:01:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I....don't know what to do anymore. - Sat Nov  7 18:01:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I....will go...I don't know... - Sat Nov  7 18:05:00 2015
<br><br><font color=yellow>*Index(Jjking217) took a deep breath and sighed he had just went through he decided he needed to just take a break from it all. And he closed his eyes, and simply meditated, not thinking about anything. He occasionally inhaled followed by light exhales but besides that, he took a moment to calm himself. * - Sat Nov  7 18:19:31 2015
<br><br><font color=teal>*Index(Jjking217) whispers: May I speak with you? - Sat Nov  7 18:55:21 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) whispers: An introduction would be nice. - Sat Nov  7 18:55:21 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Index. - Sat Nov  7 18:55:21 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) whispers: Ikaro of the Hogo. - Sat Nov  7 18:56:12 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) whispers: Lead the way. (graaab) - Sat Nov  7 18:56:12 2015
<br><br><font color=teal>*Index(Jjking217) says: A person. - Sat Nov  7 18:59:37 2015
<br><br><font color=teal>*Index(Jjking217) says: By the name... - Sat Nov  7 18:59:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Of Lera. - Sat Nov  7 18:59:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Told me to seek you out. - Sat Nov  7 18:59:37 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Oh - She did? - Sat Nov  7 18:59:37 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Why's that? - Sat Nov  7 18:59:37 2015
<br><br><font color=teal>*Index(Jjking217) says: I need help...With the Water Element. - Sat Nov  7 19:02:11 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Ah - You were at the fight the other day. . . When Ortho attempted to take Lera's life. I thought I recognized you.  - Sat Nov  7 19:03:02 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Regardless, are you a complete rookie when it comes to the element, or do you know a thing or two? - Sat Nov  7 19:03:02 2015
<br><br><font color=teal>*Index(Jjking217) says: A thing or two. - Sat Nov  7 19:03:02 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Mind giving me a demonstration? - Sat Nov  7 19:03:53 2015
<br><br><font color=yellow>*Index(Jjking217) nodded his head, as he raised his hands to chest level first performing the watergun technique after weaving a few seals. After another set, he made two water clones before having one of the water clones use water prison on the other, before inhaling followed by exhaling, releasing a torrent of water which gathered into a vortex.* - Sat Nov  7 19:05:36 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll give you money. - Sat Nov  7 19:18:24 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: How much? - Sat Nov  7 19:20:06 2015
<br><br><font color=teal>*Index(Jjking217) says: IK' - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll* - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Index(Jjking217) says: Give you... - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Index(Jjking217) says: One point five Million. - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Right. Well, what factors of Suiton are you looking to learn. We can start now, if you would like. - Sat Nov  7 19:21:48 2015
<br><br><font color=teal>*Index(Jjking217) says: Well....High ranking techniques, would be Ideal...Though anything you're willing to teach would be even better.. - Sat Nov  7 19:22:40 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Fair enough. . . - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: First, tell me a bit about yourself. Don't worry, it will help me plan out your training. Be honest. . . Every detail would be appreciated. - Sat Nov  7 19:26:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I am...A Gezo Sergeant. - Sat Nov  7 19:26:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I'd like to say I'm a fast learner. - Sat Nov  7 19:26:56 2015
<br><br><font color=teal>*Index(Jjking217) says: And I don't give up easily. - Sat Nov  7 19:26:56 2015
<br><br><font color=teal>*Index(Jjking217) says: I trained with Lera and Fujitora before. - Sat Nov  7 19:26:56 2015
<br><br><font color=teal>*Index(Jjking217) says: And knew the past Mizukage. - Sat Nov  7 19:26:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Not much else to say.. - Sat Nov  7 19:26:56 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm sixteen. - Sat Nov  7 19:27:47 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Alright. I suppose that will do. - Sat Nov  7 19:27:47 2015
<br><br><font color=yellow>*Index(Jjking217) nodded his head as he looked to Ikaro, he inhaled followed by a subtle exhale.  He watched the man's hands contort to make a series of handseals which would be needed to cast this technique, and he nodded his head. And sighed, that was truly a massive amount of water Ikaro had released, and he found that to be definately intriguing, he had been wondering for a long period of time. About the water element. 

But he was partially interested in mixing it with the Earth element, he wondered what could be born from it, he smiled warmly understanding that the possibilities were endless. It'd only be a matter of time before he was able to successfully mix the two, even if it amounted to nothing he'd be completely fine with that, but he figured it was time to begin attempting this technique. His hands were raised together.

Recalling the handseals he had seen Ikaro weave just moments before he nodded his head a few more times, smiling warmly, as his hands begn to move together, meanwhile his mind was all over the place, he wondered if the mixture of the two elements would cause some sort of 'erosion', he figured that'd be amazing but incredibly dangerous.

He didn't seem to mind hard work, and he enjoyed learning but there was a lot more he'd rather be doing with the opposite sex if you catch my drift. He continued though practicing the transition from seal to seal, he was eager to improve, he had to he desired to, it'd make his life so much easier, if he managed to imprive.

So he ran his tongue across his lips, going through the seals once agian, he nodded his head he began to feel as if he had what he needed to do so far, so he began thinking of applications this technique would have in battle. He knew it'd have many, he was thinking if he could make a technique from the earth element he could use in conjunction with this one, it'd definately be astonishing so all he could do is prepare.

Ikaro was a pretty good teacher, he didn't honestly mind learning from the male, he assumed Lera had learned from him as well. And he assumed he wouldn't begin training him just to kill him, so he smiled to himself, the seals he felt like was the hardest part of the technique...It'll take the most work, because of the transition it wsas a new pattern he had to memorize.

He figured this was a good start, he'd learn to improve from here, he felt like he'd be a force to be reckoned with if he improved his arsenal, he wanted to desperately, to get better, he wouldn't get destroyed by Ortho...Not again he had to improve, get stronger, stay stronger...He had to,so he focused and stayed on task.

After he felt like he had gotten the seals down, he nodded his head and had decided to this time work on the chakra flow, weaving a series of handseals, he inhaled followed by a deep exhale as he began to slowly gather his chakra        is stomach, beginning to mould it into that of water, taking a deep breath he'd smile. Holding it as he allowed the particles to propagate.

Two fingers were raised to the side of his mouth, as he inhaled followed by a deep exhale, releasing a torrent of water forward, which was aimed at spreading outupon the water's suraface, the water spewed from between his lips like an endless fountain, aiming to wash away anything in his way. He focused making sure to keep his chakra flow balanced.

After a moment the torrent of water would come to an end and his hand would drop to his side before he looked at Ikaro he spoke "I think I got it." He was fairly excited, he had made a major improvement and that made him fairly happy, so he took a deep breath and took a seat on the ground, looking towards Ikaro, he seemed a bit tired himself.* - Sat Nov  7 19:49:58 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Mhm. Good work. - Sat Nov  7 19:57:39 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Now - I have a pretty weird question, but if you have the answer I'm looking for, you'll probably be learning a one of a kind technique. - Sat Nov  7 19:58:30 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Do you have access to Katon? - Sat Nov  7 19:58:30 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm? - Sat Nov  7 20:05:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah I do. - Sat Nov  7 20:05:20 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Had to go help someone) - Sat Nov  7 20:41:10 2015
<br><br><font color=teal>*Index(Jjking217) whispers: What about the fire element? - Sat Nov  7 20:41:10 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) whispers: I have a jutsu Kirie left me just before she passed. You knew of her, correct? - Sat Nov  7 20:44:35 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Yeah. - Sat Nov  7 20:49:42 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) whispers: Well, I have a scroll, if you're interested. - Sat Nov  7 20:50:33 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) whispers: I haven't had the opportunity to master it, so it's best you learn from her notes. - Sat Nov  7 20:50:33 2015
<br><br><font color=teal>*Index(Jjking217) whispers: What's the technique? - Sat Nov  7 20:50:33 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Back) - Sat Nov  7 21:05:55 2015
<br><br><font color=teal>*Index(Jjking217) whispers: What technique?> - Sat Nov  7 21:05:55 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) whispers: It's known as 'Black Rain'. . . You ever heard of it? - Sat Nov  7 21:22:08 2015
<br><br><font color=yellow>*Index(Jjking217) creates a clone and sends him into Sunagakure.* - Sat Nov  7 22:03:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Muhhamed. - Sat Nov  7 22:12:28 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yes. - Sat Nov  7 22:12:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Are you ready to talk? - Sat Nov  7 22:13:20 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yep. - Sat Nov  7 22:13:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Then I'll let you start us of. - Sat Nov  7 22:13:20 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Let me call the others. - Sat Nov  7 22:14:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: Actually...maybe pops would be a better test... - Sat Nov  7 22:17:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sure. - Sat Nov  7 22:17:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Thanks~ - Sat Nov  7 22:17:36 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Index can we postpone this. - Sat Nov  7 22:17:36 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose,We can. - Sat Nov  7 22:18:27 2015
<br><br><font color=teal>*Index(Jjking217) says: But I ask you remove my 'confinement' to this Village. - Sat Nov  7 22:18:27 2015
<br><br><font color=teal>*Index(Jjking217) says: I am a Sergeant. - Sat Nov  7 22:18:27 2015
<br><br><font color=teal>*Index(Jjking217) says: I have responsibilities. - Sat Nov  7 22:18:27 2015
<br><br><font color=teal>*Rikune(Osmanesanogo) says: Ehrelo, neice tweo meteet euye. - Sat Nov  7 22:19:18 2015
<br><br><font color=teal>*Rikune(Osmanesanogo) says: Weht iez ur naeme? - Sat Nov  7 22:19:18 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Uhm, yeah we'll schedule a meeting date. - Sat Nov  7 22:19:18 2015
<br><br><font color=teal>*Rikune(Osmanesanogo) says: Weht iez ur naeme? - Sat Nov  7 22:20:09 2015
<br><br><font color=teal>*Index(Jjking217) says: And finally. - Sat Nov  7 22:21:52 2015
<br><br><font color=teal>*Index(Jjking217) says: I'd like you to postpone your Shinobi's hunt. - Sat Nov  7 22:21:52 2015
<br><br><font color=teal>*Rikune(Osmanesanogo) says: Oeky, senems eliek u er besuy. - Sat Nov  7 22:22:43 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Nott sure I can do that. - Sat Nov  7 22:24:25 2015
<br><br><font color=teal>*Index(Jjking217) says: I'd appreciate it if you tried. - Sat Nov  7 22:24:25 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: It seems I can't. - Sat Nov  7 22:25:16 2015
<br><br><font color=teal>*Index(Jjking217) says: Because If your Shinobi come at her, I will defend her. - Sat Nov  7 22:25:16 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I already have booots on the ground. - Sat Nov  7 22:25:16 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Just know, if it gets out of hand, i'll have to come myself. - Sat Nov  7 22:25:16 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: And I wouldn't want that. - Sat Nov  7 22:25:16 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I'd hurt my back. - Sat Nov  7 22:25:16 2015
<br><br><font color=teal>*Index(Jjking217) says: I'd rather not have you come either. - Sat Nov  7 22:25:16 2015
<br><br><font color=teal>*Index(Jjking217) says: But Im sure you know, how a man will react when someone he cares for is threatened. - Sat Nov  7 22:26:08 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: If you understand that. - Sat Nov  7 22:26:08 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Then you understand how I feel if my shinobi are injured. - Sat Nov  7 22:26:08 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You have 1 person you care for. - Sat Nov  7 22:26:59 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I have a village. - Sat Nov  7 22:26:59 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll do what it takes to defend myself, and her. And when Yan is so kill happy. - Sat Nov  7 22:28:41 2015
<br><br><font color=teal>*Index(Jjking217) says: It'll be hard to avoid hurting him, if all the Shinobi are like that. - Sat Nov  7 22:28:41 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yan is not kill happy. - Sat Nov  7 22:28:41 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: HE is dutifull. - Sat Nov  7 22:28:41 2015
<br><br><font color=teal>*Index(Jjking217) says: He was ready to send a blade to my throat. - Sat Nov  7 22:28:41 2015
<br><br><font color=teal>*Index(Jjking217) says: When I waited for you. - Sat Nov  7 22:29:32 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: What you fail to understand is giving your heart away to a village. - Sat Nov  7 22:29:32 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose you're right. - Sat Nov  7 22:29:32 2015
<br><br><font color=teal>*Index(Jjking217) says: I can't understand it. - Sat Nov  7 22:29:32 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: We as shinobi are asked to sacrifice out hearts and humanity to this village. - Sat Nov  7 22:29:32 2015
<br><br><font color=teal>*Index(Jjking217) says: I can't understand that. - Sat Nov  7 22:30:24 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Anyway, I won't explain this concept. - Sat Nov  7 22:30:24 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: It would be like teachiny uo advanced math in another language. - Sat Nov  7 22:30:24 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose it would. - Sat Nov  7 22:30:24 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Pointless. - Sat Nov  7 22:30:24 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You may leave. - Sat Nov  7 22:30:24 2015
<br><br><font color=yellow>*Index(Jjking217) leaps from his perch landing on the ground as he simply stated "It's always a pleasure, Field Commander Muhhamed." He stated before he began walking away.* - Sat Nov  7 22:31:15 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That is true...Earth style is very helpful..I'll have to look into my earth elements more often haha...Though you've been training often I take it? - Sat Nov  7 22:32:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: As often as I can yeah. - Sat Nov  7 22:32:57 2015
<br><br><font color=yellow>*Index(Jjking217) looked at the male, "Seems like someone can't handle his own in a fight." Commented the Sergeant, as his gaze fell upon the male, he stared at him prying into his soul. "Hmph."* - Sat Nov  7 22:34:40 2015
<br><br><font color=teal>*Index(Jjking217) says: Not important. - Sat Nov  7 22:35:31 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . . - Sat Nov  7 22:36:22 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Well regardless. - Sat Nov  7 22:37:13 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: How may I help you? - Sat Nov  7 22:37:13 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm bored. - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Index(Jjking217) says: Looking for entertainment. - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . .And you want me why? - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I've come for your head. - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I see. . . - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Index(Jjking217) says: ---Twas a joke, don't get your panties in a bunch. - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Mhm. - Sat Nov  7 22:38:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Aren't you going to introduce me to your lady friend? - Sat Nov  7 22:39:47 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: This is my new assistant. Mei. - Sat Nov  7 22:39:47 2015
<br><br><font color=teal>*Mei(Fang7777) says: Hi. - Sat Nov  7 22:39:47 2015
<br><br><font color=teal>*Index(Jjking217) says: She's beautiful, It's a pleasure Mei-san. - Sat Nov  7 22:39:47 2015
<br><br><font color=teal>*Index(Jjking217) says: How would you like to go for a Drink? - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . . - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I'd prefer you didn't hit on my help. - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Mei(Fang7777) says: Like wise. No I'm fine. - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm.. - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll donate a Million to the Village if you do. - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: We are fine on money. - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Index(Jjking217) says: Man, you guys are absolutely no fun. - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I ran out of fun after your display the other day. - Sat Nov  7 22:41:29 2015
<br><br><font color=teal>*Index(Jjking217) says: I doubt there was much there to begin with anyway. - Sat Nov  7 22:41:29 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: At one point, there might have been. - Sat Nov  7 22:42:20 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Not much anymore. - Sat Nov  7 22:42:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll leave you two then. - Sat Nov  7 22:43:12 2015
<br><br><font color=yellow>*Index(Jjking217) waves before making a seal and vanishing.* - Sat Nov  7 22:43:12 2015
<br><br><font color=teal>*Index(Jjking217) says: .... - Sat Nov  7 23:05:23 2015
<br><br><font color=teal>*Index(Jjking217) says: I need to speak with you. - Sat Nov  7 23:05:23 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...okay. - Sat Nov  7 23:05:23 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose, Here is fine. - Sat Nov  7 23:05:23 2015
<br><br><font color=teal>*Index(Jjking217) says: .... - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Index(Jjking217) says: I just wanted to say. - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Index(Jjking217) says: It wasn't my place to tell you all of that. - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Index(Jjking217) says: So I apologize. - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Index(Jjking217) says: I must look like some kind of asshole. - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...did he speak to you? - Sat Nov  7 23:06:14 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm? - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Index(Jjking217) says: No why? - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I'm confused why you are saying sorry for this..... - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Index(Jjking217) says: Because I shouldn't have tried to ruin a relationship you had with him. - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Index(Jjking217) says: I hate him, but. - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Index(Jjking217) says: He makes you happy. - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't want to make you 'less' happy. - Sat Nov  7 23:07:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I don't necessarily feel happy...but he is my chance to feel it. - Sat Nov  7 23:07:56 2015
<br><br><font color=teal>*Index(Jjking217) says: What're you up to? - Sat Nov  7 23:08:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I've just been thinking a lot.... - Sat Nov  7 23:09:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: He explained how he is 'attacking' Gezo.... and it's not what I ...thought it was. - Sat Nov  7 23:09:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And I don't have to be involved... - Sat Nov  7 23:10:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: What you said about Marrisa and Nina, he denied. - Sat Nov  7 23:10:30 2015
<br><br><font color=teal>*Index(Jjking217) says: I figured he would. - Sat Nov  7 23:10:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Do you really think I am just a replacement for missing love? - Sat Nov  7 23:11:21 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't know. - Sat Nov  7 23:11:21 2015
<br><br><font color=teal>*Index(Jjking217) says: That's for you to figure out through your interaction with him. - Sat Nov  7 23:12:12 2015
<br><br><font color=teal>*Index(Jjking217) says: I've noticed, this world is a pretty lonely place. When you have no one to play a game with you. - Sat Nov  7 23:13:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Will you really kill me as much as possible to get to him? - Sat Nov  7 23:13:04 2015
<br><br><font color=teal>*Index(Jjking217) says: No... - Sat Nov  7 23:13:04 2015
<br><br><font color=teal>*Index(Jjking217) says: That was said out of anger... - Sat Nov  7 23:13:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm truly sorry. - Sat Nov  7 23:13:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Do you really mean that it was said out of anger? - Sat Nov  7 23:15:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah.. - Sat Nov  7 23:15:37 2015
<br><br><font color=teal>*Index(Jjking217) says: I wouldn't intentionally hurt you. - Sat Nov  7 23:15:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...but you know it doesn't hurt me. - Sat Nov  7 23:15:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Even so. - Sat Nov  7 23:15:37 2015
<br><br><font color=teal>*Index(Jjking217) says: It's the concept. - Sat Nov  7 23:16:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...alright.... so I guess...all of a sudden last night you decided you didn't want to give Ortho a chance anymore? - Sat Nov  7 23:19:02 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm not sure...What I want to do to Ortho. - Sat Nov  7 23:19:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I won't ask you again if you'll consider getting past it.... - Sat Nov  7 23:19:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I'll keep trying though. - Sat Nov  7 23:19:53 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll consider. - Sat Nov  7 23:19:53 2015
<br><br><font color=teal>*Index(Jjking217) whispers: You owe me a game though. - Sat Nov  7 23:19:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...Why do I owe you a game, you are the one that messed up the last one. - Sat Nov  7 23:21:36 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'm joking. - Sat Nov  7 23:21:36 2015
<br><br><font color=teal>*Index(Jjking217) whispers: But I'd appreciate it if you considered it. - Sat Nov  7 23:21:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I will. - Sat Nov  7 23:22:27 2015
<br><br><font color=teal>*Index(Jjking217) whispers: What would you like to do? Unless you're buzy? - Sat Nov  7 23:22:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I need to talk to the new Mizukage... I have to register so he thinks I was another shinobi away from the village.-- - Sat Nov  7 23:22:27 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I see. - Sat Nov  7 23:23:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Uh... I mean... just that really. - Sat Nov  7 23:23:18 2015
<br><br><font color=teal>*Index(Jjking217) whispers: He's in his office, with his Assistant. - Sat Nov  7 23:23:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Assistant? - Sat Nov  7 23:23:18 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Some girl named Mei. - Sat Nov  7 23:24:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Sounds like a whore. - Sat Nov  7 23:24:09 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Maybe. - Sat Nov  7 23:24:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I guess he isn't in his office? - Sat Nov  7 23:26:43 2015
<br><br><font color=teal>*Index(Jjking217) says: Guess not. - Sat Nov  7 23:26:43 2015
<br><br><font color=teal>*Index(Jjking217) says: So what will you do? - Sat Nov  7 23:26:43 2015
<br><br><font color=teal>*Index(Jjking217) says: Hunt him down? - Sat Nov  7 23:26:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Maybe.... or maybe you can come with me to talk to Ortho. - Sat Nov  7 23:27:34 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm not ready to talk to Ortho. - Sat Nov  7 23:27:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: When will you be ready? - Sat Nov  7 23:28:25 2015
<br><br><font color=teal>*Index(Jjking217) says: Not sure. - Sat Nov  7 23:28:25 2015
