<br><font color=teal>*Thaenan(Chaos Commander2015) says: You're joking right? - Fri Nov  6 01:50:56 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) snarled her lip at the comment, it was sort of groady sounding. He sounded like a sleeze. "Ketsu.... gets your girl?" She squinted at him and drank down the rest of the sake. She did -not- like what it was doing to her. She felt.... out of control of her cells and it was an odd tingling sensation. "I don't think samurai drink with shinobi, at least not unless they are holding discussions for peace."* - Fri Nov  6 07:26:17 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) shrugged, "I didn't say we wanted peace, I said those discussions are the only time we would drink together. So stay on your side of the table, mister shinobi."* - Fri Nov  6 07:30:33 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) rose her brow and didn't understand what he meant. "What do you mean?"* - Fri Nov  6 07:37:23 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) widened her eyes and then straight up threw her empty sake cup at his stupid forehead.* - Fri Nov  6 07:39:05 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Oi.. - Fri Nov  6 07:40:48 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: I was joking.. - Fri Nov  6 07:40:48 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: Uhuh. - Fri Nov  6 07:41:39 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) gestured her hand for a waiter to bring her another cup and to clean up the broken one behind Ketsu.* - Fri Nov  6 07:41:39 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: Two, I've only been a full samurai for a couple of years. Before that I helped around the temple. - Fri Nov  6 07:45:55 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: Quick reply.. - Fri Nov  6 07:45:55 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Come over here.. - Fri Nov  6 07:45:55 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) scowled, "Fat chance."* - Fri Nov  6 07:46:46 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Consider the chance to be on a diet.. - Fri Nov  6 07:46:46 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) didn't get the joke and stared at him for a moment before standing up. Hand went to the hilt of her katana and she extracted it. Sitting down on the cushion beside him she placed the blade across the table with the sharp edge towards his chest as she held onto the hilt and stared at him.* - Fri Nov  6 07:47:37 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) gripped the hilt tighter, "what do you think you are doing? Do you have a death wish?"* - Fri Nov  6 07:54:27 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) didn't know if she should continue the facade any longer. He was pushing limits but she decided there could be one or two more steps taken. Suddenly she jerked the blade up and pressed the sharp edge against the front of his neck as she breathed heavily. Imitating adrenaline pumping through her body quite well... after all she had seen plenty worked up, it wasn't that hard.* - Fri Nov  6 07:58:43 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Being that I have paid for the mansion to be fixed, I'll be there if you need me. - Fri Nov  6 08:02:59 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) inhaled sharply as he easily stopped her attempt to simply threaten him. Her eyes dialated and she panted heavily at the sudden threatening tension. She said nothing and looked him straight in the eye with a defiant look.* - Fri Nov  6 08:03:50 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) whispers: Let go of me.... - Fri Nov  6 08:14:56 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) said in a demanding tone, "Yes, you -will-."* - Fri Nov  6 08:19:12 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) grumbled and turned her head away from him. Waiting.* - Fri Nov  6 08:24:19 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: How do I keep pretending, I don't want to deny him this. - Fri Nov  6 08:28:35 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) sighed out as he neared her lips, "You win," mumbled out. She stared back at him in wait of what he wanted to claim.* - Fri Nov  6 08:29:26 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) felt strange as he made this action, some type of happiness or satisfaction had sprung from him lightly teasing her with the kiss. When he pulled away she peered up at him and wondered why he wasn't speaking, happy he won the game, or why he was still holding her so tightly against him. "What is it?"* - Fri Nov  6 08:37:58 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) closed her eyes for a moment as he kissed her cheek and then adjusted herself on the cushion as he turned back towards the table. "Thank you, but I wish I hadn't had to drink that sake...it made me feel weird."* - Fri Nov  6 08:44:48 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) rubbed her lips together, "tingling... I have never tingled."* - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: And it tasted terrible. - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: I don't think I will.. - Fri Nov  6 08:52:28 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) rolled her shoulders back and lifted her chin to show of her form. "Do you like my new body?"* - Fri Nov  6 08:53:20 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) leaned forward to whisper beside his ear so they were cheek brushing cheek. "I...need you to help me figure out the parts I am missing... I want to be ... whole." * - Fri Nov  6 08:57:36 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) nodded, "And uh... the chest part you said."* - Fri Nov  6 09:01:00 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) nodded and then stood up, she was still in her mimicking ways with this new form so the entire way out she was chewing on her lip as if nervous. She kind of found the whole new body and personalities fun.* - Fri Nov  6 09:06:59 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) blinked as she looked down at the magazines, "What are those?"* - Fri Nov  6 09:10:24 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: Okay. - Fri Nov  6 09:12:06 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: Those clothing don't look very useful for warmth. - Fri Nov  6 09:12:06 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: See.. something you know you don't have..? - Fri Nov  6 09:14:40 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) blinked a bit, "Why do they have buttons on their chest? What is the purpose of that part?"* - Fri Nov  6 09:14:40 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) knew she probably couldn't get aroused but it was a missing part. She placed her hands on the table and closed her eyes as she began concentrating and channeling chakra through her body. Cells multiplying and shifting as her body morphed under the clothing. She was silent but jerking occasionally until finally she fell still and opened her eyes to look up towards him. "Okay. What else was I missing?"* - Fri Nov  6 09:19:47 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) widened her eyes and leaned forward. She was extremely curious about this now, "It's.... so detailed..."* - Fri Nov  6 09:25:45 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) cocked her head and then nodded. She bit down on her lip again and then held her palms against the table again. This time it would take longer but only a few seconds more, it would seem as if it took the same amount of time really. When she was done she looked up to him and nodded. "Maybe we should check for anything else?"* - Fri Nov  6 09:29:10 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: I meant check the book but.... - Fri Nov  6 09:31:44 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) blinked quickly a few times, "Oh okay." She pulled her katana from her side and then started to untie the dress wrappings and let it fall away to the cushion below her. Now only sitting in one of the many assortments of panties and bras Index had given her. Only a brief pause and she started undoing the bra to reveal smaller breasts than the last time he had seen her nude, and now they held aerola and nipples, though they were ...still the same color as the rest of her skin really, she couldn't help that. Following with her panties and shoes which shown the cameltoe look that she hadn't had before, of course she had no hair. In fact she never had hair anywhere on her body but her head, it was pointless and delayed cleanliness.* - Fri Nov  6 09:34:17 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) peered over his shoulder as he was trying not to look at her for the last portion of undressing. When he got to the part where a girl was bent over with a man behind her she widened her eyes and started to understand how their fertilization works. "That thing, I don't have that. What is that one for?" She was speaking general but then realized there was a lot going on with this page and so she pointed right to what she was speaking about. Le asshole. (sh)* - Fri Nov  6 09:45:23 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: Why do you need another one? - Fri Nov  6 09:48:48 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Pleasure. - Fri Nov  6 09:49:39 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Some people like the feeling.. - Fri Nov  6 09:49:39 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: I can't feel pleasure... - Fri Nov  6 09:49:39 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) twitched her lips to the side, "okay." She concentrated for a bit but it took hardly any time this time around. She looked back at him. "Is anything else missing?"* - Fri Nov  6 09:50:30 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) didn't look freaked out, she looked like she was concentrating, learning, trying to soak it all up even as she sat beside him naked without any nerves at all. When he had spoken up again she peered up at him. "Yeah I think that was all."* - Fri Nov  6 09:56:28 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: Hm... he's acting like Index was. - Fri Nov  6 10:01:36 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) leaned in closer to him to test the waters and see what reaction she might get. Watching him intently.* - Fri Nov  6 10:01:36 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Good. - Fri Nov  6 10:34:01 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Dismised Soldier. - Fri Nov  6 10:34:01 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: What's going on? - Fri Nov  6 23:20:19 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: That's a fat snake.... he need's to go on a diet. - Fri Nov  6 23:31:24 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: ....he sounds really pissed. - Fri Nov  6 23:34:49 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Welp. - Fri Nov  6 23:57:52 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Guess I'm meeting someone after this fight. - Fri Nov  6 23:58:43 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) narrowed her gaze and instantly shot forward. Granted...she isn't fast -at all- but she tried to get closer to the two while avoiding the air bullets being sent out. "Stop this! I don't know what just happened between you two but you are friends... to some extent. Get past your differences, both of you are better than this."* - Sat Nov  7 00:09:48 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: Erg, Ortho, why aren't you listening... - Sat Nov  7 00:21:45 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) tightened her fists in a bit if irritation at they weren't stopping. Emotion seemed to be forcing her to act and speak which was strange for her. She didn't understand it truly. Rushing forward still, she had never stopped running, the female tried to get between them. A dangerous attempt but she hoped if she was between them then they might pause or hesitate for a moment to listen. "Whatever happened between you two can be sorted, you just need to stop attacking and speak! You can't talk it out before you kill each other? What is one conversation compared to losing a friend forever that you -do- care about?! Or losing your own lives! Or both!"* - Sat Nov  7 00:31:08 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) kept running forward! Clearly they weren't listening so she wasn't speaking anymore, she simply was aiming to become collateral damage between them, HOPING they might stop or consider what they were doing.* - Sat Nov  7 00:45:39 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) *Ortho broke off into a full sprint, aiming to close the distance between him and Index. Another set of handseals were woven together and his chakra rapidly kneaded within his stomach. Just as he puckered his lips to expel the jutsu he prepared Ajisai stepped right in the crossfire. It was one thing to launch jutsus at him from a distance to get him to stop, but even he had boundaries to not harm Nina and Ajisai when they stepped head first into the line of battle.

Ortho's frame stopped, his eyes momentarily transitioning from Index to the pale skinned female. It rests on her for a few seconds before panning the area for Nina. His anger was clouding his mind, but these two females in his life were acting as a united ray of light piercing through. His fists clenched and he placed his focus back on Index, saying nothing.*) REPOST* - Sat Nov  7 00:52:28 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) sighed out, relieved, she ... swore she actually felt adrenaline for a moment but decided that was crazy. "Please... just talk... if you have a good reason to kill each other then have at it, but at least talk it through first."* - Sat Nov  7 00:55:53 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) felt anger for a split second before it was gone again. "Stop it! You are talking about things you don't even fully understand Ortho! He misses Katsune, he hasn't seen her in a long time! And even if he goes and tries to run back to her, wouldn't you end up doing the same for your spouse?" When the fireball had subsided she stepped out in front of the mud wall being formed, knowing full well she was going to take a hit from the wind attack. She knew that mud wall probably wasn't going to hold up but hopefully she could dampen the damage that would come to Nina and Ortho. As she stood there looking up towards Index, she looked saddened almost. 

Just as the wind attack struck her body and began to spray red gushes across the grass between herself and Index, he would be able to see it like an illusion fading away. The green hair, the facial features of the person she was disguised as changed back into her original self as if she had been a henge of another woman. Ume stood there with back pressed against the mud wall and being ripped to shreds by the extreme attack of wind. The gore was intense, and sprayed out around the area, as her sunflower yellow eyes peered up towards Index she looked disappointed in him. "Was it worth the lust for death? Now you have it, I hope you learn to cherish him... he really is your brother. I hoped you would have seen that." With that, Ume's eyes fluttered shut as she coughed up a tiny line of blood that drooled down her pale chin and dripped to her chest. All that life both Ortho and Index had seen in her, seemingly vanished in a single strike, stripping away someone they had hoped to care for years.* - Sat Nov  7 01:30:52 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: So much for not being able to die. - Sat Nov  7 01:33:26 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) whispers: When I made that 'so much for dying' and 'exposed' comment.) - Sat Nov  7 01:38:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) whispers: Uptown Realest says: shut... the.. fuck.. upp) - Sat Nov  7 01:38:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) whispers: Fam wants MS so bad.) - Sat Nov  7 01:38:33 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: That's because, he thinks i cant die i tricked him with a genjutsu] - Sat Nov  7 01:38:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) whispers: You said you couldn't die xD? Wtf. Lying to me?) - Sat Nov  7 01:39:24 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: I really am dead yo, i was lying to everyone LOL] - Sat Nov  7 01:39:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) whispers: -) - Sat Nov  7 01:39:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) whispers: Fam.) - Sat Nov  7 01:39:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) whispers: You better make a Kiri shinobi <3) - Sat Nov  7 01:39:24 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: smh, probably. i hate suna] - Sat Nov  7 01:40:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov  7 01:54:46 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) whispers: What element you got fam LOL.) - Sat Nov  7 02:01:36 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: you arent taking my heart, ortho wont let you] - Sat Nov  7 02:01:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Ohoo?~ - Sat Nov  7 02:09:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Don't..laugh.. - Sat Nov  7 02:14:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sat Nov  7 02:56:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Think of how much murder there has been.. - Sat Nov  7 03:01:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I've seen a lot in my day as a priest.. - Sat Nov  7 03:02:11 2015
<br><br><font color=teal>*Index(Jjking217) thinks: This is only, the beginning. - Sat Nov  7 03:02:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: For some reason there has been a spike.. - Sat Nov  7 03:02:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Such a shame.. - Sat Nov  7 03:02:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Did I say something wrong? - Sat Nov  7 03:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I guess, "Kill and Dash" is a new thing.. - Sat Nov  7 03:03:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: To be looking for the Mizukage, yet find such an entertaining scene.. - Sat Nov  7 03:04:44 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: The priest? Great. - Sat Nov  7 03:05:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Such a sad turn of events.. - Sat Nov  7 03:14:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: WOE! - Sat Nov  7 03:14:08 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: . . .I swear I'm going to kill him one day. . . - Sat Nov  7 03:14:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Nov  7 03:20:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see..I'll be right with you.. - Sat Nov  7 03:21:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ............Ortho, you're going to get knocked out again... - Sat Nov  7 03:46:33 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Stop now. What did I tell you? - Sat Nov  7 03:47:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ...... - Sat Nov  7 03:48:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ortho. - Sat Nov  7 03:52:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What did I tell you, tell me now. - Sat Nov  7 03:52:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You told me.. - Sat Nov  7 03:53:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: That I'm.. an asshole.. - Sat Nov  7 03:53:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I was never there.. - Sat Nov  7 03:53:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Lousey.. brother. - Sat Nov  7 03:53:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..my.. fault.. - Sat Nov  7 03:53:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What did I tell you while you were sitting there holding her body? - Sat Nov  7 03:54:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You.. told me what you thought.. I wanted to hear.. - Sat Nov  7 03:55:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't care what you want to hear, Ortho. - Sat Nov  7 03:55:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I told you the truth. - Sat Nov  7 03:55:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What you want to hear is that it's your fault and you deserve to die. - Sat Nov  7 03:55:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: The truth is that it's his fault..........and you deserve to die. - Sat Nov  7 03:55:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Then.. exact your revenge.. - Sat Nov  7 03:55:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: As you sought before.. - Sat Nov  7 03:56:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: End.. my life. - Sat Nov  7 03:56:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No. That's too easy on you. - Sat Nov  7 03:56:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Your punishment now is to be a loving and caring brother. - Sat Nov  7 03:56:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: While getting stronger and living your life. - Sat Nov  7 03:56:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: With or without this pain. - Sat Nov  7 03:56:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: My.. punishment is to see to it that.. you're happy..? - Sat Nov  7 03:57:39 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) || As Ortho sat over the corpse, slowly there was movement forming from it's location. The spores inside of her body were regenerating and likely with him unable to notice for a long while as he sat there grieving his lost love, Ume was being brought back from death's bed. 

Soon enough eyes opened, everything was still splattered in the fake blood and she peered up towards Ortho. Seeing how he was so saddened by the loss of Ume, she didn't know it was going to have this heavy of an effect on him. Her shakey hand reached up towards his cheek trying to brush over any scratchy five o'clock shadow he had going on. 

"Ortho..."* - Sat Nov  7 04:28:22 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: . - Sat Nov  7 04:29:13 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) smiled weakly, "No need to be sorry, I did what I needed to keep you alive." She groaned slightly as her body was shifting and trying to morph into a new identity before she wanted it to. "Who is still with you?"* - Sat Nov  7 04:40:19 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) sighed out, "hush, you didn't fail me. Index failed... he couldn't resist, even when it came to harming me. You at least had the sense to step away from us, he didn't care. Not until he already had seen what he had done to me." She sighed out and closed her eyes, "you don't want Nina to know I'm still alive... yes?"* - Sat Nov  7 04:47:08 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded slowly, "I'm still too weak... perhaps, after I change you can carry me back as someone you found left for dead after you buried the body? D-do you have any Kirigakure headbands?" She was already starting to change, her dark purple hair shifting towards white and her features changing as she spoke.* - Sat Nov  7 04:57:23 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) thought for a short moment, she had been thinking about this for quite a while as she tried to regenerate for the last several hours. "The beginning of the End.... Hajimari Owari.... Owari...yes..."* - Sat Nov  7 05:08:28 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) weakly smiled, "not ..dying, sort of sucks...Hah..." She smiled wider as she laughed some. Her body felt extremely tired.* - Sat Nov  7 05:13:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Heh.... can we... go then? I am tired of the ground for a bed. - Sat Nov  7 05:19:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: kk ziare u did at least 10 RPies using the parent jutsu, yes? - Sat Nov  7 05:31:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ortho, what did I tell you about picking up girls? You better have a condom this time! - Sat Nov  7 05:39:12 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) was passed out it seemed, and looked worse for wear by the looks of her facial features and body over all. It looked swollen as if she had been seriously injured in the past and was still recovering.* - Sat Nov  7 05:40:03 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) woke up as all of this was going on, groaning faintly and speaking out with a very soft whispy voice. "Where the hell am I?" Clearly the soft looking female had a bit of a tongue on her, mixed with the fact her haircut was rather edgy for someone dressed like herself. She was a walking irony...* - Sat Nov  7 05:51:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Who was that lady? - Sat Nov  7 05:57:58 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Her name is Paine. I met her a few weeks ago. She's supposed to be helping Nina enhance her Taijutsu. - Sat Nov  7 05:58:49 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: How.. are you feeling? - Sat Nov  7 06:04:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Eh.... feels like I'll never be finished regenerating. - Sat Nov  7 06:05:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Sorry.. about that.. - Sat Nov  7 06:06:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Stop saying sorry... - Sat Nov  7 06:07:21 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: You never have to be sorry to me. - Sat Nov  7 06:09:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: How.. can you be so sure? Looks.. at the position you're in.. - Sat Nov  7 06:09:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Yeah and I put myself in this position. - Sat Nov  7 06:09:55 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: No.. No you didn't.. - Sat Nov  7 06:10:46 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: This is on me.. - Sat Nov  7 06:10:46 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: ..my.. fault. - Sat Nov  7 06:10:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: No, I intentionally jumped in front of the attack....to weaken it for you. - Sat Nov  7 06:11:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: And I knew my death...would make Index stop. - Sat Nov  7 06:11:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Did you really think I was dead? - Sat Nov  7 06:13:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Yes.. and no. I knew you can't die, but that doesn't mean I take joy in seeing your lifeless body.. - Sat Nov  7 06:14:11 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: If you knew I was going to come back...why....did you look the way you did. - Sat Nov  7 06:15:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: ..My flower.. drained of life is the last thing.. I want to see.. - Sat Nov  7 06:15:02 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) closed her eyes and sighed, "It.... was...."* - Sat Nov  7 06:15:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Your death, mimicked or not, is something.. I don't want to witness or accept.. - Sat Nov  7 06:15:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: You probably will see it again some day....for now... I'll be safe....I don't.... I don't want to see you like that again. - Sat Nov  7 06:16:44 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) frowned now, "I....I don't know...."* - Sat Nov  7 06:24:25 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) shook her head, "no...that's not what I meant. I don't know...because I felt...something."* - Sat Nov  7 06:34:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Only....erm...only for a few seconds. - Sat Nov  7 06:34:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I...felt....anger? - Sat Nov  7 06:37:13 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: And then...when Index killed me.... disappointment... he saw it...he saw it on my face. - Sat Nov  7 06:38:04 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) shook her head, "I don't want you and Index to fight... I want you to get past it...I want you to.... be brothers again..." She closed her eyes, "That won't happen will it...?"* - Sat Nov  7 06:44:03 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) sighed out once more and shifted on the floor mat, "Why were you two fighting?"* - Sat Nov  7 06:58:33 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) shut her eyes and remembered the game she played with Index, this said to her that she was on that list at some point. "I see.... but... he loves Katsune... I can tell."* - Sat Nov  7 07:07:05 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: So that's why he felt it was wrong... - Sat Nov  7 07:14:46 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded slowly, "that... is honestly the stupidest fucking thing I have ever heard as a reason to kill each other. I -died- over vagina?"* - Sat Nov  7 07:16:28 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) grumbled, "he's the one that stopped you from killing someone because he wanted to fertilize her..."* - Sat Nov  7 07:19:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ... would you ... like me to talk to him? - Sat Nov  7 07:20:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Course...then he would know I didn't die. - Sat Nov  7 07:21:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Or I could see... if I could get close without him knowing. - Sat Nov  7 07:22:27 2015
