<br><font color=teal>*Index(Jjking217) whispers: But maybe  I should. - Sat Nov  7 12:45:52 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'm...I'm sorry Ume.. - Sat Nov  7 12:45:52 2015
<br><br><font color=teal>*Index(Jjking217) says: --- - Sat Nov  7 16:16:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Is that..... like... a lucky thing? - Sat Nov  7 16:16:38 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah... - Sat Nov  7 16:16:38 2015
<br><br><font color=teal>*Index(Jjking217) says: Remind me to take you gambling one of these days. - Sat Nov  7 16:16:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mn, okay. - Sat Nov  7 16:16:38 2015
<br><br><font color=teal>*Index(Jjking217) says: Your body....Are you able to differentiate skin pigmentation where you choose? L-Like...With your nipples, and....O-Other things. - Sat Nov  7 16:17:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Well.... I can. If I color my skin, then yes. - Sat Nov  7 16:18:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Nice.. - Sat Nov  7 16:19:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Like right now, they are. But before they weren't. - Sat Nov  7 16:19:12 2015
<br><br><font color=teal>*Index(Jjking217) says: What were they before..? - Sat Nov  7 16:19:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I was all white. - Sat Nov  7 16:19:12 2015
<br><br><font color=teal>*Index(Jjking217) says: I see.. - Sat Nov  7 16:19:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Will you consider forgiving Ortho? - Sat Nov  7 16:23:28 2015
<br><br><font color=teal>*Index(Jjking217) says: ... - Sat Nov  7 16:24:19 2015
<br><br><font color=teal>*Index(Jjking217) says: Maybe...At some point. - Sat Nov  7 16:25:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mn... - Sat Nov  7 16:26:01 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm... - Sat Nov  7 16:26:52 2015
<br><br><font color=teal>*Index(Jjking217) says: I dare you... - Sat Nov  7 16:27:44 2015
<br><br><font color=teal>*Index(Jjking217) says: To do a hand stand. - Sat Nov  7 16:27:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ..... - Sat Nov  7 16:27:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Can I do that? - Sat Nov  7 16:27:44 2015
<br><br><font color=teal>*Index(Jjking217) thinks: ---She's wearing a dress. - Sat Nov  7 16:28:35 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) shrugged and then she stood up and walked over towards the end of the table. She laid down on the ground and then placed her legs against the wall and started to walk up it with her arms bending back to lift her. She knew she couldn't do a handstand the normal way but maybe she could manage it this way. By the time she actually was standing on her hands with only the tips of her feet against the wall her dress was all the way at her hips and showing her light blue cotton panties. "H-how long?"* - Sat Nov  7 16:30:17 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) was only wearing these thin little slippers, clearly made for urban wear. She flipped over with a good amount of grace and clearly a lot of flexibility and then adjusted her dress.* - Sat Nov  7 16:42:14 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Sat Nov  7 16:43:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hmph. - Sat Nov  7 16:44:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: This is hard... - Sat Nov  7 16:44:48 2015
<br><br><font color=teal>*Index(Jjking217) says: It can be anything. - Sat Nov  7 16:44:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I.... dare you....  - Sat Nov  7 16:45:39 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) paused in thought and figured something out that might work to her advantage. "To do something you wanted to do when we played this game the first time."* - Sat Nov  7 16:46:30 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) blinked a few times and then climbed onto his lap. She was... very small so this wasn't complicated and he would find that she was -rediculously- light, as in impossibly light compared to a human body her size.* - Sat Nov  7 16:50:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: So how long? - Sat Nov  7 16:50:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: so? - Sat Nov  7 16:54:11 2015
<br><br><font color=teal>*Index(Jjking217) says: H-Hm.. - Sat Nov  7 16:54:11 2015
<br><br><font color=teal>*Index(Jjking217) says: I dare you.... - Sat Nov  7 16:54:11 2015
<br><br><font color=teal>*Index(Jjking217) says: To take a shot. - Sat Nov  7 16:54:11 2015
<br><br><font color=teal>*Index(Jjking217) thinks: Probably won't affect her...With her rate of regeneration. - Sat Nov  7 16:55:02 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) actually jutted her lip out as she was looking up at him. "Okay...." She grumbled lightly since she had tasted sake before and reached out to pour herself a shot and drank it down quickly. "Ick... I don't like that stuff...so nasty..." She shuddered atop his lap, she did feel alcohol. She only regenerated when she needed to, not all the time... and it effected her just the same as anyone else.* - Sat Nov  7 16:55:53 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) tried to think of something and this game was becoming more and more difficult by the minute really. It felt like every time a dare came, there were less and less choices.* - Sat Nov  7 16:59:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Do what you want to do right now... - Sat Nov  7 16:59:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...a hug? - Sat Nov  7 17:01:52 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) sat still on his lap as he pulled her back into him. She didn't understand why he wanted to do that.* - Sat Nov  7 17:01:52 2015
<br><br><font color=teal>*Index(Jjking217) says: M-Mhm.. - Sat Nov  7 17:02:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Why did you want to do that? - Sat Nov  7 17:03:34 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) peered down at his hand for a moment before reaching out for the dice. She wasn't sure if he was done but she was going to move on...if there was more he was going to do she wasn't going to stop him...assumably. She rolled her dice.* - Sat Nov  7 17:05:16 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you....Consider Chikyu....And Sanoke Friends? - Sat Nov  7 17:06:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ..my friends? - Sat Nov  7 17:06:08 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah.. - Sat Nov  7 17:06:59 2015
<br><br><font color=teal>*Index(Jjking217) says: People you care for. - Sat Nov  7 17:07:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Chikyu... didn't get to know her enough to care about her.... Sanoke.....I'm..worried about him. - Sat Nov  7 17:07:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: He.... could see me. - Sat Nov  7 17:07:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: He saw me for what I am... I think. - Sat Nov  7 17:07:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I think he knows. - Sat Nov  7 17:07:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: When he touched me I couldn't stop myself from copying him...and he .... saw. - Sat Nov  7 17:08:41 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: He backed away..and looked at me very different. - Sat Nov  7 17:08:41 2015
<br><br><font color=teal>*Index(Jjking217) says: I see... - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Index(Jjking217) says: If anything comes of it.. - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Index(Jjking217) says: Let me know. - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't like Suna...Suna doesn't like me.. - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: So I doubt I will see him again. - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Index(Jjking217) says: That's funny.. - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't like Sunagakure either. - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hm? - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Oh. - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Index(Jjking217) says: You can get off my lap if you desire by the way.. - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Well...it's mostly the leader... I don't like him. - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Index(Jjking217) says: He's an asshole. - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You said until the end of the game. - Sat Nov  7 17:11:15 2015
<br><br><font color=teal>*Index(Jjking217) says: I know...But if you want to, you can sit on the cushion. - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It's your choice. - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It was what you wanted now for the dare. - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah, I think it's best if you did. *nod8 - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>*Index(Jjking217) says: nod* - Sat Nov  7 17:12:06 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded and then climbed back onto the cushion.* - Sat Nov  7 17:12:57 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hm... - Sat Nov  7 17:14:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: How did you feel.... when I said my name on the bench in front of the academy? - Sat Nov  7 17:17:13 2015
<br><br><font color=teal>*Index(Jjking217) says: How'd...I feel? - Sat Nov  7 17:17:13 2015
<br><br><font color=teal>*Index(Jjking217) says: I felt... - Sat Nov  7 17:17:13 2015
<br><br><font color=teal>*Index(Jjking217) says: Relieved....'unburdened'. - Sat Nov  7 17:17:13 2015
<br><br><font color=teal>*Index(Jjking217) says: But also... - Sat Nov  7 17:17:13 2015
<br><br><font color=teal>*Index(Jjking217) says: I felt...Horrible. - Sat Nov  7 17:17:13 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You weren't angry with me? - Sat Nov  7 17:18:04 2015
<br><br><font color=teal>*Index(Jjking217) says: No. - Sat Nov  7 17:18:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I was feeling like.. - Sat Nov  7 17:18:04 2015
<br><br><font color=teal>*Index(Jjking217) says: If you didn't say anything.. - Sat Nov  7 17:18:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...can I ask one more question? - Sat Nov  7 17:18:04 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah. - Sat Nov  7 17:18:04 2015
<br><br><font color=teal>*Index(Jjking217) says: Go ahead. - Sat Nov  7 17:18:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Did you ever.... want to use me against Ortho.... in any way? - Sat Nov  7 17:18:56 2015
<br><br><font color=teal>*Index(Jjking217) says: No. Never. - Sat Nov  7 17:18:56 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) looked him over, "That doesn't fit...."* - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Index(Jjking217) says: What's wrong..? - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It doesn't make human sense. - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I was his weak spot. - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You knew his weak spot. - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Index(Jjking217) says: Ortho, Is vulnerable, from multiple places. - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You wouldn't exploit that? - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Index(Jjking217) says: I wouldn't attack my friend to get at another friend. - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... - Sat Nov  7 17:20:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You just would attack a friend to save another friend. - Sat Nov  7 17:20:38 2015
<br><br><font color=teal>*Index(Jjking217) says: I never attacked Ortho, until he attacked me. - Sat Nov  7 17:20:38 2015
<br><br><font color=teal>*Index(Jjking217) says: I attacked his accomplice. - Sat Nov  7 17:20:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Okay. - Sat Nov  7 17:21:29 2015
<br><br><font color=teal>*Index(Jjking217) says: You don't sound convinced. - Sat Nov  7 17:21:29 2015
<br><br><font color=teal>*Index(Jjking217) says: Tell me what you're thinking. - Sat Nov  7 17:21:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'-- - Sat Nov  7 17:21:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I think you are lying to me. - Sat Nov  7 17:21:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Because you are smarter than that. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You hated Ortho in that moment..... - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You wanted to do anything you could to break him. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I could've, Killed Nina. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Or Marissa. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I could've taken Nina captive. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Tortured her because of what he did. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: No...  you care for Nina. Much more than me. - Sat Nov  7 17:23:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Are you willing to bet your life on it? - Sat Nov  7 17:23:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... you really have to ask that question? - Sat Nov  7 17:23:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Nina made a choice. - Sat Nov  7 17:23:12 2015
<br><br><font color=teal>*Index(Jjking217) says: And I suppose I don't. - Sat Nov  7 17:23:12 2015
<br><br><font color=teal>*Index(Jjking217) says: She shed her ties with me. - Sat Nov  7 17:23:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She did? - Sat Nov  7 17:24:03 2015
<br><br><font color=teal>*Index(Jjking217) says: When I attacked Ortho. - Sat Nov  7 17:24:03 2015
<br><br><font color=teal>*Index(Jjking217) says: She was prepared to attack me. - Sat Nov  7 17:24:03 2015
<br><br><font color=teal>*Index(Jjking217) says: She wasn't going to mediate the situation like you did. - Sat Nov  7 17:24:03 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She tried at first... - Sat Nov  7 17:24:54 2015
<br><br><font color=teal>*Index(Jjking217) says: But she gave up. - Sat Nov  7 17:24:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She wasn't able to throw her life away like I am. - Sat Nov  7 17:24:54 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you know why I find it hard, To care about Nina's life? - Sat Nov  7 17:24:54 2015
<br><br><font color=teal>*Index(Jjking217) says: Because -she- doesn't value it. - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Index(Jjking217) says: Because of Ortho, She was ready to commit suicide. - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Index(Jjking217) says: I bought her back from the edge. - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She.... is foolish... - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Index(Jjking217) says: And Ortho tried to claim her as if it was his right. - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: i...never liked her.... - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Index(Jjking217) says: She rejected Ortho. - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Index(Jjking217) says: But because of my words, he pursued her. - Sat Nov  7 17:26:36 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose in the end. - Sat Nov  7 17:26:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She hates him but is too weak because of her love to kill him. - Sat Nov  7 17:26:36 2015
<br><br><font color=teal>*Index(Jjking217) says: That power she has. - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Index(Jjking217) says: He has* - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Index(Jjking217) says: The one with his eyes. - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Index(Jjking217) says: It's one born of stupidity. - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Index(Jjking217) says: All men who've achieved that power. - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Have had one stupid ideal. - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you know what it is? - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: No. - Sat Nov  7 17:28:19 2015
<br><br><font color=teal>*Index(Jjking217) says: .."We've going to run forward, towards the source of our hate, without any plan. And hope for the best, not considering the consequences if we were to fail." - Sat Nov  7 17:28:19 2015
<br><br><font color=teal>*Index(Jjking217) says: He doesn't care. - Sat Nov  7 17:28:19 2015
<br><br><font color=teal>*Index(Jjking217) says: Not about Nina. - Sat Nov  7 17:28:19 2015
<br><br><font color=teal>*Index(Jjking217) says: Not about anyone. - Sat Nov  7 17:29:10 2015
<br><br><font color=teal>*Index(Jjking217) says: He believes he's carrying out Hideki's will. - Sat Nov  7 17:29:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Sat Nov  7 17:29:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I can't believe that. - Sat Nov  7 17:29:10 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you know why, He attatched himself to Marissa? - Sat Nov  7 17:29:10 2015
<br><br><font color=teal>*Index(Jjking217) says: He needed, some form of connection, to replace the one he squandered with his Sister. - Sat Nov  7 17:30:01 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you know what happened when he -thought- he fixed that connection with Nina? - Sat Nov  7 17:30:01 2015
<br><br><font color=teal>*Index(Jjking217) says: She was tossed to the side. - Sat Nov  7 17:30:01 2015
<br><br><font color=teal>*Index(Jjking217) says: It's interesting how trash attracts. - Sat Nov  7 17:30:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....stop it... - Sat Nov  7 17:30:52 2015
<br><br><font color=teal>*Index(Jjking217) says: I've figured it out Owari. - Sat Nov  7 17:30:52 2015
<br><br><font color=teal>*Index(Jjking217) says: This is the best part. - Sat Nov  7 17:30:52 2015
<br><br><font color=teal>*Index(Jjking217) says: ---Man, this is hilarious. - Sat Nov  7 17:30:52 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm surprised I hadn't seen it sooner. - Sat Nov  7 17:30:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... - Sat Nov  7 17:31:44 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) had heard everything he said but wasn't listening...not after one part he ha said. There was only one emotion on her face, and it was very real.... fear. Within her eyes and across her features, she trembled and shown terror as he mentioned what she hoped not to be true.

"He wants to attack the Gezo...." her voice quiet as she spoke it out in a hushed terror.* - Sat Nov  7 17:44:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I....I c-can't attack the Gezo. - Sat Nov  7 17:47:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Then don't. - Sat Nov  7 17:47:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I....didn't know he wanted to attack them.... - Sat Nov  7 17:49:39 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) slowly stood up, shakey, "I...I have to go..." She tried to walk around the table to leave.* - Sat Nov  7 17:49:39 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) was snapped back towards him since she has no power compared to him. Peering up at him wiht her eyes still showing fear she shook her head, "I'm going to tell him.... I can't help him with Gezo...that's all... I won't stop him... it's his choice, but I won't join him for -that-. I can still be there for the other.... and what you have said has brought up questions.... questions about Marrisa....and his sister."* - Sat Nov  7 17:52:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: W-wait. - Sat Nov  7 17:59:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Why did you say all that. - Sat Nov  7 17:59:02 2015
<br><br><font color=teal>*Index(Jjking217) says: All what? - Sat Nov  7 17:59:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Either you were trying to hurt me... or you knew it wouldn't phase me.... if it was that there wasn't a point to saying it.... - Sat Nov  7 17:59:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: So you were trying to hurt me. - Sat Nov  7 17:59:02 2015
<br><br><font color=teal>*Index(Jjking217) says: Hurt you? - Sat Nov  7 17:59:53 2015
<br><br><font color=teal>*Index(Jjking217) says: I have no reason to. - Sat Nov  7 17:59:53 2015
<br><br><font color=teal>*Index(Jjking217) says: But Ortho, is an obstacle. - Sat Nov  7 17:59:53 2015
<br><br><font color=teal>*Index(Jjking217) says: If you help him, and it crosses my path. - Sat Nov  7 17:59:53 2015
<br><br><font color=teal>*Index(Jjking217) says: You'd be an obstacle, So It was a warning. - Sat Nov  7 17:59:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....what would you do then? - Sat Nov  7 18:00:44 2015
<br><br><font color=teal>*Index(Jjking217) says: I'd go through you. - Sat Nov  7 18:00:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You'd kill me again... - Sat Nov  7 18:00:44 2015
<br><br><font color=teal>*Index(Jjking217) says: As many times, as it took. - Sat Nov  7 18:00:44 2015
<br><br><font color=teal>*Index(Jjking217) says: To get it through your head. - Sat Nov  7 18:00:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: That's......annoying. - Sat Nov  7 18:01:36 2015
<br><br><font color=teal>*Index(Jjking217) says: Is it? - Sat Nov  7 18:01:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I....don't know what to do anymore. - Sat Nov  7 18:01:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I....will go...I don't know... - Sat Nov  7 18:05:00 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) just walked out at that point, she felt lost for once... mentally lost.* - Sat Nov  7 18:05:52 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Also. . .if - - Sat Nov  7 18:06:43 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) stepped into the room, looking rather lost. You could tell by her eyes she was very conflicted..* - Sat Nov  7 18:06:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I...I need to talk to you.....soon. - Sat Nov  7 18:07:34 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sat Nov  7 18:08:25 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) turned and walked back out, they looked busy.* - Sat Nov  7 18:08:25 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: A friend of yours Ortho? - Sat Nov  7 18:08:25 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) was staring at the ground.* - Sat Nov  7 18:20:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: "* - Sat Nov  7 18:20:22 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: *nods* - Sat Nov  7 18:21:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: What's bothering you? - Sat Nov  7 18:22:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I learned your plan is to attack gezo.... - Sat Nov  7 18:22:56 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) peered up to him with fear in her eyes, "I can't do that."* - Sat Nov  7 18:23:47 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I've been 'attacking' the Gezo all this time. - Sat Nov  7 18:24:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .. - Sat Nov  7 18:24:38 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: War isn't the only form of 'attacking'. - Sat Nov  7 18:24:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: How? - Sat Nov  7 18:24:38 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I'm just taking their business. They look at the shinobi world as a money making scheme. I take out what gives them funds and politically destroy them. Villages need armor and weaponry? I fund a blacksmith to do the work for them. - Sat Nov  7 18:25:29 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: In turn, they don't go to the Gezo for help. - Sat Nov  7 18:25:29 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Villages need clothing? I fund for a tailor. - Sat Nov  7 18:25:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...thats not really attacking then....I suppose... - Sat Nov  7 18:26:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: ..Where did you even hear that I was attacking the Gezo? - Sat Nov  7 18:26:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Index just accidentally sat next to me on the bench...so we went to talk...it was going really well...and then he snapped and started saying all these things. - Sat Nov  7 18:27:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Ahh, okay.. - Sat Nov  7 18:28:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Don't get angry.... - Sat Nov  7 18:28:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: The rest of the stuff he said I didn't care about...but one other thing I did... - Sat Nov  7 18:28:54 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: And that thing is about the Gezo? - Sat Nov  7 18:28:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Did you use Marrisa as a replacement for Nina's love? - Sat Nov  7 18:29:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: And when you had a chance at Nina's love again...you left Marrisa... - Sat Nov  7 18:29:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: And when you lost it again....you found me.. - Sat Nov  7 18:29:45 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Marrisa and I was passionate toward each other. We were both there for one another when we were going through some emotional stuff. - Sat Nov  7 18:30:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Marrisa and I shifted apart when we realized my goals and her goals contrast. - Sat Nov  7 18:30:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: She wanted to stay within Sunagakure and become a high rank in the Gezo. - Sat Nov  7 18:31:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I won't be trying to stop him from killing you again like I did last time... - Sat Nov  7 18:31:28 2015
