<br><font color=teal>*Index(Jjking217) whispers: I'll explain everything when it's time. - Sun Nov  8 14:08:12 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) suddenly was jolted when she saw three people in her surroundings again. "Oh, hello." She peered about, not thinking she knew Mana or Ichiro.* - Mon Nov  9 03:55:05 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I'll get to you on that, Mana. - Mon Nov  9 03:58:30 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I'll be off then. - Mon Nov  9 04:01:04 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) was sporting a Kirigakure headband pinned into her hair with a cloth to keep her hair out of her face for the moment. "Yes, we are... at least I think we all are."* - Mon Nov  9 04:01:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: And it seems Sado isn't around to entertain them... - Mon Nov  9 04:01:55 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Then I suppose, I must welcome you all. - Mon Nov  9 04:03:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Thank you, but we have been here for several days. - Mon Nov  9 04:03:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Ah... - Mon Nov  9 04:04:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Too absorbed in my training... - Mon Nov  9 04:04:28 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ...... - Mon Nov  9 04:07:02 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) waited for something else to be said, but nothing came.* - Mon Nov  9 04:07:53 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Mon Nov  9 04:07:53 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ..................... - Mon Nov  9 04:08:44 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Anywho.. - Mon Nov  9 04:08:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hm? - Mon Nov  9 04:09:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I apologize for the silence...Normally Sado is her for entertainment... - Mon Nov  9 04:09:36 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: How do you like it here for the most part, Owari? - Mon Nov  9 04:10:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Sado is certainly...entertaining. - Mon Nov  9 04:11:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It's well.... it's calmer than most villages. - Mon Nov  9 04:11:18 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Is this a place you'd like to claim as home? - Mon Nov  9 04:12:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....what? - Mon Nov  9 04:13:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Would you like have this place as your home? Live here? Eat, sleep, all that stuff here..? - Mon Nov  9 04:13:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I'm from Kirigakure. - Mon Nov  9 04:13:52 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I see, I see. - Mon Nov  9 04:17:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Alright then, nevermind. - Mon Nov  9 04:17:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Why would you ask that? - Mon Nov  9 04:18:08 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Just asking. Wanting to know where your mind is. - Mon Nov  9 04:19:50 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: To see where you're happy-.. - Mon Nov  9 04:19:50 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Comfortable. - Mon Nov  9 04:19:50 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded some, "Right."* - Mon Nov  9 04:20:41 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm most comfortable moving around. - Mon Nov  9 04:20:41 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I see, I see. - Mon Nov  9 04:24:57 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Alright.. Let me think. - Mon Nov  9 04:25:48 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Do you want to head to Konoha? - Mon Nov  9 04:25:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: If you'd  like. - Mon Nov  9 04:26:40 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Talk to me, flower. - Mon Nov  9 04:27:31 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I want to know what you'd like to do. - Mon Nov  9 04:27:31 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Mon Nov  9 04:28:22 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) looked back at Ortho and then over to the other boy.* - Mon Nov  9 04:28:22 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I think we should go. - Mon Nov  9 04:28:22 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Consider it done. - Mon Nov  9 04:30:56 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) took his hand to leave.* - Mon Nov  9 04:35:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You shouldn't call me that in public. - Mon Nov  9 04:36:54 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ..You're fight, forgive me. - Mon Nov  9 04:36:54 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) just sort of stares at the people.* - Mon Nov  9 04:38:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ...Never mind the questions can wait... - Mon Nov  9 04:38:36 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Yoo'. - Mon Nov  9 04:40:19 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: What you been up to? - Mon Nov  9 04:40:19 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hello. - Mon Nov  9 04:40:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: I've been chillin with my friends. - Mon Nov  9 04:43:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah man, this is what they force me to do. - Mon Nov  9 04:43:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I mean, it's pretty...Unique... - Mon Nov  9 04:44:35 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yep...builds out team work~ - Mon Nov  9 04:44:35 2015
<br><br><font color=teal>*Rias(LionHunter) says: Arent you the guy I say witht he other girl? - Mon Nov  9 04:44:35 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Wish I had a team... - Mon Nov  9 04:44:35 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Yeah...Bet it does. - Mon Nov  9 04:45:26 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm. - Mon Nov  9 04:45:26 2015
<br><br><font color=teal>*Ziare(Meekee) says: You don't have to stay like that Slim. - Mon Nov  9 04:46:17 2015
<br><br><font color=teal>*Rias(LionHunter) says: Z you know J likes to stay that size but you should turn back... - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) whispers: Most people I've seen here in a while. - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Yep... - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) whispers: Think it's worth getting to know them? - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Who is that with you? - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm Owari.~ - Mon Nov  9 04:48:51 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) bowed faintly.* - Mon Nov  9 04:48:51 2015
<br><br><font color=teal>*Rias(LionHunter) says: Nice to meet you, im Rias~ - Mon Nov  9 04:49:42 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) || A bird landed on her shoulder and she stared at it like it was crazy, "I'm not a lightpost." Speaking directly to the bird, it simply coo'd. Attached to it's ankle was a note.* - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: I wonder why he hangs around that woman so much...It'd be a pain to have to deal with women so often.. - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I'm up for a bit a fun. - Mon Nov  9 04:53:58 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Who'd like a two on one spar? - Mon Nov  9 04:53:58 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) frowned, "it just...landed one me. Why is it sitting on me?"* - Mon Nov  9 05:01:39 2015
<br><br><font color=teal>*Ziare(Meekee) says: A spar? - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Not my thing man. - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Ask Slim or him. - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Umm spar me... - Mon Nov  9 05:05:55 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Uh.... - Mon Nov  9 05:05:55 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I think that would be irrespoanple Smartz you know how i get carried away. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: He's robably strong. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: Look how he carries himself. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: Plus he asked for a  two on one. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: He obviously thinks one of us wouldn't be enough to sate his strength. - Mon Nov  9 05:07:37 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yea thats confidence at its finest - Mon Nov  9 05:07:37 2015
<br><br><font color=teal>*Rias(LionHunter) says: *kanye* - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias, you need to get back to training. - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: I don't see you praacticing. - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Rias(LionHunter) says: Shhhh - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: I wont hush. - Mon Nov  9 05:09:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: Get back to work. - Mon Nov  9 05:09:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: I told you I won't let you go home until you've perfected those techniques. - Mon Nov  9 05:11:02 2015
<br><br><font color=teal>*Rias(LionHunter) says: I will! im tired! You dont know how tiring that is - Mon Nov  9 05:11:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: Exactly, - Mon Nov  9 05:11:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: If you want to sleep afterwards, get back to work. - Mon Nov  9 05:11:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: pick this up -hella- fast when i drop it] - Mon Nov  9 05:12:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: I agree with him! - Mon Nov  9 05:13:36 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) whispers: Who ever sent this is asking if you're free to talk. - Mon Nov  9 05:13:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: ...Only this one break. - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Ziare(Meekee) says: Then it's back to work for you. - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yas~ - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: It doesn't say who? - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: im assuming the fact it says to ume would register who it is] - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: I'll just keep working her until she collapses, then she'll never ask me to work again. - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) whispers: Yeah. Most likely Index? - Mon Nov  9 05:16:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Why do you say that? - Mon Nov  9 05:16:09 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) whispers: The scroll is labeled 'To Ume'. - Mon Nov  9 05:17:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) whispers: Who else knows you as Ume? - Mon Nov  9 05:17:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He is the only other one. - Mon Nov  9 05:17:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Can you write to have him meet me in Konoha? - Mon Nov  9 05:18:43 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) whispers: Uhh, yeah. - Mon Nov  9 05:18:43 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) whispers: Sure. - Mon Nov  9 05:18:43 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) glanced at the bottles <the number is increasing... he's beginning to have a problem.> She looked him over and heard the nickname, granted it was said in a hushed tone she felt weird about it being said in public still, he knew the reasons. "I want to talk to you about a few things, probably somewhere less public. Doesn't have to be too isolated though, and what is this deal you speak of?" She had her hands hugging her upper body as if she was chilled, but of course Ortho knew she really wasn't cold. It had become a common stance for her while waiting around.* - Mon Nov  9 07:51:28 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) sighed and walked in as she looked around the house, "first off... you are going to kill yourself before Lera or Hassan or Index can even get to you with how you been putting back the bottles of alcohol. How am I suppose to make a short term goal of keeping you alive if you are killing yourself?"* - Mon Nov  9 08:00:51 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Mon Nov  9 08:05:58 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) stared at him a long while in silence, she couldn't love but the fact he said that meant she had said something that someone in love might say. She sleuthed over towards him peering up into his eyes. "Would you like me to be able to say that some day?"* - Mon Nov  9 08:06:49 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) blinked a few times, "What was that?"* - Mon Nov  9 08:15:21 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: That's what Index wants to do to me with the scientists. - Mon Nov  9 08:23:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: He wants to give me emotions. - Mon Nov  9 08:23:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: All the time like you. - Mon Nov  9 08:23:02 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ..I see, I see. - Mon Nov  9 08:23:53 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Do you honestly trust his scientists? - Mon Nov  9 08:23:53 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: From what he says? - Mon Nov  9 08:23:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't have to. - Mon Nov  9 08:30:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Because of what I said the one thing is I enjoy eating. - Mon Nov  9 08:30:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Were you awake for that? - Mon Nov  9 08:30:43 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Yeah, I heard it. - Mon Nov  9 08:32:25 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: But it wasn't my place to comment, that was more of a.. question asked by him and answered for him.. - Mon Nov  9 08:32:25 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: He had been wondering. - Mon Nov  9 08:33:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I wanted to tell both of you. - Mon Nov  9 08:33:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: If any of those scientists do anything to harm me. - Mon Nov  9 08:34:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: They will die. - Mon Nov  9 08:34:08 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I mean.. no disrespect, but I have to ask.. - Mon Nov  9 08:34:59 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Index and I.. who seems to show the most.. interest.. in you? - Mon Nov  9 08:34:59 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Like.. about 'what' you are compared to.. 'why' you are.. - Mon Nov  9 08:35:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... - Mon Nov  9 08:35:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: What do you mean? - Mon Nov  9 08:35:50 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: You said that.. you're not complete, right? - Mon Nov  9 08:35:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes? - Mon Nov  9 08:35:50 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Which question can you answer best? What are you and.. 'why'.. are you? Why as in.. why do you exist.. And whay do you exist as in.. what purpose do -you- have for yourself. - Mon Nov  9 08:36:41 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: How does that have to do with you and Index? - Mon Nov  9 08:37:32 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Just.. answer the questions.. please? - Mon Nov  9 08:37:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: But I don't...really fully understand but I know the better why I am. - Mon Nov  9 08:38:24 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Alright.. Out of Index and I.. which one of us, in your opinion..?.. has the better understanding of 'why' you are? - Mon Nov  9 08:39:15 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...you..both asked the same questions of me. - Mon Nov  9 08:40:06 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You...are equal on this matter. - Mon Nov  9 08:40:06 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Literally, the exact same questions. - Mon Nov  9 08:40:06 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: A few hours from each other. - Mon Nov  9 08:40:06 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It was as humans say, 'spooky'. - Mon Nov  9 08:40:57 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I see, I see. - Mon Nov  9 08:41:48 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Very well then. - Mon Nov  9 08:41:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Why did you ask? - Mon Nov  9 08:42:40 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I didn't feel right passing a judgment on what you should do.. or shouldn't.. if Index knew more than me. It'd be asking the unknowing to rule along side the all wise.. - Mon Nov  9 08:43:31 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: It's bound to create conflict.. - Mon Nov  9 08:44:22 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...is there something you are curious about that I haven't spoken of? - Mon Nov  9 08:44:22 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: No, no. - Mon Nov  9 08:47:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Ask anything you want. - Mon Nov  9 08:47:47 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Look.. Remember when I said I wanted to help you find your way..? - Mon Nov  9 08:47:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes. - Mon Nov  9 08:47:47 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I just want to make sure that in the process, I know you to the point where I don't have to answer your question with a.. question..? - Mon Nov  9 08:48:38 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I want to be able to actually 'help' you, instead of 'do what you think is best'.. - Mon Nov  9 08:48:38 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: While you're telling me 'but I -don't- know what's best'. - Mon Nov  9 08:48:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You are. - Mon Nov  9 08:49:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: But ask me your questions now. - Mon Nov  9 08:50:20 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ..Alright.. - Mon Nov  9 08:50:20 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) waited.* - Mon Nov  9 08:51:12 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Is.. having emotions something you.. believe..?.. will make you come up with a goal..? - Mon Nov  9 08:52:03 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes. - Mon Nov  9 08:52:03 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Alright.. - Mon Nov  9 08:53:45 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Then in turn, do you want to risk going under operation? - Mon Nov  9 08:53:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mn...I think it would be benefitial. - Mon Nov  9 08:54:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: To your happiness. - Mon Nov  9 08:54:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And me to make goals. - Mon Nov  9 08:54:36 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ..Not to make this moment about me, because it's truly about you and you only.. but my happiness? - Mon Nov  9 08:56:19 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Do you believe I'm not happen now? - Mon Nov  9 08:57:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes. - Mon Nov  9 08:57:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Well... - Mon Nov  9 08:58:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You would be happier.. - Mon Nov  9 08:58:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I think? - Mon Nov  9 08:58:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: If I could share your emotions. - Mon Nov  9 08:58:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Maybe then I would....even do as you ask in situations where you didn't want me to die for you. - Mon Nov  9 08:58:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Or perhaps I would be more inclined. - Mon Nov  9 08:58:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...no. - Mon Nov  9 09:05:42 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Remember when you said you don't see what Index and I, or people in general, see of you? - Mon Nov  9 09:06:33 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: A mere 'weapon'? - Mon Nov  9 09:06:33 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes. - Mon Nov  9 09:07:24 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: The lack of.. Biased Judgment.. assures us that we're able to tell you anything at anytime and not be.. judged for who we are.. - Mon Nov  9 09:07:24 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: That.. ties in to your lack of emotions.. - Mon Nov  9 09:08:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Mon Nov  9 09:08:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You...enjoy that? - Mon Nov  9 09:08:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yet the two of you constantly appologize to me. - Mon Nov  9 09:08:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Feel guilt for things you have done. - Mon Nov  9 09:08:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ..Because we-.. I.. placed the 'well-being' of the only person that don't look at me with.. those.. eyes. - Mon Nov  9 09:09:07 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Mon Nov  9 09:09:58 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) backed up, "you don't want me to have feelings, it will put you in jeopardy."* - Mon Nov  9 09:09:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm.... - Mon Nov  9 09:09:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Convient. - Mon Nov  9 09:09:58 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: No.. - Mon Nov  9 09:09:58 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: No.. Owari.. - Mon Nov  9 09:09:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: convienent* - Mon Nov  9 09:09:58 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I'm not.. saying that.. - Mon Nov  9 09:10:49 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Come here.. - Mon Nov  9 09:10:49 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Aren't you though? - Mon Nov  9 09:10:49 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) was staring at him this entire time with an emotionless face. "Do you want me to have emotions or not."* - Mon Nov  9 09:17:39 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) blinked as she saw what was going on, "....something's wrong with you. What happens if you stop drinking the alcohol?" She heard his answer but pushed it away for now.* - Mon Nov  9 09:24:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Then that means you should slow down. - Mon Nov  9 09:27:02 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Y-Yeah.. sure. - Mon Nov  9 09:28:44 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I'll try. - Mon Nov  9 09:28:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You know that after I get emotions, I can't stop. - Mon Nov  9 09:32:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It won't go away again. - Mon Nov  9 09:33:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Yeah, I figured that much. - Mon Nov  9 09:33:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Okay. Back to you asking your questions. - Mon Nov  9 09:35:34 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Is.. emotions your goal, or just the stepping stone? - Mon Nov  9 10:13:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Stepping stone. - Mon Nov  9 10:15:40 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Very well.. - Mon Nov  9 10:19:56 2015
