<br><font color=teal>*Haruna(ZenoKuthric) says: ye - Mon Oct  5 01:10:49 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Weapons are weapons. - Wed Oct  7 01:23:37 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: They're used to fight. - Wed Oct  7 01:23:37 2015
<br><br><font color=teal>*Tramerus(Simbasax) thinks: I wonder if he could buy me an artifact of Ares.. - Wed Oct  7 01:24:28 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Indeed they are. - Wed Oct  7 01:24:28 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Actually collectors just hang them up on wall. - Wed Oct  7 01:24:28 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: So they can be used to be look at, though their purpose is to fight. - Wed Oct  7 01:24:28 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: But like I said, i'm not giving them away or selling them. - Wed Oct  7 01:24:28 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: ...... - Wed Oct  7 01:25:20 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Very well then. - Wed Oct  7 01:25:20 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Come, Sin'ichi, Tram, Anguo. - Wed Oct  7 01:25:20 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Then I must take them. Mwhahaha- Oh...dang... I was hoping to predict his next line. - Wed Oct  7 01:25:20 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Goodbye. - Wed Oct  7 01:25:20 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Oh, huh? - Wed Oct  7 01:26:11 2015
<br><br><font color=teal>*Koeki(ZuuZuu) thinks: Wish a nigga would try to take them, gurl please. *Black girl voice* - Wed Oct  7 01:26:11 2015
<br><br><font color=teal>*Koeki(ZuuZuu) thinks: -omit- - Wed Oct  7 01:26:11 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Though Sin'ichi. - Wed Oct  7 01:26:11 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: Should you put Koeki down. - Wed Oct  7 01:27:02 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: Two million is in it for you. - Wed Oct  7 01:27:02 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: I would cooperate if you choose to do do. - Wed Oct  7 01:27:02 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: (So*.) - Wed Oct  7 01:27:02 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: So would you, Tram. - Wed Oct  7 01:27:02 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) proceeds behind the masked individual.* - Wed Oct  7 01:27:02 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) whispers: Oh, wait. - Wed Oct  7 01:27:53 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) whispers: Who's she? - Wed Oct  7 01:27:53 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: The Kage. - Wed Oct  7 01:27:53 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: Nonofficial. - Wed Oct  7 01:27:53 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: So not a Sergeant. - Wed Oct  7 01:28:44 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) whispers: I'm not sure what that is, but she's the leader of the village? If you want me to, that's fine. - Wed Oct  7 01:28:44 2015
<br><br><font color=teal>*Tramerus(Simbasax) whispers: Hmmm I I have an ace but I'll need a very big distraction. - Wed Oct  7 01:28:44 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hey Violet, did you ever finish that mission? - Wed Oct  7 01:28:44 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: Go ahead and try. - Wed Oct  7 01:29:36 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: Anguo, behind me. - Wed Oct  7 01:29:36 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hm, Guess she's daydreaming. - Wed Oct  7 01:29:36 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) whispers: (lemme check something first.) - Wed Oct  7 01:30:27 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hey, Anguo. - Wed Oct  7 01:30:27 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Catch. - Wed Oct  7 01:30:27 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: No problem kid. - Wed Oct  7 01:32:09 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: So....are you guys just going to sit here and stare at me or what. - Wed Oct  7 01:34:43 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Maybe he has become infactuated with you? - Wed Oct  7 01:35:34 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hope not. - Wed Oct  7 01:36:25 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: If you two married, and you became Miss Leader. Would you give him the swords hes looking for? - Wed Oct  7 01:37:16 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Calm yourself kid. - Wed Oct  7 01:37:16 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: *never acts exited all words should be stated in the most lifeless tone* - Wed Oct  7 01:38:08 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Just a simple question... the only interesting thing that happened today. - Wed Oct  7 01:38:59 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Maybe, if I get a water bottle and spray them. They'll go away. - Wed Oct  7 01:38:59 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) whispers: (ok admins don't appear to be too active atm. but uh, both yall still here?) - Wed Oct  7 01:39:50 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: (Yes.) - Wed Oct  7 01:40:41 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) whispers: (i am - Wed Oct  7 01:40:41 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) whispers: (aii, fuck it then.) - Wed Oct  7 01:40:41 2015
<br><br><font color=teal>*Tramerus(Simbasax) whispers: (yup) - Wed Oct  7 01:42:24 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) abruptly turned about, holding in his left hand two scrolls, and in his right a single scroll. Tinges of chakra were passed through each of these objects - the resultant being the appearance of wooden emissaries, under the bidding of Sin'ichi's fingertips.

As the smoke cleared, a large scythe could be seen leaving the plume, headed directly for the female's position - directly at her torso. As quickly as the previous action transpired, two figures could be seen darting out from the smoke, attempting to flank at either side of the female.

At this position, each of these marionettes went into action; at her right, one tilting its head forward and releasing five tendrills to her position, with intention to assault the corresponding side of her lower body, with two stray ones aimed at her thigh and knee.

The other's arms simply folded backwards at the joints - six arms in total, thus six kunai were produced from these orifices, each aimed in similar positions to the tendrils of the previous assault. 

During the assault, the smoke would clear to Sin'ichi standing behind another marionette.* - Wed Oct  7 01:53:29 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) whispers: [catch a nigga up] - Wed Oct  7 02:06:17 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: (Ryme.) - Wed Oct  7 02:07:08 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) whispers: (we need to gank this Koeki nigga.) - Wed Oct  7 02:07:08 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) whispers: [right] - Wed Oct  7 02:08:00 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) whispers: [ima be like *watched that hoe come down, and made her a popsicle with my katana goin in her booty*] - Wed Oct  7 02:09:42 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) whispers: [legit] - Wed Oct  7 02:09:42 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) 's attacks seem for naught, as a powerful shroud of chakra, easily palpable to anyone with basic sensory abilities, as he possessed, could feel. Thereby, he aimed to alter his position, and that of his marionettes, such that the situation could be altered in his favour.

Immediately, as the female's attack was set into initiation, his response was nigh as swift. Sin'ichi, and his puppet closest to him, retreated - scaling some distance as to escape her immediate attack range. A stream of black gas, streaming towards the woman, was released from its left arm - appearing some. Thereafter, the puppet at her left aimed to follow her from the rear, stopping at some medium distance. 

As she elevated herself to such insane heights, its main face released a potent stream of flames - intense enough to cause metal materials to melt with little resistance - at her position, attempting to utilize the currents encompassing her form to his avail.

Quickly after that, if the woman managed to land, his third marionette was positioned some distance from her rear.

* - Wed Oct  7 02:26:46 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: oh go t damn - Wed Oct  7 02:31:53 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) 's attack seemed to fail, and thus the female's devastating attack had connected with the earth - seeming to bury him in a pile of rubble, and eliminating him rather swiftly.* - Wed Oct  7 03:06:01 2015
<br><br><font color=teal>*Koeki(ZuuZuu) thinks: These..these'll take way to long to heal with my limited mastery.... - Wed Oct  7 03:12:00 2015
