<br><font color=teal>*Kuro(Ichigo10101) says: He could have been talked to. - Sat Oct  3 17:50:56 2015
"Who's the little guy..?" She'd ask, referring to Heiwa. As she drifted her gaze away from Misa and Mamoru she'd smile at the young one, inspecting him a little bit.* - Mon Oct  5 01:47:31 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: It' Heiwa. - Mon Oct  5 01:48:22 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah, my jaw and my back. - Mon Oct  5 01:49:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: A man who revels in glory and fighting. - Mon Oct  5 01:52:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Don't worry about him, Heiwa. - Mon Oct  5 01:52:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Misa, do you mind treating me? - Mon Oct  5 01:53:29 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Sure. - Mon Oct  5 01:56:03 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That wasn't the treament though... - Mon Oct  5 02:03:44 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That was just to lessen any discomfort you had. - Mon Oct  5 02:03:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It wasn't? - Mon Oct  5 02:05:26 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You should be back to normal soon if you keep drinking some milk. - Mon Oct  5 02:19:05 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah, thank you. - Mon Oct  5 02:19:05 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: One for the road. - Mon Oct  5 02:19:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Nothing much I suppose. - Mon Oct  5 02:43:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Just getting dicked down in Sunagakure.  - Mon Oct  5 02:44:41 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You're the one who killed that man with the big sword, huh? - Mon Oct  5 02:50:40 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) had the big sword that Heiwa mentioned leaning against the wall.

"He is." She'd state, smiling lightly.* - Mon Oct  5 02:52:22 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ....Yeah. - Mon Oct  5 02:54:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sorry about you having to see that. - Mon Oct  5 02:54:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's okay. That weird man in the robes buried him afterwards. - Mon Oct  5 02:59:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Next to Miss Hanabi. - Mon Oct  5 02:59:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ...Ah. - Mon Oct  5 03:10:17 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) looked at the male, mostly peering at his mask. He was pecular to her.* - Mon Oct  5 20:10:52 2015
<br><br><font color=teal>***Masked Man**(Jjking218) whispers: Open your mouth, I have to be sure you don't repeat a word you've said. - Mon Oct  5 20:13:26 2015
<br><br><font color=teal>***Masked Man**(Jjking218) whispers: Don't run, Don't scream, do as you're told. - Mon Oct  5 20:13:26 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: Eh..? Why, do you wanna look at my mouth or somethin'? - Mon Oct  5 20:14:17 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: Are you a dentist wearing a mask and cloak? - Mon Oct  5 20:15:08 2015
<br><br><font color=teal>***Masked Man**(Jjking218) whispers: Something of the sort, so open up. - Mon Oct  5 20:15:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . . - Mon Oct  5 20:15:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo. - Mon Oct  5 20:16:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ........ - Mon Oct  5 20:16:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Kojiro. - Mon Oct  5 20:16:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who are these people. - Mon Oct  5 20:16:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Hm? - Mon Oct  5 20:16:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You might not want to get near that area. - Mon Oct  5 20:16:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He just farted. - Mon Oct  5 20:16:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So the smell might linger around. - Mon Oct  5 20:16:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh, the girl over there is my lover, Sachi, and I don't know the guy. - Mon Oct  5 20:16:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Mon Oct  5 20:16:51 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) looked up at him, her lack of trust directed to him being clear.* - Mon Oct  5 20:17:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Is it only this female that is here? Kojiro. - Mon Oct  5 20:18:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Al-Saachez... Is - - Mon Oct  5 20:18:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah. - Mon Oct  5 20:18:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Mon Oct  5 20:19:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who else. - Mon Oct  5 20:19:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: This female has a name you know. - Mon Oct  5 20:19:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sword girl, and some dude. - Mon Oct  5 20:19:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Mon Oct  5 20:19:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ? - Mon Oct  5 20:20:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right. - Mon Oct  5 20:20:16 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I'm not going anywhere. I have someone here that needs me. Until they no longer need me I don't intend to go anywhere. - Mon Oct  5 20:22:49 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks:  A though guy. - Mon Oct  5 20:23:40 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) transformed into katana state, dropping to the floor with a clang the moment she noticed any movement from his arm. She had high hopes of confusing him.* - Mon Oct  5 20:27:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'd suggest.. - Mon Oct  5 20:28:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Moving away from her. - Mon Oct  5 20:28:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: .....That is the best he could come up with? - Mon Oct  5 20:29:39 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: ...That is the best he could do? - Mon Oct  5 20:30:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Unless you got sight - Mon Oct  5 20:31:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Mon Oct  5 20:31:21 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: And just like that things went to shit. - Mon Oct  5 20:39:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: headbands* - Mon Oct  5 20:47:34 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) was apparently picked up. It was at this point that she immediately reverted from sword form. Because he was holding her hilt that applied to her hand being held by the male when she -wasn't- in katana form. With that being said she'd apply her strength to the situation, attempting to snag the male in front of her and throw her right arm out toward the nape of his neck, trying to coil her right hand around the back of it and drive him to his knees, aiming to press her knees to the back of his ankles and press his head to the floorboards.* - Mon Oct  5 20:56:57 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) had no intentions of fighting especially without Mamoru to wield her. The girl would revert from katana form, standing up and attempting to manifest a distance between herself and the masked individual. She'd take the time to recover any lost chakra while keeping a good eye on the events taking place between the two. For now she was no longer involved with the situation.* - Mon Oct  5 21:09:45 2015
<br><br><font color=teal>***Masked Man**(Jjking218) says: unable to move - Mon Oct  5 21:11:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: omit - Mon Oct  5 21:16:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Mon Oct  5 21:28:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see.. - Mon Oct  5 21:28:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Put the mask back on... - Mon Oct  5 21:29:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...Why are you here. - Mon Oct  5 21:29:23 2015
<br><br><font color=teal>***Masked Man**(Jjking218) says: He gazed into my eyes, And saw the blackened Fire of My mixtape. - Mon Oct  5 21:29:23 2015
<br><br><font color=teal>***Masked Man**(Jjking218) says: --omit- - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: The what now. - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...... - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Baakaaa. - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Where did you get that eye.... - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>***Masked Man**(Jjking218) says: Rape - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>***Masked Man**(Jjking218) says: --omit- - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ..... - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki. - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Your intentions? - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...Yes. - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: To release the man. - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ... - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I respect your decision. - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Carry on. - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thank you. - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: <*Respects RP*> - Mon Oct  5 21:38:46 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Mon Oct  5 21:38:46 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: What was that? - Mon Oct  5 21:40:28 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) re-approached the bookshelf, reaching her hand behind it and dragging Kubikiribocho out. It's upper blade was -excruciatingly- dull from her excessively dragging it around. She was going to place it somewhere safe in her apartment at some point.* - Mon Oct  5 21:41:20 2015
<br><br><font color=teal>*Reguel(Airide) says: Good question. - Mon Oct  5 21:41:20 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: No, I'm fine. - Mon Oct  5 21:42:11 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Still a little numb. - Mon Oct  5 21:42:11 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: So. - Mon Oct  5 21:43:53 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Raikage man. Did you get the orders in yet? - Mon Oct  5 21:43:53 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No. - Mon Oct  5 21:43:53 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'll let you know when I get the weights. - Mon Oct  5 21:43:53 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Hnnn... You sent the orders out tho' right? - Mon Oct  5 21:44:44 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) crouched down and bit the blade's blunt side.

<Doesn't taste good.> She'd state. The faint taste of dry blood consumed her buds. She'd start tucking the weapon behind the bookshelf and leaning against the wall.* - Mon Oct  5 21:44:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Don't worry about it. - Mon Oct  5 21:45:36 2015
<br><br><font color=teal>*Reguel(Airide) says: Have you heard from the blonder Misa? - Mon Oct  5 21:46:27 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No. - Mon Oct  5 21:46:27 2015
<br><br><font color=teal>*Reguel(Airide) says: Figures. - Mon Oct  5 21:47:18 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'ma worry about it til' I gett'em. - Mon Oct  5 21:47:18 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You won't live that way. - Mon Oct  5 21:48:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It's not healthy. - Mon Oct  5 21:48:09 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Well if you put the order in already then I wouldn't have'ta worry so much. - Mon Oct  5 21:48:09 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Hey. Raikage. - Mon Oct  5 21:49:00 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Want to invest in some weapons? - Mon Oct  5 21:49:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hm? - Mon Oct  5 21:49:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: These people ask me to buy too much... - Mon Oct  5 21:49:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: I guess they don't want a proper hospital. - Mon Oct  5 21:49:52 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Raikage-sama, could you let me know if Gezo knows anything about the "Tokisaki" kekkai genkai? - Mon Oct  5 21:50:43 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: I wonder if turning into a katana is all I can do. - Mon Oct  5 21:50:43 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Tokisaki? Never heard of it. - Mon Oct  5 21:50:43 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Yeahuh, it's the clan I'm part of. - Mon Oct  5 21:51:34 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'll look into it I suppose. - Mon Oct  5 21:52:25 2015
<br><br><font color=teal>*Reguel(Airide) says: Ah, that reminds me, Miranda didn't have any scrolls did she? - Mon Oct  5 21:52:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I don't know who Miranda is. - Mon Oct  5 21:52:25 2015
<br><br><font color=teal>*Reguel(Airide) says: Strange. - Mon Oct  5 21:53:16 2015
<br><br><font color=teal>*Reguel(Airide) says: Ugh so much things are going on, and I can't do anything about it. - Mon Oct  5 21:58:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: A'ight. All done. - Mon Oct  5 22:03:31 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Hello Niza. - Mon Oct  5 22:05:13 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Mon Oct  5 22:05:13 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm. - Mon Oct  5 22:06:04 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hello Misa. - Mon Oct  5 22:08:38 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You wouldn't happen to know a blacksmith would you? - Mon Oct  5 22:09:29 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Sadly, no. - Mon Oct  5 22:10:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Mon Oct  5 22:11:12 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) exited the mansion dragging Kubikiribocho behind her.* - Mon Oct  5 22:11:12 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) stored Kubikiribocho within her home.* - Mon Oct  5 22:12:54 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: .....Youth...... - Mon Oct  5 22:44:28 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Mon Oct  5 22:45:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey, Chiharu. - Mon Oct  5 22:45:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Have you been well? - Mon Oct  5 22:45:20 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Mhm, have you? - Mon Oct  5 22:46:11 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) looked toward him in curiousity when she felt his hand press to her back.

"Hm?"* - Mon Oct  5 22:47:53 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm recovered now. - Mon Oct  5 22:49:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you want to train together? - Mon Oct  5 22:49:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: At my house. - Mon Oct  5 22:49:36 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Oh, sure! - Mon Oct  5 22:50:27 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So uh.... - Mon Oct  5 22:51:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What would you like to do? - Mon Oct  5 22:51:18 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmmm... whatever you wanna do..~ - Mon Oct  5 22:52:09 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) looked at him with wide eyes. She didn't interpret what he meant fully.

"Wha?"* - Mon Oct  5 22:53:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Um.... - Mon Oct  5 22:53:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you wanna.... - Mon Oct  5 22:53:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Y'know. - Mon Oct  5 22:53:52 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: ...???? - Mon Oct  5 22:53:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ....... - Mon Oct  5 22:53:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: D-Do you want to have sex? Is what I'm asking you. - Mon Oct  5 22:53:52 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Wh--well.. - Mon Oct  5 22:53:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I like you. - Mon Oct  5 22:54:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And I want to be with you.  - Mon Oct  5 22:54:43 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) felt her eyes widen more. She'd smile lightly. "I... like you too.. Mamoru.." She'd state, smiling a little brighter as she clasped his other hand with her own. "I wanna be with you too.." She'd murmur, a faint blush appearing on her face. The look of genuine attraction to the male indicated that she shared the same opinion of him as he did her.* - Mon Oct  5 22:57:16 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) lay atop the bed, looking up at him with a look of sedated desire. The kiss only reinforced her feelings. "I.. I love you too, Mamoru. B..Be with me.. forever.." She'd state in a hushed tone, her blush growing darker. Her body was completely his for the taking at this moment.* - Mon Oct  5 23:02:24 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) "Nnnh..." She'd let out a small moan when he kissed her again, her lips melding to his firmly. Chiharu coiled her arms around his frame, attempting to pull him as close as possible. Her blush grew greater, and so did her affection towards him.* - Mon Oct  5 23:08:22 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) cocked her head back as he began to pleasure the more sensitive areas of her figure. Her grip on his clothing grew tigher, her hands clenching around the fabric. Chiharu felt his affectionate warmth swarm the entirety of her figure. The pleasure she was feeling was intoxicating.* - Mon Oct  5 23:11:47 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) tensed up, her gaze drifting down to Mamoru's figure. The girl's fingernails dug into his back. She'd moan more when he eagerly clenched her left breast. Chiharu feverishly worked to expose more of her body by removing her clothing. She'd pull her sweater just above her pair of breasts, her leggings hanging off of her kneecaps. The black haired girl would manage her way to her hair, partially removing the band holding before her hand fell to the side, clutching at the bed.

Chiharu's other hand gestured to the back of Mamoru's head, clenching at his hair and rustling it. Her moans were as contained as possible.* - Mon Oct  5 23:28:00 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) "Nnnnnnhaaaa..." Her moans of pleasure would grow greater, her hand clenching at the male's hair. "S..So good....i..it feel...feels so...g...kyaaaaaaa..!" The black haired girl was overcome by a flood of great feelings. Her legs would coil around him, urging him closer as he removed his pants without being aware of the action. She couldn't bear how good it felt to have the sensitivity within her breasts exploited.

 * - Mon Oct  5 23:38:14 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) felt his member tuck between her thighs. The girl looked up to him passionately, her lustful stare refusing to part from Mamoru's face. Her arms would lightly remain wrapped around his form as she whispered. "Be gentle.." She was breathing lightly, and sweat drenched her face. She was a little nervous, but also very eager.* - Mon Oct  5 23:47:37 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) tensed up more, her grip on him tightening as she pulled him as close as possible, her tongue pressing against his. She'd threw her head back if she wasn't occupied with french kissing him. Chiharu felt his rod push into her walls, moaning considerably in a mix of pain and never-felt pleasure. The girl's legs clenched tighter around him. The walls of her pink pathway drenched in self-lubrication seemed to contract around the shape of his member, fitting to it in a degree.* - Mon Oct  5 23:54:27 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) felt even more of his shaft shove it's way into her vagina. The torrent of pleasure that immersed every inch of her body easily trumped the pain of having her cherry popped. Her legs and arms would constrict around his frame, but only to a degree that wouldn't cause discomfort. "M..Mamoru..!" She'd say between loud moans, her fingernails scraping across his bare back.* - Tue Oct  6 00:04:41 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) moans became louder. Her tongue pressed against his, the area between her legs going numb but failing to stop her from feeling the immense pleasure. "A-aaaaaaahh..!" Her shriek would precede her orgasm, her legs and arms clenching around Mamoru tightly as she continued to orgasm while his rod pounded away at her.

"N...nn...n...yaaaa...hhh...a....haaaaaaa...."* - Tue Oct  6 00:14:56 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) was still debilliated by her first orgasm. Her eyes were rolled into the back of her head, her gaze only drifting away from the ceiling when she felt him ejaculate upon her belly and pair of breasts. A soothing sigh escaped her mouth, her body untensing. Her legs would slide from being wrapped around him, and her arms would fall to her sides. "Nnnnn....." She'd mumble.* - Tue Oct  6 00:23:28 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: My inner thighs are numb... and I'm too exhausted to move. - Tue Oct  6 00:24:19 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) softly wrapped her arms around him, pressing her hand to the back of his head, urging him to rest his head in her bosom. A small smile would overlay her features, her half-lidded gaze directed toward Mamoru slowly descending. Her grasp on consciousness was faltering. She was very drained from her first experience.* - Tue Oct  6 00:26:01 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu.... - Tue Oct  6 00:30:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll..protect you..... - Tue Oct  6 00:30:17 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I-I'd appreciate that.... - Tue Oct  6 00:31:08 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) fell asleep.* - Tue Oct  6 00:37:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I suppose I'll get to work.... - Tue Oct  6 00:37:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: I'll train and then come back to take a shower. - Tue Oct  6 00:39:40 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) fell victim to a sex coma. She'd be out for the next four hours.* - Tue Oct  6 00:40:32 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) walked along, dragging Kubikiribocho.* - Tue Oct  6 02:49:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yo.. - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: .... - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: Why'd she come...here... - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What does this Edge guy have to do with any of this? - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: At this time... - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Damn.. - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Kida. - Tue Oct  6 02:53:39 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ....... - Tue Oct  6 02:54:30 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Don't ask questions with obvious answers. - Tue Oct  6 02:54:30 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ............. - Tue Oct  6 02:54:30 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) approached the vicinity, dragging Kubikibocho within her right handed grasp. She'd happen to notice Tetsujin, but didn't exactly ever see him before. She wasn't sure whom he was.* - Tue Oct  6 02:55:21 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Tue Oct  6 02:55:21 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: ..................................... - Tue Oct  6 02:55:21 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . - Tue Oct  6 02:55:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Tue Oct  6 02:55:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ............................ - Tue Oct  6 02:55:21 2015
<br><br><font color=teal>*Tetsujin(KenichiMD) says: .......................................................................... - Tue Oct  6 02:55:21 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: ..... - Tue Oct  6 02:55:21 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Well... - Tue Oct  6 02:55:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ................................................................. - Tue Oct  6 02:55:21 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That's. - Tue Oct  6 02:55:21 2015
