<br><font color=teal>*Kyubishu(Dillion13) says: You've got to be kidding me. - Sun Nov  1 21:50:17 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I'll get these all done by the end of the day. - Fri Nov  6 16:23:02 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Alright, thanks. - Fri Nov  6 16:23:02 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Also, you should note we lost a lot of genin. - Fri Nov  6 16:23:53 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I know. - Fri Nov  6 16:23:53 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: They all went to Sunagakure. - Fri Nov  6 16:23:53 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Ah good... I don't have to explain it to you. - Fri Nov  6 16:24:44 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I hate explaining. - Fri Nov  6 16:24:44 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I know most things going on. - Fri Nov  6 16:24:44 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Thats...*yawn* good... - Fri Nov  6 16:25:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 16:25:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Tell me. - Fri Nov  6 16:25:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Are you always this lazy? - Fri Nov  6 16:26:27 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yep. - Fri Nov  6 16:27:18 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . .Great. - Fri Nov  6 16:28:09 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: We needed someone like that to round out the village. - Fri Nov  6 16:28:09 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yeah...yeah. - Fri Nov  6 16:29:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Greetings. - Fri Nov  6 16:30:43 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh...its Yan. - Fri Nov  6 16:31:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah..I am Yan, sorry. I am looking for a wanted criminal by the name of Katsune. - Fri Nov  6 16:37:32 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Katsune? I'm afraid I haven't even heard the name before. - Fri Nov  6 16:38:24 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Same here. - Fri Nov  6 16:39:15 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh...sounds like you might be able to make back some of your money. - Fri Nov  6 16:41:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Any notable ones that you wouldn't? - Fri Nov  6 16:44:22 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'll judge them as they arrive. - Fri Nov  6 16:44:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Very well. - Fri Nov  6 16:44:22 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: See ya. - Fri Nov  6 16:46:04 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: So, tell me new kage. Are you Katsune in disguise? - Fri Nov  6 16:52:54 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Man... you're right. You don't look like Katsune, I mean its not like theres a jutsu that can change people's looks. - Fri Nov  6 16:53:45 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . . - Fri Nov  6 16:54:36 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Stop being a smartass. - Fri Nov  6 16:54:36 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Am I wrong? - Fri Nov  6 16:54:36 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Regardless, I'm not this 'Katsune'. - Fri Nov  6 16:54:36 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Hehe... I'll believe you. Not like, it matters anyways. - Fri Nov  6 16:55:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Mhm. - Fri Nov  6 16:55:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I could care less if you believe I am who I say I am. - Fri Nov  6 16:55:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: All that matters is that Kirigakure prospers. - Fri Nov  6 16:56:19 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well, I mean if you were a two million dollar criminal. I, one, would be no match for you. The other, is that again, if you were katsune, you might destroy the village if I revealed the truth. - Fri Nov  6 16:57:10 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Trust me. I am who I say I am. - Fri Nov  6 16:58:01 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I said I believe you. - Fri Nov  6 16:58:01 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Trust me. - Fri Nov  6 16:58:01 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Mhm. - Fri Nov  6 16:58:01 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I heard Kirie met an untimely end. You must be her replacement, correct? - Fri Nov  6 17:40:41 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: In a way. - Fri Nov  6 17:40:41 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I rose up myself to help this village. - Fri Nov  6 17:40:41 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: That's good to hear. - Fri Nov  6 17:41:32 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I'm Ikaro. I don't believe we've met. - Fri Nov  6 17:41:32 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm Jehan. - Fri Nov  6 17:42:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: A pleasure. - Fri Nov  6 17:42:24 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Indeed. - Fri Nov  6 17:42:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I assume I'll be able to count on you for the village? - Fri Nov  6 17:42:24 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: You can count on me, yes. I've been around for a fairly long time. - Fri Nov  6 17:43:15 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. - Fri Nov  6 17:43:15 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Mhm. - Fri Nov  6 17:44:57 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Hrm - anyway. .  Hopefully your reign will prove to be better than the previoius Kage that came before. - Fri Nov  6 17:49:13 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: As  long as I can improve Kirigakure before I pass, that's all that matters. - Fri Nov  6 17:50:04 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Mhm, I suppose. Just try to stay alive. We've been through too many. - Fri Nov  6 17:50:04 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm. - Fri Nov  6 17:50:04 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Kana. Have you mastered the jutsu I told you to master? - Fri Nov  6 17:50:56 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Water Style: Syrup Trap. - Fri Nov  6 17:50:56 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Have you learnt anything of notice since then? - Fri Nov  6 17:51:47 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Alright. Would you like to continue your lessons? Obviously, I'll adjust what I was set to learn and fast track you since it's been a while. . . - Fri Nov  6 17:52:38 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: How old even are you? - Fri Nov  6 17:53:29 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 17:54:20 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: He's the other one.....i remember. - Fri Nov  6 17:54:20 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: And you still have an annoying attitude. - Fri Nov  6 17:54:20 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Anyway, meet me up north, as usual. - Fri Nov  6 17:55:12 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 17:56:03 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: . . . Right. - Fri Nov  6 17:56:03 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Do you want me to teach you anything or no? - - You seriously do send mixed signals. - Fri Nov  6 17:56:03 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: Idiot... - Fri Nov  6 17:57:45 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: . . . Slightly rude, don't you think? - Fri Nov  6 17:57:45 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 17:57:45 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I'm sure the Mizukage can handle themself. - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Let her be. - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: - - - - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: It seems to be her attitude. - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Not something you can really fix. - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) thinks: He shouldn't take that. - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Who's Ortho? - Fri Nov  6 17:59:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 18:00:19 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) thinks: What? - Fri Nov  6 18:00:19 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Anyway. - Fri Nov  6 18:01:10 2015
<br><br><font color=red>*Kana(Zoey-Lover) just <i>KILLED</i> Hogo, Ikaro(EvolutionMe) - Fri Nov  6 18:01:10 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm not ignoring you. - Fri Nov  6 18:03:44 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Who's Ortho? - Fri Nov  6 18:08:51 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: The person who wrecked the village last. - Fri Nov  6 18:09:42 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Then why is she getting so worked up about his death? He was obviously scum. - Fri Nov  6 18:09:42 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ..... - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: It's all based on point of view. - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Hey... - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Uhhh. - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Can I talk to you in private? - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Do I know you? - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: Ketsu better now be causing trouble. . . - Fri Nov  6 18:11:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: *not - Fri Nov  6 18:11:24 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: No, no you don't. - Fri Nov  6 18:12:16 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Then introduce yourself first. After that, we can talk. - Fri Nov  6 18:12:16 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Name's Ketsu. - Fri Nov  6 18:13:07 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: And I'm Ikaro. Lead the way. - Fri Nov  6 18:13:07 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: Calling me scum? Die, bitch. - Fri Nov  6 18:13:07 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 18:13:58 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: The fool is going to ruin everything. - Fri Nov  6 18:13:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: So where is this new Mizukage... - Fri Nov  6 18:37:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see. - Fri Nov  6 18:37:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Left for where? - Fri Nov  6 18:37:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Useful... - Fri Nov  6 18:37:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, I will have a look around then. - Fri Nov  6 18:37:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Whats the Mizuakges name? - Fri Nov  6 18:40:25 2015
<br><br><font color=teal>*Shisai(Niquolas12) says: Evening. - Sat Nov  7 00:53:20 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) began to start his first mission. Grabbing the second scroll handed to him, he knew this take the longest. He didn't want it to reach dark by the time he began his look out. He then pulled out the scroll. Reading the description of the missing pet written in the report. His eyes rolled in back of his head, as it was a very familiar previous customer. His eyes darting to look at his arms which for a day held some nasty scratches. Shaking his head, he just folded the scroll back into his jacket. Walking towards the woods.

His feet stopping on the dime as soon as he reached the edge of the forest. He stopped bursting his chakra to manipulate the earth. Several clones rising out of it, and standing next to him. The clones then let out a sigh, as he nodded. It was the good same old job they were used to. He then pointed in several directions, ordering the groups to go out through the woods. His feet picking as he went forward into the woods himself.

The boy and his clones began to weave through the trees. His hands getting better at whacking away the branches in front of him. He shook his head, going straight forward through the brush. His hand carefully avoiding getting bit by any insects. He was sick that he was actually getting used to this. Biting his lips, he continued to swivel his head on look out for the missing feline.

His eyes adjusting to the shades of the tree. His eyes looking for the color of the cat, that would clash with the greenery. His mind nearly completely empty, as he mindless took care of the job. His other clones were having similiar issues, finding the energy to push through the forest. Their minds all sharing the same disappointment and grief with the mission. Jirun and his clones though soon would nearly cover the entire forest. All them now having a blaring thought, 'any time soon we'll find it... just keep going.'

The sudden call from one of the clones let out a signal that the cat was found. This led to the amplified sigh of relief from every clone .The combined happy laze exhale led to the trees shaking. Running over, Jirun went over to find the spot where the signal was called. He went towards the clone, who waved him over pointing to the cat  once again digging itself in a small hole in the ground. The threatless hisses were ignored, as Jirun grabbed the mission objective taking it back to its home.* - Sat Nov  7 01:00:09 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) Looked at his time, the sun still pointing to the fact he had plenty of time to finish the picking up trash mission, before going to help the elder. His hands forming several seals, as he made several clone handing them each a trash bag plus a stake to help pick up the trash. The group then split up, heading for different streets. The real Jirun plus another clone aiming for the recent sites of the attacks on Kirigakure. The destroyed mansion, plust the violent path of the snake gave easy places to pick up some leftover debris.

The clones quickly got to work on their own area. Each motivated by the split up work, all them happy to have some easier work for once. Though still, they had to keep the pace up. They didn't want to be late for the last mission of the day. Their hands picking up speed, as they shoved their metal spikes into trash. Pulling up the spike, then tapping the garbage loose till it fell in the bag. This helped keep up a nice pace, breaking down the need to bend and huddle over each piece of trash.

It wasn't long before they all converged in the center of town. The real Jirun and his partner clone, getting enough for their bags first. The other two taking a bit longer to find some human waste to pick up. Still, they were all very relieved to see how quick they managed the job. Then, handing his trash bags to the clones. Jirun let them throw away the trash and dismiss themselves, as he headed ot his last task of the day.* - Sat Nov  7 01:00:09 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) leaving his clones behind to finish the trash duty. Jirun paused himself before the house of the elder he was supposed to help. His hand reaching up to knock at the door. The woman slowly stepped out of her house, nodding her head respectfully to the genin even though he was a teenagere. Jirun let out a mental sigh, he was good with getting respect he had found was for no deserving reason. He shook his head at her, at her attempts to thank him for coming just saying they should hurry and do the mission.

Leaving off, she slowly walked her way through the crowds heading towards the market. The elderly woman stating that she was quite frightened from the recent attacks. She looked at the boy smiling a bit, it was quite reassuring to have any level of ninja around. Jirun's frown only growing bigger, as he begins to feel a lot of self guilt in himself. Thinking silently, he really wasn't the right one for this kind of mission. It was probably the most painful out of the bunch, including his several scratches from cats.

Soon, they finally reached the market. The woman was very specific on what she wanted. Her list small and short, as she began to pick out her ingridients for various meals and a few layers of cloth for her knitting hobby. Jurin more then happy to hold on to most of it for her. Feeling like he would hate himself even more if he didn't. The genin loyally following the woman around, no matter how much she pack up on him.

The rest of time that wasn't spent shopping was her stopping and talking with everyone. It seemed she knew every shop keeper in the village. Always, she have something to say to a passer by. So, instead of being a mission based on how much he could carry. Jirun was just being tested on patience. His legs turning to jelly at times just from mere inactivity. Having to let the old woman stand by and talk to all her acquintances.

Finally, the old lady seemed to have finished with her dialogue. What he thought would be a short mission turning into something much longer. Though, he was glad all he had to do was carry this stuff back. He followed all the way inside the house, where he placed the recently shopped items where ever the lady wished him too.  The old lady thanking him happily for doing all this for her, Jirun just shaking his head again. He said it was a pleasure for himself, but secretly as he stepped outside the door. He was happy to get away from her.* - Sat Nov  7 01:00:09 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Gah... more people. They just keep popping up. - Sat Nov  7 01:01:52 2015
<br><br><font color=teal>*Rahm(Sentaryu) says: Yes, more people. - Sat Nov  7 01:11:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey.. - Sat Nov  7 01:30:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tch..dull.. - Sat Nov  7 01:31:44 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) began to start his first mission. Grabbing the second scroll handed to him, he knew this take the longest. He didn't want it to reach dark by the time he began his look out. He then pulled out the scroll. Reading the description of the missing pet written in the report. His eyes rolled in back of his head, as it was a very familiar previous customer. His eyes darting to look at his arms which for a day held some nasty scratches. Shaking his head, he just folded the scroll back into his jacket. Walking towards the woods.

His feet stopping on the dime as soon as he reached the edge of the forest. He stopped bursting his chakra to manipulate the earth. Several clones rising out of it, and standing next to him. The clones then let out a sigh, as he nodded. It was the good same old job they were used to. He then pointed in several directions, ordering the groups to go out through the woods. His feet picking as he went forward into the woods himself.

The boy and his clones began to weave through the trees. His hands getting better at whacking away the branches in front of him. He shook his head, going straight forward through the brush. His hand carefully avoiding getting bit by any insects. He was sick that he was actually getting used to this. Biting his lips, he continued to swivel his head on look out for the missing feline.

His eyes adjusting to the shades of the tree. His eyes looking for the color of the cat, that would clash with the greenery. His mind nearly completely empty, as he mindless took care of the job. His other clones were having similiar issues, finding the energy to push through the forest. Their minds all sharing the same disappointment and grief with the mission. Jirun and his clones though soon would nearly cover the entire forest. All them now having a blaring thought, 'any time soon we'll find it... just keep going.'

The sudden call from one of the clones let out a signal that the cat was found. This led to the amplified sigh of relief from every clone .The combined happy laze exhale led to the trees shaking. Running over, Jirun went over to find the spot where the signal was called. He went towards the clone, who waved him over pointing to the cat  once again digging itself in a small hole in the ground. The threatless hisses were ignored, as Jirun grabbed the mission objective taking it back to its home.* - Sat Nov  7 10:25:55 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) Looked at his time, the sun still pointing to the fact he had plenty of time to finish the picking up trash mission, before going to help the elder. His hands forming several seals, as he made several clone handing them each a trash bag plus a stake to help pick up the trash. The group then split up, heading for different streets. The real Jirun plus another clone aiming for the recent sites of the attacks on Kirigakure. The destroyed mansion, plust the violent path of the snake gave easy places to pick up some leftover debris.

The clones quickly got to work on their own area. Each motivated by the split up work, all them happy to have some easier work for once. Though still, they had to keep the pace up. They didn't want to be late for the last mission of the day. Their hands picking up speed, as they shoved their metal spikes into trash. Pulling up the spike, then tapping the garbage loose till it fell in the bag. This helped keep up a nice pace, breaking down the need to bend and huddle over each piece of trash.

It wasn't long before they all converged in the center of town. The real Jirun and his partner clone, getting enough for their bags first. The other two taking a bit longer to find some human waste to pick up. Still, they were all very relieved to see how quick they managed the job. Then, handing his trash bags to the clones. Jirun let them throw away the trash and dismiss themselves, as he headed ot his last task of the day.* - Sat Nov  7 10:25:55 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) leaving his clones behind to finish the trash duty. Jirun paused himself before the house of the elder he was supposed to help. His hand reaching up to knock at the door. The woman slowly stepped out of her house, nodding her head respectfully to the genin even though he was a teenagere. Jirun let out a mental sigh, he was good with getting respect he had found was for no deserving reason. He shook his head at her, at her attempts to thank him for coming just saying they should hurry and do the mission.

Leaving off, she slowly walked her way through the crowds heading towards the market. The elderly woman stating that she was quite frightened from the recent attacks. She looked at the boy smiling a bit, it was quite reassuring to have any level of ninja around. Jirun's frown only growing bigger, as he begins to feel a lot of self guilt in himself. Thinking silently, he really wasn't the right one for this kind of mission. It was probably the most painful out of the bunch, including his several scratches from cats.

Soon, they finally reached the market. The woman was very specific on what she wanted. Her list small and short, as she began to pick out her ingridients for various meals and a few layers of cloth for her knitting hobby. Jurin more then happy to hold on to most of it for her. Feeling like he would hate himself even more if he didn't. The genin loyally following the woman around, no matter how much she pack up on him.

The rest of time that wasn't spent shopping was her stopping and talking with everyone. It seemed she knew every shop keeper in the village. Always, she have something to say to a passer by. So, instead of being a mission based on how much he could carry. Jirun was just being tested on patience. His legs turning to jelly at times just from mere inactivity. Having to let the old woman stand by and talk to all her acquintances.

Finally, the old lady seemed to have finished with her dialogue. What he thought would be a short mission turning into something much longer. Though, he was glad all he had to do was carry this stuff back. He followed all the way inside the house, where he placed the recently shopped items where ever the lady wished him too.  The old lady thanking him happily for doing all this for her, Jirun just shaking his head again. He said it was a pleasure for himself, but secretly as he stepped outside the door. He was happy to get away from her.* - Sat Nov  7 10:26:46 2015
<br><br><font color=teal>*Kurt(Zygman) says: Greetings. - Sat Nov  7 14:07:47 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Hrm? - Sat Nov  7 14:07:47 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: What> - Sat Nov  7 14:08:38 2015
<br><br><font color=teal>*Kurt(Zygman) says: Sorry to bother you but I'm kinda looking for a guide on Kirigakure's land. I only just came to this land. - Sat Nov  7 14:08:38 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Right. . . I'm sure someone will be able to help you out. - Sat Nov  7 14:09:29 2015
<br><br><font color=teal>*Kurt(Zygman) says: What is your name? I completely forgot about introductions, My name is Kurt, Pleasure to meet you. - Sat Nov  7 14:10:20 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I'm Ikaro - Sat Nov  7 14:10:20 2015
<br><br><font color=teal>*Kurt(Zygman) says: Ikaro, Hm? Okay, I see that you wield a katana as well. - Sat Nov  7 14:12:03 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Mhm, I do. - Sat Nov  7 14:14:36 2015
<br><br><font color=teal>*Kurt(Zygman) says: I am interested in testing your skill with it. - Sat Nov  7 14:14:36 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Not right now. - Sat Nov  7 14:16:19 2015
<br><br><font color=teal>*Kurt(Zygman) says: Very well. - Sat Nov  7 14:16:19 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) shakes his head watching the two.* - Sat Nov  7 14:26:33 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: The first time a Mizukage actually sat in the Mizukage office. Well, I finished the missions. - Sat Nov  7 17:08:41 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Oh? I quite like it. - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well, I'm gonna go back to laying down on the bench in front of academy. - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ... - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm? - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Nevermind, the guy who attacked the village last time is here. - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Ortho. . .I see you're back. . . - Sat Nov  7 17:13:48 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: I wander if he is alright? - Sat Nov  7 17:14:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yes. - Sat Nov  7 17:14:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: We're getting down to matters. - Sat Nov  7 17:14:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Jirun, no need to worry about him, go ahead and kick back on the bench. - Sat Nov  7 17:14:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: First thing we're doing is taking down Genjigakure, we're enhancing our horizon.. - Sat Nov  7 17:14:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sat Nov  7 17:15:31 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Could we perhaps talk in private? - Sat Nov  7 17:15:31 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh no..no feel free to speak out here. - Sat Nov  7 17:15:31 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sat Nov  7 17:16:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No, we're talking about this now.. - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Spectator or not. I've played the nice guy for far too long. - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: I knew it would end up like this. - Sat Nov  7 17:19:47 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) wishes he had bought popcorn for this. This was going in the direction, he thought it was. * - Sat Nov  7 17:20:38 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. - Sat Nov  7 17:20:38 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Your position as the Mizukage will remain, I must commend your abilities to be such. - Sat Nov  7 17:21:29 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: In turn, I will personally begin your training soon. - Sat Nov  7 17:21:29 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I will, also, organize some meetings with very important people so you can dab into other arts of fighting. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Taijutsu, Genjutsu and Ninjutsu will all be at your disposal. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Even a summoning. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: <Welp... training...organizing meetings.> - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: <Remember this.> - Sat Nov  7 17:22:20 2015
