<br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alright men, to my office. - Fri Oct  2 02:39:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. Until I master the ways, then I'm going to try and find a student. - Fri Oct  2 08:26:27 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: why? - Fri Oct  2 08:26:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Because that's the way things are supposed to be. - Fri Oct  2 08:27:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I won't be around forever, after all. I'd want my legacy to be continued -- if I ever have one. - Fri Oct  2 08:27:18 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: You will. - Fri Oct  2 08:28:09 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: You seem way to involved in this shinobi stuff. - Fri Oct  2 08:29:00 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: So you're not from Suna? - Fri Oct  2 08:29:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nah. I'm from the Land of Water. Mainly was around Kiri for the most part. - Fri Oct  2 08:30:43 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: ... - Fri Oct  2 08:30:43 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: How will you be my pet then? - Fri Oct  2 08:30:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? I'm mainly situated in Suna -- Err. And pet is such a demeaning word, y'know? - Fri Oct  2 08:31:34 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: It's a term of endearment. - Fri Oct  2 08:31:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I work for the Kazekage. But I'm not really a shinobi, y'know? - Fri Oct  2 08:31:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's like. . . I'm just a guy that can stay here. Occasionally I'll help out, but I can pretty much do whatever I want. - Fri Oct  2 08:32:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sweet deal, right? - Fri Oct  2 08:32:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If I just walk away right now, can't be called a rogue or anything. - Fri Oct  2 08:32:25 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Sounds cool. - Fri Oct  2 08:33:16 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: What do you plan on doing? - Fri Oct  2 08:33:16 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: To protect my eyes. - Fri Oct  2 08:36:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mmm, makes sense in a way. The stronger you are, the most able you can protect your eyes. - Fri Oct  2 08:37:32 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Pretty much. - Fri Oct  2 08:37:32 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Who was it that killed most of my clan members? - Fri Oct  2 08:37:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*coughs*> - Fri Oct  2 08:38:24 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I'll kill them. - Fri Oct  2 08:38:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I mean. Not most of your clan was killed. . .Hell, you guys aren' even a clan to be frank, considering how spread out you all are. Buut.. - Fri Oct  2 08:38:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. My village, Kirigakure. They tried to do a doujutsu hunt or bounty. - Fri Oct  2 08:38:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: They were after your eyes, and another version with red pupils. - Fri Oct  2 08:39:15 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Sickos. - Fri Oct  2 08:39:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Right now, there's even another bounty. For guys with like. . . Strange purple eyes. - Fri Oct  2 08:39:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: With rings around the center. - Fri Oct  2 08:39:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeaaah. It's pretty weird. But eh, in the shinobi world, special eyes equal power, no? - Fri Oct  2 08:39:15 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I suppose so. - Fri Oct  2 08:40:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho. What we doin' here? Thought were we going to play a game. - Fri Oct  2 08:40:57 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Oh? - Fri Oct  2 08:40:57 2015
<br><br><font color=yellow>*Mirai(Rakkatta) would peer towards Sanoke now that both of them were in segregation and far from their comrades. Looking towards him she would place her hand upon the sash that was tied around her waist before she undid it and started to uproot the kimono that clung to her voluptuous figure before she stripped down completely before Sanoke until she was bare. She would've stood before the turtle sage now complete nude her voluptuous figure, plump ass, and gigantic bosom all presented to him. 

Her cheeks would've been a reddish hue now as she looked towards him before she separated her lips to talk in a low tone. "One of your obligations of being my pet is you are required to fulfill my needs. This will be my first time engaging in sexual intercourse so be delicate pet." Mirai mumbled giving him the honor of deflowering her. Looking between her thighs she would've seen her womanly discharges trailing down her thighs. Climbing on the bed Mirai would position herself on all fours curving her back pushing her sufficient ass into the air uncovering her wet snatch. Her vaginal lips would've been shimmering in her emissions. She would've remained in this position waiting for Sanoke to satisfy her.* - Fri Oct  2 08:43:31 2015
<br><br><font color=teal>*Mirai(Rakkatta) thinks: Hrm. - Fri Oct  2 08:43:31 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: D-Did I do something wrong? - Fri Oct  2 08:52:03 2015
<br><br><font color=yellow>*Mirai(Rakkatta) peered towards Sanoke as he turned around to face the wall. She would observe him for a few moments paying close attention to his breathing as it became heavier with each passing second. Laying on the bed she would remain silient simply watching him.* - Fri Oct  2 08:54:36 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: It's okay Sanoke. - Fri Oct  2 08:54:36 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I'll put back on my clothes. - Fri Oct  2 08:55:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: God damnit, Sanoke. . .  - Fri Oct  2 08:57:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: To ruin it with a chick like this. . . - Fri Oct  2 08:57:10 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: It's my first time too. - Fri Oct  2 08:58:01 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I thought you were more experienced. - Fri Oct  2 08:58:52 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: It's why I wanted you to be my pet. - Fri Oct  2 08:58:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I. . .Have never. - Fri Oct  2 09:01:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Most I've done is peeped at the spa. .  - Fri Oct  2 09:02:17 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: ... - Fri Oct  2 09:03:08 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Well we can do it when you're ready. - Fri Oct  2 09:03:08 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Wherever that is. - Fri Oct  2 09:03:08 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I'll wait on you. - Fri Oct  2 09:03:08 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Even if it's in five years. - Fri Oct  2 09:04:00 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I'll be seeing someone else by then. - Fri Oct  2 09:08:16 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Nope. - Fri Oct  2 09:09:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Err. . .Did ya put your clothes back on? - Fri Oct  2 09:09:58 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Yep. - Fri Oct  2 09:10:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You oughta still train with me, though. - Fri Oct  2 09:10:49 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I kinda don't want too. - Fri Oct  2 09:11:40 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Would be awkward. - Fri Oct  2 09:11:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .Naahh. Not really. - Fri Oct  2 09:11:40 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: It would be i'll just train with Koji. - Fri Oct  2 09:11:40 2015
<br><br><font color=teal>*Mirai(Rakkatta) thinks: He just ruined sex for me. - Fri Oct  2 09:12:32 2015
<br><br><font color=teal>*Mirai(Rakkatta) thinks: I'll never have sex. - Fri Oct  2 09:12:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Seems legit. He can probably show ya the other basic skills too. - Fri Oct  2 09:12:32 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I'm sure he will. - Fri Oct  2 09:13:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . Y'sure you're not angry at me? - Fri Oct  2 09:14:14 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: No. - Fri Oct  2 09:14:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Damn, the tone. It seems less. . . energetic before. - Fri Oct  2 09:14:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're speaking so to the point. - Fri Oct  2 09:14:14 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I always do. - Fri Oct  2 09:14:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ah. Anywho. . Hrm. I can look around to see if I got any games. - Fri Oct  2 09:15:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Gamble? Boardgame? - Fri Oct  2 09:15:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: My dice skills is how I've accumulated half my fortune/ - Fri Oct  2 09:15:05 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Sure. - Fri Oct  2 09:15:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: To which? - Fri Oct  2 09:15:56 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Either. - Fri Oct  2 09:15:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Man. I gave you the option for a reason. - Fri Oct  2 09:15:56 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I'm down for either. - Fri Oct  2 09:16:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright. Dice first. What you wanna wager? - Fri Oct  2 09:17:39 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Oh I don't have much money. - Fri Oct  2 09:19:21 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Boardgame? - Fri Oct  2 09:19:21 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright. - Fri Oct  2 09:20:12 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: mm'kay - Fri Oct  2 09:27:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Don't copy my class. - Fri Oct  2 09:27:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I. OWN. YOU. - Fri Oct  2 09:39:50 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: .. - Fri Oct  2 09:39:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah! I'm the man, tch. It was 'cause of my strategy too. - Fri Oct  2 09:39:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Fri Oct  2 09:41:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Damn. You haven't said a word. - Fri Oct  2 09:41:32 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Didn't know I was suppose too. - Fri Oct  2 09:43:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. When people hang out, they usually speak, y'know? - Fri Oct  2 09:44:06 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Not very talkative. - Fri Oct  2 09:44:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ah. I mean, that works. Whatcha wanna do now? - Fri Oct  2 09:45:48 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Did you have anything else in mind? - Fri Oct  2 09:47:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. Hrmmm.. . ! - Fri Oct  2 09:54:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Usually if I'm not taking people's money in dice games. - Fri Oct  2 09:54:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm either eating, training, or chilling at a relaxing place. - Fri Oct  2 09:55:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What do you do for fun usually? - Fri Oct  2 09:55:12 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Mmm'kay i'm ready to train with Koji anyways. - Fri Oct  2 18:36:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I can still watch, right? - Fri Oct  2 18:37:26 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I guess. - Fri Oct  2 18:38:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: It's all over now. . . - Fri Oct  2 18:48:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: This place is quieter than usual. - Fri Oct  2 18:55:21 2015
<br><br><font color=teal>*Durn(Vysasi) says: Mhm. - Fri Oct  2 18:55:21 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You all excited for that colloseum? - Fri Oct  2 18:57:04 2015
<br><br><font color=teal>*Durn(Vysasi) says: Colloseum? - Fri Oct  2 18:57:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. Apparently the old coot is building up a giant arena. - Fri Oct  2 18:58:46 2015
<br><br><font color=teal>*Durn(Vysasi) says: Are the fights there to the death? - Fri Oct  2 18:58:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I wouldn't think so. That would be pretty stupid. - Fri Oct  2 19:01:20 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright. - Fri Oct  2 19:02:11 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: ... - Fri Oct  2 19:03:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Fri Oct  2 19:04:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? - Fri Oct  2 19:04:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Helllooo? - Fri Oct  2 19:05:36 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Hi. - Fri Oct  2 19:10:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo - Fri Oct  2 19:11:34 2015
<br><br><font color=teal>*Durn(Vysasi) says: Hello. - Fri Oct  2 19:12:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Fri Oct  2 19:12:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Three greetings in a row. - Fri Oct  2 19:12:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anyone got anythin' on their agenda today? - Fri Oct  2 19:14:59 2015
<br><br><font color=teal>*Durn(Vysasi) says: Not really. - Fri Oct  2 19:16:41 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: Hassan. - Fri Oct  2 19:16:41 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: We completed the mission. - Fri Oct  2 19:16:41 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: That we did. - Fri Oct  2 19:17:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: A long time ago, but sure. - Fri Oct  2 19:17:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: It sure is crowded in here. - Fri Oct  2 19:18:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, you really think so? - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Durn(Vysasi) says: Yeah. - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I think this is normal. - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Durn(Vysasi) says: I see. - Fri Oct  2 19:23:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well, whatever. - Fri Oct  2 19:25:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Sanoke. - Fri Oct  2 19:25:13 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, the guy who just said today's a slow day. Could you come with me for a moment? - Fri Oct  2 19:48:16 2015
<br><br><font color=teal>*Durn(Vysasi) says: Why? - Fri Oct  2 19:48:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I just want to ask something. - Fri Oct  2 19:48:16 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright. - Fri Oct  2 19:48:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? - Fri Oct  2 19:50:49 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Fri Oct  2 20:08:44 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: This is a good passage... - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Goodmorning hun. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Berith(BoyUmbreon) thinks: I wonder which one he is talking too.. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *is looking at Berith* - Fri Oct  2 20:26:40 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Oh, goodmorning. - Fri Oct  2 20:26:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: How is the training going?  - Fri Oct  2 20:27:31 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Fri Oct  2 20:27:31 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Good! Mhm. - Fri Oct  2 20:28:22 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: So that's his ''wife''... Good to know. - Fri Oct  2 20:28:22 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: How is yours going? - Fri Oct  2 20:28:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It's well...You shouldn't behave so distantly hun..Where's the high spirit of yours we both know eh? Hehe. - Fri Oct  2 20:29:13 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: What? I'm not distant... - Fri Oct  2 20:30:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Kidding ,kidding.. - Fri Oct  2 20:31:47 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ..... - Fri Oct  2 20:34:20 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Hey Zenaki. - Fri Oct  2 20:34:20 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Lets not fight please...  - Fri Oct  2 20:44:35 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I'm gonna go walk around. - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: See. He does not.  - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: That relationship drama, though. - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. Sure... - Fri Oct  2 20:48:51 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Huh? - Fri Oct  2 20:48:51 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: ME?! - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I didn't do nothing. - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: It was that chick. - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: This shit is crazy. - Fri Oct  2 20:53:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: That Fujitora guy. He keeps it pimping. - Fri Oct  2 20:53:07 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: .. - Fri Oct  2 20:59:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .? - Fri Oct  2 20:59:05 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: You seem interested. - Fri Oct  2 21:00:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I am. This is the most action the square has seen all day. - Fri Oct  2 21:00:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: On another note. You oughta go get a mission or two. - Fri Oct  2 21:00:48 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: He's right though. - Fri Oct  2 21:00:48 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: and who are you? - Fri Oct  2 21:01:39 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Your average teenager. - Fri Oct  2 21:06:46 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: .. - Fri Oct  2 21:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: His name's Taiga. - Fri Oct  2 21:09:20 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Hello, Taiga. - Fri Oct  2 21:10:11 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hello ma'm. - Fri Oct  2 21:10:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Who is he calling ma'am? - Fri Oct  2 21:11:02 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Nice to meet you. - Fri Oct  2 21:11:53 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Likewise. - Fri Oct  2 21:14:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oi. - Fri Oct  2 21:14:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What is going on here? - Fri Oct  2 21:14:27 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Nothing... constant bickering and spars - Fri Oct  2 21:15:18 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Berith-san. - Fri Oct  2 21:15:18 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: What? - Fri Oct  2 21:16:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: We need to talk. - Fri Oct  2 21:16:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I've decided to train you all individually. - Fri Oct  2 21:16:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It'll be more proficient. - Fri Oct  2 21:16:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And since the other two aren't here, you're first. - Fri Oct  2 21:17:00 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Who do you need to talk to Kirie? - Fri Oct  2 21:17:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Training eh? - Fri Oct  2 21:17:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Wait, who is he talking to? - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Who is he training? - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Not you bible guy. - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm both your Daughter and wife's squad leader. - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Very well - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Not this guy again. - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I think some time traning will ease your mind hun.. - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I don't want to train. - Fri Oct  2 21:18:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Poor guy. - Fri Oct  2 21:20:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: His mistress and his wife in the same village. - Fri Oct  2 21:20:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: This is almost like a soap opera. - Fri Oct  2 21:20:25 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That's good. - Fri Oct  2 21:21:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's only a test. - Fri Oct  2 21:21:16 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: The 8 commandment by god... Thy shall not bear false witness - Fri Oct  2 21:21:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Lesson to learn here. - Fri Oct  2 21:22:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Keep it in your pants and your wife and mistress away from each other - Fri Oct  2 21:22:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Is she really mad I did not kiss her on the lips? Last time I did that when she was pissed she kicked me in the dick! - Fri Oct  2 21:22:08 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) thinks: 9 and 10... Thy shall not covet your neighbors wife or goods - Fri Oct  2 21:22:59 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Oh well...Gonna have to face it...Retired...Wifes a shinobi..Kids a shinobi...Student leading them.. - Fri Oct  2 21:22:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well that was crazy. - Fri Oct  2 21:28:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Old man Hassan, you still awake? - Fri Oct  2 21:30:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So, anyone seen where Berith went off to? - Fri Oct  2 21:32:22 2015
<br><br><font color=teal>*Durn(Vysasi) says: Not really. - Fri Oct  2 21:33:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: East of here. - Fri Oct  2 21:33:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Thanks. - Fri Oct  2 21:34:04 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) thinks: I wonder whats next on my agenda - Fri Oct  2 21:37:29 2015
<br><br><font color=teal>*Mirai(Rakkatta) whispers: Okay . - Fri Oct  2 21:51:08 2015
<br><br><font color=teal>*Mirai(Rakkatta) whispers: (grab) - Fri Oct  2 21:51:08 2015
<br><br><font color=yellow>*Mirai(Rakkatta) would've been gathered up off of her feet and into the arms of Sanoke bridal style as the two of them left the fairly swarmed area. Looking off into the skyline as Sanoke sprinted away with her in tow the Kunoichi would look around the village with her lavender shaded optics before Sanoke came to a sudden halt. Her ears would perk up subsequent to listening to Sanoke propose showing her some Jutsu. Jumping down onto the ground and out of his arms she would look towards him her ivory-hued optics would've been set upon him and it would've appeared as she was gazing into his soul with her piercing gaze. 

Separating her lips, the kunoichi would talk in a genuine tone. "I want to learn the Jutsu that will permit me to break free from Genjutsu. With my eyes, I can see through the most powerful Genjutsu however with that technique it will just increase my possibilities of being liberated from any Genjutsu that is cast upon me. I'm keen on learning Kai as you call it." Mirai communicated peering towards the turtle sage. 

Pausing for a moment the girl would stare down towards the soil before her attention diverted back towards Sanoke. "I was serious when I said I'm going to kill them. All of them" Mirai muttered clearly seriously about the claims she made about murdering the shinobi of Kirigakure that slaughtered a numerous amount of her family to obtain their sacred Dojutsu.* - Fri Oct  2 22:05:39 2015
<br><br><font color=yellow>*Mirai(Rakkatta) would simply shake her head as Sanoke continued to talk requesting that she forgive the individuals who brought on her family lament and uprooted their eyes as though they were creatures with expectations of obtaining the secrets of her family's most prized possession the Byakugan. 

