<br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Got em' - Thu Oct  8 18:47:40 2015
In a straightforward sequence, the kick strikes into the air -- presumably being potent enough to send an opponent into the skies. Of course, considering this was Maloth we're talking here, and the fact that he lacked skill, the technique is botched pretty badly. The kick doesn't go nearly as high as it needs to. In addition to this, as he's in motion to produce the strike, Maloth inadvertently falls onto his ass, due to a lack of balance.

Stumbling further, the brute collapses into the river, barely avoiding being swept away. Luckily, his hands had found the bridge before that poor fate.* - Fri Oct  9 15:25:00 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) wasn't really in actual danger.

Regardless, Paine's actions aren't opposed. As he's taken and man-handled, some water admittedly is coughed out. It was a fortunate thing that Maloth was sturdy enough to endure the strikes from the taijutsu specialist known as Dissida. Due to her actions, any excessive liquids in his body is expunged, saving him from any future issues.

Now the brute is hung upside down, seemingly unalarmed  by the positioning! 

"Uh! Is 'kay! Can put down!" roared the beast. What an unorthodox way to perform CPR, I might add. Nevertheless, Maloth just hangs around, awaiting his body to be rested back on the bridge for the time being. * - Fri Oct  9 16:04:16 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) nods. He stands up almost as if nothing had happened.

Quickly, Maloth leans in, scooping up the woman in a bridal fashion and turning about face. With a jog, he's heading on towards the west, eager to reach Kumogakure at last -- even if the city was in complete and utter disarray. No obstacle would be able to stop the giant from his path. Be it rain, snow, thunder, or even the landscape itself. As they travel, thoughts roam through Maloth's mind, prompting him to look downward, eying Paine curiously.

"No get. Why 'lway lone? No have family 'nymore? Ne'er have person care 'bout?" he says, referencing the Concealed Figure's genetic relations, or any significant others she may have had in the past. Tirelessly, as the answers are awaited, the brute is covering a lot of ground. He was pretty swift for a giant, hulking wall of muscle.* - Fri Oct  9 16:29:52 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) continued to carry her in a bridal fashion.

For days on end, the two manuevered along the landscape, up until the mountainous terrain of Kumogakure had been reached. Still, there was something that was bugging him. . . Why did his taijutsu sensei remain so cryptic? It was irritating.

"If have family. Where be they? An' why chose for be 'lone! Not sense make!" The brute declared along the way. The entire notion was baffling. Had he any living relatives left, he would cherish them, which is why he cared so greatly for his sibling, Lyala. By then, the lazy taijutsu specialist is settled onto the ground so that she could walk around on her own two feet. 

Assuming she answered the questions, Maloth went further, again pressing for more training. He had to learn this new taijutsu move after all.* - Fri Oct  9 17:25:20 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||"Is want to know," Maloth states, pressing at the issue, perhaps against the taijutsu specialist's wishes.

That settled, he did precisely as he was told. Just as Paine instructed, the brute's body into position, demonstrating his proficiency in the multitude of kicks that had been taught. Each time they were demonstrated, theire seemed to be no flaws, showing just how skillful Maloth was becoming in terms of taijutsu. Although, his movements were still a tadbit sluggish.

'Course, sluggish in terms of Paine's own standards. Compared to his attack speed beforehand, this was unbelieveably fast. Having done the brief warm up exercises, the brute moves on to pracctice the latest technique -- the Creeping Leaf Shadow skill. It was a manuever that put to the test a warrior's ability to analyze an opponent's movement, as well as mimic to find an opening.

Like a prancing tiger, the uncoordinated brute moved around, aiming to have his body as loose and fluid as can be. But. ..  as per usual, there is a clear struggle in performing. Perhaps if Paine demonstrated firsthand once more? "Hng!" he roars, having tripped up and fallen onto the floor again. "Nee' see Paine do move one-gain time. An' need be partner for it. . ." Maloth suggests, as the technique would work best if he had someone to try it on.* - Fri Oct  9 18:13:07 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: . . . - Fri Oct  9 18:21:39 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: These two seem b usy... got to find someone else. - Fri Oct  9 18:37:00 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||And now it was finally time. 

Just as Paine demonstrates, his eyes pick up on the movements, absorbing the information like a common sponge. Upon watching her blurring motions, the brute's face lights up as she gestures for him to mimic.  It isn't long before Maloth is copying the process perfectly.

His body moved with a great deal of fluidity, even if Paine was in the same motion. Assumning she doesn't move, a stern kick is sent -- although not enough to damage her body seriously. Assuming success, her frame is sent flying upoward, leaving her in perfect positioning for the Shadow of the Dancing Leaf technique to be used with significant efficiency. 

The brute defies all laws of physics, and moves with grace. His bulky body propels upward into the skies, getting right onto Paine's rear -- although he doesn't act on it. A grin is being worn. . . Even if the technique required some clear refinement. There were issues that a maestro like Paine could certainly pick up on, that's for sure. In time, they both descend, and he's looking on with eager eyes.

"Is do good?"* - Fri Oct  9 19:04:19 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||Repetition after repetition. Paine's training sessions were commonly like this.

Just as the maestro had commanded, Maloth gets into a stance, and proceeds to resume with the kicks she had taught him prior -- the Leaf Whirlwind technique. A brief glance is given towards Khalil. . . "Hng. Is here 'gain! Nex' time, try keep man from stoppin' Maloth teach-lesson!" He says, still sour that the necromancer had intervened when he was seeking to force Khalil into mud.

THat said, the brute begins to whip his right leg forward, while the left was the crutch that kept his balance. The initial strike is an upward kick, meant to serve as a feint in actual combat. Following up the blow, the brute's kick goes right on under, attacking the arae where an ankle would normally be. Paine would certainly take note of the improved speed, considering his mastery of the taijutsu technique.

This was the byproduct of weekly repetition. His muscles were growing used to the typical motions.* - Fri Oct  9 19:50:24 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||Finally!

He had progressed enough to be deemed fit to use a higher level taijutsu. Even if the technique was just 'fluff' in a way that it had no spectacular or extraordinary effect. Having settled with the training, his attention falls back onto Khalil who was seemingly giving him more lip.

"If is boy. . . Nee' learn act like one. Why no act like one?" Maloth declared, still skeptical of the Yamanashi's gender. The guy looked too much like a chick, at least from the brute's persective. Looking down, you could see another scroll on Maloth's belt, which would imply where this was going to go eventually.* - Fri Oct  9 20:17:42 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I' not a girl! - Fri Oct  9 20:47:34 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I'm a boy! - Fri Oct  9 20:47:34 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Wow. - Fri Oct  9 20:47:34 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) blinks. Was it not obvious?

"Is look one like. . Is act one like. . . " He says, stating the clear facts. Even if Khalil had been a male, just from his physique alone, he'd forever be female to Maloth.* - Fri Oct  9 20:50:59 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Huh? - Fri Oct  9 20:56:57 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Not understand. .? - Fri Oct  9 20:57:48 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: m-maybe he l-likes you - Fri Oct  9 20:58:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .? Who is talk 'bout? - Fri Oct  9 20:58:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't like him! - Fri Oct  9 21:00:22 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: WHat?! - Fri Oct  9 21:00:22 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) scratches his head.

"Is like Maloth?" He says with a blank expression, seemingly ignoring Khalil for the time. His gaze is strictly on Paine.* - Fri Oct  9 21:01:13 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: -- - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't like him. - Fri Oct  9 21:03:47 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) scratches his head again.

This was weird. Finally, Maloth gaze turns back onto Khalil. "Is sense make. .  Lyala is tell Maloth, be handsome," the brute says with a nod. 

Somewhat smug, the brute folded his arm, and casted a gaze onto Khalil. "Tch. . . Is think handsome?" He doesn't seem too alarmed at the less than heterosexual undertones. Why? Who knows.* - Fri Oct  9 21:07:12 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) blinks. 

Did Khalil really expect to be let off that easily? Considering he had no one around to stop him, Maloth's hand shoot out, catching the fem-boy by the waist and lifting him up into the sky shortly after.

". . . Why tal' this like? If no be problem, no nee' be like thi'," he says, reasoning that the Yamanshi's entire demeanor seemed a bit suspicious. A glance is given back to Paine briefly. "What be think?"* - Fri Oct  9 21:14:52 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: MAloth. .  - Fri Oct  9 21:23:24 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Is. . Is Layla dead? - Fri Oct  9 21:23:24 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Maloth. .  - Fri Oct  9 21:45:36 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Maloth!  - Fri Oct  9 21:45:36 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: sorry - Sat Oct 10 00:36:16 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) blinks. He was unsure to what Paine meant.

As Khalil squirms, Maloth just looks on amused. "Is do 'cause can. . . Is have choice. Can try be like real man. . . O' jus' get treat like lady," he says, still holding the femboy captive, he had no intent of letting them go clearly. And it was obvious that Maloth certainly had the capacity to keep the weaker Yamanshi in his grasp if desired.* - Sat Oct 10 00:37:58 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't know how to act like a real man, just let me go! - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is look at man o' real! - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Jus' need be taught. - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't want to be taught, I like how I am. - Sat Oct 10 00:40:32 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .Well the' jus' treat like say will. - Sat Oct 10 00:49:04 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Huh? - Sat Oct 10 00:55:02 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Ugh, treat me how you want but just let me down. - Sat Oct 10 00:55:02 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ponders on it.

For -now- he would allow Khalil to be settled down. A glance is given onto the arriving party, Marissa and Amaya. 

This was going to get awkward clearly enough. "Hrm. . ? 'Lo. What need?" he asks to the two women.* - Sat Oct 10 01:01:00 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . <*Looks at around*> Think is sleep. - Sat Oct 10 01:03:34 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Hmm... - Sat Oct 10 01:03:34 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is stay. - Sat Oct 10 01:05:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: <@Khalil> - Sat Oct 10 01:05:16 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: A-Alright.. - Sat Oct 10 01:06:59 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Any of you proficient at taijutsu, Raiton or Suiton? I need to find someone to receive teachings from. - Sat Oct 10 01:08:41 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm. . .? - Sat Oct 10 01:08:41 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: But not know. . .Why is be teach taijutsu? - Sat Oct 10 01:09:32 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I wanna learn Taijutsu too! - Sat Oct 10 01:09:32 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I wish to assimilate Raiton with hand to hand combat. - Sat Oct 10 01:10:24 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) breaks off into laughter!

He gives a moderate slap Khalil on the back. "Is joke real good. . .  Know no' be stron' 'nough for do taijutsu! Hahaha!"* - Sat Oct 10 01:10:24 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: No! Is only for Maloth for teach! <*is stingy*> - Sat Oct 10 01:12:06 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: But I want to learn too! - Sat Oct 10 01:13:48 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Maloth thin' 'bout teach. - Sat Oct 10 01:15:31 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: If is good tribeman. - Sat Oct 10 01:15:31 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Paine only for Maloth, though! - Sat Oct 10 01:15:31 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Then you teach me, Maloth! - Sat Oct 10 01:18:04 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is 'stand? - Sat Oct 10 01:18:04 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Will you, Maloth? - Sat Oct 10 01:24:03 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Jus' say. - Sat Oct 10 01:24:54 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: If is good for Maloth 'tribe.' - Sat Oct 10 01:25:45 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: If I'll be good for your tribe? - Sat Oct 10 01:25:45 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: -- Hng. Is will teach, not nee' worry. - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Who be new leader? - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Who knows. - Sat Oct 10 01:27:28 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I want to become the Raikage. I'm not strong enough, for now. - Sat Oct 10 01:27:28 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: When can we begin? - Sat Oct 10 01:29:10 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm. . Need tes' what able do. - Sat Oct 10 01:30:01 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Oh, alright. - Sat Oct 10 01:30:52 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm. Get bore now. - Sat Oct 10 01:35:08 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: What do? - Sat Oct 10 01:35:08 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't know... - Sat Oct 10 01:35:08 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: We can go eat? I'm hungry.. - Sat Oct 10 01:35:08 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Wha' like eat? - Sat Oct 10 01:36:00 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I like meat!  - Sat Oct 10 01:38:33 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm.. - Sat Oct 10 01:39:24 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Paine. Is wake? - Sat Oct 10 01:39:24 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) goes to pick up Khali again.

"Mmm. 'stead go restaurant. Maloth show how hunt, no?" He was going to teach the Yamanshi the way of being manly one way or another. Either that, or force him into the role of a woman. 

We'll see.* - Sat Oct 10 01:41:58 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: ? - Sat Oct 10 01:53:04 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) sighs. 

Khalil had a point. Plus, Maloth was super hungry too. 

That said, the brute heads off in direction to the restaurant. It was good to have a new member in his psuedo-'tribe.' With the fem-boy still in hand, the brute kicks off the ground, performing a Hulk-like leap. They're soar through the skies, resisting any turbolence, or opposing currents. 

Upon landing, the ground shakes heavily due to Maloth's inhuman level of weight. Cracks riddle along the floor, and a crater is left in the aftermath. They were near the restaurant by now. "Is lot o' meat for worl'! What type like more?"* - Sat Oct 10 01:54:46 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) blinks.

He thinks on the matter. Considering he had strong armed Khalil into being a 'minion.' "Hrm. . . Fine! Jus' want one?" He doesn't even wait for an answer before calling over the familiar employee and handing over a heap of cash. As usual, Maloth goes overboard, ordering not only the steak, but dozens of other dishes.

When he ate, he ate like a king.

Oddly, even as a non-shinobi, nor having any real jobs, the brute always remained loaded or stacked with cash! Why? It's a mystery. . .!* - Sat Oct 10 02:09:16 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||Immediately, as the dozens of dishes are delivered, Maloth digs in.

Unlike Khalil, his eating process is a lot less dignified. Hell, the brute doesnt' even using any eating utensils. It was as if the giant hadn't had a good meal in months -- although this was FAR from the case. Greedily, he's practically inhaling the treats, some deserts, others being more standard meals -- like pasta. In time, the beast had moved onto the rice.

It was glazed with sauce, and riddled with juicy meats. The bowl is in hand, and is being poured into his mouth -- up until Khalil had asked. Of course, due to the greedy eating habits, some saliva had been inevitably lingering within the bowl of rice. Nevertheless, without hesistation, it's held towards Khalil.

"Eat."* - Sat Oct 10 02:17:48 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) was impressed.  He takes pleasure in Khalil actually mimicking his manner of eating.

As the boy clearly struggled, Maloth gives a hearty laugh, moderately slapping the male on the back for a good attempt. "Is not 'ble eat for-like Maloth! Hahaha! Is try goo'!"He looks ahead, wondering if Khalil was enjoying the meal.

Meanwhile, the oft hungry beast continues to indulge in the his treats, this time a giant chicken wing. Mouth full, the barbarian speaks. "Tell Maloth 'bout sel'! Why is be shinobo? Why is dress like gir'?"* - Sat Oct 10 02:33:10 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) nodded along. He was having a decent time. In less than half an hour, half of the food had been devoured, prompting the man to stand up right.

"We go now! Firs' need train! An' if go dress like woman, need dress mo' better," he says, referencing a wardrone change for Khalil in the near future. If the 'boy' wanted to be a taijutsu specialist, he'd have to prove himself to Maloth, that was for sure. 

"An' need make up min'. If want be man, dress like man. If wan't dress like woman, then is woman.'

Without another word, he'd grab Khalil and proceed off towards a private area for training.* - Sat Oct 10 02:48:32 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Then... I don't know, call me a girl then, I guess... - Sat Oct 10 03:05:36 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) whispers: I like dressing as them. - Sat Oct 10 03:06:27 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: So, we train? - Sat Oct 10 03:06:27 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Yes! Want see how stron' be! - Sat Oct 10 03:10:43 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: How would we do this? - Sat Oct 10 03:11:34 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) was going to do this the old fashioned way.

His hammer is taken and tossed to the side. It slams harshly against the floor, forming a dent along the hardened, Kumogakure terrain. Once more, Maloth takes out a scroll, and tosses it onto the floor.

It spews out a gathering of mud and water, morphing or terraforming the terrain. in this condition, he can fight Khalil at his leisure. Meaning. . . slams and such, without worrying too greatly about killing the fragile person. "No hol' back! Hit Maloth hard as for 'ble do!"* - Sat Oct 10 03:18:24 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) stood strong. His chest contracts, hardening in preparation for the contact. The second Khalil's kick had landed, he'd find himself bouncing harmlessly off of maloth's chest. Indeed, the brute was like a brick wall, unphased by weak attacks such as those.

Still not yet moving, the behemoth looked ahead with a grin, as the boy certainly fell onto the floor -- whether his body crashed into the mud or not remained to be seen.

"Is no do righ'. . . Need lot practice! Keep try hurt Maloth! Wan' see wha' 'ble do!" The brute roared, his voice loud enough to kick start a dust that could blow away leaves. Hell, for a second, it looked as if the Yamanshi's locks were fluttering in the wind themselves. 

Through the commentary, he seemed to have lost his stance, and simply stood around with arms folded. By now, due to the tutelage of Paine, the beast was becoming quite savvy when it came to all things close-ranged. As such, his eyes are trained for detail, and judging from the poor outing, what Khalil had just attempted was a poor man's dynamic entry...

That would be the first skill taught to Khalil -- assuming the trap proved his worth. "Kee' go!"* - Sat Oct 10 03:35:28 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||It was a good try. He smirked, watching as the male came back for additional punishment.

Then. . . as the kick is coming, it sways off course. Without resistance, Khalil is able to land a fierce strike on Maloth's crotch, but the brute still remains unmoving. Tolerance for pain was something he excel in, as per usual. Having enough of the fun and games, the beast deems enough time had passed to try and end the battle.

Without a word or comment, he reaches out, aiming to grasp the shinobi by the arms and shoulders, lifting him overhead seconds after. Assuming success? Khalil would be hammered down into the mud, which thankfully served as a cushion. There was no risk of bone being broken, but at the very least, the feminine shinobi was going to be shaken up, dizzy even.

In the event that the battle was now over, Maloth steps ahead, planting a boot onto the trap's chest, pinning him into the mud, his body partially sinking. "Is bad. . . Bu'. . . 'ble get better! Gues' Maloth is teach. . ."* - Sat Oct 10 03:58:30 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) was relatively impressed. He scanned over Khali's form, pleased now that the boy had finally gotten down and dirty.

"Mud. . . good, yes?" he comments, wondering if the Yamanshi had truly come to enjoy the feeling of no longer remaining as clean as possible. The foot on the boy's chest is removed, granting him the ability to stand up should he chose.

"'Nyway. . . Maloth try teach stuff. . . First, is go teach kick!" He announces with some enthusiasm, referencing the Dynamic Entry. Of course, he awaits a reaction first.* - Sat Oct 10 04:21:32 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||His eyes scan Khalil's form. It was feminine for sure, and mildly intriguing. But, he lacked the endowment or amazonian muscles that Maloth's culture coveted so much. Regardless, there's a primal glance gievn towards the Yamanshi, clearly with less than honest intent. 

He takes a seat after grabbing his hammer, seemingly not at all carrying abotu the muddy terrain.

"Hng! Fine. . if need break. What is do, lay on groun'?"* - Sat Oct 10 04:47:08 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Yeah! We can lay on the ground. - Sat Oct 10 04:49:42 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . ! Is good. - Sat Oct 10 04:50:33 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Thought not li' mud. - Sat Oct 10 04:50:33 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is lik' now? - Sat Oct 10 04:50:33 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: It's fine, I guess, haha. - Sat Oct 10 04:51:24 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is good. . . - Sat Oct 10 04:53:07 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm. Wh' is be shinobi? - Sat Oct 10 04:53:07 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I.. don't know, to be honest. - Sat Oct 10 04:54:49 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . . - Sat Oct 10 05:01:39 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Jus' do it for no reason? - Sat Oct 10 05:01:39 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I guess.... to protect people I care about. - Sat Oct 10 05:04:12 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: And to get money. - Sat Oct 10 05:04:12 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Haha! - Sat Oct 10 05:07:37 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Easy get money. - Sat Oct 10 05:07:37 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Wan' see 'much Maloth got? - Sat Oct 10 05:08:28 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: How much do you have? - Sat Oct 10 05:11:53 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) shrugs.

"No' can count." He puulls out a bundle of dirty bills. If counted, it exceeds one-hundred and fifty thousands. Mind you, this was a man that never worked.* - Sat Oct 10 05:12:44 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: --- - Sat Oct 10 05:17:00 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) raised a brow. He hated when people finmished a sentence prematurely. 

Curious eyes are apparent, prompting the brute to look ahead. "What is go say? Need go mo' organit?" That wasn't even a word, but Maloth wasn't too smart to begin with. He was really just taking guess. "Wha' is mean?"* - Sat Oct 10 05:22:08 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Organize... - Sat Oct 10 05:23:50 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Need to be a bit more organized. - Sat Oct 10 05:23:50 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Eh. . .  - Sat Oct 10 05:23:50 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: No! Jus' keep 'ver want. 'Nyway, need get mo' cloth. - Sat Oct 10 05:23:50 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: If dress li' girl, nee' look really like. - Sat Oct 10 05:24:41 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Yeah, sure.. we can go do that. - Sat Oct 10 05:24:41 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) goes to grab Khalil's muddy frame. He's dragged off to the clothing shop.* - Sat Oct 10 05:39:12 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) walks on by with a muddy fem-boy on his shoulder.* - Sat Oct 10 05:40:54 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) sets the male down.

Maloth goes, leaning against the wall, arms folded. "Is no nee' struggle!" He didn't appreciate the apparent lack of appreciation of him carting the Yamanshi around.* - Sat Oct 10 05:46:52 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) looked around. He was mildly content. Regardless, Maloth goes to pick out his own clothes, considering he now deemed Khalil to be an underling. The scenario mirrored his upbringing. The males that were weaker -- at least to this extent -- were made to be subservient. 

Several clothes are taken, some often being a tad small or skimpy. Without even paying, the brute absentmindedly heads off.

"M'kay. Where is live?"* - Sat Oct 10 06:02:14 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Uhhh, follow me. - Sat Oct 10 06:03:56 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Here we are. - Sat Oct 10 06:04:48 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) looks around.

This place stunk. "Ergh. . .No is good. . "* - Sat Oct 10 06:05:39 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Huh? - Sat Oct 10 06:05:39 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: You don't like it? - Sat Oct 10 06:05:39 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: <*Shakes head*> To liddle.. - Sat Oct 10 06:10:46 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: But what were you going to do? - Sat Oct 10 06:12:28 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) shrugs.

"Jus' wan' see house for now."* - Sat Oct 10 06:13:20 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) tosses the bought clothes onto her mattress.* - Sat Oct 10 06:14:11 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: You can change your clothes, you know. - Sat Oct 10 06:14:11 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I'll look away. - Sat Oct 10 06:14:11 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) looks down.

These were really his only pair of pants. "Is dirty 'nyway. No point have," he says, referencing his mud consistently dirtied body.* - Sat Oct 10 06:15:02 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Well, you can go take a shower... if you want? - Sat Oct 10 06:16:44 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I'll uhhh... - Sat Oct 10 06:16:44 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Wash those pants for you. - Sat Oct 10 06:16:44 2015
