<br><font color=yellow>*Yukimura, Seisuke(Jjking218) took it back handing her another.* - Thu Oct  1 02:05:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I won't tell you it'll get better. - Thu Oct  1 23:19:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: This world, is trash, and so are it's people. - Thu Oct  1 23:20:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But Ushinawa, He was someone who desired to see the Dawn. - Thu Oct  1 23:20:19 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Reguel, is next on my list. - Thu Oct  1 23:20:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That is a dream, A History, a Legacy. - Thu Oct  1 23:21:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You fail to understand the situation I am in, Seisuke. - Thu Oct  1 23:21:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Then tell me Hideki, I won't say I understand. - Thu Oct  1 23:21:10 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Trust no one.. - Thu Oct  1 23:29:42 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) as he held Hideki's wrist his grip was tight, but not aimed at harming him, especially not in his current state as he spoke "Hideki, within those eyes, are Ushinawa's memories, a timeline which had detailed and recorded his life span from start to finish, his pain, his suffering, his Joy. The memories he had of you, which I'm sure he's fond of. But in those eyes, Also store his Darkness, but his light. The story which has been recorded, can never be retold, those eyes, are the manifestation of his will. The form his soul has taken the form of. The world through Ushinawa's eyes. Have you imagined, how lonely it must've been for all those years? Having to cling on....To each spec of light which guided him." He paused, and for some reason.

He felt a clinging in his chest, his heart had skipped a beat...Was it remorse? He felt guilt and sorrow, but he finished it off "I'm sure Hideki, You were one of his brightest lights. Those bonds you've shared, can never be replicated, but you can ensure that his will lives on. His legacy will continue, but if you destroy them, here and now. You snuff out, what was left of Ushinawa...And then, and only then will he be dead. And you would be the one who killed him."

He looked at Hideki's eyes, his voice was sorrowful, but he stated what he thought. He didn't hold back, the truth would hurt, but Hideki was strong.* - Thu Oct  1 23:30:33 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: If I wasn't hurt right now.. - Thu Oct  1 23:34:49 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I would've took Ushinawa's body and ran. - Thu Oct  1 23:35:40 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) looked into Hideki's eyes, as he spoke "I wish to carry on his will, With you at my side Hideki." He stated with finality, he released his hold on Hideki's wrist as he set his gaze upon Ushinawa's body. And sighed lightly, it was a sorrowful and mournful sigh. It was hard to believe Ushinawa had died, in such a way. But he knew his goal perhaps all to well.* - Thu Oct  1 23:37:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...... - Thu Oct  1 23:37:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . . - Thu Oct  1 23:38:14 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) didn't take notice of the change in Hideki's eyes, if he had he would've noticed the descent in Hideki's soul. Or maybe, it had bought him closer to ascencion? He wasn't sure, but regardless, he watched Hideki and didn't say a word. He needed this moment, and in this time, he needed to let him fight his own battle mentally.* - Thu Oct  1 23:52:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . . . . . . . - Thu Oct  1 23:57:52 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Is it over? - Thu Oct  1 23:57:52 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm? - Thu Oct  1 23:57:52 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) nodded his head and he shot a glance towards Heiwa, as he leaned forward, and lifted Ushinawa's body hoisting it up in his arms, evn though he was a corpse, he wouldn't sling him over his shoulder. But he spoke "Stay safe until I return, Hideki-san."* - Fri Oct  2 00:06:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah.. - Fri Oct  2 00:07:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm. - Fri Oct  2 00:10:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: To where he would want to be, May I ask who you are? - Fri Oct  2 00:12:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's his kid, Seisuke. - Fri Oct  2 00:13:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see. - Fri Oct  2 00:13:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Could you promise me one thing, Little man? - Fri Oct  2 00:13:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..What? - Fri Oct  2 00:13:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Cling to this existence you call life, and become Stronger. Strong enough to beat me. - Fri Oct  2 00:14:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Fri Oct  2 00:14:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Become a man, Your father would be proud of. - Fri Oct  2 00:14:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you don't. - Fri Oct  2 00:14:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll knock you on your ass, and make you try again. - Fri Oct  2 00:14:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You hear me? - Fri Oct  2 00:14:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And. - Fri Oct  2 00:17:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Don't look at the ground. - Fri Oct  2 00:17:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: No matter who is speaking to you. - Fri Oct  2 00:18:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Look them in their eyes. - Fri Oct  2 00:18:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Show them you're not afraid. - Fri Oct  2 00:18:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Fri Oct  2 00:18:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll be back soon. - Fri Oct  2 00:20:54 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) heads out the door.* - Fri Oct  2 00:20:54 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) summons Aldor, to Ice Ushinawa's body at least to preserve it until they arrived at their destination which was Kirigakure.* - Fri Oct  2 00:21:45 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) was fairly skilled with medicine thanks to practicing with Koeki and as such he had a pretty decent knowledge on how to safely remove limbs. So he took a deep breath, as he slowly pulled out a small scapel, is index and thumb moved within Ushinawa's socket, and aimed to pull the eye lightly, as to not damage it, before the scapel was used to cut it free. He had to make it seem believable, so he took a deep breath, making a single seal he inhaled followed by a deep exhale, as he blew a hot flame outwards, aiming to scorch the socket making it seem as if the eye was charred out.* - Fri Oct  2 00:25:10 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Seisuke - Fri Oct  2 01:09:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm? - Fri Oct  2 01:10:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I need your help/ - Fri Oct  2 01:10:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Follow me. - Fri Oct  2 01:11:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What's up? - Fri Oct  2 01:12:06 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I need you to help me set up a bounty for people with white eyes - Fri Oct  2 01:12:06 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I was hoping you could help with the money - Fri Oct  2 01:12:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Why a bounty? We'd have to pay out if they actually found one. - Fri Oct  2 01:12:57 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well. - Fri Oct  2 01:12:57 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Unless its Erebus or another notable figure - Fri Oct  2 01:12:57 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: We could just dispose of them - Fri Oct  2 01:12:57 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I suppose we could, but you're relying on me for the money~? - Fri Oct  2 01:13:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well. - Fri Oct  2 01:13:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I mean. - Fri Oct  2 01:13:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I would expect that half of the money we received for the hunt would be mine. - Fri Oct  2 01:14:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Which is only One Point four Million. - Fri Oct  2 01:14:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But I mean, sure I'll help. - Fri Oct  2 01:14:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Offer a nice amount. - Fri Oct  2 01:14:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Depending on who turns it in - Fri Oct  2 01:14:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: We will decide if we pay them or not. - Fri Oct  2 01:15:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm. - Fri Oct  2 01:15:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If I do this will you agree to one thing? - Fri Oct  2 01:15:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You get one eye and I get the other? - Fri Oct  2 01:15:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Nope. - Fri Oct  2 01:15:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You can have both. - Fri Oct  2 01:15:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then what is it. - Fri Oct  2 01:16:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Go to a spa with me. *nod* - Fri Oct  2 01:16:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Eh. - Fri Oct  2 01:16:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Sure - Fri Oct  2 01:16:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well then. - Fri Oct  2 01:16:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Small price to pay. - Fri Oct  2 01:16:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A deal's a deal. - Fri Oct  2 01:16:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Fri Oct  2 01:16:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well, I'll do that. - Fri Oct  2 01:17:13 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) writes up a letter and sends it off, as he spoke "It'll be a few days before it goes through."* - Fri Oct  2 01:18:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Thank you very much. - Fri Oct  2 01:18:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Up for a few more games? - Fri Oct  2 01:18:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Fri Oct  2 01:18:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Kirie. - Fri Oct  2 01:18:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Huh? - Fri Oct  2 01:18:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Nevermind. - Fri Oct  2 01:18:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Tell me. - Fri Oct  2 01:18:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I was going to ask if you wanted to play a few more games to pass the time is all. - Fri Oct  2 01:18:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I've been bored lately is all. - Fri Oct  2 01:18:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Ah. - Fri Oct  2 01:18:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have not done what I needed to do yet. - Fri Oct  2 01:18:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I'll let you know when - Fri Oct  2 01:19:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So be it~. - Fri Oct  2 01:19:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yo. - Fri Oct  2 01:34:17 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Hmm, I guess its the same as always here - Fri Oct  2 01:42:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well time to train again... - Fri Oct  2 02:22:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yo, stil awake? - Fri Oct  2 03:07:18 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Fri Oct  2 03:15:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hey~ - Fri Oct  2 19:20:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hello beautiful. - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hows things? - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well. - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I lost another friend yesterday. - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: It never ends does it... - Fri Oct  2 19:23:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It seems it doesn't. - Fri Oct  2 19:25:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: *Sigh* - Fri Oct  2 19:25:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: I have something to tell you as well... - Fri Oct  2 19:26:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What's up? - Fri Oct  2 19:27:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: My mother contacted me. - Fri Oct  2 19:28:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: Or...better to say she sent someone to 'collect' me - Fri Oct  2 19:28:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ....Really? - Fri Oct  2 19:28:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. My step dad wanted to marry me off into some random family to increase his own status. - Fri Oct  2 19:29:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Told them where they could shove that idea. - Fri Oct  2 19:29:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Funny thing. My mother didn't even know I'd become a shinobi,. - Fri Oct  2 19:29:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: kay. - Fri Oct  2 19:29:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Turns out forcing me didn't work so well. - Fri Oct  2 19:30:20 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: . . . - Fri Oct  2 19:35:28 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Calm mind... - Fri Oct  2 19:44:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So. - Fri Oct  2 20:02:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You don't really. - Fri Oct  2 20:03:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Don't really...? - Fri Oct  2 20:03:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well you haven't talked to your mother. - Fri Oct  2 20:03:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: In a while? I mean you've been a shinobi for what..? Five years? - Fri Oct  2 20:03:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh yeah, when she got with the new guy they just upped and left me here. - Fri Oct  2 20:04:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: That was what...six years ago? - Fri Oct  2 20:04:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Wow. - Fri Oct  2 20:04:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: They sent me money so I could feed myself. - Fri Oct  2 20:04:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: But other than that they just ignored me. - Fri Oct  2 20:05:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: After I uh...refused to be married off. They cut me off, no more money. Not that I'm bothered by that. - Fri Oct  2 20:05:20 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: My parents aren't mean.~ - Fri Oct  2 20:06:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I mean. - Fri Oct  2 20:06:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Lera you don't have to worry about Money. - Fri Oct  2 20:06:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll always be there. - Fri Oct  2 20:06:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: I know, but I'm not going to rely on you~ - Fri Oct  2 20:08:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: I get enough from being a shinobi. - Fri Oct  2 20:09:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's no biggie if you want to though. - Fri Oct  2 20:09:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its okay, really. - Fri Oct  2 20:09:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: The house is bought and paid for and they're not taking that from me, I mean...they can try... - Fri Oct  2 20:10:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: But it wouldn't go well. - Fri Oct  2 20:10:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You can say that again. - Fri Oct  2 20:11:18 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Lera, was it? You stated that you have four elements right and using them is your primary specialty, right? It'd be delightful if you could aid me with learning some things. - Fri Oct  2 20:13:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Uh? I mean sure, which element were you looking for? - Fri Oct  2 20:14:43 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I can use Katon, Doton, Suiton and Fuuton. So... anything you feel like teaching me.. - Fri Oct  2 20:15:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Oh...what was his name.. - Fri Oct  2 20:16:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Tetsu...or something like that. - Fri Oct  2 20:16:25 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I don't have a specialty for any of them. I'm a pretty subpar shinobi, heh. - Fri Oct  2 20:17:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: huh... - Fri Oct  2 20:17:16 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I should learn normal ninjutsu, too.. - Fri Oct  2 20:17:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, I can teach you jutsus for one at a time. - Fri Oct  2 20:17:16 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'd appreciate that greatly. - Fri Oct  2 20:18:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Mm, I think I'm going to enter that tournament tomorroe. - Fri Oct  2 20:18:08 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Fighting that man...the one who's down for treason...? - Fri Oct  2 20:18:59 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Will...will you be okay? - Fri Oct  2 20:18:59 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Ooh...treason. - Fri Oct  2 20:18:59 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I'm not sure. - Fri Oct  2 20:19:50 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: He's definately stronger than I. - Fri Oct  2 20:20:41 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I...don't know. I sort've want to stop you... - Fri Oct  2 20:22:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I may be getting a promotion soon, though. - Fri Oct  2 20:22:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: To Sergeant Status. - Fri Oct  2 20:22:24 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: ...Still, I don't want to lose you... - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: If I feel, Im in trouble, I'll forfeit. - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And it's probably. - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: All the above. - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Maybe with a lack of bravery. - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Uh...huh. - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Stupidity fits. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Inaba, Suzuna(Tsundere-san) says: I wonder how good I'd do working with diamond.. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Inaba, Suzuna(Tsundere-san) says: Kirigakure's not rich enough minerally to provide me with it. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The Empire Sells. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Diamond weapons and armor. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: For at least Fifty Million. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Inaba, Suzuna(Tsundere-san) says: If I had it I'd make it for five million. - Fri Oct  2 20:24:57 2015
<br><br><font color=teal>*Inaba, Suzuna(Tsundere-san) says: I only have a fiftieth of that money anyways. - Fri Oct  2 20:24:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Fri Oct  2 20:25:48 2015
<br><br><font color=teal>*Inaba, Suzuna(Tsundere-san) says: Hah.... I really need to stop slacking off on training, too. - Fri Oct  2 20:25:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Tomorrow~ I want to take you out. - Fri Oct  2 20:26:40 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I'm down for that~ - Fri Oct  2 20:28:22 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: So. I assume that's a no on the training. Nnnnnh... - Fri Oct  2 20:29:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: We can do it tomorrow. - Fri Oct  2 20:30:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Or at least, later. - Fri Oct  2 20:30:56 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Later........ nnnnnnnnnnnnnnnnn... - Fri Oct  2 20:31:47 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I should train some more, becasue fuck this monster on FFX - Fri Oct  2 20:33:29 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Later sounds incredibly unappealing, why not now..? - Fri Oct  2 20:33:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: because i'm going to go home soon. - Fri Oct  2 20:34:20 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Haaaaaaaaaaaaaaaaah............... - Fri Oct  2 20:34:20 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Can I tag along? I literally have nothing else to do. - Fri Oct  2 20:38:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay, Stay safe vi~ - Fri Oct  2 20:38:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... sure.. - Fri Oct  2 20:39:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I wonder what I did to deserve you Lera~ - Fri Oct  2 20:41:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh I dunno, were probably really nice in your past life or something. - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Well I hope we can all forgive each other - Fri Oct  2 20:48:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Zenaki. - Fri Oct  2 20:48:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Fri Oct  2 20:48:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Could We talk for a bit, in Privacy? - Fri Oct  2 20:48:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Fri Oct  2 20:48:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. Sure... - Fri Oct  2 20:48:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have an unusual request. - Fri Oct  2 20:48:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well two. - Fri Oct  2 20:49:42 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm? - Fri Oct  2 20:49:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well first, have you considered my offer? - Fri Oct  2 20:49:42 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I did. But you know. I don't know if I have permission from my Master. Plus I am being put down in the medical corps here in Suna. - Fri Oct  2 20:50:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Master? - Fri Oct  2 20:50:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You're a free woman. - Fri Oct  2 20:50:33 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: No such thing. I love my Master. And stay with him if he wishes to.  - Fri Oct  2 20:51:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---. - Fri Oct  2 20:51:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: That definately sounds sketchy. - Fri Oct  2 20:51:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm a Jounin of Sunagakure, and have a request of you then. - Fri Oct  2 20:51:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm? - Fri Oct  2 20:51:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: This would be off the book of course. - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I want you to replace ,my eye. - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Replace it with what? - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Another eye of course. - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Which one? - Fri Oct  2 20:52:16 2015
