<br><font color=yellow>*Zetseun, Cypher(Jjking218) blinked as he noticed  her attempt to meet his punch half way, and he attempted to pull his strike, without hesitation, his left foot is sent towards her stomach, about mid-way, it ignites with a similar wind chakra, his transition was smooth and effortless, it moves horizontally, as if aiming to lightly cut her stomach. But like before, he held back to the point no physical harm would befall her, besides maybe blunt force damage, and a mild stringing should the wind connect with her.
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: Wow, She's hot...Is she maybe his mother? - Fri Oct  9 22:26:33 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: --Still pretty hot. - Fri Oct  9 22:26:33 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'll see you guys around. - Fri Oct  9 22:26:33 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Bye. - Fri Oct  9 22:26:33 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Bye. - Fri Oct  9 22:26:33 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) would slowly lower his goggles over his eyes, before turning, and began running off with exceptional speed.* - Fri Oct  9 22:27:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I might be up for one. - Fri Oct  9 22:27:24 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: I'm harassing people at the gate) - Fri Oct  9 22:27:24 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Not srsly, But I did ask them to send for you) - Fri Oct  9 22:27:24 2015
<br><br><font color=teal>*Ai(Sennalove) says: Follow me. - Fri Oct  9 22:27:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Fri Oct  9 22:28:16 2015
<br><br><font color=teal>*Ai(Sennalove) says: Don't worry, I don't fight...Normal. - Fri Oct  9 22:28:16 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm? - Fri Oct  9 22:28:16 2015
<br><br><font color=teal>*Ai(Sennalove) says: You'll see. - Fri Oct  9 22:28:16 2015
<br><br><font color=teal>*Ai(Sennalove) says: Come on, we're going north. - Fri Oct  9 22:29:07 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) scratched his cheek as he looked at the guards which were still present, and still showed reluctance.."Eh... they wanted me to wait here, but I suppose if you bring me in...That's fine." He stated, scratching his cheek with a single finger.* - Fri Oct  9 22:31:40 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) nodded his head lightly, as he followed behind her looking at either of the guards, this would be his first time entering a major village, it was definately quite exciting.* - Fri Oct  9 22:35:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Who told you to wait here, by the way? - Fri Oct  9 22:35:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: The guards.  - Fri Oct  9 22:35:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yo. - Fri Oct  9 22:36:48 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Wow...This is a Ninja Village? - Fri Oct  9 22:36:48 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Gigantic... - Fri Oct  9 22:36:48 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: How're you today? - Fri Oct  9 22:36:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Fine. - Fri Oct  9 22:36:48 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: That's good. - Fri Oct  9 22:36:48 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looks around definately awestricken with the sheer size, he did a quick Three sixty. "There's probably Millions of people....This is truly...amazing.." He stated.* - Fri Oct  9 22:37:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Kumogakure doesn't have so many? - Fri Oct  9 22:38:30 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'm not from Kirigakure. - Fri Oct  9 22:38:30 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Kumogakure* - Fri Oct  9 22:38:30 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Huh, something wrong? - Fri Oct  9 22:40:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Guess I misheard. . . - Fri Oct  9 22:40:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'm from a settlement 'near' Kumogakure. - Fri Oct  9 22:40:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Not directly a part of it though. - Fri Oct  9 22:40:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's actually North of here. - Fri Oct  9 22:40:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --A few days travel though. - Fri Oct  9 22:40:12 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Fri Oct  9 22:41:55 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I see. - Fri Oct  9 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hey, Katsune, could you give me the Five Yen tour? - Fri Oct  9 22:44:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. - Fri Oct  9 22:45:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That area belongs to us now. - Fri Oct  9 22:46:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: the Wind Country has begun expanding rapidly taking terrirtories and small lands. - Fri Oct  9 22:46:11 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Fri Oct  9 22:46:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Although it hasn't force assimilation, it's ony for protective purposes. - Fri Oct  9 22:47:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ...Guess I can show you where the hospital is....and the training grounds. - Fri Oct  9 22:47:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I've heard plans of assimilating Kumogakure, and Konoha as well as Ame. - Fri Oct  9 22:51:18 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Fri Oct  9 22:51:18 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: All those? - Fri Oct  9 22:51:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Personally all that isn't my cup of tea...But Whatever it's the Daimyo's choice. - Fri Oct  9 22:51:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah, but i'd have a small say Susumu. - Fri Oct  9 22:52:09 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'd rbably end up giving the villages ovr. - Fri Oct  9 22:52:09 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: That's a bit much. - Fri Oct  9 22:52:09 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm not one for world domination. - Fri Oct  9 22:52:09 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Y'know what I mean? - Fri Oct  9 22:52:09 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) facepalmed in reaction to Katsune's tour, ,but he honestly did laugh a bit, "I see, But I feel like the sand on that side." Points to the north, "Is a bit sandier than this side." He stated pointing to the ground beneath him, probably a failed attempt to crack a joke, as he listened to Hassan's words, he scratched his chin, it was hard to imagine the possibility of such a thing occuring as he spoke"

"Wouldn't that put a lot of stress on you though? Kazekage-san?"* - Fri Oct  9 22:53:00 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Yea, I know. - Fri Oct  9 22:53:00 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: World domination ended badly for the others who tried. - Fri Oct  9 22:53:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Right? - Fri Oct  9 22:53:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And I just make Yan do all my work. - Fri Oct  9 22:53:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: He's pretty old. - Fri Oct  9 22:53:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So not really. - Fri Oct  9 22:53:52 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I say the best plan. - Fri Oct  9 22:53:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: Probably Will have a heart attack if he sneezes wrong. - Fri Oct  9 22:53:52 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Is simply to keep peaceful within the village. - Fri Oct  9 22:53:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hm... - Fri Oct  9 22:53:52 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: And build it up. - Fri Oct  9 22:54:43 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: War is simply killing eachother for stupid reasons. - Fri Oct  9 22:54:43 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: And world domination is like like trying to divide by zero. - Fri Oct  9 22:55:34 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Kazekage-san. - Fri Oct  9 22:55:34 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: How old are you? - Fri Oct  9 22:55:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: 56 or so... - Fri Oct  9 22:56:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not really sure anymore. - Fri Oct  9 22:56:25 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Stopped counting? - Fri Oct  9 22:56:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I just know im in my mid 50s. - Fri Oct  9 22:56:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Fri Oct  9 22:56:25 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Mind if I ask you a personal question? - Fri Oct  9 22:56:25 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Age isn't really important. - Fri Oct  9 22:56:25 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: He could probably drop most of us. - Fri Oct  9 22:56:25 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Out of all the wars you've participated in, Would you say any of them were justifieD? - Fri Oct  9 22:58:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Only 1. - Fri Oct  9 22:58:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Which? - Fri Oct  9 22:58:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: But I was raised to think it was. - Fri Oct  9 22:58:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: The first I was in. - Fri Oct  9 22:58:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: When I was around 24. - Fri Oct  9 22:58:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Do you regret your participation? - Fri Oct  9 22:58:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not at all. - Fri Oct  9 22:58:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It made me the man I am today - Fri Oct  9 22:58:59 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Are you proud of what you've become? Who you are today? - Fri Oct  9 22:58:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: In a sense. - Fri Oct  9 22:59:50 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Would you change anything? - Fri Oct  9 22:59:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'd save my little brother. - Fri Oct  9 23:00:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He died in that war. - Fri Oct  9 23:00:41 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I feel a nickname coming on how bout you gramps? - Fri Oct  9 23:00:41 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: What was his name? - Fri Oct  9 23:00:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Aamir. - Fri Oct  9 23:03:15 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I see. - Fri Oct  9 23:04:06 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: How old was he? - Fri Oct  9 23:04:06 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Are you) - Fri Oct  9 23:04:57 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Receiving any of my Messages?) - Fri Oct  9 23:04:57 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: On skype?>) - Fri Oct  9 23:04:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: 21. - Fri Oct  9 23:05:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (was just talking to kilm about that. mine are buggy too) - Fri Oct  9 23:05:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I had taken him to the bar for the first time. - Fri Oct  9 23:05:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (it says they're loading even 10min after but he replies instantly) - Fri Oct  9 23:05:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: 2 weeks before that. - Fri Oct  9 23:05:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He got drunk like the idiot he was. - Fri Oct  9 23:05:48 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I see. - Fri Oct  9 23:06:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (ya i didn't get any of yours) - Fri Oct  9 23:06:40 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: So like a Summer's breeze, his life was swept away before an impression was made. - Fri Oct  9 23:07:31 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: As is the curse of most shinobi. - Fri Oct  9 23:07:31 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yup Yotaly naming him Questionaire. - Fri Oct  9 23:10:04 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Lord Kazekage. - Fri Oct  9 23:10:04 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Can I get a mission? - Fri Oct  9 23:10:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'm not one for many questions usually. - Fri Oct  9 23:10:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: But I'm a fan of his book. - Fri Oct  9 23:10:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's rare I get to meet such a man. - Fri Oct  9 23:10:04 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: A mission? - Fri Oct  9 23:10:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You bought my book? - Fri Oct  9 23:10:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I did. - Fri Oct  9 23:11:47 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It was quite the read.. - Fri Oct  9 23:11:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Wow, I hope you enjoy it. - Fri Oct  9 23:11:47 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Do you plan on making a second? - Fri Oct  9 23:11:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: A second would be a guide on battle. - Fri Oct  9 23:11:47 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'd love to read it, when it hits the market.. - Fri Oct  9 23:11:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: for sure. - Fri Oct  9 23:11:47 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I was wondering. - Fri Oct  9 23:12:38 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Gramps you write books? - Fri Oct  9 23:12:38 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Would you be willing to let me entertain you with a tryout? - Fri Oct  9 23:12:38 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I wish to become a Shinobi of this Village, for as long as you'll permit me. - Fri Oct  9 23:12:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You'll need to ask Yan when he gets bak. - Fri Oct  9 23:13:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah I do Trilliam. - Fri Oct  9 23:13:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It was an autobiograpy. - Fri Oct  9 23:13:29 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I would ask for a chance to train with you, But I figured you probably have better things to do. - Fri Oct  9 23:14:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmmmm I might try my hand at one of those when I get older. - Fri Oct  9 23:14:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm busy. - Fri Oct  9 23:14:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan wiill train with you. - Fri Oct  9 23:14:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: So I decided to hint at it in a thinly veiled way. - Fri Oct  9 23:14:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: What you think about this as a Title. - Fri Oct  9 23:14:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: How To Make a Bang. - Fri Oct  9 23:15:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hm.. - Fri Oct  9 23:15:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hassan-san. - Fri Oct  9 23:15:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: You were recently promoted to a Field Commander position right? - Fri Oct  9 23:16:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah? - Fri Oct  9 23:16:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Fri Oct  9 23:16:03 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Was it hard? - Fri Oct  9 23:16:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Very. - Fri Oct  9 23:16:03 2015
<br><br><font color=teal>*Ai(Sennalove) thinks: Ow.. - Fri Oct  9 23:16:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I almost died. - Fri Oct  9 23:16:03 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hm. - Fri Oct  9 23:16:03 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Are you going for another promotion? - Fri Oct  9 23:16:54 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Possibly. - Fri Oct  9 23:16:54 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I need to get my portfolio together, - Fri Oct  9 23:16:54 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If I do, it'll probably be my last. - Fri Oct  9 23:16:54 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Fair enough. - Fri Oct  9 23:17:45 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I heard that Knight was killed. - Fri Oct  9 23:17:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Wow. - Fri Oct  9 23:17:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That's impressive. - Fri Oct  9 23:17:45 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Not quite. - Fri Oct  9 23:17:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Kudos to whoever killed hi, - Fri Oct  9 23:17:45 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: The person waited Five days until he was already on death's bed. - Fri Oct  9 23:17:45 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Then killed him at his weakest state.. - Fri Oct  9 23:17:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Eyyyy Yan! - Fri Oct  9 23:18:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi is behind me with the Daimyo in hand... - Fri Oct  9 23:18:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sounds great. - Fri Oct  9 23:18:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: How beat us is he? - Fri Oct  9 23:18:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He was in pretty bad condition. We need a medic to tend to him. - Fri Oct  9 23:18:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. - Fri Oct  9 23:19:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He'll live though, right? - Fri Oct  9 23:19:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I believe so though. - Fri Oct  9 23:19:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So, what's got you all riled up? - Fri Oct  9 23:19:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Nothin. - Fri Oct  9 23:20:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Just a good day. - Fri Oct  9 23:20:19 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) wonders---slowly approaches Yan from behind, taking care to tread lightly.* - Fri Oct  9 23:20:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. - Fri Oct  9 23:20:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan I need you to handle the masses here. - Fri Oct  9 23:20:19 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah we got a new guy Yan his name is Questionaire. - Fri Oct  9 23:20:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Handle everyone and make sure they'r okay. - Fri Oct  9 23:21:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Did something occur? - Fri Oct  9 23:21:10 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) would slowly extend a single finger, looking at the creases in Yan's' armor, he'd attempt to find the male's armpit with a single motion aiming to make him uncomfortable.* - Fri Oct  9 23:21:10 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I got paperwork to do. - Fri Oct  9 23:21:10 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looked at him as he spoke "Yan? Old guy wanted you to test my skills. For a position, he said if I killed you I got brownie poin---I wasn't supposed to say that. But yeah."* - Fri Oct  9 23:22:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh? Well, why would you want to kill me? - Fri Oct  9 23:22:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Pretty Nifty Armor. - Fri Oct  9 23:22:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I guess we could spar sometime, but I don't intend to kill you. - Fri Oct  9 23:22:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: If I manage to hit you Three times. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I want your shoes. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...No. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ----. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Why not? - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Shoes are inexpensive..go buy some. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I want to sell yours for profit. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Does anyone need help? - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Guess i'll be off for now. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Just give me my try out. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhhhh I got him afill name now guys - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: . - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi, help me! You are a jounin, after all. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He shall be Questionarie De La Runit. - Fri Oct  9 23:24:35 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) extends a single finger aiming to place it directly on Yan's chestplate. "Come on, Don't keep me waiting, It isn't very gentlemen-like."* - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Even if I was to spar you, Ijust got back from a mission and my chakra levels are low. - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Seriously. - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It wouldn't be right now. - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Don't be a buzz kill. - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's not fun. - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Quit harrassing me... - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's really, Not fun. - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Really, Really, Not fun. - Fri Oct  9 23:26:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -Really-, Really, -Really-, Not entertaining. - Fri Oct  9 23:27:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey Questionaire De La Runit Let him rest. - Fri Oct  9 23:27:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Time to complete that technique. - Fri Oct  9 23:27:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: If I let him rest, I hope he's entertaining, when he's rested.. - Fri Oct  9 23:27:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: That is a mouth full Im a sorthen it to quest. - Fri Oct  9 23:28:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yan make sure to add that to like his ninja file Okay. - Fri Oct  9 23:28:00 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Maaan. - Fri Oct  9 23:28:51 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: He's boring. - Fri Oct  9 23:28:51 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Want to do something Katsune? - Fri Oct  9 23:28:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: If you have ideas, maybe. - Fri Oct  9 23:29:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He is actually pretty coll Quest once you get to know him. - Fri Oct  9 23:29:42 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Not sure. - Fri Oct  9 23:29:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If no one needs anything, I am going to go rest... - Fri Oct  9 23:29:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I only have 5 thousand chakra points left. - Fri Oct  9 23:30:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Fri Oct  9 23:30:33 2015
