<br><font color=yellow>*Sabo(Chevy Impalla) maintained his stable state, retaining his visage on the area ahead of himself before beginning to produce another extension of his chakra in the space of air before him. Sabo was easily applying his chakra as he pushed out the weapon. The only problem he found was his inability to shape the weapon into the tool he wished for. His failure to amplify the technique enough to form a perfect blade upset him, and therefore he simply reduced his chakra, leaving just the kunai in hand now.* - Thu Oct  8 11:17:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---------- - Fri Oct  9 17:59:28 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Oh no.. - Fri Oct  9 17:59:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Only my bloodline has recorded every individual that has existed, and at least had a bit of power, they were the heads of the state for so long. From The First Yamanshi King, Fengsis. - Fri Oct  9 18:00:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see... - Fri Oct  9 18:01:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: To the great conquerer king, Dig'rist, and to the great depraved steward queen, Aeschylus - Fri Oct  9 18:01:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: We've all ruled. - Fri Oct  9 18:01:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: And to be overthrown by some petty - Fri Oct  9 18:01:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Coup'detat - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Pitiful, disgusting. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: This is the reason why this country has succumbed to such low standings - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: In the world. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: When it was so great. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's still a great country. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: A great country doesn't have single invaders blow up their mountains. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: and kill their leaders. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, from the way you're talking, you seem like you want the position of Raikage...However, if you do go for the position and get it.....I request one thing from you. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: ....This sounds like something beyond...Raikage... - Fri Oct  9 18:03:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What is it that you request? - Fri Oct  9 18:03:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I want control of the military, one hundred percent of it. - Fri Oct  9 18:04:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Control of the military is a great, and big thing. Do you know that those of the Yamanshi Dynasty of the past, to those that have not gotten the crown were given high general positions? And had tried to overthrow their own blood for the throne of this country? Do you understand the power, and responsiblity that you'll be receiving even if you are not of the Yamanshi Bloodline? - Fri Oct  9 18:06:17 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: you are not of the Yamanshi Bloodline? - Fri Oct  9 18:06:17 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 18:11:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: -- - Fri Oct  9 18:11:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 18:13:58 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: The Raikage was framed? - Fri Oct  9 18:13:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: From what it says on this scroll, he was. - Fri Oct  9 18:13:58 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Framed for...? - Fri Oct  9 18:14:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Doesn't say what he was framed for. Just says he was framed. - Fri Oct  9 18:14:49 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 18:14:49 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Your sources are horrendous. - Fri Oct  9 18:14:49 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Sit down, Hideki. - Fri Oct  9 18:14:49 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) takes up the bodyguard role.* - Fri Oct  9 18:15:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Fri Oct  9 18:16:32 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) remained silent. Giving a stern, serious face.* - Fri Oct  9 18:17:23 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Sorry Sabo buddy...But I'm going to need you to stay immobile. - Fri Oct  9 18:22:30 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) continued to observe the situation at hand, simply acting as a guard for the woman before him currently. Yet, he was assaulted, not physically but mentally. As Sabo stood there, his lavender eyes seemed to shift, the ring along with it as sensory allowed him a chance to identify the trick at hand. He understood it was already too late for him to act against the technique, not even resisting, at least not yet. He simply wanted to leave Hideki with the thought that Sabo was incapable of recognizing such, or even escaping. 

His silence remained.* - Fri Oct  9 18:25:04 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Mmn.. - Fri Oct  9 18:25:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However...This scroll and it's contents will remain with me, Genesis. - Fri Oct  9 18:25:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And I will hand this scroll. To the person that's suppose to take the roll as Raikage. - Fri Oct  9 18:25:55 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Have you not heard me? - Fri Oct  9 18:25:55 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Sabo will probably know what I did sooner or later, which will put me in a tight spot.. - Fri Oct  9 18:25:55 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I do not want the Raikage Position, Hideki. That is a position only for someone with great military prowess. - Fri Oct  9 18:26:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: So you want to command in the shadows? - Fri Oct  9 18:26:46 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I want the Lightning country to usher into a golden age once more, I want the lightning country to know of their true ruling dynasty. I could care less of who takes the mantle of the military as long as they perform with the monarch's will in mind.  - Fri Oct  9 18:27:37 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm weak, I have no power in fighting. - Fri Oct  9 18:27:37 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: The strong has polished their fangs. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I've polished my wisdom. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Even before Niza, theres been raikages that have done a good job in keeping Kumogakure in a golden age. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Through the use of military might, ignoring any other legistics that a country shouldn't be ignored. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Niza wanted peace for the world. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Do you think by military might, that will be accomplished. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: It will only be seen as tyranny. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...... - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: There is no policies anymore for this country. - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: It has been forgotten. - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: There is no grand law for this country. - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Order. - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: If there was, our security would be great. - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Not even foreigners could have easy access to this country. - Fri Oct  9 18:29:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: To disrupt or destroy us from the inside. - Fri Oct  9 18:30:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: If people are to find out...Someone that isn't the Raikage is being commanded in the shadows, that shows weakness. Espeically if they find out the person in the shadows is weak and can't defend themselves. - Fri Oct  9 18:30:11 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Shadows? - Fri Oct  9 18:30:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's obvious on what you're trying to do. - Fri Oct  9 18:30:11 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Shadows? What measly attempt at hiding from the world. - Fri Oct  9 18:30:11 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm putting my rule boldly for the world to know. - Fri Oct  9 18:31:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm... - Fri Oct  9 18:31:02 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Do you trust yourself or someone else to become Raikage. - Fri Oct  9 18:31:53 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) took into realization that the genjutsu was over, his eyes allowing him to observe the connection of chakra between the two. Had Hideki just released however, he would've allowed things to go smoothly. Yet, he employed a tactic that Sabo wouldn't take kindly to.

He felt a trigger within his mind, finding the result to beat away at his mind, somewhat pushing him towards an unconcious state. In reaction, a birst of spirit seemed to come over himself and Sabo was proceeding to flip the table to his right (left of icon.). After doing such, he proceeded to 'growl' at Hideki and his partner.

"Do it -again- and I'll remove your head from your shoulders."* - Fri Oct  9 18:39:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ....... - Fri Oct  9 18:47:15 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) observed the production of the snakes, finding their introduction to the region before himself to appear on his 'radar' of sorts. Within quick action taking place, Sabo easily produced a single kunai in response, not even wasting his opening to access his own chakra pathway to send forth a rather clude extension of it.

The length of his chakra carried out far enough, at least for Sabo to strike against the blades. WIth ease, his 'blade' of chakra would more than likely sever each snake, if not, each blade at the least. The reaction of Hideki not bothing Sabo in the slightest, finding that the red-eyed shinobi had made a great mistake in his own eyes.

Once completing the action, his eyes shifted from the point forward and on to Genesis, hoping that she would move for her own safety.* - Fri Oct  9 18:54:04 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: fuck dis shit im out - Fri Oct  9 18:57:29 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) had fallen into a state of unconciousness, incapable of denying the actions of Hideki. It seemed that the ocular ability Hideki held were greater than Sabo's, at least in this instance. Yet, the introduction of the blades to his falling state left him to have no reaction. He couldn't. 

The blades seemed to pierce through Sabo's brittle skin, tearing through muscle with ease, proving that these snakes had blades that Sabo himself would've liked to make use of himself. Yet, the brain had been piereced and the situation was indeed over, his frontal lobe being the first target of the penetration. Within a mere moment, Sabo had passed quite quickly, not even capable of surviving more than a mere minute.

And now from his new position, he observed his body fall, moving backwards to collapse against the wooden flooring of the strip mall. With his observation, an expression crossed the now-turned spirit of Sabo, one of suprise, taking into realization that he had indeed been slain. A moment he believed would never come to him in any event.

However, he should have known that such a thing would happen, it was simply his mistake for beginning to gain trust in people, his visage cascading over to Hideki now as a scowl crossed his face. One of hatred, one of disrespect, and most importantly, one that swore vengeance. Yes, even in the afterlife Sabo believed he could wreak havoc, planning against the world with the strategic memory he held. But, more important things crossed his memory, his body--or spirit-- turning towards Genesis' position.

Another expression, never before seen on Sabo's face had come up. He now looked at the girl with eyes of sadness, observing the approaching hound of a man come across her. He'd failed in his fulfilling his new purpose, rather, his only purpose in life now. Protecting his Queen, his everything, a woman he'd become infatuated with from a mere glance at her soft skin and glowing eyes. Never before seen by the young Sabo.

Then he turned back to his own person, simply stating words that only he could potentially hear. "Just like Monohoshi Zao...I fall." Only afterwards, fading from the area, the chakra within his body passing from himself into the universes everflowing expansive force.* - Fri Oct  9 19:18:49 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: --- .... - Fri Oct  9 19:21:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  9 19:23:05 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: -- - Fri Oct  9 19:26:30 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Hold my pocket. - Tue Nov 24 01:42:24 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) cuts his ass in half.* - Tue Nov 24 01:43:15 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: So... how'd you die? - Tue Nov 24 01:43:15 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I fucked your mother. - Tue Nov 24 01:43:15 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: wow - Tue Nov 24 01:43:15 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: ive told everyone who's died doing that not to. - Tue Nov 24 01:44:06 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I told them her vagina constricts better than a snake! - Tue Nov 24 01:44:06 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Tue Nov 24 01:44:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Nah she just had aids from so much dick. - Tue Nov 24 01:44:06 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Nahhh.. - Tue Nov 24 01:44:06 2015
