<br><font color=teal>*Ziare(Meekee) says: It's more efficient than yours. - Mon Nov  2 07:39:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I swear you told me you were going to defeat him Kronos. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I was but then I got stabbed by one of his peions... Survived his attack though - Tue Nov  3 18:37:26 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Where the hell is Niza? I know I sensed his soul.. - Tue Nov  3 18:37:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I dunno. - Tue Nov  3 18:37:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I only heard of him dying in Kumogakure. - Tue Nov  3 18:37:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Niklaus. - Tue Nov  3 18:37:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I heard Kumogakure got massacred. - Tue Nov  3 18:37:26 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Niza died too? So did all of Ride or Die... Die? - Tue Nov  3 18:38:17 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yep. - Tue Nov  3 18:38:17 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Only person left is Fujitora.. - Tue Nov  3 18:38:17 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm, Fuji. - Tue Nov  3 18:39:08 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Wait... he is still alive? That loner? - Tue Nov  3 18:39:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yeah. - Tue Nov  3 18:39:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I asked him to make a seal for me. - Tue Nov  3 18:39:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I was planning to make an S rank Storm technique. - Tue Nov  3 18:39:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Never had the time. - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Wasn't prepared enough. - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Well consider me suprised - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Needed the seal to make sure my arm actually doesn't explode while trying to perform the technique during training. - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Seals? - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Fuuinjutsu. - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: He was a swordsman - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: He is a master in fuuinjutsu. - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: He learned and mastered Fuuinjutsu? - Tue Nov  3 18:40:51 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yeah. - Tue Nov  3 18:40:51 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Ha! Someone has been busy... - Tue Nov  3 18:40:51 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Speaking of Finnjutsu... Tethys... - Tue Nov  3 18:41:42 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Yo? - Tue Nov  3 18:41:42 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: How is Noriko? - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: ..Dead. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yeah. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: She passed on without me. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So did you find her soul. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Her and my two kids. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Oh... im sorry - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Told them to go without me. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Ikaro. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Is still alive. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Good, good. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: ... that tragic... - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Him and Mizumi are the last Hogo's. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I hope Paine is ok... - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: He's gotten better at his techniques than you. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I swear he's better at hydrification. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: He is also better at ninjutsu than me. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: All the techniques he have, I taught him. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Not as strong physically as you though. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: I just don't use them all since I major in Kenjutsu. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So, Niklaus. Have you seen Taifu? - Tue Nov  3 18:44:16 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: w- - Tue Nov  3 18:44:16 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I mean is Tetsumi is still alive right? - Tue Nov  3 18:46:49 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Yo, Tethys Tetsumi still alive? - Tue Nov  3 18:47:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Tetsumi. - Tue Nov  3 18:47:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Is alive. - Tue Nov  3 18:47:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I gave him raccoon summons. - Tue Nov  3 18:47:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: They will inform him of my death. - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Really? Good... I have faith in that kid - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Raccoons eh? - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: He is really strong with his sand. - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Iron sand, Not normal sand. - Tue Nov  3 18:49:23 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I guess that is odd becasue the thing with him looks like one... at from what I saw - Tue Nov  3 18:49:23 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Yea im aware.. - Tue Nov  3 18:49:23 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I kicked his but a few times - Tue Nov  3 18:49:23 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: My sand was alot faster - Tue Nov  3 18:49:23 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I hope Suna is in better sanding... Kilm what village were you in? - Tue Nov  3 18:51:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Depends. - Tue Nov  3 18:51:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I can say i've almost worked for all of em except Kirigakure. - Tue Nov  3 18:51:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You see. - Tue Nov  3 18:51:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: When I was captured by Zetsumo, I was to spend a lot of my time in Konohagakure. - Tue Nov  3 18:51:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: When Konohagakure got captured, I had to go to Amegakure. - Tue Nov  3 18:51:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: When Zetsumo died, Me and Katsune took over Konohagakure. - Tue Nov  3 18:51:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Then Erebus happened, Lack of trust . . . Paranoia, Had to give up on Konohagakure and change identities for a bit. - Tue Nov  3 18:51:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We then moved to Sunagakure. - Tue Nov  3 18:51:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And I died near there. - Tue Nov  3 18:51:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Well . . . Technically Erebus gave it to us . . . Just that it looked like he was more in control than us. - Tue Nov  3 18:53:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So we were really paranoid. - Tue Nov  3 18:53:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Anyway. - Tue Nov  3 18:53:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Did the both of you know I was insane? - Tue Nov  3 18:53:39 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Nope, but I was unstable so you are not alone... alot of pain in my life shaped my actiosn - Tue Nov  3 18:54:30 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I grew up without parents. - Tue Nov  3 18:55:21 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I had dozens of personalities to take care of me. - Tue Nov  3 18:56:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: They were all incumbent when I grew up until just minutes away from my death - Tue Nov  3 18:56:12 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: My parents sacrificed themselves to Jashin for my little brother to be born - Tue Nov  3 18:57:55 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I see. - Tue Nov  3 18:58:46 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Erebus was a Jashinist I believe. - Tue Nov  3 18:58:46 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I was told by Seisuke that. - Tue Nov  3 18:58:46 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Erebus? - Tue Nov  3 19:01:20 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Wierd name - Tue Nov  3 19:01:20 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: Kumogakure. - Tue Nov  3 19:10:43 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: What is the status? - Tue Nov  3 19:10:43 2015
<br><br><font color=teal>*Kilm(Vysasi) says: From the rumors, I heard the population was massacred. - Tue Nov  3 19:11:34 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: Where is Niza? - Tue Nov  3 19:12:25 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Dead. - Tue Nov  3 19:12:25 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: Ah. - Tue Nov  3 19:19:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You seen Taifu, Sir? - Tue Nov  3 19:29:29 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: So Suna is fine I assume - Tue Nov  3 19:31:12 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Hiw is kirigakure? - Tue Nov  3 19:32:03 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Unsure. - Tue Nov  3 19:32:03 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I haven't visited in a while, Last time i did,It was fine. - Tue Nov  3 19:32:03 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Ok... well im suprises... hey... i have a serious question... - Tue Nov  3 19:33:45 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Did you see...... Paine anywhere? - Tue Nov  3 19:33:45 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yeah. - Tue Nov  3 19:38:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: She's alive and good. - Tue Nov  3 19:38:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So. Niklaus, How'd you die? - Tue Nov  3 19:46:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I know that Kronos died to Zetsumo. - Tue Nov  3 19:46:33 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: You don't need to know. - Tue Nov  3 19:50:49 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I died to Kitora - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Kitora died to Orakuru. - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Orakuru died to Katsune. - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I died to Katsune. - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm. - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: What a chain - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Mhm. - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You two did anything in the afterlife recently? - Tue Nov  3 20:05:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You both have been dead for a very long time . . . I dunno how the afterlife works so mind if you tell me? Does it have places you can go to or is it just a plane of peace and zen? - Tue Nov  3 20:06:11 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: No not really - Tue Nov  3 20:11:18 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I can you can spy on the living every now and then but thats about it - Tue Nov  3 20:11:18 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Tue Nov  3 20:12:09 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Cool. - Tue Nov  3 20:12:09 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: Niza . . - Tue Nov  3 21:41:45 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: I've found you. - Tue Nov  3 21:41:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Klaus. - Tue Nov  3 21:41:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It is both good...and bad to see you. - Tue Nov  3 21:41:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I wish it was elsewhere that we met again. - Tue Nov  3 21:41:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Instead of the afterlife of course... - Tue Nov  3 21:42:36 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Im suprised to see both of you in the same place, Niza werent you a pacifist? - Tue Nov  3 21:42:36 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: ... what? - Tue Nov  3 21:43:28 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: For a while. I tried it. Didn't work out. - Tue Nov  3 21:43:28 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: You were a ruthless killer? I would have never believed it - Tue Nov  3 21:44:19 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I killed no one. - Tue Nov  3 21:44:19 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Oh... well that did change... did you have people killed? - Tue Nov  3 21:44:19 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Not that I recall of. - Tue Nov  3 21:45:10 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I gave punishments though, but I don't remember anyone being killed. - Tue Nov  3 21:46:01 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Punishments? For what? What did people possibly do?  - Tue Nov  3 21:46:52 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: Annoy you. - Tue Nov  3 21:46:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Kill others, betray the village, plenty of things. - Tue Nov  3 21:48:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Speaking of such I know of your involvement with Hanabi and Amai, Kronos. - Tue Nov  3 21:48:35 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Oh, I see well I cant really speak for that... I did alot of things but... no regrets - Tue Nov  3 21:49:26 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: What about them? - Tue Nov  3 21:49:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Nothing. - Tue Nov  3 21:49:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I just know. - Tue Nov  3 21:49:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: That's all. - Tue Nov  3 21:50:17 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: They had a little loversspat and Amai wanted me to handle it... I wasnt needed - Tue Nov  3 21:50:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I understand. - Tue Nov  3 21:50:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No need for explanation. - Tue Nov  3 21:50:17 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Oh, alright... shame though, Hana was wierd... Amai was ok... - Tue Nov  3 21:51:08 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: Tch . . - Tue Nov  3 21:53:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: A beforehand apology, but I never asked. - Tue Nov  3 21:54:33 2015
<br><br><font color=yellow>*Kronos(Jhunt713) //
Sand rises from the ground to construct , Kronos, Sunagakure's lost son...* - Mon Nov 16 03:59:47 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ahhh okay....You and Yan all i really have left to teach me since Kilm died. - Mon Nov 16 04:06:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see... - Mon Nov 16 04:06:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wish he would have shown me how to fly before he died that would have been so cool I could run up on gramps while he was in wind amour and be like Run it. - Mon Nov 16 04:07:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Mon Nov 16 04:08:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: Who do you think taught him how to fly... - Mon Nov 16 04:08:19 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ughhhhh.....Himself?? - Mon Nov 16 04:09:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...No. I taught him - Mon Nov 16 04:09:10 2015
<br><br><font color=yellow>*Kronos(Jhunt713) //
"..." the man looks around and touched the ground. Sand from the surrounding area was beginning to form at his feet, the sand then forms a cloud of some sort and takes flight and hovers high in the area.

If anyone could see his face his face would have several cracks in it like he was attacked or it was permanent damage done to him. His hands were only shown for a breif moment after touching the ground but then they dissappeared in his clock. His attire was old and dusty, some holes were in the garments; tears and such to signify the age of the attire.

"..." the red eyed, white haired man said nothing as he floated around the area. He floated around like he was looking for something. Like he was familiar with the area and wasnt at the same time... His eyes were blackened but his pupils were red.* - Mon Nov 16 04:10:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And Yan, yo. - Mon Nov 16 04:11:44 2015
<br><br><font color=yellow>*Kronos(Jhunt713) the sand in the area slowly started to shift and rise... they all formed at one point... the man in the sky "..."

He said nothing, he rarely even moved... it didnt even look like he was breathing. All the movement was done by the sand in the area. It gently flowed to one central point in the sky, his body...

He would slowly move his head scanning over the area. He looked like he was looking for somehting. He blackened eyes caught several figures in the area. He lingered on one body in particular...  "..."  he floated there. If anyone could sense the man his entire body would be shrouded in chakra... there would be no "points" in the man... they would also see that the rising sand was also laced with the chakra from the sand man.* - Mon Nov 16 04:24:32 2015
<br><br><font color=yellow>*Kronos(Jhunt713) //
"..." the sand didnt attack or harm anyone... it gathered to him like a core and he would turn around to leave the area... A duo of sand eyes would slowly rotate around his person after some movement under his cloak. It watched the area as he closed both if his eyes. "..."

He slowly went to the next area of his "list". Sand would slowly drip from his bod as he floated on. There was an air of shock and confusion an the familiar sight moved about in the sky. "..." the man never uttered a wordlike he was waiting for something or someone.* - Mon Nov 16 04:33:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Mon Nov 16 04:33:55 2015
<br><br><font color=yellow>*Kronos(Jhunt713) would be flying over the area and he would be looking down at the city before him. A city known , yet unknown to him... he spotted two more figures. He lingered at one figure longer than another and he would slowly move his head to search the area. "..." There was movement under his cloak... one of the rotating sand eyes would fly in the air and multiply to 3 times the size of the man. The scanned the area as he moved.

"..." the man's body was slowly dripping sand on the ground. He moved again, this was not what he was looking for...* - Mon Nov 16 04:40:44 2015
<br><br><font color=yellow>*Kronos(Jhunt713) //
Kronos floats 50 feet in the air, his face was not covered.

If anyone could see his face his face would have several cracks in it like he was attacked or it was permanent damage done to him. His clothing was old and dusty, some holes were in the garments; tears and such to signify the age of the attire.* - Mon Nov 16 04:45:00 2015
<br><br><font color=yellow>*Kronos(Jhunt713) //
His eyes were blackened all around but the red pupils and his slivery white hair was sandy* - Mon Nov 16 04:45:52 2015
<br><br><font color=yellow>*Kronos(Jhunt713) would slowly float to the gate."..." he would shake his head as his giant sand eye above him still rotated above him and his second sand eye would be absorbed into his body.

He floated over the gate, the guards look on as to question what to do. This man showed no signs of hostility nor did he show signs of friendliness. He finally threw open his cloak and his past injuries were present. 

The caved in chest, a hole in his right thigh, cracks in his face and skull. "..." his hands were raised as the sand from the ground slowly started to rise.* - Mon Nov 16 05:02:56 2015
<br><br><font color=yellow>*Kronos(Jhunt713) As the iron sand bird came flying in toward the man his sand eye saw all... where the bird was aiming a hole was opened allow the bird to fly through the man. The rising sand in the area all collided in at his body at once. The sands of the past flew into his body reconstructing him fully. He finally began to speak, "W-Where..." he said in a corse audible. He was much more aninated then before.

He looked up and frantically about like he was searching for something. "Where?" he said as he placed one hand on his head and the flows of sand dropped to the ground. He flew back in the village like he was a mad man. No attacks were made an he jetted to the plaza.* - Mon Nov 16 05:20:51 2015
<br><br><font color=yellow>*Kronos(Jhunt713) //
Looked at the man, he knew him from past sands but that was not his target. Sand would begin to rotate around him in a raging sand storm around his immediate area. attempting to blind the pursuer. ."... Not..." he said in a corse audible.

He flys past in with blazing speed to the previous area* - Mon Nov 16 05:40:28 2015
<br><br><font color=yellow>*Kronos(Jhunt713) "...Improvement.." was bearly heard in a corse audible. His sand storm diversion was averted as his sand was subdued by the iron sand. He made no actions against his pursuer. He would suddendly morph his -entire- body into sand and the sand platform, would shoot forward and catch his reforming sand made body.

"Where..." he said racing off to the next location. He snapped his fingers and three figures would appear from his prevous location. each of them would rush the pursuer on a group where he would blaze forward. "Not enough time..." was heard in a corse audible.* - Mon Nov 16 05:56:41 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: A cold drink for a cool fight. - Mon Nov 16 06:01:48 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: Awww. - Mon Nov 16 06:05:13 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: Suit yourself. - Mon Nov 16 06:06:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So.. - Mon Nov 16 06:06:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What's going on? - Mon Nov 16 06:06:04 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: It's basically a movie. - Mon Nov 16 06:06:56 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: So basically. - Mon Nov 16 06:06:56 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: The guy with the gray is chasing the guy in brown. - Mon Nov 16 06:06:56 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: The white man is after the black man basically. - Mon Nov 16 06:07:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Mon Nov 16 06:07:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: See. - Mon Nov 16 06:07:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: He still has questions to ask. - Mon Nov 16 06:07:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: Interrogation. - Mon Nov 16 06:07:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: That's a convict over there. - Mon Nov 16 06:07:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A convict? - Mon Nov 16 06:08:38 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: I don't know. - Mon Nov 16 06:12:54 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: You want to throw fire at them for fun? - Mon Nov 16 06:13:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *shakes her head* - Mon Nov 16 06:13:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I think brother has this under control. - Mon Nov 16 06:13:45 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: ---Brother? - Mon Nov 16 06:13:45 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: But you're white. - Mon Nov 16 06:13:45 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: That guy's like. - Mon Nov 16 06:14:36 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: Yellow. - Mon Nov 16 06:14:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Mon Nov 16 06:16:19 2015
<br><br><font color=yellow>*Kronos(Jhunt713) "...Persistent..." was uttered in a corse audible. Wind would be thrown at him and the sand clones. The properties of the sand clones were mallable as the flew back from the attack. The sand clones would begin to rotate around the sand man. He didnt want attack nor did he want to engage but he might be left no choice. 

Turning to face the pursuer he would motion his hands forward, two torrents of sand that were previously the clones would shoot forward. They were two torrents of sand sprialing together to form a drill of sorts to bash and separate the incoming torrent of sand. As the drill collided witht he iron sand; a hand seal was made. 

Multiple explosions were heard from the sand that was moving and it aimed to scatter and dismantle the coffin even more.* - Mon Nov 16 06:20:35 2015
<br><br><font color=yellow>*Kronos(Jhunt713) "...Growing..." he said as his eye captured the little fireball. He had a stotic look on his face. Sand of the past remembered her as she would instantly appear in front of him in fiery glory. His head turned to face the purser, surely this method was though out before attacking right?

Regular sand nulled fire... it was a fact of life. As soon as her blade of flames impacted it was put out! But that didnt stop the blade from severing him in half. But did it stop him? 

Black sand rained from his position but the sand from the remaining clone formed a umbrella of sorts. Hoping the sand would slide off; however it was probly not the case. 

Odds are he wasnts going to find want he was looking for as he was being stopped by past sands. He proposed the a new plan... one on the darker side of things... As she was within close range of him something odd would occur.

His body seemingly made of sand of sand would reattach itself and capture the little girl. "...Resemblence..." he said in a corse audible. Sand stared to flow around her arms and legs constricting her and evetually a sand coffin would be her new place on the platform. Her head was free of sand as he looked at the pursuer. His head was grapped by both of his hands and he looked down at the platform... "...died..."* - Mon Nov 16 06:43:37 2015
<br><br><font color=yellow>*Kronos(Jhunt713) "...good but fuile..." he said in a corse audible. As he was startting to be wrapped by the cloth...

"...times up..."  another corse audible was heard as the body of sand would drop down to the earth. Tetsumi would not get the answers he was looking for. But he would do one thing before dissolving back to the ground. "...continue good..." he said clearly for the first time he was there. His body gave out on him and he fell back to the sand. His soul would return to the sands of Sunagakure.* - Mon Nov 16 07:07:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Mon Nov 16 07:10:56 2015
<br><br><font color=yellow>*Kronos(Jhunt713) // Sand body falls back to the earth, was that a rebirth? Was it a vengful spirit? So was it the soul of Kronos that was inbedded within the sands of Sunagakure akin to Garra and his mother.* - Mon Nov 16 07:14:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm.. - Mon Nov 16 07:15:12 2015
