<br><font color=teal>*Hideki(Assassin241) thinks: peace* - Sat Oct  3 06:02:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Ah, that's Lord Ushinawa's son, isn't he? - Mon Oct  5 01:40:41 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mhm. - Mon Oct  5 01:41:32 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: I was hoping he would say his name....because I can't remember it... - Mon Oct  5 01:41:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey, kid. - Mon Oct  5 01:41:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What's your name? - Mon Oct  5 01:41:32 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: . . . Mind Reader . . . - Mon Oct  5 01:42:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ! - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey Chiharu. - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hey Mamrou. - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hi - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Come sit. - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hm...? - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's Heiwa.. - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Nice to meet you Heiwa. - Mon Oct  5 01:44:06 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) turned to Mamoru, "You said you wanted treatment?" she asked wanting to know what kind he wanted.

*Heiwa....Right!* she yelled internally as she continued to face Mamoru.

"How can you forget little Heiwa's name?"* - Mon Oct  5 01:44:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I wanted to get some treatmen for my injuries. And.... - Mon Oct  5 01:44:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I never met Heiwa before... - Mon Oct  5 01:44:57 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Oh okay. Your jaw right? - Mon Oct  5 01:45:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What happpened to his jaw? - Mon Oct  5 01:45:48 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: He was injured by...what's his name... - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Tatsuji? - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I don' - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: don - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: don't* recall his name. - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Tetsujin? - Mon Oct  5 01:47:31 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That sounds right... - Mon Oct  5 01:47:31 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: It' Heiwa. - Mon Oct  5 01:48:22 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah, my jaw and my back. - Mon Oct  5 01:49:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: A man who revels in glory and fighting. - Mon Oct  5 01:52:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Don't worry about him, Heiwa. - Mon Oct  5 01:52:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Misa, do you mind treating me? - Mon Oct  5 01:53:29 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Sure. - Mon Oct  5 01:56:03 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) formed three handseals, her body still facing Mamoru. A single white snake woud slither out from her sleeve, coiling itself around her right hand. It would hiss a few times, although because of its relative size and non-violent tendencies, it sounded somewhat adorable. It's mouth quickly became unhinged as it lunged towards Hideki's shoulder in an attempt at biting at him through his clothes if he had not removed them before hand. It would sting slightly before releasing a wave of relief.

* - Mon Oct  5 01:58:36 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That wasn't the treament though... - Mon Oct  5 02:03:44 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That was just to lessen any discomfort you had. - Mon Oct  5 02:03:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It wasn't? - Mon Oct  5 02:05:26 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) would quickly rummage through her bag, pulling out a single glass of sealed milk. She placed it on the table in front of her, performing a single handseal. Her hands would give a green glow, placing them onto the glass of milk immediately. She held them there for a few seconds before they lost their green color. "Alright..Drink this, it should help."

She would then hand him the glass.* - Mon Oct  5 02:06:17 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You should be back to normal soon if you keep drinking some milk. - Mon Oct  5 02:19:05 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) pulls out another bottle, performed the same single handseal, before placing her hands on the bottle. "It should help fix your bones, make them stronger." she said before handing him the bottle.* - Mon Oct  5 02:19:05 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah, thank you. - Mon Oct  5 02:19:05 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: One for the road. - Mon Oct  5 02:19:56 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) blinked a few times. "So...what's new?"* - Mon Oct  5 02:37:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Nothing much I suppose. - Mon Oct  5 02:43:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Just getting dicked down in Sunagakure.  - Mon Oct  5 02:44:41 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You're the one who killed that man with the big sword, huh? - Mon Oct  5 02:50:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ....Yeah. - Mon Oct  5 02:54:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sorry about you having to see that. - Mon Oct  5 02:54:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's okay. That weird man in the robes buried him afterwards. - Mon Oct  5 02:59:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Next to Miss Hanabi. - Mon Oct  5 02:59:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ...Ah. - Mon Oct  5 03:10:17 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: So is it fun using a sword? - Mon Oct  5 03:13:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Fairly. - Mon Oct  5 03:19:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Do you only use the sword? - Mon Oct  5 03:19:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yes. - Mon Oct  5 03:20:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh. Okay.  - Mon Oct  5 03:23:05 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Why? - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Did you want to learn from me perhaps? - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Uh, maybe. Would you? - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sure. - Mon Oct  5 03:25:39 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I owe your father and mother a lot. - Mon Oct  5 03:25:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You knew them both? - Mon Oct  5 03:26:30 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yes. - Mon Oct  5 03:27:21 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: They never mentioned you..Who are you again? - Mon Oct  5 03:27:21 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .... - Mon Oct  5 03:29:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm Mamoru. - Mon Oct  5 03:29:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. I'm Heiwa.  - Mon Oct  5 03:31:37 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You told me your name already, haha. - Mon Oct  5 03:34:11 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Heh - right. So how would I use one of those? - Mon Oct  5 03:34:11 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: A blade? - Mon Oct  5 03:37:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'd have to show you the proper grip and posture first. - Mon Oct  5 03:37:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Do you have time to do it now?\ - Mon Oct  5 03:39:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sure. - Mon Oct  5 03:42:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Is your guardian alright with that? - Mon Oct  5 03:42:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Miss Misa. - Mon Oct  5 03:42:43 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I'm not his guardian... - Mon Oct  5 03:45:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: He can go. - Mon Oct  5 03:45:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Mon Oct  5 03:51:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Misa, is there anything I can do for you though? - Mon Oct  5 03:51:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You seem a bit downtrodden. - Mon Oct  5 03:51:15 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I'm fine... - Mon Oct  5 03:52:57 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Honest. - Mon Oct  5 03:52:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Mon Oct  5 03:54:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Mon Oct  5 03:54:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If you say so. - Mon Oct  5 03:54:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Heiwa, let's get going. - Mon Oct  5 03:54:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Okay.. Bye, Miss Misa. Thank you for the food. - Mon Oct  5 03:55:31 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Bye Heiwa. - Mon Oct  5 03:56:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. Did you know her very well? - Mon Oct  5 03:59:47 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: <*nods*> Is friend o' Maloth. - Mon Oct  5 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. I was one of her students. - Mon Oct  5 04:00:38 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm? Is goo'. . . More strong than Hanabi? - Mon Oct  5 04:04:54 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: It's the Hulk I met in Konohagakure... - Mon Oct  5 04:04:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I don't know about that. - Mon Oct  5 04:05:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hanabi was pretty strong. - Mon Oct  5 04:05:45 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) made her way closer to the group, giving Hideki a lackluster look. The green of her eyes slightly faded. "Hideki...When are we going to train....?" she asked caring very little if she interrupted.* - Mon Oct  5 04:06:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Mon Oct  5 04:08:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Dunno. - Mon Oct  5 04:08:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I've become more skilled like you said was needed. - Mon Oct  5 04:09:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right... - Mon Oct  5 04:09:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then let's go, I suppose. - Mon Oct  5 04:09:10 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Lead thre way. - Mon Oct  5 04:10:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright.. - Mon Oct  5 04:10:52 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) watched him perform the technique, physically forming the same handseals that he had just performed to better memorize them. "That's it? No blood?"* - Mon Oct  5 04:16:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: None. - Mon Oct  5 04:16:51 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) nodded. She formed the handseals that Hideki had performed, making sure to take her time with each one, engraving the chain of commands with ease. She was learning to control her chakra, releasing too much in this instance causing her attempt to produce no outcome; her sleeves remained snakeless. She looked at Hideki, almost as if glaring; her squint game was on point. "I'll get it...don't you worry."

She ran through the seals once more, This time using the necessary chakra to perform the technique. She would thrust her left arm out towards Hideki causing three snakes to fly out, swirling and thrashing about between them. They would almost instantly poof, signifying that Misa was in no way a master of the technique. * - Mon Oct  5 04:21:58 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Mon Oct  5 04:22:49 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) mouths, "fuck you.." before making her way back to the house. "Thanks.." she muttered as she made her way in that direction.* - Mon Oct  5 04:22:49 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I promise to you. - Mon Oct  5 04:25:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You do your thing. - Mon Oct  5 04:25:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And I will fulfill my promise to you. - Mon Oct  5 04:25:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's cute. - Mon Oct  5 04:25:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Heiwa is a truly good child. - Mon Oct  5 04:27:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ineed. - Mon Oct  5 04:27:05 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I suppose I should get training. - Mon Oct  5 04:27:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good luck, Mamoru. - Mon Oct  5 04:27:05 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Right. - Mon Oct  5 04:27:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Good luck to you too. - Mon Oct  5 04:27:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks. - Mon Oct  5 04:27:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Misa. - Mon Oct  5 04:29:39 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hmm? - Mon Oct  5 04:29:39 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Treatment? - Mon Oct  5 04:29:39 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) bowed as well. "You're welcome. Remember to drink my milk okay?"* - Mon Oct  5 04:30:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Mon Oct  5 04:30:30 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Of course. - Mon Oct  5 04:31:21 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Oh right. - Mon Oct  5 04:31:21 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Think I could get some more? - Mon Oct  5 04:31:21 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: My bone's been soft lately. - Mon Oct  5 04:32:12 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: This is taken way out of context. - Mon Oct  5 04:32:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I can make your bones hard, don't you worry. - Mon Oct  5 04:32:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I owe you one. - Mon Oct  5 04:32:12 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) reached into her bag, pulling out a single glass of sealed milk. "Here, hold my milk in your hand." she said extending it out towards him. If he grabbed it, she would form a single handseal causing her hands to glow a slight green hue. She would then place her hands onto the milk, close to Mamoru's own hands; her hands would rest there for a bit.* - Mon Oct  5 04:33:55 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Thanks, Misa. - Mon Oct  5 04:36:28 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: No worries, I can always give you some of my milk. - Mon Oct  5 04:36:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yooo'. Mammaries, did'ja get an answer? - Mon Oct  5 04:36:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I didn't get an answer from Chiharu yet. - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I haven't gotten to speak to her today. - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And thanks, Misa. - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Well damn. - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Haha....Mammaries.. - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll come by some other time for more of your milk. - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: that wasn't a nice nickname... - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Gehhh.. well, I'll come back another day then. - Mon Oct  5 04:38:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- I think we're like... - Mon Oct  5 04:39:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Bothering them. - Mon Oct  5 04:39:02 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: You think so? - Mon Oct  5 04:39:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ... - Mon Oct  5 04:39:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye'. - Mon Oct  5 04:39:02 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Huh.. Wonder why. - Mon Oct  5 04:39:53 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) realized she was still holding the milk, quickly releasing her grasp. "Oh..sorry...Enjoy my milk."* - Mon Oct  5 04:39:53 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ye', I'll come with ya'. Maybe we both got what we ordered. - Mon Oct  5 04:45:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: I think he's a cheap-ass who decided to keep your money, but I suppose I should lean towards that .... - Mon Oct  5 04:46:43 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: He is going to pull through. - Mon Oct  5 04:46:43 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Cool. - Mon Oct  5 04:46:43 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Nigga better not have bagged my 2mil.. - Mon Oct  5 04:46:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Heiwa. - Mon Oct  5 04:47:34 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll keep my promise to you. - Mon Oct  5 04:47:34 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: For your father and mother. - Mon Oct  5 04:47:34 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And of course, for you bud. - Mon Oct  5 04:47:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: 0000 - Mon Oct  5 04:47:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----* - Mon Oct  5 04:47:34 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Did this nigga scuff my Jordans...? - Mon Oct  5 04:48:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: So what's happening? - Mon Oct  5 04:49:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Mon Oct  5 04:49:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Did this man Mamoru make Heiwa cry? - Mon Oct  5 04:49:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: LOOL - Mon Oct  5 04:50:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Mon Oct  5 04:50:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: That's actually sweet... - Mon Oct  5 04:50:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Hideki couldn't make him cry like that... - Mon Oct  5 04:50:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: How is your progress with the Fireball Jutsu coing along, Heiwa? - Mon Oct  5 04:50:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's..okay. I..could show you what I've done with it.. - Mon Oct  5 04:52:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sure. - Mon Oct  5 04:52:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Mon Oct  5 04:56:06 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: He's infront of me. - Mon Oct  5 04:56:06 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: What the fuck is this boy trying to do. - Mon Oct  5 04:56:06 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: This ain't safe. - Mon Oct  5 04:56:06 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Still ain't safe. - Mon Oct  5 04:56:57 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ....Not safe. - Mon Oct  5 04:56:57 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Mon Oct  5 05:00:22 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ...My body was feeling better. So I thought I'd just come here. - Mon Oct  5 05:00:22 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hi Mammy, where did you go? - Mon Oct  5 05:00:22 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Oh. I just headed to my house. - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Mammy? - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: He has some weird nicknames. - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Admired the laminated poster on my wall and stuff.... I also had to fix the doorknob. - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Did you add a lock? - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: For more...privacy? - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: No, why? - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I probably should, huh. - Mon Oct  5 05:02:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hi. - Mon Oct  5 05:02:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: To anwser your question. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: The last doton user I know, died in this village to unknown causes. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You wouldn't happen to know if there are Doton users in this village would you? - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oh? - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Unfortunate. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I am a Doton user. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oh. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Mamoru you fuckboy. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Excellent. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Though I don't major in it. - Mon Oct  5 05:02:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ----------- - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Wait. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I know you. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You're from the Private Exams. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I know a Doton Technique, yes. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You are the guy with the weapon who was a person. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: But it's not my jurisdiction to pass them out. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You should ask Lord Niza. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Mammy did the Private Exam? I bet Hideki wasn't brave enough.. - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmmm. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If he gives permission, I would be happy to give you my repertoire. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Last time I was here Niza kicked me out. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I was affiliated with Kirigakure then so he did not want me causing an uproar here. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Ah, I see..... - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Just try once more. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I think the rage has calmed down. - Mon Oct  5 05:05:29 2015
