<br><font color=teal>*Ryuusei(TenaciousDeeznuts) thinks: That ass though. - Sat Dec  5 21:54:33 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: We each have a dice, we roll our dice at the same time. If someone rolls an even and someone rolls an odd, the even person asks a question and the odd has to answer. If we both roll even, we both roll again, if we both roll odd we both say something about yourselves. If you don't want to answer a question, the game ends and you lose. - Sun Dec  6 10:06:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 10:09:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ..... - Sun Dec  6 10:09:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What happens when you lose? - Sun Dec  6 10:10:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...---Oh. I never lose. - Sun Dec  6 10:10:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ---OH YOU MEAN. - Sun Dec  6 10:10:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I mean.. I don't know. - Sun Dec  6 10:10:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Usuually thats enough.s - Sun Dec  6 10:10:59 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Do you want to make a punishment? - Sun Dec  6 10:10:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 10:16:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No. - Sun Dec  6 10:16:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This is fine. - Sun Dec  6 10:16:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's go. - Sun Dec  6 10:16:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If your game is rigged.. - Sun Dec  6 10:17:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Ooooooh, are you -scared-?~ - Sun Dec  6 10:17:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh, nice attempt at baiting me. - Sun Dec  6 10:18:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not that green.~ - Sun Dec  6 10:18:40 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Heh. - Sun Dec  6 10:18:40 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Fine fine.~ Can we at least sit somewhere? We are standing in the street like statues! - Sun Dec  6 10:18:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 10:20:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fine.. - Sun Dec  6 10:20:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Where would you like to go? - Sun Dec  6 10:20:22 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: It's your village.~ - Sun Dec  6 10:21:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right, follow me. - Sun Dec  6 10:21:13 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Sighed trudging back over towards her. Reaching out to take a hold of her hand, he would've been forced to lead her for the time being.* - Sun Dec  6 10:22:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes.. - Sun Dec  6 10:26:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's begin.. - Sun Dec  6 10:27:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Roooooll. - Sun Dec  6 10:27:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Roooooooooooooooooooooooll. - Sun Dec  6 10:29:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .. - Sun Dec  6 10:30:36 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) He had taken a bit of time to roll, but surely he did. The dice flipping and turning before coming to a halt.* - Sun Dec  6 10:31:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oooooh, I get to ask.~ - Sun Dec  6 10:31:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 10:31:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Where are you from?~ - Sun Dec  6 10:31:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 10:32:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Konohagakure. - Sun Dec  6 10:32:19 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ... - Sun Dec  6 10:32:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not cheating. - Sun Dec  6 10:33:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You wanted to know where I'm from. - Sun Dec  6 10:34:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why do you assume..I'm foreign? - Sun Dec  6 10:34:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh, looks like you weren't expecting the truth.~ - Sun Dec  6 10:34:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ... - Sun Dec  6 10:34:52 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) He rolled once more.* - Sun Dec  6 10:35:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hmph.. - Sun Dec  6 10:35:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Ooooh. - Sun Dec  6 10:37:26 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You go first.~ - Sun Dec  6 10:37:26 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: .....Fine fineeeee. - Sun Dec  6 10:40:51 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I'll go first. - Sun Dec  6 10:41:42 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmmmm. - Sun Dec  6 10:41:42 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmmmmmmmmmmmmmmmmmm. - Sun Dec  6 10:41:42 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Are you going to be a spoil sport and say something lame or will you match mine?~ - Sun Dec  6 10:41:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Dec  6 10:43:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fine. - Sun Dec  6 10:44:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You'll be fair?~ - Sun Dec  6 10:44:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is that your real hair color? - Sun Dec  6 10:44:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ....no. - Sun Dec  6 10:44:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: That isn't how I said the game goes but I guess this works. - Sun Dec  6 10:44:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmm.... are you a good guy, or a bad guy? - Sun Dec  6 10:45:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 10:47:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll let you decide that.~ - Sun Dec  6 10:47:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see myself as good, but..that could be pretty different to others.. - Sun Dec  6 10:48:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right? - Sun Dec  6 10:48:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Yes, yes.~ - Sun Dec  6 10:49:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh. - Sun Dec  6 10:53:39 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oops! Reroll! - Sun Dec  6 10:53:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What. - Sun Dec  6 10:53:39 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: .... - Sun Dec  6 10:53:39 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: WAIT.. - Sun Dec  6 10:53:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fine. - Sun Dec  6 10:53:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No. - Sun Dec  6 10:53:39 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I messed up! - Sun Dec  6 10:54:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What are you planning? - Sun Dec  6 10:54:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Planning? - Sun Dec  6 10:54:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm.. - Sun Dec  6 10:54:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Your real motives.. - Sun Dec  6 10:54:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Be more specific please.~ - Sun Dec  6 10:54:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you planning on causing trouble for anyone here? - Sun Dec  6 10:54:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Hmph, he didn't let us to back, he plays dirty. - Sun Dec  6 10:54:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Nope. - Sun Dec  6 10:54:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Not at all. - Sun Dec  6 10:55:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I am here for the tree's. - Sun Dec  6 10:55:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 10:55:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Just like I said. - Sun Dec  6 10:55:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see.. - Sun Dec  6 10:55:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Are we going to go back? - Sun Dec  6 10:56:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: To the mess up roll? - Sun Dec  6 10:56:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Heyyyyyyyyyyyyyyyyyy. - Sun Dec  6 10:57:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 11:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Sun Dec  6 11:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That means..I get to go twice.~ - Sun Dec  6 11:03:02 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ....What? - Sun Dec  6 11:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sure. - Sun Dec  6 11:03:02 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Wait what... - Sun Dec  6 11:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Remember.. - Sun Dec  6 11:03:02 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: But we rolled two odds. - Sun Dec  6 11:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We each get to take turns asking questions for that situation. - Sun Dec  6 11:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Go ahead, and ask. - Sun Dec  6 11:03:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll go after you. - Sun Dec  6 11:03:53 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hm... Why do you keep trying to talk to me? Are you really worried about your village or is there something else? - Sun Dec  6 11:03:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm worried about my village. - Sun Dec  6 11:05:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm also interested in what you're doing. - Sun Dec  6 11:05:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hm.. - Sun Dec  6 11:06:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is that not good enough? - Sun Dec  6 11:07:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What did you want to hear? - Sun Dec  6 11:08:09 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: It sounded like a lie. - Sun Dec  6 11:08:09 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: But I will accept it. - Sun Dec  6 11:08:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What do you think the truth is? - Sun Dec  6 11:08:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fine.. - Sun Dec  6 11:08:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I've fallen for you. - Sun Dec  6 11:08:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I-..I don't know what's wrong.. - Sun Dec  6 11:08:09 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: .... - Sun Dec  6 11:08:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ever since I saw you.. - Sun Dec  6 11:08:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I couldn't stop thinking about you..~ - Sun Dec  6 11:09:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's see.. - Sun Dec  6 11:09:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you planning to remain in this village? - Sun Dec  6 11:09:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Long term? No, I'm just visiting. - Sun Dec  6 11:09:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh. - Sun Dec  6 11:10:43 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: .... - Sun Dec  6 11:10:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's see...~ - Sun Dec  6 11:11:34 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: I have bad luck with him. - Sun Dec  6 11:11:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Have you killed anyone? - Sun Dec  6 11:11:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Sun Dec  6 11:13:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I don't cheat the game. - Sun Dec  6 11:14:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Judging by your face, there's no remorse. - Sun Dec  6 11:14:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I answer fairly. - Sun Dec  6 11:14:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mn... I can't reply to that.~ - Sun Dec  6 11:14:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: That's another question phrased as a statement.~ - Sun Dec  6 11:14:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 11:17:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fine. - Sun Dec  6 11:17:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Reroll! - Sun Dec  6 11:17:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tch. - Sun Dec  6 11:17:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hehehe. - Sun Dec  6 11:17:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Have you enjoyed killing anyone? - Sun Dec  6 11:18:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 11:18:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Obviously he's killed before, he's a shinobi. - Sun Dec  6 11:18:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes. - Sun Dec  6 11:18:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: He wasted his question. - Sun Dec  6 11:18:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Silly boy. - Sun Dec  6 11:18:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mkay.~ - Sun Dec  6 11:18:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You first this time. - Sun Dec  6 11:18:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm... - Sun Dec  6 11:19:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How many places have you been to? - Sun Dec  6 11:19:15 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Uuuuuhhhm. - Sun Dec  6 11:20:06 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: And all those little places in between. - Sun Dec  6 11:20:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 11:20:57 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmm... - Sun Dec  6 11:22:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ..... - Sun Dec  6 11:23:31 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Have youuuuuuuuuuuuuuu... - Sun Dec  6 11:23:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ........ - Sun Dec  6 11:23:31 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hm... - Sun Dec  6 11:23:31 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Have you ever loooooooved? - Sun Dec  6 11:23:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 11:26:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes. - Sun Dec  6 11:26:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Ooooooh.~ - Sun Dec  6 11:26:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: That's good.~ - Sun Dec  6 11:26:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Everyone should have loved. - Sun Dec  6 11:26:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes! - Sun Dec  6 11:27:47 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: He got excited about that.... - Sun Dec  6 11:30:20 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You seem to have so many questions for me.~ - Sun Dec  6 11:30:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hmph.. - Sun Dec  6 11:30:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I was just excited about winning. - Sun Dec  6 11:30:20 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Uhuh.~ - Sun Dec  6 11:31:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's see... - Sun Dec  6 11:32:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you enjoying this little moment? - Sun Dec  6 11:32:54 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Our game? - Sun Dec  6 11:34:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I LOOOOOOOOOOOOOOOOOOVE games.~~ - Sun Dec  6 11:35:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm sure.. - Sun Dec  6 11:35:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Gotta keep in check... - Sun Dec  6 11:35:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Erg. - Sun Dec  6 11:35:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 11:38:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fine..let's go. - Sun Dec  6 11:38:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Where were w-- - Sun Dec  6 11:38:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Eh? - Sun Dec  6 11:38:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Dec  6 11:38:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I mean.. - Sun Dec  6 11:38:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's continue. - Sun Dec  6 11:38:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oh okay.~ - Sun Dec  6 11:38:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What were you thinking of? - Sun Dec  6 11:38:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I don't know, what were -you- thinking?~ - Sun Dec  6 11:38:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Reroll! - Sun Dec  6 11:38:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: .... - Sun Dec  6 11:38:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh. - Sun Dec  6 11:38:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Reroll! - Sun Dec  6 11:38:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes! - Sun Dec  6 11:38:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ... - Sun Dec  6 11:38:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahaha. - Sun Dec  6 11:39:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Seems as if you're not as lucky. - Sun Dec  6 11:39:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Another question? - Sun Dec  6 11:39:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Yeah yeah. - Sun Dec  6 11:39:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How do you feel about the Hokage? - Sun Dec  6 11:39:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...Who is the Hokage right now? - Sun Dec  6 11:40:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lady Rias. - Sun Dec  6 11:41:26 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Rias...Rias... - Sun Dec  6 11:42:17 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Don't know who that is. - Sun Dec  6 11:42:17 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: OH WAIT. - Sun Dec  6 11:42:17 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: .....that little red head? - Sun Dec  6 11:42:17 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: She's a child? - Sun Dec  6 11:42:17 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Thats weird. - Sun Dec  6 11:42:17 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: She was a nobody. - Sun Dec  6 11:42:17 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: How is she a kage? - Sun Dec  6 11:42:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Little red head? - Sun Dec  6 11:43:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you both not about the same age.. - Sun Dec  6 11:43:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ......uh. - Sun Dec  6 11:44:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Uh.... - Sun Dec  6 11:44:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Nooooo silly.~ - Sun Dec  6 11:44:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 11:46:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Sun Dec  6 11:46:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose we should stop here. - Sun Dec  6 11:46:33 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...W-wait what? - Sun Dec  6 11:46:33 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Whyyyyyyyyyyyy? - Sun Dec  6 11:46:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Dec  6 11:46:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why, do you have more questions? - Sun Dec  6 11:47:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ....I mean... I always have questions. - Sun Dec  6 11:47:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Don't you know?~ My name means a girl of a thousand questions~ - Sun Dec  6 11:47:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 11:48:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well, maybe those questions are just hiding the one true answer you really seek. - Sun Dec  6 11:49:07 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: What is that? - Sun Dec  6 11:49:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No idea. - Sun Dec  6 11:51:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe a true purpose? - Sun Dec  6 11:52:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: A true  purpose? - Sun Dec  6 11:53:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm. - Sun Dec  6 11:54:14 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: What do you mean by that? - Sun Dec  6 11:54:14 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: I know exactly what he means. - Sun Dec  6 11:54:14 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: They always want to know this. - Sun Dec  6 11:55:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Sun Dec  6 11:56:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What do you want to do with yourself? - Sun Dec  6 11:56:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's not for me to decide. - Sun Dec  6 11:56:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Learn. - Sun Dec  6 11:56:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Learn? - Sun Dec  6 11:56:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mhm.~ About everything I can. - Sun Dec  6 11:56:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Great. - Sun Dec  6 11:58:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well, good luck. - Sun Dec  6 11:58:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ... - Sun Dec  6 11:59:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: He got the answer he wanted, maybe he really is just a loyal shinobi to the village. - Sun Dec  6 11:59:21 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Slowly rose up from his seat.

"I suppose..this will be it, until we meet again."* - Sun Dec  6 11:59:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You lose, you quit.~ - Sun Dec  6 12:00:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I win.~ - Sun Dec  6 12:00:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Dec  6 12:00:12 2015
