<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Right? - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The most discouraging thing is her age. - Sat Nov 28 05:54:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I just can't get off to children. - Sat Nov 28 05:54:59 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:54:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just one of my quirks. - Sat Nov 28 05:54:59 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Well... - Sat Nov 28 05:55:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's why, she'll be in your care until she's seventeen. If you can help her, before then..there'd be no need for me. - Sat Nov 28 05:55:50 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ....Right. - Sat Nov 28 05:55:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That and I can't babysit.. - Sat Nov 28 05:55:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I do have a favor..if you find this "Baylea" and any of her friends.. - Sat Nov 28 05:56:41 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Yes? - Sat Nov 28 05:56:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do send them my way. - Sat Nov 28 05:56:41 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I'll see what I can do... - Sat Nov 28 05:56:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're not weak, Ichiro. You're already changing for the better. - Sat Nov 28 05:57:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I may not even be able to dodge you the same way I did in our initial spar. - Sat Nov 28 05:57:32 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Maybe... - Sat Nov 28 05:57:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: But if that's all you wanted to know. Yes, the purification process is mainly for weaker people that have fallen off the path. - Sat Nov 28 05:58:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Yeah...That was all. - Sat Nov 28 05:58:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Thanks. - Sat Nov 28 05:58:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No problem. - Sat Nov 28 05:59:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We should head back.. - Sat Nov 28 05:59:15 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Yeah. - Sat Nov 28 05:59:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shiro might begin punching you.. - Sat Nov 28 05:59:15 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:59:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Sat Nov 28 06:00:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You all should start heading for Amegakure. - Sat Nov 28 06:00:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Have a safe trip.~ - Sat Nov 28 06:00:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Ichiro. - Sat Nov 28 06:01:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: If I came along, until I have to return to Kumogakure. - Sat Nov 28 06:01:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Would you throw a hissy fit? - Sat Nov 28 06:01:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You're not coming with us? - Sat Nov 28 06:03:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...Why would I throw a fit? - Sat Nov 28 06:04:22 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Yeah. - Sat Nov 28 06:05:13 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: But first. - Sat Nov 28 06:05:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Eh, well then I guess he's fine with it. - Sat Nov 28 06:05:13 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Can we have a party here? - Sat Nov 28 06:05:13 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: At the pub? - Sat Nov 28 06:05:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 06:05:13 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Master Sado, you should come. - Sat Nov 28 06:05:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Guess I am staying till I have to return then. - Sat Nov 28 06:05:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What if someone see's Ichiro? - Sat Nov 28 06:05:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: They die. - Sat Nov 28 06:05:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Most likely. - Sat Nov 28 06:05:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Nov 28 06:06:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do not go into that village. - Sat Nov 28 06:06:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 06:06:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Are they really that pissed? - Sat Nov 28 06:06:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It's not like we killed the kid. - Sat Nov 28 06:06:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: We should've though. - Sat Nov 28 06:07:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They are. - Sat Nov 28 06:08:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So..don't cause anymore problems. They'll know who did it, or they'll just blame you guys anyway. - Sat Nov 28 06:08:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: I wonder if I can juggle Kumo and this. - Sat Nov 28 06:11:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: That would be the most ideal. - Sat Nov 28 06:11:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So no party? - Sat Nov 28 06:12:03 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...So where are we going? - Sat Nov 28 06:12:03 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Damn. I kinda of wanted to see a drunk Shiro. That would be interesting. - Sat Nov 28 06:12:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Nov 28 06:12:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just party at Amegakure. - Sat Nov 28 06:13:45 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Damnit. - Sat Nov 28 06:13:45 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Alright. - Sat Nov 28 06:13:45 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's go. - Sat Nov 28 06:13:45 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Go. - Sat Nov 28 06:14:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I demand you race like a horse. - Sat Nov 28 06:14:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Move at least..... - Sat Nov 28 06:14:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Two-hundred miles an hour. - Sat Nov 28 06:14:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Thank you. - Sat Nov 28 06:14:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Sat Nov 28 06:15:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: OH.. - Sat Nov 28 06:17:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You could just take this caravan to Amegakure, or Genji.. - Sat Nov 28 06:17:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: And from there travel to Amegakure. - Sat Nov 28 06:17:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ...That sounds like a better plan. - Sat Nov 28 06:18:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What do you think Shiro? - Sat Nov 28 06:18:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: I feel like I asked a dumb question. - Sat Nov 28 06:18:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Wow... I didn't realize he was a bitch too. - Sat Nov 28 06:18:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Tch. - Sat Nov 28 06:19:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: He's probably going to try and kill me in my sleep. - Sat Nov 28 06:19:44 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . .  . - Sat Nov 28 06:20:35 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Good job, Kida. - Sat Nov 28 06:20:35 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You're sooooo smart. - Sat Nov 28 06:21:26 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Decided to take this time to bury his treasures in the arid dirt. This would've allowed him to act as freely as the need arose.* - Sat Nov 28 22:28:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Between you and I- - Sun Nov 29 00:13:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov 29 00:13:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Confused her? - Sun Nov 29 00:13:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Yeah. - Sun Nov 29 00:14:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Probably because I don't like hugs. - Sun Nov 29 00:14:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Nov 29 00:14:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I suppose that would be confusing if a person that doesn't like hugs allow s you to hug them.... you would think that you were growing feelings for them. - Sun Nov 29 00:14:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: It was more.. between you and I. She had- still has.- - Sun Nov 29 00:14:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I suppose. - Sun Nov 29 00:14:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: At least there are people around. - Sun Nov 29 00:14:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Who is that? - Sun Nov 29 00:16:38 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Sogeki. . . - Sun Nov 29 00:16:38 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Glanced around, a rucksack hoisted over his shoulder. His gaze bounced between the group of people with a warm smirk plasted on his visage.

"Hey, so who is running things around here?"* - Sun Nov 29 00:17:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ................... - Sun Nov 29 00:18:20 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Isn't Takuma a redhead? - Sun Nov 29 00:18:20 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: A-And that language. .  - Sun Nov 29 00:18:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....the Raikage runs the village of cour-- - Sun Nov 29 00:19:12 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: And some of Kari's hair is red. .  - Sun Nov 29 00:19:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Self confidence is low? - Sun Nov 29 00:19:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Who are you, if I may ask, sir. - Sun Nov 29 00:20:03 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov 29 00:20:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm? - Sun Nov 29 00:20:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I told you. - Sun Nov 29 00:20:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: My name is Alberto. - Sun Nov 29 00:20:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Not you. - Sun Nov 29 00:20:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Del. - Sun Nov 29 00:20:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Ri- - Sun Nov 29 00:20:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Oh. - Sun Nov 29 00:20:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah, me? - Sun Nov 29 00:20:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'm speaking toward my fellow red-head. - Sun Nov 29 00:20:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sorry, the name's Osuda. - Sun Nov 29 00:20:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Perhaps I should just be on my way without speaking with the kage first. - Sun Nov 29 00:20:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Pronounced, "Osda".. - Sun Nov 29 00:21:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Nice to meet you. - Sun Nov 29 00:21:45 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I won't remember that name. - Sun Nov 29 00:21:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nice to meet ya' too. - Sun Nov 29 00:21:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So are you the one leading things around here? - Sun Nov 29 00:21:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm? No. - Sun Nov 29 00:21:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: If Takuma starts getting on the grumpy side I'll be leaving again. - Sun Nov 29 00:21:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Dang..that's a shame. - Sun Nov 29 00:22:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: An'd guess I'll see you in like, twenty days. - Sun Nov 29 00:22:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Are you looking for our Kage? - Sun Nov 29 00:22:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yep. - Sun Nov 29 00:22:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Ah, he's sleeping right now. - Sun Nov 29 00:22:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Understandable. I hope you guys don't mind me waiting around here to speak with him. - Sun Nov 29 00:22:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Sure, sure. - Sun Nov 29 00:23:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Just don't cause any trouble. - Sun Nov 29 00:23:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course not. - Sun Nov 29 00:23:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I've heard some stories about Kumogakure. - Sun Nov 29 00:24:19 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Huh...he didn't even give a fuck about me. - Sun Nov 29 00:24:19 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) thinks: Is it me or is this villages headband color very ugly.... - Sun Nov 29 00:24:19 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Should I try talking to him? - Sun Nov 29 00:24:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Something about a whole bunch of people being killed.. - Sun Nov 29 00:24:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If they were true I don't know what would make anyone come back here. - Sun Nov 29 00:25:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Sogeki? Should I talk to him? - Sun Nov 29 00:26:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Tch..I shouldn't have missed out on that slaughter.. - Sun Nov 29 00:26:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .................. - Sun Nov 29 00:26:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Sogeki. - Sun Nov 29 00:26:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..-- - Sun Nov 29 00:26:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Damn it. - Sun Nov 29 00:26:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sun Nov 29 00:26:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Nothing. - Sun Nov 29 00:27:44 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: D-Does she like Sogeki? - Sun Nov 29 00:27:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah, didn't mean to stare. - Sun Nov 29 00:27:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I try to stay out of lover's quarrels.~ - Sun Nov 29 00:27:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: .... - Sun Nov 29 00:27:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...We aren't lovers. - Sun Nov 29 00:27:44 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: L-Lovers. . . - Sun Nov 29 00:28:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Whoops, my bad. - Sun Nov 29 00:28:35 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Are you going to freakin' answer me? - Sun Nov 29 00:28:35 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ......................................... - Sun Nov 29 00:29:26 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: W-What!? - Sun Nov 29 00:29:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: That the hell is he doing? - Sun Nov 29 00:29:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright.. All jokes aside. - Sun Nov 29 00:29:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I dozed off as soon as Takuma started talking. - Sun Nov 29 00:30:17 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Smirks, 

"Were you really joking?"* - Sun Nov 29 00:30:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Fill me in. - Sun Nov 29 00:30:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..... - Sun Nov 29 00:30:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Yeah. I was joking. - Sun Nov 29 00:30:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Should I talk to Takuma? - Sun Nov 29 00:30:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right..right.. - Sun Nov 29 00:30:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..I'm just here waiting for your leader. - Sun Nov 29 00:30:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Apparently he's sleeping. The name's Osuda, prounounced "Osda". - Sun Nov 29 00:31:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Leave it. - Sun Nov 29 00:31:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Eh... should I stay and wait to talk with Eiyu or leave? - Sun Nov 29 00:31:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Wait. - Sun Nov 29 00:31:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: *Sigh* alright. - Sun Nov 29 00:32:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright, Osuda. - Sun Nov 29 00:32:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Let me ask you something. - Sun Nov 29 00:32:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: It's very important. - Sun Nov 29 00:32:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Are you ready? - Sun Nov 29 00:32:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sure.. - Sun Nov 29 00:32:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Very well. - Sun Nov 29 00:32:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: what... - Sun Nov 29 00:32:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ARE THOSE! - Sun Nov 29 00:32:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh..they're boots. - Sun Nov 29 00:32:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're pretty funny. - Sun Nov 29 00:33:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Haha, I try to be. - Sun Nov 29 00:33:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright, seriously. - Sun Nov 29 00:33:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Where you from? - Sun Nov 29 00:33:42 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) thinks: Nope. - Sun Nov 29 00:34:33 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Had no headband in sight.

"Ah, I came from Konohagakure, but it's been really lackluster as of late."* - Sun Nov 29 00:34:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: To be honest, I barely made it through the academy. - Sun Nov 29 00:35:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is that odd? - Sun Nov 29 00:37:58 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..... - Sun Nov 29 00:39:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Anyway, when the Kumokage is around, mind telling him that I'm waiting? - Sun Nov 29 00:39:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Right, right. - Sun Nov 29 00:40:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Sure thing, Osuda. - Sun Nov 29 00:40:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Thanks.~ - Sun Nov 29 00:40:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's my first time being here, so I'm a bit awestricken. - Sun Nov 29 00:41:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What? - Sun Nov 29 00:41:23 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Feel free to roam around and pay our taxes in double.~ - Sun Nov 29 00:42:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov 29 00:43:05 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Why am I getting this way. . . - Sun Nov 29 00:43:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right right.. - Sun Nov 29 00:43:05 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) With that said he began to walk off while humming some sort of tune..* - Sun Nov 29 00:43:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh. - Sun Nov 29 00:43:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Akarui. - Sun Nov 29 00:43:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There are a lot of things around here. - Sun Nov 29 03:31:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeah. - Sun Nov 29 03:31:12 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Mmhmm. - Sun Nov 29 03:31:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should've told me sooner. - Sun Nov 29 03:31:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well, I'll be around. I'm still looking. - Sun Nov 29 03:32:03 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Nov 29 03:33:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why are you out here by yourself? - Sun Nov 29 03:33:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sun Nov 29 03:35:28 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: I enjoy the water. - Sun Nov 29 03:36:19 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: More like I'm mad at Sogeki. - Sun Nov 29 03:36:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? Ah. - Sun Nov 29 03:36:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..that's understandable. - Sun Nov 29 03:37:10 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Mhm. - Sun Nov 29 03:37:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well, you should try training. - Sun Nov 29 03:39:44 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Eh. . .I don't really do that. .  - Sun Nov 29 03:39:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really, I thought everyone pretty much was a shinobi in this village? - Sun Nov 29 03:39:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Sun Nov 29 03:43:08 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: - - Sun Nov 29 03:43:08 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: I am. - Sun Nov 29 03:43:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh, what's wrong? - Sun Nov 29 03:44:00 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: But I don't exactly strive to train much. . . - Sun Nov 29 03:44:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah, I pretty much gave up my shinobi days. - Sun Nov 29 03:44:00 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Mhm. - Sun Nov 29 03:44:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm thinking about opening up a business. - Sun Nov 29 03:44:00 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Oh? - Sun Nov 29 03:44:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah. - Sun Nov 29 03:44:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: At first I was going to open up a bar. - Sun Nov 29 03:44:51 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Ah huh. - Sun Nov 29 03:45:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..I might open up something else.. - Sun Nov 29 03:45:42 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Like? - Sun Nov 29 03:45:42 2015
