<br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Whats up hun? - Fri Dec  4 21:50:43 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) thinks: I hate this village - Sat Dec  5 05:24:41 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Plus he already agreed to help me. - Sat Dec  5 05:24:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Take whoever you nee, Trill. - Sat Dec  5 05:28:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: need* - Sat Dec  5 05:28:06 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Alright. - Sat Dec  5 05:28:06 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Will do. - Sat Dec  5 05:28:06 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Your talking about your mission to explore and mine out some mines. .  - Sat Dec  5 05:28:57 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: and who you need to take with you by the way - Sat Dec  5 05:28:57 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Welp if your smart then you'll see why its important for him to come. - Sat Dec  5 05:31:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) thinks: Another school skipper... - Sat Dec  5 05:31:31 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I can see why haveing a blacksmith would be benefical. . but to bring him on a mission seems kinda silly - Sat Dec  5 05:33:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-HIDEO! - Sat Dec  5 05:34:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Its a Minscule mission and the indviduals  I am bring with me are more than capable of protecting and again I asked him personally and he agreed.Its not like I am making him go. - Sat Dec  5 05:34:56 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) suddenly rushed at hideo, punching him in the face.* - Sat Dec  5 05:34:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You missed the chuunins! - Sat Dec  5 05:37:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't wanna talk about it. - Sat Dec  5 05:37:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmph.. - Sat Dec  5 05:38:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Momu. . .. . I am so sorry. - Sat Dec  5 05:39:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sanoke. . .  - Sat Dec  5 05:39:12 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Maybe next week? - Sat Dec  5 05:39:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I am soooo sorry. - Sat Dec  5 05:39:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I feel awful. - Sat Dec  5 05:40:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmph. - Sat Dec  5 05:40:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Momu. .  - Sat Dec  5 05:41:45 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) appeared next to chikyu, hugging her.

"H-Hello bestie.."* - Sat Dec  5 05:41:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: If MOmu is mad. . . . . .O god. . Nami is going to kill me. . .  - Sat Dec  5 05:41:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll just have to b-beat kinami.. - Sat Dec  5 05:43:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec  5 05:43:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Im so dead. . .  - Sat Dec  5 05:43:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yep. - Sat Dec  5 05:43:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You skipped o-out on the chuunins. - Sat Dec  5 05:43:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Next year. - Sat Dec  5 05:43:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I. . .  - Sat Dec  5 05:44:19 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I just need to be a little prepared for it...that's all. - Sat Dec  5 05:44:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Fuck. - Sat Dec  5 05:44:19 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: W-what? - Sat Dec  5 05:44:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't know. . .  - Sat Dec  5 05:44:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec  5 05:44:19 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, I'm sure you'll do your best. Momura... today been so exciting I'm going to go get some sleep.  - Sat Dec  5 05:44:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Trill. . .  - Sat Dec  5 05:45:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I went to class today. . .  - Sat Dec  5 05:45:10 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) looked a bit sad as chikyu left.* - Sat Dec  5 05:46:01 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Yeah I'm fine.. I just... ...you know.. - Sat Dec  5 05:46:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Momu. . . I am sooooooooo sorry. - Sat Dec  5 05:46:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmph.. - Sat Dec  5 05:46:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I. . I'm sorry. - Sat Dec  5 05:46:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hiroshi. - Sat Dec  5 05:46:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Come with me. - Sat Dec  5 05:46:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: B-But. - Sat Dec  5 05:46:52 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) grabbed his arm, with a little more strength she had before. She'd suddenly dash off.* - Sat Dec  5 05:46:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec  5 05:46:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Since you f-failed to show up. - Sat Dec  5 05:46:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We're going to fiht. - Sat Dec  5 05:46:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But. . . - Sat Dec  5 05:46:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ok. . .  - Sat Dec  5 05:47:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Don't hold back.. - Sat Dec  5 05:48:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I've trained r-really hard to f-fight you..b-but you didn't show up.. - Sat Dec  5 05:49:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Momu. . .  - Sat Dec  5 05:49:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So I'm not going t-to hold back a-anymore.. - Sat Dec  5 05:49:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm so sorry. - Sat Dec  5 05:49:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Shut up! - Sat Dec  5 05:49:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I swear, something came up. - Sat Dec  5 05:49:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: If she is this mad. . . I'm so gonna die. . . .  - Sat Dec  5 05:50:17 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) slid her foot back as two antennae came out of her forehead.

Suddenly the female ran towards hiroshi as he could see her movements, but she seemed to be a little more different then before..She'd suddenly bring her fist towards hiroshi, aiming to punch him in the stomach with quite a fucking punch, it was going to mess him up if it hit him.* - Sat Dec  5 05:50:17 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) stared down at him as she'd sigh, her antennae retracting as she'd bend down and grab his cheek..letting out a sigh.

"S-Sorry.." She'd say in a saddened tone..* - Sat Dec  5 05:56:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Momu. . .  - Sat Dec  5 05:57:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: She. . .  - Sat Dec  5 05:57:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *cries* - Sat Dec  5 05:57:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Where is Nami?. . .  - Sat Dec  5 05:58:49 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) sighs as she'd give hiroshi a suddenly upright hug, not minding any blood from his mouth coming onto her already clothing, giving him a tight hug.* - Sat Dec  5 05:58:49 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: J-Just..let it out..hiroshi..if you n-need to.. - Sat Dec  5 05:59:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Damnit. . .  - Sat Dec  5 06:03:05 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) put her hand on the back of his head, patting it gently, 'It's alright...just..let it out..hiroshi.." She'd say in a low tone..She'd remembered when her mom had passed, she felt so alone.

She'd keep hiroshi in a good hold, giving him comfort and support, "I-I'm sorry about your..mother.." she'd say with a gentle sigh, trying not to cry herself.* - Sat Dec  5 06:04:48 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) held him tightly in her embrace, letting him cry all out as he seemed to unable to really control it. She'd keep ahold of him and patted him gently.

"It'll be fine...hiroshi.."* - Sat Dec  5 06:09:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: B-But. . .I have to tell Sanoke. . . *sob* - Sat Dec  5 06:09:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't even know if he will accept this. . . . *sob* - Sat Dec  5 06:09:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No..it's fine.. - Sat Dec  5 06:11:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm here for you..a-alright? - Sat Dec  5 06:12:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Can we go talk to Sanoke? - Sat Dec  5 06:15:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *wipes his eyes* - Sat Dec  5 06:15:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Sat Dec  5 06:15:02 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) holds him, bringing him to sanoke.* - Sat Dec  5 06:15:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sanoke-san. - Sat Dec  5 06:15:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sanoke. .  .  - Sat Dec  5 06:15:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec  5 06:16:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: N-Nami. . . I. .  - Sat Dec  5 06:16:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hm? - Sat Dec  5 06:18:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: My mom. . . She. . . - Sat Dec  5 06:18:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo.. - Sat Dec  5 06:21:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hiroshi... - Sat Dec  5 06:21:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ...What the fuck happened? - Sat Dec  5 06:21:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec  5 06:21:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-His mom. - Sat Dec  5 06:21:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: My mom. .  She. . .  - Sat Dec  5 06:21:00 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) was currently hugging him.* - Sat Dec  5 06:21:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That's why I missed it. .  - Sat Dec  5 06:21:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Trying to see her before she died. . .  - Sat Dec  5 06:21:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I didn't even make it to her. . . Damnit. . .  - Sat Dec  5 06:21:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-It's alright...hiroshi.. - Sat Dec  5 06:25:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *cries* - Sat Dec  5 06:26:08 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) hugs tightly.* - Sat Dec  5 06:26:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I-I think I am going to go home. . . I need some rest. . .  - Sat Dec  5 06:26:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ... ah... shit.. - Sat Dec  5 06:26:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .....I'm sorry, dude.. - Sat Dec  5 06:26:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Do you wanna come t-to my house and s-sleep? - Sat Dec  5 06:26:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I have a b-bed already s-set out. - Sat Dec  5 06:27:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And free f-food.. - Sat Dec  5 06:27:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I. . I don't think Nami would be happy about that.  *tries to force a smile through the tears* - Sat Dec  5 06:27:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Why not? - Sat Dec  5 06:28:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We're all b-besties.. - Sat Dec  5 06:28:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: E-Except chikyu is my bestie bestie.. - Sat Dec  5 06:28:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: A-And hanai is my life.. - Sat Dec  5 06:28:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I've had enough pain for one day. . .  - Sat Dec  5 06:28:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't need her mad at me too. - Sat Dec  5 06:28:41 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) sighed.* - Sat Dec  5 06:29:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-If you want to go b-back to your house...y-you can.. - Sat Dec  5 06:29:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks anyway Momu. . I really appreciate it. .  - Sat Dec  5 06:29:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh. . Sanoke. . .  - Sat Dec  5 06:30:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Lera.. - Sat Dec  5 06:33:48 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hm? - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-The chuunins...happened..uhm.. - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah? - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Ai passed.. - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-A lot of people didn't show up.. - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo, Lera. - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I figured he would - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So I had no one to f-fight.. - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So.. - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Heya Mitsu~ - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I didn't pass..y-yet.. - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We should spar later.. - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Kiyoko was out here earlier- but she was tired, said something about goign to rest. - Sat Dec  5 06:35:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I've been t-training a lot m-more..a-as well.. - Sat Dec  5 06:35:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll handle you two in a bit. - Sat Dec  5 06:35:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec  5 06:35:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 9hm!? - Sat Dec  5 06:35:31 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I see. - Sat Dec  5 06:36:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Lera..uhm.. - Sat Dec  5 06:38:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I've been t-training a l-lot after our s-spar.. - Sat Dec  5 06:38:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm... - Sat Dec  5 06:38:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Have you now. - Sat Dec  5 06:38:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh.. - Sat Dec  5 06:38:04 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) suddenly appears infront of lera, "S-Surprise attack!" She'd aim to punch her in the gut intensely hard and incredibly fast.* - Sat Dec  5 06:39:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Normally. . .That would have been funny as hell. . . . .  - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah... - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh... Yo, Hiroshi. - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: You old enough to get a drink? - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Ha! - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . Yes? - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: In that case. - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait. . no. - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: No I am not. . .  - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: How about you and me have some Sake and a meal - oh, no? - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Nevermind.. there goes my idea for cheerin yah up.. - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He's like. . Twelve. - Sat Dec  5 06:41:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thriteen. . . .  - Sat Dec  5 06:42:20 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Weren't you getting pissed off your face at that age Sanoke? - Sat Dec  5 06:42:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? I came in second. - Sat Dec  5 06:42:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: In the drinking contest. - Sat Dec  5 06:42:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I know I was, but I dont' wanna fuck with the local law. - Sat Dec  5 06:42:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sanoke. . .  - Sat Dec  5 06:42:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yes? - Sat Dec  5 06:42:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I am sorry I missed the chuunins. - Sat Dec  5 06:42:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: My mom. . . She. . .  - Sat Dec  5 06:42:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: She passed. .  - Sat Dec  5 06:42:20 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Sat Dec  5 06:43:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What?! What happened? - Sat Dec  5 06:43:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Ah jeez. - Sat Dec  5 06:43:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: You still fail, though.. - Sat Dec  5 06:43:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: There was an accident back in my home village. . . .  - Sat Dec  5 06:43:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I tried to make it back in time to see her. - Sat Dec  5 06:43:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: B-But. . . *starts to cry again* - Sat Dec  5 06:43:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .... - Sat Dec  5 06:44:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: . . . - Sat Dec  5 06:44:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Lera. Go give him a hug. - Sat Dec  5 06:44:54 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) whispers: I can do one better. - Sat Dec  5 06:44:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: You too, Momura. - Sat Dec  5 06:44:54 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) gave hiroshi a hug.* - Sat Dec  5 06:44:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Shhh..It'll be a-alright.. - Sat Dec  5 06:45:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I miss her soo much man. . . *sob* - Sat Dec  5 06:45:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . . *nods* - Sat Dec  5 06:47:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Visitor. - Sat Dec  5 06:48:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Why do I keep getting dragged to places today?. . .  - Sat Dec  5 06:49:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . .  - Sat Dec  5 06:49:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Here Hiroshi. Let me tell you a secret, few people know. Not even Kiyoko. - Sat Dec  5 06:49:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: When my dad died, what do you think I did? - Sat Dec  5 06:49:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: W-What is it Au-. . .Lera-San? - Sat Dec  5 06:49:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . .  . - Sat Dec  5 06:50:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I. .  - Sat Dec  5 06:50:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Cried? - Sat Dec  5 06:50:01 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yes...I locked myself in my room and I cried until I could barely breath anymore. But after that? - Sat Dec  5 06:50:01 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I came out, I forced myself to keep going. Just like you're going to. - Sat Dec  5 06:50:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec  5 06:50:01 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Do you know why? - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why? - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Because you're a Sunagakure shinobi. You have heart and spirit. and you -will- see your mother again one day. - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But it hurts so bad Lera. . .  - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: So bad. . .  - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yes it does - Sat Dec  5 06:51:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: And it will for a long time. - Sat Dec  5 06:51:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: But hearts heal Hiroshi. - Sat Dec  5 06:51:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I couldn't even tell her goodbye. . .  - Sat Dec  5 06:51:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I couldn't tell her I loved her. .  - Sat Dec  5 06:51:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *cries* - Sat Dec  5 06:51:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: She's still here. - Sat Dec  5 06:51:44 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) gave him a hug, giving him a friendly cheek touch with her own as she'd let out a smile, "I-I'm going to go now.." She'd then let out a soft sigh, looking at lera.

"W-We'll spar..l-later.." She'd then turn towards the south as the wind picked up in a sudden gust, sand covering her form as she ran off the moment she was covered, akin to that of the original kazekage, hassan, disappearing off into who knows where.* - Sat Dec  5 07:00:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Momu. . . Thanks for everything the other day. - Sat Dec  5 18:48:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mmhmm. - Sat Dec  5 18:48:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey Momu, have you seen Sensei around lately? - Sat Dec  5 18:49:23 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) suddenly giggles for no apparent reason.

"T-They..w-went to k-konoha..for a b-bit.."* - Sat Dec  5 18:49:23 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Who is they? - Sat Dec  5 18:50:14 2015
