<br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I can read and write. - Sat Dec  5 20:53:58 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, and Marco, I want to talk to you about a few weapons. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm ready whenever he is Iza. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We'll talk about it in a bit, Momura. - Sun Dec  6 05:42:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Sun Dec  6 05:42:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah.. - Sun Dec  6 05:42:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah.. - Sun Dec  6 05:42:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Now we just wait on Sanoke. - Sun Dec  6 05:42:11 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Is that ok Marco? - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I want to order some weapons and stuff. - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I want to talk you about it for a reason. For now, I shall practor Izanami versus Hideo. - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Mhm. - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm. - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Speaking of sparring... - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I haven't sparred in a while. - Sun Dec  6 05:43:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-My last spar was against Tetsuki-chan. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ..... - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: God. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where t- - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Tetsuki? - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where is she? - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Who is Tetsuki? - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Blackblade g-girl. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-You can't miss her. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-She carries a massive sword. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: T-The size of a human being. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: She's still around? - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mhmmm. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm... - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I sparred with her recently. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I should find her. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Anyway. - Sun Dec  6 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where are we going to fight? - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Hiro, when is sensei coming back? - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I need to learn some jutsu soon. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't know Nami. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Soon I hope. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: South. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Lets rock. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Right. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yeah, me too. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-Izanami is going to w-win. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wish me luck bae!~ - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: D-Don't see the point i-in this. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Good luck. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: I need to learn something new sooner or later. - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm..... - Sun Dec  6 05:44:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: I need to come up with something new... and something good.. - Sun Dec  6 05:45:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Let's go watch i-izanami win. - Sun Dec  6 05:45:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Or at the very least... - Sun Dec  6 05:45:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hideo could win. - Sun Dec  6 05:45:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Sun Dec  6 05:46:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Right here fine? - Sun Dec  6 05:47:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's not about winning or losing. - Sun Dec  6 05:47:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's how you win or lose. - Sun Dec  6 05:48:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *stretches*  Alright, let's get this show on the road. - Sun Dec  6 05:48:09 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Sun Dec  6 05:48:09 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Iza. - Sun Dec  6 05:48:09 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Win in high style. - Sun Dec  6 05:48:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And yes, this is fine. - Sun Dec  6 05:48:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Don't hold back..i-izanami - Sun Dec  6 05:48:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I feel so supported right now. . .  - Sun Dec  6 05:48:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sun Dec  6 05:49:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm sorry about that Iza. - Sun Dec  6 05:49:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Emotions were running high. - Sun Dec  6 05:49:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I'm sorry your ankles are going to be broken too - Sun Dec  6 05:49:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: -omit- - Sun Dec  6 05:49:00 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I believe in you two - Sun Dec  6 05:49:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Enough talk. - Sun Dec  6 05:49:52 2015
<br><br><font color=yellow>*Hideo, Hiroshi(Anonymouse player) darted off towards Izanami without further hesitation.  She might have only been 7 years old or so, but Hiro knew all to well of her talent.  He really had to work for this one.  Personally, he wsn't sure how this was goign to work out.  He continued to run until he was within striking range.  He stared off with a simple combination of kicks, trying to overwhelm her with the combo.

  He would start off with a mighty left roundhouse kick aimed at her right cheek.  He was hoping that he would get her to focus on this kick.  In one swift, fluid motion, he would throw a sweeping left kick aimed at her ankles, attempting to knock her off of her feet.  He would finish the combo with a simple push kick to send her a decent distance away from him.* - Sun Dec  6 05:53:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Did you pay for that blade?  Cause I ain't fitting to break a sword you paid for) - Sun Dec  6 06:03:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Them bitches cost too much lol) - Sun Dec  6 06:03:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: (I got it for free) - Sun Dec  6 06:04:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: (xD) - Sun Dec  6 06:04:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: (marco is making me a new one) - Sun Dec  6 06:04:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Lucky ass lol) - Sun Dec  6 06:04:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: (LOL) - Sun Dec  6 06:04:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Sun Dec  6 06:04:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: So if I go through the sword you attackin or if it stopped me you were attacking?) - Sun Dec  6 06:06:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Don't wanna do somthing I can't do) - Sun Dec  6 06:06:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: (How much dmg do u hit for?) - Sun Dec  6 06:06:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: I would say around 30 right now) - Sun Dec  6 06:06:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: (Not enough to break through the sword instantly, it'll start cracking and shit tho) - Sun Dec  6 06:07:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: KK) - Sun Dec  6 06:07:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Sun Dec  6 06:09:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: M-My teacher won't t-train me in anything but b-basic taijutsu.. - Sun Dec  6 06:09:29 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hm.. - Sun Dec  6 06:10:20 2015
<br><br><font color=yellow>*Hideo, Hiroshi(Anonymouse player) was very strong physically, but he did not put enough into the strike the shatter the sword.  He would curse at himself silentely for not putting everything he had into the attack.  Keeping his eyes locked on Izanami the entire time.  Before he knew it, she was tring to kick him in the jaw.  He brought up his left hand to knock away the kick.  He would then use his free right hand to send a swift elbow aimed directly at her chest.

* - Sun Dec  6 06:10:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Gonna keep an track on Iza's chakra... - Sun Dec  6 06:11:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Whatever.. - Sun Dec  6 06:11:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-She still held b-back.. - Sun Dec  6 06:11:12 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Depends on what you consider as holding back. - Sun Dec  6 06:12:03 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I gotta back sure my little one is safe from injuries... But Hiro will be watched to - Sun Dec  6 06:12:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: She's just a genetic freak. You got potential, the only thing is you've spreaded yourself. - Sun Dec  6 06:12:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Not really.. - Sun Dec  6 06:12:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: While Kinami has worked on making her taijutsu elite. You've worked on taijutsu in conjunction with ninjutsu-based skills. - Sun Dec  6 06:12:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I haven't..t-though. - Sun Dec  6 06:12:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Your water melon technique? Among other things. You have great potential, however. - Sun Dec  6 06:12:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: In a few month's time. I think you could become superior. - Sun Dec  6 06:13:45 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Ninjutsu based Tai...Hmm.. - Sun Dec  6 06:13:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmph.. - Sun Dec  6 06:14:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-My teacher d-doesn't really t-teach me useful t-techniques.. - Sun Dec  6 06:14:36 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: --- - Sun Dec  6 06:14:36 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Momura. - Sun Dec  6 06:14:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I could smell the potential in our spar. Even if you were no threat. - Sun Dec  6 06:14:36 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Stop blaming it on your teacher. - Sun Dec  6 06:14:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm not. - Sun Dec  6 06:14:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But I've been a-asking her to t-teach me a certain jutsu..A-And she keeps saying s-she will then she l-leaves.. - Sun Dec  6 06:15:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-If I had it..I-I'd of won.. - Sun Dec  6 06:15:28 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Fuji couldn't teach me anything for five years. - Sun Dec  6 06:15:28 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I had to grow on my own until I can learn from him. - Sun Dec  6 06:15:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmph.. - Sun Dec  6 06:18:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Sun Dec  6 06:18:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The seeds. The walls. - Sun Dec  6 06:18:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: They're interesting. - Sun Dec  6 06:18:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Made the wall.. - Sun Dec  6 06:18:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mom taught me t-the seeds.. - Sun Dec  6 06:18:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You should think about taking it a step further. - Sun Dec  6 06:19:44 2015
<br><br><font color=yellow>*Hideo, Hiroshi(Anonymouse player) had missed again.  Iza was really using her size to her advantage.  She was short and fast.  That was ok though, it was about time for him to turn up the tempo a little bit.  Before he could do that, there were three shuriken flying his way, quickly and well thrown.  She had better aim then most people throwing a simple shuriken.  He smiled and clapped his hands.  A gust of wind surrunded him, sheilding him from all three of the shuriken.  He smiled, thinking back on the first spar he had with Iza.  Seemed like things hadn't changed all that much.  
When the shuriken hit the ground, they would be followed by the weight on Hiro's back.  He felt light as a feather now.  Things were about to heat up.* - Sun Dec  6 06:19:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh well..maybe.. - Sun Dec  6 06:20:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I don't exactly under the mechanics behind the watermelon-themed skills. - Sun Dec  6 06:20:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-My clan.. - Sun Dec  6 06:20:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I have to show him I can do a little more then just Taijutsu. . .  - Sun Dec  6 06:20:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But I can see when a jutsu can be improved upon. For example, what if you could make the wall offensive as well? - Sun Dec  6 06:21:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Maybe to release seeds at a faster pace, like a Kunai launcher. - Sun Dec  6 06:21:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Then I'd have to f-focus on that..n-not my body. - Sun Dec  6 06:21:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Then kinami would b-beat me.. - Sun Dec  6 06:21:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-As usual.. - Sun Dec  6 06:21:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Without trying.. - Sun Dec  6 06:21:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do both, and just focus extra hard. - Sun Dec  6 06:21:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hahah. - Sun Dec  6 06:21:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: G-Gimme RPP then nigga. - Sun Dec  6 06:22:17 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Eh... - Sun Dec  6 06:22:17 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Momura. - Sun Dec  6 06:22:17 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ..? - Sun Dec  6 06:22:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: When I began training with my Master GEnbi. He made me wear a shell for a month straight. - Sun Dec  6 06:22:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Eventually, as my horizon spreaded. All my skills proceeded to interlock. - Sun Dec  6 06:22:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: My taijutsu made me more able to use my ninjutsu/ - Sun Dec  6 06:22:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And my ninjutsu enhanced my tai. - Sun Dec  6 06:22:17 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Sun Dec  6 06:22:17 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You should take that off ya mind. Just train and use the fact that Kinami can beat you as a drive. - Sun Dec  6 06:23:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Not like I can.. - Sun Dec  6 06:23:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-She beat me a-and I didn't hold back..b-but she did.. - Sun Dec  6 06:23:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So. - Sun Dec  6 06:23:08 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You can. - Sun Dec  6 06:23:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: I'd offer to train her. . But eh. I'm kage, don't need more on my plate.. - Sun Dec  6 06:23:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You only beat h-her because y-you're a counter to all t-taijutsu users.. - Sun Dec  6 06:23:08 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I rememeber when Mira one shot me. - Sun Dec  6 06:24:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Plus, she's already formed a pact with an Ant? - Sun Dec  6 06:24:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Are you capable of summoning Ants? - Sun Dec  6 06:24:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No. - Sun Dec  6 06:24:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Why do you a-ask? - Sun Dec  6 06:24:00 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: --Ants..Really Sanoke..Ants..? - Sun Dec  6 06:24:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. For many things.. - Sun Dec  6 06:24:51 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Mmmmm..... - Sun Dec  6 06:24:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But mostly due to your skill. You gain ant-things.. - Sun Dec  6 06:24:51 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I think he's trying to hint at the strength an ant has.... - Sun Dec  6 06:24:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Ohh.. - Sun Dec  6 06:24:51 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: A-As well as their digging ability.... - Sun Dec  6 06:24:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-That. - Sun Dec  6 06:24:51 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: P-Plus they're strong scavengers. - Sun Dec  6 06:24:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What about it? - Sun Dec  6 06:24:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. . nothing. - Sun Dec  6 06:25:42 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Sun Dec  6 06:25:42 2015
<br><br><font color=yellow>*Hideo, Hiroshi(Anonymouse player) smiled at Iza as he saw her use her mouth instead of an arm.  He was happy to see that she was finding ways to compensate for the loss of an arm.  That didn't mean that he was going to take it easy on her.  He decided to try a brand knew approach.  He reached into his pouch and pulled out a single smoke bomb.  He threw the bomb in front of Iza, trying to blind her with the smoke.  As soon as the smoke hit the ground and spread around, he slipped into the earths surface.  He couldn't see Iza in the smoke anyway, but he could feel where she was on the surface for now.  He darted towards her for now, underground.* - Sun Dec  6 06:28:16 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Would be wise if she use 'them' now. - Sun Dec  6 06:29:07 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmmm. - Sun Dec  6 06:29:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I dunno.. - Sun Dec  6 06:29:58 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So I could be i-important. - Sun Dec  6 06:29:58 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well I dunno. - Sun Dec  6 06:30:49 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm not very important a-anyways.. - Sun Dec  6 06:30:49 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: And now they're underground.. - Sun Dec  6 06:34:14 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-You're important, d-don't worry Momura-chan. - Sun Dec  6 06:35:56 2015
<br><br><font color=yellow>*Hideo, Hiroshi(Anonymouse player) smiled as Iza was right there with him underground.  Seemed like everytime he went under the ground, somebody else came in after him.  It was ok, he didn't plan on staying down there too long anyway.  He charged at Iza, clinchin his left fist tightly as he appoached.  As he got within range of her.  He would swing his entire body into a solid uppercut delivered to her chin.  He was trying to drive both of them up and out of the ground, if that was indeed possible.* - Sun Dec  6 06:35:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm not.. - Sun Dec  6 06:35:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: I feel old. - Sun Dec  6 06:41:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Holyshit...I just realized, what really happen'd to Beth? - Sun Dec  6 06:41:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: All my shinobi are important. - Sun Dec  6 06:42:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh? - Sun Dec  6 06:43:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well why is it.. - Sun Dec  6 06:43:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-When marrisa was m-murdered..n-nobody even cared. - Sun Dec  6 06:43:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: The old k-kazekage-san j-just walked off... - Sun Dec  6 06:44:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And then nobody e-ever spoke a-about her? - Sun Dec  6 06:44:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: -- NO ONE EVEN CARED? - Sun Dec  6 06:44:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: haaaaaaaaaaaaaaaaaah -omit- - Sun Dec  6 06:44:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . I was shaking in my boots. I wanted to help her. . - Sun Dec  6 06:44:28 2015
<br><br><font color=yellow>*Hideo, Hiroshi(Anonymouse player) was not able to make it to Iza, but before he knew it, there was a heat coming towards him that he did not recognize.  It was hard to make out exactly what it was, but he kenw it wasn't anything good.  He attempted to resurface, quickly.  He could not completely escape the ball of flames and was hit on his right foot.  He resurfaced, holding on to his leg, on one knee.  It didn't hurt him too bad, but he felt it.  He noticed Izanami flipping in the air, attempting to stick the landing.  He was not going to have any of that.  

He put up two seals.  Ram! Tiger!  He would then spit out a sticky, starchy substance from his mouth, directly in the place that Izanami was about to land.  Hoping to leave her stuck in that spot.* - Sun Dec  6 06:44:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But I couldn't bring myself to move. - Sun Dec  6 06:45:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I haven't forgotten about her, though. - Sun Dec  6 06:45:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: One day, I'll get that guy. - Sun Dec  6 06:45:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And nobody tried to s-stop the guy. - Sun Dec  6 06:45:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Sun Dec  6 06:45:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Who did it? How did he look? - Sun Dec  6 06:45:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: I wasn't even there. - Sun Dec  6 06:45:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Black cloak. - Sun Dec  6 06:46:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He was. . He was on an entirely different realm. - Sun Dec  6 06:46:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Of strength.. - Sun Dec  6 06:46:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He just came out o-of no where. - Sun Dec  6 06:46:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Turned her i-into nothing. - Sun Dec  6 06:46:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And then left.. - Sun Dec  6 06:46:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: His energy. . .It was so-- It was detestable. - Sun Dec  6 06:46:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I wanted to a-attack him. - Sun Dec  6 06:46:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I could not even perceive his movements. - Sun Dec  6 06:46:11 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Sounds like all of Edge's elite, go on. - Sun Dec  6 06:46:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Or his strikes. - Sun Dec  6 06:46:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: In comparison, he makes me look slow. - Sun Dec  6 06:46:11 2015
