<br><font color=teal>*Heiwa(PythonJedi) says: Mm. Closer, stand beside me. - Tue Dec  1 03:15:50 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Funny how people change from one demeanor to another so quickly. - Fri Dec  4 00:36:41 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Zzzzzz. . . - Fri Dec  4 00:55:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh. Did you talk to the Mizukage about any available missions? - Fri Dec  4 01:05:42 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: No we were waiting for you. - Fri Dec  4 01:06:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I see. Well, I'm not sure if the Mizukage is up right now. Do you want to look? - Fri Dec  4 01:11:40 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Yeah, let's go!~ - Fri Dec  4 01:12:32 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) yawns for a moment. . Yes, she was sleeping standing up. She stretched, turning on the balls of her feet, "Uhh. . Wha'?"* - Fri Dec  4 01:15:56 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Come one Nori! - Fri Dec  4 01:16:48 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Wake up! - Fri Dec  4 01:16:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We're going to ask about a mission! Come on - and bring Yumiko with you too! - Fri Dec  4 01:17:39 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Waaaaaaaaaaaaaaake uuuuuuuuuuuuuuuuuuup! - Fri Dec  4 01:17:39 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Alright, alright I'm coming! - Fri Dec  4 01:23:37 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) simply motioned down the mountain carefully, trying to wave a foot outwads to touch the ground at the end. "Alright. Let's go."* - Fri Dec  4 01:24:28 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Hmph. - Fri Dec  4 01:27:02 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Seems she's busy. - Fri Dec  4 01:30:27 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I still have some low ranking missions you three could go on and take the credit for - but I doubt you'd all want that. - Fri Dec  4 01:32:09 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Hm... it's okay. - Fri Dec  4 01:34:43 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I'll wait. - Fri Dec  4 01:34:43 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Maybe training or no? - Fri Dec  4 01:34:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Right. Training can work - I have an idea in mind anyways. - Fri Dec  4 01:34:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Lets head out to the fields. - Fri Dec  4 01:36:25 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Alrighty.~ - Fri Dec  4 01:38:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Alright. This spot should do. We'll be working on some physical training later on in the day, but with all things there is a balance needed. - Fri Dec  4 01:41:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: A strong body is nothing without a strong mind. - Fri Dec  4 01:42:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Sekitsui, Yumiko, Nori - Can either of you explain what a genjutsu is?  - Fri Dec  4 01:43:15 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: I hope that's not taken as condescending. - Fri Dec  4 01:43:15 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Jutsu that affect the mind only? - Fri Dec  4 01:44:06 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: It's a chakra attack on the brain. - Fri Dec  4 01:44:06 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mhm. It's a type of jutsu that affects the mind - not the physical realm - through application of chakra on the nervous system of the brain causing the recipient's senses to reflect what the user intends for them to see. - Fri Dec  4 01:45:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: In other words - what you've both said. It's not used by many as they favor the use of frontal attacks. - Fri Dec  4 01:46:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: As it cannot kill it is often seen better to use a more physical sense of combat. - Fri Dec  4 01:47:31 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: However, you may very well find someone who does use genjutsu. In that case are any of you aware of how to counteract that? - Fri Dec  4 01:47:31 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) blinks a few times, inching her head to the side. . So pain counters it? She had a few ideas in her head, but she pushed them into the back of her head for the most part as Heiwa had explained the procedure. It was a bit of an interesting insight on how genjutsu could be countered.

Then a thought popped into her head for the most part, "I mean, I read up a bit on genjutsu for the genin exams at least. ." She said, bringing her head upwards, "I mean, yeah if you're in a genjutsu, then you can cancel it with those two ways. But what if you can't tell if you're in a genjutsu?" She at least knew it was difficult to tell whether you were in one or not.

"Like. . If you were to use a genjutsu on us, how would we know if it's one or not?" It would be weird if they were to make fools out of themselves at one point because they couldn't tell between an illusion and reality. . Then again, it would be funny too.* - Fri Dec  4 02:06:17 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: . . . What if we are in a genjutsu right now? And this village isn't real? - Fri Dec  4 02:07:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Good question..There are some ways to discern whether you're in a genjutsu or not. - Fri Dec  4 02:08:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: A genjutsu only affects the senses - it does not affect the world around you. Low leveled genjutsus often will have tells because of this. - Fri Dec  4 02:08:51 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: If, say, a giant ball of fire is made and is hurling towards you? - Fri Dec  4 02:08:51 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: But you can visibly see a large body of water appearing still cool to the touch and not reacting in any way against it? - Fri Dec  4 02:09:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Of course, a strong enough genjutsu user would make you perceive that body of water also being boiling. - Fri Dec  4 02:09:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Staying aware of your senses can keep you from falling into the traps of a genjutsu. - Fri Dec  4 02:10:33 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) nods for a moment, "Uhm. . Alright. I guess that works." She said with a nod. . . Though. . She still didn't know if she was in one right now or not though.* - Fri Dec  4 02:12:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I'm going to use a low level genjutsu on you. Your objective is to dissipate it using only your chakra. - Fri Dec  4 02:15:40 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: What are the handseals though? - Fri Dec  4 02:16:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The tiger hand seal. - Fri Dec  4 02:19:05 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) had been staring at Heiwa as he motioned through the handseals sloow like. She was a bit in content as to what this might have followed up with. What made her a bit weirded out was the fact that the veil of leaves had begun to fumble and furl around her physique.

Within that moment, her green gaze had become obscurred due to the leaves dancing around her face. Was that it? Well, that was a stupid genjutsu. She then saw something tha occured infront of her. Surprisingly, it was seemingly a depiction of herself writhing into what would appear to be agony.

Not the good kind either. Nori basically in straight jacket, uncomfortable in the slightest and to top it off, she was staying in place. . No interaction, no pain, no speaking, no pain. . No pain. . No pain. . Yeah, she was being tortured in the one way that would be torturous to her. No fucking pain man!

She brought her hands upwards, in the attempt to furl into a single handseal. A deep inhale was done as she would try to flow the chakra that was within her up to the centermost part of the brain. Once then, she would attempt to reverse the flow of chakra in her head, with the intent to cancel the genjutsu. With a quick burst of chakra into the head.

That genjutsu was surprisingly. . Obvious. Was it supposed to be? Nori couldn't tell. . Good god that was so traumatic for her. .  . . Weirdo-- shut up, I eat people.* - Fri Dec  4 02:54:56 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) set her hands to the side, looking back up to Heiwa after her apparent long daze, "Wait. So you don't need to be in a genjutsu to master it?" She asked.* - Fri Dec  4 03:04:19 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Take a breather - we'll be working on some sparring in just a bit. - Fri Dec  4 03:10:17 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Your opponent will be Nori. - Fri Dec  4 03:11:08 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Oh. - Fri Dec  4 03:12:00 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Okay.~ - Fri Dec  4 03:12:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: When you both are ready step up and take opposing positions. - Fri Dec  4 03:12:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: After the seal of confrontation you can begin. - Fri Dec  4 03:12:00 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Can I go? - Fri Dec  4 03:13:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh - sure. - Fri Dec  4 03:15:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Nori and Yumiko then. - Fri Dec  4 03:16:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Taijutsu, kenjutsu, shurikenjutsu - the limiting factors of this spar. - Fri Dec  4 03:22:14 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Stick to use of those. - Fri Dec  4 03:23:05 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hmm right. - Fri Dec  4 03:25:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm - actually, Yumiko, while Nori rests up from her..experience.. - Fri Dec  4 03:29:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Nori, rest up. We'll be back in a moment. - Fri Dec  4 03:35:02 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: I feel ditched. - Fri Dec  4 04:10:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's okay..It wasn't real, right? - Fri Dec  4 04:23:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: What did she see..? - Fri Dec  4 04:29:39 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Fri Dec  4 04:35:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Alright.. - Fri Dec  4 04:38:11 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Nori, you ready as well? - Fri Dec  4 04:38:11 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Yeah. - Fri Dec  4 04:39:02 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Lets head back. - Fri Dec  4 04:43:18 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Sooo. . Spar, right? - Fri Dec  4 04:48:25 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Physical spar only. - Fri Dec  4 04:49:16 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hmm? Alright. - Fri Dec  4 04:50:59 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) removes the tanto she had on her back, placing it on the ground.* - Fri Dec  4 04:50:59 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) brings her hand up, forming the seal of confrontation. There was a light pause in that motion before she would proceed to rush over towards Yumiko's position. Her eyes were widen this time almost as to emphasize that she was focusing on the girl as she closed the distance between the two.* - Fri Dec  4 05:02:56 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) blinks a few times, wondering why Yumiko had just  moved backwards. She didn't pay it much of any mind and had continued her relentless pursuit towards Yumiko. Her nostrils flared a bit as she closed in, dropping her arms to the side. . . Was she trying to tire her out? If that was the case, then what was the point of the spar anyway?* - Fri Dec  4 05:14:01 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) 's eyes widened for the moment. She might have been fast. . In her own way, but she was in nowhere prepared for that sudden milk throw to the face. Some moving onto her eyes caused her to grasp onto her face,"Agh!" It might have hurt, but regardless of how one might think it was good, it was pretty damn annoying while in a fight.

She grasped onto her eyes before feeling her body jerking backwards and a fist slamming right below the jaw to her chin, causing her to hit her back against the soil.* - Fri Dec  4 05:28:32 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) got kicked into the side, grunting for the most part. Her hands gripped into the soil as she felt her insides shifting or rattling just from the sudden attacks on him. His other arm grabbed onto his stomach, groaning for the most part.* - Fri Dec  4 05:37:55 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) 's hands had gripped the dirt for a reason. The way her body was positioned and face turned for the most part, eyes clenched tightly. Her right eye -the part of her face that was still on the ground for the most part. The dirt had hit the left side of her face, which caused her right eye to twitch for a second.

The moment that Yumiko tried to pin Nori down, her hand would slip from under the hold, noticing her going for that hand that was deep in the dirt, dragging the dirt up and trying to slam it right infront of her face, trying to shock her first with that, as well as mess up her vision. Her right eye -albeit red due to the liquid that was poured onto it- shot half lidded as she did that.

Hopefully that nullified her attempt at trying to headbutt Nori or pin her successfully.* - Fri Dec  4 05:46:27 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) was not going to give Yumiko any breathing room. Her other hand -assuming she was freed would grab onto her collar. Considering she was still ontop of him due to her trying to pin her to the ground, she would abuse that effort, trying to pull her inwards. Nori lunged her head, forehead leaning abit as a means to slam her forehead right onto the bridge of her nose.* - Fri Dec  4 05:55:50 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) jerked her head quickly backwards, grabbing onto her eye once more and this time a shrill of a scream was heard. Eye damage was always horrendous in itself. Her body was convulsing at this point.* - Fri Dec  4 06:09:29 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I'M SO HIGH RIGHT NOOOOOW *omit* - Fri Dec  4 06:12:54 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) was still screaming like a wild crackhead. . Yes, a wild crackhead. Look it up, it ain't even a word. She was trying to roll on the ground. It could be worse. . Anyone remember that one episode where butters got a star in his eye? It could be that.* - Fri Dec  4 06:28:16 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) was still twisting and turning, groaning as she was panting harshly. . Shit, she knew about pleasurable pain, but eye shots weren't pleasurable, man! No! That shit was painful! The ice being placed on the top of her eye just caused her to shake up a bit, but not as much.* - Fri Dec  4 06:56:25 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Oooh.. . - Fri Dec  4 07:03:15 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: Shh it'll be okay, it'll be okay. - Fri Dec  4 07:04:57 2015
<br><br><font color=teal>*Yumiko(Ekario) thinks: I think. - Fri Dec  4 07:04:57 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: ..Was she enjoying it all along? - Fri Dec  4 07:08:22 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) wasn't enjoying it. . I just don't know what to type for a groan. . * - Fri Dec  4 07:09:13 2015
<br><br><font color=teal>*Yumiko(Ekario) says: How are you feeling now? - Fri Dec  4 07:11:47 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . Nuummb. . *muffled groan* - Fri Dec  4 07:19:28 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Sorry. - Fri Dec  4 07:22:52 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Bad hurts. . - Fri Dec  4 07:27:08 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Want to head to the house? - Fri Dec  4 07:33:07 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I can get her head if you get her feet. - Fri Dec  4 07:33:58 2015
<br><br><font color=teal>*Yumiko(Ekario) says: We could take her arms and walk. - Fri Dec  4 07:35:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Well..how about Nori? - Fri Dec  4 07:37:23 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . Bad hurts. . - Fri Dec  4 07:39:05 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) just slowly nodded. . She did hear them.* - Fri Dec  4 07:40:48 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) feels like that injured guy who survived in saving private ryan. .* - Fri Dec  4 07:56:09 2015
<br><br><font color=teal>*Yumiko(Ekario) says: How do you feel? - Fri Dec  4 08:08:06 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hurts. .Bad//  - Fri Dec  4 08:10:40 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *. . - Fri Dec  4 08:11:31 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's okay..We're here. - Fri Dec  4 08:14:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Do you want some more ice? - Fri Dec  4 08:14:04 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: No. I just. . . Wanna sleep. - Fri Dec  4 08:15:47 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...Do you want the chains then? - Fri Dec  4 08:20:03 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . .Not in the mood. . - Fri Dec  4 08:20:03 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Zzzzzz. - Fri Dec  4 22:25:42 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Mhm. . - Fri Dec  4 22:41:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: How's your eye? - Fri Dec  4 22:42:46 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) notes it seemed like it was swelling up. She placed  a small patch on it, "A bit of time before the swelling could go down."* - Fri Dec  4 22:45:20 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: What did I miss? - Fri Dec  4 22:54:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We were given a mission.. - Fri Dec  4 22:58:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Medical Ninjutsu not working on it? - Fri Dec  4 22:58:08 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: It can, but I rather let it heal naturally. It won't be a problem, would it? - Fri Dec  4 23:02:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Shouldn't be too much of one.. - Fri Dec  4 23:11:47 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Just stay out of combat, right? Lets go. - Fri Dec  4 23:21:10 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Right. - Fri Dec  4 23:22:01 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Well, try make it work. - Fri Dec  4 23:27:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Lady Mizukage...Our squad is darn near non-existant... - Fri Dec  4 23:27:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Heiwa has been training with and working with his squad daily.. - Fri Dec  4 23:27:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I don't even -know- our squad member... - Fri Dec  4 23:27:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Or the leader for that matter... - Fri Dec  4 23:27:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: And I wish I could blame that on myself... - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: But I've tried to find them. - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Geo and me don't work...ever... - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: There's your squad leader right there. - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Huh? - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'm not working...with someone that threatened to kill me... - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I thought Yumiko was in my squad... - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: We had a switch, Anguo. - Fri Dec  4 23:28:51 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...Oh. - Fri Dec  4 23:28:51 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Why -did- that occur ma'am? - Fri Dec  4 23:28:51 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Because it did? - Fri Dec  4 23:28:51 2015
<br><br><font color=teal>*Geo Dude(Wynokx) thinks: He didn't even know I was on his squad...What kind of leader is she... - Fri Dec  4 23:28:51 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Eh..Well hello there...Kid. I guess you're the squad leader? - Fri Dec  4 23:29:42 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I guess... - Fri Dec  4 23:29:42 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I'm Anguo. - Fri Dec  4 23:29:42 2015
<br><br><font color=teal>*Geo Dude(Wynokx) thinks: I'm the oldest person in the fucking vi- Eh, damn child army. - Fri Dec  4 23:29:42 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Name's Geo....You intend on actually having any squad training or anything soon? - Fri Dec  4 23:30:33 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yeah....I just wanted the whole squad together for the first session... - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'm not training with him. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Seems like too much to ask for tho- - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: You can count me out. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Why? - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: He threatened to kill me. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Screw him. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Don't worry about him Anguo. He hates me because I think he's a weakling. AND he refuses to work with a team. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: He won't train to get stronger. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: With a team. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: He only wants to train alone away from people. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) thinks: Ah, life was so much easier when I was Niklaus. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: ..This is part of why I made the switch to include Yumiko. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ........ - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Ryo. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: You're gonna work with the squad. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) thinks: Yes, take a stand Anguo. - Fri Dec  4 23:32:16 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: You can say you won't, but you will. - Fri Dec  4 23:33:07 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: When I make the call for us to train together, I expect you to be there. - Fri Dec  4 23:33:07 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Anguo. He hates me because I told him he should probably die considering how weak he is and he refuses to get stronger. - Fri Dec  4 23:33:58 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I probably shouldn't have, but his refusal to work harder.. - Fri Dec  4 23:33:58 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: It made me angry..I apologize. - Fri Dec  4 23:33:58 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: That's fine. - Fri Dec  4 23:33:58 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: He'll learn in time. - Fri Dec  4 23:33:58 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Fuck off. - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I don't need anyone. - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Geo Dude(Wynokx) thinks: ...I rather like this Anguo guy... - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: You say you don't need anyone. - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: But that's a lie. - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Just because you don't show it. - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: You know you need someone. - Fri Dec  4 23:34:49 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: And if you continue to be like this... - Fri Dec  4 23:35:40 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Then when you need them most. - Fri Dec  4 23:35:40 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: They probably won't be there. - Fri Dec  4 23:35:40 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: And you'll just die. - Fri Dec  4 23:35:40 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Alone. - Fri Dec  4 23:35:40 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I have never needed anyone. - Fri Dec  4 23:35:40 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: And I never -will- need anyone. - Fri Dec  4 23:35:40 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I've got this far alone, became a shinobi on my own. - Fri Dec  4 23:35:40 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Kana you better fucking give me a squad I aint fucking following a bunch of 8 year rolds - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'll get stronger on my own and kill people on my own. - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: .... - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Prove it. - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Heck, if he just worked a little harder. - Fri Dec  4 23:38:14 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: He'd be an amazing fighter. - Fri Dec  4 23:38:14 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I do work hard. - Fri Dec  4 23:38:14 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: But he refuses to work with a te-Working hard alone can only get you so far... - Fri Dec  4 23:38:14 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I work incredibly hard, i'm just not as gifted as you. - Fri Dec  4 23:38:14 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Sorry, not everyone can progress as fast as you. - Fri Dec  4 23:38:14 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I'm not very gifted...I work harder than everyone I know... - Fri Dec  4 23:38:14 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Stop being a shit to people that don't. - Fri Dec  4 23:38:14 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I put -all- of my blood, sweat, and tears into working hard. - Fri Dec  4 23:39:05 2015
