<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: She yeah... - Fri Dec  4 02:13:58 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *sigh* - Sat Dec 12 10:45:29 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: As long as you have emotions, you're heart is still warm, Tetsumi. - Sat Dec 12 10:45:29 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I missed out on a lot of things.. - Sat Dec 12 10:46:20 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *looked at his own hands* Many things I missed out on. Time moved on. - Sat Dec 12 10:47:12 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) thinks: Is he still going on? Sigh . . - Sat Dec 12 10:47:12 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: T-These binds . . Hurt . . - Sat Dec 12 10:48:03 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: So what? - Sat Dec 12 10:48:03 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Ouch, I'm sorry 'Mr. I don't love you no more.' - Sat Dec 12 10:48:03 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You hadn't any idea how much you hurt me... - Sat Dec 12 10:48:54 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: You sent me stupid messages. - Sat Dec 12 10:48:54 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: But.. it doesn't m-..A message?... - Sat Dec 12 10:48:54 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Oh... I remembe it faintly... - Sat Dec 12 10:49:45 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: That.. was the last message. - Sat Dec 12 10:49:45 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: . . . - Sat Dec 12 10:49:45 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Go to hell, Ahaha. - Sat Dec 12 10:49:45 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Hell was a nice place. - Sat Dec 12 10:49:45 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Either way, she wouldn't care. - Sat Dec 12 10:50:36 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Love is a lie. - Sat Dec 12 10:50:36 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Never changed.. I'm just upset about a lot of things. - Sat Dec 12 10:57:26 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *mumbles* Though... I may as well go into hiding.. Konoha won't accept me now.. - Sat Dec 12 10:59:08 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: . . . . . - Sat Dec 12 11:00:51 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Trust me.. - Sat Dec 12 11:01:42 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: They saw what I am. - Sat Dec 12 11:01:42 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: They won't accept me back. - Sat Dec 12 11:02:33 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Don't you remember.. - Sat Dec 12 11:02:33 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: As I told you before.. - Sat Dec 12 11:02:33 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I've destroyed their village before. - Sat Dec 12 11:02:33 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Even if I liked it or not. - Sat Dec 12 11:03:24 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: It happened, and cannot be changed now. - Sat Dec 12 11:03:24 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: . . . . - Sat Dec 12 11:05:58 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: So what's your plan? - Sat Dec 12 11:06:49 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: My plan? - Sat Dec 12 11:06:49 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Simple, I'm going to find others like us. - Sat Dec 12 11:06:49 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: And help them out. - Sat Dec 12 11:06:49 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You look as if you need help as well. - Sat Dec 12 11:07:40 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You almost lost control, didn't you? - Sat Dec 12 11:07:40 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I want to set this world right. Hopefully if all of us could.. come together. - Sat Dec 12 11:08:32 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Then... Maybe then we could create peace. - Sat Dec 12 11:09:23 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: . . . . . - Sat Dec 12 11:09:23 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: I'm fine with Kawataro. - Sat Dec 12 11:09:23 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Oh? It didn't seem like it. - Sat Dec 12 11:09:23 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You know... - Sat Dec 12 11:10:14 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: The more chakra you take. - Sat Dec 12 11:10:14 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: The closser you get towards death's door. - Sat Dec 12 11:10:14 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: What do you mean? - Sat Dec 12 11:10:14 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Well... - Sat Dec 12 11:10:14 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: It was the same with me and Shukaku... - Sat Dec 12 11:11:05 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: I think he still takes some of my chakra.. - Sat Dec 12 11:11:05 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: The more chakra you -try- to take. - Sat Dec 12 11:11:05 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: The more of your chakra it takes in return.. - Sat Dec 12 11:11:56 2015
