<br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 02:28:54 2015
She says reaching into her back pouch which looks completely stuffed. She then began to pull out the dress, which nearly exploded after being stuck in such a confined space. She then simply slips it on over her head, and soon she is covered in your a typical maid outfit. A black long sleeve fitting top that expanded outwards to a longe skirt, coating it is a tiny apron wrapped around the waist with a ribbon. On the underside, is the infamous frills that Chikyu showed off to Sanoke in the picture that puffed out the underside of the dress. She then put on a tiny little black headband.

Though, Chikyu spun in the outfit with ease. Though, it was notable her outfit was completely covered in wrinkles from being stuffed in such a space. Not only that, she had managed to put her head band on unevenly. Still, she was mostly a spitting image of a maid.* - Tue Dec  1 09:19:21 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Plus Cezar will be angry. - Tue Dec  1 09:19:21 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ohhh...and Kinaimi Is a raging acholaic. - Tue Dec  1 09:20:12 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Trilliam... - Tue Dec  1 09:20:12 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Sure Kiyo Chan. - Tue Dec  1 09:21:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Wait wait...I should tell him.. - Tue Dec  1 09:21:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: .... - Tue Dec  1 09:21:55 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Tue Dec  1 09:21:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Are you going to? - Tue Dec  1 09:21:55 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah....its...my responsability. - Tue Dec  1 09:21:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Tell him what? - Tue Dec  1 09:21:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Alright. - Tue Dec  1 09:21:55 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Trilliam... - Tue Dec  1 09:21:55 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Come with me for a moment...? - Tue Dec  1 09:22:46 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Okay. - Tue Dec  1 09:22:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ... - Tue Dec  1 09:22:46 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) pulled at the white frilled collar  and sleeves. She then grabbed the front of the dress and lifted it high up thankfully only revealing her pants that she had on from her normal wear. "Gah...I can't imagine people actually working this thing though."

She then turned to Sanoke, her nose flaring and steaming. "OF COURSE! I can't wait to see it all. Hehe..hehe." Her mind going off to a maid dreamland.* - Tue Dec  1 09:26:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo! Mirai, come over here. - Tue Dec  1 09:27:02 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Why? - Tue Dec  1 09:31:18 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ... - Tue Dec  1 09:32:09 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hi Mirai! - Tue Dec  1 09:32:09 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Did you fiance just ask you -why- to come over? - Tue Dec  1 09:32:09 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Chikyu! - Tue Dec  1 09:32:09 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) waves to her in a maid outfit.* - Tue Dec  1 09:32:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: 'Cause I want ya to be by me. - Tue Dec  1 09:33:00 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: She and Sanoke get strained over lots of fights. She takes it quite personal. - Tue Dec  1 09:33:00 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Then come here. - Tue Dec  1 09:33:00 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...but they are engag---....................... - Tue Dec  1 09:33:00 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) pushes Sanoke from behind to go over to Mirai.* - Tue Dec  1 09:33:00 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ..................................... - Tue Dec  1 09:33:52 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I didn't know you were so pussy whipped, Sanoke... - Tue Dec  1 09:33:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Ehh, I'm not pussywhipped. I just make her angry a lot. - Tue Dec  1 09:35:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: C'moon! The gang is all here, I'll even make space for you. - Tue Dec  1 09:35:34 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...how... - Tue Dec  1 09:35:34 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ...... - Tue Dec  1 09:35:34 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Anyways. - Tue Dec  1 09:35:34 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: That just sounds like things aren't great between you.... - Tue Dec  1 09:35:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Eh. She almost left me the other day. - Tue Dec  1 09:35:34 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ... - Tue Dec  1 09:36:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What gives? Ya still angry at me? - Tue Dec  1 09:36:25 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm not angry. - Tue Dec  1 09:37:16 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I just don't feel like it. - Tue Dec  1 09:38:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You can go over there if you want. - Tue Dec  1 09:38:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Hrm. All clear. - Tue Dec  1 09:38:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Side note. To both you and Kiyoko. My office is always open if you guys got ideas or events you want to suggest for sponsoring. - Tue Dec  1 09:38:59 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I've no ideas. - Tue Dec  1 09:38:59 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: It seemed like you had it -- - Tue Dec  1 09:38:59 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ...covered. - Tue Dec  1 09:38:59 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Wow...I just got left over here. - Tue Dec  1 09:38:59 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Now I really feel like a fucking loser. - Tue Dec  1 09:39:50 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I miss Aza......... - Tue Dec  1 09:39:50 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) comes over and grabs Kiyoko by the hand, and attempts to bring her to the new spot where the cool kids hang out.* - Tue Dec  1 09:39:50 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Momura's...swimsuit contest was a good one... put that on a list. - Tue Dec  1 09:41:32 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) begins pushing her pointer fingers together.* - Tue Dec  1 09:42:24 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: This blows... - Tue Dec  1 09:42:24 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: What do you think? @Kiyoko *flashes a happy smile to her* - Tue Dec  1 09:44:57 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Of what? - Tue Dec  1 09:45:48 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: The event ideas, I got maid cafe *flashes off her dress* or a swim suit competition. - Tue Dec  1 09:46:40 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I like both of them. - Tue Dec  1 09:46:40 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ....very....  - Tue Dec  1 09:46:40 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ....hot. - Tue Dec  1 09:47:31 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) blushes. "Yeah very...hot.." <None..of them can know why I want the swim suit competition.>* - Tue Dec  1 09:47:31 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Who is going to be ...wearing them? - Tue Dec  1 09:47:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I was going to plant a bunch of posters for maid hiring, and I assume Sanoke could give out missions for doing it. - Tue Dec  1 09:48:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And who knows. I need to find a place to build all of this stuff. - Tue Dec  1 09:48:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And hrm. . I dunno. I want to have some fun. - Tue Dec  1 09:48:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But if people try to be lame. - Tue Dec  1 09:49:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll make it mandatory. - Tue Dec  1 09:49:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So they have to join. - Tue Dec  1 09:49:13 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ..you should convince Lera. - Tue Dec  1 09:49:13 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Man... I must be getting sick. - Tue Dec  1 09:49:13 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well you would want to show off the male and female shinobi. That way people feel like they're humans and safe, and isn't showing them off a good way to advertise the top shape of our shinobi. - Tue Dec  1 09:50:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: Besides, that one swimsuit. I won't mind seeing all of Suna's girls like that. Hehhee.... - Tue Dec  1 09:50:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. . Then it's settled! I'll try to have things set up once the exams finish. - Tue Dec  1 09:50:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Make sure you guys are there to support. I think this'll be a good tournament. - Tue Dec  1 09:50:56 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: All according to Planno! - Tue Dec  1 09:50:56 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: We shall totally force Lera into both of these. - Tue Dec  1 09:51:47 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hassan's adopted daughter, will surely be a big splash. - Tue Dec  1 09:52:38 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Oh, I don't know...that's mean... would she do it? Maybe you should ask. - Tue Dec  1 09:52:38 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Of course you ask first... <But then, you force them if they won't break down with mere pleasentries> - Tue Dec  1 09:52:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? I leave it up to you, CHikyu!  - Tue Dec  1 09:52:38 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Sounds all good to me, I'll just wait after the exams though. Get a better idea when all of this can happen. You know Lera and her weird times to sleep. - Tue Dec  1 09:54:20 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Mhm. - Tue Dec  1 09:57:45 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: You know, you should join too Kiiyoko. - Tue Dec  1 10:00:19 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Eh... - Tue Dec  1 10:01:10 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I'll probably be wearing a nurses outfit over in the first aid tent. - Tue Dec  1 10:01:10 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: ---Wow that sounded dirty. - Tue Dec  1 10:01:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Wait. . Are these two. . perv-ing? - Tue Dec  1 10:02:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: We won't have a nurses tent, but if you want to walk around in your outfit and be there on call. Then, I guess I can't argue. - Tue Dec  1 10:03:44 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ...why won't we have a nuses tent..... - Tue Dec  1 10:04:35 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: It's a major event..... - Tue Dec  1 10:04:35 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: There has to be a nurses tent. - Tue Dec  1 10:04:35 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Because, I'm hoping nobody gets hurt while sitting down and eating or carrying food. - Tue Dec  1 10:05:26 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: But I guess, we could have a nurses tent. Sanoke, what do you thinkg? - Tue Dec  1 10:05:26 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Yeah you can hope but doesn't mean it will happen. - Tue Dec  1 10:06:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: *it wont happen - Tue Dec  1 10:06:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If Kiyoko says it's necessay, I trust her judgement. It would make sense too. - Tue Dec  1 10:17:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: People sometimes over drink. - Tue Dec  1 10:17:23 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh thats right, Kinami is banned from drinking in all events.... ALL of them. - Tue Dec  1 10:19:05 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hey Lera! - Tue Dec  1 10:19:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hey... - Tue Dec  1 10:20:48 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hm? - Tue Dec  1 10:20:48 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hun...can I talk to alone for a bit...? - Tue Dec  1 10:21:39 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Yeah, of course. - Tue Dec  1 10:21:39 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I just want to get away from here anyway. - Tue Dec  1 10:21:39 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So whatsup? - Tue Dec  1 10:35:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nothing much. Just tryin' to keep the village up and going. So trying to think of activities to host. - Tue Dec  1 10:36:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Some ninja-based. Others just for fun. - Tue Dec  1 10:37:00 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Sanoke. - Tue Dec  1 10:54:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? - Tue Dec  1 10:57:29 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Help me train? - Tue Dec  1 10:59:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You're about the only one who can stand my Ninjutsu. - Tue Dec  1 10:59:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'd love to. But a tad bit busy. - Tue Dec  1 11:00:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How much longer will you be up? - Tue Dec  1 11:00:03 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: A while. - Tue Dec  1 11:01:45 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi. - Tue Dec  1 15:47:37 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hey - Tue Dec  1 15:51:02 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Whatsup? - Tue Dec  1 15:53:36 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) rubbed a corner of her eye. "Little tired, spent all night planning the maid cafe."* - Tue Dec  1 15:54:27 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: MWHAHAHAHAH! I CAN FEEL IT THE POWER OF THE TINSEIGAN! - Tue Dec  1 15:57:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: -omit- - Tue Dec  1 15:57:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hey Paine! - Tue Dec  1 15:59:34 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: hi!! - Tue Dec  1 16:00:25 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: -omit- - Tue Dec  1 16:00:25 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: talking to to many people at once - Tue Dec  1 16:00:25 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: -omit- - Tue Dec  1 16:00:25 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: h-hi...chikyu - Tue Dec  1 16:01:16 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) nods. "I noticed you were missing for awhile, glad to see you back!"* - Tue Dec  1 16:02:08 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: u-umm sorry....i w-was umm..o-on a m-mission - Tue Dec  1 16:02:08 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh really, well then really glad your back. Safe and sound. - Tue Dec  1 16:04:41 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: t-thanks - Tue Dec  1 16:08:57 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: No need for thanks, just being honest. - Tue Dec  1 16:09:48 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) returned the small smile with a big toothy smile.* - Tue Dec  1 16:11:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I'm going to probably take another mission later. Yesterday's mission made me feel real good on the inside. - Tue Dec  1 16:19:12 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: o-oh.. - Tue Dec  1 16:20:03 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: w-what was....umm..i-it a-about? - Tue Dec  1 16:22:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I helped find a woman's precious necklace. - Tue Dec  1 16:22:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: It wasn't anything to hard, but it just reminded me why I like being a shinobi. To help people, especially those in my village. - Tue Dec  1 16:23:28 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: hmm..t-to..help p-people...is..that w-why...umm...o-other people b-become a.....s-shinobi too? - Tue Dec  1 16:25:10 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, Yan told me theres plenty of people who are just selfish or mean. But, I hope a lot of other people do it to help others. - Tue Dec  1 16:26:01 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm...s-same...i o-once umm...k-knew someone whom d-did it for p-peace...but ...umm..w-went around i-it in....a d-different w-way... - Tue Dec  1 16:27:44 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well everyone goes about things in their own way, thats what makes everyone so interesting. You just gotta worry about doing it in a way you'll be happy with. - Tue Dec  1 16:28:35 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm...h-he...uhh...d-did..like umm....p-power...hmm....h-he went about his l-life...around t-that..w-word.. - Tue Dec  1 16:29:26 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: s-seeking something...that a-all of us a-are...to b-blind to see... - Tue Dec  1 16:30:17 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hmm, sounds like a weird guy. - Tue Dec  1 16:31:08 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: y-you see....umm..i b-believe that he....t-thought umm....a-about...not s-seeing...that the g-gezo..is l-laughing....as we w-war against eachother... - Tue Dec  1 16:33:42 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: b-but...i dont t-think...others..b-believed that... - Tue Dec  1 16:34:33 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: hmm i w-wonder.. - Tue Dec  1 16:34:33 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Wouldn't no myself. - Tue Dec  1 16:34:33 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hmmm.... - Tue Dec  1 16:45:39 2015
<br><br><font color=teal>*Shin(Yaori) says: Hello everyone - Tue Dec  1 16:55:02 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hi - Tue Dec  1 16:55:53 2015
<br><br><font color=teal>*Shin(Yaori) says: Good afternoon to you - Tue Dec  1 16:56:44 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm.. - Tue Dec  1 16:56:44 2015
<br><br><font color=teal>*Shin(Yaori) says: Hello Paine - Tue Dec  1 17:01:00 2015
<br><br><font color=teal>*Shin(Yaori) says: INdeed, I've been in and out of the leaf often trying to assist in reconstruction - Tue Dec  1 17:05:16 2015
<br><br><font color=teal>*Shin(Yaori) says: They need all the help they can get - Tue Dec  1 17:05:16 2015
<br><br><font color=teal>*Shin(Yaori) says: But how've you been Paine, I hope you've been well. - Tue Dec  1 17:13:48 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: u-umm.. - Tue Dec  1 17:14:40 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: ive b-been...u-uhh..w-well...ive d-decided to s-stay here...for some time...to h-help...z-zenaki.. - Tue Dec  1 17:15:31 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I - Tue Dec  1 17:25:45 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: We must fight Raiden, for the control of the Earthrealm. - Tue Dec  1 17:25:45 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Bryson. - Tue Dec  1 17:25:45 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: -omit- - Tue Dec  1 17:25:45 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hi Sister, I hope you are well - Tue Dec  1 17:25:45 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: then Raiden shall meet my ......FISTS OF FURRYYYYY - Tue Dec  1 17:25:45 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: -omit- - Tue Dec  1 17:25:45 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: This is the power of the Tinseigan.... It was a pity that I had to take the eys of a byakugan member to obtain..but now I can protect everyone.  - Tue Dec  1 17:30:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: -omit- - Tue Dec  1 17:30:52 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: but...what about my Shingen...my blocks of wind...shall save the day..!!!...not your Tinseigan!!! - Tue Dec  1 17:31:44 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: -omit- - Tue Dec  1 17:31:44 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) "I guess we only have one way to decide this then, Paine." One of her truth seeking balls, come to her hand. She begins to rotate it wildly sending in her sage chakra into, as it grows to a rotating glowing sphere similiar to the level of the Rasen Shuriken. "Lets fight at full power!"

-omit=* - Tue Dec  1 17:34:17 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Koji. - Tue Dec  1 17:35:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm okay. - Tue Dec  1 17:37:42 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) dies and then is reborn because shes ninja jesus.

-omit-* - Tue Dec  1 17:41:07 2015
<br><br><font color=teal>*Shin(Yaori) says: Help Zenaki with what? - Tue Dec  1 17:43:40 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) flies up into the air. "GOLDEN WHEEL REINCARNATION CIRCLET!" A truth seeking orb begins to be flooded with the Tenseigan's chakras. It slowly begins to glow gold, and then suddenly shoots out into a gigantic beam of light. She then brings it down in an instant on Paine. This attack then cuts the earth in half. 

-omit-* - Tue Dec  1 17:43:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm going through a lot. - Tue Dec  1 17:46:14 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You have no idea. - Tue Dec  1 17:47:05 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I just want to help so if there's anything you need let me know. We family so I got you like Unagi Don. - Tue Dec  1 18:06:43 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Good good haha, you know where I be. - Tue Dec  1 18:11:50 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yes in the corner. - Tue Dec  1 18:16:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Have you been able to speak with Kuro? - Tue Dec  1 18:17:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Not really. - Tue Dec  1 18:18:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Personally I think he's good people. - Tue Dec  1 18:18:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Why? - Tue Dec  1 18:18:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Oh he's cool. - Tue Dec  1 18:18:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Sadly, I haven't seen much of him... - Tue Dec  1 18:18:40 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Blue Hiro! - Tue Dec  1 19:35:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sup Green. - Tue Dec  1 19:36:19 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I'm bored... - Tue Dec  1 19:36:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs* Take a nap. - Tue Dec  1 19:37:10 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Boooooo~ - Tue Dec  1 19:37:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Guess you didn't like that idea much. - Tue Dec  1 19:38:01 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Nope~. - Tue Dec  1 19:38:52 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Naps are lame... wait no.. they're awesome but not right now - Tue Dec  1 19:38:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I do enjoy my naps. - Tue Dec  1 19:38:52 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Scuse me!  - Tue Dec  1 20:09:36 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Miss Lera! - Tue Dec  1 20:09:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Huh? - Tue Dec  1 20:12:09 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yes...? - Tue Dec  1 20:12:09 2015
