<br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yes? - Sat Nov  7 01:21:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Mon Nov  9 06:19:18 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hmmm... - Mon Nov  9 06:24:25 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Izanami! - Mon Nov  9 06:26:59 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Mon Nov  9 06:26:59 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: How's training going? - Mon Nov  9 06:29:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Fine I suppose. - Mon Nov  9 06:29:32 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: That's good. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: So awkward. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: She hates me man. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... This is too dull... - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Agreed. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. What to do.. What to do. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You could uh. - Mon Nov  9 06:31:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Train with somone. - Mon Nov  9 06:31:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Speaking of training, I got a variation for the fire shroud technique. *nod* - Mon Nov  9 06:31:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A variation? - Mon Nov  9 06:31:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I altered it...sorta. - Mon Nov  9 06:32:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How? - Mon Nov  9 06:32:06 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I can show you. - Mon Nov  9 06:32:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Well uh..show me? - Mon Nov  9 06:32:06 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Come along. - Mon Nov  9 06:32:06 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Alright! It's people here but hey, someone will see it eventually. - Mon Nov  9 06:32:57 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) wiggled his fingers somewhat as he raised both his arms to about chest level. He'd look towards Izanami and smirk confidently as his chakra began to pool and quake within his network. Flames began to spark around his person as he activated the Fire Shroud technique. A heated blaze encompassing his frame and coating Ivel in a red/orange chakra. 

"Alright! We've got regular fire shroud..But then, after my training I can alter it.."

he said aloud as the flames began to burn brighter and in a more fierce fashion. Soon the flames began to shift in shape, expanding around him as they gained shape and definition. Within seconds the shroud had taken the shape of a Draconic creature, equipped with small horns and claws. It was clear that Ivel was under a bit of stress, but he could maintain it for a large period of time if needed. 

"Ta-da!"* - Mon Nov  9 06:37:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I was going to eventually do that... - Mon Nov  9 06:44:03 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) dispels the cloak of flames and ruffles his hair, it gets pretty dry after such a display. He'd then shrug his shoulders and chuckle to himself. "Flames are usually very wild and unorganized so...I gave it some structure! After I figured out I could shape 'em, I just started messing around until I got this." his head nodding in agreement with himself.* - Mon Nov  9 06:44:03 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: A couple of days..But, I had something different in mind for the finished project. - Mon Nov  9 06:46:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'm going to take it in a different direction. - Mon Nov  9 06:47:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Mon Nov  9 06:47:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A different direction? - Mon Nov  9 06:47:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yeah. - Mon Nov  9 06:47:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I just have this cool idea but. - Mon Nov  9 06:47:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I don't know how i'm going to implement it just yet. - Mon Nov  9 06:48:19 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I might blow up if I mess up maybe, i'll ask dad for guidance. - Mon Nov  9 06:48:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That'd be best.~ - Mon Nov  9 06:50:01 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: But yeah! - Mon Nov  9 06:50:52 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Just train your flames into shapes. - Mon Nov  9 06:51:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Start small. - Mon Nov  9 06:51:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Next thing you know. - Mon Nov  9 06:51:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You could build a whole village out of fire! - Mon Nov  9 06:51:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Nov 10 00:23:02 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yo. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Not really, did you beat that one girl? - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: No. They've all fell silent. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: We both agreed to stop. We where about to put each other into the hospital mutually, heh. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Things where a bit too even, I guess. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh, cool. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Still wan to spar? - Tue Nov 10 00:24:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm... I wouldn't be averse to it- but I'll need to eat after. I've caught a good bit of a breather as is, and the hospital was nice... wait, which girl are you asking if I beat? - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I fought two. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: The darkskined one. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I flattened the Waitress totally with no damage, then someone else stepped up and gave me a really good fight. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Anyway.. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: H-Hmph.. - Tue Nov 10 00:28:09 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) pursed his lips in a curious manner as Mitsunara exclaimed to someone by the name of "Marco". Apparently he questioned her toughness or something and this would be her means of rectifying the statement, however, Ivel didn't plan on going down without a fight. 

Raising his right hand he'd look towards Mitsunara and flex his fingers towards him, a means to usher her forth. 

"Ladies first~"* - Tue Nov 10 00:28:09 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: S-She said she'd spar me. . .and she is fighting him. . . - Tue Nov 10 00:32:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Damn. - Tue Nov 10 00:32:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: Mother fucker what, I thought someone else agreed to fight you. - Tue Nov 10 00:32:25 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) watched with a careful eye as the woman approached. It was clear that she had been training with the sword for a fair amount of time, her movements were smooth and lacked any sort of rigidity. As her arm was raised for the initial stroke, he'd raise his own, unleashing a plume of flame that would fly towards her location, interrupting her strike. The blaze would cut any visuals she had on Ivel, allowing him to leap backwards and establish distance regardles of the outcome of said flame. His hands coming together in a few handseals once he stabilized.

"C'mon, swordswoman!"* - Tue Nov 10 00:34:59 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) began to rub his chin as the flames seemingly did nothing but make her look cool. "I'll have to work on that. It's pretty annoying at this point...Ah well." he thought to himself as she continued to approach, however, with his seals completed he'd usher another technique. A giant ball of flame would spew from his lips as he completed his seals, this one far more potent than the basic flame he had unleashed before. It's capacity for damage far more destructive. 

If she were to simply run through such a flame he wasn't sure if she would escape with her life. Although, it was just a spar and Ivel wasn't cold blooded so he scaled it down enough to injure, but not to kill. If it were to hit that is.* - Tue Nov 10 00:43:31 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) Had performed his jutsu without a hitch, even scaled the damage back a bit just in case it hit her, which it did, but Ivel wasn't expecting it. Not really. And yet, she charged blindly into the flames, roaring like a banshee as the technique literally cooked her. It surely was a sight to see, one that Ivel hadn't seen for a few years atleast. 

Despite injury, despite the gap in strength, she continued forth, gunning for the ten year old with renewed vigor. Her blade struck out, aiming to get one good hit in before it was all over, but Ivel had other plans. Plans that involved finishing this fight without taking a hit. 

Raising his left hand he'd aim to catch the blade, but not before initiating his insurance. The Fire Shroud. A technique that wreathes the user in flames for defensive and offensive purposes, a technique unique to Ivel and his clan members. If he were successful he'd grasp the blade and nod his head a few times. 

"Very tenacious, you've got guts swordswoman! Let's be friends~"* - Tue Nov 10 00:55:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: *drops perks from pocket* - Tue Nov 10 01:03:08 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) //

His fire shroud wasn't so flimsy that the final stroke from a fallen warrior could pierce it, oh no no no. It would hold to face her punch, her strength falling short in regards to his defense. However, as soon as she agreed to be his friend, he quickly chuckled and released his shroud, holding his hand out for her to shake. He was merely a child, almost ignorant to the damage she may have sustained; but he still wanted his hand shake. 

Afterwards he'd raise his right hand as the flames in the surrounding area, and any flames that may have been smoldering upon Mitsunara's skin would quickly disperse into smoke, rising into the air within Sunagakure. 

"This was fun."* - Tue Nov 10 01:06:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yeah... - Tue Nov 10 01:09:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sure... - Tue Nov 10 01:09:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Was.. - Tue Nov 10 01:09:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ... Medicccc. - Tue Nov 10 01:12:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Me? - Tue Nov 10 01:15:56 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Yeah. - Tue Nov 10 01:15:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Why? - Tue Nov 10 01:15:56 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: If I could say why, I wouldn't have said elsewhere. - Tue Nov 10 01:15:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: We can t-talk at my r-restaurant. - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Lead the way? - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Wait. - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Guys. - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: She's injured. - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Call a Medic! - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Uyahh... - Tue Nov 10 01:17:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Do you know where Sensei is/ - Tue Nov 10 01:21:55 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Last I saw her she was in the square, but hey, are you a medic? - Tue Nov 10 01:21:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ....Ugah... - Tue Nov 10 01:21:55 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm not. Sorry. But uh, what's the injury? - Tue Nov 10 01:22:46 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: ...Burns. - Tue Nov 10 01:22:46 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Tue Nov 10 01:23:37 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I recommend getting a water release user to cool her until a medic arrives. - Tue Nov 10 01:23:37 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Or at least an Earth User who can make mud. - Tue Nov 10 01:23:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: ..Not.. the fucking.. priest. - Tue Nov 10 01:24:28 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Your gonna see jesus when he's done with that ass -Omit- - Tue Nov 10 01:25:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: If you ever decide at some point to drop, - Tue Nov 10 01:25:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Drop. - Tue Nov 10 01:25:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: But make sure to stand up at some point. - Tue Nov 10 01:25:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: And allow future people to stand up. - Tue Nov 10 01:25:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ..Are ... you... - Tue Nov 10 01:26:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Fucking... - Tue Nov 10 01:26:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Singing? - Tue Nov 10 01:26:11 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Tue Nov 10 01:26:11 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Nope? - Tue Nov 10 01:26:11 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Should I sing? - Tue Nov 10 01:27:02 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I think I can rap too. - Tue Nov 10 01:27:53 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: N-no.. - Tue Nov 10 01:28:44 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Ok. - Tue Nov 10 01:28:44 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I was told by a chakra paper I can use Earth. - Tue Nov 10 01:28:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ..What.. does any of this.. have to do.. - Tue Nov 10 01:28:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: With anything. - Tue Nov 10 01:28:44 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Just a side topic, ma'am. - Tue Nov 10 01:29:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 01:29:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I can kick him throw a wall if you'd like. - Tue Nov 10 01:29:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Can you take her to the hospital, Shira? - Tue Nov 10 01:33:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Uhh. - Tue Nov 10 01:39:50 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I don't know, if random Medic over here wants to give out more healing things, then maybe. - Tue Nov 10 01:40:41 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 01:40:41 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What's your name, lady? - Tue Nov 10 01:42:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...? I'm a guy and it's Ai.. - Tue Nov 10 01:42:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Look like a girl, sorry. - Tue Nov 10 01:42:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Umm. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Sure. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Let's head somewhere else then. . . - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Why not here? - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Too many people here. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What that mean? - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Meaning. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I don't plan to reveal what I can do to everyone. - Tue Nov 10 01:44:06 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: That's boring. - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: We're all friends here. - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Not like anyone's going to turn evil and kill us all! - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: Why the fuck you lyin'... why you always lyin'..? - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -omit- - Tue Nov 10 01:45:48 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I'm already evil. - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: -omit- - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You couldn't evil your way out of a robbery, girl~ - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hahaha, that was funny. - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: Mental Note: I'm Hilarious - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -omit- - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *still taps that ass* - Tue Nov 10 01:47:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: *taps them d - Tue Nov 10 01:47:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: -omit- - Tue Nov 10 01:47:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hey - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hey Mizora* - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Then nevermind. - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Don't be like that~ - Tue Nov 10 01:48:22 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Some things are better left unseen. - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Quite the spar. .  - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Besides, i'll probably get mad if we go fight out in the distance and it's not a good fight. - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi.. - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'm pretty, 'hot headed". Bwahahaha. - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Boy. .  - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Something wrong? - Tue Nov 10 01:49:13 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I'm pleading with you, that we do this elsewhere. - Tue Nov 10 01:50:04 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: C'mon! What you gonna do? Blow up the arena or something? - Tue Nov 10 01:50:04 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: No.. I'm fine. - Tue Nov 10 01:50:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: He's prolly just.. - Tue Nov 10 01:50:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Bein secretive. - Tue Nov 10 01:50:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: About his moves n' shit. - Tue Nov 10 01:51:47 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Man, for what. - Tue Nov 10 01:52:38 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: It all burns the same. - Tue Nov 10 01:52:38 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 01:52:38 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) Spins in a circle, he just a young rich nigga enjoying life. * - Tue Nov 10 01:52:38 2015
<br><br><font color=teal>*Hejjihoggu za, Sonikku (Malamalajong) thinks: Where are the chillidogs?! - Tue Nov 10 01:54:20 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, if you say so then! - Tue Nov 10 01:54:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ...Mrm. - Tue Nov 10 01:54:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo, Chikyu. - Tue Nov 10 01:55:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sup? - Tue Nov 10 01:55:12 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) Looked towards Aza and chuckled lightly to himself, his right hand raising him mischevious gesture. "I can't say the same about you, bwahahahahah." * - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: Fufufufu. - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -omit- - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ah... Hey Akimora. - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Losing interest... - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Whats up? - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Nothing much, just tired. - Tue Nov 10 01:56:54 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Perhaps if I continue to ask, everyone will leave and I can do it here. - Tue Nov 10 01:56:54 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I suppose so. - Tue Nov 10 01:58:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Oy vey... - Tue Nov 10 01:58:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 01:59:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Well? - Tue Nov 10 01:59:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Nah - Tue Nov 10 02:01:10 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I see. . . - Tue Nov 10 02:01:10 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Back - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: To - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Gimme... a little while - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: The - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Past! - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .Yeah? - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Trying to fight a girl after she was just injured? - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: For shame! - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ugh.. - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yepyepyep. - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You fiend! - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Fiendfiendfiend. - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) whispers: This is so fun. - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I suggest you both leave me alone. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: #Yep. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Shira(Osmanesanogo) whispers: Yep. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hurry, women! Run before he attacks you in a blind fury! His lust for death holds no bounds! - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: ...He even plans on attacking children!  - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .. Yo. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: No bounds! No bounds! - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Marco. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Jiki! Hurry, alert the elite guards! - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Still doubt my durability? - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Shishishi. - Tue Nov 10 02:05:26 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Alert alert! - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And.. yo.. guys. Stop making fun of the guy. - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'll just take 'm on... - Tue Nov 10 02:06:17 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: What... did I walk into?.. - Tue Nov 10 02:06:17 2015
