<br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo - Sat Oct  3 16:09:23 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Will you please tell me? - Sun Oct  4 00:03:50 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Nope. - Sun Oct  4 00:03:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Makes sense. - Sun Oct  4 00:03:50 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Sun Oct  4 00:04:41 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I can't pay you the same amount as that person, but I don't want to die either. - Sun Oct  4 00:04:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Then kill me. - Sun Oct  4 00:04:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: It's quite simple. - Sun Oct  4 00:04:41 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: And you think I'm able to do that? - Sun Oct  4 00:04:41 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Taiga. . . - Sun Oct  4 00:04:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: No. - Sun Oct  4 00:05:32 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: But it's a solution. - Sun Oct  4 00:05:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Are there other solutions that lead to me not dying? - Sun Oct  4 00:05:32 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Nope.  - Sun Oct  4 00:06:24 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: It's a cold world, sometimes. - Sun Oct  4 00:06:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I don't like these chances. - Sun Oct  4 00:06:24 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Probably why you came to such a hot village...Bwahahaha. - Sun Oct  4 00:06:24 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) thinks: Mental Note: I'm hilarious. - Sun Oct  4 00:07:15 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Was on standby just for the fact that he thought Taiga had this, but he and his clone would be ready if needed.* - Sun Oct  4 00:13:13 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ... - Sun Oct  4 00:17:29 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Oh, such a confrontaion going about... I should move out of the way - Sun Oct  4 00:27:44 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Seeing how everything turned south, he would freeze, making his clone do the same. Though, he would mutter a bit, "Well this blows, doesn't it." putting his hands into his pockets to show a sign of good faith that he had no drive to attack.

Once he had done this, he would leave his clone on standby, though same with the clone, it wouldn't move. He would simply bide his time to when he would be able to help Taiga out.* - Sun Oct  4 00:43:56 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Just wants to know what the hell was with the look Baen threw him before he left.* - Sun Oct  4 00:56:44 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Snapping back to reality, like an eminem song, he would quickly look to Taiga, realizing how badly he was hurt. Keeping his clone here, he would quickly look for one of the few medics he knew were scattered about. 

Catching sight of the weird one who was part of his mission to spar the kazekage, he would quickly run to grab him.* - Sun Oct  4 00:58:27 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What's going on? - Sun Oct  4 00:59:18 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Sun Oct  4 00:59:18 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . This hurts. - Sun Oct  4 00:59:18 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) doj's Elon.* - Sun Oct  4 01:00:09 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Thank you. - Sun Oct  4 01:02:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Another attack? - Sun Oct  4 01:07:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good thing I instilled a buddy system. - Sun Oct  4 01:07:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Somebody came for my head. .  - Sun Oct  4 01:08:41 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: But let me live because I was too weak? - Sun Oct  4 01:08:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I heard commotion from my office. - Sun Oct  4 01:08:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No casualties, right? - Sun Oct  4 01:09:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Taiga. . .Don't ever do that again. Know your enemy before wrecklessly chargin' in. - Sun Oct  4 01:09:32 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ... - Sun Oct  4 01:09:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I was trying not to act recklesly, but he got so close up to me the entire time. - Sun Oct  4 01:10:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That's new. - Sun Oct  4 01:10:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: At least I know next time. . Close-range is a no-go. - Sun Oct  4 01:11:15 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: But. .  I have to thank my weakness huh? - Sun Oct  4 01:12:06 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Being weak saved me for now. - Sun Oct  4 01:12:06 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Being weak got you in that mess. - Sun Oct  4 01:12:06 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Can't deny that. - Sun Oct  4 01:12:06 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: No casualties... just a injured ninja - Sun Oct  4 01:12:06 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good. - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tend to the injured Bryson. - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: This was Konoha's doing. - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Harada, are you hiding something? - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Because Konoha wants you. - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Not that I know of. - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Why do they want you, a genin, so badly? - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: As I said, I have a worldwide bounty on my head. - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Is anyone else injured? - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Even so... - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Because of these eyes of mine. - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What's wrong with your eyes? - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: They arent red or white. - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You just have a weird cold. - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I don't know honestly. I can see the chakra system, that's all I know. - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Meh, that's nothing. - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Your eyes arent important. - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You probably got one of those demons inside ya. - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Demons? - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That's what it is I bet. - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: YEah. - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Must be a doujutsu like the others - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Demons exist? - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: He specifically came for the eyes. - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You should do some demon training. - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: 50 pushups. - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And yell at yourself for 2 hours every day. - Sun Oct  4 01:15:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  That sounds like normal training and some depressing stuff. - Sun Oct  4 01:15:31 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: The red eyed people, the white eyed people, and now the purple eyed people - Sun Oct  4 01:15:31 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You gotta yell at yourself. - Sun Oct  4 01:15:31 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: To keep your demon scared of you. - Sun Oct  4 01:15:31 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I can give you a check up if you want - Sun Oct  4 01:16:22 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: But if it can hear me yell at myself then it can hear this conversation and then it'll know I'm doing it because somebody told me. - Sun Oct  4 01:16:22 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So it wouldn't get scared. - Sun Oct  4 01:16:22 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No. - Sun Oct  4 01:16:22 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You need to be intimidating. - Sun Oct  4 01:16:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mr. Hassan. Not to interrupt. - Sun Oct  4 01:16:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But can I get a mission for Mirai?  - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Going to be duo. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: For what? - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: A general mission? - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I dunno. Any mission. She's a shinobi, needs some experience. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: A rookie shinobi. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Konohagakure wants me for my eyes, as the bounty is made for people with these eyes. I'm not the only one after all. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Rookie? - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Damn.. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Go scout the border or the capital. - Sun Oct  4 01:18:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: For any more hostile individuals. - Sun Oct  4 01:18:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That includes terrorists. - Sun Oct  4 01:18:56 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: hmm well i will be here if people need me - Sun Oct  4 01:18:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You heard that, Mirai? - Sun Oct  4 01:19:47 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Sun Oct  4 01:23:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Have any of you seen Yan? - Sun Oct  4 01:24:03 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Nah. - Sun Oct  4 01:24:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Would any of you happen to know any lightning jutsu. - Sun Oct  4 01:29:10 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well Im going to read my bible in peace... - Sun Oct  4 01:30:01 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Yo.... - Sun Oct  4 01:31:44 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: So this is where all the Kiri-boys and girls went... - Sun Oct  4 01:31:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sun Oct  4 01:31:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. The heck are you doing here? - Sun Oct  4 01:31:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Thought you were a Kiri-nin. - Sun Oct  4 01:31:44 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: I was. - Sun Oct  4 01:32:35 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Place got boring. - Sun Oct  4 01:32:35 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Since y'know...everyone left. - Sun Oct  4 01:32:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So you just retired or something? - Sun Oct  4 01:32:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . Eh. I blame Koeki. - Sun Oct  4 01:32:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: She's a pretty shit kage, man. - Sun Oct  4 01:32:35 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Yeah... - Sun Oct  4 01:32:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Like wow. I didn't think she could be that bad. - Sun Oct  4 01:33:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It was the apathy that ticked me off. - Sun Oct  4 01:33:26 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Good person. Just not fit for a leader though. - Sun Oct  4 01:33:26 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Gave no fucks, walked back into the village.* - Sun Oct  4 01:42:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What does 'authority' have to do with it? - Sun Oct  4 02:41:42 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Good question. - Sun Oct  4 02:41:42 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'm unsure of the answer. - Sun Oct  4 02:42:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Then why cite that as a reason? - Sun Oct  4 02:42:33 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Because it's the reason Violet gave me for her decision of coming here. - Sun Oct  4 02:42:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sun Oct  4 02:43:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Then I'll wait for sleeping beauty, apparently. - Sun Oct  4 02:44:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And. - Sun Oct  4 02:47:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: She left without Koeki's permission? - Sun Oct  4 02:47:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hello. . ? - Sun Oct  4 02:48:32 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: We left with permission... - Sun Oct  4 02:51:56 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Raised his eyebrow a bit looking to Ko, "What's up?"* - Sun Oct  4 02:52:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, that's not good. - Sun Oct  4 02:53:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Even if Koeki is a bad kage. .. A shinobi isn't allowed to leave without permission. - Sun Oct  4 02:53:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: My name is and nver was "Ko" or "Keiko" now. Got it? - Sun Oct  4 02:53:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Sun Oct  4 02:53:39 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: She -gave- us permission. - Sun Oct  4 02:53:39 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: To come to Sunagakure. - Sun Oct  4 02:54:30 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: . . . . . . . - Sun Oct  4 02:54:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh good. - Sun Oct  4 02:54:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright. Anywho, why in prison, though? - Sun Oct  4 02:54:30 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: We tried to walk in. - Sun Oct  4 02:54:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ah. I'd let you all out, but I doubt it's within my power. - Sun Oct  4 02:55:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Never is...and never was, Ko or Keiko...is what I meant. - Sun Oct  4 02:55:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Don't want anyone to know those names. - Sun Oct  4 02:55:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: I can still use those travel papers in the future. - Sun Oct  4 02:56:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: They were very expensive and those aren't easy to get. - Sun Oct  4 02:56:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Anyway. - Sun Oct  4 02:57:04 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Heh. . . - Sun Oct  4 02:57:04 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well, anyway. . . - Sun Oct  4 02:58:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Back so soon? - Sun Oct  4 02:58:46 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: yep. - Sun Oct  4 02:58:46 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: In case you're wondering, I'm not planning on going to Konoha. I was only Hokage because dickhead Erebus forced me to be his figurehead. - Sun Oct  4 02:58:46 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: I assume no need to hide anymore? - Sun Oct  4 02:58:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That was quick. I dunno, you seem at edge. - Sun Oct  4 02:59:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anything wrong? - Sun Oct  4 02:59:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Nope. No need. - Sun Oct  4 02:59:37 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm not on edge just not interested in speaking to anyone from Kirigakure. - Sun Oct  4 02:59:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Totally at edge. - Sun Oct  4 02:59:37 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I see. - Sun Oct  4 03:00:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: --Wait. Including me?-- Wait, nah. You're already talking to me. - Sun Oct  4 03:00:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Maybe. - Sun Oct  4 03:00:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well. That's good. - Sun Oct  4 03:00:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If it means anything. Those two that just came in were shinobi after the eye hunt had been eradicated. - Sun Oct  4 03:00:28 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Shrugging a bit he would simply say to her, "Well what are you going to do now?"* - Sun Oct  4 03:01:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Travel. - Sun Oct  4 03:02:11 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Anyone who serves that village is scum to me. - Sun Oct  4 03:02:11 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Save it. - Sun Oct  4 03:02:11 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh. . . - Sun Oct  4 03:02:11 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Really? - Sun Oct  4 03:02:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What ya thought of the mission? - Sun Oct  4 03:02:11 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: So I guess she really will be leaving at one point. . . - Sun Oct  4 03:02:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Told someone I would. With them. - Sun Oct  4 03:02:11 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: O-oh. . . - Sun Oct  4 03:03:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was stressed. But I did promise. - Sun Oct  4 03:03:02 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I see. . . - Sun Oct  4 03:03:02 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Have fun I guess. . .? - Sun Oct  4 03:03:02 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: I can't really tell her not to go.  - Sun Oct  4 03:03:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. Try not to cry too hard. - Sun Oct  4 03:03:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'll be checking your wrists. - Sun Oct  4 03:03:53 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh, funny. - Sun Oct  4 03:03:53 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) does a mocking sort of laugh.* - Sun Oct  4 03:03:53 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Don't try to miss my anoyance too much. - Sun Oct  4 03:03:53 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It was okay. - Sun Oct  4 03:03:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Okay? That mission stunk. I only took it 'cause I knew you weren't ready for a real ninja missions. - Sun Oct  4 03:05:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I haven't been able to talk without guarding my mouth in about...a month or two. - Sun Oct  4 03:05:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm gonna punch. . .so many....things..... - Sun Oct  4 03:05:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? - Sun Oct  4 03:05:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Like? - Sun Oct  4 03:05:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You know as much about me as you do about sex. - Sun Oct  4 03:06:27 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Please. - Sun Oct  4 03:06:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .  - Sun Oct  4 03:06:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Don't let the turtle shell fool you. - Sun Oct  4 03:07:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I heard you're  a quick pumper. - Sun Oct  4 03:07:18 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) thinks: What the hell are those two even talking about? - Sun Oct  4 03:07:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*<<>>*> You heard wrong. - Sun Oct  4 03:07:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I've heard all about your shortcomings. - Sun Oct  4 03:07:18 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) thinks: Kirigakure ninja.... - Sun Oct  4 03:07:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Can't even get it up. - Sun Oct  4 03:07:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I was the man back in Kir-- - Sun Oct  4 03:07:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Vermin. - Sun Oct  4 03:07:18 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well then. - Sun Oct  4 03:08:09 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: When are you leaving to go traveling? - Sun Oct  4 03:08:09 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: ------------------ - Sun Oct  4 03:08:09 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: You have a hard body? - Sun Oct  4 03:08:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .  - Sun Oct  4 03:09:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. That was meant to like. . Y'know.-- Yeah! My body is pretty tough too. - Sun Oct  4 03:09:00 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: I wonder if it's harder than my own body. - Sun Oct  4 03:09:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mhm. - Sun Oct  4 03:09:00 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Do you want to trade punches and test? - Sun Oct  4 03:09:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I once tanked like a Goukakyuu straight up. - Sun Oct  4 03:09:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sun Oct  4 03:09:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. - Sun Oct  4 03:09:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I dunno. - Sun Oct  4 03:09:52 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: You're free to do whatever you want. - Sun Oct  4 03:09:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Hopefully not too soon. - Sun Oct  4 03:09:52 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: I just want to see the effects of my training. - Sun Oct  4 03:09:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: We'll see. - Sun Oct  4 03:09:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Mhm. - Sun Oct  4 03:09:52 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Ah.... - Sun Oct  4 03:09:52 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: I see. - Sun Oct  4 03:09:52 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Sorry if I was bothering you. - Sun Oct  4 03:09:52 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) thinks: I miss Tategama. - Sun Oct  4 03:09:52 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) thinks: And Chiyari. - Sun Oct  4 03:09:52 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Sighing a bit he would begin to stretch his arms as a show that he had been still for too long, "Well, now that you're finally free to do what you please, maybe you'll actually have something you want to do?" pausing he would add in, "Or do I actually need to throw some suggestions out this time?"* - Sun Oct  4 03:11:34 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'll be honest. Really honest. - Sun Oct  4 03:12:25 2015
