<br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) extends his hand anyway.* - Tue Dec  8 05:42:11 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh, in this day and age. You never know. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I'm not technically part of this village. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: And, You tried to run from teaching me. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Abra. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: So, you can do the work. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I swear if yo d ont not help bring in these fish. - Thu Dec 10 02:57:29 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Did I tell you how my great grandfather died when his apple exploded in his mouth? Tragic. - Thu Dec 10 02:57:29 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Oh. - Thu Dec 10 02:59:12 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Shit, thanks. - Thu Dec 10 02:59:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: A'ight...have fun with your....fish? - Thu Dec 10 03:00:03 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Yo, Trill. - Thu Dec 10 03:06:01 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Let's go get to that teaching and learning fam. - Thu Dec 10 03:06:01 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Sounds good here is your reward. - Thu Dec 10 03:06:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Really? - Thu Dec 10 03:07:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Thank you. - Thu Dec 10 03:07:44 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I'm sure Paine can help you with Taijutsu. - Thu Dec 10 03:07:44 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Right? - Thu Dec 10 03:07:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Was there anything worth reporting? - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Guess I don't need to go after all. - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I know my worries were over nothing haha. - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: the v-villagers...are m-more umm...f-frendly that k-kiri.... - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Yo. . .Trill. - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: I don't know who Paine is. - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Let's get to work! - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: The female with the hat over there. - Thu Dec 10 03:09:26 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Tha'ts good news, then thank you Paine. I appreciate your help mySister. - Thu Dec 10 03:09:26 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: Oh. - Thu Dec 10 03:10:17 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: umm..n-no...u-uhh...problem.... - Thu Dec 10 03:10:17 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Trill, man come on. - Thu Dec 10 03:11:08 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: hwat you talking about abra show me the move i taught you lst time. - Thu Dec 10 03:12:00 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: is...t-there umm...a-anything e-else i can u-umm...d-do for y-you? - Thu Dec 10 03:12:51 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Man, you said if she said it was okay you would teach me other stuff! - Thu Dec 10 03:12:51 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: So c'mon man. - Thu Dec 10 03:13:42 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Not at the moment, rest up for now. - Thu Dec 10 03:15:24 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Simply takes the scroll, "Thanks."* - Thu Dec 10 03:17:07 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: .. - Thu Dec 10 03:20:32 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Sighing softly, he'd look to the scroll deciding it was time to reach it and look it over seeing as he was told it was the second part of the other jutsu he had learned. Looking at it he'd simply nod, taking in all of the information he had seen, and deciding that it was rather easy to do. Once he had finished the scroll he'd toss it in his bag, "Yo, that one seems too easy."* - Thu Dec 10 03:22:14 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hahhh.... - Thu Dec 10 03:22:14 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Doing another chuunins at some point Koji...? - Thu Dec 10 03:23:05 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: The key word in  that sentece was seems. - Thu Dec 10 03:23:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yep. - Thu Dec 10 03:23:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hopefully we'll get some villages in. - Thu Dec 10 03:23:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Righto...I'll have to actually take part this time. - Thu Dec 10 03:23:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: About time I ranked up. - Thu Dec 10 03:23:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mhm, i'm keeping the robes warm for ya. - Thu Dec 10 03:24:48 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: The robes? - Thu Dec 10 03:24:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Just a joke haha. - Thu Dec 10 03:25:39 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: A bad one apparently.... - Thu Dec 10 03:26:30 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Uh huh... - Thu Dec 10 03:26:30 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I should go train some. - Thu Dec 10 03:28:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I'll be off. - Thu Dec 10 03:28:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Take it easy Kuro. - Thu Dec 10 03:29:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Be safe fam. - Thu Dec 10 03:29:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: They attacked our units stationed there but it was resolved. - Thu Dec 10 03:34:11 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What was the reason behind the tension? - Thu Dec 10 03:35:02 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: They wanted freedom but Sanoke felt they went about it the wrong way. So, he asked the leaders of the ursurp to leave. - Thu Dec 10 03:38:27 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: And what happened afterwards? - Thu Dec 10 03:38:27 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: They didn't like that and attacked the stationed units there. So, then Suna marched there. Once stationed we asked again to stop. - Thu Dec 10 03:40:09 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I see..Such a shame. - Thu Dec 10 03:41:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What's the status of Kumogakure right now? - Thu Dec 10 03:41:52 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Evening. - Thu Dec 10 10:54:30 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hello. - Thu Dec 10 10:54:30 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: How are you? - Thu Dec 10 11:07:18 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: fine - Thu Dec 10 11:08:09 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I see. And the life of a chunnin. . .Exciting? - Thu Dec 10 11:20:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: the same. - Thu Dec 10 11:20:06 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Tragic.. - Thu Dec 10 11:21:48 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'd have expected greater duties. - Thu Dec 10 11:21:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: mhm - Thu Dec 10 11:22:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: What are you two talking about? - Thu Dec 10 18:03:44 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: ... - Thu Dec 10 18:04:35 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Well...I'll let Paine tell you if she wants. - Thu Dec 10 18:12:16 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Tell me what? - Thu Dec 10 18:26:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hey, Koji-san. Do you have any missions I can complete? - Thu Dec 10 18:37:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Of course, Iza come my way. - Thu Dec 10 18:39:34 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: DEEZ SHOES NEED SCRUBBIN-OMIT- - Thu Dec 10 18:40:25 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Iza wont you come his waaaaaaaay~ - Thu Dec 10 18:40:25 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Thu Dec 10 18:40:25 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Yes, though we didn't get a count of the number of people joining. - Thu Dec 10 18:48:06 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Everyone was sleeping at the time. - Thu Dec 10 18:48:06 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: She mentioned that woman you told me about Koji. - Thu Dec 10 18:48:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, what woman? And I should get a count of whose all joining as well. - Thu Dec 10 18:48:57 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: The woman with eyes like ours. - Thu Dec 10 18:48:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Iza, one more thing! Could you accompany Paine on her visit to Kiri? - Thu Dec 10 18:49:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *pauses* - Thu Dec 10 18:50:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The little girl that visited here sometime ago? - Thu Dec 10 18:50:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mhm. - Thu Dec 10 18:50:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: The one who was kicked out of the village. - Thu Dec 10 18:50:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Which one do you want me to do first?  - Thu Dec 10 18:50:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The slums, Paine is taking a breather at the moment. - Thu Dec 10 18:51:31 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I see, would she like her returned? - Thu Dec 10 18:51:31 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm not sure. Maybe she will send her here. - Thu Dec 10 18:51:31 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Anywho was just informing you. - Thu Dec 10 18:52:22 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: We should greet her together. I offered her our audience but Sanoke called me in a huff. - Thu Dec 10 18:52:22 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I suppose. - Thu Dec 10 18:54:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mirai and Chikyu, can you guys collect all the names wanting to compete in the eams? - Thu Dec 10 18:59:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: exams* - Thu Dec 10 19:00:03 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You want us to go back? - Thu Dec 10 19:01:45 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: No no haha. Here in the motherlands. - Thu Dec 10 19:02:36 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Well, Paine and I wish to do it. - Thu Dec 10 19:03:28 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Momura will probably wish to as well. I'll go ask the others as I go on with my day. - Thu Dec 10 19:03:28 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Should I participate? . . .No, not strong enough yet. - Thu Dec 10 19:08:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I'll participate. - Thu Dec 10 19:15:24 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Should be some good excercise... - Thu Dec 10 19:23:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Chikyu, Bryson? - Thu Dec 10 19:23:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Want to go to Kiri? - Thu Dec 10 19:23:56 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Me... to Kiri? - Thu Dec 10 19:24:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: For a mission. - Thu Dec 10 19:25:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh, Well sure why not? - Thu Dec 10 19:26:30 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I'm feeling exhausted, the last trip took out my energy. - Thu Dec 10 19:27:21 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) says: You guys wait for Izanami. That way you have distance, close, and healer.  - Thu Dec 10 19:29:55 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) thinks: I guess I can fulfill Hassan's long dream of having a huge tournament. - Thu Dec 10 19:30:46 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: *yawn* - Thu Dec 10 19:31:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm done. - Thu Dec 10 19:47:50 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) says: Just in time! - Thu Dec 10 19:48:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Anything else? - Thu Dec 10 19:48:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Thu Dec 10 19:48:41 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) says: Bryson, Mirai, and you are heading out to Kiri. See if they're interested in join the tournament. Let them know Konohagakure has sent their blessing as well. - Thu Dec 10 19:49:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Very well - Thu Dec 10 19:50:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Thu Dec 10 19:50:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay. - Thu Dec 10 19:50:24 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) says: I understand Hassan and you were close and had special arrangements in  the village. I wish to tell you I'm okay with those proceedings. - Thu Dec 10 20:09:10 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Was I close with him...? Oh.. - Thu Dec 10 20:10:01 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Uhm... Alright.  - Thu Dec 10 20:10:01 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Koji. I'm heading to Konoha to make good on a promise. - Thu Dec 10 20:11:44 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) says: However, when you receive volunteers I would like a record of those that agree to the terms. - Thu Dec 10 20:11:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I'll be back later. - Thu Dec 10 20:11:44 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) says: Sounds good Lera. Be safe. - Thu Dec 10 20:12:35 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Volunteers..? - Thu Dec 10 20:14:17 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) head out, "I'll be back later."* - Thu Dec 10 20:15:08 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Ah. Where I want? Not that it matters. I'm going to Konoha. - Thu Dec 10 20:25:23 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I'll be back. - Thu Dec 10 20:25:23 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Trill would hate me if I skipped out on his teaching. - Thu Dec 10 20:25:23 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) says: Sounds good be safe, homie. - Thu Dec 10 20:26:14 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: That can counter that ability. - Thu Dec 10 20:28:48 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I need it... - Thu Dec 10 20:29:39 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Why not both? - Thu Dec 10 20:29:39 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Have you ever accessed your elements? - Thu Dec 10 20:30:30 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Well if your willing to teach both I will call you sensei~ - Thu Dec 10 20:30:30 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Not really... I been focused on my genjutsu - Thu Dec 10 20:30:30 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Alright then. - Thu Dec 10 20:30:30 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: We'll start with Raiton then, since that hurts the most. - Thu Dec 10 20:31:21 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Sighing lightly, having come from Sunagakure, his hands in his pockets, his eyes would first go to Rias, a memory of her offering for him to be part of the village coming into his head. Shaking this off, he'd look to Lera, hearing something about teaching.

Moving back to the fence, he'd lean against it, watching curiously.* - Thu Dec 10 20:31:21 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Tch. Trill never does stuff like this. - Thu Dec 10 20:44:09 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Tch. . .what are the odds she'll teach me. . . - Thu Dec 10 21:05:29 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Hrm..? Ah.... someone is teaching the Hokage... I see... Mrm. - Thu Dec 10 21:06:20 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Hey, Ah. . .Lera? Yea. . .that's it. . .perhaps when you're done teaching her, I could talk you into helping me out? Trilliam isn't going fast enough. .  - Thu Dec 10 21:07:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh...I guess? - Thu Dec 10 21:07:12 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Oh. . .sweet, thanks. - Thu Dec 10 21:08:03 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ok, and Akechi... no matter what rank or age you are you never stop learning - Thu Dec 10 21:11:28 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah. Theres always something new. - Thu Dec 10 21:11:28 2015
<br><br><font color=teal>*Rias(LionHunter) says: Also congradulations on making Chuunin - Thu Dec 10 21:11:28 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Hrm? Of cou- Huh? Ah.... what? I'm a Genin.. Oh! You're speaking to this Miss Lera, of course. - Thu Dec 10 21:12:19 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Fuuinjutsu huh...been meaning to pick that up...when I can be bothered. - Thu Dec 10 21:13:10 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Thu Dec 10 21:13:10 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Mrm... I'm a Summoner, mhrm. - Thu Dec 10 21:13:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Oh? So am I. - Thu Dec 10 21:13:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Kind of. - Thu Dec 10 21:14:01 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah..? Hrm? - Thu Dec 10 21:14:01 2015
<br><br><font color=teal>*Rias(LionHunter) says: No... im not Akechi - Thu Dec 10 21:14:01 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ...Mhm...I'm just a lil' ol' genin. - Thu Dec 10 21:14:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: No chuunin for me. - Thu Dec 10 21:14:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im refering to you Akechi... - Thu Dec 10 21:14:52 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: She made some random girl a chuunin?  - Thu Dec 10 21:14:52 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Tch. Weird. - Thu Dec 10 21:15:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: Nope... you have a recconmondaion from Osuda. Also I need more ranks - Thu Dec 10 21:15:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: That or do you wish to actually test your skills? - Thu Dec 10 21:17:26 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well you can test that on the upcoming chuunin exams - Thu Dec 10 21:20:00 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.... as you say, Miss Hokage... - Thu Dec 10 21:20:51 2015
<br><br><font color=teal>*Rias(LionHunter) says: It will be held in Sunagakure - Thu Dec 10 21:20:51 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhm...I'll be taking part~ - Thu Dec 10 21:21:42 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. I see... - Thu Dec 10 21:21:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Be gentle with me~ - Thu Dec 10 21:21:42 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah... - Thu Dec 10 21:22:33 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Thu Dec 10 21:22:33 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: What kind of weird village did I walk into? - Thu Dec 10 21:23:24 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Heh - Thu Dec 10 21:25:07 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch. . .Everyone is working but me. . . - Thu Dec 10 21:26:49 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Should change that. . . - Thu Dec 10 21:26:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Thu Dec 10 21:51:34 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Training. - Thu Dec 10 21:54:59 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Lera is helping her out. - Thu Dec 10 21:54:59 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Sighed softly, different thoughts going through his head.* - Thu Dec 10 21:55:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah. - Thu Dec 10 21:55:50 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Damn, I need to go chill or something. Feeling off today. - Thu Dec 10 21:55:50 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. huff.. you big.. Huff... - Thu Dec 10 21:55:50 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: MEANIE! - Thu Dec 10 21:55:50 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Thu Dec 10 21:55:50 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Suggesting me for Chuunin! Huff! - Thu Dec 10 21:55:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Thu Dec 10 21:55:50 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Oh, him. - Thu Dec 10 21:55:50 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: I be they'd be good together. - Thu Dec 10 21:56:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahaha. - Thu Dec 10 21:56:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should be happy. - Thu Dec 10 21:56:41 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Rahh! I'm nowhere near ready for a Chuunin exam! - Thu Dec 10 21:56:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If you don't feel you're ready. Don't take it.. - Thu Dec 10 21:57:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm sure you'll do fine. - Thu Dec 10 21:57:32 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Huff!  - Thu Dec 10 21:58:24 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Turning down such.. huff.. an option... huff... is not an option! - Thu Dec 10 21:58:24 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Huff! - Thu Dec 10 21:58:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's the spirit.~ - Thu Dec 10 21:58:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . .Someone is motivated.  .. - Thu Dec 10 21:58:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I remember when I was that way. - Thu Dec 10 21:59:15 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Rawr! - Thu Dec 10 21:59:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well, I'll let you guys continue with that.~ - Thu Dec 10 22:00:57 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Thu Dec 10 22:00:57 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Glances to Nigen somewhat curiously.* - Thu Dec 10 22:00:57 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: He is gonna ditch me here? Woopie. - Thu Dec 10 22:00:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Thu Dec 10 22:01:48 2015
