<br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: What people do you kill? - Wed Oct  7 06:15:28 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Oh? Depends really. - Wed Oct  7 06:16:19 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: My mood at the time, if I like the person, and so on. - Wed Oct  7 06:17:10 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Why tell me this? - Wed Oct  7 06:17:10 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: What makes you so sure I won't slaughter you for being this way? - Wed Oct  7 06:18:01 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: If you were going to, you would have by now instead of asking me these questions. - Wed Oct  7 06:18:01 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: This man was living in my village...? - Wed Oct  7 06:18:01 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Raises an eyebrow, "Oh? I see." stating such before reaching back into his coat, pulling his book back out and leafing through a few pages. "We all experiance things, and are raised a certain way. As I said, It is a part of me now, if it gets me killed, do be it."* - Wed Oct  7 06:20:35 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: But, wouldn't that make you the same as me in the long run? - Wed Oct  7 06:20:35 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Well. That's why you're not dead yet. - Wed Oct  7 06:20:35 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was like you once. If someone had killed me back then....they'd have been a monster. - Wed Oct  7 06:21:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Even now.... - Wed Oct  7 06:21:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm always tempted. To just kill. - Wed Oct  7 06:21:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Either way. This village is dead so you're not my responsibility. - Wed Oct  7 06:22:17 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: You have to admit, it had a bit of a joy to it. - Wed Oct  7 06:22:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: People travel at their own risk. Villages are responsible for keeping you out. - Wed Oct  7 06:22:17 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Once more letting a smile rise at the side of his mouth for a second before dropping back into place, "Then I have a place to go to once I die I assume, where I can continue to deal death. And as I said, with the way I live life, if I was to die, someone else would likely pick up where I left off, another 'monster' to take the place of my own."* - Wed Oct  7 06:24:51 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Keeping a blank look on his face, an undeniable sparkle would been shown in his eyes. "I guess that is one way to put it. Though, I can't help nature." pausing looking to her, he would let a small laugh escape, unable to contain it, "It's nice to have someone I actually like to converse with." showing that he actually found what she said to be funny while it was probably meant to offend him originally. 

"Though didn't you hear me when I first spoke? I thought I got across that I wasn't good for anyone, good people and I don't get along, unless another person like myself disagrees with me, or decides to change on me. Then it always seems like the good people appreiciate when I kill someone similar to myself. Who can you trust these days?" shaking his head a bit at this statement. "You can only trust the barebone, horrible monsters, you can always expect what they'll do."* - Wed Oct  7 06:32:32 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) had obviously rambled there towards the end.* - Wed Oct  7 06:33:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'll admit. - Wed Oct  7 06:35:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I miss having company like yours. - Wed Oct  7 06:35:05 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Oh? - Wed Oct  7 06:35:56 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Is that so? - Wed Oct  7 06:35:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Don't miss the enemies. - Wed Oct  7 06:35:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: People who were convinced, killing you was completely fine and people who had no second thoughts about it. They were right too. - Wed Oct  7 06:36:48 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: I fortunately haven't had enemies strong enough to think about staying around me yet. - Wed Oct  7 06:36:48 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: And as for killing. - Wed Oct  7 06:37:39 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: As I said, I myself don't exactly kill. . .I sort have am, a middle man of it? - Wed Oct  7 06:37:39 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: I guess if you were to trace it back, it would be because of me though. - Wed Oct  7 06:38:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Information broker? - Wed Oct  7 06:38:30 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Sighing, deciding that it would be easier to show her than try to explain, plus, he didn't exactly care about who knew what he could do, most left after they saw anyway, either to return with a mob to try and kill him, or to get -very- far way from him.

Opening his book to a certain page that looked as if it had just been added to the book, "Let me simply show you." having stated such, he would slowly read over the page, a few very dark sounding words in another language would be heard coming from as he did. Slowly coming to the end, he would simply state one word, "Enter." 

Having said such, a rift in space-time would literally open beside him, a small, hairless beast coming forth from the dark rift. Once it was through, the portal would close. The being, standing to about waist height of a normal person, seem to be able to move a bit fast, but have no real means of attacking, this would be one of his weaker summonings. "This is one of my workers." showing such to hope that she would catch his drift by this point. * - Wed Oct  7 06:43:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Wed Oct  7 06:46:11 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Raising an eyebrow he would reach over and pat the small best on the head, "What ever is the matter? Going to run off like most? Or try to kill me like a good few do?"* - Wed Oct  7 06:50:27 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Sighing a bit, "Come back any time~ I'll keep the place nice and dead like." saying such in a monotone voice, though it was an obvious attempt at a small bit of humor as he looked to the imp, "Exit." causing a rift to appear at its feet, sucking it back down to where it came from.* - Wed Oct  7 06:55:34 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Sighing a bit as he looked around, he would find himself starting to get a bit hungry. As if to reinforce this, his stomach would suddenly make a loud noise. Shaking his head at this he would slowly reach into his jacket. Pulling out a rather old, blood stained book, he would open it. Looking around to see if anyone was left in the outskirts of the ghost town of a village. Seeing that it appeared no one was around to watch, at least no one living, he would start to read away from the page he was on.

Slowly spewing out words and sounds that would sound like something out of a horror movie, he would let a devilish smirk cross his face. Quickly coming to the end of the page he would speak out, "Enter." having done such, a waist high portal would rip open from thin air beside him. Its dark aura and power fluxing in open air. After a few seconds small red hands would appear at the edge of the portal. Pulling itself forward, a small red beast would start to appear, its body something never seen in the living world.

Once it was completely out of the portal he would look down to it. "Go get me some food. Bread, anything of the such, maybe even some fruit." saying that, he would then go into greater detail of exactly what he was speaking about so that the beast would know exactly what he wanted. Upon having explained such, he would then go on to say, "Go." having said such, he would watch as the small beast scampered off, actually faster than he himself would run.Shaking his head he would say, "He better bring something back good."

The imp that had ran off, would have searched for some time, keeping to the shadows running at its full speed, would have apparently come across an apple tree that had somehow managed to survive all of the damage done to the place. Climbing the tree, it would quickly pick a few apples, doing its best to carry them all. Once it had done this, it would run all the way back to Geralt. Handing them over, it would stay seated, looking to Geralt as if its only purpose was to serve him.

In response to getting the apples from the best he would look down, "Good work. For a reward, the next time I summon you, I'll make sure there is a nice amount of meat for you to eat. And maybe more." having said such, he would put all but one of the apples away. Taking a bite of the one he had left out, he would nod in enjoyment. Looking back to the beast, he would give a smirk. Quickly muttering a few more strange words he would end it with, "Exit." upin saying such, the same type of portal that had tranported the beast here, would suddenly open below it, sucking the monster back down slowly, taking it back to where it had come from.* - Wed Oct  7 18:28:28 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Being that he was reading a book, he would take a second to finish reading his page. Once he was done, he would slowly close it and tuck it away before turning to face the boy who seemed to be the hokage now? 

Keeping a blank face aside from a raised eyebrow he would calmly, and apathetically speak out, "Oh? I like the peace and quiet this village now brings, though, since you ask me why I am here, perhaps I can ask you as well?"* - Wed Oct  7 18:58:20 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Oh? - Wed Oct  7 19:05:10 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: You don't think I find ways to do that here? Though, even if I wanted to leave, I have no way of knowing how to get there. - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: ... - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: I'll give you one offer, and one only. I'll take you to Kumogakure myself, but I won't be taking anyone back if they go. - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Hm. - Wed Oct  7 19:09:26 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: And why would you make that offer? - Wed Oct  7 19:09:26 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: Because you're in my way. - Wed Oct  7 19:10:17 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Oh? - Wed Oct  7 19:10:17 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Then perhaps I'll take you up on your offer. - Wed Oct  7 19:11:08 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: Good. - Wed Oct  7 19:11:08 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: Perhaps I can use him to find more vic- meat for my pets. - Wed Oct  7 19:11:08 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: That was. . .interesting. - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>***Hokage**(XenoKuthric) says: Enjoy. - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Will do? - Wed Oct  7 19:15:24 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I mean....Eh. - Wed Oct  7 19:18:49 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Kojiro how're you having sex in your past time, if the only two girls are your sisters? - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omiy- - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: He don't mind. - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 19:21:23 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sup. - Wed Oct  7 19:22:14 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: My sister. - Wed Oct  7 19:23:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ,,, - Wed Oct  7 19:23:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: Hm? - Wed Oct  7 19:23:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: ......I mean.. If you wanted to find that out. - Wed Oct  7 19:23:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: You shouldn't be asking her brother. - Wed Oct  7 19:23:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: I don't mind either way... You can do what you want, but just know.. I keep tabs on my family all the time... Don't think you'll be able to and run. - Wed Oct  7 19:25:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: Get it? - Wed Oct  7 19:25:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: Yeah.. I see.. - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Kaori, Gene. - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Or uh.. - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Oh, You know Gene? - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: My sister. - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ---- - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: Well....That leaves those two off limits. - Wed Oct  7 19:28:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: That ass though. - Wed Oct  7 19:28:12 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Ain't off limits for me.. - Wed Oct  7 19:28:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Damn.. I need a brother. - Wed Oct  7 19:29:55 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: In a world where girls are tuna, and men are sharks. - Wed Oct  7 19:29:55 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Does this make me a fisherman? - Wed Oct  7 19:30:46 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Mmm. - Wed Oct  7 19:31:37 2015
<br><br><font color=teal>*Kaori(Coolm3) says: . . .? - Wed Oct  7 19:31:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: We're supposed to train. - Wed Oct  7 19:32:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You and I. - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Your sister isn't a fighter. - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: My arm. - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is destroyed. - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: So don't aim for my right arm, alright? - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Uh, sure. But don't cry if I end up hurting you. - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Damn. - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -- - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Well, let's go towards the training arena.. You're welcome to come bro. - Wed Oct  7 19:35:02 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Uh. - Wed Oct  7 19:35:02 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Can I come? - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: unafk - Wed Oct  7 19:46:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: - - Wed Oct  7 19:46:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: im such a fuck up guys smfh - Wed Oct  7 19:47:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Wed Oct  7 19:47:50 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: My first thought was to kill her, however her real name is 'Misharna' so I decided to leave it. - Wed Oct  7 20:06:36 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: She said her nickname is Misa. - Wed Oct  7 20:06:36 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Wed Oct  7 20:06:36 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: But I'm still going to kill her. - Wed Oct  7 20:09:10 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sorry Niza, wil you forgive me if I do?~ - Wed Oct  7 20:10:01 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I can never stay mad at you Misa. - Wed Oct  7 20:13:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: But do know. - Wed Oct  7 20:13:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: If I see this act. - Wed Oct  7 20:13:26 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) having being dropped off in the village, he would slowly make his way around, making note of everything that he had saw. Eventually making his way to what seemed to be a training area, he would stop at the entrance, sitting down, leaning on the fence with a blank face.

Though, some scene of violence seemed to be taking place to him, he would let a smirk take hold on his face for mere moments before it faded back to his apathetic look. Shaking his head a bit, he would reach into his jacket, pulling a book out before starting to read over it, not exactly caring if the people killed each other, it would be entertainment for him. Though, he would be prepared if by some chance he was actually noticed, and was realized not to be a shinobi from this village.* - Wed Oct  7 20:20:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You're suplexing me right? - Wed Oct  7 20:22:49 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Heh'eheh. - Wed Oct  7 20:42:27 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Gotta' remember that you can get jumped at any time. - Wed Oct  7 20:42:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah, you blind-sided me. - Wed Oct  7 20:44:09 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah! - Wed Oct  7 20:44:09 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Fine. - Wed Oct  7 20:44:09 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Heheh. - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Good fight tho'. - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: . . . - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah, I got dropped too quick. - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Who're you? - Wed Oct  7 20:45:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Atle- Ye', Yo' who're you. - Wed Oct  7 20:45:52 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) being that he was reading a book, he would wait until he had finished the page. Once he had done this, he would slowly close it and slip it back into his coat, "It's a bit rude to ask someone their name without giving your own." saying such in a monotone voice, and blank face.* - Wed Oct  7 20:47:34 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: You ain't around here. - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Kinda' rude to show up uninvited ye'know? - Wed Oct  7 20:48:25 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Oh? - Wed Oct  7 20:49:16 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: And how does that excuse asking for my name without giving your own? - Wed Oct  7 20:49:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: My name is. - Wed Oct  7 20:49:16 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: You want to get into fisticuffs? - Wed Oct  7 20:49:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Raikage. - Wed Oct  7 20:49:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He might be someone important. - Wed Oct  7 20:50:08 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: I don't fight, sorry. - Wed Oct  7 20:50:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I see. - Wed Oct  7 20:51:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Bouta check some shit out. - Wed Oct  7 20:52:41 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Hm? - Wed Oct  7 20:52:41 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah, nothing. This place is dead, gonna head back to the square. - Wed Oct  7 20:53:32 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Oh? - Wed Oct  7 20:53:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Let's head back. - Wed Oct  7 20:55:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Mhm. - Wed Oct  7 20:55:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Might as well come too. - Wed Oct  7 20:55:15 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Normally people would replace that adjective with 'creepy.' - Wed Oct  7 20:56:06 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Nah, you were never creepy-- to me atleast. - Wed Oct  7 20:57:48 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: But really, no one was ever creepy to me. - Wed Oct  7 20:57:48 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I see. - Wed Oct  7 20:58:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You always have been a rather brave woman. - Wed Oct  7 20:58:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It's one thing I admire about you. - Wed Oct  7 20:59:31 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Sighs a bit, having followed the three back into the 'square' which to him just seemed like any other place around the village. Shaking his head at this thought, he would slowly sit, once more reaching into his coat, and pulling an old looking book out. Once he had, he would flip over about thirty pages before stopping on one and starting to silently read.* - Wed Oct  7 20:59:31 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Awww, sweet.~ - Wed Oct  7 20:59:31 2015
<br><br><font color=teal>*Reguel(Airide) says: You can take your flirting somewhere else. - Wed Oct  7 21:00:22 2015
<br><br><font color=teal>*Reguel(Airide) says: That's not here. - Wed Oct  7 21:00:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Flirting? It was a simple compliment. - Wed Oct  7 21:00:22 2015
<br><br><font color=teal>*Reguel(Airide) says: Sure. - Wed Oct  7 21:01:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You speak reckless child. - Wed Oct  7 21:01:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'll simply inform you to watch your words. - Wed Oct  7 21:01:13 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo', bro. - Wed Oct  7 21:02:04 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Should we go find Raikage man for the orders? - Wed Oct  7 21:02:04 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Weirdos. - Wed Oct  7 21:02:56 2015
<br><br><font color=teal>*Reguel(Airide) says: It's not I'm saying something wrong, is it? - Wed Oct  7 21:02:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye. - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Might as well. - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Work on your sentence structure. - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: T- - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yo. - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It'll help. - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Your money. - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Reguel(Airide) says: I'll think about it. - Wed Oct  7 21:04:38 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Is tal' funny. . . - Wed Oct  7 21:04:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Lets go then. - Wed Oct  7 21:05:29 2015
<br><br><font color=teal>*Reguel(Airide) says: Then again I've probably been around Maloth too long if my sentences aren't making much sense. - Wed Oct  7 21:05:29 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Cmere. - Wed Oct  7 21:10:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Good luck getting in. - Wed Oct  7 21:25:07 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Alright. . .That will be easy. - Wed Oct  7 21:25:07 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: As for you Idiot N.1 - Wed Oct  7 21:25:07 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Aim higher. - Wed Oct  7 21:25:07 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That is all I have to say. - Wed Oct  7 21:25:07 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: I'm weak. - Wed Oct  7 21:25:58 2015
<br><br><font color=teal>*Reguel(Airide) says: Most people who aim 'higher' usually are the hardest when they come crashing down. - Wed Oct  7 21:25:58 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: Hopefully one of these shinobi become fit for the role of Raikage... - Wed Oct  7 21:27:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: Otherwise I can't fulfill my true calling. - Wed Oct  7 21:27:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Why don't you spar Niza Idiot N.1 to see how much you fair against him. - Wed Oct  7 21:27:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It should be fun. - Wed Oct  7 21:27:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And entertaining. - Wed Oct  7 21:28:32 2015
<br><br><font color=teal>*Reguel(Airide) says: Now, Raikage, I want to do a mission, or something, it's not like I'll do much by standing on my ass studying. - Wed Oct  7 21:28:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I mean.... - Wed Oct  7 21:28:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'm not here for your amusement. - Wed Oct  7 21:29:23 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: If he hasn't informed you where we went.. He probably- - Wed Oct  7 21:29:23 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: So Misa. - Wed Oct  7 21:31:05 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Where shall the winds be taking you next? - Wed Oct  7 21:31:05 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I don't have a clue. - Wed Oct  7 21:31:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I see. - Wed Oct  7 21:31:56 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I need to get super strong. - Wed Oct  7 21:31:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: As do I. - Wed Oct  7 21:31:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'm a mere child compared to these shinobi. - Wed Oct  7 21:31:56 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I feel you!! - Wed Oct  7 21:31:56 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I might have to train with you from now on. - Wed Oct  7 21:33:39 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Maybe. - Wed Oct  7 21:33:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I never touched her! - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: YOU JUST. - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ADMITED. - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: WHAT! - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: She is my sister for cry-! - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I didn't! - Wed Oct  7 21:54:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: TOUCH! - Wed Oct  7 21:54:08 2015
