<br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And it'd be a secret. - Tue Sep 29 04:43:18 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: You really worry to much. - Tue Sep 29 23:39:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: If I felt like you'd betray me. - Tue Sep 29 23:39:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I wouldn't have helped you. - Tue Sep 29 23:40:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: One can never be too cautious. - Tue Sep 29 23:40:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Let us just move her to another place. - Tue Sep 29 23:40:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: There is something about a cave that is not really safe with me - Tue Sep 29 23:40:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: >Give me eyes 2 ) - Tue Sep 29 23:42:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Well then. - Tue Sep 29 23:42:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: If worse comes to worse. - Tue Sep 29 23:43:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Nevermind. - Tue Sep 29 23:43:21 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: If by worst you mean Kenshin comes we are both dead. - Tue Sep 29 23:43:21 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Kirie.. - Tue Sep 29 23:44:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Maybe just me. - Tue Sep 29 23:44:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: My worst was just. - Tue Sep 29 23:44:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Neither of us gets the eyes. - Tue Sep 29 23:44:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Then we get someone with white eyes. - Tue Sep 29 23:44:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: But, We get to learn from this and tackle a bigger fish. - Tue Sep 29 23:44:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: What do you mean by that? - Tue Sep 29 23:44:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Mm, Maybe in due time. - Tue Sep 29 23:45:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: So what will happen now? - Tue Sep 29 23:45:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: What is the game plan? - Tue Sep 29 23:45:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I'll sell her. - Tue Sep 29 23:45:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: You can play with her until it's complete. - Tue Sep 29 23:45:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Then we prepare to hunt for bigger game. - Tue Sep 29 23:45:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Sound fair enough? - Tue Sep 29 23:45:55 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Fair enough. - Tue Sep 29 23:46:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: When will she be sold? - Tue Sep 29 23:46:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Soon enough. - Tue Sep 29 23:47:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Let's go back. - Tue Sep 29 23:47:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well. - Tue Sep 29 23:47:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's yours for a bit. - Tue Sep 29 23:47:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Try not to be to loud. - Tue Sep 29 23:48:28 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) entered le cave.* - Tue Sep 29 23:48:28 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Tue Sep 29 23:48:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You can either seal her voice - Tue Sep 29 23:48:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Or I can gag her. - Tue Sep 29 23:48:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Where's the fun in that? - Tue Sep 29 23:48:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Precautionary measures - Tue Sep 29 23:48:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I suppose you can gag her. - Tue Sep 29 23:48:28 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Kirie.. - Tue Sep 29 23:48:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What do you want Kohaku. - Tue Sep 29 23:49:20 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Why did..you do this? - Tue Sep 29 23:49:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You will find out as the days go by. - Tue Sep 29 23:49:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Seisuke. - Tue Sep 29 23:49:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Can you stay here. - Tue Sep 29 23:50:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm? - Tue Sep 29 23:50:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I need to do something. - Tue Sep 29 23:50:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It ill be worth it trust me - Tue Sep 29 23:50:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Such as--- - Tue Sep 29 23:50:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ... - Tue Sep 29 23:50:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Trust you? - Tue Sep 29 23:50:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Interesting Concept, I'll put faith in you though. - Tue Sep 29 23:50:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Just like I am the one trusting you. - Tue Sep 29 23:50:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Thank you. - Tue Sep 29 23:50:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Play with her until I get back. - Tue Sep 29 23:50:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Ok? - Tue Sep 29 23:51:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --I can't. - Tue Sep 29 23:51:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have a girlfriend. - Tue Sep 29 23:51:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Why not- - Tue Sep 29 23:51:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I mean you can torture her. - Tue Sep 29 23:51:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Your girlfriend doesn't have to know. - Tue Sep 29 23:51:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I don't see a need in harming a woman's body. - Tue Sep 29 23:51:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then keep her company. - Tue Sep 29 23:51:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I will be back - Tue Sep 29 23:51:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So be it. - Tue Sep 29 23:51:02 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) turned around and began walking out of the cave then made her way back to Kirigakure.* - Tue Sep 29 23:51:53 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) shunshined into the area and entered the cave* - Wed Sep 30 00:36:16 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) entered the cave and immedietly pivoted to walk out of the cave as she heard everything she needed to hear to know what was going on inside the cave. It is worth noting that she moved silently so she probably wouldn't have been noticed when she walked into the cave.* - Wed Sep 30 00:39:40 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) was detected.* - Wed Sep 30 00:42:14 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Kirie, Come here for a moment will you? - Wed Sep 30 00:42:14 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) halted when she was called "........" she would slowly turn and looked at Seisuke >How did he know?< she asked herself as she slowly approached Seisuke and the masturbating female infront of him "Well, she will stop being bored soon." she commented as she watched Kohaku masturbate "Not much I can really or want to do." With that she would move behind Kohaku as to not watch her masturbate directly and remained staring at Seisuke "How did it come to this? I thought you said you had a girlfriend."* - Wed Sep 30 00:49:55 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: All men are the same. - Wed Sep 30 00:49:55 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Tch. - Wed Sep 30 00:57:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well watching doesn't hurt. - Wed Sep 30 00:57:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Overrall, I figured I'd give you a present. - Wed Sep 30 00:57:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Though I made an assumption. - Wed Sep 30 00:57:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You weren't a fan of males very much. - Wed Sep 30 00:57:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You asumed I am a lesbian? - Wed Sep 30 00:57:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I did. - Wed Sep 30 00:57:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Wrong assumption Seisuke. - Wed Sep 30 00:58:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Really? - Wed Sep 30 00:58:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Wed Sep 30 00:58:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I feel like an ass now. - Wed Sep 30 00:58:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have never been with a woman before. - Wed Sep 30 00:58:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No  - Wed Sep 30 00:58:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It is fine. - Wed Sep 30 00:58:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It served for your entertainment. - Wed Sep 30 00:58:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Not really. - Wed Sep 30 00:58:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I can't take joy in this. - Wed Sep 30 00:58:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Only my girlfriend can excite me, It's odd. - Wed Sep 30 00:59:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You wouldn't be watching so intently if it didn't. - Wed Sep 30 00:59:18 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Maybe it's because there's actually emotion there? - Wed Sep 30 00:59:18 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --I've just never seen a girl, do such things. - Wed Sep 30 00:59:18 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I found it interesting is all - Wed Sep 30 00:59:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You have yet to live though. - Wed Sep 30 00:59:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well. - Wed Sep 30 00:59:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Have her finish. - Wed Sep 30 00:59:18 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Wed Sep 30 00:59:18 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: If you let me go, I will. - Wed Sep 30 01:00:09 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) placed a foot on her head "You started it already might as well finish it. No."* - Wed Sep 30 01:00:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Fire Shroud is a buff0 - Wed Sep 30 01:00:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You want to know why you are here? - Wed Sep 30 01:01:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Because I was planing on killing you. - Wed Sep 30 01:01:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: What did I ever do? - Wed Sep 30 01:01:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: But Seisuke here was your saving grace. - Wed Sep 30 01:01:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What did you ever do? - Wed Sep 30 01:01:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmmm. - Wed Sep 30 01:01:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Let me see. - Wed Sep 30 01:01:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You were a pain in the ass. - Wed Sep 30 01:01:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You threated to brake my bones. - Wed Sep 30 01:01:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: But over all the main reason was that you were a pain in my ass. - Wed Sep 30 01:01:52 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: If you really haven't realized..I don't start things, I only say things to make you back off.. - Wed Sep 30 01:01:52 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: So..You wanna ruin my entire life, because I annoy you? - Wed Sep 30 01:01:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That is the worst Idea anyone can have. - Wed Sep 30 01:02:43 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) proceeded to kick her on the head "No continue, Seisuke here is interested in watching you finish."* - Wed Sep 30 01:02:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's.. - Wed Sep 30 01:02:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Seriously fine, Kirie. - Wed Sep 30 01:02:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No No. - Wed Sep 30 01:02:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Let her finish Seisuke. - Wed Sep 30 01:03:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Watch intentily - Wed Sep 30 01:03:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You might learn a few things and practice them on your girlfriend. - Wed Sep 30 01:03:34 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --. - Wed Sep 30 01:04:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So. - Wed Sep 30 01:09:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Seisuke - Wed Sep 30 01:09:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Do you have a seller already? - Wed Sep 30 01:09:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yeah. - Wed Sep 30 01:10:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The faster we hand her off the better. - Wed Sep 30 01:11:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I hear you can do that with your other hole, if you wanted. - Wed Sep 30 01:21:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But, Do what makes you happy. - Wed Sep 30 01:21:29 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Not happening. - Wed Sep 30 01:21:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you can escape. - Wed Sep 30 01:21:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Run. - Wed Sep 30 01:21:29 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Wed Sep 30 01:21:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Do what you have to do to survive. - Wed Sep 30 01:22:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But you won't be escaping from us. - Wed Sep 30 01:22:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Seisuke. - Wed Sep 30 01:30:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm? - Wed Sep 30 01:30:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What type of seal can you place on her? - Wed Sep 30 01:30:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Can you make sure she could never say what happened here? - Wed Sep 30 01:31:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I already did. - Wed Sep 30 01:31:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Very well. - Wed Sep 30 01:31:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Kohaku. - Wed Sep 30 01:31:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Tell me. - Wed Sep 30 01:31:44 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Wed Sep 30 01:32:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How was you orgasm? - Wed Sep 30 01:33:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Was it goo? - Wed Sep 30 01:33:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Good* - Wed Sep 30 01:33:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Did you enjoy it? - Wed Sep 30 01:33:26 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Wed Sep 30 01:33:26 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Sure. - Wed Sep 30 01:33:26 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Can I leave yet? - Wed Sep 30 01:35:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yeah, In the morning. - Wed Sep 30 01:35:08 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Can I leave now? - Wed Sep 30 01:35:08 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I don't have time for the morning. - Wed Sep 30 01:36:00 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) kicked her on the back of the head "You will leave in the morning."* - Wed Sep 30 01:36:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: When will it be morning? - Wed Sep 30 01:36:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Seisuke. - Wed Sep 30 01:36:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Does your buyer want her intact? - Wed Sep 30 01:36:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Can I rough her up a bit? - Wed Sep 30 01:36:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: He didn't specify. - Wed Sep 30 01:37:42 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: So, who're you shipping me off to? - Wed Sep 30 01:37:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Someone I know. - Wed Sep 30 01:38:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then you do not mind if I cut her up a bit do you - Wed Sep 30 01:38:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And, Do what you wish. - Wed Sep 30 01:38:33 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Wed Sep 30 01:39:24 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) reached for ninja wire in her backpouch and threw it up in the air above Kohaku, she did not know if Kohaku had been fully released from her previous bindings nor did she care as she sent chakra running through the wire and would wrap it around Kohaku. Tightening the wire this would behin cutting into her skin nice and slowly and it is worth specifying that the wires would have been wrapped around her torso if possible.* - Wed Sep 30 01:41:07 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Did you really think that you could piss people off and make idle threats without suffering the concecuenses? - Wed Sep 30 01:44:32 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) tightened the wires a tad bit more then kicked her on the head once again.* - Wed Sep 30 01:48:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You see you are all bark and no bite. - Wed Sep 30 01:48:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Where is the girl that told me she was going to break my bones? - Wed Sep 30 01:49:39 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You realize. - Wed Sep 30 01:49:39 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I never wanted to hurt you. - Wed Sep 30 01:49:39 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Unless you hurt me, or himura. - Wed Sep 30 01:49:39 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Mhm. - Wed Sep 30 01:49:39 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You've done all of this for nothing. - Wed Sep 30 01:49:39 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: So, I mean, you could let me go back home. - Wed Sep 30 01:50:30 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: And I can't speak of any of this. - Wed Sep 30 01:50:30 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: And things could go back to how they were. - Wed Sep 30 01:50:30 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Or, you could ship me off, and have kenshin wonder why I disappeared. - Wed Sep 30 01:50:30 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well I wanted to kill you both but since Himura is missing and you will be sold then I guess I have to be happy that I can make you bleed. - Wed Sep 30 01:50:30 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Will you now? - Wed Sep 30 01:51:21 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Wel what will you do when Keshin and fujitora start wondering where I went off to? - Wed Sep 30 01:51:21 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Wed Sep 30 01:53:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It is a start. - Wed Sep 30 01:53:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And I can deny anything really. - Wed Sep 30 01:53:04 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Or you could let me go back home. - Wed Sep 30 01:53:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Nah. - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Why not? - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Have I ever physically hurt you? - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Unlike you I do not make idle threats. - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Have. - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I. - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Ever. - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Physically. - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Hurt. - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You. - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You attempted to but failed miserably. - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Yep. - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Only becuse you suffocated me. - Wed Sep 30 01:53:55 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I was originally going to kill you and dumped your body into a river never to be found. - Wed Sep 30 01:54:46 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Nice. - Wed Sep 30 01:54:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: But then I thought about it and decided agains't it. - Wed Sep 30 01:55:37 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You could have just left me alone. - Wed Sep 30 01:56:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Nope. - Wed Sep 30 01:56:28 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Why not? - Wed Sep 30 01:56:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Because unlike you I follow through with my threats. - Wed Sep 30 01:56:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It was bound to happen really. - Wed Sep 30 01:57:20 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Why hurt your fellow comrades? - Wed Sep 30 01:57:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You should thank Seisuke that you are still alive. - Wed Sep 30 01:57:20 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Should I now? - Wed Sep 30 01:57:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Wed Sep 30 01:58:11 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Well I mean. - Wed Sep 30 01:58:11 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: He did kind of just rape me. - Wed Sep 30 01:59:02 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: In a way. - Wed Sep 30 01:59:02 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: So.. - Wed Sep 30 01:59:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He never touched you. - Wed Sep 30 01:59:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That doesn't count as rape/ - Wed Sep 30 01:59:02 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Counts as rape to me. - Wed Sep 30 01:59:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: When it was done with your own hand. - Wed Sep 30 01:59:02 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: How about you let me go now. - Wed Sep 30 02:00:44 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: And we forget about this? - Wed Sep 30 02:01:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How about you shut up? - Wed Sep 30 02:01:36 2015
