<br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: What? - Wed Oct  7 22:11:12 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Hrm? Uh, yeah. - Thu Oct  8 04:03:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Good.. - Thu Oct  8 04:03:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Gonna see i the Raikage is up there. - Thu Oct  8 04:04:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ..... - Thu Oct  8 04:04:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Hm? - Thu Oct  8 04:05:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Niza is still - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Tapping your sister - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ? - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: They have been going at it. - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Heh. - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: For a long time - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh, damn...... - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I needed a mission. - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I would ask you to spar me but we both know how that will turn out. - Thu Oct  8 04:07:02 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Tch. - Thu Oct  8 04:07:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You've done wonders for my confidence. - Thu Oct  8 04:07:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'd be more inclined to accept. - Thu Oct  8 04:07:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: If Maloth didn't take my arm off. - Thu Oct  8 04:07:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: This here thing is going to be on a cast for a while. - Thu Oct  8 04:07:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh, by the way.. You know Kaori. Or should. - Thu Oct  8 04:07:53 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I aim to please. - Thu Oct  8 04:08:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And that Maloth guy. - Thu Oct  8 04:08:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He did not spar me - Thu Oct  8 04:08:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ...Really now... - Thu Oct  8 04:09:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Whenever I ask you to please me you punch me in the face. - Thu Oct  8 04:09:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I was being sarcastic Idiot N/1 - Thu Oct  8 04:10:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: N.1* - Thu Oct  8 04:10:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh. - Thu Oct  8 04:10:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Hmm. - Thu Oct  8 04:13:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Just wondering. - Thu Oct  8 04:13:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: The only family you got is your sister? - Thu Oct  8 04:13:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Huh? - Thu Oct  8 04:16:25 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Your sister. - Thu Oct  8 04:16:25 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is she all you got? - Thu Oct  8 04:16:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: None of your concern Idiot N.1 - Thu Oct  8 04:17:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah, the way I see it is. - Thu Oct  8 04:18:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: If you're going to be here,and Niza legit let's you stay. You can't be all reserved. - Thu Oct  8 04:18:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Like these other guys. - Thu Oct  8 04:18:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: They haven't said nothing to me. - Thu Oct  8 04:18:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: The fuck all these people coming from? - Thu Oct  8 04:23:15 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) glanced over at the guy who was counting pebbles "Why are you counting pebbles? Why not watch a snail race or paint dry?"* - Thu Oct  8 04:25:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Thu Oct  8 04:27:31 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Five.. Six.. - Thu Oct  8 04:27:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ... - Thu Oct  8 04:29:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well you enjoy that. - Thu Oct  8 04:29:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: And that is why annoying people die first. - Thu Oct  8 16:18:20 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) waves back at Genesis.* - Thu Oct  8 16:19:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Ortho. - Thu Oct  8 16:20:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: How are you. . . - Thu Oct  8 16:20:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: That name. - Thu Oct  8 16:20:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Damn.. Think Ima pay a visit to Suna. - Thu Oct  8 16:21:45 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Damn, he's confessing his love to his sister? - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He admitted to masturbating to her when she slept - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Kojiro the type of nigga to think, "my little sister can't be this cute". - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: We all heard it - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: puse - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: what - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: What? - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: --------? - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You know. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I don't.. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You told us yesterday that you touched Gene - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: NO! - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I DIDNT! - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And that you masturbated on her when she was asleep - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Stop lying. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What. . .  - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . . - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: She's lying. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I can get Amon here - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He wont lie - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Get AMON. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He is your 'bro' - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I will. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Just you wait. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He said he was just messing with me anyway. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am being serious - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: That's. . . - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Gene you might want to lock your doors - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: So am I. - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: disgusting. . . . . . . . - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Get a dead bolt - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You ever woke up all crusty? - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: . . . - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Now you know the reason - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I will get Amon to confirm this Idiot N.1 - Thu Oct  8 16:30:17 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) stares at Kojiro is disgust.* - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You like making me mad. - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But that shit isn't funny. - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Its fucking hilarious from where I am standing. - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: I thought she was giving me that look then... - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's kinda like me saying to some you know. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You finger your sister. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Problem? - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Disgusting. . . All of them. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yes, it's a fucking problem. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Is it? - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Not from where I am standing. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You're just an asshole. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Change the subject. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And you are too overly sensitive. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You're both...not very nice people... - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You made my sister walk off. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: -Change- the subject. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Because you rubbed one off when she was asleep. - Thu Oct  8 16:34:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I feel uncomfortable, therefore others must to-- so change it. - Thu Oct  8 16:34:33 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) smiled at him as she did not care that he flipped her off.* - Thu Oct  8 16:35:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: *Sigh* - Thu Oct  8 16:37:07 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: I need to find my siblings and get them away from the menace. - Thu Oct  8 16:37:07 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) chuckles* - Thu Oct  8 16:37:07 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . - Thu Oct  8 16:37:58 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . That's nasty if you did do it. - Thu Oct  8 16:37:58 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Okay. . . - Thu Oct  8 16:38:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm just gonna go and train.... - Thu Oct  8 16:38:49 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Ortho, help this girl train. - Thu Oct  8 16:39:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: She is not my responsibility. How much I teach her if I too am unknowing..? - Thu Oct  8 16:39:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Who is this child? - Thu Oct  8 16:39:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I just graduated not too long ago... - Thu Oct  8 16:40:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Why does Ortho get so much recognisation... - Thu Oct  8 16:40:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So I guess I'm a nobody. - Thu Oct  8 16:40:32 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'll come as well. - Thu Oct  8 16:41:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You want to come with me? - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: If Ortho goes. - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Tch... - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm worth it, I promise! - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..tch.. - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very well. - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll go.. - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Anyone mind if I go a long..? - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I don't really...want to listen to these two argue...about vulgar things.. - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Come along, Takeda. - Thu Oct  8 16:43:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I've been meaning to leech some techniques off of you. - Thu Oct  8 16:43:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well...Only if you teach me some stuff as well... - Thu Oct  8 16:43:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Leeches. . .The whole lot of them. - Thu Oct  8 16:43:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: If I have jutsus you don't, I'll be sure to provide them to you. - Thu Oct  8 16:44:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Thanks. - Thu Oct  8 16:44:48 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Excuse me. - Thu Oct  8 16:47:21 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Cute. So no one has any information on Kenshin's current location? - Thu Oct  8 16:55:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Big guy. - Thu Oct  8 16:56:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Fight me. - Thu Oct  8 16:57:36 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Punch figh'? - Thu Oct  8 16:57:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Hmm..? - Thu Oct  8 16:58:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Any type of spar. - Thu Oct  8 16:58:27 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Don't mind me, I eavesdrop. - Thu Oct  8 16:59:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: . . .  - Thu Oct  8 17:00:09 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) stepped infront of Maloth and readied her stance "Ready when you are big guy."* - Thu Oct  8 17:01:00 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: Incest fam. - Thu Oct  8 17:03:34 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: -- - Thu Oct  8 17:03:34 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh. - Thu Oct  8 17:03:34 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) stood there watching him with her exposed crimson eye waiting for him to move then he entered into action running toward her which caused to remain staring at him getting ready for what was to come. >It would appear that he does not like genjutsu so that leads me to believe that A. he is not very smart and B. that he does not know kai. Hmm and with the addition of being able to use Ninjutsu I think he believes me to be weak...Tch.< As she was thinking this the punch suddenly came to her chest which she would easily avoid by taking a side stepping to the right since the punch was going from right to left.

Taking into consideration that Maloth's body went into a twirl with a kick coming her way she would arch back doing a backwards cartwheel to avoid the kick that was aimed at her face and the kick that was ment to sweep her off her feet. Cartwheeling a couple of times before she came to a stop and regained her stance "So I see you will use taijutsu huh?" she told him as she realized that if it werent for her combat experience and her reflexes as well as her outstanding sensing abilites that Maloth would have most definitely inflicted sevear pain to her.

Executing two handseals Ram ---> Tiger she would kneed and mold chakra in her stomatch as she ran toward Maloth who seemed to be exahusted or tired from that combo he had just done. Once close enough she would release stream of water toward him and the ground before him then switched directions as she attempted to run a full circle around him while she continued to spew the water out of her mouth in an attempted to really limit his movement and to trap him is possible withing her technique.* - Thu Oct  8 17:35:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: I can. . . hear them.. - Thu Oct  8 17:43:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Narneo - Thu Oct  8 17:50:30 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: When you log in ther eis literally a window in giant red letters telling you no to enter the buildings - Thu Oct  8 17:50:30 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: [notice me] - Thu Oct  8 17:51:21 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) was pleased with herself as the syrup trap managed to trap the hulking behimoth which seemed have changed his attention to try and smack the ground apart in hopes of him trying to get rid of the sryup that was on the floor. Taking advantage of this she would quickly run foward activating Suimen under her feet so that she would not get trapped by her own technique and began executing a series of handseals seven in total. Snake ---> Ram ---> Horse ---> Hare ---> Ram ---> Horse ---> Hare ---> Hands spread in front palms out ---> Ox ---> Clap Hands.

Molding and kneeding chakra inside of her stomatch she would open her mouth and begin spewing more water toward Molatho with intentions of encasing the hulking taking advantage of the momentary lapse of attention that he was giving the ground. The water would quickly form sphere that would encase Maloth in a watery prison making it hard to move as the consistency of the water made it difficult to do so.* - Thu Oct  8 18:15:15 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: .! - Thu Oct  8 18:19:31 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) broke the water prison and looked at Maloth "One day I'll fight you with pure taijutsu." she told him as she extended out her hand toward him to help him up if he was not standing up already "If I would have gotten hit by you I am not sure I would have been able to stand really."* - Thu Oct  8 18:34:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: KEKEEKEKEK~ - Thu Oct  8 18:40:51 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Thu Oct  8 18:40:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Aye, Kaori. How are you? - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Kaori(Coolm3) says: I'm fine. - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hi Kaori. - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Good. - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: *Sigh* - Thu Oct  8 18:44:16 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Oh, uh. Hi. - Thu Oct  8 18:44:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Kept up with your training? - Thu Oct  8 18:45:07 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Sure. - Thu Oct  8 18:45:07 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Mmm...  - Thu Oct  8 18:45:58 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I feel like you're just saying that... Then again, I haven't seen Gene -.. Well, I actually haven't seen much of her lately seeing as she's been busy. - Thu Oct  8 18:45:58 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: nigga im right here - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah. - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nonetheless... - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Seeing as I am the oldest. - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: We should do something as a family... Like... Uh. - Thu Oct  8 18:47:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Deez nuts? - Thu Oct  8 18:47:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Got em' - Thu Oct  8 18:47:40 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'd hit. - Thu Oct  8 19:49:07 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: If no be gir'! Then need get muscle like Maloth. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Easy tell then. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Agreed - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Relax, Khalil.. In-case you haven't noticed... Maloth isn't the most... - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Hm. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Observant. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Of humans. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Maloth is mean. - Thu Oct  8 19:59:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's just how he is. - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .Meanoth. . . Mmm. No mea', if really no girl. . Jus' show? - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is a lion mean for killing other animals? - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Yeah. - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: And I am not showing, ew. - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: This doesn't bode well... This means I'm not special anymore. - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Bremusa(Ej247) says: I'm wearing all I need for combat. - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh? - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm. . .Sib. . .Ling? - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Brother and sister. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: No. Is no. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Greetings. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Bremusa(Ej247) says: No. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Not intrested. - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Bremusa(Ej247) says: interested - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: D'awww. - Thu Oct  8 20:07:53 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Once oyur arm is healed come back. - Thu Oct  8 20:07:53 2015
<br><br><font color=teal>*Bremusa(Ej247) says: your* - Thu Oct  8 20:07:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nope. - Thu Oct  8 20:08:44 2015
