<br><font color=teal>*Max(Roxas The Hokage) thinks: hehe. .  works everytime - Fri Oct  9 09:14:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll take you on then.. - Fri Oct  9 09:14:40 2015
"I-I  understand, Suitengu.. For you.. I'll progress. I'll show you that life isn't.. going to keep me down anymore.. I'll show you.." Ortho's eyes widen. Reality finally struck him. His mind finally unclogged itself and accepted the words of Suitengu with no rebuttal, just the purity of it cleansing the devil of doubt. "I've.. come this far, a-and.. I know that.. you wouldn't want this for me.. I under..stand, Suitengu.. I'll walk down my path with my head held high and.. you words guiding me.." Ortho's eyes momentarily close, a smirk of confidence plastering itself on his face and a simple nod given to himself. For the first time since they were attacked in Konohagakure, Ortho felt like he had his peace of mind. He felt like everything made some sort of sense and the remaining that didn't make sense was his job to understand it. Another nod of assurance was given to himself as he opens his lids and reveals a red pupil with a single tomoe swirling around a black center point. "I.. understand.." * - Fri Oct  9 23:31:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I want you two to place your chakra into these papers. - Fri Oct  9 23:35:40 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Yo, yo, yo. - Fri Oct  9 23:35:40 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Er.... - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Yo, boss-lady. You got some jutsu you can pass on to me? - Sat Oct 10 00:05:32 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: What would you like to learn Elon? - Sat Oct 10 00:06:24 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Like of which do you have. . . - Sat Oct 10 00:07:15 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Define Linear. - Sat Oct 10 00:07:15 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: What jutsus do you know? - Sat Oct 10 00:07:15 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: We are on the same boar Elon. - Sat Oct 10 00:08:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I have not learned anything new. - Sat Oct 10 00:08:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: When I learn something new I will teach it to you. - Sat Oct 10 00:09:48 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Deal? - Sat Oct 10 00:09:48 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Boar* - Sat Oct 10 00:10:40 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Boat* - Sat Oct 10 00:10:40 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Deal, I guess. - Sat Oct 10 00:10:40 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You have done your missions for today. - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You can teach the female here some jutsus. - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Or train. - Sat Oct 10 00:13:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Or both. - Sat Oct 10 00:14:04 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Yeah. - Sat Oct 10 00:14:04 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Guess I can do both. - Sat Oct 10 00:14:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh my. Does that work with kunai and everything else? - Sat Oct 10 00:16:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I see. - Sat Oct 10 00:17:29 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) walked after Elon.* - Sat Oct 10 00:17:29 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: This is it? - Sat Oct 10 00:18:20 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Eh... - Sat Oct 10 00:19:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Don't worry about the others, I'm more important. - Sat Oct 10 00:19:12 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) had a serious face.* - Sat Oct 10 00:19:12 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: I guess we can get start- - Sat Oct 10 00:19:12 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Uh... - Sat Oct 10 00:19:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm willing to learn everything you're offering. - Sat Oct 10 00:19:12 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Alright. - Sat Oct 10 00:19:12 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Well...What'cha know so far? - Sat Oct 10 00:20:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Only suiton jutsu I know is Raging Waves. - Sat Oct 10 00:20:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm also able to manipulate every chakra nature. - Sat Oct 10 00:20:03 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Oh? - Sat Oct 10 00:20:54 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Pretty cool. - Sat Oct 10 00:20:54 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Reminds me of Lera or Kilm. - Sat Oct 10 00:20:54 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Hm... - Sat Oct 10 00:21:45 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Well, I guess I could teach ya' the Watergun technique to start. - Sat Oct 10 00:21:45 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Watch closely. - Sat Oct 10 00:21:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ////// - Sat Oct 10 00:28:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ....* - Sat Oct 10 00:28:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hey, uhhh.....Yoshiko? - Sat Oct 10 00:31:08 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Hmm? - Sat Oct 10 00:32:51 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Do you want to start training now? - Sat Oct 10 00:32:51 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) wasted no time. He steps further into the lake and stood beside Elon, mimicking his posture and handseals. The speed at which Ortho's hand formed the seals was impeccable, but he wasn't the type to toot his own horn. The general concentration of chakra needed to perform this jutsu was basic, but due to Ortho already knowing Raging Waves, his body instinctively generated the necessary amount of chakra for that jutsu. As a result, from distinctive differences, Ortho failed to perform the water gun technique on the first try.

A grunt of annoyance was supplied as he looked off at his jutsu. His eyebrows furrow in and his hands speed through the seals once more. However, this time around Ortho paced his chakra flow and allow a nerfed amount to settle within his stomach. Upon doing so, after allowing the chakra to liquefy, Ortho would pucker his lips and expel a reasonable torrent of water out. Once it was extinguished, he'd look toward Elon and give a smirk. "..Next..?"* - Sat Oct 10 00:33:42 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: I wanted to ask for scrolls from Elon. . .so I may train as I was and coach you. . . - Sat Oct 10 00:34:33 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Impressive. - Sat Oct 10 00:35:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh, I apologize. - Sat Oct 10 00:36:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What do you need a scroll for? - Sat Oct 10 00:37:07 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Anything really. . . - Sat Oct 10 00:37:07 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Is that all you have? - Sat Oct 10 00:37:58 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: It's all I feel comfortable teachin' right now. - Sat Oct 10 00:37:58 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: I'm no master in this element. - Sat Oct 10 00:38:49 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You look the type to ditch me if I wasn't having trouble in battle. - Sat Oct 10 00:38:49 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) unzips his pants, looking toward Rymei's bust.* - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Come here... - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: We're like sisters. I wouldn't dare...Plus, Edge ordered me to protect you two. - Sat Oct 10 00:40:32 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Let's go then. . . - Sat Oct 10 00:41:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Alrighty. - Sat Oct 10 00:43:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..I see.. - Sat Oct 10 00:43:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm willing to learn nonelementals as well. - Sat Oct 10 00:43:56 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Ay. - Sat Oct 10 00:44:48 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: I'm all elements my man. - Sat Oct 10 00:44:48 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: But Doton? - Sat Oct 10 00:44:48 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: That's my child. - Sat Oct 10 00:45:39 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: My everything man. - Sat Oct 10 00:45:39 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Know anything for that element? - Sat Oct 10 00:45:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: If you're willing, I'd like to learn some of that as well- - Sat Oct 10 00:45:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No, I don't. - Sat Oct 10 00:45:39 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Alright. - Sat Oct 10 00:45:39 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: I'll show you the Doton equivalent to the Watergun technique. - Sat Oct 10 00:46:30 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Shouldn't be too hard to learn. - Sat Oct 10 00:46:30 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Especially for you. - Sat Oct 10 00:46:30 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Understood. - Sat Oct 10 00:46:30 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) examined the mud that Elon was spewing. He raises a skeptical eyebrow whilst nodding his head in understanding. The jutsu was truly similar to the Water Gun technique, but it required much thicker chakra. When Elon finished, Ortho would take his pose and string together the necessary handseals. His chakra kneads within his stomach and begin thickening, an attempt to make it turn into mud. Upon doing so, after puckering his lips, Ortho would spew out what his chakra turned into. At first try, his chakra was still liquid with hints of earthly substances, but not completely mud.

Rather than being annoyed at his failure, Ortho simply nodded to himself and gave it another go. He understood that his chakra needed to thicken and until he was able to match his kneading speed with his handseal speed, he'd have to pace down his hand signs. With that in mind, after syncing the two and allowing his chakra to swell enough, he'd pucker his lips once more and unleash the river of mud.* - Sat Oct 10 01:01:52 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Aight. Nice. Fastest learner I've seen yet. - Sat Oct 10 01:06:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Thanks. - Sat Oct 10 01:13:48 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) whispers: (i got 2k for flexibility my nigga) - Sat Oct 10 01:21:29 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) whispers: (gogogogo) - Sat Oct 10 01:22:20 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) paces himself into the campus, fixing his eyes on the Mizukage. It never dawned on him how ugly she kept herself with that massive hat and toothpick-like frame from the neck down; Kirigakure fashion must be disintegrating. Nevertheless, Ortho would keep his hands tucked into his pockets and allowed his tone of voice to show no form of emotions. "Excuse me.."* - Sat Oct 10 16:10:40 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) walts up, hands tucked in his pockets and a single blunt resting at the right corner of his mouth. His eyes panned over to Ambrocio, resting on him for a few minutes before shifting to Cypher; Cypher was a person Ortho only saw a few times, but has made himself known throughout the group. A nod of acknowledgment was given the two males before Ortho's gaze fell upon Yoshiko. It examined her frame for merely a second or two before giving her a half nod; no point in giving someone full acknowledgment without knowing who they are and what they're about. No words came from Ortho, he simply stood there and watched whatever was happening --- or not happening.* - Sat Oct 10 16:18:20 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) slowly shook his head, taking a good hit off his blunt.* - Sat Oct 10 16:26:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct 10 16:26:01 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Why the fuck does everyone have blunts. - Sat Oct 10 16:26:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ------ - Sat Oct 10 16:28:35 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) walked away. "Nope..."* - Sat Oct 10 16:28:35 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) raises a singly eyebrow, his skepticism running rampant. "Well then.."* - Sat Oct 10 16:30:17 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) looks toward the Yuki, examining her feminine frame before turning to Hideki. "He has a point.."* - Sat Oct 10 16:36:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It's wrong... - Sat Oct 10 16:36:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But he has a point. - Sat Oct 10 16:36:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ------ - Sat Oct 10 16:37:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why the fuck are you yelling. - Sat Oct 10 16:37:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We're right here. - Sat Oct 10 16:37:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right.. - Sat Oct 10 16:37:58 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) looks at Cypher whilst taking out of a few hundred thousands. "How much can I have her? I'm going to fix that attitude of hers.."* - Sat Oct 10 16:39:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ---- - Sat Oct 10 16:40:32 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) slowly tucked his money away. "We'll.. talk later, Cypher.."* - Sat Oct 10 16:40:32 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Smart man. - Sat Oct 10 16:40:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: So as I was saying. - Sat Oct 10 16:40:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Anyway. - Sat Oct 10 16:41:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I apologize for my student, Cypher's actions. - Sat Oct 10 16:41:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Or whatever he did. - Sat Oct 10 16:42:14 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Which was nothing. - Sat Oct 10 16:42:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right. - Sat Oct 10 16:42:14 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: I shall leave your village now. . .She requested that I return back to Kirigakure. Unless you guys desire help I shall head back. . . - Sat Oct 10 16:43:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I desire help. - Sat Oct 10 16:44:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I.. still wish to know your price. - Sat Oct 10 16:44:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Both of you. - Sat Oct 10 16:44:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Will stop this. - Sat Oct 10 16:44:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Go ahead and be on your way then. - Sat Oct 10 16:44:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright, fine. But if I find out someone paid a better price than what I'm offering, I'm going to be mad.. - Sat Oct 10 16:44:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . . - Sat Oct 10 16:45:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ----- - Sat Oct 10 16:45:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You hear that, Hideki..? - Sat Oct 10 16:48:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: She's an opportunist..- - Sat Oct 10 16:48:12 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: He started to state about my relationship status and as such said some rude things about of such of me married to my work and nothing more. - Sat Oct 10 16:49:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yet, you pulled a Katana...........On my fucking student. - Sat Oct 10 16:49:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct 10 16:49:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ...... - Sat Oct 10 16:49:04 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: He did not mind and I did retract it beforehand. Of which I'm sorry. . .I did not like his advancements on me. . . - Sat Oct 10 16:49:55 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) took a step forward, keeping his hands tucked in his pockets and taking a firm hit off of his blunt. "I'd like to state.. it's better we have her alive..? Believe it or not, the last thing we need is Kirigakure to hunt down their shinobi just to find out she's dead in our country."* - Sat Oct 10 16:51:37 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ........ - Sat Oct 10 16:52:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Mm. - Sat Oct 10 16:53:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm.. going to talk with her. - Sat Oct 10 16:53:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You... - Sat Oct 10 16:53:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll be right back.. - Sat Oct 10 16:53:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Are going to stay here. - Sat Oct 10 16:53:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ....... - Sat Oct 10 16:53:20 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) looked toward Bernadette. "SHUT THE FUCK UP. WE ARE RIGHT HERE, WE CAN HEAR YOU DAMN IT.."* - Sat Oct 10 16:53:20 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Sat Oct 10 16:54:11 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct 10 16:54:11 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Ambrocio RPing we all dying. - Sat Oct 10 16:54:11 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: omit - Sat Oct 10 16:54:11 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct 10 16:55:02 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Sounds. - Sat Oct 10 16:56:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Cool. - Sat Oct 10 16:56:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit0- - Sat Oct 10 16:56:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct 10 17:07:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct 10 17:12:57 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: What the hell...is this guy..? - Sat Oct 10 17:16:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll be teaching you two another technique, do you two know Fire Run? - Sat Oct 10 17:18:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Nope. - Sat Oct 10 17:18:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: .... - Sat Oct 10 17:23:12 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: He is teaching them dat weak shit. - Sat Oct 10 17:23:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Guess he doesn't see me here. - Sat Oct 10 17:25:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hi, Hideyoshi. - Sat Oct 10 17:25:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hello. - Sat Oct 10 17:25:45 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) paced off. "You owe me like twenty lessons. No more running off to unknown places and coming back like you didn't dip on me."* - Sat Oct 10 17:25:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sat Oct 10 17:25:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then come along. - Sat Oct 10 17:25:45 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Good place for you to work in. - Sat Oct 10 17:27:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Sat Oct 10 17:27:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm.. - Sat Oct 10 17:29:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ortho and Hideyoshi. - Sat Oct 10 17:29:10 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yo'. - Sat Oct 10 17:29:10 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Sup. - Sat Oct 10 17:30:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm going to give you guys a misson.. - Sat Oct 10 17:30:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: About time.. - Sat Oct 10 17:30:01 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) coughs.* - Sat Oct 10 17:30:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Clean the rubble. - Sat Oct 10 17:30:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ............... - Sat Oct 10 17:30:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: I knew it. - Sat Oct 10 17:30:52 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Sat Oct 10 17:30:52 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) walks away.* - Sat Oct 10 17:30:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Kidding. - Sat Oct 10 17:30:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Kidddiinngg. - Sat Oct 10 17:30:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I could do that with me wood release. - Sat Oct 10 17:30:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: -omit- - Sat Oct 10 17:30:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: makes two -omit- - Sat Oct 10 17:30:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Sat Oct 10 17:31:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hideyoshi and Ortho. - Sat Oct 10 17:31:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You two will be given a D ranked misson. - Sat Oct 10 17:32:35 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) walks away. "This isn't training.."* - Sat Oct 10 17:32:35 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Heh. Hes giving them the D. - Sat Oct 10 17:32:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However. - Sat Oct 10 17:32:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: In this misson. - Sat Oct 10 17:32:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You must spar eachother. - Sat Oct 10 17:32:35 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..... - Sat Oct 10 17:32:35 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...That's not a good idea. - Sat Oct 10 17:33:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I don't have any jutsu that I can...hold back with... - Sat Oct 10 17:33:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Neither do I. - Sat Oct 10 17:33:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then hand to hand combat. - Sat Oct 10 17:34:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: We'll just cancel each other ou- - Sat Oct 10 17:34:17 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Unless you want Ortho to electrocute me and I turn him to ash- - Sat Oct 10 17:34:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I want no excuses. - Sat Oct 10 17:34:17 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct 10 17:34:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: As for you, aren't you suppose to be going back to Kirigakure? - Sat Oct 10 17:35:08 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ..... - Sat Oct 10 17:35:08 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) looks from side to side before pivoting toward Takeda, attempting to send right hook to his jaw.* - Sat Oct 10 17:36:00 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: This man stopped me so I don't know. . . - Sat Oct 10 17:36:00 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) took the boy by the collar, picking him up. He turns to look at Hideki. "I win.. Train us now.."* - Sat Oct 10 17:38:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct 10 17:38:33 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Ill train them.. - Sat Oct 10 17:39:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: .............. - Sat Oct 10 17:39:24 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: ...... - Sat Oct 10 17:40:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Oh look.... - Sat Oct 10 17:40:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Things really go full circle..... - Sat Oct 10 17:40:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) thinks: It's the second Oshino. - Sat Oct 10 17:40:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) thinks: Fuck my life. - Sat Oct 10 17:40:16 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Zue-bro! - Sat Oct 10 17:41:07 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: .....Alright. - Sat Oct 10 17:41:58 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: So. - Sat Oct 10 17:41:58 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I've no job at the moment. - Sat Oct 10 17:41:58 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Perhaps you'd be interested in hiring a Jounin to your ranks. - Sat Oct 10 17:41:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Certainly. - Sat Oct 10 17:42:49 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: I. . .Don't know. . .what to do now. - Sat Oct 10 17:42:49 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: You're staying here for now. - Sat Oct 10 17:42:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: WHAT - Sat Oct 10 17:46:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sat Oct 10 17:46:14 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Now then.... - Sat Oct 10 17:47:05 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Assign me a squad or something... - Sat Oct 10 17:47:05 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: So I can get moving with missions. - Sat Oct 10 17:47:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sure. - Sat Oct 10 17:47:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hideyoshi, Ortho and Cypher. You guys are put into Shinjin's squad. - Sat Oct 10 17:47:05 2015
