<br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Bet. - Sun Dec  6 12:03:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Leaning more to the 'first' aspect.. but a slight 'ownership' is there. - Mon Dec  7 02:45:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: But not th obsessive type of own.. - Mon Dec  7 02:45:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: the* - Mon Dec  7 02:45:07 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....Oh. - Mon Dec  7 02:49:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....huh...strange. - Mon Dec  7 02:50:14 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Yeah.. - Mon Dec  7 02:52:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: It's.. yeah.. - Mon Dec  7 02:53:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Strange. - Mon Dec  7 02:53:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Hey.... I uhm.. - Mon Dec  7 02:54:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I should get going okay? - Mon Dec  7 02:54:30 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) returned her grasp and nodded. "Alright," he says in a soft voice, running his own thumb across her skin.* - Mon Dec  7 02:58:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Mnngg... I changed my mind. - Mon Dec  7 03:03:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Just a little bit longer. - Mon Dec  7 03:04:44 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) blinked a few times, smirks then nudges her a bit.* - Mon Dec  7 03:06:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Whaaaaaaat. - Mon Dec  7 03:06:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Nothing.~ Nothing.~ - Mon Dec  7 03:08:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Whhhhhhhhhaaaaaaaaaaaaaaaaat is it? - Mon Dec  7 03:08:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Want to go for a swim? - Mon Dec  7 03:10:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: A swim? - Mon Dec  7 03:13:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...I don't really swim. - Mon Dec  7 03:13:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Hmm, alright then. - Mon Dec  7 03:14:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Want to do something else? - Mon Dec  7 03:16:41 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Depends. - Mon Dec  7 03:17:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You hungry? - Mon Dec  7 03:17:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Nah. - Mon Dec  7 03:20:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't know anything about elemental jutsu. - Mon Dec  7 04:12:09 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Mon Dec  7 04:12:09 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Do you plan on going down the Elementalist path? - Mon Dec  7 04:13:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Not really. - Mon Dec  7 04:14:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But it could be helpful yeah? - Mon Dec  7 04:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Like back up? - Mon Dec  7 04:15:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeah, it could be helpful. - Mon Dec  7 04:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Up to you if you teach me. - Mon Dec  7 04:15:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Certainly. - Mon Dec  7 04:15:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: yo riven - Mon Dec  7 04:30:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: omit - Mon Dec  7 04:30:04 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) would remain stationary; the only movement given was from his thumb subtly rubbing against the back of Kariudo's hand as they locked and intertwine their fingers. His visual focus is set on the skies above; his head is leaned back to a small degree --- the mountain being a small rest for his head and neck while he leans back first against the earthy wall. From looking at Sogeki, one is able to tell that he's fully relaxed. The occasional furrow of his brows presenting itself, but is quickly smoothed out. His facial features told that he was in thought, maybe why the status of his brow's positioning alters every now and then. Every few minutes he'd break his gaze away from the sky and set it upon the general area before him, starting with Kariudo herself the panning over to his [IC] left --- everything coming into view. For the most part, however, he remains silent.* - Mon Dec  7 05:37:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Hm.. - Mon Dec  7 05:44:19 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Been a bit quite around here lately. - Mon Dec  7 06:03:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Yeah... pretty quiet. - Mon Dec  7 06:09:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Could say we have the village to ourselves.. Kind've odd, even for Kumogakure. - Mon Dec  7 06:16:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Yeah it is weird.... - Mon Dec  7 06:20:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: So lets do something. - Mon Dec  7 06:20:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: What -is- there to do..? - Mon Dec  7 06:25:16 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) brings his free hand to the back of his head and scratches.* - Mon Dec  7 06:25:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Have anything in mind? - Mon Dec  7 06:25:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Hm.... - Mon Dec  7 06:26:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: We could play a game. - Mon Dec  7 06:26:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Or we could just talk.... - Mon Dec  7 06:26:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Or we could....... - Mon Dec  7 06:26:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I don't know? - Mon Dec  7 06:26:59 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: A game..? - Mon Dec  7 06:29:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Alright, I'm up for one. - Mon Dec  7 06:29:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: What kind of game though? - Mon Dec  7 06:32:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Mmmm. - Mon Dec  7 06:32:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I mean we haven't done that drinking game we agreed on long ago. - Mon Dec  7 06:32:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....oh....... - Mon Dec  7 06:32:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: We could do something basic like that, unless you're looking for a thrill or something. - Mon Dec  7 06:32:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I guess...we could do that... - Mon Dec  7 06:32:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: What kind of thrill? - Mon Dec  7 06:32:57 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) supplies a shrug.* - Mon Dec  7 06:33:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I'm honestly brain dead. - Mon Dec  7 06:34:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: .... Hm. - Mon Dec  7 06:34:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Our fear game was fun...but it ended badly. - Mon Dec  7 06:35:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Hm... - Mon Dec  7 06:42:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Maybe a modified fear game? Or something... I don't know. - Mon Dec  7 06:42:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I'm trying to think of something that isn't like... just fighting. - Mon Dec  7 06:43:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: What about like a dare game? - Mon Dec  7 06:43:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I'm terrible at that probably.... - Mon Dec  7 06:43:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ..That'll make it funnier.. - Mon Dec  7 06:43:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: But only for one of us. - Mon Dec  7 06:43:12 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) smirks a bit.* - Mon Dec  7 06:43:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I mean... I am bad at daring things. - Mon Dec  7 06:44:03 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: So I won't know what to dare. - Mon Dec  7 06:44:03 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Even better for me. - Mon Dec  7 06:44:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....but...what if I can't think of anything? - Mon Dec  7 06:44:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: We need to make rules. - Mon Dec  7 06:44:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Alright. - Mon Dec  7 06:47:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: We're going to do something like Truth or Dare.. but we can't pick for ourselves. - Mon Dec  7 06:47:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Hm.. okay. - Mon Dec  7 06:49:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Roll a dice.. - Mon Dec  7 06:49:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: So back and forth or dice based? - Mon Dec  7 06:49:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Mhm. - Mon Dec  7 06:49:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Oh okay dice based. - Mon Dec  7 06:49:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Who gets to decide based on the dice? - Mon Dec  7 06:49:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Hmm. - Mon Dec  7 06:50:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Roll a dice, hits a certain range of numbers.. we dare or truth.. if we can't answer the truth or dare.. we gotta do something. - Mon Dec  7 06:50:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Wait what? - Mon Dec  7 06:53:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: What if we both roll the number? And what do you mean do something? - Mon Dec  7 06:53:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Umm.. Good point.. - Mon Dec  7 06:56:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: What you think we should do? - Mon Dec  7 06:56:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Water and Fire. - Mon Dec  7 06:56:00 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Mon Dec  7 06:56:00 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Shame... - Mon Dec  7 06:56:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Oh...does this mean you can't teach me? - Mon Dec  7 06:57:42 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Mon Dec  7 06:58:33 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Some...things.. - Mon Dec  7 06:58:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But not what you wanted to teach me...huh? - Mon Dec  7 06:58:33 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ....Correct... - Mon Dec  7 06:58:33 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Better than me.. - Mon Dec  7 06:59:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I have Lightning and Earth.. - Mon Dec  7 06:59:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Okay so... how about we take turns rolling one dice. If the person rolls a evens, they dare the other person, if they roll an odds then they have to get dared by the other person. Then you roll a second dice after it's decided who is daring/truthing... and if it's evens it's dare, if it's odds then it's truth? - Mon Dec  7 07:00:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: If you can't do the truth or dare provided.... then the daring person gets to chose something they want. - Mon Dec  7 07:00:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: If you deny that thing again, then the game has to end. - Mon Dec  7 07:00:16 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ....... - Mon Dec  7 07:00:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I like Lightning and Earth though... - Mon Dec  7 07:01:07 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No one around here has water..... - Mon Dec  7 07:01:07 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Light...ning and...earth... - Mon Dec  7 07:01:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ....... - Mon Dec  7 07:01:58 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Opposing...element... - Mon Dec  7 07:01:58 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Same...with you...female... - Mon Dec  7 07:01:58 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Opposites attract. - Mon Dec  7 07:01:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Mon Dec  7 07:01:58 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Alright.. I'm game. - Mon Dec  7 07:02:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: 'Opposites attract' does he think he's cute? - Mon Dec  7 07:02:49 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: Social interaction qouta has been exceeded. - Mon Dec  7 07:09:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Okay... hang on. - Mon Dec  7 07:18:11 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's eyes widened a bit when he was mentioned.* - Mon Dec  7 07:22:27 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Mon Dec  7 07:27:34 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: I will go ahead and take an educated guess and say that he is Sogeki. - Mon Dec  7 07:27:34 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) glanced over at Akito, supplying him with a nod. "Well, she already introduced me. Name's Sogeki. It'd be a pleasure to actually," coughs, "train.. with you."* - Mon Dec  7 07:30:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You ready to go then? - Mon Dec  7 07:33:32 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ...... - Mon Dec  7 07:33:32 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Yeah... - Mon Dec  7 07:33:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'll see you around. - Mon Dec  7 07:34:24 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) placed his focus on Kariudo, "yeah. Let's go."* - Mon Dec  7 07:34:24 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) was totally led to his house.* - Mon Dec  7 07:36:06 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) walked in to the house and immediately kicks off his shoes and pulls down the upperbody part of his jumpsuit, sighing in relief.* - Mon Dec  7 07:39:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Mon Dec  7 07:40:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You like being naked a lot... - Mon Dec  7 07:40:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..... - Mon Dec  7 07:40:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I mean.. - Mon Dec  7 07:40:22 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) looked at her in thought.* - Mon Dec  7 07:41:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Never thought of it, actually.. - Mon Dec  7 07:41:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Always considered it as me being comfortable. - Mon Dec  7 07:41:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Alright so. - Mon Dec  7 07:42:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Game. - Mon Dec  7 07:42:04 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) followed after her. He can't lie, he really enjoyed having her in his home. He sits across from her and smirks a bit, shrugging to her question. "Ehh, sure. Why not."* - Mon Dec  7 07:44:38 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) took grasp of the dice and looked down at them, doing his tradition prayer before he 'gambled'. He sighs and nods his head before clenching the dice a bit and shaking it. Just then, he'd lightly chuck the dice on the table.. starting the game.* - Mon Dec  7 07:46:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oh wait. You gotta roll a second dice. - Mon Dec  7 07:48:03 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: To determine truth or dare. - Mon Dec  7 07:48:03 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Fuck my life.. - Mon Dec  7 07:48:03 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oh truth. - Mon Dec  7 07:48:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm.... - Mon Dec  7 07:48:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hmmmmmmmmmmmmmmmmm. - Mon Dec  7 07:49:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Am I the first girl you kissed? - Mon Dec  7 07:49:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Fuck.. My.. Life. - Mon Dec  7 07:49:45 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) slowly shook his head, "no."* - Mon Dec  7 07:49:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Mon Dec  7 07:50:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ...Ha. - Mon Dec  7 07:50:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: This sucks. - Mon Dec  7 07:50:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hahah. - Mon Dec  7 07:50:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm not good at dares. - Mon Dec  7 07:50:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Nng.. - Mon Dec  7 07:51:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: .......... - Mon Dec  7 07:52:19 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) took the pepper into his grasp and gulped..* - Mon Dec  7 07:53:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: You.. You're serious? - Mon Dec  7 07:53:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yes. - Mon Dec  7 07:53:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's not even the hottest pepper. - Mon Dec  7 07:53:10 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) slowly shook his head and closed his eyes. He suspected that he had to eat all of it, but to test his luck he'd only chomp down on less than half. It wasn't that hot, but still. He swallows and opens his eyes to see if it was acceptable.* - Mon Dec  7 07:54:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....I said -eat it-. - Mon Dec  7 07:55:44 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) gulped again and shedded a anime-style tear once she brought out the glass of milk. He looks down at the remaining amount of pepper before using his other hand to pinch his nose shut and consume it all.. except the stem. "Mi-Milk!"* - Mon Dec  7 07:57:26 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) gulps the milk down and fixed his eyes on her, revenge.* - Mon Dec  7 08:02:33 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: This is rigged. - Mon Dec  7 08:03:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uhmmmm. - Mon Dec  7 08:04:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Did you ever want to be with Akarui? - Mon Dec  7 08:04:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: At one point I did, but toward the end I saw a brighter light. - Mon Dec  7 08:11:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Mkay. - Mon Dec  7 08:15:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Oh. - Mon Dec  7 08:15:21 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Ha. - Mon Dec  7 08:15:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: I don't think I like the outcome of any of these except when I ask him truths. - Mon Dec  7 08:15:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ..... are you gonna ask? - Mon Dec  7 08:17:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Uhh, yeah. - Mon Dec  7 08:17:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmmm. - Mon Dec  7 08:17:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmmmmmmm. - Mon Dec  7 08:18:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Would you rather go with Akarui or the Raikage. - Mon Dec  7 08:18:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Mon Dec  7 08:19:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What you mean 'go with'? - Mon Dec  7 08:19:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Date. - Mon Dec  7 08:19:37 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded. "Alright." He takes the dice and started his turn.* - Mon Dec  7 08:20:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: ...He didn't make fun of me... - Mon Dec  7 08:20:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Crap. - Mon Dec  7 08:21:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..... - Mon Dec  7 08:22:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hahahaha. - Mon Dec  7 08:22:11 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) was going to play it nice at first.

He walks over to his fridge and gathered three cans of soda, all different falvors. One was cherry pop, one was grape and one was lemon. "I dare you to pick one and chug it.. Nonstop."* - Mon Dec  7 08:24:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....what are you doing? - Mon Dec  7 08:25:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You rolled truth. - Mon Dec  7 08:25:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Not dare. - Mon Dec  7 08:25:36 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) smirked.* - Mon Dec  7 08:26:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Mon Dec  7 08:26:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmph. - Mon Dec  7 08:26:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright, alright. - Mon Dec  7 08:26:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You suck at numbers.~ - Mon Dec  7 08:26:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Shhhhhhhhh.~ - Mon Dec  7 08:26:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Anyways. Uhhh... - Mon Dec  7 08:27:18 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Do you.. find yourself attractive? - Mon Dec  7 08:27:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't really... think about attractive? - Mon Dec  7 08:29:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm asexual. - Mon Dec  7 08:29:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Alright.. - Mon Dec  7 08:29:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Uhh.. - Mon Dec  7 08:29:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright, I'll accept that. - Mon Dec  7 08:29:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Mon Dec  7 08:29:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Ha. - Mon Dec  7 08:29:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Erg... ask another one. - Mon Dec  7 08:29:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Do you have any regrets as of late..? - Mon Dec  7 08:29:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Not being here to stop Akarui... - Mon Dec  7 08:30:43 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded yet again. "Right," he mutters and takes the dice from her.* - Mon Dec  7 08:31:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Mon Dec  7 08:31:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: The soda? - Mon Dec  7 08:31:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Mhm. - Mon Dec  7 08:31:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...I hate all these flavors... - Mon Dec  7 08:32:25 2015
