<br><font color=teal>*Ortho(DhatBoiNick) says: I've been funding for some repairs. - Fri Nov  6 04:15:08 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: Idiot... - Fri Nov  6 17:57:45 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: . . . Slightly rude, don't you think? - Fri Nov  6 17:57:45 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: 'Slightly' . .? - Fri Nov  6 17:57:45 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 17:57:45 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I'm sure the Mizukage can handle themself. - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Let her be. - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: - - - - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: It seems to be her attitude. - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Not something you can really fix. - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) thinks: He shouldn't take that. - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: You killed Ortho, correct? - Fri Nov  6 17:58:36 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Who's Ortho? - Fri Nov  6 17:59:28 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Go back to the hole you came out of. - Fri Nov  6 17:59:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 18:00:19 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) thinks: What? - Fri Nov  6 18:00:19 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: 'Mizukage', did you kill Ortho? - Fri Nov  6 18:01:10 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Anyway. - Fri Nov  6 18:01:10 2015
<br><br><font color=red>*Kana(Zoey-Lover) just <i>KILLED</i> Hogo, Ikaro(EvolutionMe) - Fri Nov  6 18:01:10 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm not ignoring you. - Fri Nov  6 18:03:44 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Then answer the question. - Fri Nov  6 18:03:44 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Ketsu = Ortho? - Fri Nov  6 18:04:35 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) releases an audible sigh, slowly shaking his head and glances toward Kana. "Ortho was killed by the one known as Yan. He came here, sneak attacked Ortho then left."* - Fri Nov  6 18:05:26 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: I see. - Fri Nov  6 18:07:08 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Guess I have to kill him then. - Fri Nov  6 18:07:08 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Who's Ortho? - Fri Nov  6 18:08:51 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: None of your business. - Fri Nov  6 18:09:42 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: The person who wrecked the village last. - Fri Nov  6 18:09:42 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Then why is she getting so worked up about his death? He was obviously scum. - Fri Nov  6 18:09:42 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ..... - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: It's all based on point of view. - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Hey... - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Uhhh. - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Can I talk to you in private? - Fri Nov  6 18:10:33 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) looks at Ikaro.* - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Do I know you? - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: Ketsu better now be causing trouble. . . - Fri Nov  6 18:11:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: *not - Fri Nov  6 18:11:24 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: No, no you don't. - Fri Nov  6 18:12:16 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: You don't want to speak to him in private, you rub off his stupidity. - Fri Nov  6 18:12:16 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Then introduce yourself first. After that, we can talk. - Fri Nov  6 18:12:16 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Name's Ketsu. - Fri Nov  6 18:13:07 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: And I'm Ikaro. Lead the way. - Fri Nov  6 18:13:07 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) paced off.* - Fri Nov  6 18:13:07 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: Calling me scum? Die, bitch. - Fri Nov  6 18:13:07 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Well? - Fri Nov  6 18:13:58 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: So, uhh. - Fri Nov  6 18:13:58 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Scum, right? - Fri Nov  6 18:13:58 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: You think he's otherwise? Our village has already been through enough. - Fri Nov  6 18:13:58 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: If you're trying to convince me he isn't scum, then... - Fri Nov  6 18:14:49 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: You may aswell stop. - Fri Nov  6 18:14:49 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: I want to know what your definition of 'scum' is. - Fri Nov  6 18:15:40 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Simply someone who only cares for their own values. - Fri Nov  6 18:16:32 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: He destroyed a village that was, and is, probably the weakest village around. . . - Fri Nov  6 18:17:23 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: We've suffered too much - Fri Nov  6 18:17:23 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: And because they care for what they believe in, they're scum- - Fri Nov  6 18:17:23 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: I see, I see. Do you know what led up to him doing so? - Fri Nov  6 18:18:14 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Go on. . . Tell me all about it. - Fri Nov  6 18:18:14 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Did you hear how the previous Mizukage casted a Genjutsu on him? Attempted to kill him because he didn't want to support her with funds for a military power? - Fri Nov  6 18:19:56 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: How she attempted to kill him again because he refused to become a legal shinobi of Kirigakure and do nothing but missions? - Fri Nov  6 18:19:56 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: While she reeped what he sowed? - Fri Nov  6 18:19:56 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: . . . That doesn't justify destroying the entire village. - Fri Nov  6 18:19:56 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: He should have taken revenge upon her, and her alone. Her family; kin and what not. - Fri Nov  6 18:20:48 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: You're mistaken and foolish. Ortho didn't destore the entire village, he killed the people that aided the Mizukage. - Fri Nov  6 18:20:48 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Well, quite obviously, he didn't kill them all. There are still shinobi left. - Fri Nov  6 18:21:39 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Violet and Elon helped Kirie torture him, so he killed them both. - Fri Nov  6 18:21:39 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Kirie was already rumored death before he came to claim those two lives. - Fri Nov  6 18:22:30 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: I guess coming to Kiri was a bountiful idea.....good job me...Good job...*mental high five* - Fri Nov  6 18:22:30 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: He did exactly what you said he should've done, yet he is a scum? - Fri Nov  6 18:23:21 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Before you even managed to hear another side of the story..? - Fri Nov  6 18:24:12 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: You.. are the true scum. - Fri Nov  6 18:24:12 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: And to think that you, him and the late Kilm are in the same organization. - Fri Nov  6 18:25:04 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: And you consider him scum..? - Fri Nov  6 18:25:04 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Why do you hold such a high image of him? - Fri Nov  6 18:29:20 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: It's as if you're blinded by his faults. - Fri Nov  6 18:29:20 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Althought, I have to admit, there were faults on both sides. - Fri Nov  6 18:29:20 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: You switch the topic with relative ease when you have been told the other side of the story. - Fri Nov  6 18:29:20 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Did you not just hear me admit that both sides were in the wrong? - Fri Nov  6 18:30:11 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: That's not the matter at hand. Is he, or is he not, a scum for doing exactly what you said he should've done? - Fri Nov  6 18:30:11 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: Shit. - Fri Nov  6 18:31:02 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: He isn't as bad as I originally anticipated; however, despite me not agreeing with what Kirie did, I cannot forgive him - regardless of if he is deceased or not. - Fri Nov  6 18:31:02 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: I see. So you held relations, or relationships, with Elon and Violet. - Fri Nov  6 18:31:53 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Correct? - Fri Nov  6 18:31:53 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I used to be incharge of Violet's squad. She was a pupil of mine, once upon a time. Elon? Not really.  - Fri Nov  6 18:32:44 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: So you were the one that taught Violet the arts of torture? - Fri Nov  6 18:32:44 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I taught her nothing of the sort. . . - Fri Nov  6 18:32:44 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: A pupil is nothing without the aid of the entire eyeball. - Fri Nov  6 18:33:36 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I wasn't even her sensei for long, considering Kirigakure met one of it's multiple ends shortly thereafter. - Fri Nov  6 18:33:36 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Let's say you can't forgive Ortho, which I'm not saying you have to or should, what are your views of Kilm's death? - Fri Nov  6 18:34:27 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I didn't hear how he died - All I heard was the fact he was dead. Nothing else. I don't exactly have an opinion on it due to that fact. - Fri Nov  6 18:35:18 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: The person he vowed his life to killed him. - Fri Nov  6 18:36:09 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: The female known as Katsune. - Fri Nov  6 18:36:09 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I met her once - Kilm noted that she could be trusted. He said she was a friend. - Fri Nov  6 18:36:09 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: Violet died!? Goodie goodie goodie...*mental high-five* - Fri Nov  6 18:36:09 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Does it matter how many times you have met her? You are aware that he placed his trust in her, and ended dead by her hands. - Fri Nov  6 18:37:00 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: What now? - Fri Nov  6 18:37:00 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I'll happily end her life whenever I next see her. - Fri Nov  6 18:38:43 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: I see. Have you heard the name Index before? - Fri Nov  6 18:39:34 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Sounds familiar. - Fri Nov  6 18:39:34 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Why? - Fri Nov  6 18:39:34 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: She's involved with him relations, and relationship, wise. - Fri Nov  6 18:39:34 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Why are you telling me this? - Fri Nov  6 18:40:25 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: I want to see your standing point. - Fri Nov  6 18:40:25 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Well, it depends on how the situation would be set to pan out. - Fri Nov  6 18:41:16 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: So you're saying your standing point has the potential to sway? - Fri Nov  6 18:42:08 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Yes. - Fri Nov  6 18:42:08 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Do you view yourself to sometimes have 'scum' tendancies? - Fri Nov  6 18:44:41 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: I wonder if they noticed the Mizukage and his shiny blue hat. - Fri Nov  6 18:45:32 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: More often than not. - Fri Nov  6 18:45:32 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: This is ridiculous. . . - Fri Nov  6 18:46:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: I really need to be doing other things. - Fri Nov  6 18:46:24 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Very well. That is all I have to say or ask. - Fri Nov  6 18:46:24 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Well? - Fri Nov  6 18:49:48 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Are we done? - Fri Nov  6 18:49:48 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) lets the hypocrite go. He turns his head to face the Mizukage and Kana, watching what was going on between them.* - Fri Nov  6 18:55:47 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: You alright, Lera? - Fri Nov  6 18:55:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....You're the fifth person to ask me that. - Fri Nov  6 18:56:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: And I am as well as I can be. - Fri Nov  6 18:56:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see. - Fri Nov  6 18:56:38 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: It's a common greeting. - Fri Nov  6 18:56:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: And you are aware of Ortho? - Fri Nov  6 18:56:38 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: What ever do you mean? - Fri Nov  6 18:56:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: And Ikaro, when one has lost everything they love the term ' are you alright' gets old. - Fri Nov  6 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: I mean, Are you aware of the threat that Ortho presents to this village - Fri Nov  6 18:57:29 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I can assure you, I've lost just as much. - Fri Nov  6 18:57:29 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: She hasn't heard? Goodie goodie... - Fri Nov  6 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm sure you have, But i'm not so spiteful to feel good about it. - Fri Nov  6 18:57:29 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: You aren't aware of his passing? - Fri Nov  6 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: He's dead? By who's hand? - Fri Nov  6 18:57:29 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Yan, apparently. - Fri Nov  6 18:58:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yan? - Fri Nov  6 18:58:20 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: name rings a bell... - Fri Nov  6 18:58:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Somehow, I don't see that happening. - Fri Nov  6 18:58:20 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: That's what I've heard. - Fri Nov  6 18:58:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, I can ask him myself I suppose. - Fri Nov  6 18:58:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well...I simply came to see who was taking the reigns. - Fri Nov  6 18:59:12 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Well, my name is Jehan. - Fri Nov  6 18:59:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Lera, pleasure. - Fri Nov  6 19:00:03 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Likewise. - Fri Nov  6 19:00:03 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ..Ehh? - Fri Nov  6 19:00:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anyway. I intend to stay in Sunagakure for the time being, until I take up an independant status. - Fri Nov  6 19:00:54 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Aye, I can show you proof that it was Yan.. - Fri Nov  6 19:00:54 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Would you like to come to the grave sight? - Fri Nov  6 19:00:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm sure you would not complain if I send money to Kirigakure every once in a while? - Fri Nov  6 19:00:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: And no, thats quite alright. I'll be seeing Yan shortly. - Fri Nov  6 19:00:54 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I wouldn't complain at all. - Fri Nov  6 19:00:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good, this is still my village; I do want to support, albeit in my own way. - Fri Nov  6 19:01:45 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: How much money does Kirigakure currently have anyway? - Fri Nov  6 19:01:45 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good question? How are the funds? - Fri Nov  6 19:01:45 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: After my own contribution. - Fri Nov  6 19:01:45 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: We have enough to manage. - Fri Nov  6 19:01:45 2015
<br><br><font color=teal>*Lera(Bailey42) says: And how much is that? - Fri Nov  6 19:02:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'd rather not discuss funds in public. - Fri Nov  6 19:02:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: I would like to contribute now, but it'll be pointless if the amount I give is insignificant. - Fri Nov  6 19:02:36 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Well, I'd like to donate some funds too. . . - Fri Nov  6 19:02:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see. - Fri Nov  6 19:03:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Will you be rebuilding the jutsu archives? - Fri Nov  6 19:06:52 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Of course. - Fri Nov  6 19:07:44 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: Ugh...Those jutsu archives.... - Fri Nov  6 19:09:26 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right. - Fri Nov  6 19:09:26 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, I'm sure I can help with that as well. - Fri Nov  6 19:10:17 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. It'll be appreciated. - Fri Nov  6 19:10:17 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) brings his right hand to his mouth, clamping down on his thumb and subtly allowing a trickle of blood to expel from the wound. He quietly smears the blood in his opposing, forming a quick succession of handseals afterwards. No words were said, no sudden movements were made. He acts completely casual as he crouched down and placed the smeared palm on to the grassy ground. Just as he did so, the immediate area is engulfed in a shroud of white smoke.
 
Out from behind the smoke came a massive purple snake, charging toward Lera's general area. Of course, since Manda, the name of the snake, knew of the current plan, he'd purposely avoid the Mizukage. Ketsu, who was placed on top of Manda's head would string together another series of handseals, allowing his chakra to knead within his stomach. Afterwards, when the handseals were complete, he'd inhale one powerful time. His lips pucker and his chest deflate, unleashing a powerful gust of wind toward Lera.* - Fri Nov  6 19:15:24 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: Holy shit... - Fri Nov  6 19:22:14 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: Fuck me. - Fri Nov  6 19:24:48 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) ||

Ketsu: "Manda.."

Manda: "I know."

Lera's attempt to submerge herself beneath ground and escape was humorous. Ketsu hops off Manda's head, allowing the massive snake to utilize his burrowing abilities to chase after the female. Once, or if, the snake was to catch up to the female, he'd attempt to swallow her whole. He, while that was going on, turned to look over at Ikaro. "Stay out of this. This is between me and the people that fucked me over!"* - Fri Nov  6 19:38:27 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) || There seemed to be a misunderstanding in what exactly Manda is capable of. This massive snake was rather fast for his size, and it's for that very same reason that Lera may have screwed herself over. With her extracting herself from the ground and attempting to take flight, which increased her speed a bit, Manda was right there. Lera, whilst underground, was still slower than Manda as is, this little speed boost did little to nothing for Lera. By time her feet left the ground, it's most likely that Manda was right under her, still attempting to swallow her whole.

Ortho, on the other hand, had Ikaro to worry about. While Manda did his thing, with the now aid of the ANBU Agent, Ortho strung a series of handseals together. Ikaro must feel like he is Frieza or something, his talking screwed him over. Ortho's blackened pupils lighten a bit, then dims into a new color. As his sharingan activates, his jutsu was ready. Before Ikaro went to launch the bubbles forward, Ortho would stretch his arms out and send a devastating pulsation of electricity forward. Ikaro, you talk too much.* - Fri Nov  6 19:58:04 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: I'm rooting for Ikaro and erm . . . Lera. - Fri Nov  6 20:04:54 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: I need popcorn. - Fri Nov  6 20:04:54 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: Ghost kilm is a bitch -omit- - Fri Nov  6 20:04:54 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) || Misunderstanding after misunderstanding; let's not make this a trend. Yes, Lera had a plausible way out of this, but do she really think Manda was any different structure wise from regular snakes? Let's be honest here, Naruto got out of the snake from the use of Multiple Shadow Clone, not a damn kunai or finger tips. That being said, while using his natural snake abilities to alter the muscles in his throat, Manda would shift Lera and the samehada around within his body. On top of that, the inside of Manda, like every other snake that was digesting something, was extremely slimy. As a result, when the samehada went to be used as a wedge, it simple slipped out of place. By this point, Lera's frame would begin to be squished and suffocated by the inside muscle of Manda.

Ortho, with Ikaro now coming in for the snipe, narrowed his eyes. The oncoming bullet was fast, but it wasn't something he couldn't counter. With it raging forth, from the distance at which it was coming from, Ortho ducked and evaded. Upon doing so, with handseals once again rapidly stringing together, Ortho allows his chakra to knead with haste. Just as the bullet swooped past him, after he ducked and evaded, Ortho slammed his palms on to the ground again. A massive dorm would life around Ikaro as a result, quickly encasing the male completely.

Ortho wasn't done there. He didn't want to underestimate Ikaro, so he formed another succession of handseals; the same as before. Once again, he'd knead his chakra and slam his palms down, aiming to create yet another dome around Ikaro and the first dome. Now, it was a double dome.* - Fri Nov  6 20:19:24 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Being an eternal spectator is awesome. - Fri Nov  6 20:21:07 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: I should go to the Gezo land and poke the leader. - Fri Nov  6 20:21:07 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) || There was a reason why Ortho wanted to capture Ikaro in the two domes. Another succession of handseals was formed and his combination continued. With Ikaro now sinking below ground, just like Elon and Violet did, Ortho goes to his Earth Style chakra nature. He slams both his palms into the ground, causing a barrage of spikes to form through the earth and riddle the generic area where Ikaro was with it. The intention was to pierce through the body of the Hogo. Yes, the body of a HOGO.

The next formation of handseals was what will define this battle, or so Ortho believed. The Bamboo Shoot was just the beginning, and whether or not Ikaro was hit, Ortho continued the onslaught. He forms another set of handseals and stretched his arms out, aiming to submerge the area in lightning. To make matters worse, he'd place his palms on the turf to have the electricity surge below the surface as well.

Manda was over there handling his business. It was until the sudden rush of mud, which no handseals were apparently done for but was going to let slide since it's whatever, that Manda had to throw Lera up. Snakes, unlike humans, threw up their food on a daily basis. It's for that reason why Manda went on the onslaught again when Lera was expelled from his body. Instead of trying to swallow her, he simply tried to crush her under his weight.* - Fri Nov  6 20:38:11 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Well ain't this a fun bout. - Fri Nov  6 20:58:40 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: I wish I had something to eat. - Fri Nov  6 20:58:40 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Eat some Fish Sticks. - Fri Nov  6 20:58:40 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: -omit- - Fri Nov  6 20:58:40 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: You what mate? - Fri Nov  6 20:59:31 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: -omit- - Fri Nov  6 20:59:31 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: -omit- - Fri Nov  6 21:13:10 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) || This battle was getting annoying. Ortho couldn't comprehend why Ikaro just didn't but out and mind his own business. Hell, if anything, Ortho didn't even want to fight the damn Hogo. For the most part, he wanted to claim what was rightfully his; Lera's life.

Ikaro extracts himself from beneath the ground, Ortho stares at him and slowly shook his head. "I'm no push over, Ikaro. Mind your business and leave me to my work!" That being said, with another set of handseals being weaved together, he'd fill his lungs with air. Upon doing so, he'd began exhaling in intervals, sending off a multitude of air bullets toward the Hogo.

Meanwhile, with Lera trying everything to get away from the onslaught, Manda halted his descent to her body. Just as he did, he saw Mizumi come in for the clutch in an attempt to subdue Lera. As a result, Manda would maneuver his war around the two, lessening the room Lera had. If she took flight, he'd be able to react. If she burrowed, he'd be able to react.* - Fri Nov  6 21:18:17 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) formed a single handseal, causing the root seal he placed on Manda to activate; the snake's body goes limp and he is knocked out cold.* - Fri Nov  6 21:28:32 2015
