<br><font color=teal>*Zetseun, Cypher(Jjking218) says: So you could make a pill to give me green eyes or something? - Wed Oct  7 15:44:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: We all heard it - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: puse - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: what - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: What? - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: --------? - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You know. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I don't.. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You told us yesterday that you touched Gene - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: NO! - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I DIDNT! - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And that you masturbated on her when she was asleep - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Stop lying. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What. . .  - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . . - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: She's lying. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I can get Amon here - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He wont lie - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Get AMON. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He is your 'bro' - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I will. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Just you wait. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He said he was just messing with me anyway. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am being serious - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: That's. . . - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Gene you might want to lock your doors - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: So am I. - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: disgusting. . . . . . . . - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Get a dead bolt - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You ever woke up all crusty? - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: . . . - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Now you know the reason - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I will get Amon to confirm this Idiot N.1 - Thu Oct  8 16:30:17 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You like making me mad. - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But that shit isn't funny. - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Its fucking hilarious from where I am standing. - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: I thought she was giving me that look then... - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's kinda like me saying to some you know. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You finger your sister. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Problem? - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Disgusting. . . All of them. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yes, it's a fucking problem. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Is it? - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Not from where I am standing. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You're just an asshole. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Change the subject. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And you are too overly sensitive. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You're both...not very nice people... - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You made my sister walk off. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: -Change- the subject. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Because you rubbed one off when she was asleep. - Thu Oct  8 16:34:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I feel uncomfortable, therefore others must to-- so change it. - Thu Oct  8 16:34:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: *Sigh* - Thu Oct  8 16:37:07 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: I need to find my siblings and get them away from the menace. - Thu Oct  8 16:37:07 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . - Thu Oct  8 16:37:58 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . That's nasty if you did do it. - Thu Oct  8 16:37:58 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Okay. . . - Thu Oct  8 16:38:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm just gonna go and train.... - Thu Oct  8 16:38:49 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Ortho, help this girl train. - Thu Oct  8 16:39:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: She is not my responsibility. How much I teach her if I too am unknowing..? - Thu Oct  8 16:39:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Who is this child? - Thu Oct  8 16:39:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I just graduated not too long ago... - Thu Oct  8 16:40:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Why does Ortho get so much recognisation... - Thu Oct  8 16:40:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So I guess I'm a nobody. - Thu Oct  8 16:40:32 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'll come as well. - Thu Oct  8 16:41:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You want to come with me? - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: If Ortho goes. - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Tch... - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm worth it, I promise! - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..tch.. - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very well. - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll go.. - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Anyone mind if I go a long..? - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I don't really...want to listen to these two argue...about vulgar things.. - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Come along, Takeda. - Thu Oct  8 16:43:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I've been meaning to leech some techniques off of you. - Thu Oct  8 16:43:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well...Only if you teach me some stuff as well... - Thu Oct  8 16:43:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Leeches. . .The whole lot of them. - Thu Oct  8 16:43:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: If I have jutsus you don't, I'll be sure to provide them to you. - Thu Oct  8 16:44:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Thanks. - Thu Oct  8 16:44:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: I'm not losing my left arm too, fuck that. - Thu Oct  8 16:45:39 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . .  No. - Thu Oct  8 16:45:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: She's a medical shinobi. - Thu Oct  8 16:45:39 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . Med. . di. . .cool? - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: She fixes... - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Fix. . ? - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Injuries. - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . Bu'. . . Arm no fix. - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: You pain, me heal - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is still broke. - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ..It takes time. - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Can't heal right away.... - Thu Oct  8 16:46:30 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) 's arms unravels from across his chest as he pivots forward, allowing himself to trail after Nina.* - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Not if it's broken. - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm. . . All thin' take time. . .  - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Okay, so what's first?~ - Thu Oct  8 16:48:12 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) slowly shook his head, realizing that Misa was full of bullshit. The request to train someone he doesn't even know is one thing, but to be lied to just so he can do it is another. At this point and time Ortho was prepared to just walk away, but even he knew that he couldn't stoop to such a level where he abandons this child in need of a drink of knowledge. A simply sigh escaped Ortho as he set his gaze on Nina, examining her built to depict whether or not she could hone in on the few techniques he had. Whether or not she was, he wouldn't have a straight forward answer just yes. "First things first, start honing in on your own techniques. Once you master them, I will supply you with some from my own arsenal."

Waiting on a reply from Nina wasn't on Ortho's mind as he simply turned his back to her and began his own training. He starts off by stitching together a series of handseals, skillfully tying his fingers together with relative ease and haste. Upon doing so, whilst his handseals were sowed together, he began kneading his chakra together within his stomach. It's at that moment when his kneaded chakra would thicken a bit and take the form of water. With the puckering of his lips and a subtle push, a powerful torrent of water would spew from his mouth.

By time the torrent of water was to explode from his mouth in a continuous stream, Ortho began weaving another set of handseals together; his chakra kneading within his body once again. Once the handseals were completed, he'd stretch his arms out and unleash a pulsating surge of electricity through his palms. The two jutsus would merge into a devastating Electrical Raging Waves.* - Thu Oct  8 17:10:24 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) continues on with his training, allowing his chakra to slowly seep out of his body. Within seconds, after performing the necessary handseal, a shroud of white smoke would spawn to the right of him. From within the mask of the smoke emerged an exact duplicate of Ortho, matching him in every way possible. The clone, with the knowledge of what Ortho had happened, would string together a series of handseals whilst pivoting forward. While in sync of his clones' movements, Ortho, the original, would pivot backwards while performing the same handseals as the clone.

With the two of them traveling in opposite directions, they'd both face another in their new positions and prepared their jutsus. Both their chakras would knead within their stomachs and liquefy and reach full capacity. Following that was the puckering of both their lips and the unleashing of two powerful torrents of water.* - Thu Oct  8 17:47:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So mister Ortho, when do I get to learn something...? - Thu Oct  8 17:57:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're rushing yourself too quick. Master the techniques you have thus far and advance at a pace where you don't burden yourself. - Thu Oct  8 17:58:11 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I am merely here to oversee your progress, not to hand you techniques when you haven't mastered the ones you already have. - Thu Oct  8 17:58:11 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yes sir. - Thu Oct  8 17:59:02 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) and his clone continued their assault on one another. With their respective torrents of water clashing at a midpoint, the two strung together other series of handseals and generated even more chakra. From within their body, as their chakras vigorously vibrate to create a spark, they'd raise their hands and unleash a powerful electrical surge.* - Thu Oct  8 17:59:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hey, I'm getting better aren't I?~ - Thu Oct  8 18:24:38 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Hmm. - Thu Oct  8 18:26:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Don't you think so? - Thu Oct  8 18:27:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I do. - Thu Oct  8 18:28:03 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So should I keep going?~ - Thu Oct  8 18:31:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Gene. - Thu Oct  8 21:50:17 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I don't know what I said. - Thu Oct  8 21:51:08 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: When I'm Raikage, my dream is to imprison Kojiro! - Thu Oct  8 21:51:08 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Thu Oct  8 21:51:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Im not Raizek chill with that shit - Thu Oct  8 21:51:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh. I'm Heiwa. Uncle Hideki's nephew. - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: You're so cute. - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Thanks. - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Oh, the kid. - Thu Oct  8 21:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's rude to stare. - Thu Oct  8 21:52:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is it because I'm black? - Thu Oct  8 21:52:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Damn chinks.. - Thu Oct  8 21:53:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What do you do? @Gene - Thu Oct  8 21:53:42 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm the head of the medical division, little one. - Thu Oct  8 21:54:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Like mom.. - Thu Oct  8 21:55:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Are you good?  - Thu Oct  8 21:55:24 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'd like to believe so, yes. - Thu Oct  8 21:55:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Fuck you too. - Thu Oct  8 21:57:07 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: So, kiddo. - Thu Oct  8 21:57:07 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You can call me... - Thu Oct  8 21:57:07 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) thinks: I wonder what charismatic means. - Thu Oct  8 21:57:07 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Daddy Kojiro... Or just dad, pops. - Thu Oct  8 21:57:07 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Real nigga. - Thu Oct  8 21:57:07 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) thinks: That guy sure talks a lot. - Thu Oct  8 21:57:07 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..What?  - Thu Oct  8 21:57:58 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Bump my fist with yours. - Thu Oct  8 21:57:58 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Damn niggers. - Thu Oct  8 21:57:58 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) 's eyes were fixated on the skies above, not altering for a second. Reisen's presence was both felt and heard, the go-happy aura that emitted from her engulfing Ortho and her girly voice echoing through his mind. A simple nod of acknowledgment was supplied to the female; that's all Ortho could muster up due to his usual silent way of life. Still, however, with all the efforts shown, he'd speak. "Hello there, Reisen."* - Thu Oct  8 22:18:27 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) really wasn't the affectionate type. Lust was a thing where it can be expelled at will, but affection was something he just didn't learn growing up. With Reisen wrapping her arms around him, the most Ortho could do in response as lean it slightly and raised a single arm to return the grip. It wasn't much, but anyone that knew Ortho could tell that that was the best he's got. "I've missed you too.."* - Thu Oct  8 22:24:25 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) gave a shrug and a slow shake of his head; nothing was really on his mind at the moment. "I'm not sure. I've been doing a lot of meditating lately, and quite frankly I came to an understanding recently." Ortho's voice was subtle and leveled, no emotion granted with each syllable. For the most part, he was just calm and collected like usual. "I wouldn't mind getting a quick battle in; just to see how I fair against your unique ninjutsu."* - Thu Oct  8 22:32:57 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: legit. - Thu Oct  8 22:47:28 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) 's head was still raised and his eyes were still fixated at the sky. Luckily for him, the arrival of Misa wasn't too much of an unseen event. With haste, however, upon seeing Misa's preparations, Ortho would alter his stance and pivot backwards to assure safety. [I typed a longer RP, but the RP window crashed. This is what I get for not typing in word doc like I usually do.]* - Thu Oct  8 23:10:30 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) managed to recollect himself; the battle between Misa and Reisen raging on in the meantime. His knowledge of what happened after he pivoted back and was briefly knocked out due to the initial explosive tags was minimum, but from what he could see another person showed up; Hideki. With a look of confusion and anger, Ortho would turn to face Hideki and simply stared.* - Thu Oct  8 23:47:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --- - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Is that a no? - Thu Oct  8 23:56:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We can. After this, Cypher. - Thu Oct  8 23:56:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We'll also get Ortho in this. - Thu Oct  8 23:56:35 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) 's gaze continued to pierce through Hideki, relentlessly assaulting his soul.* - Fri Oct  9 00:00:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ---- - Fri Oct  9 00:00:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I feel....a disturbence.. - Fri Oct  9 00:00:00 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Guys. - Fri Oct  9 00:00:51 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'm making Hebi - Fri Oct  9 00:01:42 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Us 3 and Ortho - Fri Oct  9 00:01:42 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --omit- - Fri Oct  9 00:01:42 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Well, atleast I know the range. - Fri Oct  9 00:04:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: ALLYOU NINJAS UGLY! - Fri Oct  9 00:07:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: HAHAHA!SEXY NINJA PRIVILEGES@ - Fri Oct  9 00:08:32 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Fri Oct  9 00:08:32 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) walked away. Fuck that.* - Fri Oct  9 00:23:53 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) hides behind Baen.* - Fri Oct  9 00:25:36 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) was just a young lad.* - Fri Oct  9 00:25:36 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) slowly shook his head. This is why he kept to himself.* - Fri Oct  9 01:01:26 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Welp. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: Sulphur.. Hn.. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: We outchea. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: I'm not needed here I guess.. - Fri Oct  9 01:09:07 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) slowly shook his head and walked away. "Nope."* - Fri Oct  9 01:17:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: YOU KILLEd - Fri Oct  9 01:33:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: Note to self, write a letter to Kenshin...from the afterlife... - Fri Oct  9 01:38:59 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: This nigga's on my nuts. - Fri Oct  9 01:40:41 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Yo. - Fri Oct  9 01:42:24 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Play dead. - Fri Oct  9 01:42:24 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Ah, so they didn't kill Koeki! - Fri Oct  9 01:50:56 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) slowly shook his head, their arrival within the building only proving that once again they, mainly Ortho, were too weak to stand their own against a threat. At this point anger swelled within the lad and forced an aura of thick tension to consume his immediate area. Naturally, he radiated his anger. "..tch.."* - Fri Oct  9 01:55:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm getting.. sick of doing that.. - Fri Oct  9 01:55:12 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: . . . - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: One.. - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Two.. - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Calm....Ambrocio. - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Fuck. - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... Hmph.. - Fri Oct  9 02:02:01 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) and Hideki's eyes met, one set pitch back and the second set decorated with red pupils and three tomoe's. The words provided to the annoyed male proved to have some affect, the mention of one growing stronger in due time granted that outcome. Nevertheless, however, Ortho was still obviously annoyed but managed to keep it under control facial expression wise. A single nod is given to Hideki. "Understood."* - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good...Good.. - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm going to go check the outside. - Fri Oct  9 02:08:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Anyone else want to come with? - Fri Oct  9 02:08:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I might as well. It's been a while since I've been back here anyways. - Fri Oct  9 02:08:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Fri Oct  9 02:09:42 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ..Nnh. - Fri Oct  9 02:09:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Calm.. - Fri Oct  9 02:11:24 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Why are these people staring at us.. - Fri Oct  9 02:12:16 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) remained silent. His hands were tucked into his pockets and he held up his usual nonchalant posture.* - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Let's go. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 02:19:05 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: How about we play a game of dice? - Fri Oct  9 02:20:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 02:20:48 2015
