<br><font color=teal>*Nari(Ej247) whispers: Wow these fish cakes are dry. - Mon Nov  9 03:49:58 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: It's not another thing. . . - Wed Nov 11 01:05:16 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: It's. . .a part of me in a sense is how my parents explained it. . . - Wed Nov 11 01:06:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Before I killed them. - Wed Nov 11 01:06:08 2015
<br><br><font color=teal>*Nari(Ej247) says: It's his anger.. - Wed Nov 11 01:06:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Well.. Come to terms with yourself. - Wed Nov 11 01:06:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Only then. - Wed Nov 11 01:06:08 2015
<br><br><font color=teal>*Nari(Ej247) says: hes halk-omit- - Wed Nov 11 01:06:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Will you be at peace with yourself. - Wed Nov 11 01:06:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 01:07:50 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: If only it were that simple. - Wed Nov 11 01:07:50 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I need to check on Kiyoko. . .then we can go home Nari. . . - Wed Nov 11 01:08:41 2015
<br><br><font color=teal>*Nari(Ej247) says: Whos is Kiyoko? - Wed Nov 11 01:08:41 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: She was the last person I remember before it happened. - Wed Nov 11 01:08:41 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: She was a medic who was trying trying to help me control it. - Wed Nov 11 01:08:41 2015
<br><br><font color=teal>*Nari(Ej247) says: . . . - Wed Nov 11 01:09:32 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I told her not to. . . - Wed Nov 11 01:09:32 2015
<br><br><font color=teal>*Nari(Ej247) says: You know they might let you around her. - Wed Nov 11 01:09:32 2015
<br><br><font color=teal>*Nari(Ej247) says: not let* - Wed Nov 11 01:09:32 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: L-Let's just go to the hospital. . . - Wed Nov 11 01:10:24 2015
<br><br><font color=teal>*Nari(Ej247) says: F-fine. - Wed Nov 11 01:10:24 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I need to get looked at anyway. - Wed Nov 11 01:10:24 2015
<br><br><font color=teal>*Nari(Ej247) says: *exhales some smoke.* - Wed Nov 11 01:10:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: A'ight... see you two. - Wed Nov 11 01:11:15 2015
<br><br><font color=yellow>*Nari(Ej247) would follow Aza closely.* - Wed Nov 11 01:11:15 2015
<br><br><font color=teal>*Jay(Serori2) says: Yo - Wed Nov 11 01:18:56 2015
<br><br><font color=teal>*Nari(Ej247) says: So - Wed Nov 11 01:47:56 2015
<br><br><font color=teal>*Nari(Ej247) says: WAnt to go inside? - Wed Nov 11 01:47:56 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hm? - Wed Nov 11 01:47:56 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I-I'm waiting for them to be done. . . - Wed Nov 11 01:47:56 2015
<br><br><font color=yellow>*Nari(Ej247) tosses her blunt to ground she had smoked it down to much..

"Ouch, burnt my lip"she mumbles* - Wed Nov 11 01:47:56 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I really wish you would cut back. . . - Wed Nov 11 01:47:56 2015
<br><br><font color=teal>*Nari(Ej247) says: But I did. - Wed Nov 11 01:48:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Uh huh. - Wed Nov 11 01:49:39 2015
<br><br><font color=teal>*Nari(Ej247) thinks: I should clean up the house..Smells just like this herb. - Wed Nov 11 01:51:21 2015
<br><br><font color=teal>*Nari(Ej247) says: You should try it more. - Wed Nov 11 01:51:21 2015
<br><br><font color=teal>*Nari(Ej247) says: Maybe it can help you relax. - Wed Nov 11 01:51:21 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Too bad I trashed the house. - Wed Nov 11 01:51:21 2015
<br><br><font color=teal>*Nari(Ej247) thinks: Shit - Wed Nov 11 01:51:21 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Meh. - Wed Nov 11 01:52:12 2015
<br><br><font color=teal>*Nari(Ej247) says: We can still go inside. - Wed Nov 11 01:54:46 2015
<br><br><font color=teal>*Nari(Ej247) says: To just relax. - Wed Nov 11 01:54:46 2015
<br><br><font color=yellow>*Nari(Ej247) leans her back on the wall and slides down it sitting on the ground. Her knees are kept up so she can rest her hands on them.

"I need to fix my toy already."she mumbles* - Wed Nov 11 01:56:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . .Toy? - Wed Nov 11 01:57:20 2015
<br><br><font color=teal>*Nari(Ej247) says: mhm. - Wed Nov 11 01:57:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: What toy? - Wed Nov 11 01:58:11 2015
<br><br><font color=teal>*Nari(Ej247) says: My toy. - Wed Nov 11 01:58:11 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 01:58:11 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: And what is it? - Wed Nov 11 01:58:11 2015
<br><br><font color=teal>*Nari(Ej247) says: It's a secret duh. - Wed Nov 11 01:58:11 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 01:59:02 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Just tell me. - Wed Nov 11 01:59:02 2015
<br><br><font color=teal>*Nari(Ej247) says: No~ - Wed Nov 11 01:59:53 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Tell me. - Wed Nov 11 02:01:36 2015
<br><br><font color=teal>*Nari(Ej247) says: It's a secret. - Wed Nov 11 02:01:36 2015
<br><br><font color=teal>*Nari(Ej247) says: I don't want to show it to any one untill I fix it. - Wed Nov 11 02:02:27 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Whatever. - Wed Nov 11 02:02:27 2015
<br><br><font color=teal>*Nari(Ej247) says: So we dropping? - Wed Nov 11 02:02:27 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . .What? - Wed Nov 11 02:02:27 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Speak english Nari. - Wed Nov 11 02:03:18 2015
<br><br><font color=teal>*Nari(Ej247) says: Nothing. - Wed Nov 11 02:04:09 2015
<br><br><font color=teal>*Nari(Ej247) says: Come sit. - Wed Nov 11 02:04:09 2015
<br><br><font color=teal>*Nari(Ej247) says: I want to hold you. - Wed Nov 11 02:04:09 2015
<br><br><font color=teal>*Nari(Ej247) says: Siit. - Wed Nov 11 02:04:09 2015
<br><br><font color=teal>*Nari(Ej247) says: Sit~ - Wed Nov 11 02:04:09 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 02:04:09 2015
<br><br><font color=teal>*Nari(Ej247) says: I'm sacred they'll lock you up.. - Wed Nov 11 02:09:16 2015
<br><br><font color=teal>*Nari(Ej247) says: . .  - Wed Nov 11 02:16:57 2015
<br><br><font color=yellow>*Nari(Ej247) wraps her arms around Aza.* - Wed Nov 11 02:16:57 2015
<br><br><font color=yellow>*Nari(Ej247) Rubs Aza chest lightly with her hands.

"You feeling any better?"she asked* - Wed Nov 11 02:40:00 2015
<br><br><font color=teal>*Nari(Ej247) says: Oh. Okay. - Wed Nov 11 02:42:33 2015
<br><br><font color=teal>*Nari(Ej247) says: I feel so bad for not being there. - Wed Nov 11 02:42:33 2015
<br><br><font color=teal>*Nari(Ej247) says: Maybe I should give you something to help you remind you tha tI'm all ways there. - Wed Nov 11 02:43:24 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: H-Huh? - Wed Nov 11 02:43:24 2015
<br><br><font color=teal>*Nari(Ej247) says: Maybe I can give you a lock of my hair. - Wed Nov 11 02:45:07 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: - - Wed Nov 11 02:45:58 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Don't do that. - Wed Nov 11 02:45:58 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Just always -be- with me. - Wed Nov 11 02:45:58 2015
<br><br><font color=teal>*Nari(Ej247) says: Some times its hard to keep up wtih you. - Wed Nov 11 02:45:58 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hey now. . .what do you mean by that? - Wed Nov 11 02:46:49 2015
<br><br><font color=teal>*Nari(Ej247) says: Well when you walk off on your own.. - Wed Nov 11 02:47:40 2015
<br><br><font color=teal>*Nari(Ej247) says: It's hard for me to find you or even know your gone some times - Wed Nov 11 02:47:40 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 02:47:40 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Perhaps I'll just have to carry you everywherre. - Wed Nov 11 02:48:32 2015
<br><br><font color=teal>*Nari(Ej247) says: I guess so. - Wed Nov 11 02:49:23 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 02:49:23 2015
<br><br><font color=teal>*Nari(Ej247) says: Well - Wed Nov 11 02:51:05 2015
<br><br><font color=teal>*Nari(Ej247) says: You should get some rest. - Wed Nov 11 02:51:05 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I'm fine. . . - Wed Nov 11 02:51:56 2015
<br><br><font color=teal>*Nari(Ej247) says: Okay. - Wed Nov 11 02:52:48 2015
<br><br><font color=yellow>*Nari(Ej247) reaches in her pocket setting a bag of good herb on the floor or well broken table?

"Now where is my bong"she mumbles* - Wed Nov 11 02:53:39 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 02:53:39 2015
<br><br><font color=teal>*Nari(Ej247) says: Going to smoke a little. - Wed Nov 11 02:57:55 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Nah. - Wed Nov 11 02:58:46 2015
<br><br><font color=yellow>*Nari(Ej247) reaches in her pocket taking out her pipe. she goes about loading it up then would start to smoke that good herb.. Coughing a little here and htere.* - Wed Nov 11 02:58:46 2015
<br><br><font color=teal>*Nari(Ej247) says: . . . - Wed Nov 11 02:59:37 2015
<br><br><font color=teal>*Nari(Ej247) says: Give it back Azay. - Wed Nov 11 02:59:37 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Gotta work for it. - Wed Nov 11 03:00:28 2015
<br><br><font color=yellow>*Nari(Ej247) extends her hand out to his coat pocket trying to find her bag of weed.* - Wed Nov 11 03:01:20 2015
<br><br><font color=teal>*Nari(Ej247) says: This isn't funny. *blushes* - Wed Nov 11 03:03:53 2015
<br><br><font color=yellow>*Nari(Ej247) moves her hand again trying to reach for his pockets* - Wed Nov 11 03:04:44 2015
<br><br><font color=yellow>*Nari(Ej247) smiles a little but thens mirks sitting up on her knees she leans forward aiming to tackle Aza to ground.

"give it back"she said.* - Wed Nov 11 03:07:18 2015
<br><br><font color=yellow>*Nari(Ej247) blushes a tad more then lightly smack Aza face with a smile on her face.

"H-hey...Hands off my goods."she said, her other hand moves to search his coat pocket* - Wed Nov 11 03:09:52 2015
<br><br><font color=yellow>*Nari(Ej247) chuckles a little as she leans her head down to res ti on his chest. 

"It's just for you know...If it ever happens."she said moving her hands over to her face hidding it she was so nervouse.* - Wed Nov 11 03:14:08 2015
<br><br><font color=yellow>*Nari(Ej247) shakes her head a little. Her face getting really red but hidden by her hands se cuckles a little more..

"N-no, not at a time like this.."she said softly* - Wed Nov 11 03:17:32 2015
<br><br><font color=teal>*Nari(Ej247) says: W-well. - Wed Nov 11 03:19:15 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hm? - Wed Nov 11 03:19:15 2015
<br><br><font color=teal>*Nari(Ej247) says: I'm on my..well you know.. - Wed Nov 11 03:20:06 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: T-There are other things we can do. - Wed Nov 11 03:20:06 2015
<br><br><font color=teal>*Nari(Ej247) says: y-you can wait... - Wed Nov 11 03:20:57 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: B-But. . .what if they put me in jail. . .we may never get the chance. - Wed Nov 11 03:20:57 2015
<br><br><font color=teal>*Nari(Ej247) says: yeah but... - Wed Nov 11 03:21:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Don't make me convince you~ - Wed Nov 11 03:21:48 2015
<br><br><font color=teal>*Nari(Ej247) says: one thing hurts..and other for..well.. - Wed Nov 11 03:21:48 2015
<br><br><font color=teal>*Nari(Ej247) says: is messy. - Wed Nov 11 03:22:40 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I don't even think you're on it. . .I think you're just afraid. . . - Wed Nov 11 03:22:40 2015
<br><br><font color=teal>*Nari(Ej247) says: N-no I am. - Wed Nov 11 03:22:40 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Then prove it~ - Wed Nov 11 03:23:31 2015
<br><br><font color=teal>*Nari(Ej247) says: . . . - Wed Nov 11 03:23:31 2015
<br><br><font color=teal>*Nari(Ej247) says: that's so nasty. - Wed Nov 11 03:23:31 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I'm just teasing. . . - Wed Nov 11 03:23:31 2015
<br><br><font color=teal>*Nari(Ej247) says: you might not like how it looks. - Wed Nov 11 03:23:31 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: . . . - Wed Nov 11 03:23:31 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: If it's a part of you, it's beautiful. - Wed Nov 11 03:24:22 2015
<br><br><font color=teal>*Nari(Ej247) says: -shakes her head- - Wed Nov 11 03:24:22 2015
<br><br><font color=teal>*Nari(Ej247) says: you don't need it that bad.. - Wed Nov 11 03:25:13 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Why are you being so stubborn~ - Wed Nov 11 03:25:13 2015
<br><br><font color=teal>*Nari(Ej247) says: i'm not. - Wed Nov 11 03:25:13 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I really want it that bad. . . - Wed Nov 11 03:25:13 2015
<br><br><font color=teal>*Nari(Ej247) says: You can't have it.. - Wed Nov 11 03:26:04 2015
<br><br><font color=teal>*Nari(Ej247) says: N-no fair. - Wed Nov 11 03:27:47 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: It's completely fair. - Wed Nov 11 03:27:47 2015
<br><br><font color=teal>*Nari(Ej247) says: Come on don't do that give it back. - Wed Nov 11 03:27:47 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Make me want to give it back~ - Wed Nov 11 03:28:38 2015
<br><br><font color=teal>*Nari(Ej247) says: F-fine. - Wed Nov 11 03:28:38 2015
<br><br><font color=yellow>*Nari(Ej247) slides her hand down to his crotch gripping a little and rubing that area. her other hand is kept on her face hiding how red it was.* - Wed Nov 11 03:29:29 2015
<br><br><font color=yellow>*Nari(Ej247) her hand was moved from her face but she trys to hide it by placing it on his chest. Her face really turning red she was just that type of girl who got nervouse over lot of stuff but in a cute way.

"S-stop it..you.."she said, she felt happy with his commint he made to her. Her hand still rubing that area of Aza trying to excite him.* - Wed Nov 11 03:33:45 2015
<br><br><font color=yellow>*Nari(Ej247) tilts her head a little letting him see her face a little. Her hand still rubing that area she figured he was enjoying it.

"S-stoop."she said, in a very soft cute voice. Her green eyes trail off to stare to the floor.* - Wed Nov 11 03:37:10 2015
<br><br><font color=yellow>*Nari(Ej247) Lets Aza lips press against her she blushes a bit more sliding her tongue into his just a little bit. She wiggles it around just a tad she was so nervous she couldn't even kiss him right. Her hands kind of move to to his pants to work on undoing his pants a little. She was very slow at this because she is so nervous.* - Wed Nov 11 03:43:08 2015
<br><br><font color=yellow>*Nari(Ej247) closes her eyes a little nodding to Aza. Carefuly in that little moment he talked to her she was able to get his button undone then carefuly struggles to unzip his pants. When his hands wrapped her back tightly she kind of leans forward a bit she had lost her balance?

* - Wed Nov 11 03:51:40 2015
<br><br><font color=yellow>*Nari(Ej247) blinks a litte* - Wed Nov 11 03:56:48 2015
<br><br><font color=teal>*Nari(Ej247) says: W-what.. - Wed Nov 11 03:56:48 2015
<br><br><font color=teal>*Nari(Ej247) says: that's not even.. - Wed Nov 11 03:56:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Later~ - Wed Nov 11 03:56:48 2015
<br><br><font color=yellow>*Nari(Ej247) would sits up rolling her eyes.

"I let you talk me into stuff for no reason"she mumbles* - Wed Nov 11 03:57:39 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Those wires didn't cut you at all right? - Wed Nov 11 04:00:12 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Uh, Yea. I'm fine. . . - Wed Nov 11 04:01:55 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I heal pretty fast honestly. - Wed Nov 11 04:01:55 2015
<br><br><font color=teal>*Nari(Ej247) says: Hi. - Wed Nov 11 04:01:55 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Hello Miss. - Wed Nov 11 04:01:55 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: I'll never talk Nari into it again. - Wed Nov 11 04:01:55 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: ANyway . .  - Wed Nov 11 04:01:55 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: If you want some help training. . To  . .uhh. . Deal with anger. . Let me know huh? - Wed Nov 11 04:02:46 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I can handle whatever you dish out. . Promise - Wed Nov 11 04:02:46 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 04:02:46 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: The last person who said that. . . - Wed Nov 11 04:02:46 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Well. - Wed Nov 11 04:02:46 2015
<br><br><font color=teal>*Nari(Ej247) thinks: ... - Wed Nov 11 04:02:46 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: was not me. .  - Wed Nov 11 04:02:46 2015
<br><br><font color=teal>*Nari(Ej247) thinks: Why are all of them females.. - Wed Nov 11 04:02:46 2015
<br><br><font color=teal>*Nari(Ej247) thinks: is he screwing them.. - Wed Nov 11 04:03:37 2015
<br><br><font color=teal>*Nari(Ej247) says: I think he can handle it on his own really. - Wed Nov 11 04:03:37 2015
<br><br><font color=yellow>*Nari(Ej247) folds her arms a little and kind leans her back against aza chest a little more.* - Wed Nov 11 04:04:28 2015
<br><br><font color=teal>*Nari(Ej247) says: Anything ells you needed or what? - Wed Nov 11 04:07:02 2015
<br><br><font color=teal>*Nari(Ej247) thinks: Putting Aza on lock down. - Wed Nov 11 04:07:53 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: None at all. .  - Wed Nov 11 04:07:53 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: but. .  - Wed Nov 11 04:08:44 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Bro. .  - Wed Nov 11 04:08:44 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: You should watch out. .  - Wed Nov 11 04:08:44 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 04:08:44 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I don't want you to lose it and get killed. .  - Wed Nov 11 04:08:44 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: If you need help, just let me know. .  - Wed Nov 11 04:08:44 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I only want to help - Wed Nov 11 04:09:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: You really need to stop. . . - Wed Nov 11 04:09:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: If girls keep trying to help me. .  - Wed Nov 11 04:09:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Nari is gonna get mad. - Wed Nov 11 04:09:36 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: . . .  - Wed Nov 11 04:09:36 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Why? - Wed Nov 11 04:09:36 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I am a jounin of the Sand. . I am trying to help. .  - Wed Nov 11 04:09:36 2015
<br><br><font color=yellow>*Nari(Ej247) would thrust her elbow back into Aza.* - Wed Nov 11 04:09:36 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Anyway. . Excuse me. . Have a plesent night - Wed Nov 11 04:10:27 2015
<br><br><font color=teal>*Nari(Ej247) says: Mhm. - Wed Nov 11 04:10:27 2015
<br><br><font color=teal>*Nari(Ej247) says: Bye. - Wed Nov 11 04:10:27 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Use protection.  - Wed Nov 11 04:10:27 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: -omit- - Wed Nov 11 04:10:27 2015
<br><br><font color=teal>*Nari(Ej247) says: So you screwing her? - Wed Nov 11 04:11:18 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: You're the only person I'd want to screw. . . - Wed Nov 11 04:11:18 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: P-Plus. . . - Wed Nov 11 04:11:18 2015
<br><br><font color=yellow>*Nari(Ej247) huffs and moves to stand up. She turns and walks off to bed room.
* - Wed Nov 11 04:11:18 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I-I'm still. - Wed Nov 11 04:11:18 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Ya know. - Wed Nov 11 04:11:18 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: A vi-. . . - Wed Nov 11 04:11:18 2015
<br><br><font color=yellow>*Nari(Ej247) would jump onto the bed placing her pillow over her head.

"I'm sorry I didn't mean to say that..."she said.* - Wed Nov 11 04:13:52 2015
<br><br><font color=teal>*Nari(Ej247) says: Sorry babe but the mood is so gone. - Wed Nov 11 04:16:25 2015
<br><br><font color=teal>*Nari(Ej247) says: someones just going to knock again..why even bother. - Wed Nov 11 04:17:16 2015
<br><br><font color=teal>*Nari(Ej247) says: -huffs- - Wed Nov 11 04:17:16 2015
<br><br><font color=teal>*Nari(Ej247) says: Stop it. - Wed Nov 11 04:18:08 2015
<br><br><font color=teal>*Nari(Ej247) says: . . . - Wed Nov 11 04:18:59 2015
<br><br><font color=teal>*Nari(Ej247) says: No I mean it. Not in the mood. - Wed Nov 11 04:19:50 2015
<br><br><font color=yellow>*Nari(Ej247) starts to laugh a bit trying her best to hold it in. she moves her hands over ot her face to hide how she looks.

"N-no, fair"she said kind of rolling on her side a little She laughs a bit more then would move to grab Aza hands. "S-stop it..you won.."she said, she couldn't hold it any more to much for her..tickling her was just to much.* - Wed Nov 11 04:24:57 2015
<br><br><font color=yellow>*Nari(Ej247) smiles a little at the kiss Aza gave her. She looks into his eyes and just shakes her head a little. "So sweet.'she said, before moving her hands up his hair to play with it just a little.* - Wed Nov 11 04:29:13 2015
<br><br><font color=yellow>*Nari(Ej247) smiles a little moving her head closer to his so the tips of there noses.

"You know I'm still saying no.. "she said* - Wed Nov 11 04:34:20 2015
<br><br><font color=teal>*Nari(Ej247) says: But I'm on my...you.know..can't we just cuddle. - Wed Nov 11 04:36:54 2015
<br><br><font color=teal>*Nari(Ej247) says: Maybe you spoon or something. - Wed Nov 11 04:37:45 2015
<br><br><font color=teal>*Nari(Ej247) says: we can* - Wed Nov 11 04:37:45 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 04:38:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Cause. . . - Wed Nov 11 04:38:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I'm already. . .ya know. . . - Wed Nov 11 04:38:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Why do you think I put you in my lap. . . - Wed Nov 11 04:39:28 2015
<br><br><font color=teal>*Nari(Ej247) says: I know I felt it.. - Wed Nov 11 04:39:28 2015
<br><br><font color=teal>*Nari(Ej247) says: I can rub it for you I guess. - Wed Nov 11 04:39:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . .  - Wed Nov 11 04:40:19 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I-It's no fun if you don't feel good. . . - Wed Nov 11 04:40:19 2015
<br><br><font color=teal>*Nari(Ej247) says: I can't just is bad timing..I'm.on..it. - Wed Nov 11 04:40:19 2015
<br><br><font color=teal>*Nari(Ej247) says: It's not like you don't rub it a lot in the shower. - Wed Nov 11 04:41:10 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 04:41:10 2015
<br><br><font color=teal>*Nari(Ej247) says: Or into my dirty panites. - Wed Nov 11 04:42:01 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 04:42:52 2015
<br><br><font color=yellow>*Nari(Ej247) moves her hand to his pants. Her finger slides into his boxers just at rim and pulls it down a little.

"I'm so nervous to even touch it.."she whispers* - Wed Nov 11 04:42:52 2015
<br><br><font color=yellow>*Nari(Ej247) would nods a little she then joins in with the kiss. Her tongue sliding into his mouth just a little. Her face starts to turn red slowly and her hand slowly works to keep pulling his boxers down to let his member slip out. She then pulls away and looks at Aza.

"Just try to picture us doing the reall thing."she said before moving to press her lips against his again her hand grips his member and lightly strokes it* - Wed Nov 11 04:49:42 2015
<br><br><font color=yellow>*Nari(Ej247) moans a little and kind of moves a little as her ass was grabbed tightly. She then pulls away from the kiss bringing the hand that was stroking his member up. She opens her mouth and licks her hand letting saliva coat it and a lot of it. She then moves her hand back down to his member and starts to carefully rub her saliva onto his tip and down his shaft slowly.

"Does it feel good?"she asked.* - Wed Nov 11 04:58:14 2015
<br><br><font color=yellow>*Nari(Ej247) would smile a little listening to his words of course she had pulled away from kiss. HEaring his pervy words get cut short she would squeeze his member a little and use her finger to tease his tip.

"Careful you might think to fast and slip."she said before looking down at his hand.

"Oh well..Slide my shirt down a little so you can see my little breast..Then just suck on my nipple.."After saying that her face got red.."S-sorry to sound so pervy."she said* - Wed Nov 11 05:07:37 2015
<br><br><font color=yellow>*Nari(Ej247) arches her back a little causing her to move closer to him. She opens her mouth to moan just a little the feeling of him touching her breasts kind of made her excited.  She kept on stroking his member hoping he might finally burst or something or she might cave in..

"I, sounds a little weird."she said, her face turning a little red.* - Wed Nov 11 05:14:27 2015
<br><br><font color=yellow>*Nari(Ej247) closes her eyes and kind of moans softly again crossing her legs for some odd reason. She then opens her eyes and stres at Aza the best she could.

"Babe, I'm sure it feel just like my hand...and plus how do you know I'm going to bleed when it happens?"she pauses thinking a little. "Been reading dirty books again?"saying this she squeezes his member tightly.* - Wed Nov 11 05:19:34 2015
<br><br><font color=yellow>*Nari(Ej247) bites on her bottom lip a little feeling his hand between her legs. That area of course warm but she shakes her head a little and moves her free hands to grip his hiar a  little pulling him form her nipple.

"I'll take that as a yes you are reading them."She said smirking a little before her hand began to stroke him a little faster. "S-stop rubing there.."she said her face getting more red.

She trys to cross her legs more to make it harder for his hands to move between her legs.

