<br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Fri Nov  6 08:22:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Kill him... You should've killed him...  - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: -omit- - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: Medic, noted. - Sun Nov  8 04:33:55 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm. - Sun Nov  8 04:33:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Man..Koji cock blocking me hard. - Sun Nov  8 04:39:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I kinda feel out of place. I'm not much for small talk. - Sun Nov  8 04:44:09 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I wonder when I should finish that training... Later - Sun Nov  8 04:56:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh...Have we met? I over-heard your name being Yoko. - Sun Nov  8 05:01:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I am Yan. - Sun Nov  8 05:01:13 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: ? - Sun Nov  8 05:07:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Sun Nov  8 05:08:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I need to figureout something to do.. - Sun Nov  8 05:08:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd offer to spar ya. - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: But I just lit this blunt... - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Well... You could help me Iza?.. - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And knowing you, you're strong enough to kick my ass - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: No no. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm Konohamaru, after all. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm not strong. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And help you with what? - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Umm...What we left off last time. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh yeah Iza. - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..Iza, why are you here? - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: See you in like 3 maybe four years top. - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: trill*> - Sun Nov  8 05:10:36 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) stares at Yoko; her eyes devoid of any intial emotion towards the woman. "Don't lay a finger on Trilliam please." she stated. * - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Don't worry..she won't. - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: But you should get to wherever you need to be Trilliam. - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where does he need to go? - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ughhh thats the thing. - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: ONe of you either Koji you or tetsu is supposed to take me. - Sun Nov  8 05:12:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji!!!! - Sun Nov  8 05:12:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sorry to interrupt, but... - Sun Nov  8 05:12:19 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Trilliam come on over. - Sun Nov  8 05:13:10 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: .... - Sun Nov  8 05:13:10 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) keeps a steady gaze upon Yoko, her hand sliding over the hilt of her blade, which of course was hidden beneath her black cloak. It was hard to trust such a mysterious woman. 

"Hm?" she hummed as she caught the figures.

"Where are you going?" she inquired * - Sun Nov  8 05:15:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami, did you want to spar? - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I can put this blunt away... - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Oh...he's standing right there. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I'm an idiot. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Lemme' help my brother out first. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And... - Sun Nov  8 05:19:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You're going to jail...? - Sun Nov  8 05:19:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What did you do? - Sun Nov  8 05:19:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Well I was lied upon you know my special scrool your farther took one and unsealed it. - Sun Nov  8 05:20:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How long are you going to be in jail? - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: 3 years. - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Then I will be placed on 5 years probation. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Isn't that a bit unfair..? - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Sooooo I wont be done with this ordeal till im as old as Marrisa. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Did you talk to grandpa? - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: It is but there is nothing I can do Gramps demands it. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Thats who sentecedme. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He's doing this because the person who died frineds want me borught to justice likeits my fault - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Completely. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: YOu know how people harbour hate and ill will and balh blah blah. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So Iza do me a favor watch over my shop. - Sun Nov  8 05:24:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh and kick your dad in his butt for me Kay. - Sun Nov  8 05:25:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Aiight lets get going. - Sun Nov  8 05:25:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:26:49 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Why does someone who looks ten have their own shop? - Sun Nov  8 05:26:49 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) "So you're just going to go to jail then?" she inquired, her onyx colored eyes still resting upon Yoko all the while. * - Sun Nov  8 05:27:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You can relax now, Yoko. - Sun Nov  8 05:30:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Urgh.. - Sun Nov  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh..*glances at Tetsumi* - Sun Nov  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where did we leave off at? - Sun Nov  8 05:31:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh... - Sun Nov  8 05:31:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Umm... well.. The begining? - Sun Nov  8 05:32:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Ehehe...*nervous laugh* - Sun Nov  8 05:33:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Trilliam is no enemy. - Sun Nov  8 05:34:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Sun Nov  8 05:34:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You are more of an enemy then trilliam is. - Sun Nov  8 05:34:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Iza...now, now. Yoko is obviously new around here and she doesn't realize the situation surrounding why Trilliam is going away. - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Trilliam messed up, but he's not a bad guy. - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He just made a mistake he has to atone for. - Sun Nov  8 05:35:21 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) allows her eyes to trail away from Yoko, noticing her relaxed state. "Uhm, let's go to the little training area.~" she remarked. * - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What's going on here now? - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: DEEZNUTS - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nothing special. - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....*cough* - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *Football Punts Izanami* - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora. It's been a while since I've asked for something like this, but I would like you to teach me your genjutsu interrogation technique. - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: For a criminal, they were lax about detaining him.  - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: oh. - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oh* - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? Of course.. - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Seems like I am naked. - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I found a really cool mask. - Sun Nov  8 05:38:46 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Ooooi. - Sun Nov  8 05:42:11 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Ooooi. - Sun Nov  8 05:43:02 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: So many interesting people. - Sun Nov  8 05:43:02 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) stabs shira in his temple * - Sun Nov  8 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What all did I show you by the way? - Sun Nov  8 05:44:44 2015
<br><br><font color=teal>*Noboru(Dragonfile) says: ill kill all of you - Sun Nov  8 05:44:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Umm... - Sun Nov  8 05:45:36 2015
<br><br><font color=teal>*Noboru(Dragonfile) says: kill. - Sun Nov  8 05:45:36 2015
<br><br><font color=teal>*Noboru(Dragonfile) says: destroy! - Sun Nov  8 05:45:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Well.. Nothin' really.. I hadn't paid attention to the scrolls. - Sun Nov  8 05:45:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *blinks* - Sun Nov  8 05:46:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Well, learn em.~ - Sun Nov  8 05:46:27 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) sits down in the sand and smiles. "Wind nature transofmration. It is performed by making chakra as sharp and thin as possible. Wind Release is mainly short to mid-ranged offensive techniques that combine brute force and keen precision to deal cutting and slashing damage." * - Sun Nov  8 05:47:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: OOooh. - Sun Nov  8 05:48:09 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: What's happening? - Sun Nov  8 05:48:09 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Who are you? - Sun Nov  8 05:49:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I shouldn't say, ma'am.. - Sun Nov  8 05:49:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Kid ? - Sun Nov  8 05:49:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Little Ma'am... Midget? - Sun Nov  8 05:49:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:49:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: i c - Sun Nov  8 05:53:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhhmm...G-Gourdy! - Sun Nov  8 05:55:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Hi. - Sun Nov  8 05:55:50 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: .. - Sun Nov  8 05:55:50 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Training? - Sun Nov  8 05:55:50 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I heard what you did, killer. - Sun Nov  8 05:55:50 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) glances over at Momura * - Sun Nov  8 05:56:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sorry about earlier. - Sun Nov  8 05:57:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Earlier? - Sun Nov  8 05:57:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I meant to uhm..b-become f-friends.. - Sun Nov  8 05:57:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: But y-you see... - Sun Nov  8 05:57:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: What had happen w-was... - Sun Nov  8 05:57:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Who are you guys? - Sun Nov  8 05:57:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I f-fell.. - Sun Nov  8 05:57:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: And..I-I couldn't get up.. - Sun Nov  8 05:57:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh... Its all right... - Sun Nov  8 05:58:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I wasn't even paying attention.. I was busy playing chess with S-..Oh well. - Sun Nov  8 05:58:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Sun Nov  8 06:00:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *blinks* - Sun Nov  8 06:00:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Are you two ninja? - Sun Nov  8 06:00:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea...I-I'm also a farmer..and..H-He's a chef. - Sun Nov  8 06:00:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh. - Sun Nov  8 06:02:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A chef and a farmer? - Sun Nov  8 06:02:40 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yo. - Sun Nov  8 06:03:31 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Gourdu-San. - Sun Nov  8 06:03:31 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I heard that - Sun Nov  8 06:03:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm?... - Sun Nov  8 06:03:31 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: He - Sun Nov  8 06:03:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: So many voices.. Can't think.. - Sun Nov  8 06:03:31 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Caused some dog man to become stupid, and got them killed. - Sun Nov  8 06:03:31 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Is it true/ - Sun Nov  8 06:03:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Can't think straight. - Sun Nov  8 06:06:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oh my. - Sun Nov  8 06:06:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: He's superman. - Sun Nov  8 06:06:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Or maybe i've been living around dirty sand for too long. - Sun Nov  8 06:06:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: That's impossible! - Sun Nov  8 06:06:04 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) immediately whips three shuriken from her weapons pouch, aiming to manipulate them around Shiras being. Had the shuriken and wire been manipulated around his being, she'd swing the shuriken back towards herself so she could catch them with her free hand, aiming to give a confident tug. "Who are you, and why are you here?" she inquired

* - Sun Nov  8 06:06:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . - Sun Nov  8 06:06:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Sun Nov  8 06:07:47 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: T-This village has a lot of eccentrics, huh? - Sun Nov  8 06:07:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Sun Nov  8 06:07:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Sun Nov  8 06:08:38 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Mm. - Sun Nov  8 06:09:29 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Little-Sensei. - Sun Nov  8 06:09:29 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Maybe I should go to work. - Sun Nov  8 06:10:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Momura-chan, do you want to work with me? - Sun Nov  8 06:10:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: As a waitress maybe? - Sun Nov  8 06:10:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: You'll be my trainer, at some point. - Sun Nov  8 06:10:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sure.. - Sun Nov  8 06:10:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'd be a good w-waitress.. - Sun Nov  8 06:10:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 06:11:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: YOu're strange you know that? - Sun Nov  8 06:11:12 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) lowers her restraints upon Shira and collects her weaponry. * - Sun Nov  8 06:11:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: L-Let's go.... - Sun Nov  8 06:12:03 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Uh-huh, Little Sensei. I'll train with ya' as soon as I get some clothes. - Sun Nov  8 06:12:03 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: O-Oh wait! - Sun Nov  8 06:12:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Bye. - Sun Nov  8 06:12:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sure. - Sun Nov  8 06:12:03 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-Um. - Sun Nov  8 06:12:54 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Little girl... - Sun Nov  8 06:12:54 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-Would you like to try some food? - Sun Nov  8 06:12:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Sun Nov  8 06:12:54 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: I wonder what's going on. - Sun Nov  8 06:12:54 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Why don't you give me bento. - Sun Nov  8 06:12:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: My name is Izanami. - Sun Nov  8 06:12:54 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-It's rice with egg.  - Sun Nov  8 06:12:54 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Is it because i'm black? - Sun Nov  8 06:12:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And uh. - Sun Nov  8 06:12:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sure.~ - Sun Nov  8 06:12:54 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: E-Enjoy. - Sun Nov  8 06:14:36 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Momura and I have to go to work. . . . - Sun Nov  8 06:14:36 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: ... - Sun Nov  8 06:14:36 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) takes the bento, and was quite amazed with the granishing. "W-wow, it looks delicious..." she murmered before bowing slightly. "Thank you very much." she respectfuly remarked. "I'm going to go share with my dad.~" she thought * - Sun Nov  8 06:15:28 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmmm. - Sun Nov  8 06:15:28 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: L-Let's go M-Momura. - Sun Nov  8 06:15:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Do you .. - Sun Nov  8 06:16:19 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Don't you want to ask for my name, Sensei? - Sun Nov  8 06:16:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh.. - Sun Nov  8 06:17:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What's your name? - Sun Nov  8 06:17:10 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: That's none of your busseniss you curious george-lookin ass bitch. - Sun Nov  8 06:17:10 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Shira. - Sun Nov  8 06:17:10 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: It means White in Kanji. - Sun Nov  8 06:17:10 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) proceeds to walk away before glancing at Yoko. * - Sun Nov  8 06:23:08 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oi. - Sun Nov  8 06:25:42 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: What's up? - Sun Nov  8 06:25:42 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: ... - Sun Nov  8 06:25:42 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: What's wrong with that man? Why doesn't he have any clothes on? - Sun Nov  8 06:25:42 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oh. Is it because of my skin? - Sun Nov  8 06:25:42 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: Perhaps this is a trap. I should prepare myself. - Sun Nov  8 06:25:42 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm darker than most, but don't worry. I'm not rachet. - Sun Nov  8 06:26:33 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: ... - Sun Nov  8 06:27:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm.. - Sun Nov  8 06:28:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll be going.~ - Sun Nov  8 06:28:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Master? - Sun Nov  8 06:28:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Shall I come? - Sun Nov  8 06:28:16 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) proceeds to go home if she wasn't interrupted. Her father was waiting. * - Sun Nov  8 06:28:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: No.. - Sun Nov  8 06:29:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Creep. - Sun Nov  8 06:29:07 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: Seems as though they are on bad terms. - Sun Nov  8 06:29:07 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Okay. See around, Little Sensei. - Sun Nov  8 06:29:07 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yo. - Sun Nov  8 06:30:49 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm Shira. - Sun Nov  8 06:30:49 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: You? - Sun Nov  8 06:30:49 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: ..... - Sun Nov  8 06:30:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Sun Nov  8 06:31:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm?... - Sun Nov  8 06:31:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: theres more than 1 - Sun Nov  8 06:33:23 2015
