<br><font color=teal>*Momura(JustCallMeGnar) says: I-I used to live in k-kirigakure. - Mon Dec  7 03:51:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Red? - Mon Dec  7 22:04:48 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Damn, she's a ginger. - Mon Dec  7 22:04:48 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Shame. - Mon Dec  7 22:04:48 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmmm. - Mon Dec  7 22:05:39 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Doton. - Mon Dec  7 22:05:39 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I have that technique. - Mon Dec  7 22:05:39 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hey any of you know anyone who uses Doton. - Mon Dec  7 22:05:39 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: I swear. - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: If they say me. - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ah. - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I know the perfect guy to teac h you earth. - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Who would that be? - Mon Dec  7 22:07:21 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: There is a blue haired guy some where around here named hiro. - Mon Dec  7 22:07:21 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . .  - Mon Dec  7 22:07:21 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Tell him when you see Him Trill sent you. - Mon Dec  7 22:07:21 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I hate searching for people. - Mon Dec  7 22:07:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh - Mon Dec  7 22:08:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: The injured person! - Mon Dec  7 22:08:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: he's in the hospital. - Mon Dec  7 22:08:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I can show you to him Kyoko-san. - Mon Dec  7 22:08:12 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Oh, okay. - Mon Dec  7 22:09:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Guess Im done for the day. - Mon Dec  7 22:09:04 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) doesnt respond to Takumas 'little girl.' * - Mon Dec  7 22:09:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Right this way. - Mon Dec  7 22:09:04 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Notice me. - Mon Dec  7 22:09:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Mon Dec  7 22:09:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I can't do shit. - Mon Dec  7 22:09:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I'm weak as fuck. - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Will I get a treat if I do? - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: >divine wind. - Mon Dec  7 22:10:46 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) catches the pebble and tosses it right back at Takumas forehead with deadly accuracy * - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>*Takuma(Brosis55) says: ---- - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Stop calling her little girl. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: But, she is. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: She's a chuunin, Ryujin-san. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: THIS BITCH A CHUNIN?! - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I'M A GENIN. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: SINCE WHEN KIDS GETTIN PROMOTED. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: WHAT THE FUCK. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: IS THIS. - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Yeah. She's a prodigy. - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Come on then Izanami-chan, stranger-san. - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I DON'T GIVE A FUCK IF SHE IS A PRODIGY. - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: THIS SHIT. - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: AIN'T ACCEPTABLE. - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ...You'll have to wait until i'm done with Kiyoko-san. - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Mm. It's Heiwa. - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Alright. - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Since you tossed a pebble at me, I'm not even sure I want to show you anything... - Mon Dec  7 22:14:11 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Mon Dec  7 22:14:11 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: You a little thot anyway. - Mon Dec  7 22:14:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: This waaay.~ - Mon Dec  7 22:14:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Here he is. - Mon Dec  7 22:15:02 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And uh, thank you for defending me, Kiyoko-san.  - Mon Dec  7 22:16:44 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Yes, of course Izanami-chan... course... I probably would have had my ass kicked had you not thrown that pebble at him. - Mon Dec  7 22:17:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Haha, you know I wouldn't let that happen. - Mon Dec  7 22:18:27 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) walks up and pops this niggas arm back into place.





Long Dick Style * - Mon Dec  7 22:23:34 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Mon Dec  7 22:23:34 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Why is it always children? - Mon Dec  7 23:05:23 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I'm just gonna check you out okay hun? - Mon Dec  7 23:13:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: No need to be scared. - Mon Dec  7 23:13:55 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: D-Do...what you need... - Mon Dec  7 23:17:20 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ...Well, the first surgery. - Mon Dec  7 23:55:44 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Well.. unless I get permission from Sanoke to travel to Kirigakure... yes. - Tue Dec  8 00:02:33 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: We will have to work things out between the two kage's. - Tue Dec  8 00:03:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: The Mizukage...isn't aware i'm here... - Tue Dec  8 00:03:24 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ...Oh. - Tue Dec  8 00:03:24 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: So you probably need to go home then. - Tue Dec  8 00:03:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Sh-she's...uncaring of... - Tue Dec  8 00:04:16 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Of... - Tue Dec  8 00:04:16 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: ... - Tue Dec  8 00:04:16 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Oh. - Tue Dec  8 00:04:16 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Right... - Tue Dec  8 00:04:16 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: He's probably not used to the drugs. - Tue Dec  8 00:05:07 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: She is...the Mizukage... - Tue Dec  8 00:05:07 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Doesn't care...if... - Tue Dec  8 00:05:07 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Leave... - Tue Dec  8 00:05:07 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ...Uh...someone want to translate? - Tue Dec  8 00:05:58 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: The Mizukage wouldn't really notice his disappearance. - Tue Dec  8 00:05:58 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: So you would leave him here then alone? - Tue Dec  8 00:05:58 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Heiwa go... - Tue Dec  8 00:06:49 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: ...I couldn't really stay in Suna myself. - Tue Dec  8 00:06:49 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Tell...gone rogue... - Tue Dec  8 00:06:49 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: .... - Tue Dec  8 00:06:49 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Woah woah woah. - Tue Dec  8 00:06:49 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Into hiding... - Tue Dec  8 00:06:49 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: .... - Tue Dec  8 00:06:49 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I am not having anyone going rogue just to get my surgery. - Tue Dec  8 00:07:40 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I'll speak to Sanoke. - Tue Dec  8 00:07:40 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: When is...surgery first... - Tue Dec  8 00:08:32 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: done...being... - Tue Dec  8 00:08:32 2015
<br><br><font color=teal>*Heiwa(Wantpark) thinks: I hope that's more of the sedatives talking.. - Tue Dec  8 00:09:23 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: A few hours from now. - Tue Dec  8 00:09:23 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Claiming rogue status isn't really smart. - Tue Dec  8 00:09:23 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Then we can transport you back to Kirigakure. - Tue Dec  8 00:09:23 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: My fiance is from Kirigakure originally so it shouldn't be a problem for me to enter the village yes? - Tue Dec  8 00:09:23 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Can't...enter... - Tue Dec  8 00:11:05 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Mizukage...mean... - Tue Dec  8 00:11:05 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: I'm a special jounin of the village - like Izanami here, I can allow persons into the village. - Tue Dec  8 00:11:05 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: As long as you're in his care you'll be given full access. - Tue Dec  8 00:11:05 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: --Izanami is a chuunin...uh...yeah. - Tue Dec  8 00:18:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Anyhow. - Tue Dec  8 00:18:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Alright, that works.. we can go speak with Sanoke now? - Tue Dec  8 00:18:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Lera is gonna be PISSED. - Tue Dec  8 00:18:46 2015
<br><br><font color=teal>*Heiwa(Wantpark) thinks: I meant like Izanami in how she can give access as a chunnin. - Tue Dec  8 00:19:37 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Alright. - Tue Dec  8 00:19:37 2015
<br><br><font color=teal>*Yumiko(Sekara) says: So Izanami it's been a while. - Tue Dec  8 00:23:53 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: The Kazekage is going to send a letter to the Mizukage. - Tue Dec  8 00:40:57 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: In the mean time do you mind if he remains here? - Tue Dec  8 00:42:40 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Yeah he can stay here. - Tue Dec  8 00:44:22 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Very well - we'll need to return soon anyways.  - Tue Dec  8 00:46:04 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ...right, it's understandable. I will send you updates via mail. - Tue Dec  8 00:46:04 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: I'll try to visit when I can. - Tue Dec  8 00:52:03 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Heiwa should we rest here before heading back? Get something to eat, drink, probably spend the night? - Tue Dec  8 00:56:19 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: I don't think so..We've spent enough time as is. - Tue Dec  8 00:59:44 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Besides, Nori is probably wondering where we are. - Tue Dec  8 00:59:44 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Right...well then. - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Thank you for helping Ryo. We'll let you get to it. - Tue Dec  8 01:05:42 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Come on, Yumiko. Let's go. - Tue Dec  8 01:05:42 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Get better. - Tue Dec  8 01:15:05 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: it seems like a waste of time - Tue Dec  8 02:03:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Cool. Let's go. - Tue Dec  8 03:41:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Hng. Already busy enough.. - Tue Dec  8 05:30:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hello everyone. - Tue Dec  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: CHILDREN?! - Tue Dec  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: They are babies! - Tue Dec  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh wow. - Tue Dec  8 05:32:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Time flies.. - Tue Dec  8 05:32:48 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Iza.. Look - Tue Dec  8 05:32:48 2015
<br><br><font color=teal>*Hokuma, Babi(JustTheTip) thinks: I know that you are not mother. I simply want your tits bitch. - Tue Dec  8 05:34:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hello? - Tue Dec  8 05:37:55 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I'm Tetsu Itsujin. - Tue Dec  8 05:40:28 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) //Menia was stopped by said gaurds * - Tue Dec  8 05:40:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A merchant? - Tue Dec  8 05:41:20 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) thinks: Boi if they don't move. - Tue Dec  8 05:41:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I see. - Tue Dec  8 05:41:20 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) thinks: I'ma plow down through sunagakure's military. - Tue Dec  8 05:41:20 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Yep. I had a wagon with more weapons and clothes, but as I said before, my wagon was attacked by some ruffians. - Tue Dec  8 05:41:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Tue Dec  8 05:41:20 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: They instigated a conflict and ran us out. My companions, well I've lost track of them. - Tue Dec  8 05:42:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Stop. - Tue Dec  8 05:42:11 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) extends her hand towards Abraxas, her conversation cut short with the merchant. 

"Extend your hand please." * - Tue Dec  8 05:42:11 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 05:42:11 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I was -just- here. - Tue Dec  8 05:42:11 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Trill, tell this girl? - Tue Dec  8 05:42:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Extend your hand please. - Tue Dec  8 05:42:11 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) proceeds to give him a quick poke upon his palm with a kunai * - Tue Dec  8 05:43:02 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: .... - Tue Dec  8 05:43:02 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: That looks painful. - Tue Dec  8 05:43:02 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Alright go in. - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) thinks: Better not poke me. - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) thinks: Little ass girl. - Tue Dec  8 05:43:53 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) extends her kunai towards Menia. "extend your hand." * - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Extend your hand. - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Menia. - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Do it. - Tue Dec  8 05:43:53 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) stares back at Menia like extend your hand nigga. 

That being said she'd poke her in the hand, gently of course. * - Tue Dec  8 05:44:44 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Damn. I didn't know a fucking booty call would be so hard. - Tue Dec  8 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I swear to beans. . . .  - Tue Dec  8 05:44:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay, go ahead and go in.  - Tue Dec  8 05:45:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks. - Tue Dec  8 05:45:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: N- - Tue Dec  8 05:45:36 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: . . . - Tue Dec  8 05:45:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ..... - Tue Dec  8 05:45:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhm. - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Please come forth so I can do the test on you. - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: So, little miss, is it my turn? - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Ok. - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: After that you can enter.~ - Tue Dec  8 05:46:27 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) did nothing more than give him a little prick upon the palm. Had he not unhenged or reverted, he'd be good to head in.* - Tue Dec  8 05:48:09 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You are cleared for entry.~ - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Enjoy your stay in Sunagakure. - Tue Dec  8 05:49:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Thank you. - Tue Dec  8 05:50:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Why thank you. - Tue Dec  8 05:51:34 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: ... - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I ain't know. - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Oh right, how rude of me. I'm Tetsu, a traveling merchant. I just got here a few minutes ago. - Tue Dec  8 05:55:50 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: There is an Inn. - Tue Dec  8 05:59:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll show you if you want. - Tue Dec  8 06:00:06 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Thank you little miss. - Tue Dec  8 06:00:06 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: By the way, what's your name? - Tue Dec  8 06:00:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I am Izanami. - Tue Dec  8 06:00:06 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Pleasure to meet you. - Tue Dec  8 06:00:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Likewise. - Tue Dec  8 06:00:57 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) directs Tetsu to the nearest Inn * - Tue Dec  8 06:01:48 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hi chikyu. - Tue Dec  8 06:04:22 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Huh? - Tue Dec  8 06:05:13 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: T-The regular.. - Tue Dec  8 06:05:13 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: W-Why do you ask? - Tue Dec  8 06:06:04 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh.. - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I'm not that fat! - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh..uhm..I-I think it's...b-both..I'm uhm..h-having two.. - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Two? - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Aah. - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Who is the lucky man? Is it this handsome lad beside you? - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh uhm...yeah.. - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, if I went that way, I can see why. I bet he got you in all the right places huh? Hehehe. - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, then this is a wonderous occasion! - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: ... - Tue Dec  8 06:08:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Two beautiful people making beautiful children. That's what we need more of in this world. - Tue Dec  8 06:09:29 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: U-Uhuh.. - Tue Dec  8 06:09:29 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I'm so happy for you! - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh t-thanks.. - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hi mitsunara.. - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm? Long time. - Tue Dec  8 06:12:54 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I wonder where those two are. It feels weird doing this alone. - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: W-What do you sell? - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Deez nuts - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: --omit- - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I sell just about everything. Clothes, basic weapons, spices, toys. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Marco-san. Is my order completed? - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I can spar you.. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: B-But my t-tummy.. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: D-Don't spar. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I'll spar in your place until you've delivered the b-baby. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: II've got to agree. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I'm too tired, and theres no way I risk every hurting my friend especially when shes pregnant. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: N-No it's fine. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: You should keep active though. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah. But not by fighting people like my and Chikyu. - Tue Dec  8 06:21:26 2015
