<br><font color=teal>*Engi, Ichiro(Master Roku) says: Get a cup. - Fri Nov 27 01:08:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Or a Kyubichu. - Fri Nov 27 08:41:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Fri Nov 27 08:42:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh right. - Fri Nov 27 08:42:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's the guy whose tongue that was. - Fri Nov 27 08:42:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I had ti for a while, then tossed it back in Kumo. - Fri Nov 27 08:42:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It's the guy we were going to gang up on. - Fri Nov 27 08:42:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...You tossed it? - Fri Nov 27 08:44:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Tch... - Fri Nov 27 08:44:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It was decomposed. - Fri Nov 27 08:45:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I could've used that... - Fri Nov 27 08:45:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I couldn't preserve it.  - Fri Nov 27 08:45:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: High in proteins and fat. - Fri Nov 27 08:45:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You would have gotten sick. - Fri Nov 27 08:46:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I swore part of it was falling off. - Fri Nov 27 08:46:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Nah. - Fri Nov 27 08:46:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I'm godly. - Fri Nov 27 08:46:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I'd be fine. - Fri Nov 27 08:46:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: If you say so. - Fri Nov 27 08:46:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Oh? - Fri Nov 27 08:48:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Since when did Ichiro become a cannibal? - Fri Nov 27 08:48:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: No wonder you're so built. - Fri Nov 27 08:48:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Take one from Ichiro's book, Kida. - Fri Nov 27 08:48:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Start feasting on people. - Fri Nov 27 08:48:38 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Maybe I'll start with you~. - Fri Nov 27 08:50:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: This is the first I'm hearing about him being a cannibal. - Fri Nov 27 08:51:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Yeah. - Fri Nov 27 08:51:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Totally. - Fri Nov 27 08:51:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You just try to eat me.... - Fri Nov 27 08:52:03 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: If anything you'll be having me eat you. - Fri Nov 27 08:52:03 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Now then. - Fri Nov 27 08:52:03 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's talk about things that jeopardize you guys internationally. - Fri Nov 27 08:52:03 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Anyone that may compromise you guys? - Fri Nov 27 08:52:03 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That Kyubishu guy. He's the only one we attacked. - Fri Nov 27 08:54:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I mean, I tore his tongue out, I should have ripped his arms off too. - Fri Nov 27 08:55:28 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Mmkay. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So he's alive. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And knows you guys. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yep. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: But he can't talk since you yanked his fucking tongue out. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He could write though, right? - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He's in Kirigakure?? - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Last I saw. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I see. - Fri Nov 27 08:58:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Then we must go to Kirigakure. - Fri Nov 27 08:58:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: But for now. - Fri Nov 27 08:58:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's rest. - Fri Nov 27 08:58:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah, seems like the best idea right now. - Fri Nov 27 08:58:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So..We sharing? - Fri Nov 27 08:58:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ....Sharing what? - Fri Nov 27 09:04:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: The bed. - Fri Nov 27 09:04:51 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll behave. Heh. - Fri Nov 27 09:05:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Fri Nov 27 09:06:33 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .....Fine. - Fri Nov 27 09:06:33 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Just don't randomly wake me in the middle of the night. - Fri Nov 27 09:06:33 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: To fuck me. - Fri Nov 27 09:06:33 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll keep that in mind. - Fri Nov 27 09:07:24 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) situates herself in the bed. She presses herself against Kida, pressing her frame against his body. She'd bring her hands close to her as she closed her eyes and fell asleep.* - Fri Nov 27 09:11:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Kyubishu, huh?.... - Fri Nov 27 09:11:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Wonder how many body parts a person needs to survive. - Fri Nov 27 09:11:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Maybe if we tear off his arms he won't die! - Fri Nov 27 09:12:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Who knows... - Fri Nov 27 09:12:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So, what do you think Sado will say? - Fri Nov 27 09:14:14 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Fri Nov 27 09:15:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: About -this-? - Fri Nov 27 09:15:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Never. - Fri Nov 27 09:15:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Mention it. - Fri Nov 27 09:15:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And if you do....... - Fri Nov 27 09:15:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You will bring him the offering of three bodies. - Fri Nov 27 09:15:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Do we choose? - Fri Nov 27 09:16:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Probably. - Fri Nov 27 09:17:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You and I. - Fri Nov 27 09:17:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: We can tear off Kyubishu's arms. - Fri Nov 27 09:17:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'll take the left, you take the right. - Fri Nov 27 09:17:39 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Sounds like a plan. - Fri Nov 27 09:17:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I wonder if I can kick someone's arm off like I did that kid's head.... - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Guess we'll find out. - Fri Nov 27 09:18:30 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) nuzzles against Kida's frame.* - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: See? It's an adventure. - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Totally. - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: An 'adventure.' - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Filled with horror. - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Death. - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And sex. - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That sounds like it'll be intense. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) whispers: By the way. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) whispers: Since you took my virginity. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) whispers: If you ever cheat on me. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) whispers: I will tear off your penis and shove it up your rectum. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) whispers: Thanks. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ouch.. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Well, that was my first too.. - Fri Nov 27 09:19:21 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) kisses Kida on the lips. 

"Your sex all are belong to me, understood?"

She states. She falls asleep next to Kida afterwards, nuzzling her head into Kida's chest.* - Fri Nov 27 09:20:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So. - Fri Nov 27 21:17:52 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: What's our move? - Fri Nov 27 21:17:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: We should find Kyubishu and tear his arms off. - Fri Nov 27 21:17:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So, I guess our original plan of going back to Kirigakure. - Fri Nov 27 21:18:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Got it. - Fri Nov 27 21:23:50 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's go. - Fri Nov 27 21:23:50 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Ichiro? - Fri Nov 27 21:23:50 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Maybe he's asleep? - Fri Nov 27 21:28:06 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...Fuckboy. - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: We'll wait for him then - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You owe me new clothes, by the way, Kida. - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You will be doing everything. - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: The guy usually does. - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I do? - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Like cleaning, cooking, shopping. - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: So I've become a butler in the end.. - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: But why new clothes? - Fri Nov 27 21:30:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What's wrong with the ones you have? - Fri Nov 27 21:32:22 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Fri Nov 27 21:36:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Excuse me. - Fri Nov 27 21:36:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Um. - Fri Nov 27 21:36:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: If you don't recall last night..... - Fri Nov 27 21:36:38 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) places both of her fists along her sides. She was red in the face and was staring down Kida.* - Fri Nov 27 21:36:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You asshole..... - Fri Nov 27 21:36:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Sprayed so much on me...... - Fri Nov 27 21:36:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: That hell, even my clothes have some of it..... - Fri Nov 27 21:37:29 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Damn you if you think I won't be smelling like blood & gore. - Fri Nov 27 21:37:29 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You'll make me smell like your jizz. - Fri Nov 27 21:37:29 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Besides, it felt that good. So it's partially your fault. - Fri Nov 27 21:41:45 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . . . - Fri Nov 27 21:43:28 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Dickhead. - Fri Nov 27 21:43:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: I love doing this. - Fri Nov 27 21:45:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Shiro, I've a question. - Fri Nov 27 21:46:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: How did you meet Sado? - Fri Nov 27 21:46:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . ..  - Fri Nov 27 21:48:35 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Funny you ask that. - Fri Nov 27 21:48:35 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I don't remember. - Fri Nov 27 21:48:35 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Well you did tell me to ask more questions. - Fri Nov 27 21:48:35 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So you woke up one day and you were traveling with him? - Fri Nov 27 21:49:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Basically. - Fri Nov 27 21:49:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I don't really recall. - Fri Nov 27 21:49:26 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Weird.. - Fri Nov 27 21:49:26 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What about your home? Any family or anything? - Fri Nov 27 21:51:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . . - Fri Nov 27 21:51:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Don't recall. - Fri Nov 27 21:51:08 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Nothing at all? - Fri Nov 27 21:52:51 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ..... - Fri Nov 27 21:59:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Nothing. - Fri Nov 27 21:59:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: And you have no idea why you can't recall that stuff? - Fri Nov 27 22:00:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: No idea. - Fri Nov 27 22:01:23 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Why? - Fri Nov 27 22:01:23 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: What are you getting at? - Fri Nov 27 22:01:23 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Nothing, I just wanted to know a bit more about you. - Fri Nov 27 22:01:23 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm going to go for a walk, see if I find anything interesting. - Fri Nov 27 22:03:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Uh huh. - Fri Nov 27 22:15:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Don't die. - Fri Nov 27 22:15:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You have a high probability of doing so because of your fragile body. - Fri Nov 27 22:15:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I see you're up. - Sat Nov 28 03:38:27 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Yeah. - Sat Nov 28 03:45:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'm up. - Sat Nov 28 03:45:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Why? - Sat Nov 28 03:45:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Do you think I'd be down all day or something? - Sat Nov 28 03:45:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: No, not really. - Sat Nov 28 03:50:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Sado sent me a message. - Sat Nov 28 03:50:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: He wants us to return as soon as possible. - Sat Nov 28 03:50:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...FUCK. - Sat Nov 28 03:52:06 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Where's Kida? - Sat Nov 28 03:52:06 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He said he was going to take a walk. - Sat Nov 28 03:52:06 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And he isn't back yet. - Sat Nov 28 03:52:06 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: He came back... - Sat Nov 28 03:52:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: And then left again... - Sat Nov 28 03:52:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: He said to send him a bird if he was needed. - Sat Nov 28 03:52:57 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Fuckin' god damnit...... - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Send him a bird. - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Tell him to get here immediately. - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Ugh. - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Or tell him to meet us at Kirigakure. - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: We can't let Master Sado wait. - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Alright. - Sat Nov 28 03:56:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I just...need to get a bird. - Sat Nov 28 03:56:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I'll be back in a few seconds then we can head out. - Sat Nov 28 03:57:13 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Alright. - Sat Nov 28 04:00:38 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: . . . - Sat Nov 28 04:00:38 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Hey. . .isn't that. . . - Sat Nov 28 04:01:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Oh? Is that true? - Sat Nov 28 04:02:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm. . Funny, no kage has been selected yet? - Sat Nov 28 04:02:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Sat Nov 28 04:08:19 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 04:11:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yo. - Sat Nov 28 04:11:44 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: A mask? - Sat Nov 28 04:12:35 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh yeah.  - Sat Nov 28 04:12:35 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It's the same from when you guys saw me in Kumo. - Sat Nov 28 04:13:26 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Oh. - Sat Nov 28 04:13:26 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Right. - Sat Nov 28 04:13:26 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Well. - Sat Nov 28 04:13:26 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Let's see about entry... - Sat Nov 28 04:14:17 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Let's see. - Sat Nov 28 04:14:17 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ..... - Sat Nov 28 04:16:51 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Simple. - Sat Nov 28 04:16:51 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Come. - Sat Nov 28 04:17:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Two gates at Kirigakure. - Sat Nov 28 04:17:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: One has guards. - Sat Nov 28 04:17:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: This one doesn't. - Sat Nov 28 04:17:42 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...Interesting. - Sat Nov 28 04:18:33 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Sat Nov 28 04:18:33 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Because the other one is a main entrance. - Sat Nov 28 04:18:33 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Now, where are they? - Sat Nov 28 04:18:33 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: -- - Sat Nov 28 04:19:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I can't even find Master Sado. - Sat Nov 28 04:19:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Isn't he here? - Sat Nov 28 04:19:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Should be. - Sat Nov 28 04:19:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hm.... - Sat Nov 28 04:19:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: --- - Sat Nov 28 04:19:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...They're not even here... - Sat Nov 28 04:21:07 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: God damnit. - Sat Nov 28 04:21:07 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 04:23:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Any luck? - Sat Nov 28 04:25:23 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: None. - Sat Nov 28 04:25:23 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Damn. You sure he said he was here? - Sat Nov 28 04:25:23 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He said he was.... - Sat Nov 28 04:26:14 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Ugh. - Sat Nov 28 04:26:14 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Maybe. . . . - Sat Nov 28 04:26:14 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Maybe Master Sado went to wait for us at the gate! - Sat Nov 28 04:26:14 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Since you know. - Sat Nov 28 04:26:14 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He must've thought it was our way in. - Sat Nov 28 04:27:05 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And he'd meet us half-way. - Sat Nov 28 04:27:05 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Maybe. - Sat Nov 28 04:27:05 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Mayybe.. - Sat Nov 28 04:27:05 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Let's check. - Sat Nov 28 04:27:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Oh look. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You are an idiot. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Because they did go into the village. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Like I said they would. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Be quiet. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So how about we move away from the stupid ass gate guards. - Sat Nov 28 04:28:48 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) proceeds to kick a guard and knock him out cold because of irritation factors and whatnot.* - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Oh. - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And get some mother fucking privacy. - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Right. - Sat Nov 28 04:28:48 2015
