<br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) thinks: Relationship problems? - Thu Nov  5 05:55:24 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) sighed. He was a little fustrated, and he hoped it wouldn't factor into the match on. "I don't know why Index is here, but Hassan is allowing it now.." He said..."But anyways, let's get on subject." He'd say after Koji replied with whatever he intended to. Yan would fall into stance, leaping back a few feet to create distance as his hands moved together to form a T. While he kneaded and prepared his chakra, he didn't create the clones yet. 

"On your go," he'd say, prepared to begin.* - Fri Nov  6 18:46:24 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) would eexpelled his chakra simultaneous to the chunin's movement, thus igniting plumes of smoke which manifested and billowed around Yan. In front, on his sides and even at his rear--these plumes of smoke were created and thereafter expanding only to dissipate from visual perception. Within the wake of these chakra-formed nebulas departure, four clones were within view of the doujutsu-user.

While his knowledge wasn't all-encompassing in relevance to Koji's skillset as a fighter, it did extend far enough to where he knew that ninety-nine percent of his abilities were cemented in close-ranged combat and taijutsu. That being said, and truly in all situations, Yan's clones were created omnipresent to the shinobi and therefore the majority of pathways to the jounin were obstructed by the clones.

With the air palm driven forward, it would collide with one of the clones. Of course, this was desired by Yan.  The clone at the rear of Yan began forming seals with focused ferocity--digits stretching to and fro as they formed seals in rapid, yet precise, pace. Meanwhile, Yan himself would unleash a low-level earth release technique in order to set things off. 

That being said, with his chakra more or less instantly prepared to unleash the technique, the ground before him would erupt in a river of mud which would manifest and progress forward in an accelerated manner amounting to approximately fifteen feet per second. Meanwhile, the two clones at his sides would form seals themselves. One would unleash their technique, whereas the other would hold it.

The one that released it chose to do so in the nature of water release. Chakra would welll up into his gullet, and before being projected from his mouth, it would convert into a reserve of water as it poured from his mouth in excess. The water would conjoin with the mud river, effectively doubling or even tripling the potency of the river and even the speed in which it flowed. What Koji would have would be a fast, heavy current heading his way. * - Fri Nov  6 19:13:42 2015
<br><br><font color=teal>*Trent(Fang7777) thinks: Man theres people here already. - Fri Nov  6 19:23:05 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) anticipated this first assault not connecting with the ninja, yet in the end, Yan worked in multitudes of attacks rather than one or two attacks. He was five steps ahead of anyone normally, and even though he had no great skills, he made the most of what he had. As the explosion occured, quickly engulfed by mud and water--the rotation occured which worked against the two ninjutsu. Of course, they would be batted away due to the enormous amount of chakra circulating around the chunin.

More or less, in Yan's mind, things were going smoothly for the young Jounin. With Yan's rear clone having already finished forming seals, as well as the one who hadn't utilized their own ninjutsu when the water release technique was released by the other--he would be ready for when the rotation ended. It seemed like a pretty sound defense, but even the strongest defenses had a weakness. When the rotation stopped, and the chakra dissipated, the clone to his side released another raging waters which would pour forward, swallowing the kunai which was thrown their way.

"Maybe I should ease up..." He thought to himself, a grin forming upon his lips. By then he was forming his own seals. Yan wasn't the easiest ninja to combat, and these attacks being thrown toward Koji were dulled down to be non-fatal. Nevertheless, he moved to push Koji to be faster and stronger. If Koji couldn't get past Yan's defenses, which were cream of the crop, then he wasn't ready to face the ninja that plagued this world.

That being said, one of his favorite combos were about to be performed.* - Fri Nov  6 19:55:31 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) smirked, releasing the seal as he no longer needed to hold it. Then again, he never really needed to. With that said, hands dangled to the sides. Nevertheless the clone behind him maintained their own. The clone to the side remained on guard, ready to attack or defend the real body of Yan.

"Come get me..." He'd taunt Koji, bringing a hand up as he beckoned him forward.* - Fri Nov  6 20:12:35 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You called me here, and they're busy. - Fri Nov  6 20:45:52 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) pushed off the ground. He wasn't dodging the kunai, but the technique which had been prepared behind him. That being said, a literal lake of water gushed forward. It would threaten to take everyone around them. That being said, the other clone would rush towards the group stationed north, and seal them off with a mud wall which would block them from the water right before being washed away himself in the onslaught of water. Yan would would be seen riding the waves as they headed towards Koji. Now elevated, the kunai would hit the rising tide of water and be engulfed. Additionally, the way it stood, Koji would as well. Yan saw more people coming and figured it was time to end it.* - Fri Nov  6 20:50:08 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: . . . - Fri Nov  6 21:06:20 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: . . . - Fri Nov  6 21:43:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ... - Fri Nov  6 21:46:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't seen ya' before. - Fri Nov  6 21:46:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The name's Yan. - Fri Nov  6 21:46:27 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: Hmmmmmm..... - Fri Nov  6 21:49:52 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: I'm Aoi. Nice to meet you...I...I saw you spart a bit. - Fri Nov  6 21:50:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah..Koji was kicking my ass. - Fri Nov  6 21:51:34 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: This nigga know he was whooping my ass easy lol - Fri Nov  6 21:51:34 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Jounin Modesty. - Fri Nov  6 21:52:25 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: You were both amazing. - Fri Nov  6 21:52:25 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Anyone here able to assist me in my training of taijutsu? - Fri Nov  6 21:52:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji probably can... - Fri Nov  6 21:53:16 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: HE already told me no. - Fri Nov  6 21:54:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I dunno' what to tell you. - Fri Nov  6 21:54:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You'd probably kick my ass in taijutsu. - Fri Nov  6 21:54:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If it ain't ninjutsu, I don't know how to help you. - Fri Nov  6 21:54:59 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) pulls out a roach from earlier this morning. He'd pop it into his mouth after carefully burning the end to an even burn. Taking a few hits, he'd inhale the skunky smoke and fill the air with it's potent aroma.* - Fri Nov  6 21:59:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That doesn't explain a lot. - Fri Nov  6 22:00:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Even if he's undergroudn, he can tell if there''s a lot of activity going on. - Fri Nov  6 22:00:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He should have known the battle hadceased. - Fri Nov  6 22:00:57 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hola all. - Fri Nov  6 22:01:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Ai - Fri Nov  6 22:02:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Can you come with me please - Fri Nov  6 22:02:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The boys been with his teachers most of time more so than me, so his abilities have increased.  - Fri Nov  6 22:02:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: So, I was unaware he had the ability to sense people. - Fri Nov  6 22:03:31 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) keeps an eye on the developing situation, however he had little worry about it. He'd take a nother hit of his weed, breathing in heavily as he held the smoke within his mouth before expelling it from parted lips.* - Fri Nov  6 22:03:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hiding like a Mole allows you to detect motion. - Fri Nov  6 22:03:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Underneath the ground. - Fri Nov  6 22:03:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yan can comfirm. - Fri Nov  6 22:03:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: This is true. - Fri Nov  6 22:03:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sanoke, what do you feel should happen? - Fri Nov  6 22:04:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Just to make sure I'm not imagining this wrong. The criminal -- that being the Dark Swordsman . .. was -DETAINED? - Fri Nov  6 22:04:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That's when Kuro tried to protect him, and that's when Trilliam set off the explosions? - Fri Nov  6 22:04:22 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: Explosions... - Fri Nov  6 22:05:13 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: Nnnnnh... - Fri Nov  6 22:05:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He said he snapped his fingers because he forgot something, unintentionally causing the clay figurines to explode. It's far-fetched..but. - Fri Nov  6 22:05:13 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: We can all discuss future action with the young boy. Hassan isn't opposed to that, but the man is dead. - Fri Nov  6 22:05:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Anyone wanna hit this before I put it away? - Fri Nov  6 22:05:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I don't smoke. - Fri Nov  6 22:06:04 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) offers the pinky-length blunt to whoever would want to partake in it's enriching effects.* - Fri Nov  6 22:06:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And Koji. I don't mind that the mind is dead. He's a bad person. - Fri Nov  6 22:06:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I care moreso about Trilliam's actions. - Fri Nov  6 22:06:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sanoke, why don't you take Koji into the kage's office to discuss this in private? - Fri Nov  6 22:06:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sure, why not. - Fri Nov  6 22:06:56 2015
<br><br><font color=teal>*Trent(Fang7777) says: ill partake. - Fri Nov  6 22:06:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Thanks. - Fri Nov  6 22:06:56 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) hits his weed again, peering at the pink-haired ninja skeptically. "The name's Yan," he said, seemingly disinterested in allowing him to without proper introductions.* - Fri Nov  6 22:07:47 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: How old are you trent? - Fri Nov  6 22:09:29 2015
<br><br><font color=teal>*Trent(Fang7777) says: sixteen. - Fri Nov  6 22:09:29 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) would nod and hand him the blunt. "It's nice to meet ya'." He'd reply, looking towards Aoi. "So...you two are newly graduated genin?" He'd inquire thereafter, his expression somewhat dazed but coherent due to the affects of the marijuana.* - Fri Nov  6 22:10:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Good, you're the right age then ahah. - Fri Nov  6 22:10:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Are you going to hand that back over, buddy? - Fri Nov  6 22:12:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Quit hoggin the weed. - Fri Nov  6 22:12:54 2015
<br><br><font color=teal>*Trent(Fang7777) says: Oh. Sorry. - Fri Nov  6 22:13:45 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) recieves the blunt, hitting it one more good time before he smushed the cherry between two fingers. Thereafter putting the blunt back into his satchel, he'd exhale the smoke and await his question to be answered. "Well?" He'd re-introduce the fact that he was speaking to both Aoi and Trent.* - Fri Nov  6 22:14:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: This place is so barren. - Fri Nov  6 22:15:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Farm? - Fri Nov  6 22:16:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Fri Nov  6 22:16:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora, a councilman, is a farmer. You should seek him out for information. He'd know more than anyone. - Fri Nov  6 22:16:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Like uhm.. - Fri Nov  6 22:16:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh? - Fri Nov  6 22:16:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Thank you! - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Straw hat..blade strewn on his back. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: No problem. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Also..u-uhm.. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm new here.. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-My name is..M-Momura.. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nice to meet ya'. I am Yan. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: This is Trent, the young lady behind you is Aoi. - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't know much about anyone else to be honest. - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I have another friend w-who lives with me..B-But he's sleeping.. - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who's that? - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-His name is...H-Hanai. - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't believe I've met him though I'm sure I will. - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright..Has l-lera been around..? - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Lera...I've seen her but I'm not sure where she is at the mom--Oh wait, she traveled to Kirigakure. - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: She'll be back soon. - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I just..c-came from there.. - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Was she not there? - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Trent(Fang7777) says: Yeah, I am new. - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I assume not. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Maybe you just missed her. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Trent(Fang7777) says: Just got my headband a few days ago. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No we came..a b-bit ago. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I hope she's okay. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We were told to l-leave.. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You and Hanai? - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: By the Mizukage? You weren't causing trouble in their village, were you? - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We wanted to stay.. - Fri Nov  6 22:20:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alright...Well, just saying, if you cause any problems here. - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..Just don't. We like to keep things simple. - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We won't..I-I don't like problems.. - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Good to hear. - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Trent(Fang7777) says: I need a sensei.. - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm no sensei! - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm just a simple genin. - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Trent(Fang7777) says: But you got on a chuunin vest? - Fri Nov  6 22:22:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh this old thing? - Fri Nov  6 22:22:17 2015
<br><br><font color=teal>*Trent(Fang7777) says: . . .  - Fri Nov  6 22:22:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nahhhh. - Fri Nov  6 22:22:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I bought it at Kholes. - Fri Nov  6 22:23:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh.. - Fri Nov  6 22:23:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I think u-uhm.. - Fri Nov  6 22:24:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-When did l-lera leave? - Fri Nov  6 22:24:51 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I feel like I should check on Sanoke... - Fri Nov  6 22:24:51 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't know. - Fri Nov  6 22:24:51 2015
<br><br><font color=teal>*Trent(Fang7777) says: I want ot take a nap now. - Fri Nov  6 22:25:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I think I need to take care of something. - Fri Nov  6 22:25:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Fri Nov  6 22:25:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Now I'm high and I have to deal with this. - Fri Nov  6 22:25:42 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: So, what's the priority today? - Fri Nov  6 22:25:42 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) provides all adjacent with a friendly smile before pivoting and heading north-bound.* - Fri Nov  6 22:25:42 2015
<br><br><font color=teal>*Trent(Fang7777) says: Hmm - Fri Nov  6 22:26:33 2015
<br><br><font color=teal>*Trent(Fang7777) says: I'll hit you up later Yan... - Fri Nov  6 22:26:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi, you are under arrest for the murder of Ketsuki. - Fri Nov  6 22:26:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Remove your gourd. - Fri Nov  6 22:26:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Fri Nov  6 22:26:33 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) simply approaches and watches over things.* - Fri Nov  6 22:27:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Good then. - Fri Nov  6 22:29:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: --Wait. - Fri Nov  6 22:29:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You've recovered, right? - Fri Nov  6 22:29:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? Sorta. Why? - Fri Nov  6 22:29:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Just checking in. - Fri Nov  6 22:29:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Thanks man. - Fri Nov  6 22:29:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I feel a little guilty. - Fri Nov  6 22:29:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? How so? - Fri Nov  6 22:29:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I know who the guy was. I could have taken him on my own. - Fri Nov  6 22:29:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But I failed to find him. - Fri Nov  6 22:29:58 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: What happened...? - Fri Nov  6 22:29:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: He was fast and manipulated gravity... Don't blame yourself. I took him lightly at first as well. - Fri Nov  6 22:30:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Some swordsman came and attacked the village. <@Erin> - Fri Nov  6 22:30:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: That was my down fall. - Fri Nov  6 22:30:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: AndI know of him. He tried to take Hassan's head in a previous meeting. - Fri Nov  6 22:30:49 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: Whoa!? Contrlling gravity? Could he fly or somethin'? - Fri Nov  6 22:30:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.... I see. - Fri Nov  6 22:31:40 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) rubs his head. He thought Sanoke was riled up again, and since he wasn't, he'd return to his original position.* - Fri Nov  6 22:31:40 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: I guess not..? - Fri Nov  6 22:32:32 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: Huh? Who died!? - Fri Nov  6 22:32:32 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) yawns slightly and closes his eyes, simply resting for a moment. He hadn't exhausted a tenth of his chakra, yet he was feeling somewhat fatigued.* - Fri Nov  6 22:32:32 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: Oh.. - Fri Nov  6 22:32:32 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: What'd she look like? - Fri Nov  6 22:32:32 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) opens a single eye, peering towards Mamura. "Hm?" He'd sound off, indicative of an inquirement as to what she needed.* - Fri Nov  6 22:33:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Hi. - Fri Nov  6 22:33:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hi. - Fri Nov  6 22:34:14 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (susumu2k15 - Fri Nov  6 22:34:14 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So uhm.. - Fri Nov  6 22:34:14 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: Wait... her-? - Fri Nov  6 22:34:14 2015
<br><br><font color=teal>*Hanae(Ej900) says: So.. - Fri Nov  6 22:34:14 2015
<br><br><font color=teal>*Hanae(Ej900) says: Whats been going on? - Fri Nov  6 22:34:14 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: So that's who's grave Ai was mourning over... - Fri Nov  6 22:34:14 2015
<br><br><font color=teal>*Hanae(Ej900) says: This village been doing a lot of work lately. - Fri Nov  6 22:35:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: How're you..? - Fri Nov  6 22:35:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm a little stoned but I'm doing alright. - Fri Nov  6 22:35:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yourself? - Fri Nov  6 22:35:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Stoned..? - Fri Nov  6 22:35:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But you..l-look fine. - Fri Nov  6 22:35:05 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: Stoned? - Fri Nov  6 22:35:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah, just a little. - Fri Nov  6 22:35:56 2015
<br><br><font color=teal>*Hanae(Ej900) says: No wonder i smells like that around here. - Fri Nov  6 22:35:56 2015
<br><br><font color=teal>*Hanae(Ej900) says: ble. - Fri Nov  6 22:35:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I guess that's why I'm feeling tired. - Fri Nov  6 22:35:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But..y-you're not covered in b-bruises and rocks.. - Fri Nov  6 22:35:56 2015
<br><br><font color=teal>*Hanae(Ej900) says: ... - Fri Nov  6 22:35:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Not many people smoke. - Fri Nov  6 22:35:56 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: Heeey... smoking's not good for you.. - Fri Nov  6 22:36:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Being a shinobi isn't exactly good for you, either. - Fri Nov  6 22:36:48 2015
<br><br><font color=teal>*Hanae(Ej900) says: Still got some left? - Fri Nov  6 22:36:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I could die tomorrow. I'm more likely to die being a ninja than from smoking. - Fri Nov  6 22:36:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Do I have more weed? - Fri Nov  6 22:38:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Weeds..? - Fri Nov  6 22:38:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Uh..I don't even know who you are bud. - Fri Nov  6 22:38:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Why would..y-you want weeds? - Fri Nov  6 22:38:30 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: You smoke weed..? - Fri Nov  6 22:38:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Those are bad for p-plants..and..g-gardens. - Fri Nov  6 22:38:30 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: We have marijuana in Sunagakure!? - Fri Nov  6 22:39:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Marijuana is legal here. - Fri Nov  6 22:39:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's one of our largest exports. - Fri Nov  6 22:39:21 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: Gosh..... - Fri Nov  6 22:39:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Marijuana...? - Fri Nov  6 22:39:21 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: A drug that relieves the user of stress.. but in long-term passing of time it impairs specific parts of the brain's functions. - Fri Nov  6 22:44:28 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: That's what I know about it... though. - Fri Nov  6 22:44:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Oh.. - Fri Nov  6 22:44:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Bad. - Fri Nov  6 22:44:28 2015
