<br><font color=yellow>*Mitsuko(Sage of Six Booties) cuts him!!!!!!!!!!!

(45.6 attack speed, 12.4 speed.)* - Tue Sep 29 00:31:34 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm. . .Sib. . .Ling? - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: . . . . - Sun Oct 11 19:52:06 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Give me. - Sun Oct 11 19:52:06 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Thirty minutes. - Sun Oct 11 19:52:06 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: .. - Sun Oct 11 19:52:06 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) frowned lightly. She'd gather several Chuunin and Jounin out of paranoia, allowing them to patrol the area and ensure her safety.* - Sun Oct 11 19:52:57 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) sat at the desk within the center of the crater, regulating paperwork that would prove useful in time. She kept a close watch on funds.* - Sun Oct 11 20:00:38 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: ... - Sun Oct 11 20:35:37 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Word of advice. - Sun Oct 11 20:36:28 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Don't sell off our shinobi for a stupid price. - Sun Oct 11 20:37:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Our morale is low already. - Sun Oct 11 20:37:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You're forcing them down even further. - Sun Oct 11 20:38:11 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I'm not selling anymore shinobi than I already have. - Sun Oct 11 20:38:11 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Is that protection really necessary? - Sun Oct 11 20:41:36 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I'm paranoid and weak. - Sun Oct 11 20:41:36 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I was planning on attempting to become the Raikage when I was -much- stronger, later on.. but... you see how things went. - Sun Oct 11 20:42:27 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I still have plenty of training to undergo, in Lightning Release and hand-to-hand combat. - Sun Oct 11 20:42:27 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: Hn... I should check in with Hideki to see if he knows anyone that specializes in those two fields. I'm a little wary of him and his village after what Misa just did. This paranoia's not helping. - Sun Oct 11 20:44:09 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: And.. You decided with our morale low, a small part of our village destroyed and our strongest shinobi dead, you'd step up? - Sun Oct 11 20:44:09 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Because no one else was, yes. - Sun Oct 11 20:44:09 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I see. - Sun Oct 11 20:45:52 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Also. - Sun Oct 11 20:46:43 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Your meeting with Hideki. - Sun Oct 11 20:46:43 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Oh? - Sun Oct 11 20:46:43 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: I have mixed feelings on my choice. I feel like the military would be more demoralized if I randomly stepped down. - Sun Oct 11 20:47:34 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: It will be done in Kumogakure. - Sun Oct 11 20:48:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: He is to bring one of his shinobi only, if he doesn't accept then the meeting is called off until he changes his mind. - Sun Oct 11 20:48:25 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: He alone is enough to kill me. I'm quite paranoid for my own life right now. - Sun Oct 11 20:49:16 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'm here. - Sun Oct 11 20:49:16 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: He won't touch you. - Sun Oct 11 20:49:16 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: How are you so sure..... - Sun Oct 11 20:49:16 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: Allies'll betray you at a moment's notice. I've seen it happen already. - Sun Oct 11 20:50:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Because if he tries to. - Sun Oct 11 20:50:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'll make sure an arrow is sent through his skull. - Sun Oct 11 20:50:08 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I don't want anyone to die during this meeting. It'll ruin the alliance between Kumo and Konoha - Sun Oct 11 20:50:59 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: If he attacks it would be ruined anyway. - Sun Oct 11 20:50:59 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: If he attacks I'm more likely to die. - Sun Oct 11 20:50:59 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You are doubting my abilites. - Sun Oct 11 20:51:50 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: As well as your shinobi's. - Sun Oct 11 20:51:50 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: ... That's a problem that I've had. - Sun Oct 11 20:51:50 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I see. - Sun Oct 11 20:54:24 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: This is one of the few times in my life that I've felt fear. - Sun Oct 11 20:55:15 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: I don't want to die for trying to improve the situation in Kumo. - Sun Oct 11 20:55:15 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Then. - Sun Oct 11 20:56:06 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: How are we suppose to know you have our backs if you don't believe we have yours? - Sun Oct 11 20:56:06 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: .. That's a good point. - Sun Oct 11 20:59:31 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I'll retain this position until I die. That's the most I can do as a loyal shinobi of Kumogakure. - Sun Oct 11 21:00:22 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Even if I'm not proficient enough to live up to the status. - Sun Oct 11 21:01:13 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: . . . - Sun Oct 11 21:03:47 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Tell him to come over. - Sun Oct 11 21:06:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: So we can complete this meeting. - Sun Oct 11 21:06:20 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is finish! - Sun Oct 11 21:06:20 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Right... - Sun Oct 11 21:09:45 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is nee' start do things too! - Sun Oct 11 21:15:44 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: <@Khalil> - Sun Oct 11 21:15:44 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Wait, huh? - Sun Oct 11 21:16:35 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I need to start doing missions too? - Sun Oct 11 21:16:35 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Hn.... - Sun Oct 11 21:17:26 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) tossed a small scroll toward Khalil.

"Complete this." She'd state lightly. Her orange stare drifted itself upon Misa's frame.

"Hideki said he'll come to Kumogakure soon."* - Sun Oct 11 21:19:08 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Spar a lower ranked? - Sun Oct 11 21:19:08 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Hrn.. - Sun Oct 11 21:20:00 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Alright. - Sun Oct 11 21:20:00 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: You can let me down, Maloth. - Sun Oct 11 21:20:00 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Lo, wanna go spar me or something? I gotta do this mission. - Sun Oct 11 21:22:33 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . . - Sun Oct 11 21:23:24 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Lo? - Sun Oct 11 21:23:24 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Isn't that what you call yourself? - Sun Oct 11 21:23:24 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Name Maloth. - Sun Oct 11 21:23:24 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: --- - Sun Oct 11 21:23:24 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I kn- - Sun Oct 11 21:23:24 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Sigh. - Sun Oct 11 21:23:24 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Can we just go? - Sun Oct 11 21:23:24 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is. . . - Sun Oct 11 21:25:07 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Low rank? - Sun Oct 11 21:25:07 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: No, but I don't see no one else as it. - Sun Oct 11 21:25:07 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Besid. - Sun Oct 11 21:25:58 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I can beat you up, Maloth. - Sun Oct 11 21:25:58 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) thinks: I think. - Sun Oct 11 21:25:58 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: .Fine, I'll just go find someone else! - Sun Oct 11 21:26:49 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . . - Sun Oct 11 21:27:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: No. If wan' figh', can. - Sun Oct 11 21:27:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: -- - Sun Oct 11 21:27:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Oh. - Sun Oct 11 21:27:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: We go? - Sun Oct 11 21:29:23 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: This right here is the Raikage. - Sun Oct 11 21:33:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh? - Sun Oct 11 21:33:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: They choosed her? - Sun Oct 11 21:34:30 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: For whatever reason, I guess that the village was just needy. - Sun Oct 11 21:34:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Sun Oct 11 21:34:30 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: ... - Sun Oct 11 21:35:21 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Welcome to Kumogakure. - Sun Oct 11 21:35:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Sun Oct 11 21:35:21 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: ... - Sun Oct 11 21:35:21 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) squinted.

"Wait.."* - Sun Oct 11 21:35:21 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I knew that name was familiar. When'd you leave? - Sun Oct 11 21:36:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: When Kenshin attacked. - Sun Oct 11 21:36:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I came back however.. - Sun Oct 11 21:36:12 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: .. Huh. - Sun Oct 11 21:36:12 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: -- - Sun Oct 11 21:37:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And..Yeah. The name won't be mentioned. - Sun Oct 11 21:37:04 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Aww, alright. I'll see you later! - Sun Oct 11 21:37:04 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Misa mentioned something about you being the next in line. - Sun Oct 11 21:37:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I was. - Sun Oct 11 21:37:04 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: So now you're thet Hokage. - Sun Oct 11 21:37:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: For now, yes. - Sun Oct 11 21:37:04 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: For now? - Sun Oct 11 21:37:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Only to help them rebuild. - Sun Oct 11 21:37:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then I'm leaving the village, everyone that's the Hokage there has died. - Sun Oct 11 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Baen was right, it's like a curse. - Sun Oct 11 21:37:55 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Everyone who's been Raikage has died here. - Sun Oct 11 21:37:55 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I wonder how long I'll keep the title. - Sun Oct 11 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Heh. - Sun Oct 11 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I plan on coming back to Kumogakure. - Sun Oct 11 21:38:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: After I help rebuild Konoha. - Sun Oct 11 21:38:46 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Uhuh. - Sun Oct 11 21:38:46 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: . . . - Sun Oct 11 21:38:46 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Denied. - Sun Oct 11 21:38:46 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: - - Sun Oct 11 21:39:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's fine. - Sun Oct 11 21:39:37 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: I really need to get stronger. - Sun Oct 11 21:39:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Sun Oct 11 21:40:28 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: What is this meeting about, surely you two have a topic. - Sun Oct 11 21:40:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right. - Sun Oct 11 21:40:28 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: You advised the meeting. - Sun Oct 11 21:40:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right. - Sun Oct 11 21:41:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: No, you two were appearently going to meet. - Sun Oct 11 21:41:20 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: ... - Sun Oct 11 21:41:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Anywho. - Sun Oct 11 21:41:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I only made it so that you weren't in a place where you'd die. - Sun Oct 11 21:41:20 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Who says he wouldn't kill me now. - Sun Oct 11 21:41:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I came here to ask if any of you have seen Tetsujin as of late. - Sun Oct 11 21:41:20 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) felt her paranoia intensify.* - Sun Oct 11 21:42:11 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I haven't, whoever he is. - Sun Oct 11 21:42:11 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'm here. - Sun Oct 11 21:42:11 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: If he tries it. - Sun Oct 11 21:42:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Tetsujin seems to come here often. - Sun Oct 11 21:42:11 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: Come to think of it, I'll tell Tetsujin to be the Raikage. - Sun Oct 11 21:42:11 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: Next time I see him. - Sun Oct 11 21:43:02 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: No nigga. - Sun Oct 11 21:43:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well, if you haven't seen him. - Sun Oct 11 21:43:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then I'll be off. - Sun Oct 11 21:43:02 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Safe travels... - Sun Oct 11 21:43:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right. - Sun Oct 11 21:43:02 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I hope you get ambushed. - Sun Oct 11 21:43:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks. - Sun Oct 11 21:43:02 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: --- - Sun Oct 11 21:43:02 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Now leave. - Sun Oct 11 21:43:53 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) slid her hat back on so that it'd match her robes, returning to her post in the center of the crater.* - Sun Oct 11 21:43:53 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Also.. - Sun Oct 11 21:43:53 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: Did you receive my me-- - Sun Oct 11 21:43:53 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) thinks: fucking nigger - Sun Oct 11 21:44:44 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) thinks: -omit- - Sun Oct 11 21:44:44 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I fucking hate him. - Sun Oct 11 21:44:44 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: Why? - Sun Oct 11 21:44:44 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: But I love him at the same tim- he killed my best friend. - Sun Oct 11 21:44:44 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: Best friend? - Sun Oct 11 21:44:44 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sabo. - Sun Oct 11 21:45:36 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: Huh.... - Sun Oct 11 21:45:36 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: I'll be returning to the crater. - Sun Oct 11 21:45:36 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: Beforehand..... - Sun Oct 11 21:45:36 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) tossed a scroll toward Amon.* - Sun Oct 11 21:47:18 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: . - Sun Oct 11 21:47:18 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo', nice aim. - Sun Oct 11 21:47:18 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Great kick too. - Sun Oct 11 21:48:09 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: --- - Sun Oct 11 21:48:09 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) walked away.* - Sun Oct 11 21:48:09 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Send me a message. - Sun Oct 11 21:54:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: When you need me. - Sun Oct 11 21:54:08 2015
<br><br><font color=yellow>***Raikage**(Sage of Six Booties) tossed a scroll to Kyushiki with metagame no jutsu.* - Sun Oct 11 22:18:01 2015
<br><br><font color=yellow>***Raikage**(Sage of Six Booties) can only give people C-ranks because she's an illegal Kage.

afk.* - Sun Oct 11 22:18:52 2015
<br><br><font color=yellow>***Raikage**(Sage of Six Booties) tosses two C-Ranks.

afk.* - Sun Oct 11 22:21:26 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: 'Cause like! Not nee' keep ask Maloth! - Sun Oct 11 23:24:35 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: -- - Sun Oct 11 23:24:35 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Alright, sheesh. - Sun Oct 11 23:24:35 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Yeah, I am done with the mission. - Sun Oct 11 23:25:26 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Well, we are. - Sun Oct 11 23:25:26 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Maloth win. . . Is bea' to mud! - Sun Oct 11 23:25:26 2015
<br><br><font color=yellow>***Raikage**(Sage of Six Booties) nodded lightly toward Khalil, handing both of them their monetary reward.* - Sun Oct 11 23:26:17 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Mhm.. - Sun Oct 11 23:28:51 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: So, what do now? - Sun Oct 11 23:29:42 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: Hn... - Sun Oct 11 23:30:33 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: I have nothing for you to do. - Sun Oct 11 23:33:58 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm. Wrestle? - Sun Oct 11 23:35:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Wrestle with who? - Sun Oct 11 23:37:23 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is nee' thing do, no? Wha' like do? - Sun Oct 11 23:37:23 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't know.. - Sun Oct 11 23:37:23 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: How not know?? - Sun Oct 11 23:38:14 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Ne'er do thing in life? - Sun Oct 11 23:38:14 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Because I don't, sheesh. - Sun Oct 11 23:38:14 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I just do nothing.. - Sun Oct 11 23:38:14 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Gosh. - Sun Oct 11 23:38:14 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: OH! - Sun Oct 11 23:38:14 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: OH! - Sun Oct 11 23:38:14 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Wanna go drink some sake? - Sun Oct 11 23:38:14 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm? 'Kay. - Sun Oct 11 23:39:05 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Off we go. - Sun Oct 11 23:39:05 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I can walk, don't worry. - Sun Oct 11 23:39:05 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Huh? - Mon Oct 12 01:50:30 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Oh. - Mon Oct 12 01:50:30 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Uhhh. - Mon Oct 12 01:50:30 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Nothing is the matter.. - Mon Oct 12 01:50:30 2015
<br><br><font color=teal>*Bremusa(Ej247) says: ... - Mon Oct 12 01:50:30 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Such a flat chested female warroir you are.  - Mon Oct 12 01:51:21 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: . . . - Mon Oct 12 01:51:21 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Uhhh.. - Mon Oct 12 01:51:21 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Huh? - Mon Oct 12 01:51:21 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Khalil is a guy. - Mon Oct 12 01:51:21 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I'm a male.. - Mon Oct 12 01:51:21 2015
<br><br><font color=teal>*Bremusa(Ej247) says: ... - Mon Oct 12 01:52:12 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Though, very adorable. - Mon Oct 12 01:52:12 2015
<br><br><font color=teal>*Bremusa(Ej247) says: The way you look..Makes that very questionable. - Mon Oct 12 01:53:04 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Trust me, he is. - Mon Oct 12 01:53:04 2015
<br><br><font color=teal>*Kyushiki(Maruka) thinks: Traps..... - Mon Oct 12 01:57:20 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: . . .Raikage? May I get a Mission? - Mon Oct 12 02:42:33 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: Hn... - Mon Oct 12 02:43:24 2015
<br><br><font color=yellow>***Raikage**(Sage of Six Booties) removed her hand from her robes, extending her arm out toward Marrisa, aiming to give her a blue scroll.* - Mon Oct 12 02:44:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . .  - Mon Oct 12 02:45:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hello, Lord. - Mon Oct 12 02:45:07 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: You are... Mamoru of the Masayoshi, correct? - Mon Oct 12 02:45:58 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yes---- - Mon Oct 12 02:45:58 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You're not Lord Niza? - Mon Oct 12 02:45:58 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Niza is dead' - Mon Oct 12 02:46:49 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ---What? - Mon Oct 12 02:46:49 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: No... he died to his injuries from Kenshin's invasion. - Mon Oct 12 02:46:49 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Died after Kenshin attacked and Kamikazid the village.  - Mon Oct 12 02:46:49 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: Since you -are- Mamoru.. hnn... - Mon Oct 12 02:47:40 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: I've heard things about you. - Mon Oct 12 02:47:40 2015
