<br><font color=yellow>*Ai(Sennalove) wants to join him but ain't it a bitch, Ai can't fly.* - Tue Sep 01 21:59:53 2015
<br><br><font color=yellow>*Ai(Sennalove) was not into the fighting thing even if she heard the word bomb. The others were more capable to take create of such problem so she moves away from them, creating her distance while playing with a sheet of paper..Yes, she was playing with paper.* - Tue Sep 01 22:23:47 2015
<br><br><font color=yellow>*Ai(Sennalove) was still playing with her paper--She was almost finish making a paper bird!* - Tue Sep 01 22:35:44 2015
<br><br><font color=yellow>*Ai(Sennalove) rapes this nigga and give him them nightmares [OMIT]* - Tue Sep 01 23:28:38 2015
<br><br><font color=yellow>*Ai(Sennalove) shook her head no.* - Tue Sep 01 23:31:12 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: So...How much for a all nighter? [Omit] - Tue Sep 01 23:44:51 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: I'll pray, don't worry, show me the goods first though [Omit] - Tue Sep 01 23:45:42 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...? - Wed Oct  7 04:14:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Also, about Taiga's memorial. - Fri Oct  9 02:19:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Would you like me to set a date for that? - Fri Oct  9 02:19:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You'll learn them naturally as you reside here. - Fri Oct  9 02:19:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Plase Yan. - Fri Oct  9 02:19:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I've been busy I nearly forgot about the funeral service for him and Kang. - Fri Oct  9 02:19:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Fri Oct  9 02:20:48 2015
<br><br><font color=teal>*Ai(Sennalove) says: Alright and do I have to redo the exams...Again? - Fri Oct  9 02:21:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Note to self. Kill Yan for being fun police. - Fri Oct  9 02:21:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No. - Fri Oct  9 02:21:39 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) thinks: Everyone sure is talking a lot. - Fri Oct  9 02:21:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Kang commited suicide. - Fri Oct  9 02:21:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .....What the... - Fri Oct  9 02:22:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He died as well, a week before HArada. - Fri Oct  9 02:22:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Since he was a soldier, he'll get a soldier's funeral as well. - Fri Oct  9 02:22:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I guess if a shinobi does not want to live, he could at the very least die in support of his village. THe kid was odd. - Fri Oct  9 02:22:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alright. - Fri Oct  9 02:22:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I will be waiting to hear from you either way, Violet. Keep in touch. - Fri Oct  9 02:23:21 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) whispers: Excuse me..But who was this kang person? - Fri Oct  9 02:24:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Let me know when you get there. - Fri Oct  9 02:24:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I will - Fri Oct  9 02:24:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Kang was a soldier. - Fri Oct  9 02:25:04 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Ah. - Fri Oct  9 02:25:04 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I see. - Fri Oct  9 02:25:04 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh..I see, alright, I'll rejoin again but when will I receive the headband? - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey gramps where in the world is  Jumpman? - Fri Oct  9 02:26:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No idea. - Fri Oct  9 02:26:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: When you are accepted into the military. - Fri Oct  9 02:26:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What's your name youn one? - Fri Oct  9 02:27:37 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Me? - Fri Oct  9 02:27:37 2015
<br><br><font color=teal>*Ai(Sennalove) says: Ai. - Fri Oct  9 02:27:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan ur squad got changed by the way. - Fri Oct  9 02:27:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It was changed to Bryson, Iza, and Kilm. - Fri Oct  9 02:28:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kilm...? He's chuunin level, sir. - Fri Oct  9 02:28:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's fine. - Fri Oct  9 02:28:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Very well. - Fri Oct  9 02:28:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Even chuunin level shinobi can be in squad.s - Fri Oct  9 02:28:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I look forward to working with all three of them. - Fri Oct  9 02:29:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's good for organization and they can help develop their teammate's skills and develop team work. - Fri Oct  9 02:29:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Ai, that's a pretty name. - Fri Oct  9 02:31:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's kind of fittting, so how do you know Fujitora? - Fri Oct  9 02:31:02 2015
<br><br><font color=teal>*Ai(Sennalove) says: Well... - Fri Oct  9 02:31:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Fri Oct  9 02:32:44 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: -omit- - Fri Oct  9 02:32:44 2015
<br><br><font color=yellow>*Ai(Sennalove) scratches the back of her head, "We fought alongside each other years ago, as well as Yan during a little...'Worms' porblem and Konoha's problem. I was only a fresh genin and a child back then so he assists me until I end up as his student."* - Fri Oct  9 02:35:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Ai is a moral ninja. I'd trust her more than others. - Fri Oct  9 02:35:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't dealt with her in a while, but from what I remember, she was a good kunoichi. - Fri Oct  9 02:35:18 2015
<br><br><font color=teal>*Ai(Sennalove) says: Yan...you forget didn't ya? I'm still a guy. - Fri Oct  9 02:37:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Huh...Yeaaaaah - Fri Oct  9 02:37:52 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) thinks: That's a guy..? - Fri Oct  9 02:37:52 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: That is a man? Can a woman look like a man too? - Fri Oct  9 02:37:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: That's a guy? - Fri Oct  9 02:37:52 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) thinks: It must be purged. - Fri Oct  9 02:37:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not the cutest trap i've met, but you're still pretty adorable Ai. - Fri Oct  9 02:38:43 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: What is a trap... - Fri Oct  9 02:38:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I'll ensure it doesn't come into someone's possession that will use it for evil. - Fri Oct  9 02:40:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan. - Fri Oct  9 02:40:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll have you and Thunderchicken retrive the 'Hen's Egg' whenever you're all geared up and ready. - Fri Oct  9 02:41:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Fri Oct  9 02:41:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izutora...where have you been? - Fri Oct  9 02:42:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't seen you in a few days. - Fri Oct  9 02:42:08 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I've trained within a foreign village! - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who gave you permission to leave? - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh...Need anymore info? - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you leave the village, you need to notify me, yan, or Jiki before hand. - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And have a signed and dated document saying so. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I apologize Lord Hassan, I did not know that! - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You're on probation - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I have important information. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And under surveilance. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tell it to Yan. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Do any of you have a spare kunai you could lend me? - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I seem to have run out of matierals. - Fri Oct  9 02:43:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Another slip up and you will be hunted and or executed Jumpman. - Fri Oct  9 02:44:41 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I see... - Fri Oct  9 02:45:32 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Thank you, Kind sir. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Jumpman! I was worried sick about you where have you been? - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Father... - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yes? - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: M'hm @Susumu - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Someone mentioned the Chunnin exams earlier. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Is it fine if I visit the land of the Water fall? - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: When will those be hosted? - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Jumpman come here for a second. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Get me a document. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Son. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mirai. - Fri Oct  9 02:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Those are post poned. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Document?..Right.. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Possibly until a week or so. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mmm'kay. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We'll most likely be doing them within out own village. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah, a blank one. - Fri Oct  9 02:47:15 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's not for debate. - Fri Oct  9 02:48:06 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: Koji is always so busy. - Fri Oct  9 02:48:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Take a step outside the village, and I will hunt you down myself. - Fri Oct  9 02:48:06 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hey Yan. - Fri Oct  9 02:48:06 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm..Chuunin exams? - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Sounds like a bother. - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yes. - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What do you need, Katsune? - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I must receive taijutsu training... what good am I alive if I may not receive the training necessary to make me bloom into a brilliant, youthful shinobi? - Fri Oct  9 02:48:57 2015
<br><br><font color=yellow>*Ai(Sennalove) was still waiting on her answer unless she missed it.* - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It depends whether or not you want to be recognized as a powerful, or proggressing hinobi. - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey gramps can I borrow 400k yen? - Fri Oct  9 02:48:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: again* Jumpman come here. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You get a paycheck. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hunt me down. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Use what you have - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I 'dare' you. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Well i mean Id have the money if Sesiku was around. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hmm? You're talking again Katsune? - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .....Katsune, do you have a bone to pick? - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's nice to hear you for once. - Fri Oct  9 02:49:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I have a ton of stuff to sell him but its like he has dissapere where is your right hand. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I will if you try playing fun police. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Truth be told, I don't care what you do. I am talking to Izutora. You aren't a sand ninja as far as I know, so I'm not concerned with what you are doing so long as it doesn't hurt the village. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: But. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She is a shinobi. - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If you want to fight, then so be it. - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I was a Konoha shinobi before I became a Suna shinobi, kind sir! - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I do what I do for Sand, not personal gain. - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You're comin' off as pretentious but hey. - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You wanna fight? That works. I got some steam to blow off. - Fri Oct  9 02:51:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm only reiterating what my leader has said. - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey misss Katsune....When were we going to start that trraning huh.. - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Just hope you're durable. - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh... - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: If you're going to fight, don't hit m. - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll entertain your challenge to a fight. But let me clarify, are we sparring or are we fighting? - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- Sparring. Not gonna kill anybody. - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Ai(Sennalove) says: Sir..? - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's why I wanna know if you're durable. - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I know of your techniques, and I also know of the limitations of it. - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So, approved? - Fri Oct  9 02:53:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If durability was all a ninja had, he would still die. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: There are no limitations. If I'd wanted Tetsumi Jiki to die he would've. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: Oh my. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Now who sound pretentious. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No really. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I think you are in a bad mood. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Perhaps you should just relax and sit back. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit- - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit dynamic entry- - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I wouldn't underestimate a ninja like Tetsumi, if you two were in a real fight, I doubt he would have underestimated you. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The coin has two sides...remember that. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You're annoying. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Your social skills are worse than Erebus's. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Apprved. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Take your pasport back. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Stop talking or I'm going for the nuts in public. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Then why are you talking to me? - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hassan can you make me a chuunin? If I have this spineless weaboo lording over me I'm gonna be really angsty. - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Spineless? - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ... - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hassan can you make me a chuunin? If I have this spineless weaboo lording over me I'm gonna be really angsty. -- repost - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) thinks: They sure do talk a lot.. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Uhhh, i'll have to fit it into my shedule the rank you would receive. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mirai I have somethin for you. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hrmm? - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll give you a short test. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Cool. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you can put up with him for a bit longer. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I think sunagakure should have an annual no-talk hour every day. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: It would be much more peaceful. - Fri Oct  9 02:57:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. - Fri Oct  9 02:58:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: What is it Koji? - Fri Oct  9 02:58:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Pick it up and see. - Fri Oct  9 03:00:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It seems the requests have died down. - Fri Oct  9 03:00:54 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Probation means I may not leave the village until furthere notice, right? - Fri Oct  9 03:00:54 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: The exams are soon. - Fri Oct  9 03:00:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm do you have another mission for Raven Scrotum? - Fri Oct  9 03:00:54 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: I want to train extremely hard for those exams. - Fri Oct  9 03:00:54 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: If my skil keeps growing at this rate I'll be able to teach her Palms... - Fri Oct  9 03:01:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Katsune. - Fri Oct  9 03:01:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmm...? - Fri Oct  9 03:01:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Ready to test? - Fri Oct  9 03:02:36 2015
<br><br><font color=yellow>*Ai(Sennalove) yawns.* - Fri Oct  9 03:02:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Sure. - Fri Oct  9 03:02:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: Do you think you could help? - Fri Oct  9 03:02:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: I want to do extremely well and bring honor to our clan. - Fri Oct  9 03:02:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mm.. - Fri Oct  9 03:04:19 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Of course, I don't mind it may be easier than trying do it alone, I remember you found another is she still around? - Fri Oct  9 03:04:19 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: So much more peaceful.. - Fri Oct  9 03:04:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: Mhmm. - Fri Oct  9 03:04:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: She's over there. - Fri Oct  9 03:04:19 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... - Fri Oct  9 03:06:01 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: So... so much activity now... - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I guess you mean that sarcastically... - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I guess you can say that sister - Fri Oct  9 03:09:26 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Mizoa. - Fri Oct  9 03:11:08 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm... - Fri Oct  9 03:12:51 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I only know how to perform the clan's fighting style. - Fri Oct  9 03:12:51 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Fri Oct  9 03:14:33 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: We'll fix that. Mirai do you feel she's ready to be taught? - Fri Oct  9 03:14:33 2015
<br><br><font color=teal>*Ai(Sennalove) says: By the way, Mizora, nice fight back there, I wanted to cheer ya on but you know, didn't want to break ya focus. - Fri Oct  9 03:14:33 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Ah.. thanks. - Fri Oct  9 03:14:33 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure. - Fri Oct  9 03:15:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....If you think you can handle my stomach.... - Fri Oct  9 03:17:07 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Probably. - Fri Oct  9 03:17:07 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Anyone else? - Fri Oct  9 03:17:07 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Sure. - Fri Oct  9 03:17:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I want us to be one, so I'll involve you all with decision when it comes to our clan. Gives jutsu to  Mizora* - Fri Oct  9 03:17:58 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Two.. - Fri Oct  9 03:18:49 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Any more? - Fri Oct  9 03:18:49 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Ah.. alright. - Fri Oct  9 03:18:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: *steals* - Fri Oct  9 03:18:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: -omit- - Fri Oct  9 03:19:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: She's pretty strong Koji. - Fri Oct  9 03:32:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We had a spar. - Fri Oct  9 03:32:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I see who won? - Fri Oct  9 03:38:27 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: She did. Her reaction time is way better than mine. Also she attacks quicker than I. - Fri Oct  9 03:38:27 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: By a small margin. - Fri Oct  9 03:39:18 2015
