<br><font color=teal>*Sanoke(Gamuhz2) says: Hng. .  - Wed Oct  7 05:50:43 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Your NIC is up. J/s.) - Wed Oct  7 05:54:08 2015
"I thought you were a ninja! Ha-ha!" the bully was soon to let go of his neck, but that wasn't the end. He started punching him in the head, all to the joy of his crowd. The kid soon started to sob and tried to ran away, but with no luck.
"What's the matter, Azure? You want your mom?" the child was hysterically laughing. He was obviously feeling very confident, smacking around his classmate and getting more and more approval from his other classmates. Just as he gathered his fist and prepared to swing at his young friend, a loud voice stopped him.

"Stop that!" 

Everybody turned around in surprise, only to see a tall boy in a flak jacket, wearing the Konoha's forehead protector. His figure was shining on the red sun behind him, and he had a look of a serious man.

Azure had to shake his head several times to figure that it's him. Xian, his older brother. And everybody looked intimidated to see his jacket and his facial expression.

"Let him go, brat. And find somebody else to fuck with.”

Yep. That was definitely a full Chuunin ninja. Not many people tend to curse like that. The young academy students were staring at him in silence. Not much time has passed, and they all started running. 

Everyone, except for Azure.

His older brother would always tease him, avoid him, boss him around. But this time, he looked at his older brother and cracked a smile. And a tooth. Or two. 
That must of been his favourite memory. He'll never forget that walk from school to home, when his brother hugged him with one hand and walked home with him.

"85, 86, 87..." Azure was loudly panting while counting his pushups in his room. A red face and a tired expression, and a painful gasp every once in awhile. He sure was pushing himself. Not everyone is determined enough to train almost the whole day. 
Xian was away, on a mission, but it was a saturday again. A day when the two brothers would traditionally train taijutsu at the training grounds. But, since he was away, he just had to do it alone. 

After a few more sets of pushups, he stepped outside. It was a beautiful, cloudless day, and the hot sun was already half way on the sky. Since he was the close-combat part of his team, he wanted to work on some taijutsu. And he remembered a maneuver that his brother would always show him, except he never got around to do in it. It was a body spin, and it sure wasn't easy. He started to walk towards his team's training grounds, and he got loaded with sweat by the time he got there. His headband was soaked and all he wanted to do was find a shade and train quietly. He took a running start to maneuver himself over the high fence and land inside the 44 Training Grounds. 

He knew he had to walk cautiously, because this place was filled with traps. Wires, holes, logs - Azure's mortal enemies. He was still embarrassed to remember how he activated several traps here during his training, and nearly got himself killed. Azure found a place in the shade of the dense forest on the northern part of the training ground. The smells and sounds of nature were soothing enough to get Azure relaxed. 

After he was well relaxed, he started to remember the way his brother would do it. It was surely one of his favourite taijutsu moves, and he would always perform it so smoothly. He would jump and turn horizontally, twist his legs around and land over an obstacle. He knew that his brother would be proud of him if he ever managed to train this one without his professional guidance. 

Azure stretched his arms and legs, before he started to run towards the clearing. He then did a promising jump, and turned horizontally, only to end it with a faceplant. 

"Damn it..." he got up pretty quickly and eyed his surroundings, to make sure no one was looking. Anyway, it looks like this wasn't enough for Azure. He started to run in the opposite direction and repeat the same process. Only this time, he didn't faceplant, instead he was skilled enough to land on his arms. That was definitely a move forward, which made him happier. And it was still just a bit past noon, he'll surely handle this move before the sun goes out. 

Without much thinking, he tried again. Jumped, and actually managed to do a bit of a spin. But, this time, he didn't take care of his landing and face planted again. The burn on his red face made him think his next try through. Maybe, he should start with something easier. After all, he never saw his brother do this spin technique when he was a genin. He laid on the ground and frowned when he looked at the sun. It was slowly draining sweat out of him. He laid for a few minutes before he figured that he should probably get up and try again. After all, he could bet that none of his teammates were slacking off. 

"Let's go, Azure" he whispered when he twisted his legs and jumped up. Wait, wasn't that a spin? It took him a few seconds to process what he had just done. He would almost always get up from the ground like this. Isn't this a better way to start doing it? Azure lied on the ground and twisted his legs before he mirrored off the ground using his arms. He got up pretty quickly and rotated a couple of times, making him almost lose his balance when he got up. Yes, that was a good start. But he still needed to work on the technique. But, this was sure promising. He laid on the ground again, this time confident that he'll do it even better. He jumped horizontally, without much mirroring with his arms, and he did a fast spin. 

Azure was now getting the hang of this technique. He smiled as he layed on the ground and did the process several times. And every time, he would get a bigger and stronger spin. After a few times he's done it almost completely right, he recklessly tried to do it and face planted. This made him a bit more careful about his moves, and he remembered that concentration is needed for almost anything. But, only a few hours have passed, and Azure learned this taijutsu maneuver. His blue shirt was soaked in sweat, and he layed on the ground again. This time, he didn't wanted to get up. He was perfectly fine laying in the shade of a high tree and smiling to the sun.

~~End of Memory 4~~


~~Memory 5~~
’The dexterity of the lion is enough to outmatch any prey; their ambidextrousAzure and other physical properties make them the most fierce fighters. Few animals are faster than the lion, fewer still are stronger, but none is more capable than the lion.’

Azure shut the book in a satisfied fashion. He had been reading about lions all morning. Reading...Something he was trying out. It was one of those days where he woke up remembering his mother; reading old mission reports he had found stashed in the closet and reading about lions–the animal that his mother was nicknamed after-were two ways he typically coped with the thought of the loss. 

Azure allowed the text he had just read to run through his mind for a few moments… the dexterity of the lion was a key to its physical dominance. He tapped his lips with the index finger; A force of habit when reading and turning a page. He seldom picked up on the annoying tick. Meanwhile his right hand slowly caressed the book, which was now closed and meeting his gaze. 

’I need to work on MY dexterity. But how does one increase their dexterity?’

Azure returned the book to the packed shelf from which it came; he was slightly surprised there still stood a vacancy despite the volume of material occupying the surrounding space.

As he walked, his mind worked hard trying to give birth to an idea in order to achieve better dexterity. It wasn’t until he passed by a fellow shinobi who was carrying a large basket of smoke bombs that he came up with an idea. Had Azure’s mind not been too busy utilizing this information for the task at hand, he would have found the sight rather odd. 

’I bet juggling would greatly improve my dexterity.’

Azure made his way to one of the various training rooms before seeking weight balls. He started with only two balls, worried that diving right into intense juggling would waste more time than working his way up. He tossed the balls simultaneously and caught them with the opposite hand each time. 

This was not too difficult; however, Azure was carrying out the task with little speed. He slowly accelerated, which led to some struggle keeping the balls nearby on the tosses. He worked his momentum into an unorthodox method by tossing one ball twice for each one toss of the other. He would commit to one side for several sets before switching to match. He was slowly gaining confidence and tried not to think about how it would work with even three balls.

Azure was tossing one ball up while passing the other back and forth at a lower height, and catching the ball with the hand that threw it. He was switching balls rather frequently. His pace was steady with moderate speed and he decided he was ready for a third ball. 

He eyed the two balls in his left hand with weary eyes before tossing them into the air and throwing the ball with his right hand. He caught the first two just fine but had managed to toss the third ball away from himself. 

After retrieving the ball, he attempted several more times before managing to at least bump the third ball out of his hand due to the first or second ball blocking it’s nest. Azure frowned before telling himself he was going to get serious. 

It took about an hour for Azure to keep three balls in the air at a time. He was outlining an oval with his mind while trying his best to trace it using the trajectory of the balls. He had discovered that keeping only one ball in a hand at a time was more realistic for juggling than catching two at a time and repeating a toss. He would worry about catching at the end of his dribbling session later.

For now Azure worked hard just to keep the balls afloat. He was pacing steadily in a small area cluttered with his footwork while focusing on the imaginary oval. He was slowly increasing the pace and could feel beads of seat roll down his cheeks. This was intense.

After another hour or so, Azure had managed to juggle the three spheres with significantly less difficulty. He found that the key was to relax and simply keep his hands moving. His pacing had stopped and he rotated the three balls rather smoothly-until he tried to reverse the direction. 

After picking up the balls, Azure tried again. He repeated the process and followed a quick step-by-step process he had formed on the spot. He worked the three balls up and kept them traveling to the left before focusing on an oval and eventually keeping his feet still. He managed to catch all three by clasping his hands together to wedge the third ball in between. He shifted the ball into one of his hands before grabbing a fourth.

This time, it took Azure about an hour to successfully keep all four balls in the air. He was sweating rather profusely due to the high level of concentration and the weightless squats he seemed to be participating in. He steadied his breathing while trying to grasp some sort of relaxation. He failed. 

The balls were everywhere, Azure struggles to keep any from falling. He was doing various leg workouts just trying to catch every ball. He ranged from squads to lunges to leaps. 

’Why is this so difficult?! 

…At least I know I’m improving.’

A smirk forced its way into Azure’s poker face while he forced himself to keep the balls within a more comfortable diameter. He worked hard to get the balls into an oval trajectory and finally found the ability to keep still while doing it. His arms were aching now and his breaths were short and rapid. He struggled to keep his eyes open, fighting the powerful grip of sweat that tried to pull them closed. 

After a little while keeping four balls rotating, Azure managed to steady his breathing and calm down. He juggled for about ten minutes before trying to switch directions. To Azure’s surprise, this came slightly easier than the three balls. He had already broken the barrier that was the opposite direction and so he had an easier time with the four balls. 

After a couple drops, Azure could manage juggling towards the left. He did so for a while before catching the balls in his arms. He sighed dramatically while his stomach rumbled. Not only had Azure learned to juggle, he also learned he was hungry. After returning the weighted balls to their home, Azure was on his way to a restaurant...any restaurant. His stomach demanded it!
~~End of Memory 5~~

* - Fri Oct  9 17:48:22 2015
<br><br><font color=teal>*Nozumi(Dragonfile) thinks: I'm really not going to get anything done without the proper funds. - Sat Oct 10 01:12:57 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: If you're a Konohagakure shinobi I'd like to warn you that it's not safe to be out of the village like you are, and if you are not ... I really don't know why you'd be over here at all. - Sat Oct 10 01:13:48 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: But in order to do that. - Sat Oct 10 01:21:29 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: In order to do what? - Sat Oct 10 01:22:20 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: I need money... Money, and people who aren't going to rip this nation apart because of it's past. - Sat Oct 10 01:22:20 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: I didn't mean to disturb you... But I have to leave for a short period of time. - Sat Oct 10 01:23:12 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: I don't have money. - Sat Oct 10 01:24:03 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Nor do I. - Sat Oct 10 01:24:03 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Where are you going? - Sat Oct 10 01:24:03 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Not enough. - Sat Oct 10 01:24:03 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Other regions. - Sat Oct 10 01:24:03 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: I'm going to request funds. - Sat Oct 10 01:24:03 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Are you.. - Sat Oct 10 01:24:54 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Asking.. - Sat Oct 10 01:24:54 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: For a death.. - Sat Oct 10 01:24:54 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Wish? - Sat Oct 10 01:24:54 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: No, I'm asking for money. - Sat Oct 10 01:24:54 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Oh, really? - Sat Oct 10 01:24:54 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Yes. - Sat Oct 10 01:24:54 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Because they will just give it to you like candy, like from halloween? - Sat Oct 10 01:24:54 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Here, you go, some candy. - Sat Oct 10 01:24:54 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: No no. - Sat Oct 10 01:24:54 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: I'd prefer if you didn't mock me. - Sat Oct 10 01:25:45 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Especially when I'm doing this for the benefit of the village. - Sat Oct 10 01:25:45 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Alright, go ahead. - Sat Oct 10 01:25:45 2015
<br><br><font color=teal>*Hana(BoyFlareon) thinks: Doubt he'll come back alive. - Sat Oct 10 01:25:45 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Good day. - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Good day. - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Oh. - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Hana(BoyFlareon) thinks: If he comes back. - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Hana(BoyFlareon) thinks: He's a beast. - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: What's your name? - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Don't worry about my name, goodman. - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Oh. - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Hanna Montana. - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Remember him? - Sat Oct 10 01:28:19 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: He's going to die. - Sat Oct 10 01:28:19 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Seriously, no one listens to me. - Sat Oct 10 01:28:19 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: --- Wait. - Sat Oct 10 01:28:19 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: I don't speak to no one. - Sat Oct 10 01:29:10 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: I'm speaking to myself right now. - Sat Oct 10 01:29:10 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Oh, well. - Sat Oct 10 01:29:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Sat Oct 10 02:03:18 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Yes? - Sat Oct 10 02:04:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct 10 02:04:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hi. - Sat Oct 10 02:04:09 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Hi. - Sat Oct 10 02:05:00 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Whom ever you are. - Sat Oct 10 02:05:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: My names Hideki. - Sat Oct 10 02:05:00 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Good to know. - Sat Oct 10 02:05:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct 10 02:05:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right, well. Do you know if anyone is the current kage of Konoha? - Sat Oct 10 02:05:52 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: I do not, sorry. - Sat Oct 10 02:05:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Mhm. - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: See ya. - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: --- - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Where you going? - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: The place is empty. - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: --- - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Hey! - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Going to visit my ol- - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: You have a sword. - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Fight me. - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: What just happened. - Sat Oct 10 02:06:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We can fight, inside the village. - Sat Oct 10 02:07:34 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: --- - Sat Oct 10 02:07:34 2015
<br><br><font color=teal>*Hana(BoyFlareon) says: Fine - Sat Oct 10 02:07:34 2015
<br><br><font color=yellow>*Azure(LordxPatrick) "Well, fuck you too." the young boy retorted.* - Sat Oct 10 05:08:28 2015
<br><br><font color=teal>*Yamanshi, Kojiro(Parris111) says: -- - Sat Oct 10 05:08:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sat Oct 10 05:08:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Come again? - Sat Oct 10 05:08:28 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Deaf...? - Sat Oct 10 05:09:20 2015
<br><br><font color=yellow>*Azure(LordxPatrick) turns to the side, sighing.* - Sat Oct 10 05:09:20 2015
<br><br><font color=yellow>*Azure(LordxPatrick) "You're not getting through without a pass. Got one?" He said, turning his head to glare towards Asteroth.* - Sat Oct 10 05:13:36 2015
<br><br><font color=yellow>*Azure(LordxPatrick) "You do when you're a bitch." He commented with an amused expression.* - Sat Oct 10 05:14:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Get out of my way.. - Sat Oct 10 05:14:27 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I'm good. - Sat Oct 10 05:14:27 2015
<br><br><font color=yellow>*Azure(LordxPatrick) He smiled, even as the man moved a little too fast for Azure to keep up. In a flurry of movement, the man sent a strong...Well, above-average...Hit to Azure's temple. The man's hand would most likely feel quite a sting if he used his full force, while Azure stood without flinching...No damage, it seemed.

"Fuck you." Was all he said, as in one swift motion he withdrew and attempted to slash Kojiro with the giant shuriken that was on his back. It wasn't a super-quick slash, but it was fast enough.* - Sat Oct 10 05:19:34 2015
<br><br><font color=yellow>*Azure(LordxPatrick) He smiled, as the man's hand shot towards his wind pipe. He would once again not even flench. It was as if the man's attack simply...Didn't matter. "Time to stop playing." He said, as he let out a sharp laugh. He would suddenly began to change. His back would begin to grow what almost seemed like an armor, the most promient change, as a few more subtle changes occured throughout the rest. As he changed, he would crouch down: Attempting to quite literally punch Kojiro's right knee cap inside and break his leg.* - Sat Oct 10 05:28:57 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: How powerful is he. .? - Sat Oct 10 05:30:40 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Should I interfere? No. . .Neither can defeat the other. - Sat Oct 10 05:32:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: The difference is, however. . . - Sat Oct 10 05:32:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: One is an undying ghoul ..  The other is a mere man. He cannot be outlasted. - Sat Oct 10 05:33:13 2015
<br><br><font color=yellow>*Azure(LordxPatrick) As the man shot to his side, he would sigh. The large shuriken still in his right hand, he quietly shrug mentally. Biting his tongue slightly to draw blood, he would quickly swipe his left hand across his mouth as he spit some blood out. He would be pushed against the wall, smiling. "This all?" he muttered, as he slammed the left hand against the wall and a puff of smoke erupted.

When the smoke began to clear, a small armordillo would be visible. "Get the girl." He commanded with a smirk, as the small creature attempted to run off towards the girl's direction.* - Sat Oct 10 05:40:03 2015
<br><br><font color=yellow>*Azure(LordxPatrick) s the man shot to his side, he would sigh. The large shuriken still in his right hand, he quietly shrug mentally. Biting his tongue slightly to draw blood, he would quickly swipe his left hand across his mouth as he spit some blood out. He would be pushed against the wall, smiling. "This all?" he muttered, as he slammed the left hand against the wall and a puff of smoke erupted.

When the smoke began to clear, a small armordillo would be visible. "Roll out and get the girl." He commanded with a smirk, as the small creature attempted to run off towards the girl's direction.* - Sat Oct 10 05:44:19 2015
<br><br><font color=yellow>*Azure(LordxPatrick) He watched in horror as a tentacle demon suddenly...Speared through Army. "A..Army?! NO!" he screamed, as army was not fast enough to dodge. "DAMN YOU!" he shouted, as he dropped his transformation. He shot his head to the right, attempting to evade the man's eye-gouging. At the same time, he would swing his right hand which held his shuriken towards the man's face. He was attempting to cut him across his own eyes and face. Although, Azure had no way of knowing about Kojiro's enhanced body. Tears were streaming down Azure's face as rage was consuming him.* - Sat Oct 10 06:01:23 2015
<br><br><font color=yellow>*Azure(LordxPatrick) He would have his right hand detained. Azure was too slow to dodge the man's grip. However, as Kojiro's hand shot towards Azure, Azure's left hand shot towards Kojiro's own left eye. He was aiming to quite literally stab his hand into the eye socket, just as KOjiro was attempt to do to him. This did mean, however, that Azure's attack meant he himself was going to get hurt if it succeeded.* - Sat Oct 10 06:10:46 2015
<br><br><font color=yellow>*Azure(LordxPatrick) He would shout out in sheer pain as the man's voice could be hear echoing in the distance. He was shot his now-free right-hand towards his free right-eye, in an attempt to help it escape from more damage. "WHAT IF I JOINED YOU?!" he said through shrieks of pain. He literally just had an eye-ball tore out. However, the octopus's tentacles would quite literally do nothing more than stop against the man's skin, although these did seem to have at least pushed them a bit.* - Sat Oct 10 06:18:27 2015
<br><br><font color=yellow>*Azure(LordxPatrick) He felt a sudden jolt inside his body, as his entire being went limp. He would quietly have his head lull downward, the only thing keeping it up would be Kojiro's hands. Azure was completely at the mercy of the two. Although, he knew he had died. The last words he muttered were..."Roll out..."* - Sat Oct 10 06:27:50 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: libri - Sun Oct 11 05:08:03 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: lemme eat your ass - Sun Oct 11 05:08:54 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: omit - Sun Oct 11 05:08:54 2015
<br><br><font color=yellow>*Libri(LordxPatrick) appears in a flash.* - Sun Oct 11 05:22:33 2015
<br><br><font color=teal>*Libri(LordxPatrick) says: Ramen. Thanks. - Sun Oct 11 05:22:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct 11 05:24:16 2015
<br><br><font color=yellow>*Libri(LordxPatrick) doj* - Sun Oct 11 05:31:56 2015
<br><br><font color=yellow>*Libri(LordxPatrick) dies* - Sun Oct 11 05:32:48 2015
<br><br><font color=yellow>*Mokutsu(LordxPatrick) teabags.* - Sun Oct 11 20:09:10 2015
<br><br><font color=teal>*Mokutsu(LordxPatrick) says: Hello! - Sun Oct 11 20:09:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Goodbye! - Sun Oct 11 20:10:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Oct 11 20:10:01 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hi. - Sun Oct 11 20:11:44 2015
<br><br><font color=teal>*Mokutsu(LordxPatrick) says: How is everyone? - Sun Oct 11 20:12:35 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Where's Yan? - Sun Oct 11 20:13:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Can't find him. - Sun Oct 11 20:14:17 2015
<br><br><font color=teal>*Mokutsu(LordxPatrick) says: Yan? - Sun Oct 11 20:14:17 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Is anyone else with the authority to let people in here? - Sun Oct 11 20:14:17 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I have no ideal. - Sun Oct 11 20:14:17 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: FInd Koji. - Sun Oct 11 20:14:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yams wants to be alone./ - Sun Oct 11 20:14:17 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I don't know where Koji is. - Sun Oct 11 20:14:17 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I do not know if who he picked to replace Sesikue. - Sun Oct 11 20:15:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Ugh. - Sun Oct 11 20:16:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Ugh, what? - Sun Oct 11 20:20:16 2015
<br><br><font color=teal>*Mokutsu(LordxPatrick) says: Hm. - Sun Oct 11 20:20:16 2015
<br><br><font color=teal>*Mokutsu(LordxPatrick) says: Would anyone here want to spar a bit...? - Sun Oct 11 20:20:16 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Kat, You're a chuunin, Right? Susumu said you were. - Sun Oct 11 20:20:16 2015
<br><br><font color=yellow>*Mokutsu(LordxPatrick) "Be right back, actually!" he says cheerfully.* - Sun Oct 11 20:21:07 2015
<br><br><font color=yellow>*Mokutsu(LordxPatrick) He would queitly sigh, put on his happy face, and go back to the Ninja. "Fucking people. Fuck."* - Sun Oct 11 20:22:49 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Can you come to the gates real quick? - Sun Oct 11 20:22:49 2015
<br><br><font color=teal>*Mokutsu(LordxPatrick) says: Nobody...? - Sun Oct 11 20:22:49 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I need you to let through some folk. - Sun Oct 11 20:23:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Nozumi and . . . Baen. - Sun Oct 11 20:23:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: BAen isn't getting through. - Sun Oct 11 20:24:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: He's a murderer. - Sun Oct 11 20:24:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: My thoughts exactly. - Sun Oct 11 20:24:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I know . . . But he's in Nozumi's company. - Sun Oct 11 20:24:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Or rather, I was gonna send him away but what's this about murder? - Sun Oct 11 20:25:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: He killed..Flexus. - Sun Oct 11 20:25:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Somone like that shouldn't be allowed in here. - Sun Oct 11 20:25:23 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Let's atleast talk to them. - Sun Oct 11 20:26:14 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Don't want to keep them waiting. - Sun Oct 11 20:26:14 2015
<br><br><font color=teal>*Mokutsu(LordxPatrick) says: What? - Sun Oct 11 20:26:14 2015
<br><br><font color=yellow>*Mokutsu(LordxPatrick) shrugs* - Sun Oct 11 20:26:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: To be fair, it's not like he could just tell an immortal "no." - Sun Oct 11 20:26:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: He still shouldn't have done it. - Sun Oct 11 20:27:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Erebus's decision. The man was an abomination in every way even without the immortality being considered. - Sun Oct 11 20:27:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? - Sun Oct 11 20:27:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He killed him because -- Ya know. I don't know why. Funny thing about Erebus. - Sun Oct 11 20:27:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Still not cool. - Sun Oct 11 20:27:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He always explained his murders with explanations such as. . . - Sun Oct 11 20:27:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: "He was a problem." - Sun Oct 11 20:27:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I don't think Baen is the type of guy to be kept waiting. - Sun Oct 11 20:27:56 2015
<br><br><font color=teal>*Mokutsu(LordxPatrick) says: So... - Sun Oct 11 20:27:56 2015
<br><br><font color=teal>*Mokutsu(LordxPatrick) says: No sparring? - Sun Oct 11 20:27:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I also know a bit more about the situation. Flexus. . . - Sun Oct 11 20:27:56 2015
<br><br><font color=yellow>*Mokutsu(LordxPatrick) frowns.* - Sun Oct 11 20:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Told Erebus's enemies that Erebus was planning some sort of revolution. - Sun Oct 11 20:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Supposedly. This is what Erebus told me. - Sun Oct 11 20:28:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He said it with Erebus right there, seconds before Erebus decided to give the order -- supposedly. - Sun Oct 11 20:28:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It was probably a lie. - Sun Oct 11 20:29:39 2015
