<br><font color=teal>*Alastor(LordxPatrick) says: Let's go, Trill. - Mon Oct  5 01:10:49 2015
"Wow, I was sure expecting more from a full genin" Xian smiled when he jumped back, leaving Alastor on the ground. He was still a bit drowsy, that must of been it! He didn't wait too much before charging again, trying to speed up as he was running towards his brother, who took a defensive stance, spreading his legs. Alastor was a bit more angry this time, and he decided to just try and lay a single punch. When he arrived in front of Xian, he just simultaneously tried to hit his brother with both of his fists. Xian was just backing up and dodging all of his brothers attempts. Alastor jumped forward, focusing on one fist only. This forced Xian to take his fist and just pass him on the ground. Alastor withdrew a kunai from his holster and stabbed it in the ground, which allowed him to maneuver himself and turn around to kick Xian, who clearly wasn't expecting this. He finally took a solid kick in his abdomen, allowing Alastor to keep coming at him. 

Alastor was now back on his feet, and his brother took a pretty harsh kick in his stomach. Alastor quickly flickered behind his brother, who tried to dodge his next shot. Luckily for Alastor, he was too slow and took in a punch in his face. This forced him to flee from the scene and back up a couple of meters away from Alastor. They were both trying to catch a breath.

"Nice work, Alastor. But you're just a bit lucky this morning, that's all. Anyway, now's my turn" Xian frowned and was looking pretty serious. Not the look Alastor was looking forward to, but he definitely was prepared.
Xian was running in zig-zag motion to confuse Alastor, who was confidently staying his ground. Xian finally made a turn and tried to swing at Alastor with his left leg. Alastor used both of his hands to grab his brothers leg, which was inches away from his surprised face. Xian did manage to use his brother's hands like a mirror object, and rougly hit his brothers head with his palm, making Alastor, not only to let go of his leg, but to almost fall on his arse again. 
"Damn it" Alastor wasn't getting ahold of his brother. But this time he felt more powerful than the last time they met. The thought that he improved from the last time was enough to fuel him enough into another charge. He madly tried to punch his older brother, but it was just not enough. But, the anger was making him do it again and again. And, after an hour, he was exhausted. They both backed off, desperately trying to catch a breath. Alastor couldn't think of anything but his tiredness and the pulsating pain in his muscles. Maybe they started a bit too early. His legs were trembling and he wasn't hoping of accomplishing much further today. 

On the other hand, his brother was firmly standing and developing a wide grin. He looked tired, but it just seemed that there were more important things to him then that. This infuriated Alastor, who tried to charge, again. Xian prepared himself, a bit excited that his younger brother was this decisive. But, midway to his brother, Alastor just couldn't take it anymore. He just stopped and flipped over on his back, while the sun was showering his face.

Xian smiled."Come on, say it. Say it! You're a loser!" 

~~End of Memory 3~~

~~Memory 4~~
A mean laugh of a child was echoing in an alley, close to Konohagakure’s Ninja academy. A small bunch of kids with rucksacks on them were gathered around the end of the dark alley. 
They were surrounding two other kids, while making jokes, laughing and cheering. A skinny boy with crimson hair, just a bit smaller than anyone else was ruthlessly being strangled with both hands by his classmate. His pale skin soon turned red, and his classmates hands were soon soaked with the victims tears.

"I thought you were a ninja! Ha-ha!" the bully was soon to let go of his neck, but that wasn't the end. He started punching him in the head, all to the joy of his crowd. The kid soon started to sob and tried to ran away, but with no luck.
"What's the matter, Alastor? You want your mom?" the child was hysterically laughing. He was obviously feeling very confident, smacking around his classmate and getting more and more approval from his other classmates. Just as he gathered his fist and prepared to swing at his young friend, a loud voice stopped him.

"Stop that!" 

Everybody turned around in surprise, only to see a tall boy in a flak jacket, wearing the Konoha's forehead protector. His figure was shining on the red sun behind him, and he had a look of a serious man.

Alastor had to shake his head several times to figure that it's him. Xian, his older brother. And everybody looked intimidated to see his jacket and his facial expression.

"Let him go, brat. And find somebody else to fuck with.”

Yep. That was definitely a full Chuunin ninja. Not many people tend to curse like that. The young academy students were staring at him in silence. Not much time has passed, and they all started running. 

Everyone, except for Alastor.

His older brother would always tease him, avoid him, boss him around. But this time, he looked at his older brother and cracked a smile. And a tooth. Or two. 
That must of been his favourite memory. He'll never forget that walk from school to home, when his brother hugged him with one hand and walked home with him.

"85, 86, 87..." Alastor was loudly panting while counting his pushups in his room. A red face and a tired expression, and a painful gasp every once in awhile. He sure was pushing himself. Not everyone is determined enough to train almost the whole day. 
Xian was away, on a mission, but it was a saturday again. A day when the two brothers would traditionally train taijutsu at the training grounds. But, since he was away, he just had to do it alone. 

After a few more sets of pushups, he stepped outside. It was a beautiful, cloudless day, and the hot sun was already half way on the sky. Since he was the close-combat part of his team, he wanted to work on some taijutsu. And he remembered a maneuver that his brother would always show him, except he never got around to do in it. It was a body spin, and it sure wasn't easy. He started to walk towards his team's training grounds, and he got loaded with sweat by the time he got there. His headband was soaked and all he wanted to do was find a shade and train quietly. He took a running start to maneuver himself over the high fence and land inside the 44 Training Grounds. 

He knew he had to walk cautiously, because this place was filled with traps. Wires, holes, logs - Alastor's mortal enemies. He was still embarrassed to remember how he activated several traps here during his training, and nearly got himself killed. Alastor found a place in the shade of the dense forest on the northern part of the training ground. The smells and sounds of nature were soothing enough to get Alastor relaxed. 

After he was well relaxed, he started to remember the way his brother would do it. It was surely one of his favourite taijutsu moves, and he would always perform it so smoothly. He would jump and turn horizontally, twist his legs around and land over an obstacle. He knew that his brother would be proud of him if he ever managed to train this one without his professional guidance. 

Alastor stretched his arms and legs, before he started to run towards the clearing. He then did a promising jump, and turned horizontally, only to end it with a faceplant. 

"Damn it..." he got up pretty quickly and eyed his surroundings, to make sure no one was looking. Anyway, it looks like this wasn't enough for Alastor. He started to run in the opposite direction and repeat the same process. Only this time, he didn't faceplant, instead he was skilled enough to land on his arms. That was definitely a move forward, which made him happier. And it was still just a bit past noon, he'll surely handle this move before the sun goes out. 

Without much thinking, he tried again. Jumped, and actually managed to do a bit of a spin. But, this time, he didn't take care of his landing and face planted again. The burn on his red face made him think his next try through. Maybe, he should start with something easier. After all, he never saw his brother do this spin technique when he was a genin. He laid on the ground and frowned when he looked at the sun. It was slowly draining sweat out of him. He laid for a few minutes before he figured that he should probably get up and try again. After all, he could bet that none of his teammates were slacking off. 

"Let's go, Alastor" he whispered when he twisted his legs and jumped up. Wait, wasn't that a spin? It took him a few seconds to process what he had just done. He would almost always get up from the ground like this. Isn't this a better way to start doing it? Alastor lied on the ground and twisted his legs before he mirrored off the ground using his arms. He got up pretty quickly and rotated a couple of times, making him almost lose his balance when he got up. Yes, that was a good start. But he still needed to work on the technique. But, this was sure promising. He laid on the ground again, this time confident that he'll do it even better. He jumped horizontally, without much mirroring with his arms, and he did a fast spin. 

Alastor was now getting the hang of this technique. He smiled as he layed on the ground and did the process several times. And every time, he would get a bigger and stronger spin. After a few times he's done it almost completely right, he recklessly tried to do it and face planted. This made him a bit more careful about his moves, and he remembered that concentration is needed for almost anything. But, only a few hours have passed, and Alastor learned this taijutsu maneuver. His blue shirt was soaked in sweat, and he layed on the ground again. This time, he didn't wanted to get up. He was perfectly fine laying in the shade of a high tree and smiling to the sun.

~~End of Memory 4~~


~~Memory 5~~
’The dexterity of the lion is enough to outmatch any prey; their ambidextrousAlastor and other physical properties make them the most fierce fighters. Few animals are faster than the lion, fewer still are stronger, but none is more capable than the lion.’

Alastor shut the book in a satisfied fashion. He had been reading about lions all morning. Reading...Something he was trying out. It was one of those days where he woke up remembering his mother; reading old mission reports he had found stashed in the closet and reading about lions–the animal that his mother was nicknamed after-were two ways he typically coped with the thought of the loss. 

Alastor allowed the text he had just read to run through his mind for a few moments… the dexterity of the lion was a key to its physical dominance. He tapped his lips with the index finger; A force of habit when reading and turning a page. He seldom picked up on the annoying tick. Meanwhile his right hand slowly caressed the book, which was now closed and meeting his gaze. 

’I need to work on MY dexterity. But how does one increase their dexterity?’

Alastor returned the book to the packed shelf from which it came; he was slightly surprised there still stood a vacancy despite the volume of material occupying the surrounding space.

As he walked, his mind worked hard trying to give birth to an idea in order to achieve better dexterity. It wasn’t until he passed by a fellow shinobi who was carrying a large basket of smoke bombs that he came up with an idea. Had Alastor’s mind not been too busy utilizing this information for the task at hand, he would have found the sight rather odd. 

’I bet juggling would greatly improve my dexterity.’

Alastor made his way to one of the various training rooms before seeking weight balls. He started with only two balls, worried that diving right into intense juggling would waste more time than working his way up. He tossed the balls simultaneously and caught them with the opposite hand each time. 

This was not too difficult; however, Alastor was carrying out the task with little speed. He slowly accelerated, which led to some struggle keeping the balls nearby on the tosses. He worked his momentum into an unorthodox method by tossing one ball twice for each one toss of the other. He would commit to one side for several sets before switching to match. He was slowly gaining confidence and tried not to think about how it would work with even three balls.

Alastor was tossing one ball up while passing the other back and forth at a lower height, and catching the ball with the hand that threw it. He was switching balls rather frequently. His pace was steady with moderate speed and he decided he was ready for a third ball. 

He eyed the two balls in his left hand with weary eyes before tossing them into the air and throwing the ball with his right hand. He caught the first two just fine but had managed to toss the third ball away from himself. 

After retrieving the ball, he attempted several more times before managing to at least bump the third ball out of his hand due to the first or second ball blocking it’s nest. Alastor frowned before telling himself he was going to get serious. 

It took about an hour for Alastor to keep three balls in the air at a time. He was outlining an oval with his mind while trying his best to trace it using the trajectory of the balls. He had discovered that keeping only one ball in a hand at a time was more realistic for juggling than catching two at a time and repeating a toss. He would worry about catching at the end of his dribbling session later.

For now Alastor worked hard just to keep the balls afloat. He was pacing steadily in a small area cluttered with his footwork while focusing on the imaginary oval. He was slowly increasing the pace and could feel beads of seat roll down his cheeks. This was intense.

After another hour or so, Alastor had managed to juggle the three spheres with significantly less difficulty. He found that the key was to relax and simply keep his hands moving. His pacing had stopped and he rotated the three balls rather smoothly-until he tried to reverse the direction. 

After picking up the balls, Alastor tried again. He repeated the process and followed a quick step-by-step process he had formed on the spot. He worked the three balls up and kept them traveling to the left before focusing on an oval and eventually keeping his feet still. He managed to catch all three by clasping his hands together to wedge the third ball in between. He shifted the ball into one of his hands before grabbing a fourth.

This time, it took Alastor about an hour to successfully keep all four balls in the air. He was sweating rather profusely due to the high level of concentration and the weightless squats he seemed to be participating in. He steadied his breathing while trying to grasp some sort of relaxation. He failed. 

The balls were everywhere, Alastor struggles to keep any from falling. He was doing various leg workouts just trying to catch every ball. He ranged from squads to lunges to leaps. 

’Why is this so difficult?! 

…At least I know I’m improving.’

A smirk forced its way into Alastor’s poker face while he forced himself to keep the balls within a more comfortable diameter. He worked hard to get the balls into an oval trajectory and finally found the ability to keep still while doing it. His arms were aching now and his breaths were short and rapid. He struggled to keep his eyes open, fighting the powerful grip of sweat that tried to pull them closed. 

After a little while keeping four balls rotating, Alastor managed to steady his breathing and calm down. He juggled for about ten minutes before trying to switch directions. To Alastor’s surprise, this came slightly easier than the three balls. He had already broken the barrier that was the opposite direction and so he had an easier time with the four balls. 

After a couple drops, Alastor could manage juggling towards the left. He did so for a while before catching the balls in his arms. He sighed dramatically while his stomach rumbled. Not only had Alastor learned to juggle, he also learned he was hungry. After returning the weighted balls to their home, Alastor was on his way to a restaurant-any restaurant. His stomach demanded it!
~~End of Memory 5~~
* - Tue Oct  6 06:11:37 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) Alastor was ready. His year-long training excursion was about to begin. He cracked his neck to either side as he quietly began his approach. He was surrounded on all sides by a large swath of trees and such greenery. It was a natural, untouched landscape. Well, all that was about to change. “LET’S GO!” He shouted to the sky as he clapped his hands. He walked to nearest tree, taking the stance he had studied for so many years. He slid his right leg back as he shifted his body so his left shoulder was slightly bent inward. His left arm came to a thirty-degree angle while his right arm bent to the same degree in the opposite direction naturally. He paused for a second, gathering his breath. “ARGH!” he shouted, as he loosed a single, hard kick towards the 
tree-trunk in front of him. “FUCK!” The tree-trunk was much, much harder than he had expected. He very loudly began to curse. “AGAIN!” He thought. He sent another kick, as more pain sprang towards his chest from his leg. The pain seemed to quickly shoot like lightning throughout his being, paralyzing him for a second. “AGAIN!” he thought...Once more sending another hard kick. “If I can’t do one hundred kicks...Then it’s one hundred push-ups!” he shouted to the world at random. “Four…!” he said, throwing a hard kick to the now-chipping bark of the trunk. The pain was less this time, but it was by no means painless. He winced every kick. He continued on doing this for several minutes, a few second break between each kick. Sweat dripped heavily from his brow. “FASTER!” he shouted to himself. “Ninety…” “Ninety-one…” He winced with each muscle twitch in his leg now. It felt as if someone was drilling into the very bone without end. He could not continue the kicks. “Fucking hell...Push ups then!” he shouted to the world. He would quietly, and with a bit of trouble, lower himself to his stomach. His right leg, the same one that had been kicking the tree hard as possible for several minutes, was pulsing with pain. Alastor chose to ignore this pulsing due to just how badly he wanted this...He knew he wanted to be able to be the strongest shinobi in history! He placed his hands shoulder-length apart, and moved his legs to where they were in the correct position for a worthwhile push-up. He quickly contorted into a painful expression as his right-leg could barely hold the pressure. “FUCK IF I QUIT!” he exclaimed. He would slowly raised himself up from his push-up position. “Half!” he shouted, as if this was some large accomplishment. Sweat poured from every pore on his body now. He knew he could not give up...No matter what. He lowered himself down again. “One!” He shouted. He knew the more mentally-focused he could be, the better. He raised himself up once more, this time requiring quite a deal more force. “Fu…” He gasped out, trying to control his breathing. “I can do this!” He said, closing his eyes to focus his mind. He focused not on the training, but the breath slowly coming in and out of his lungs. The soil beneath his palms. The birds chirping in the distance. He could feel himself steadily going up and down. While keeping this mental focus, the pain was almost non-existent...Though the strain was still very evident. He would do push-ups like this for the next ten minutes, getting up past a hundred rather fast. “Keep...Going…” He muttered to himself, trying to keep the picture of him standing atop a pile of rival shinobi in his mind. “I can fucking make a beast of myself.” With these thoughts pushing him, he managed to get up to one-hundred-fifty push-ups before collapsing into the dirt. “Damn it…” He muttered, knowing he could not continue at this pace. “This is SO MUCH WORK!” he shouted, wondering if maybe he had gotten to in over his head. “Fucking hell I did!” He said clearly to himself. He would quickly roll over onto his back, looking towards the Sunny sky. “Fucking hell…” Was all he managed out, deciding to take a small breather. Instead, he passed out until the next morning. He awoke the next morning, cursing himself for sleeping so long. With a shrug, he realized he could do nothing about it.
[Fuck this one-paragraph shit.]
What was on today’s agenda? Speed training. Alastor would sit down on the nearby fallen tree, just outside where he had been the previous day. He pulled out a bag that had been hidden within the tree, a smile slowly spreading across his face. He pulled out a pair of wrist and ankle weights. It was time.

He walked through the serene forest, looking around at the scenery. He saw tall trees of all kinds, various small animals screeching and running throughout the forest. He stared at the natural beauty of the world, thinking before the run. “Such a nice place.” He thought to himself. Oh what he would soon enough learn.

He cracked his neck to either side before starting. “Let’s go!” he shouted to the forest, as he began to traverse the tough terrain. He didn’t do this fairly often, especially never with such extreme weights on. The weight on each ankle was fourty pounds. This may sound light, but when you’re trying to run for two hours straight with an extra eighty pounds on your ankles, it adds up.

He controlled his breath, taking a steady pace. His goal was to keep the same pace throughout the entire two hour run. Alastor had set out a route the day before, and was following it almost exactly. His breathing became labored after about thirty minutes, but after another five he gained his second wind.

For Alastor, it was always a matter of overcoming that first drain of stamina. After that, he was good to go. He always felt tired at the start, but after a short while he would be feeling great. He was a strong-willed individual, and, if he put his mind to it, he -would- achieve it.

The uneven terrain was hell for his legs. So, added onto having an extra sixty pounds, and running two hours straight no breaks at a constant pace, the ground was full of small hills and natural debris from the animals and trees. At one point, Alastor was forced to jump several times over a wide series of trees, all of which had fallen down close to each other. It was straining to say the least, but in the end Alastor knew it would be worth it.

The weights on his wrist were also a challenge. Alastor moved his arms as he ran in order to keep balance, as almost everyone does. This meant the weights beared down on his arms with each up and down motion. His arms got tired every now and then, but when Alastor zoned off and went into an automatic movement mode, the pain resided. The pain at times was a little more than average, but once again Alastor knew that the training was worth it.

An hour into the training, he reached a dark part of the forest. The trees were so tall here most sunlight had been blocked out. Alastor was weary of traveling here, for the uneven terrain and added darkness could easily make him fall. Although this wouldn’t hurt, it would be a problem for his goal of running two hours straight. “Probably should have taken that into account.” He muttered, trying his best to see in the dim light.


Suddenly, he heard a large roar. Startled, Alastor stopped running and looked to his right. He could make out a large creature, although the physical details of the creature were a mystery to him. He slowly began to back up, although a large smile now spread across his face. “What an interesting twist.” He said out loud. 

He realized that if he had to fight right now, it wouldn’t be easy. He was a little drained from the running an hour straight, and the weights would make a large difference in the speed of his attacks. He squinted his eyes slightly, making out the creature to be an extremely large bear “Great. A super-sized bear is exactly what I need right now.”

He felt the bear roar, for it shook his entire body. “Damn, nice.” With a quick flick of his wrist, Alastor loosed his kunai and sent it towards the bear's stomach. He could barely see it hit, but he knew it did. Even so, the bear seemed unphased. “Well then…” Alastor thought, raising an eyebrow.

The bear was reared back onto it’s hind legs. With a mighty force, it landed it’s front paws onto the ground, leaving a small dent into the forest floor. The bear pushed off, racing towards Alastor with an unnaturally speed for a creature so large.

It was only about ten meters away to start off. Within a second, it was eight meters. Alastor jumped back, trying to make a little more distance between the two. The bear’s speed surprised Alastor enough to let the bear get close and hit him with a massive paw. 

Alastor was thrown to the right side, send spinning into a nearby tree. The tree trunk cracked underneath the force of the blow. Alastor lost his breath, shocked that the bear had such force. Alastor quickly regained his composure, an angry look on his face.  “Let’s go, then.”


Alastor pushed off, racing towards the bear as the bear raced towards him. The bear attempted another hard swipe, but Alastor was too fast. He slipped under the bear’s paw, loosing a quick string of blows to the bear’s underbelly. The bear did not seem fazed in the slightest, though, and simply let out a large roar. 

Alastor saw the next attacking coming, though. 

Channeling his energy, he began. It took him a few moments, but he channeled the large sum of his spiritual energy into his right hand. This was not chakra, it was simply him preparing himself to use the maximum force he could. He used this to catch the bear off guard. The bear, whom had been closing in the distance between the two, was now stunned from the force of the blow. “Gotcha.” he said.

With the bear stunned, Alastor went in for the killing blow. He quickly pushed off with his right foot, jumping towards the bear. He withdrew his kunai into his right hand, even knowing the bear’s hide was too tough to pierce with such a simple weapon. When he came down upon the stunned bear, however, he would spin his body around and launch the kunai down with a mighty thrust. Even though Alastor was no master marksman, it was fairly easy to provide enough force and accuracy from this close.

The bear did not take kindly to this. It would rear back with a mighty roar of pain, the pressure hit that had stunned it wearing off. The kunai lodged into it’s eye, it once more rushed towards Alastor. Once more, he channeled his energy into his arm and released it into the bear’s chest. The bear attempted to jump onto Alastor, it’s teeth showing as it was not amused.

Alastor jumped backwards by reflex. The bear fell to the ground after jumping, having been stunned once more. Alastor wasted no time, and jumped high into the air. With his right leg extended outward, he would use the downward momentum to enhance the kick. It’s aim? The kunai in the bear’s eye.

The kick landed successfully, jolting the kunai back and through the bear’s skull. Even with the bear’s tough hide, Alastor had found a way to defeat it. A broad smile crossed his face, as he realized the feat he had just accomplished. 

After taking a few steps away from the bear’s body, Alastor’s right leg collapsed on him. “The hell…” he thought, barely able to hold his left leg up either. Without noticing it, he had done this entire battle with the weights on. That, added with the tree-kicking yesterday, took a toll. Only the adrenaline pumping through his veins after the sudden attack had made him forget. 

“Well. What a nice way to end the day.” He muttered sarcastically to himself, trying to stand on his right leg once more. It was no use. “Guess I’ll have to stay here the night.” He thought, as he looked towards the sky. The small amount of sky that was visible showed a bit of moonlight. “How long was I fighting that thing…?!” he wondered.

Sliding his way over towards a large rock, Alastor decided to camp here for the night. “Hope there aren’t any bear cubs looking for revenge.” he joked to himself...Although, he wasn’t entirely joking. He laid next to the rock on a pile of leaves.He had taken off the weights, a hard thing to do when so worn out, and laid all four in a pile below the rock. Now, the warm night provided him all the warmth he needed to fall asleep.

~The next morning, he awoke well and rested. Judging from what he could see from the sky, it was a little after dawn. His muscles were a little tense from sleeping on the ground all night, for the leaves had made very little difference. After getting up for a quick stretching session, Alastor looking around. “Guess I gotta put those weights on and find breakfast.” He proclaimed to the forest.


He walked over to the rock, put on the weights, and stretched once more. He needed to be sure his body would not give out again under the strain. Luckily, he was rested and his muscles were somewhat better.


He decided for now the best course of action would to gather some water. He had brought no cantine with him, having assumed he’d be back before dark the previous day. He closed his eyes, listening. He heard the slow, repeated croaking of a mountain frog. “That way.”

Taking off on a fast-paced walk, he found the water source in under two minutes. It was a small lake, surrounded on the south side by an almost perfectly smooth, circular wall of stone. It looked naturally made, but was sight to behold none the less.The wall circled halfway around the lake, taking up about half of the diameter. 

The water itself was a pure-blue color. The surface was clear, although about three feet down it was suddenly black. Alastor did not know what caused this, but it gave him an eerie feeling. It was a small oasis in this mountain-forest.

There were also various frogs here for some reason, some he had never seen the likes of before. Some were purple, some a light blue; But the most interesting color was a crimson frog that matched the slash Alastor wore. There was only one here, and it was about double the size of the next largest frog. With an interested glance, he shrugged. “No time to waste.” he said.

He drank from the lake for a minute, taking in much needed water. “That should be good.” he said, his face contorting at the after-taste of the water. “Bleh.” After rising up, Alastor turned on his heel and began to walk away. However, a sudden noise made him stop in his tracks.

He turned around quickly, withdrawing another kunai. He saw a large explosion of water, and something within the geiser. “Damn it.” Water droplets rained down upon Alastor, soaking his clothes with thousands of tiny drops. He closed his eyes for a second to protect them. When he opened them back up, he saw what had caused the explosive force within the water.

A strange creature had only it’s head emerged from the water. “Is that...A giant crocodile’s head?!” Alastor thought, shaking his head. “Just my luck.” He got into his usual stance, digging his right foot into the ground for a firm stance. “Do I run…?” he muttered, this time aware of the weights.

Without any warning, the crocodile opened it’s mouth. It shot a single, condensed “pellet” of water, aimed directly at Alastor. With a quick dodge roll, Alastor was barely fast enough to move out of harm's way and readjust himself standing up on the balls of his feet.

Alastor heard the water pellet smash through three thick trees, before finally leaving a large crack in a boulder, simply through the concussive force. “That’s a water jutsu?! Perfect.” He muttered. He wasted no time though. He reached down, picked up, and threw a rock towards the crocodile.

The crocodile once more submerged underwater. The rock would hit the rock wall and bounce harmlessly into the water, floating there. Ripple shocked the water, as the crocodile slowly lifted it’s head out once more. As it began to open it’s mouth, Alastor frowned. 

The crocodile shot two more water pellets towards Alastor, one right after the other. These seemed  to be double the size of the previous one. The weights were bearing down on him, but his adrenaline had finally started pumping.

He managed to dodge the first one pellet, but the second one hit a tree directly beside Alastor. A large branch was broken from low on the tree, giving Alastor little time to react. He moved his torso out of the way, but his left arm was hit with a good deal of force. The reason for this? The weights made his movements somewhat sluggish...Definitely not what he was used to.

His left arm bruised instantly, sending a jolt of pain through Alastor’s body. He could take pain, though. Afterall...He WAS a shinobi! The only thing the creature managed to do was reinforce Alastor’s determination. “What a shame it would be to die now.” he thought, looking towards the back wall. This gave him an idea.

He began to withdraw something from his pouch. It turned out to be a second kunai with an explosive tag at the end. With a swift motion, the kunai launched towards the crocodile’s head. The crocodile simply submerged into the water, although Alastor smirked. Just above the water where the head had been, it would explode. This caused a stream of water to shoot out, and revealed the crocodiles entire body.

He sprinted to the edge of the water, standing at the edge before the land. Finally, he released the his tensed-up strength into the ground next to the water around him. This would stun anything in the surrounding area due to the shockwave, even potentially stunning large creatures: Like the crocodile. It created a small crater, some water beginning to pour into it.

The crocodile was now vulnerable. Though Alastor could not get into the water himself, the crocodile’s death was already at hand. After firing another kunai, this time with two explosive tags attached to the end,it exploded at the base of the rock wall behind the crocodile. This, in turn, causing the entire middle-section of the wall to collapse into the water. Since the croc could not move due to the the shock wave from earlier still having it stunned, it had nowhere to escape to as the large rocks tumbled into the water.

The crocodile was hit. Without a sound, it simply sank to the bottom of the lake. Alastor let out a sigh of relief. “Things are too dangerous around here.” Alastor chuckled to himself. “Time to head back to the spot.” He decided the best way to finish his training would be with a little weight-running. He tightened the ankle weights. Then, he took off. He did almost a sprinting pace towards the the starting-training spot. At walking speed, the spot would have been two hours away. With this running pace, Alastor made it back in about thirty minutes. He arrived at the spot, panting. He collapsed next to the tree where he had been training the previous day, only able to breath and fall to the ground at this point.

[End of RP]* - Tue Oct  6 12:34:46 2015
